DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,
4.59,6.06,0.00,0.00,0.00,0.00,14.65,0.00,0.00,0.00,4.06,7.68,0.00,0.00,16.25,6.72,13.25,0.00,0.00,0.00,
7.54,12.04,11.84,16.64,0.00,11.60,19.52,15.46,0.00,8.54,23.04,7.71,0.00,0.00,5.41,11.46,0.00,13.52,19.52,10.79,
29.08,9.92,17.08,0.00,26.43,0.00,0.00,10.11,22.76,0.00,9.56,24.81,9.31,29.57,22.76,11.91,13.66,0.00,0.00,10.36,
0.00,2.50,0.00,5.42,0.00,5.27,5.08,2.50,0.00,0.00,0.00,0.00,0.00,5.27,0.00,0.00,0.00,0.00,0.00,0.00,
6.08,7.08,0.00,5.08,0.00,0.00,0.00,4.73,0.00,0.00,0.00,0.00,4.73,8.42,8.42,7.08,0.00,0.00,0.00,5.27,
0.00,0.00,4.10,0.00,0.00,0.00,9.09,6.18,0.00,0.00,4.73,5.27,7.45,0.00,7.45,0.00,6.18,4.50,0.00,0.00,
6.07,4.15,0.00,4.15,0.00,0.00,0.00,4.92,8.93,6.93,0.00,0.00,0.00,9.38,0.00,3.85,0.00,0.00,0.00,0.00,
0.00,8.68,12.76,11.59,0.00,0.00,6.22,0.00,0.00,14.83,0.00,0.00,17.59,18.83,10.89,5.27,10.76,13.89,0.00,15.17,
7.45,5.27,0.00,6.18,0.00,0.00,0.00,4.10,0.00,0.00,4.73,0.00,0.00,0.00,0.00,3.78,0.00,4.50,0.00,0.00,
17.77,14.83,15.37,6.89,0.00,14.43,7.04,15.04,24.43,22.83,9.41,8.46,0.00,0.00,18.83,8.52,24.43,0.00,26.17,21.37,
12.22,31.64,50.00,29.37,0.00,21.65,22.39,18.76,41.73,39.73,12.68,57.94,68.71,15.58,14.14,10.31,48.31,72.00,33.77,31.54,
14.66,16.03,7.45,11.35,0.00,18.72,9.42,31.64,0.00,0.00,16.16,0.00,9.14,21.79,17.39,13.97,21.03,0.00,35.13,11.19,
16.80,15.38,26.06,31.69,29.60,43.86,23.24,16.65,60.31,22.31,9.89,11.53,42.90,0.00,19.35,19.44,0.00,56.72,27.31,28.19,
8.53,14.32,17.08,16.29,33.33,20.97,23.64,19.51,0.00,20.45,13.31,17.39,18.51,15.45,15.92,23.30,14.18,25.90,21.79,0.00,
0.00,6.08,5.69,3.42,5.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.15,8.42,0.00,5.54,0.00,8.00,9.38,0.00,
22.36,33.17,18.66,18.19,0.00,0.00,10.25,45.45,0.00,51.05,8.16,47.78,30.27,55.63,21.43,14.92,18.24,0.00,25.11,25.46,
7.71,16.59,0.00,10.59,0.00,6.95,6.75,5.65,0.00,0.00,0.00,11.05,0.00,0.00,5.26,5.75,0.00,0.00,20.05,0.00,
6.67,6.15,0.00,11.33,0.00,8.67,0.00,6.36,0.00,0.00,0.00,0.00,0.00,7.73,6.53,4.77,0.00,0.00,0.00,6.50,
0.00,10.36,0.00,0.00,0.00,0.00,7.85,4.15,0.00,0.00,12.07,0.00,6.07,6.93,4.15,9.38,0.00,6.36,0.00,6.93,
5.41,15.66,28.56,18.43,0.00,10.00,22.03,10.65,0.00,0.00,10.21,0.00,0.00,24.72,10.23,30.55,25.90,0.00,37.03,18.72,
16.71,12.78,19.39,24.24,13.43,19.53,15.58,15.29,14.53,25.76,9.04,18.48,0.00,0.00,26.34,16.48,15.66,0.00,15.52,0.00,
4.55,9.09,4.50,0.00,0.00,0.00,0.00,3.33,0.00,0.00,3.50,0.00,0.00,4.73,0.00,0.00,0.00,0.00,0.00,7.45,
22.55,12.67,15.32,22.23,0.00,12.89,0.00,10.73,47.54,11.91,24.55,19.83,34.32,0.00,19.02,32.09,28.16,63.19,28.66,23.55,
25.95,6.32,11.46,21.40,0.00,36.31,0.00,11.35,8.15,22.79,20.45,0.00,33.95,21.67,0.00,18.21,20.93,29.63,25.93,25.61,
0.00,6.14,0.00,12.24,0.00,13.52,11.60,8.29,0.00,0.00,23.04,14.40,8.21,15.46,11.84,0.00,0.00,11.04,10.87,13.52,
26.82,15.41,20.52,0.00,0.00,0.00,16.17,9.14,29.52,0.00,0.00,12.97,31.64,21.44,11.97,14.65,19.62,25.62,17.69,7.42,
14.65,41.80,21.43,22.57,0.00,16.04,25.34,14.72,33.33,20.06,25.40,25.14,47.10,38.67,10.89,18.00,20.41,0.00,13.51,24.90,
12.32,7.61,0.00,13.68,0.00,0.00,8.59,0.00,0.00,11.39,17.05,0.00,0.00,5.83,8.94,7.28,7.61,0.00,0.00,0.00,
0.00,0.00,4.50,5.10,0.00,0.00,9.09,0.00,0.00,6.18,4.55,0.00,4.73,0.00,6.18,9.09,0.00,0.00,0.00,7.45,
19.10,20.89,12.18,17.04,0.00,7.78,0.00,13.79,13.59,10.89,10.61,13.89,0.00,8.07,11.44,14.04,0.00,0.00,15.24,0.00,
9.20,17.84,0.00,0.00,0.00,23.04,0.00,10.88,0.00,9.88,6.17,8.96,0.00,0.00,12.04,13.58,12.24,14.35,0.00,13.76,
0.00,11.14,10.59,11.14,8.59,0.00,10.52,10.87,0.00,8.41,16.09,13.65,0.00,19.22,7.32,6.19,16.09,0.00,6.95,0.00,
29.25,24.43,48.08,32.49,19.59,22.99,20.88,68.33,28.75,17.43,19.75,13.11,54.12,19.66,16.21,29.62,13.04,48.07,35.25,26.39,
0.00,2.44,8.10,0.00,0.00,4.55,0.00,0.00,0.00,0.00,4.10,0.00,0.00,9.09,4.73,5.27,0.00,0.00,0.00,0.00,
18.20,15.02,15.21,17.07,0.00,17.64,10.61,21.87,33.85,0.00,13.80,16.80,0.00,36.89,19.02,10.65,38.54,0.00,32.46,10.68,
4.39,18.05,0.00,6.11,0.00,0.00,10.25,4.17,18.05,0.00,0.00,14.65,0.00,12.05,6.61,9.65,0.00,0.00,9.65,9.58,
5.08,5.08,5.42,0.00,0.00,10.08,0.00,5.27,0.00,4.91,0.00,0.00,0.00,0.00,0.00,6.18,0.00,0.00,7.45,0.00,
14.19,0.00,11.05,12.95,6.06,19.05,11.90,17.24,0.00,15.62,6.45,0.00,0.00,0.00,9.52,14.65,9.65,0.00,17.24,6.55,
0.00,9.38,9.38,6.08,0.00,0.00,5.08,3.75,6.92,0.00,0.00,0.00,0.00,11.08,0.00,7.08,0.00,0.00,5.69,0.00,
22.70,6.11,15.94,19.53,0.00,16.13,17.66,6.97,0.00,0.00,13.43,12.83,0.00,0.00,16.28,0.00,24.78,15.03,11.10,28.16,
12.43,27.43,28.31,51.09,39.64,24.48,18.00,15.90,20.83,16.25,13.42,11.33,47.45,45.75,20.42,21.40,18.68,0.00,0.00,21.20,
7.28,5.29,11.16,8.63,0.00,12.32,10.21,0.00,0.00,9.94,2.80,14.28,0.00,0.00,0.00,17.05,0.00,0.00,0.00,0.00,
6.15,0.00,0.00,8.00,0.00,0.00,0.00,3.75,0.00,0.00,6.93,0.00,0.00,4.58,0.00,2.58,0.00,0.00,0.00,0.00,
14.42,19.10,43.40,0.00,0.00,20.01,12.01,17.21,39.86,33.01,9.83,22.04,47.76,57.40,17.95,20.38,34.81,74.06,0.00,9.86,
38.18,15.47,29.53,19.86,14.79,41.01,20.25,15.05,0.00,31.01,23.68,57.49,0.00,17.26,33.37,21.14,29.57,0.00,25.23,13.20,
16.68,13.04,7.78,20.41,9.32,23.45,0.00,15.61,19.10,15.48,17.75,0.00,0.00,13.04,13.79,8.12,17.93,0.00,27.03,14.14,
0.00,6.94,10.28,11.76,0.00,6.12,8.00,0.00,0.00,0.00,0.00,8.06,11.39,16.06,0.00,10.24,0.00,0.00,9.39,10.24,
32.71,26.71,26.63,17.69,9.53,36.79,21.31,18.94,29.29,20.58,20.67,10.89,17.18,21.53,24.35,32.98,19.25,0.00,31.02,12.48,
6.15,6.92,5.54,5.75,0.00,0.00,0.00,0.00,0.00,6.15,0.00,0.00,0.00,7.08,11.08,3.09,0.00,0.00,9.38,0.00,
7.07,11.33,0.00,8.67,0.00,9.87,0.00,4.79,0.00,7.73,13.07,0.00,6.67,7.73,9.87,5.79,13.07,7.07,0.00,0.00,
23.36,17.26,32.86,32.40,6.71,23.75,23.84,14.11,85.27,40.05,27.33,48.60,0.00,37.47,16.87,18.03,44.18,0.00,45.59,29.37,
13.79,0.00,16.07,28.03,9.59,22.83,14.43,7.96,14.90,0.00,8.15,26.17,0.00,19.46,24.43,8.54,24.43,0.00,14.03,10.00,
0.00,8.06,0.00,14.28,0.00,9.39,2.25,14.28,0.00,0.00,5.53,9.39,0.00,0.00,0.00,7.81,0.00,11.39,0.00,0.00,
22.58,20.25,17.03,18.86,9.27,25.30,8.59,19.64,14.92,19.46,26.65,17.51,0.00,20.97,19.92,28.69,15.43,0.00,24.05,14.97,
28.11,10.21,0.00,12.55,0.00,16.38,13.97,0.00,0.00,17.57,9.03,17.57,22.92,21.89,16.47,17.19,18.00,0.00,19.64,9.94,
17.05,12.61,15.26,5.83,0.00,0.00,8.63,3.87,0.00,0.00,17.05,4.31,0.00,0.00,7.83,0.00,0.00,0.00,0.00,0.00,
11.39,11.04,11.91,11.05,0.00,13.54,12.23,11.21,0.00,14.54,0.00,10.00,11.04,5.77,0.00,0.00,8.96,0.00,0.00,13.30,
0.00,0.00,0.00,0.00,0.00,0.00,9.09,4.50,0.00,6.18,7.45,4.73,0.00,9.09,6.50,4.55,0.00,0.00,0.00,5.27,
14.00,0.00,10.89,7.92,0.00,10.15,19.10,0.00,0.00,0.00,14.15,17.93,16.00,11.75,12.39,0.00,23.45,0.00,0.00,10.18,
0.00,8.53,6.95,19.05,0.00,11.90,12.95,0.00,0.00,14.65,0.00,12.95,0.00,6.05,5.41,15.62,0.00,0.00,9.52,0.00,
17.78,23.01,26.51,18.31,0.00,23.97,13.72,34.83,0.00,0.00,9.01,18.40,63.34,24.51,24.42,20.54,34.81,69.48,60.81,0.00,
9.41,15.24,7.85,11.32,0.00,0.00,0.00,9.42,8.52,0.00,6.40,20.41,0.00,0.00,13.79,10.18,23.45,25.17,16.00,13.59,
0.00,12.31,7.31,0.00,0.00,0.00,7.81,4.79,0.00,0.00,9.56,0.00,0.00,8.56,10.81,8.40,5.60,7.81,14.06,7.31,
6.15,10.36,0.00,5.08,0.00,0.00,0.00,7.79,0.00,12.07,6.07,7.79,0.00,6.93,5.54,12.07,0.00,6.36,0.00,0.00,
9.81,10.19,10.59,9.62,0.00,7.65,16.59,16.59,0.00,10.05,0.00,15.14,0.00,10.23,0.00,9.75,8.55,0.00,11.14,0.00,
4.10,4.73,5.27,7.45,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,4.50,3.50,0.00,6.18,0.00,0.00,0.00,0.00,
7.89,4.24,0.00,0.00,0.00,0.00,0.00,14.65,12.05,0.00,9.94,0.00,0.00,18.05,9.47,9.58,5.39,0.00,0.00,12.05,
4.93,12.31,7.31,0.00,0.00,0.00,0.00,4.62,0.00,0.00,14.06,0.00,7.31,8.56,10.81,7.06,9.56,7.81,0.00,0.00,
0.00,17.54,12.30,19.36,12.74,0.00,0.00,5.42,0.00,14.34,14.23,18.78,20.14,20.38,0.00,8.59,13.54,17.14,0.00,0.00,
7.50,12.32,0.00,8.17,0.00,10.25,4.59,9.65,0.00,14.65,16.25,0.00,0.00,0.00,7.89,0.00,18.05,0.00,0.00,9.65,
5.08,6.92,0.00,8.00,0.00,0.00,5.69,3.82,0.00,6.15,9.38,0.00,0.00,4.92,0.00,11.08,0.00,0.00,0.00,0.00,
0.00,0.00,9.94,0.00,7.83,0.00,0.00,15.26,8.72,12.32,8.63,11.16,8.06,10.21,0.00,6.72,11.17,0.00,8.95,10.21,
9.82,18.44,12.51,17.36,0.00,24.40,15.14,21.14,14.74,25.69,24.36,17.03,0.00,0.00,16.09,16.86,27.14,17.14,12.85,17.20,
5.61,15.26,7.83,10.21,0.00,0.00,11.17,12.32,0.00,0.00,0.00,12.32,8.53,11.16,13.68,8.06,6.06,10.21,17.05,0.00,
26.96,21.19,30.06,12.12,13.16,18.61,20.93,30.79,35.01,22.81,12.55,18.75,62.57,11.71,25.61,19.54,0.00,0.00,18.59,48.65,
12.31,8.56,22.97,20.97,0.00,13.69,12.17,0.00,0.00,21.37,14.57,10.00,20.16,26.65,22.81,24.40,14.80,17.73,0.00,11.58,
16.87,26.62,37.87,18.04,0.00,29.59,13.83,16.05,35.90,17.84,14.96,35.01,18.36,46.01,14.23,18.28,23.22,58.70,61.58,23.91,
78.01,42.41,43.92,21.27,42.75,21.71,36.21,0.00,32.46,33.67,9.30,34.18,0.00,39.76,12.90,8.69,30.83,74.16,40.56,33.45,
15.36,9.77,12.86,0.00,9.49,24.36,0.00,11.83,20.97,11.58,13.42,0.00,33.14,16.92,15.20,6.83,0.00,0.00,0.00,35.03,
4.35,0.00,6.06,0.00,0.00,8.17,5.53,8.06,0.00,0.00,0.00,0.00,0.00,11.16,10.21,9.94,13.68,0.00,0.00,6.50,
9.68,7.29,22.04,6.17,0.00,0.00,0.00,4.59,12.04,0.00,15.44,16.35,0.00,17.58,20.50,12.19,0.00,16.35,0.00,17.58,
11.76,13.29,0.00,0.00,0.00,8.59,5.81,0.00,7.65,10.47,7.81,10.47,0.00,9.41,6.31,7.06,8.00,0.00,0.00,13.29,
26.52,19.32,10.15,6.57,0.00,24.39,8.26,15.12,22.62,0.00,15.19,20.73,0.00,0.00,0.00,9.19,19.51,0.00,0.00,37.12,
0.00,4.55,0.00,0.00,0.00,6.18,0.00,3.50,4.73,0.00,9.09,0.00,0.00,4.10,7.45,4.50,0.00,0.00,0.00,0.00,
11.36,8.34,31.51,34.82,0.00,24.29,8.54,16.41,15.31,0.00,29.18,24.26,0.00,0.00,26.81,13.85,23.55,0.00,18.00,0.00,
5.08,8.42,5.42,5.08,0.00,6.08,0.00,0.00,0.00,7.08,0.00,0.00,0.00,6.18,5.10,0.00,10.08,0.00,0.00,0.00,
12.92,20.40,22.40,56.90,17.14,35.67,21.66,60.37,36.90,55.25,19.14,18.62,64.07,18.47,21.32,21.50,19.17,47.90,19.52,14.70,
16.05,29.52,0.00,24.72,0.00,9.08,5.64,19.74,19.62,19.02,7.84,17.18,26.82,0.00,17.24,15.14,0.00,0.00,0.00,28.92,
0.00,11.39,0.00,9.47,0.00,6.06,8.72,0.00,0.00,6.71,5.19,0.00,0.00,0.00,11.16,5.88,0.00,0.00,8.95,0.00,
13.38,10.21,25.14,31.02,26.16,16.82,20.75,14.86,32.02,25.10,17.06,30.10,32.02,42.79,15.11,11.60,23.38,38.17,35.84,18.74,
10.89,12.32,41.40,23.13,33.90,16.86,10.78,29.80,33.22,29.67,15.33,17.11,35.66,23.37,18.06,16.77,31.71,62.19,58.60,28.51,
0.00,19.63,9.63,0.00,13.63,16.39,7.52,10.41,0.00,27.16,18.30,0.00,21.17,16.13,10.50,13.10,20.97,0.00,18.65,10.21,
11.05,0.00,6.50,9.25,0.00,6.42,16.25,0.00,0.00,0.00,6.17,10.25,0.00,11.05,9.25,14.28,6.06,0.00,0.00,0.00,
0.00,9.41,8.59,0.00,6.31,11.76,0.00,0.00,7.31,10.47,10.47,13.29,0.00,7.81,9.41,10.81,0.00,0.00,5.19,0.00,
8.56,12.31,0.00,0.00,0.00,0.00,0.00,4.79,0.00,7.81,7.07,9.73,0.00,9.56,10.81,7.06,6.27,0.00,0.00,7.81,
3.45,3.45,0.00,0.00,0.00,0.00,0.00,2.90,0.00,6.08,0.00,0.00,4.18,0.00,8.42,10.08,0.00,0.00,0.00,0.00,
4.53,6.27,4.50,0.00,0.00,0.00,14.06,12.07,7.06,0.00,8.56,0.00,0.00,4.67,0.00,0.00,0.00,0.00,12.31,0.00,
35.03,24.08,18.69,13.44,0.00,13.11,15.60,0.00,0.00,18.86,29.68,28.11,0.00,26.65,11.03,18.81,0.00,18.00,0.00,15.03,
0.00,7.45,0.00,0.00,0.00,6.18,4.10,5.27,9.09,5.27,0.00,0.00,0.00,0.00,6.50,0.00,7.45,0.00,4.73,0.00,
7.07,0.00,8.93,0.00,0.00,0.00,6.53,3.25,0.00,13.07,7.07,0.00,6.67,8.79,6.67,8.67,0.00,0.00,0.00,0.00,
5.83,11.39,17.05,0.00,0.00,0.00,13.68,3.81,0.00,0.00,12.32,8.06,0.00,11.16,5.50,5.61,15.26,0.00,0.00,0.00,
10.11,41.67,28.85,25.02,0.00,10.11,11.42,35.08,0.00,0.00,6.72,25.87,51.97,25.73,19.73,21.41,20.34,0.00,31.30,0.00,
9.41,15.24,20.41,11.32,0.00,0.00,0.00,9.42,8.52,13.59,6.40,20.41,0.00,0.00,13.79,7.19,23.45,25.17,16.00,0.00,
11.56,27.12,23.49,38.12,0.00,41.02,10.26,4.63,0.00,0.00,9.57,14.49,0.00,35.27,0.00,19.27,15.12,0.00,25.16,21.26,
0.00,6.69,15.06,6.69,0.00,0.00,0.00,7.65,0.00,0.00,6.31,7.06,0.00,3.79,6.31,8.00,0.00,0.00,0.00,0.00,
25.76,16.15,28.38,17.78,0.00,23.79,13.33,9.84,15.33,0.00,4.82,0.00,0.00,30.15,22.50,7.83,15.16,26.74,20.26,0.00,
0.00,0.00,9.56,7.81,0.00,8.56,7.81,0.00,0.00,10.81,9.56,0.00,13.07,0.00,5.60,0.00,12.31,0.00,5.08,7.31,
11.76,17.05,0.00,8.94,8.53,0.00,14.28,0.00,10.21,0.00,4.31,8.63,0.00,0.00,15.26,8.28,0.00,0.00,0.00,0.00,
11.76,14.06,0.00,5.06,0.00,0.00,8.59,0.00,10.69,9.41,0.00,0.00,0.00,0.00,11.76,5.19,5.47,0.00,5.06,0.00,
0.00,0.00,0.00,8.00,0.00,0.00,6.15,3.82,8.00,0.00,6.15,0.00,0.00,8.42,0.00,6.92,0.00,0.00,5.69,6.08,
9.58,7.84,22.19,6.80,0.00,0.00,19.93,4.87,12.59,18.52,16.35,17.26,0.00,18.52,21.48,7.84,0.00,17.26,0.00,0.00,
24.21,19.60,16.75,34.61,13.16,38.70,12.08,44.20,30.17,37.87,14.68,35.18,0.00,16.04,17.54,30.47,28.99,0.00,21.93,13.74,
0.00,14.28,10.28,15.06,0.00,0.00,0.00,9.39,0.00,8.28,7.53,6.47,0.00,8.00,7.06,11.76,8.72,0.00,0.00,11.39,
0.00,13.79,21.86,11.32,9.18,19.46,11.78,9.54,0.00,15.24,6.58,8.89,0.00,0.00,17.93,18.18,16.46,25.17,0.00,9.41,
7.08,8.42,0.00,4.73,0.00,10.08,0.00,5.42,6.08,0.00,8.42,0.00,7.08,10.08,0.00,6.08,0.00,0.00,5.08,0.00,
8.72,0.00,11.16,5.83,0.00,5.07,0.00,0.00,10.21,8.63,4.35,13.68,17.05,0.00,0.00,0.00,12.32,0.00,13.68,0.00,
14.95,0.00,19.22,13.65,0.00,9.90,0.00,5.24,12.41,11.30,10.05,10.87,0.00,15.14,7.77,10.52,0.00,0.00,11.91,12.70,
7.07,0.00,9.87,13.07,0.00,0.00,6.53,3.54,0.00,13.07,7.07,0.00,6.67,8.79,6.67,8.67,8.67,0.00,0.00,0.00,
11.48,19.61,6.38,27.61,0.00,34.13,0.00,0.00,27.61,13.54,7.26,13.86,16.59,18.66,24.97,30.66,23.73,0.00,0.00,26.65,
4.73,4.73,5.27,7.45,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,4.50,3.50,6.18,6.18,0.00,0.00,0.00,0.00,
8.85,13.81,6.78,0.00,25.47,21.89,0.00,16.92,0.00,12.25,8.09,35.03,0.00,18.38,22.92,11.97,13.33,0.00,35.03,26.65,
0.00,4.73,6.18,0.00,0.00,3.50,0.00,4.73,0.00,9.09,0.00,0.00,0.00,3.50,6.50,0.00,0.00,9.09,0.00,0.00,
11.09,55.97,24.96,25.43,0.00,18.30,17.54,22.26,0.00,65.08,18.51,10.93,84.01,28.94,30.80,19.11,24.06,44.21,33.58,27.50,
12.72,9.94,0.00,10.21,0.00,0.00,7.05,6.95,11.05,9.65,9.25,0.00,12.05,0.00,9.79,9.65,0.00,9.05,0.00,0.00,
0.00,2.44,0.00,6.18,0.00,2.90,0.00,4.50,0.00,0.00,0.00,0.00,0.00,9.09,5.27,0.00,0.00,4.55,0.00,0.00,
0.00,13.89,19.10,16.00,0.00,16.90,9.56,17.75,21.86,10.89,15.24,7.27,0.00,8.96,7.48,22.46,0.00,0.00,27.03,15.24,
7.83,8.53,10.21,0.00,7.61,9.94,0.00,11.39,0.00,0.00,0.00,12.32,0.00,9.39,0.00,0.00,13.68,8.63,5.94,6.06,
17.42,10.28,14.75,19.33,0.00,12.19,19.73,39.24,0.00,10.74,12.07,0.00,20.67,36.89,26.84,30.07,22.30,0.00,0.00,23.51,
15.76,22.61,20.26,10.41,0.00,16.74,16.03,11.33,0.00,32.03,9.72,14.30,19.32,8.97,7.81,13.78,20.26,0.00,9.16,30.15,
5.27,4.73,6.18,0.00,0.00,0.00,0.00,0.00,0.00,4.73,7.45,0.00,0.00,0.00,5.27,0.00,0.00,0.00,2.89,6.50,
9.07,11.89,11.49,22.02,18.98,25.20,16.25,30.22,0.00,10.12,42.11,14.34,20.31,28.22,0.00,19.44,23.80,32.46,23.85,0.00,
9.41,14.11,20.41,11.32,0.00,0.00,0.00,6.32,10.18,13.59,7.04,20.41,0.00,0.00,13.79,7.93,23.45,25.17,16.00,25.17,
0.00,31.14,17.69,0.00,0.00,12.00,28.69,19.36,11.03,0.00,7.87,16.85,34.03,31.14,15.94,11.27,23.14,0.00,27.14,10.28,
0.00,8.56,5.73,9.41,8.59,0.00,0.00,10.47,0.00,0.00,5.36,15.06,0.00,11.76,5.56,0.00,8.00,0.00,0.00,0.00,
10.69,15.37,8.04,18.83,0.00,0.00,0.00,5.81,10.55,0.00,10.89,20.03,0.00,16.83,14.43,9.56,21.72,26.17,16.83,14.03,
6.92,0.00,0.00,0.00,5.08,12.07,6.07,8.93,10.36,12.07,0.00,7.79,0.00,6.36,6.36,0.00,0.00,6.93,8.93,0.00,
10.59,11.14,20.05,8.29,8.86,11.33,10.05,10.23,11.05,0.00,8.76,12.77,0.00,0.00,13.86,8.86,15.14,0.00,12.77,13.86,
0.00,4.73,0.00,0.00,0.00,3.50,0.00,4.73,0.00,9.09,4.55,0.00,0.00,5.27,6.50,6.18,0.00,9.09,0.00,0.00,
5.54,0.00,11.08,0.00,0.00,6.08,3.09,6.08,0.00,0.00,5.69,0.00,0.00,9.38,0.00,9.38,0.00,0.00,0.00,8.00,
0.00,8.42,4.91,10.08,0.00,0.00,0.00,0.00,0.00,3.82,5.08,0.00,0.00,6.08,4.91,6.08,0.00,0.00,0.00,10.08,
9.87,4.77,13.07,0.00,0.00,0.00,6.36,0.00,5.79,7.07,0.00,0.00,7.73,0.00,8.79,8.67,0.00,0.00,9.87,0.00,
9.52,10.65,0.00,0.00,0.00,0.00,9.90,11.75,9.62,0.00,8.32,0.00,11.05,14.19,6.00,8.72,0.00,0.00,0.00,6.45,
0.00,0.00,4.79,5.81,0.00,0.00,6.19,0.00,0.00,8.40,8.00,7.65,0.00,8.59,9.41,13.29,0.00,0.00,0.00,8.00,
14.76,18.51,21.79,24.45,0.00,21.03,12.69,17.19,37.03,18.97,9.89,12.13,20.36,14.18,25.47,13.38,27.39,19.79,0.00,18.56,
0.00,9.65,13.25,0.00,0.00,0.00,15.26,10.25,0.00,13.25,11.17,0.00,0.00,8.63,6.42,4.71,0.00,10.25,0.00,6.11,
13.28,0.00,27.16,0.00,0.00,5.17,11.74,11.29,0.00,25.76,8.30,20.34,0.00,16.48,17.70,11.41,12.19,0.00,19.39,11.91,
12.56,0.00,33.10,26.82,0.00,15.06,7.89,6.48,25.79,0.00,22.63,18.94,34.25,46.25,19.22,12.23,30.10,0.00,0.00,22.39,
15.02,32.02,18.44,23.74,26.61,18.84,13.93,41.46,33.42,16.05,10.80,17.22,36.02,0.00,32.98,10.76,29.42,0.00,31.29,16.28,
10.81,0.00,13.29,8.19,0.00,5.19,7.06,0.00,0.00,0.00,5.56,0.00,15.06,0.00,8.00,9.41,6.19,0.00,7.53,0.00,
7.45,0.00,0.00,0.00,0.00,5.08,0.00,7.45,0.00,0.00,0.00,5.42,4.55,6.00,6.08,0.00,0.00,0.00,0.00,5.42,
0.00,8.19,25.04,7.12,9.65,0.00,12.59,10.16,13.70,0.00,10.16,17.26,0.00,0.00,13.58,10.48,18.96,0.00,0.00,11.58,
5.08,0.00,5.08,0.00,0.00,0.00,7.08,6.18,6.08,0.00,0.00,6.08,0.00,5.42,8.42,8.42,0.00,4.73,0.00,0.00,
0.00,7.08,0.00,4.18,0.00,8.42,6.08,0.00,0.00,8.42,7.08,0.00,0.00,0.00,5.42,0.00,10.08,0.00,5.27,5.08,
0.00,9.05,11.05,7.83,0.00,12.11,0.00,14.65,0.00,0.00,5.72,16.25,0.00,13.25,10.21,11.05,6.95,0.00,9.47,0.00,
0.00,8.00,0.00,6.15,0.00,0.00,4.42,4.73,0.00,0.00,4.00,0.00,0.00,0.00,0.00,5.69,0.00,0.00,6.92,6.92,
0.00,5.07,15.06,15.06,0.00,0.00,0.00,7.06,0.00,9.41,8.59,0.00,0.00,6.53,5.81,12.31,0.00,0.00,0.00,8.59,
