,Levitt_alpha,y
Neg_743,-1.12699,0
Neg_1798,-0.70037,0
Neg_805,1.07209,0
Neg_2446,-1.25533,0
Neg_1456,-0.75508,0
Neg_853,0.16212,0
Neg_1866,0.75027,0
Neg_1972,-1.19308,0
Neg_1250,-0.7199,0
Neg_2893,-0.6685,0
Neg_415,-0.37606,0
Neg_2440,0.58764,0
Neg_1947,0.49496,0
Neg_2296,-0.92134,0
Neg_1491,-0.7914,0
Neg_1592,-0.85635,0
Neg_833,-0.75652,0
Neg_2254,1.59881,0
Neg_2786,-0.86658,0
Neg_1307,-0.33369,0
Neg_1022,-1.0452,0
Neg_2289,-0.44282,0
Neg_2564,-0.8292,0
Neg_1131,-0.17006,0
Neg_2814,0.3918,0
Neg_2346,-0.66407,0
Neg_2538,-0.91405,0
Neg_503,-0.28218,0
Neg_614,-0.93512,0
Neg_2227,-1.06648,0
Neg_1977,-1.20205,0
Neg_1151,-0.42512,0
Neg_2315,-0.89037,0
Neg_1180,-0.7691,0
Neg_308,0.16532,0
Neg_1426,-0.44773,0
Neg_12,-0.64823,0
Neg_506,-1.18249,0
Neg_136,-0.5816,0
Neg_378,-0.94223,0
Neg_2058,-1.16075,0
Neg_2336,-0.60608,0
Neg_2220,-1.03503,0
Neg_262,0.31103,0
Neg_1888,-0.69507,0
Neg_2552,-0.81465,0
Neg_1340,-0.30054,0
Neg_1753,-1.03971,0
Neg_941,-0.58586,0
Neg_689,-1.25747,0
Neg_403,-0.82877,0
Neg_2524,-0.49293,0
Neg_1006,-0.15703,0
Neg_89,0.17439,0
Neg_1956,0.50453,0
Neg_2723,-1.09045,0
Neg_34,-1.03909,0
Neg_757,-0.10337,0
Neg_1170,-1.02111,0
Neg_1405,-0.66761,0
Neg_1634,-0.2975,0
Neg_835,-1.03494,0
Neg_1809,-0.97588,0
Neg_296,-0.5014,0
Neg_1989,-0.28306,0
Neg_636,-0.15815,0
Neg_1350,0.09175,0
Neg_160,2.74805,0
Neg_1524,-1.02454,0
Neg_836,-1.203,0
Neg_1885,0.73847,0
Neg_1723,-0.92244,0
Neg_1139,-0.59521,0
Neg_531,0.2908,0
Neg_131,-0.62469,0
Neg_226,-0.78101,0
Neg_2031,-0.56267,0
Neg_1050,-0.95158,0
Neg_2215,0.09635,0
Neg_1008,-1.20073,0
Neg_755,0.65747,0
Neg_1309,0.67947,0
Neg_1348,-0.78894,0
Neg_2829,-0.87085,0
Neg_1281,-0.41881,0
Neg_2879,2.52017,0
Neg_2182,-0.14088,0
Neg_513,0.3038,0
Neg_2222,-0.90468,0
Neg_2348,-0.84542,0
Neg_549,0.25875,0
Neg_2669,0.69202,0
Neg_1248,-0.985,0
Neg_19,-0.92554,0
Neg_1763,-0.67754,0
Neg_2832,0.39723,0
Neg_1992,-1.2005,0
Neg_2675,-1.11268,0
Neg_203,-0.83581,0
Neg_2314,-0.591,0
Neg_460,-1.15569,0
Neg_248,-0.8922,0
Neg_418,0.05194,0
Neg_1007,-0.99591,0
Neg_2178,-0.95332,0
Neg_537,-0.62146,0
Neg_97,-0.06922,0
Neg_1719,-0.38836,0
Neg_1777,-1.2307,0
Neg_771,-0.92837,0
Neg_2070,-0.17369,0
Neg_1418,-0.78025,0
Neg_1167,-0.76664,0
Neg_2477,-0.41441,0
Neg_715,-0.79631,0
Neg_616,-1.21668,0
Neg_558,-0.52649,0
Neg_64,-1.04418,0
Neg_1316,-0.81433,0
Neg_1507,2.1748,0
Neg_1101,-1.20865,0
Neg_1796,-1.16561,0
Neg_1223,-0.02288,0
Neg_538,-0.49474,0
Neg_302,-0.83741,0
Neg_200,-0.62298,0
Neg_1730,-0.27263,0
Neg_876,-0.64984,0
Neg_326,-0.6327,0
Neg_1436,-0.71562,0
Neg_727,0.59985,0
Neg_1831,-0.10376,0
Neg_900,1.76556,0
Neg_1637,-0.21379,0
Neg_2635,0.28603,0
Neg_2454,-0.01126,0
Neg_1216,-0.25453,0
Neg_2191,-0.55205,0
Neg_1275,0.01932,0
Neg_2151,0.27026,0
Neg_1402,0.98441,0
Neg_717,0.04056,0
Neg_1862,-0.79941,0
Neg_158,0.18119,0
Neg_1740,-0.60125,0
Neg_1424,-1.021,0
Neg_943,0.56134,0
Neg_1688,-0.05744,0
Neg_148,-0.57866,0
Neg_2796,-0.34143,0
Neg_1887,-0.80979,0
Neg_2811,0.24821,0
Neg_859,-0.07614,0
Neg_2155,-0.7345,0
Neg_2045,-1.11453,0
Neg_1104,-0.43032,0
Neg_2638,-0.54982,0
Neg_962,-0.53773,0
Neg_2828,-1.16554,0
Neg_1944,-0.85327,0
Neg_523,1.50357,0
Neg_1319,-0.69099,0
Neg_562,0.81304,0
Neg_2456,-0.09453,0
Neg_1500,-0.64775,0
Neg_1913,0.12778,0
Neg_286,0.32529,0
Neg_2871,-0.46503,0
Neg_456,-0.34308,0
Neg_984,-1.04809,0
Neg_1837,-0.18755,0
Neg_2617,-0.18584,0
Neg_139,0.2588,0
Neg_1815,-0.0715,0
Neg_1157,-0.59627,0
Neg_1317,-0.50868,0
Neg_2405,-0.53839,0
Neg_45,-0.27599,0
Neg_1797,-1.17693,0
Neg_2769,-0.95811,0
Neg_1390,-1.2105,0
Neg_1018,-0.97556,0
Neg_602,-0.16043,0
Neg_182,-1.23238,0
Neg_1056,0.19712,0
Neg_2567,-0.77584,0
Neg_849,0.27049,0
Neg_2338,0.0544,0
Neg_422,-1.25642,0
Neg_1421,-0.42615,0
Neg_2439,-0.24751,0
Neg_563,0.48367,0
Neg_1622,-0.42429,0
Neg_1578,-0.49328,0
Neg_1939,-0.43142,0
Neg_163,-1.2628,0
Neg_287,-0.25997,0
Neg_787,1.18803,0
Neg_1846,-0.01736,0
Neg_1280,-0.61297,0
Neg_1918,-0.96163,0
Neg_999,1.07542,0
Neg_314,0.46244,0
Neg_2192,-1.01213,0
Neg_605,-0.67069,0
Neg_413,2.85658,0
Neg_1861,-0.71118,0
Neg_342,1.33537,0
Neg_398,0.30352,0
Neg_96,-0.94523,0
Neg_1924,1.35816,0
Neg_592,-0.78118,0
Neg_1985,-0.20473,0
Neg_1045,-0.28612,0
Neg_2542,-0.8797,0
Neg_2165,-0.72539,0
Neg_1526,-0.7489,0
Neg_2709,-0.43311,0
Neg_2230,-0.72588,0
Neg_2137,0.21696,0
Neg_2068,-0.90692,0
Neg_2163,1.15221,0
Neg_2247,-0.76835,0
Neg_529,-0.86537,0
Neg_936,-1.01194,0
Neg_2418,-0.8031,0
Neg_2487,-0.53175,0
Neg_703,-0.84561,0
Neg_1742,-0.78695,0
Neg_305,-0.43302,0
Neg_1078,-0.69676,0
Neg_1672,-1.00666,0
Neg_2568,1.37853,0
Neg_1911,-0.83949,0
Neg_2397,0.16821,0
Neg_992,-0.80342,0
Neg_1161,0.37624,0
Neg_2581,-0.15347,0
Neg_701,-1.01132,0
Neg_464,-0.26679,0
Neg_1692,-0.44826,0
Neg_774,-0.94778,0
Neg_2620,-0.57931,0
Neg_979,0.26011,0
Neg_2827,-0.81641,0
Neg_2729,-1.01309,0
Neg_2277,-0.75616,0
Neg_1632,-1.28827,0
Neg_2756,0.32655,0
Neg_1898,-0.41774,0
Neg_1391,0.07685,0
Neg_1059,-1.19569,0
Neg_1746,0.09111,0
Neg_1847,-0.53424,0
Neg_1490,-0.63777,0
Neg_450,1.75954,0
Neg_1448,0.4784,0
Neg_2410,-0.52595,0
Neg_1301,-0.71105,0
Neg_696,1.29459,0
Neg_2757,-0.65836,0
Neg_815,-1.12122,0
Neg_890,1.42513,0
Neg_2049,-0.91713,0
Neg_634,-0.43063,0
Neg_1241,-0.91424,0
Neg_1265,-0.19866,0
Neg_1145,0.35262,0
Neg_364,-0.37577,0
Neg_2428,-0.49435,0
Neg_2873,0.13423,0
Neg_2762,-0.57106,0
Neg_1932,0.01873,0
Neg_218,1.29528,0
Neg_1471,-1.1046,0
Neg_211,-0.82704,0
Neg_88,0.03588,0
Neg_1800,-0.53082,0
Neg_1995,0.41265,0
Neg_2231,-1.16599,0
Neg_1090,1.65444,0
Neg_1457,-0.52692,0
Neg_795,-0.17403,0
Neg_1614,0.88607,0
Neg_732,-0.28017,0
Neg_2025,-0.30576,0
Neg_2088,0.92391,0
Neg_2527,-0.62694,0
Neg_2021,-0.10893,0
Neg_2570,-1.20937,0
Neg_215,-1.01058,0
Neg_2516,-1.20417,0
Neg_1712,-0.69546,0
Neg_2010,-0.5989,0
Neg_1285,0.29567,0
Neg_2834,0.10842,0
Neg_2013,0.24954,0
Neg_945,-0.13518,0
Neg_1787,-0.75633,0
Neg_935,0.1584,0
Neg_2099,-0.11916,0
Neg_2179,0.31224,0
Neg_2726,-0.0147,0
Neg_1484,-0.44648,0
Neg_2381,-0.8827,0
Neg_1458,-0.46395,0
Neg_216,-1.14491,0
Neg_2725,0.0402,0
Neg_406,-0.35844,0
Neg_1363,-0.9165,0
Neg_1311,-0.82966,0
Neg_1149,0.25244,0
Neg_1218,0.08906,0
Neg_1597,-0.22873,0
Neg_2745,-0.47488,0
Neg_1477,-1.32641,0
Neg_2803,-0.58125,0
Neg_104,-0.60322,0
Neg_1900,-1.02357,0
Neg_2586,-0.78142,0
Neg_2050,-1.18421,0
Neg_1069,0.50574,0
Neg_336,-0.28995,0
Neg_2260,-0.78814,0
Neg_1733,-0.94491,0
Neg_1555,0.53615,0
Neg_2329,-0.34617,0
Neg_1878,0.4658,0
Neg_1893,-0.65092,0
Neg_1716,0.04625,0
Neg_2322,-0.3833,0
Neg_101,0.54215,0
Neg_16,-1.0915,0
Neg_31,-0.82967,0
Neg_240,0.44226,0
Neg_1117,-0.17581,0
Neg_2262,-0.0214,0
Neg_2861,-0.24754,0
Neg_1225,-0.23466,0
Neg_261,-0.23196,0
Neg_609,-0.7451,0
Neg_1352,-0.90086,0
Neg_733,0.06891,0
Neg_2593,0.46342,0
Neg_2259,0.77587,0
Neg_1785,-0.4462,0
Neg_847,-0.32195,0
Neg_684,-0.87479,0
Neg_1411,-0.26938,0
Neg_680,2.07953,0
Neg_502,-0.68215,0
Neg_1097,-0.43702,0
Neg_1826,-0.25862,0
Neg_702,0.31027,0
Neg_1626,-0.1514,0
Neg_2358,-1.03156,0
Neg_1026,-0.89928,0
Neg_82,-1.33563,0
Neg_509,-0.21577,0
Neg_1235,-0.83741,0
Neg_2118,-0.70565,0
Neg_1303,-0.39046,0
Neg_72,-1.09182,0
Neg_1147,-0.59574,0
Neg_2437,-0.57537,0
Neg_1770,-0.59482,0
Neg_177,-1.23973,0
Neg_978,-0.1755,0
Neg_724,1.19079,0
Neg_1766,-0.06236,0
Neg_868,-0.69363,0
Neg_1825,-0.75404,0
Neg_2020,-0.4318,0
Neg_1628,0.83292,0
Neg_892,-0.92038,0
Neg_2692,-1.06619,0
Neg_512,0.52667,0
Neg_2128,-0.06653,0
Neg_1647,-0.81423,0
Neg_2419,0.43742,0
Neg_2659,-1.26614,0
Neg_1214,-0.58146,0
Neg_411,0.06376,0
Neg_2321,-0.1533,0
Neg_1384,0.20024,0
Neg_1489,-1.16929,0
Neg_2666,-0.84697,0
Neg_1905,-0.09492,0
Neg_55,-0.83687,0
Neg_1178,-0.6615,0
Neg_2369,-0.53435,0
Neg_1,-0.64317,0
Neg_1999,-0.38661,0
Neg_1883,0.1146,0
Neg_1643,-1.07148,0
Neg_2885,0.58608,0
Neg_1786,-0.60579,0
Neg_1933,-0.74184,0
Neg_814,-0.40011,0
Neg_1593,-0.7587,0
Neg_1298,-0.94437,0
Neg_285,-0.98659,0
Neg_2792,-0.502,0
Neg_2154,-0.3058,0
Neg_1689,-0.79309,0
Neg_603,0.46963,0
Neg_1021,0.08116,0
Neg_1820,0.08889,0
Neg_222,-1.29567,0
Neg_256,0.16234,0
Neg_704,-0.56614,0
Neg_144,-1.18304,0
Neg_2067,-0.82353,0
Neg_1406,0.56464,0
Neg_2616,-0.85592,0
Neg_648,-0.20338,0
Neg_2774,-0.90864,0
Neg_292,0.32417,0
Neg_2667,-1.062,0
Neg_257,-0.70143,0
Neg_1768,-0.14555,0
Neg_2249,-0.68706,0
Neg_779,-0.44069,0
Neg_2513,-0.09808,0
Neg_2425,-0.79225,0
Neg_2272,0.18173,0
Neg_361,-0.77347,0
Neg_1745,-0.07609,0
Neg_2902,-0.36231,0
Neg_808,-0.3407,0
Neg_407,-0.93247,0
Neg_191,-0.18896,0
Neg_1737,-0.51187,0
Neg_1001,0.11136,0
Neg_2120,-1.22487,0
Neg_960,-0.09324,0
Neg_1356,-0.87979,0
Neg_1764,0.46829,0
Neg_901,0.35483,0
Neg_2556,-0.35889,0
Neg_303,-0.66665,0
Neg_654,-1.01114,0
Neg_251,0.33816,0
Neg_1958,-0.45108,0
Neg_2857,-0.26461,0
Neg_1824,-0.86836,0
Neg_9,-0.2032,0
Neg_1397,-1.17211,0
Neg_1841,0.36315,0
Neg_1197,-0.98944,0
Neg_1357,-0.1455,0
Neg_2898,-1.18919,0
Neg_2132,0.92372,0
Neg_647,-0.38715,0
Neg_2646,-0.17004,0
Neg_476,0.09685,0
Neg_231,0.60292,0
Neg_451,-0.40269,0
Neg_1073,-0.17823,0
Neg_7,-1.00167,0
Neg_1877,-0.98803,0
Neg_2912,1.43496,0
Neg_1968,1.50337,0
Neg_2590,0.02184,0
Neg_2781,-0.56118,0
Neg_940,-0.7007,0
Neg_459,-0.6676,0
Neg_1657,-0.61583,0
Neg_2544,-0.50972,0
Neg_2345,-1.16188,0
Neg_2406,-0.72814,0
Neg_2060,-0.99037,0
Neg_2697,0.57182,0
Neg_1979,-0.07098,0
Neg_875,1.53383,0
Neg_798,0.30242,0
Neg_2520,-0.69202,0
Neg_2252,0.05225,0
Neg_1502,-1.04843,0
Neg_2316,-1.22977,0
Neg_2282,0.37887,0
Neg_2664,0.31504,0
Neg_1274,2.34761,0
Neg_1290,0.18858,0
Neg_299,-0.0317,0
Neg_2528,-0.31397,0
Neg_1387,-0.32502,0
Neg_13,-0.06225,0
Neg_586,0.07531,0
Neg_1691,0.09033,0
Neg_629,0.5242,0
Neg_1089,-1.1139,0
Neg_2884,-0.37788,0
Neg_2610,-0.72009,0
Neg_470,-1.05259,0
Neg_1649,1.22279,0
Neg_1177,1.21302,0
Neg_2447,-0.90947,0
Neg_10,0.9955,0
Neg_2623,0.14925,0
Neg_265,-0.47719,0
Neg_273,-0.28748,0
Neg_2305,-0.53093,0
Neg_915,-0.83531,0
Neg_1945,-1.10697,0
Neg_961,-0.50984,0
Neg_2662,-0.76304,0
Neg_1146,-0.63284,0
Neg_1137,-1.13972,0
Neg_41,-0.71329,0
Neg_1496,0.28318,0
Neg_2270,-1.00739,0
Neg_1721,-1.03196,0
Neg_2196,-0.46318,0
Neg_1988,-1.05472,0
Neg_2464,0.11016,0
Neg_521,-0.30009,0
Neg_1062,0.50945,0
Neg_899,-0.19698,0
Neg_374,-0.51831,0
Neg_2106,-0.35765,0
Neg_3,-0.36799,0
Neg_405,-1.16977,0
Neg_1873,1.04964,0
Neg_2506,0.89573,0
Neg_2777,-0.31865,0
Neg_762,0.0027,0
Neg_401,2.3092,0
Neg_1801,1.76672,0
Neg_2863,-0.07429,0
Neg_2412,-0.02425,0
Neg_1094,-0.97967,0
Neg_1795,0.25401,0
Neg_1144,1.42442,0
Neg_1201,-0.90407,0
Neg_2435,2.19224,0
Neg_252,-0.58481,0
Neg_2676,-0.72479,0
Neg_322,-0.42214,0
Neg_1525,-0.6951,0
Neg_1228,-0.97112,0
Neg_2042,-1.19272,0
Neg_2308,1.38781,0
Neg_2157,-0.87902,0
Neg_2159,0.23864,0
Neg_2734,-0.75513,0
Neg_1207,-0.42582,0
Neg_120,-0.56497,0
Neg_2631,-0.04758,0
Neg_595,0.85423,0
Neg_993,2.34752,0
Neg_1596,-0.80586,0
Neg_2868,-0.84413,0
Neg_579,-0.05942,0
Neg_1663,1.16285,0
Neg_1040,-0.34811,0
Neg_2240,-0.91836,0
Neg_2349,-1.33008,0
Neg_2207,-0.80161,0
Neg_1153,0.41413,0
Neg_580,0.70371,0
Neg_2390,-0.12474,0
Neg_1683,-0.91662,0
Neg_2601,-1.38361,0
Neg_2888,-0.20498,0
Neg_1121,0.22413,0
Neg_2688,-0.07799,0
Neg_1493,1.49081,0
Neg_1272,0.02967,0
Neg_1242,-0.87384,0
Neg_1292,0.721,0
Neg_2398,-1.14936,0
Neg_1990,0.35601,0
Neg_2241,-0.43316,0
Neg_508,-0.05816,0
Neg_307,-0.57956,0
Neg_2448,-0.26872,0
Neg_600,-0.01407,0
Neg_601,-0.71955,0
Neg_1217,-0.69353,0
Neg_839,0.995,0
Neg_682,-0.93693,0
Neg_2187,-0.61592,0
Neg_2821,-0.35906,0
Neg_2789,-0.37978,0
Neg_169,-0.70858,0
Neg_320,-1.36668,0
Neg_2889,-0.76081,0
Neg_17,-1.16764,0
Neg_1714,-0.49837,0
Neg_2605,-0.37796,0
Neg_1527,3.05627,0
Neg_83,1.4773,0
Neg_2246,0.06798,0
Neg_114,2.28918,0
Neg_1808,0.15128,0
Neg_958,0.64485,0
Neg_2093,-0.71451,0
Neg_1561,-0.87158,0
Neg_1870,-1.25899,0
Neg_1335,0.4419,0
Neg_1574,-0.44795,0
Neg_2188,-0.31522,0
Neg_608,-0.32441,0
Neg_1240,-0.07404,0
Neg_2628,1.55128,0
Neg_1855,-0.02129,0
Neg_1793,1.10672,0
Neg_2263,-0.94706,0
Neg_2400,-0.56618,0
Neg_1583,-0.25573,0
Neg_410,1.1833,0
Neg_2849,-0.40699,0
Neg_1389,-1.17462,0
Neg_130,-0.91238,0
Neg_2784,-0.89257,0
Neg_2759,-0.44758,0
Neg_2148,0.7755,0
Neg_2886,-0.39874,0
Neg_903,-0.9241,0
Neg_2844,-0.57829,0
Neg_1071,-1.0075,0
Neg_2491,-0.29539,0
Neg_2731,-1.18472,0
Neg_1497,-1.12946,0
Neg_2096,-0.26793,0
Neg_2234,-0.41033,0
Neg_263,-0.78906,0
Neg_2409,-0.86033,0
Neg_171,-0.91557,0
Neg_2185,-0.74501,0
Neg_1630,-0.10009,0
Neg_239,-0.05046,0
Neg_933,-0.89228,0
Neg_2276,-0.77291,0
Neg_2707,-0.9786,0
Neg_1971,0.15221,0
Neg_293,-0.22461,0
Neg_766,-0.86835,0
Neg_1208,-0.15426,0
Neg_1076,0.02708,0
Neg_2860,0.0153,0
Neg_2048,0.93471,0
Neg_837,0.38732,0
Neg_2085,-0.03667,0
Neg_1812,-1.39716,0
Neg_659,-0.27197,0
Neg_2775,0.47103,0
Neg_807,-0.84636,0
Neg_379,-0.96525,0
Neg_683,-0.7516,0
Neg_2124,-0.37052,0
Neg_1239,0.46065,0
Neg_1478,-0.66341,0
Neg_711,0.50936,0
Neg_1422,-0.43655,0
Neg_2642,-0.37801,0
Neg_2243,-0.99316,0
Neg_419,0.00648,0
Neg_2335,-0.58843,0
Neg_708,0.30737,0
Neg_2224,-0.43299,0
Neg_75,-0.78781,0
Neg_1927,-0.81334,0
Neg_396,1.66356,0
Neg_2062,-0.32473,0
Neg_1758,-0.7813,0
Neg_1696,-0.10583,0
Neg_1938,-0.9487,0
Neg_2212,-0.93525,0
Neg_491,-0.35847,0
Neg_857,1.09921,0
Neg_2686,0.18372,0
Neg_2549,-0.78411,0
Neg_465,-0.05798,0
Neg_214,-0.49188,0
Neg_1450,-0.06781,0
Neg_2311,-0.27307,0
Neg_566,-0.60147,0
Neg_1468,-1.13597,0
Neg_324,-0.31068,0
Neg_1106,-0.69757,0
Neg_1455,-0.88285,0
Neg_1775,-1.06509,0
Neg_2533,-0.47944,0
Neg_84,-0.32241,0
Neg_2087,-0.75339,0
Neg_454,-0.93964,0
Neg_1320,0.24603,0
Neg_534,0.06921,0
Neg_2600,-0.42693,0
Neg_2303,-0.13634,0
Neg_1332,1.89065,0
Neg_1096,-0.53007,0
Neg_278,-0.63022,0
Neg_2916,-0.71982,0
Neg_365,0.09067,0
Neg_929,-0.6387,0
Neg_955,-0.69129,0
Neg_1510,-0.99834,0
Neg_974,-1.11538,0
Neg_2768,-0.133,0
Neg_1142,-0.81641,0
Neg_1174,-0.10753,0
Neg_848,-0.72332,0
Neg_991,-0.25004,0
Neg_565,-0.52877,0
Neg_1973,-0.79592,0
Neg_1172,-0.31485,0
Neg_2450,-0.59289,0
Neg_2795,0.22062,0
Neg_33,-0.70885,0
Neg_2216,2.74668,0
Neg_2359,0.95844,0
Neg_515,0.14935,0
Neg_208,-0.85871,0
Neg_2503,-0.61766,0
Neg_2396,-0.22971,0
Neg_1670,0.64499,0
Neg_8,-0.23928,0
Neg_1802,-0.2882,0
Neg_1617,-0.20719,0
Neg_1353,-0.25238,0
Neg_917,-0.44495,0
Neg_1912,-0.51466,0
Neg_2647,-0.77772,0
Neg_2682,0.05306,0
Neg_1130,-0.04256,0
Neg_1914,2.99815,0
Neg_1659,-0.56489,0
Neg_1233,-0.27951,0
Neg_2379,-0.47515,0
Neg_1832,-1.17073,0
Neg_1156,-1.32039,0
Neg_2258,-1.12773,0
Neg_461,0.54911,0
Neg_1432,-0.34875,0
Neg_1840,0.23389,0
Neg_51,2.62418,0
Neg_2078,-0.45451,0
Neg_1658,0.45929,0
Neg_1291,-0.14308,0
Neg_2421,0.16454,0
Neg_1107,-0.53295,0
Neg_57,-0.65339,0
Neg_56,-0.04256,0
Neg_1535,-0.37652,0
Neg_728,1.20605,0
Neg_612,-0.82836,0
Neg_1789,-0.93032,0
Neg_2923,-0.63478,0
Neg_998,-0.02118,0
Neg_2027,1.05437,0
Neg_1120,-0.44909,0
Neg_938,-0.02305,0
Neg_1639,-1.17434,0
Neg_1380,-0.0135,0
Neg_995,-0.77899,0
Neg_274,0.26514,0
Neg_1731,-1.25428,0
Neg_1423,-0.92564,0
Neg_1720,-0.77331,0
Neg_1176,-1.06597,0
Neg_298,-0.82684,0
Neg_1494,0.12315,0
Neg_2041,-0.73656,0
Neg_2033,0.32352,0
Neg_1010,-0.94996,0
Neg_964,-0.89212,0
Neg_735,-0.91084,0
Neg_245,-0.39824,0
Neg_317,-0.56894,0
Neg_1277,-0.96816,0
Neg_213,-0.97924,0
Neg_109,-0.02899,0
Neg_1604,-0.73841,0
Neg_2004,0.59053,0
Neg_1848,0.91505,0
Neg_1998,-0.58538,0
Neg_968,-0.80171,0
Neg_1860,-0.47098,0
Neg_854,-0.0475,0
Neg_229,1.68117,0
Neg_397,-0.36274,0
Neg_1864,-1.05994,0
Neg_2553,-0.88552,0
Neg_1504,-1.11429,0
Neg_2824,-0.81762,0
Neg_20,0.88196,0
Neg_1594,-1.08028,0
Neg_2657,-0.04484,0
Neg_1823,-0.15153,0
Neg_2352,-0.8647,0
Neg_675,-0.68632,0
Neg_38,-0.69775,0
Neg_2630,-0.60013,0
Neg_1313,-1.21944,0
Neg_2083,-1.04038,0
Neg_224,-0.77763,0
Neg_1271,-0.78846,0
Neg_2404,-0.09246,0
Neg_91,-1.08784,0
Neg_2318,-0.61568,0
Neg_2034,0.78742,0
Neg_2914,-0.49459,0
Neg_2749,-0.78841,0
Neg_1143,0.28451,0
Neg_80,-1.31496,0
Neg_289,-0.33546,0
Neg_1262,0.41498,0
Neg_2269,-0.3744,0
Neg_922,-1.23178,0
Neg_1843,-1.06037,0
Neg_40,1.31942,0
Neg_1771,0.10711,0
Neg_1068,-0.74262,0
Neg_1857,-1.12808,0
Neg_635,-1.2655,0
Neg_2908,-0.6074,0
Neg_2651,-1.16091,0
Neg_781,-0.793,0
Neg_574,-0.7304,0
Neg_151,0.36136,0
Neg_356,0.27499,0
Neg_1012,-0.60336,0
Neg_455,-0.88394,0
Neg_2395,-1.05991,0
Neg_173,-0.9317,0
Neg_1744,0.33364,0
Neg_1127,-0.71466,0
Neg_872,1.54347,0
Neg_556,-1.30288,0
Neg_1872,-1.10941,0
Neg_1175,-0.54409,0
Neg_2738,0.06683,0
Neg_2341,-0.93185,0
Neg_2539,-0.24065,0
Neg_2859,-0.72782,0
