,Isoelectric_point,y
Neg_1384,-1.36254,0
Neg_1489,-0.66402,0
Neg_2666,-0.33582,0
Neg_1905,0.68821,0
Neg_55,-0.75635,0
Neg_1178,0.43178,0
Neg_2369,-0.21417,0
Neg_1,0.11908,0
Neg_1999,0.9598,0
Neg_1883,-0.6684,0
Neg_1643,-0.41703,0
Neg_2885,-0.44937,0
Neg_1786,-0.05951,0
Neg_1933,-1.13998,0
Neg_814,-1.49791,0
Neg_1593,-0.35502,0
Neg_1298,0.76512,0
Neg_285,0.85012,0
Neg_2792,-1.19322,0
Neg_2154,0.49614,0
Neg_1689,-1.51247,0
Neg_603,-1.22051,0
Neg_1021,-0.14746,0
Neg_1820,-1.2564,0
Neg_222,0.73134,0
Neg_256,-0.41029,0
Neg_704,-0.75837,0
Neg_144,-1.22674,0
Neg_2067,0.1457,0
Neg_1406,-1.65915,0
Neg_2616,0.10863,0
Neg_648,-1.04495,0
Neg_2774,-0.85718,0
Neg_292,0.72789,0
Neg_2667,0.57469,0
Neg_257,-1.03585,0
Neg_1768,1.32136,0
Neg_2249,0.75842,0
Neg_779,0.65203,0
Neg_2513,-0.44162,0
Neg_2425,-1.26175,0
Neg_2272,0.79738,0
Neg_361,-1.16938,0
Neg_1745,0.54584,0
Neg_2902,0.6639,0
Neg_808,-0.9939,0
Neg_407,-0.90916,0
Neg_191,-1.49092,0
Neg_1737,-0.94437,0
Neg_1001,0.54635,0
Neg_2120,0.64423,0
Neg_960,-1.14874,0
Neg_1356,0.14511,0
Neg_1764,-0.46555,0
Neg_901,-1.60856,0
Neg_2556,0.36624,0
Neg_303,0.50777,0
Neg_654,-0.3926,0
Neg_251,-1.19456,0
Neg_1958,-0.41096,0
Neg_2857,0.22725,0
Neg_1824,-1.67052,0
Neg_9,-1.49783,0
Neg_1397,0.54685,0
Neg_1841,-1.26448,0
Neg_1197,-0.96627,0
Neg_1357,-0.42781,0
Neg_2898,0.86073,0
Neg_2132,-1.33255,0
Neg_647,-1.37576,0
Neg_2646,0.78744,0
Neg_476,-0.96459,0
Neg_231,-0.28157,0
Neg_451,-0.06591,0
Neg_1073,0.60734,0
Neg_7,1.34023,0
Neg_1877,-0.20946,0
Neg_2912,-1.04849,0
Neg_1968,-0.19952,0
Neg_2590,-1.41898,0
Neg_2781,-0.75095,0
Neg_940,-0.81599,0
Neg_459,1.04732,0
Neg_1657,-1.44914,0
Neg_2544,0.37517,0
Neg_2345,0.20871,0
Neg_2406,-1.46645,0
Neg_2060,-0.15133,0
Neg_2697,0.19018,0
Neg_1979,0.42555,0
Neg_875,-0.47094,0
Neg_798,0.92615,0
Neg_2520,-0.35637,0
Neg_2252,0.68909,0
Neg_1502,0.78635,0
Neg_2316,0.54449,0
Neg_2282,0.57179,0
Neg_2664,-0.21215,0
Neg_1274,-1.57381,0
Neg_1290,0.1329,0
Neg_299,-1.46422,0
Neg_2528,-1.21739,0
Neg_1387,-1.74128,0
Neg_13,-1.44539,0
Neg_586,-0.75196,0
Neg_1691,-1.37939,0
Neg_629,-0.41703,0
Neg_1089,-0.21754,0
Neg_2884,-0.7614,0
Neg_2610,0.50364,0
Neg_470,-0.83587,0
Neg_1649,1.57779,0
Neg_1177,-1.34973,0
Neg_2447,0.53927,0
Neg_10,0.23331,0
Neg_2623,0.34383,0
Neg_265,-1.43996,0
Neg_273,-1.49783,0
Neg_2305,-1.65056,0
Neg_915,0.64011,0
Neg_1945,0.78323,0
Neg_961,0.74888,0
Neg_2662,-1.02254,0
Neg_1146,0.64137,0
Neg_1137,-0.97773,0
Neg_41,-0.05412,0
Neg_1496,0.15109,0
Neg_2270,-1.41915,0
Neg_1721,0.31991,0
Neg_2196,-1.16424,0
Neg_1988,-1.31292,0
Neg_2464,0.09987,0
Neg_521,-1.36675,0
Neg_1062,0.70236,0
Neg_899,0.59319,0
Neg_374,-1.18774,0
Neg_2106,1.14942,0
Neg_3,0.7759,0
Neg_405,-1.01176,0
Neg_1873,-1.52596,0
Neg_2506,-0.39546,0
Neg_2777,0.36018,0
Neg_762,0.16828,0
Neg_401,-1.498,0
Neg_1801,1.93092,0
Neg_2863,0.59992,0
Neg_2412,-0.45611,0
Neg_1094,-1.41894,0
Neg_1795,-0.46016,0
Neg_1144,-0.28847,0
Neg_1201,-1.24359,0
Neg_2435,-0.43859,0
Neg_252,-0.74523,0
Neg_2676,0.62039,0
Neg_322,-0.06119,0
Neg_1525,0.42993,0
Neg_1228,-0.74674,0
Neg_2042,0.42993,0
Neg_2308,0.73302,0
Neg_2157,0.68901,0
Neg_2159,1.43256,0
Neg_2734,-0.66334,0
Neg_1207,-0.62729,0
Neg_120,0.57095,0
Neg_2631,1.10697,0
Neg_595,0.17401,0
Neg_993,0.45284,0
Neg_1596,-1.2943,0
Neg_2868,-0.43859,0
Neg_579,0.56505,0
Neg_1663,-0.10837,0
Neg_1040,-0.9629,0
Neg_2240,-0.06507,0
Neg_2349,1.72403,0
Neg_2207,-0.63504,0
Neg_1153,0.55208,0
Neg_580,0.90218,0
Neg_2390,0.5883,0
Neg_1683,1.27932,0
Neg_2601,0.25151,0
Neg_2888,-1.12498,0
Neg_1121,-1.41763,0
Neg_2688,0.43296,0
Neg_1493,-1.53708,0
Neg_1272,-1.32362,0
Neg_1242,0.51661,0
Neg_1292,-1.45874,0
Neg_2398,-0.09354,0
Neg_1990,-0.13937,0
Neg_2241,1.01776,0
Neg_508,-0.56512,0
Neg_307,0.31848,0
Neg_2448,-1.36389,0
Neg_600,0.40112,0
Neg_601,-0.6192,0
Neg_1217,-1.19709,0
Neg_839,0.46076,0
Neg_682,0.60532,0
Neg_2187,0.43414,0
Neg_2821,0.3467,0
Neg_2789,-0.35806,0
Neg_169,-0.67076,0
Neg_320,-0.67042,0
Neg_2889,-1.37694,0
Neg_17,0.16828,0
Neg_1714,0.82468,0
Neg_2605,0.31502,0
Neg_1527,1.37291,0
Neg_83,0.81423,0
Neg_2246,-0.06928,0
Neg_114,0.78694,0
Neg_1808,-0.73613,0
Neg_958,-1.63135,0
Neg_2093,0.53135,0
Neg_1561,0.1174,0
Neg_1870,0.54129,0
Neg_1335,-1.63346,0
Neg_1574,0.42066,0
Neg_2188,-1.47732,0
Neg_608,1.17478,0
Neg_1240,0.13424,0
Neg_2628,0.7551,0
Neg_1855,-1.44333,0
Neg_1793,-1.32606,0
Neg_2263,1.13502,0
Neg_2400,0.21461,0
Neg_1583,-1.10577,0
Neg_410,-1.42201,0
Neg_2849,-1.61379,0
Neg_1389,-1.26941,0
Neg_130,-1.25547,0
Neg_2784,0.59019,0
Neg_2759,1.34023,0
Neg_2148,0.6599,0
Neg_2886,0.72776,0
Neg_903,-1.5242,0
Neg_2844,0.6995,0
Neg_1071,-0.92213,0
Neg_2491,0.48435,0
Neg_2731,0.91292,0
Neg_1497,0.98676,0
Neg_2096,-0.75702,0
Neg_2234,-1.46727,0
Neg_263,-0.65964,0
Neg_2409,-0.65425,0
Neg_171,-1.31553,0
Neg_2185,0.073,0
Neg_1630,0.10257,0
Neg_239,-0.44786,0
Neg_933,-0.87799,0
Neg_2276,0.33844,0
Neg_2707,-0.46285,0
Neg_1971,-0.48172,0
Neg_293,1.1207,0
Neg_766,0.54609,0
Neg_1208,0.45368,0
Neg_1076,0.66698,0
Neg_2860,-0.99154,0
Neg_2048,0.79738,0
Neg_837,-1.28807,0
Neg_2085,0.63514,0
Neg_1812,0.82367,0
Neg_659,0.77557,0
Neg_2775,-1.30113,0
Neg_807,0.59655,0
Neg_379,-1.24258,0
Neg_683,0.63834,0
Neg_2124,0.16929,0
Neg_1239,0.47289,0
Neg_1478,-1.33929,0
Neg_711,0.67928,0
Neg_1422,0.50541,0
Neg_2642,0.82274,0
Neg_2243,0.3745,0
Neg_419,-1.39017,0
Neg_2335,0.11302,0
Neg_708,-0.76106,0
Neg_2224,0.54517,0
Neg_75,0.50827,0
Neg_1927,-1.11765,0
Neg_396,-1.75173,0
Neg_2062,0.45992,0
Neg_1758,0.85513,0
Neg_1696,0.68349,0
Neg_1938,-0.65155,0
Neg_2212,-0.85979,0
Neg_491,-0.43758,0
Neg_857,0.68568,0
Neg_2686,-1.51434,0
Neg_2549,-1.30306,0
Neg_465,0.51737,0
Neg_214,0.41763,0
Neg_1450,0.93486,0
Neg_2311,-1.4814,0
Neg_566,0.81432,0
Neg_1468,-1.43629,0
Neg_324,0.53599,0
Neg_1106,0.50962,0
Neg_1455,1.32119,0
Neg_1775,-0.19851,0
Neg_2533,0.63177,0
Neg_84,-0.13667,0
Neg_2087,-0.42781,0
Neg_454,-1.39122,0
Neg_1320,-0.16363,0
Neg_534,0.14974,0
Neg_2600,-0.36311,0
Neg_2303,-1.45053,0
Neg_1332,-0.52485,0
Neg_1096,-0.35637,0
Neg_278,0.73454,0
Neg_2916,0.63345,0
Neg_365,0.95491,0
Neg_929,1.06358,0
Neg_955,0.37138,0
Neg_1510,-1.34957,0
Neg_974,0.62536,0
Neg_2768,0.73218,0
Neg_1142,-1.60827,0
Neg_1174,0.25176,0
Neg_848,0.47407,0
Neg_991,-0.74691,0
Neg_565,1.01776,0
Neg_1973,-1.48035,0
Neg_1172,-1.12507,0
Neg_2450,1.07976,0
Neg_2795,1.13856,0
Neg_33,-1.45053,0
Neg_2216,-1.45874,0
Neg_2359,0.50338,0
Neg_515,-1.36464,0
Neg_208,-0.56689,0
Neg_2503,0.63514,0
Neg_2396,0.79738,0
Neg_1670,1.00546,0
Neg_8,0.64011,0
Neg_1802,0.44189,0
Neg_1617,-0.06086,0
Neg_1353,-0.1109,0
Neg_917,-1.3451,0
Neg_1912,0.35698,0
Neg_2647,-0.52081,0
Neg_2682,0.81423,0
Neg_1130,0.68332,0
Neg_1914,-0.52485,0
Neg_1659,-1.42012,0
Neg_1233,0.60532,0
Neg_2379,1.34436,0
Neg_1832,-1.29582,0
Neg_1156,-0.2071,0
Neg_2258,0.69116,0
Neg_461,0.82552,0
Neg_1432,0.15817,0
Neg_1840,0.41898,0
Neg_51,-1.69579,0
Neg_2078,0.09078,0
Neg_1658,-1.18395,0
Neg_1291,0.56598,0
Neg_2421,-0.94993,0
Neg_1107,-0.05808,0
Neg_57,0.49328,0
Neg_56,1.32422,0
Neg_1535,-1.6081,0
Neg_728,-0.9437,0
Neg_612,-0.3557,0
Neg_1789,-0.21215,0
Neg_2923,0.44863,0
Neg_998,0.66091,0
Neg_2027,0.1639,0
Neg_1120,0.51421,0
Neg_938,-1.39969,0
Neg_1639,-1.55545,0
Neg_1380,0.62402,0
Neg_995,-0.75095,0
Neg_274,0.79098,0
Neg_1731,-0.94808,0
Neg_1423,0.75493,0
Neg_1720,0.14098,0
Neg_1176,1.39764,0
Neg_298,-0.41163,0
Neg_1494,-0.4086,0
Neg_2041,-0.5909,0
Neg_2033,-0.16633,0
Neg_1010,-1.43195,0
Neg_964,-1.43461,0
Neg_735,-0.06962,0
Neg_245,-0.22934,0
Neg_317,-1.36452,0
Neg_1277,0.52613,0
Neg_213,0.51333,0
Neg_109,-0.54642,0
Neg_1604,0.77245,0
Neg_2004,-0.43859,0
Neg_1848,-1.01884,0
Neg_1998,-0.76275,0
Neg_968,0.51636,0
Neg_1860,-1.53245,0
Neg_854,1.36247,0
Neg_229,0.1585,0
Neg_397,-0.51036,0
Neg_1864,-1.34805,0
Neg_2553,0.84178,0
Neg_1504,-0.74438,0
Neg_2824,0.32842,0
Neg_20,0.29177,0
Neg_1594,-1.34771,0
Neg_2657,0.45832,0
Neg_1823,-1.2997,0
Neg_2352,0.53624,0
Neg_675,-1.60759,0
Neg_38,0.16289,0
Neg_2630,0.46009,0
Neg_1313,-0.06473,0
Neg_2083,-1.13273,0
Neg_224,0.74861,0
Neg_1271,0.27088,0
Neg_2404,0.61138,0
Neg_91,-0.91977,0
Neg_2318,-0.23507,0
Neg_2034,0.12582,0
Neg_2914,0.60532,0
Neg_2749,-1.3339,0
Neg_1143,-1.32362,0
Neg_80,-1.31587,0
Neg_289,1.22718,0
Neg_1262,1.12137,0
Neg_2269,-1.429,0
Neg_922,0.77043,0
Neg_1843,-0.78094,0
Neg_40,-0.48172,0
Neg_1771,-0.75432,0
Neg_1068,-1.15354,0
Neg_1857,1.17672,0
Neg_635,0.39876,0
Neg_2908,0.02355,0
Neg_2651,1.37489,0
Neg_781,0.21427,0
Neg_574,-1.02423,0
Neg_151,-1.23508,0
Neg_356,1.25363,0
Neg_1012,0.4354,0
Neg_455,1.02096,0
Neg_2395,-0.15537,0
Neg_173,-1.09112,0
Neg_1744,1.37291,0
Neg_1127,0.89245,0
Neg_872,1.82175,0
Neg_556,1.13253,0
Neg_1872,0.61879,0
Neg_1175,0.50221,0
Neg_2738,-0.53698,0
Neg_2341,0.39438,0
Neg_2539,-1.31284,0
Neg_2859,-0.48172,0
Neg_106,-1.4894,0
Neg_453,-1.37897,0
Neg_1396,-1.23955,0
Neg_2665,0.77919,0
Neg_2357,0.55865,0
Neg_1937,0.44669,0
Neg_2673,0.23365,0
Neg_693,0.0928,0
Neg_769,0.89039,0
Neg_2833,-0.76258,0
Neg_2773,-1.2943,0
Neg_1447,-0.78903,0
Neg_29,0.64137,0
Neg_489,0.64946,0
Neg_2545,-1.38389,0
Neg_1306,-0.46487,0
Neg_617,0.68989,0
