,Calculate_mw,Calculate_charge,y
Neg_2763,0.95339,-0.55272,0
Neg_2198,1.44212,1.05468,0
Neg_260,-0.66216,-0.52081,0
Neg_743,-0.03005,0.56815,0
Neg_1798,-0.19306,-0.21397,0
Neg_805,1.0572,-1.30502,0
Neg_2446,1.88283,1.11668,0
Neg_1456,-0.8292,0.81168,0
Neg_853,-1.06873,0.01909,0
Neg_1866,-0.12851,0.02694,0
Neg_1972,1.58708,2.07641,0
Neg_1250,2.15725,-0.58306,0
Neg_2893,1.67461,1.38061,0
Neg_415,-0.22103,-0.49543,0
Neg_2440,-0.71227,0.33272,0
Neg_1947,-0.31061,-0.79991,0
Neg_2296,0.92936,2.11957,0
Neg_1491,2.41924,-0.1988,0
Neg_1592,0.82201,-2.30844,0
Neg_833,0.51428,1.892,0
Neg_2254,-0.93601,0.54303,0
Neg_2786,1.23741,0.78918,0
Neg_1307,1.28791,0.29898,0
Neg_1022,-0.74986,0.00183,0
Neg_2289,-0.08989,-0.24039,0
Neg_2564,-0.26167,-0.80017,0
Neg_1131,0.82701,2.18915,0
Neg_2814,0.52578,-1.25401,0
Neg_2346,-0.45434,0.28093,0
Neg_2538,0.69582,-0.24092,0
Neg_503,-0.30368,1.0913,0
Neg_614,-0.17755,-0.01596,0
Neg_2227,-0.21912,0.54251,0
Neg_1977,1.09655,-0.00811,0
Neg_1151,1.12212,0.55193,0
Neg_2315,0.24408,0.09626,0
Neg_1180,0.93985,1.88493,0
Neg_308,0.064,1.107,0
Neg_1426,0.40094,1.05599,0
Neg_12,2.08134,1.38663,0
Neg_506,1.0134,0.28041,0
Neg_136,1.22972,-2.06229,0
Neg_378,-0.49396,-1.54881,0
Neg_2058,-0.3499,-0.24249,0
Neg_2336,0.27382,-1.54855,0
Neg_2220,1.70757,-0.97308,0
Neg_262,-0.87476,0.01883,0
Neg_1888,0.56335,-1.2786,0
Neg_2552,0.27347,-0.23307,0
Neg_1340,2.10628,1.64873,0
Neg_1753,0.00309,0.26445,0
Neg_941,1.92744,0.87995,0
Neg_689,-0.12255,0.0701,0
Neg_403,2.01865,-0.38374,0
Neg_2524,1.21311,2.12846,0
Neg_1006,0.50966,-1.00106,0
Neg_89,-0.45955,0.82972,0
Neg_1956,0.62477,0.01857,0
Neg_2723,0.55153,0.5501,0
Neg_34,0.65823,0.00104,0
Neg_757,-0.43581,0.8122,0
Neg_1170,-0.85195,0.04525,0
Neg_1405,1.5294,0.31363,0
Neg_1634,0.67736,-0.1287,0
Neg_835,1.9656,0.76773,0
Neg_1809,1.34151,4.72803,0
Neg_296,0.99941,0.27936,0
Neg_1989,1.75047,0.72562,0
Neg_636,1.47356,1.15147,0
Neg_1350,-0.00992,-1.02591,0
Neg_160,-1.19529,-0.21659,0
Neg_1524,-0.13242,0.55036,0
Neg_836,2.33725,-6.975,0
Neg_1885,0.34599,-0.23385,0
Neg_1723,2.17306,0.04551,0
Neg_1139,1.31547,0.30134,0
Neg_531,0.21646,-0.25897,0
Neg_131,1.76192,-0.76617,0
Neg_226,1.36461,-0.73033,0
Neg_2031,0.79915,0.12372,0
Neg_1050,0.58734,-0.44286,0
Neg_2215,-0.58645,0.33272,0
Neg_1008,0.06032,-0.00785,0
Neg_755,-0.80653,0.01935,0
Neg_1309,-0.78833,0.82972,0
Neg_1348,0.47368,0.07219,0
Neg_2829,-1.01312,-0.50407,0
Neg_1281,-0.46355,-0.1818,0
Neg_2879,-0.99034,0.59378,0
Neg_2182,1.30617,-1.53207,0
Neg_513,-0.32774,0.78526,0
Neg_2222,-0.80916,-1.04423,0
Neg_2348,-0.06685,0.01674,0
Neg_549,-0.57512,1.30867,0
Neg_2669,-0.33477,0.0442,0
Neg_1248,0.78121,0.5964,0
Neg_19,0.80546,-1.31287,0
Neg_1763,-0.34099,0.80357,0
Neg_2832,-0.30738,-0.52054,0
Neg_1992,1.25047,-1.03664,0
Neg_2675,1.08825,0.81194,0
Neg_203,2.27088,0.76773,0
Neg_2314,1.50792,-0.71176,0
Neg_460,1.03542,-0.07848,0
Neg_248,1.41826,0.78578,0
Neg_418,1.02391,-0.44259,0
Neg_1007,1.98373,0.02903,0
Neg_2178,0.16447,-0.209,0
Neg_537,0.83987,0.83809,0
Neg_97,1.31313,1.62309,0
Neg_1719,0.379,2.14468,0
Neg_1777,0.77752,-1.52344,0
Neg_771,1.78971,3.38116,0
Neg_2070,0.1838,-0.23438,0
Neg_1418,0.89867,1.0743,0
Neg_1167,0.91723,0.01726,0
Neg_2477,1.76179,-0.1784,0
Neg_715,1.76185,-0.70313,0
Neg_616,1.51358,-2.84572,0
Neg_558,0.84551,1.8504,0
Neg_64,0.19837,1.16795,0
Neg_1316,0.13404,-1.54986,0
Neg_1507,-1.09442,0.28067,0
Neg_1101,1.04906,0.10646,0
Neg_1796,1.03636,-0.6856,0
Neg_1223,2.0412,-0.55141,0
Neg_538,1.93713,-0.21084,0
Neg_302,1.62771,-2.69871,0
Neg_200,1.17153,0.89067,0
Neg_1730,0.88524,-1.02539,0
Neg_876,1.33842,0.00941,0
Neg_326,0.58164,4.98856,0
Neg_1436,0.0907,0.18833,0
Neg_727,-0.24744,0.06225,0
Neg_1831,1.71974,0.83966,0
Neg_900,-1.05065,-0.19096,0
Neg_1637,-0.13638,-0.22575,0
Neg_2635,-0.37191,2.90404,0
Neg_2454,0.32354,1.32751,0
Neg_1216,0.6645,0.07219,0
Neg_2191,1.28608,-1.30502,0
Neg_1275,-0.3693,1.32646,0
Neg_2151,1.31901,-1.80019,0
Neg_1402,-1.18572,-0.24275,0
Neg_717,-0.89508,0.28041,0
Neg_1862,-0.91255,-0.05153,0
Neg_158,-0.10177,-0.52185,0
Neg_1740,1.37992,-3.08192,0
Neg_1424,0.24908,1.04919,0
Neg_943,-0.30512,-2.28123,0
Neg_1688,-0.91165,0.26995,0
Neg_148,1.075,0.26367,0
Neg_2796,1.84549,0.27884,0
Neg_1887,0.89512,-1.29639,0
Neg_2811,-0.27878,-1.31391,0
Neg_859,-0.54992,0.28041,0
Neg_2155,-0.07412,-0.21633,0
Neg_2045,1.84887,-0.11902,0
Neg_1104,0.37985,0.53283,0
Neg_2638,0.88232,-0.25975,0
Neg_962,1.71245,-0.2608,0
Neg_2828,1.49162,0.10384,0
Neg_1944,-0.3235,-1.03638,0
Neg_523,-1.13008,-0.73896,0
Neg_1319,0.48499,0.2893,0
Neg_562,0.44501,-0.99819,0
Neg_2456,0.19086,-0.47058,0
Neg_1500,0.52988,0.02877,0
Neg_1913,-0.73139,0.0013,0
Neg_286,-0.29885,-0.75597,0
Neg_2871,-0.09621,1.8763,0
Neg_456,0.86159,2.68563,0
Neg_984,1.62929,0.01046,0
Neg_1837,0.50209,-0.25949,0
Neg_2617,0.90032,-1.27075,0
Neg_139,-0.95502,0.27989,0
Neg_1815,1.02802,1.5352,0
Neg_1157,1.5969,0.30761,0
Neg_1317,0.62828,0.8653,0
Neg_2405,1.50541,0.24614,0
Neg_45,0.4149,0.00968,0
Neg_1797,1.05431,-1.04501,0
Neg_2769,0.00132,-0.05153,0
Neg_1390,1.84909,-0.29428,0
Neg_1018,1.45531,2.62625,0
Neg_602,-1.00444,0.00104,0
Neg_182,1.9678,1.62205,0
Neg_1056,-0.38313,0.04499,0
Neg_2567,1.04559,1.0934,0
Neg_849,-0.17988,0.30683,0
Neg_2338,-0.70636,-0.50302,0
Neg_422,1.5343,0.24797,0
Neg_1421,1.43995,-0.39865,0
Neg_2439,0.43199,0.52708,0
Neg_563,-0.2765,-1.2357,0
Neg_1622,0.20926,0.62779,0
Neg_1578,-0.22302,0.28015,0
Neg_1939,0.75941,-2.10624,0
Neg_163,0.91398,-3.08951,0
Neg_287,-0.20125,0.27073,0
Neg_787,-0.7397,-0.50328,0
Neg_1846,0.99824,0.80592,0
Neg_1280,1.1931,1.34268,0
Neg_1918,-1.13003,0.28041,0
Neg_999,-0.81809,-0.24249,0
Neg_314,1.25505,1.64847,0
Neg_2192,1.15615,0.62909,0
Neg_605,0.09284,-0.47686,0
Neg_413,-1.06083,-0.21659,0
Neg_1861,1.27938,-0.23385,0
Neg_342,-0.89612,0.01883,0
Neg_398,0.82309,1.36831,0
Neg_96,-0.43391,0.54251,0
Neg_1924,-0.84535,0.78552,0
Neg_592,1.96052,-1.2323,0
Neg_1985,0.37991,0.26341,0
Neg_1045,1.14687,-0.23281,0
Neg_2542,-0.92908,-0.25217,0
Neg_2165,1.412,0.85693,0
Neg_1526,0.56371,2.66025,0
Neg_2709,1.65697,0.82031,0
Neg_2230,1.65457,2.8274,0
Neg_2137,-0.40586,-0.71307,0
Neg_2068,0.69487,0.55088,0
Neg_2163,-0.35816,0.30631,0
Neg_2247,2.03144,-1.54829,0
Neg_529,0.61293,-1.41122,0
Neg_936,1.07968,0.80409,0
Neg_2418,-0.08498,0.02772,0
Neg_2487,1.49609,-2.57655,0
Neg_703,0.34298,0.0102,0
Neg_1742,1.05604,-0.16009,0
Neg_305,-0.18846,0.30709,0
Neg_1078,1.7998,1.0743,0
Neg_1672,0.81047,0.79415,0
Neg_2568,-0.61016,0.55899,0
Neg_1911,2.17309,1.0743,0
Neg_2397,-0.25005,-0.01727,0
Neg_992,1.70178,-0.19933,0
Neg_1161,-1.08356,0.01883,0
Neg_2581,0.04819,0.83783,0
Neg_701,1.20612,-0.97308,0
Neg_464,0.37331,0.30552,0
Neg_1692,-0.29618,1.06488,0
Neg_774,-0.10944,-0.48575,0
Neg_2620,1.52688,0.10201,0
Neg_979,1.34556,2.10047,0
Neg_2827,-0.44611,0.61968,0
Neg_2729,0.89241,1.06567,0
Neg_2277,1.06219,0.34973,0
Neg_1632,0.89872,-1.30633,0
Neg_2756,-1.06941,0.30657,0
Neg_1898,0.73203,0.00235,0
Neg_1391,-0.22837,1.14283,0
Neg_1059,1.35377,0.01883,0
Neg_1746,0.21782,0.81246,0
Neg_1847,-0.17227,2.09393,0
Neg_1490,1.50622,-0.46718,0
Neg_450,-1.10434,-0.19096,0
Neg_1448,-1.06975,-0.24275,0
Neg_2410,1.88604,-0.96366,0
Neg_1301,1.78492,0.78892,0
Neg_696,-0.71456,1.06515,0
Neg_2757,-0.56596,0.88099,0
Neg_815,-0.61081,0.50641,0
Neg_890,-1.04597,0.54199,0
Neg_2049,1.29255,2.45857,0
Neg_634,0.14485,-1.2977,0
Neg_1241,0.38891,-2.84598,0
Neg_1265,0.27475,-0.50354,0
Neg_1145,1.92305,-1.11328,0
Neg_364,1.60877,-0.7544,0
Neg_2428,1.17251,-1.51454,0
Neg_2873,1.39655,-1.2786,0
Neg_2762,1.04832,-1.0097,0
Neg_1932,0.04843,0.7952,0
Neg_218,-0.84176,-0.45201,0
Neg_1471,0.91294,-0.20822,0
Neg_211,-0.13082,0.5433,0
Neg_88,-0.37847,1.32699,0
Neg_1800,1.17449,-1.03533,0
Neg_1995,-0.86547,-0.50407,0
Neg_2231,1.09096,1.60661,0
Neg_1090,-0.97782,-0.24249,0
Neg_1457,0.34149,1.57078,0
Neg_795,-0.73269,0.81115,0
Neg_1614,0.35914,0.02799,0
Neg_732,-0.41935,2.09367,0
Neg_2025,0.72116,0.81168,0
Neg_2088,-0.09716,-1.31444,0
Neg_2527,1.47201,-0.54749,0
Neg_2021,0.94054,0.55925,0
Neg_2570,0.45594,1.61446,0
Neg_215,0.96931,0.12451,0
Neg_2516,1.21177,0.85562,0
Neg_1712,1.38303,-0.52159,0
Neg_2010,1.40263,-0.46901,0
Neg_1285,-0.21942,0.5501,0
Neg_2834,-0.20329,-0.21607,0
Neg_2013,-0.59691,-0.21633,0
Neg_945,1.56731,-0.6516,0
Neg_1787,1.91931,-0.7115,0
Neg_935,0.59309,1.35419,0
Neg_2099,-0.48524,0.36621,0
Neg_2179,-1.15573,0.01831,0
Neg_2726,-1.16532,0.01909,0
Neg_1484,1.15743,-0.65997,0
Neg_2381,1.59576,0.86347,0
Neg_1458,0.7198,0.88204,0
Neg_216,0.99168,-0.23438,0
Neg_2725,-0.44083,0.57625,0
Neg_406,-0.48932,-1.27886,0
Neg_1363,0.42072,0.33351,0
Neg_1311,-0.76236,0.56762,0
Neg_1149,-0.90037,0.78578,0
Neg_1218,-0.80259,-0.24275,0
Neg_1597,0.91835,0.07978,0
Neg_2745,0.81671,-0.15355,0
Neg_1477,0.66292,2.89698,0
Neg_2803,0.43953,1.55404,0
Neg_104,1.75893,-0.72928,0
Neg_1900,1.35629,-0.33849,0
Neg_2586,0.79749,-0.0157,0
Neg_2050,1.11055,2.10152,0
Neg_1069,-0.82563,0.56867,0
Neg_336,-0.35409,1.31731,0
Neg_2260,1.61733,0.10751,0
Neg_1733,0.72115,1.40546,0
Neg_1555,-0.71422,0.54251,0
Neg_2329,0.27545,0.33246,0
Neg_1878,-0.54652,0.22809,0
Neg_1893,1.72079,0.54173,0
Neg_1716,1.81794,2.62729,0
Neg_2322,-0.33935,0.54199,0
Neg_101,-0.04941,0.57652,0
Neg_16,0.6573,1.62309,0
Neg_31,2.31286,-1.29691,0
Neg_240,-0.24377,0.01883,0
Neg_1117,0.28192,-1.26238,0
Neg_2262,-0.34331,-0.20848,0
Neg_2861,1.33851,0.70731,0
Neg_1225,0.71498,-0.21554,0
Neg_261,1.87737,0.67252,0
Neg_609,-0.02073,-0.77401,0
Neg_1352,0.18396,1.31705,0
Neg_733,-0.72483,-0.97412,0
Neg_2593,-0.42501,-0.2778,0
Neg_2259,-0.98906,-0.47817,0
Neg_1785,1.94022,2.38115,0
Neg_847,0.38296,0.26262,0
Neg_684,0.59883,-0.25923,0
Neg_1411,-0.54132,-1.06175,0
Neg_680,-0.98273,0.30657,0
Neg_502,-0.48008,-0.47869,0
Neg_1097,1.29674,0.32305,0
Neg_1826,1.40373,-0.45044,0
Neg_702,1.68418,1.65579,0
Neg_1626,0.12156,0.04499,0
Neg_2358,1.98152,-1.82792,0
Neg_1026,0.45899,0.05205,0
Neg_82,1.93229,-1.52318,0
Neg_509,-0.45733,-1.0008,0
Neg_1235,1.78972,-0.18389,0
Neg_2118,1.46421,0.43657,0
Neg_1303,0.88361,0.192,0
Neg_72,0.41775,-0.76669,0
Neg_1147,1.76034,1.39604,0
Neg_2437,1.04048,-1.26997,0
Neg_1770,0.93369,1.04788,0
Neg_177,1.39032,0.77558,0
Neg_978,0.40748,-0.44233,0
Neg_724,-0.71122,1.06515,0
Neg_1766,-0.12688,-1.58412,0
Neg_868,-0.46987,0.01962,0
Neg_1825,0.94323,-1.05181,0
Neg_2020,0.56401,-0.2077,0
Neg_1628,-0.97519,0.01883,0
Neg_892,1.15728,-4.10313,0
Neg_2692,-1.12441,-0.23385,0
Neg_512,-1.03153,-0.78265,0
Neg_2128,0.4837,0.04447,0
Neg_1647,-0.52903,0.83757,0
Neg_2419,-0.9732,-0.23438,0
Neg_2659,0.39261,1.0934,0
Neg_1214,-0.24179,0.04499,0
Neg_411,1.2081,0.5446,0
Neg_2321,0.41742,-0.21502,0
Neg_1384,-0.77752,-0.50354,0
Neg_1489,2.22226,-0.46064,0
Neg_2666,0.81174,-0.14753,0
Neg_1905,1.30593,0.86425,0
Neg_55,1.08296,-0.4868,0
Neg_1178,0.8905,0.07193,0
Neg_2369,0.73402,-0.04918,0
Neg_1,1.834,0.05441,0
Neg_1999,-0.86315,0.82894,0
Neg_1883,0.40134,-0.46169,0
Neg_1643,1.0443,-0.24092,0
Neg_2885,-1.07008,-0.24196,0
Neg_1786,0.81079,0.03714,0
Neg_1933,0.94412,-0.5025,0
Neg_814,-0.55283,-1.02618,0
Neg_1593,0.61408,-0.20691,0
Neg_1298,2.02119,2.18941,0
Neg_285,1.58497,1.38061,0
Neg_2792,-0.05376,-0.97412,0
Neg_2154,2.11481,0.81272,0
Neg_1689,1.33574,-3.35135,0
Neg_603,-0.17492,-0.50302,0
Neg_1021,-0.76932,-0.19043,0
Neg_1820,1.18269,-0.52107,0
Neg_222,1.58532,1.09104,0
Neg_256,-0.69906,-0.23385,0
Neg_704,0.01904,-0.48654,0
Neg_144,1.37114,-0.52133,0
Neg_2067,1.6281,0.05571,0
Neg_1406,-0.26139,-2.61161,0
Neg_2616,1.80479,0.1334,0
Neg_648,1.01641,-0.94796,0
Neg_2774,1.52661,-1.36074,0
Neg_292,1.40092,0.88256,0
Neg_2667,2.16712,1.36047,0
Neg_257,0.48197,-0.74864,0
Neg_1768,-0.75156,0.3322,0
Neg_2249,2.25288,3.1944,0
Neg_779,1.60747,2.389,0
Neg_2513,-0.31827,-0.24379,0
Neg_2425,1.76317,-1.78449,0
Neg_2272,-0.85,0.04525,0
Neg_361,1.31945,-0.99714,0
Neg_1745,-0.67372,0.35836,0
Neg_2902,1.44115,1.15147,0
Neg_808,-0.35351,-0.47738,0
Neg_407,1.9388,-0.97569,0
Neg_191,0.00457,-1.82687,0
Neg_1737,1.96778,-0.74603,0
Neg_1001,-0.38179,0.36647,0
Neg_2120,0.86019,1.11694,0
Neg_960,1.09153,-0.5195,0
Neg_1356,1.44893,0.98615,0
Neg_1764,-1.06313,-0.2519,0
Neg_901,0.46638,-2.6477,0
Neg_2556,-0.15244,0.01857,0
Neg_303,0.78041,0.89721,0
Neg_654,2.02672,-0.1852,0
Neg_251,1.10239,-0.75675,0
Neg_1958,0.43918,-0.23412,0
Neg_2857,-0.64074,0.2451,0
Neg_1824,0.56358,-2.8554,0
Neg_9,-0.64244,-0.78317,0
Neg_1397,0.68008,0.33246,0
Neg_1841,0.04059,-0.77428,0
Neg_1197,2.07792,-0.72928,0
Neg_1357,1.17223,-0.24144,0
Neg_2898,0.25354,0.93514,0
Neg_2132,-0.81479,-0.50407,0
Neg_647,1.63803,-1.55744,0
Neg_2646,-0.6944,0.78552,0
Neg_476,-0.47116,-0.47686,0
Neg_231,-0.5556,-0.13105,0
Neg_451,0.83517,-0.0157,0
Neg_1073,-0.77289,0.31441,0
Neg_7,0.37993,2.37356,0
Neg_1877,-0.66778,-0.21659,0
Neg_2912,-0.81505,-0.47791,0
Neg_1968,0.49413,0.05284,0
Neg_2590,0.14819,-1.02565,0
Neg_2781,1.15344,-0.52054,0
Neg_940,-0.88292,-0.26054,0
Neg_459,0.23728,1.8402,0
Neg_1657,0.00691,-0.80017,0
Neg_2544,0.61805,0.01935,0
Neg_2345,0.49987,0.27099,0
Neg_2406,0.40056,-1.56581,0
Neg_2060,1.98369,0.01988,0
Neg_2697,-0.26221,0.27125,0
Neg_1979,0.77388,0.29087,0
Neg_875,-1.11422,-0.24223,0
Neg_798,1.55187,2.91451,0
Neg_2520,1.06148,-0.20665,0
Neg_2252,1.91264,1.57836,0
Neg_1502,0.06853,1.58726,0
Neg_2316,1.24837,1.0403,0
Neg_2282,-0.33211,0.30604,0
Neg_2664,0.96462,-0.2145,0
Neg_1274,-0.99,-0.50407,0
Neg_1290,-0.64214,0.05257,0
Neg_299,0.86271,-2.07014,0
Neg_2528,0.70898,-0.78055,0
Neg_1387,1.19199,-4.65846,0
Neg_13,1.05883,-2.03718,0
Neg_586,1.6778,-0.46928,0
Neg_1691,1.96955,-2.82662,0
Neg_629,-0.01085,-0.24144,0
Neg_1089,1.23648,-0.21581,0
Neg_2884,-0.514,-0.45175,0
Neg_2610,1.6711,0.55114,0
Neg_470,2.14799,-0.70365,0
Neg_1649,-1.12767,0.28041,0
Neg_1177,0.79099,-1.32124,0
Neg_2447,-0.53992,0.01988,0
Neg_10,-0.42294,0.27099,0
Neg_2623,0.99824,0.34136,0
Neg_265,-0.63556,-1.28645,0
Neg_273,-0.60624,-0.78291,0
Neg_2305,1.22641,-3.91714,0
Neg_915,1.06192,0.86399,0
Neg_1945,0.66911,0.83103,0
Neg_961,2.11086,1.64402,0
Neg_2662,1.27923,-1.0008,0
Neg_1146,1.54048,0.60346,0
Neg_1137,0.0632,-0.49491,0
Neg_41,1.32222,0.06278,0
Neg_1496,0.28036,0.05414,0
Neg_2270,0.22296,-1.80097,0
Neg_1721,0.46499,1.00289,0
Neg_2196,1.19692,-0.99714,0
Neg_1988,1.24737,-1.27782,0
Neg_2464,0.61348,0.0013,0
Neg_521,1.3314,-0.77558,0
Neg_1062,0.52061,1.56162,0
Neg_899,-0.50868,0.28983,0
Neg_374,1.13088,-1.00917,0
Neg_2106,1.08297,1.37904,0
Neg_3,1.81214,1.59589,0
Neg_405,-0.87439,-0.49543,0
Neg_1873,-0.71528,-0.78265,0
Neg_2506,0.32946,-0.24039,0
Neg_2777,1.4433,0.34188,0
Neg_762,-0.92545,0.00183,0
Neg_401,-1.21405,-0.5038,0
Neg_1801,-0.9653,1.58804,0
Neg_2863,-0.44243,0.26314,0
Neg_2412,1.20546,-0.24903,0
Neg_1094,1.751,-3.03746,0
Neg_1795,-0.78835,-0.24196,0
Neg_1144,-1.03615,-0.08711,0
Neg_1201,0.7962,-1.44627,0
Neg_2435,-0.62137,-0.2417,0
Neg_252,1.8908,-0.46875,0
Neg_2676,1.76198,1.11798,0
Neg_322,-0.04805,0.00994,0
Neg_1525,1.60703,0.07324,0
Neg_1228,2.23238,-0.69293,0
Neg_2042,0.89642,1.41121,0
Neg_2308,0.22142,0.28146,0
Neg_2157,1.3547,1.14388,0
Neg_2159,-0.27865,1.06541,0
Neg_2734,1.2029,-0.44338,0
Neg_1207,0.38125,-0.25923,0
Neg_120,0.31132,0.33325,0
Neg_2631,0.59343,1.84177,0
Neg_595,-0.03536,0.32252,0
Neg_993,-0.6187,0.01909,0
Neg_1596,-0.79566,-0.50354,0
Neg_2868,1.32906,-0.2417,0
Neg_579,0.56404,0.55062,0
Neg_1663,-0.56305,-0.16375,0
Neg_1040,1.8489,-0.72981,0
Neg_2240,1.56896,0.03609,0
Neg_2349,1.74912,4.26399,0
Neg_2207,1.16129,-0.57626,0
Neg_1153,-0.77222,0.50667,0
Neg_580,-0.98537,0.5242,0
Neg_2390,-0.07121,0.60189,0
Neg_1683,0.10213,1.09156,0
Neg_2601,1.18008,0.81194,0
Neg_2888,1.71916,-0.75544,0
Neg_1121,-0.37296,-0.7646,0
Neg_2688,-0.05432,0.01988,0
Neg_1493,-1.13669,-0.76512,0
Neg_1272,-0.21847,-1.01754,0
Neg_1242,1.20683,0.84751,0
Neg_1292,-0.40834,-1.82635,0
Neg_2398,1.2147,-0.11196,0
Neg_1990,-0.33404,-0.19017,0
Neg_2241,-0.88855,0.28093,0
Neg_508,1.73359,-0.39237,0
Neg_307,2.16351,0.56056,0
Neg_2448,0.41043,-1.26107,0
Neg_600,1.90126,1.90952,0
Neg_601,1.73392,-0.27518,0
Neg_1217,1.70219,-1.50487,0
Neg_839,-0.82395,0.26262,0
Neg_682,-0.90562,0.01909,0
Neg_2187,-0.34282,0.53205,0
Neg_2821,1.54741,0.77741,0
