,Refractivity,y
Neg_2610,-0.70502,0
Neg_470,-0.47728,0
Neg_1649,-0.31168,0
Neg_1177,-0.06892,0
Neg_2447,0.07866,0
Neg_10,-0.53114,0
Neg_2623,-0.42045,0
Neg_265,0.07342,0
Neg_273,0.51042,0
Neg_2305,-1.20293,0
Neg_915,0.04916,0
Neg_1945,-0.70568,0
Neg_961,-1.09283,0
Neg_2662,-0.21616,0
Neg_1146,-0.59813,0
Neg_1137,-0.66538,0
Neg_41,-0.70276,0
Neg_1496,-0.32065,0
Neg_2270,-0.46882,0
Neg_1721,-0.68681,0
Neg_2196,0.11664,0
Neg_1988,-1.04853,0
Neg_2464,-0.64859,0
Neg_521,-0.97101,0
Neg_1062,-0.74713,0
Neg_899,0.79397,0
Neg_374,-0.83635,0
Neg_2106,-0.67398,0
Neg_3,-0.53358,0
Neg_405,1.5831,0
Neg_1873,-0.3271,0
Neg_2506,-0.70916,0
Neg_2777,0.27882,0
Neg_762,-0.95705,0
Neg_401,0.13623,0
Neg_1801,2.46384,0
Neg_2863,-0.0172,0
Neg_2412,-0.10553,0
Neg_1094,-0.8678,0
Neg_1795,1.18309,0
Neg_1144,5.59657,0
Neg_1201,-1.23788,0
Neg_2435,0.26809,0
Neg_252,-0.63282,0
Neg_2676,-0.87469,0
Neg_322,-0.17028,0
Neg_1525,-0.3346,0
Neg_1228,-0.47575,0
Neg_2042,-0.43721,0
Neg_2308,-0.06523,0
Neg_2157,-0.31251,0
Neg_2159,-0.29542,0
Neg_2734,-0.50543,0
Neg_1207,-0.70474,0
Neg_120,-0.73428,0
Neg_2631,-0.24338,0
Neg_595,0.63697,0
Neg_993,0.62977,0
Neg_1596,0.59341,0
Neg_2868,0.43689,0
Neg_579,-0.70567,0
Neg_1663,0.78169,0
Neg_1040,-0.63187,0
Neg_2240,-1.22521,0
Neg_2349,-0.45552,0
Neg_2207,-0.1925,0
Neg_1153,0.09495,0
Neg_580,0.35322,0
Neg_2390,-0.9755,0
Neg_1683,-0.2454,0
Neg_2601,-0.09352,0
Neg_2888,-0.67382,0
Neg_1121,-0.27512,0
Neg_2688,-0.98024,0
Neg_1493,0.32255,0
Neg_1272,0.94635,0
Neg_1242,-0.75107,0
Neg_1292,0.2423,0
Neg_2398,-0.89845,0
Neg_1990,-0.3087,0
Neg_2241,-0.07182,0
Neg_508,-0.65221,0
Neg_307,-0.52085,0
Neg_2448,-0.38377,0
Neg_600,-0.75004,0
Neg_601,-0.67768,0
Neg_1217,-0.89049,0
Neg_839,0.85077,0
Neg_682,0.63445,0
Neg_2187,0.71429,0
Neg_2821,-0.45573,0
Neg_2789,1.08258,0
Neg_169,-0.75505,0
Neg_320,-1.06744,0
Neg_2889,-0.89933,0
Neg_17,-0.96178,0
Neg_1714,-0.85727,0
Neg_2605,-0.74969,0
Neg_1527,3.00148,0
Neg_83,-0.56683,0
Neg_2246,-0.50628,0
Neg_114,-0.00161,0
Neg_1808,-0.69132,0
Neg_958,-0.55196,0
Neg_2093,-0.16138,0
Neg_1561,-0.57831,0
Neg_1870,-0.52377,0
Neg_1335,-0.16529,0
Neg_1574,-0.1405,0
Neg_2188,-1.29577,0
Neg_608,0.61006,0
Neg_1240,1.05069,0
Neg_2628,0.65653,0
Neg_1855,-1.05954,0
Neg_1793,-0.08515,0
Neg_2263,-0.88326,0
Neg_2400,-0.82478,0
Neg_1583,1.02336,0
Neg_410,-0.02708,0
Neg_2849,-0.83186,0
Neg_1389,-0.51043,0
Neg_130,-0.80911,0
Neg_2784,-0.66512,0
Neg_2759,-0.54313,0
Neg_2148,-0.2609,0
Neg_2886,-1.04258,0
Neg_903,0.62665,0
Neg_2844,-1.04798,0
Neg_1071,-0.47829,0
Neg_2491,-0.91836,0
Neg_2731,-0.44964,0
Neg_1497,-0.28594,0
Neg_2096,0.38497,0
Neg_2234,-1.1747,0
Neg_263,-0.78244,0
Neg_2409,-0.71906,0
Neg_171,-1.07936,0
Neg_2185,-0.35869,0
Neg_1630,0.31018,0
Neg_239,-0.58702,0
Neg_933,-0.64317,0
Neg_2276,-0.98543,0
Neg_2707,-1.33006,0
Neg_1971,0.31222,0
Neg_293,1.2889,0
Neg_766,-0.68197,0
Neg_1208,-0.46784,0
Neg_1076,-0.85837,0
Neg_2860,0.24463,0
Neg_2048,1.46535,0
Neg_837,-0.01911,0
Neg_2085,-0.41459,0
Neg_1812,-0.18593,0
Neg_659,-0.6096,0
Neg_2775,-0.53508,0
Neg_807,-0.81935,0
Neg_379,-0.82657,0
Neg_683,-1.01194,0
Neg_2124,-0.21107,0
Neg_1239,0.15483,0
Neg_1478,-1.05453,0
Neg_711,1.97969,0
Neg_1422,-0.7531,0
Neg_2642,-0.80362,0
Neg_2243,-0.1921,0
Neg_419,-0.23837,0
Neg_2335,-0.72843,0
Neg_708,-0.33645,0
Neg_2224,-0.231,0
Neg_75,-1.08486,0
Neg_1927,-0.41998,0
Neg_396,-0.56016,0
Neg_2062,-0.20046,0
Neg_1758,-0.5774,0
Neg_1696,-0.31572,0
Neg_1938,-0.17933,0
Neg_2212,-0.28924,0
Neg_491,-0.1234,0
Neg_857,0.81894,0
Neg_2686,-0.63138,0
Neg_2549,-0.86402,0
Neg_465,-0.48756,0
Neg_214,-0.99973,0
Neg_1450,-0.61489,0
Neg_2311,-0.8401,0
Neg_566,-0.56339,0
Neg_1468,-0.01918,0
Neg_324,0.50464,0
Neg_1106,-1.13862,0
Neg_1455,-0.56639,0
Neg_1775,-0.41334,0
Neg_2533,-0.5675,0
Neg_84,0.23888,0
Neg_2087,-0.09683,0
Neg_454,-1.04202,0
Neg_1320,-0.99653,0
Neg_534,-0.28731,0
Neg_2600,-1.0631,0
Neg_2303,-1.04083,0
Neg_1332,-0.12029,0
Neg_1096,-0.46208,0
Neg_278,-0.24784,0
Neg_2916,0.80663,0
Neg_365,0.20903,0
Neg_929,-0.19745,0
Neg_955,-0.34422,0
Neg_1510,-0.05272,0
Neg_974,-1.05033,0
Neg_2768,-0.33876,0
Neg_1142,0.71837,0
Neg_1174,-0.55644,0
Neg_848,-0.87276,0
Neg_991,-0.98699,0
Neg_565,-1.06907,0
Neg_1973,-0.36629,0
Neg_1172,-0.34587,0
Neg_2450,-0.7197,0
Neg_2795,-0.91263,0
Neg_33,-0.86355,0
Neg_2216,1.29803,0
Neg_2359,0.38985,0
Neg_515,-0.79471,0
Neg_208,-1.24589,0
Neg_2503,-0.9927,0
Neg_2396,0.12085,0
Neg_1670,0.92799,0
Neg_8,-0.31002,0
Neg_1802,-0.86028,0
Neg_1617,-0.14263,0
Neg_1353,-0.47488,0
Neg_917,0.34136,0
Neg_1912,-0.50632,0
Neg_2647,-1.03715,0
Neg_2682,0.47755,0
Neg_1130,0.01319,0
Neg_1914,0.94072,0
Neg_1659,-0.34062,0
Neg_1233,-0.22523,0
Neg_2379,-0.32971,0
Neg_1832,-1.10974,0
Neg_1156,-0.24519,0
Neg_2258,-0.35835,0
Neg_461,-0.07187,0
Neg_1432,-0.81722,0
Neg_1840,1.05423,0
Neg_51,0.48333,0
Neg_2078,-0.98278,0
Neg_1658,0.73279,0
Neg_1291,-0.54261,0
Neg_2421,-0.17742,0
Neg_1107,0.04274,0
Neg_57,-0.13124,0
Neg_56,-0.95906,0
Neg_1535,0.82681,0
Neg_728,-0.61012,0
Neg_612,-0.75571,0
Neg_1789,-0.39333,0
Neg_2923,-0.35204,0
Neg_998,-0.55077,0
Neg_2027,-0.00859,0
Neg_1120,-0.69125,0
Neg_938,-0.36385,0
Neg_1639,-0.76316,0
Neg_1380,-0.21642,0
Neg_995,-0.63742,0
Neg_274,0.14683,0
Neg_1731,-0.21034,0
Neg_1423,1.39627,0
Neg_1720,0.48252,0
Neg_1176,-0.2304,0
Neg_298,1.9903,0
Neg_1494,-0.07508,0
Neg_2041,0.22829,0
Neg_2033,-0.71518,0
Neg_1010,-0.47297,0
Neg_964,-0.38004,0
Neg_735,-0.83609,0
Neg_245,0.63689,0
Neg_317,-0.5554,0
Neg_1277,-0.86839,0
Neg_213,-1.19636,0
Neg_109,0.20879,0
Neg_1604,-0.77195,0
Neg_2004,-0.40057,0
Neg_1848,-0.30606,0
Neg_1998,-0.28515,0
Neg_968,0.87174,0
Neg_1860,-0.81783,0
Neg_854,-0.42415,0
Neg_229,0.5649,0
Neg_397,-0.43879,0
Neg_1864,-0.83311,0
Neg_2553,-0.93528,0
Neg_1504,-0.90849,0
Neg_2824,-0.91881,0
Neg_20,-0.25947,0
Neg_1594,-0.29111,0
Neg_2657,-0.90374,0
Neg_1823,-0.07973,0
Neg_2352,0.09567,0
Neg_675,1.41231,0
Neg_38,-1.03499,0
Neg_2630,-0.97745,0
Neg_1313,0.55502,0
Neg_2083,-0.37226,0
Neg_224,-1.08908,0
Neg_1271,0.40093,0
Neg_2404,-0.24509,0
Neg_91,0.48933,0
Neg_2318,-0.4634,0
Neg_2034,0.12583,0
Neg_2914,0.20293,0
Neg_2749,-0.52024,0
Neg_1143,0.21402,0
Neg_80,-0.84487,0
Neg_289,-0.4656,0
Neg_1262,1.19632,0
Neg_2269,-1.24702,0
Neg_922,-0.38448,0
Neg_1843,-0.93284,0
Neg_40,1.04222,0
Neg_1771,-0.17309,0
Neg_1068,-0.88849,0
Neg_1857,0.26963,0
Neg_635,-0.46662,0
Neg_2908,0.70263,0
Neg_2651,-0.45149,0
Neg_781,-0.3426,0
Neg_574,0.0345,0
Neg_151,-0.21215,0
Neg_356,0.12914,0
Neg_1012,-0.00548,0
Neg_455,-1.06213,0
Neg_2395,-1.07391,0
Neg_173,-1.21067,0
Neg_1744,-0.06244,0
Neg_1127,0.35636,0
Neg_872,0.7588,0
Neg_556,-1.14624,0
Neg_1872,-0.72747,0
Neg_1175,-0.65935,0
Neg_2738,-0.15766,0
Neg_2341,-0.15265,0
Neg_2539,-0.12301,0
Neg_2859,-0.29157,0
