,Aromaticity,y
Neg_926,1.07833,0
Neg_1834,-1.47323,0
Neg_219,0.83532,0
Neg_1051,-0.33253,0
Neg_2732,-1.47323,0
Neg_22,0.95075,0
Neg_2672,-0.59178,0
Neg_1925,1.0887,0
Neg_1046,-0.99794,0
Neg_2602,-0.20579,0
Neg_2626,-0.9434,0
Neg_664,0.72132,0
Neg_1033,-0.90952,0
Neg_1541,-1.08847,0
Neg_352,-1.47323,0
Neg_2763,-1.21673,0
Neg_2198,0.0477,0
Neg_260,-1.47323,0
Neg_743,-1.12941,0
Neg_1798,1.05175,0
Neg_805,-0.43734,0
Neg_2446,0.78568,0
Neg_1456,-0.62271,0
Neg_853,-1.47323,0
Neg_1866,-0.66524,0
Neg_1972,-0.73869,0
Neg_1250,-0.34204,0
Neg_2893,-0.47571,0
Neg_415,-0.12658,0
Neg_2440,-0.77063,0
Neg_1947,-0.49385,0
Neg_2296,-0.19745,0
Neg_1491,0.14276,0
Neg_1592,-0.21074,0
Neg_833,0.02305,0
Neg_2254,-1.47323,0
Neg_2786,-1.47323,0
Neg_1307,0.03502,0
Neg_1022,1.46493,0
Neg_2289,-0.59973,0
Neg_2564,-0.16297,0
Neg_1131,-0.26727,0
Neg_2814,0.54675,0
Neg_2346,-0.43066,0
Neg_2538,-0.21074,0
Neg_503,-1.47323,0
Neg_614,-0.64452,0
Neg_2227,-0.66524,0
Neg_1977,1.33718,0
Neg_1151,-0.10761,0
Neg_2315,0.46595,0
Neg_1180,-0.28501,0
Neg_308,0.10334,0
Neg_1426,-0.60752,0
Neg_12,0.46595,0
Neg_506,-0.0881,0
Neg_136,-0.8517,0
Neg_378,-0.35876,0
Neg_2058,0.32231,0
Neg_2336,-0.23016,0
Neg_2220,-0.15789,0
Neg_262,-1.47323,0
Neg_1888,0.25818,0
Neg_2552,-0.83951,0
Neg_1340,0.37842,0
Neg_1753,-1.07909,0
Neg_941,-0.29491,0
Neg_689,-0.31896,0
Neg_403,-0.18044,0
Neg_2524,0.60447,0
Neg_1006,1.31296,0
Neg_89,0.25818,0
Neg_1956,0.0658,0
Neg_2723,0.75572,0
Neg_34,-0.17002,0
Neg_757,-0.35876,0
Neg_1170,0.42793,0
Neg_1405,1.67992,0
Neg_1634,-0.916,0
Neg_835,-0.14046,0
Neg_1809,-1.27616,0
Neg_296,-0.33521,0
Neg_1989,0.21792,0
Neg_636,-1.11807,0
Neg_1350,-0.72161,0
Neg_160,-1.47323,0
Neg_1524,-1.07909,0
Neg_836,0.17574,0
Neg_1885,-0.23016,0
Neg_1723,0.69253,0
Neg_1139,-0.79042,0
Neg_531,0.63458,0
Neg_131,1.04053,0
Neg_226,0.83532,0
Neg_2031,-0.7999,0
Neg_1050,-0.62271,0
Neg_2215,-0.8517,0
Neg_1008,-0.75502,0
Neg_755,-0.62271,0
Neg_1309,-0.70371,0
Neg_1348,0.02305,0
Neg_2829,-0.57546,0
Neg_1281,-0.95195,0
Neg_2879,-0.39591,0
Neg_2182,-1.28085,0
Neg_513,0.61191,0
Neg_2222,-1.47323,0
Neg_2348,0.40582,0
Neg_549,-0.89609,0
Neg_2669,2.98467,0
Neg_1248,-0.66524,0
Neg_19,0.32231,0
Neg_1763,-0.59973,0
Neg_2832,-1.47323,0
Neg_1992,-0.42389,0
Neg_2675,0.93869,0
Neg_203,0.83532,0
Neg_2314,-0.05924,0
Neg_460,-0.79042,0
Neg_248,-1.29758,0
Neg_418,-0.83534,0
Neg_1007,-0.31896,0
Neg_2178,1.22008,0
Neg_537,0.54675,0
Neg_97,-0.88202,0
Neg_1719,0.70214,0
Neg_1777,-0.43066,0
Neg_771,0.17948,0
Neg_2070,0.46595,0
Neg_1418,-1.47323,0
Neg_1167,0.26706,0
Neg_2477,-0.35876,0
Neg_715,0.19848,0
Neg_616,0.30041,0
Neg_558,0.54675,0
Neg_64,-1.12193,0
Neg_1316,0.78164,0
Neg_1507,-1.47323,0
Neg_1101,-0.77063,0
Neg_1796,-1.25486,0
Neg_1223,-0.66524,0
Neg_538,-0.94628,0
Neg_302,-0.92852,0
Neg_200,-0.58776,0
Neg_1730,-0.7603,0
Neg_876,0.95075,0
Neg_326,-0.55852,0
Neg_1436,-1.47323,0
Neg_727,-0.0881,0
Neg_1831,0.73039,0
Neg_900,1.0129,0
Neg_1637,-1.08847,0
Neg_2635,-0.95195,0
Neg_2454,-0.54093,0
Neg_1216,-0.12658,0
Neg_2191,0.71054,0
Neg_1275,0.61191,0
Neg_2151,0.20572,0
Neg_1402,-1.47323,0
Neg_717,-0.57546,0
Neg_1862,0.32231,0
Neg_158,3.46451,0
Neg_1740,-0.47571,0
Neg_1424,-1.47323,0
Neg_943,-0.49385,0
Neg_1688,3.01563,0
Neg_148,0.16618,0
Neg_2796,0.41782,0
Neg_1887,-0.21074,0
Neg_2811,-1.47323,0
Neg_859,-1.47323,0
Neg_2155,1.84162,0
Neg_2045,-1.30132,0
Neg_1104,1.06165,0
Neg_2638,-0.7603,0
Neg_962,0.83532,0
Neg_2828,-0.20223,0
Neg_1944,0.42793,0
Neg_523,-1.47323,0
Neg_1319,-1.20832,0
Neg_562,-0.8856,0
Neg_2456,1.27739,0
Neg_1500,0.32231,0
Neg_1913,1.46493,0
Neg_286,-0.52265,0
Neg_2871,-1.47323,0
Neg_456,-0.98354,0
Neg_984,0.01273,0
Neg_1837,0.54675,0
Neg_2617,0.12,0
Neg_139,1.55675,0
Neg_1815,-0.78067,0
Neg_1157,0.69456,0
Neg_1317,-0.12658,0
Neg_2405,-0.72161,0
Neg_45,0.51132,0
Neg_1797,-1.25777,0
Neg_2769,-0.46324,0
Neg_1390,0.09063,0
Neg_1018,-0.2459,0
Neg_602,2.83607,0
Neg_182,0.04176,0
Neg_1056,-0.46324,0
Neg_2567,-1.23204,0
Neg_849,-1.47323,0
Neg_2338,-0.12658,0
Neg_422,-0.48787,0
Neg_1421,-0.49975,0
Neg_2439,-0.54093,0
Neg_563,-0.0881,0
Neg_1622,-0.82684,0
Neg_1578,1.29703,0
Neg_1939,-0.44721,0
Neg_163,-1.47323,0
Neg_287,0.27378,0
Neg_787,-0.77063,0
Neg_1846,-1.03648,0
Neg_1280,-0.19745,0
Neg_1918,-0.31896,0
Neg_999,0.95075,0
Neg_314,-0.02299,0
Neg_2192,-0.57546,0
Neg_605,-1.47323,0
Neg_413,-0.31896,0
Neg_1861,-1.07909,0
Neg_342,2.56674,0
Neg_398,1.39384,0
Neg_96,0.14276,0
Neg_1924,0.14276,0
Neg_592,-0.43066,0
Neg_1985,-0.31896,0
Neg_1045,-0.63376,0
Neg_2542,-0.57546,0
Neg_2165,-1.28749,0
Neg_1526,-0.90622,0
Neg_2709,-0.2569,0
Neg_2230,-0.31896,0
Neg_2137,-1.47323,0
Neg_2068,-0.14865,0
Neg_2163,1.65449,0
Neg_2247,-0.47365,0
Neg_529,-0.67848,0
Neg_936,0.74045,0
Neg_2418,-0.64452,0
Neg_2487,-0.70371,0
Neg_703,-0.25362,0
Neg_1742,-1.47323,0
Neg_305,-1.05888,0
Neg_1078,0.34249,0
Neg_1672,-0.23016,0
Neg_2568,-0.18044,0
Neg_1911,-0.33061,0
Neg_2397,-0.04736,0
Neg_992,0.56997,0
Neg_1161,0.83532,0
Neg_2581,-0.37142,0
Neg_701,0.03502,0
Neg_464,0.79482,0
Neg_1692,0.83532,0
Neg_774,-1.47323,0
Neg_2620,0.32231,0
Neg_979,-0.2459,0
Neg_2827,0.19848,0
Neg_2729,-0.49385,0
Neg_2277,-1.02435,0
Neg_1632,-0.04736,0
Neg_2756,-0.23016,0
Neg_1898,-1.47323,0
Neg_1391,-1.06924,0
Neg_1059,0.80573,0
Neg_1746,-0.8517,0
Neg_1847,-0.62271,0
Neg_1490,-1.10174,0
Neg_450,-1.47323,0
Neg_1448,-0.46324,0
Neg_2410,-0.95749,0
Neg_1301,-1.14004,0
Neg_696,-1.47323,0
Neg_2757,-1.47323,0
Neg_815,1.11235,0
Neg_890,-1.47323,0
Neg_2049,0.22781,0
Neg_634,-0.48385,0
Neg_1241,-1.17942,0
Neg_1265,-0.62271,0
Neg_1145,-0.14046,0
Neg_364,-0.47571,0
Neg_2428,0.51908,0
Neg_2873,-0.05924,0
Neg_2762,1.46493,0
Neg_1932,0.10334,0
Neg_218,-0.66524,0
Neg_1471,0.40038,0
Neg_211,-1.47323,0
Neg_88,-0.96824,0
Neg_1800,-0.19745,0
Neg_1995,1.07833,0
Neg_2231,-0.53643,0
Neg_1090,-1.47323,0
Neg_1457,0.46595,0
Neg_795,0.46595,0
Neg_1614,1.16512,0
Neg_732,-0.43066,0
Neg_2025,-0.53643,0
Neg_2088,-1.07909,0
Neg_2527,0.27904,0
Neg_2021,0.76429,0
Neg_2570,-0.93457,0
Neg_215,-0.46324,0
Neg_2516,0.22781,0
Neg_1712,0.59855,0
Neg_2010,0.59855,0
Neg_1285,0.37361,0
Neg_2834,-0.66524,0
Neg_2013,-0.89609,0
Neg_945,0.0477,0
Neg_1787,0.28328,0
Neg_935,-0.39591,0
Neg_2099,-0.916,0
Neg_2179,2.93401,0
Neg_2726,-1.47323,0
Neg_1484,-0.30223,0
Neg_2381,0.0477,0
Neg_1458,-1.22462,0
Neg_216,-0.57546,0
Neg_2725,0.14276,0
Neg_406,-0.916,0
Neg_1363,-0.8517,0
Neg_1311,-0.00415,0
Neg_1149,1.55675,0
Neg_1218,0.0658,0
Neg_1597,0.76429,0
Neg_2745,-0.39591,0
Neg_1477,-1.47323,0
Neg_2803,-1.18973,0
Neg_104,-0.21635,0
Neg_1900,0.01518,0
Neg_2586,-0.7603,0
Neg_2050,0.12,0
Neg_1069,-1.47323,0
Neg_336,-1.02435,0
Neg_2260,-0.49975,0
Neg_1733,-0.12658,0
Neg_1555,-1.47323,0
Neg_2329,0.17574,0
Neg_1878,0.25818,0
Neg_1893,0.96954,0
Neg_1716,-0.17301,0
Neg_2322,1.1332,0
Neg_101,-0.68495,0
Neg_16,-0.9434,0
Neg_31,1.75875,0
Neg_240,0.90322,0
Neg_1117,-0.41357,0
Neg_2262,0.32231,0
Neg_2861,-0.26124,0
Neg_1225,-0.6913,0
Neg_261,-0.2825,0
Neg_609,-0.70371,0
Neg_1352,1.39964,0
Neg_733,-1.47323,0
Neg_2593,1.22008,0
Neg_2259,-0.39591,0
Neg_1785,0.14276,0
Neg_847,0.966,0
Neg_684,-0.74966,0
Neg_1411,-0.43066,0
Neg_680,2.83607,0
Neg_502,0.14276,0
Neg_1097,-0.26124,0
Neg_1826,-0.31896,0
Neg_702,0.21792,0
Neg_1626,1.04053,0
Neg_2358,-0.01884,0
Neg_1026,-0.87472,0
Neg_82,-0.46324,0
Neg_509,-0.43066,0
Neg_1235,0.48016,0
Neg_2118,-0.09373,0
Neg_1303,0.63458,0
Neg_72,0.70214,0
Neg_1147,0.96954,0
Neg_2437,-1.01803,0
Neg_1770,-0.0881,0
Neg_177,1.46493,0
Neg_978,-0.54093,0
Neg_724,-0.77063,0
Neg_1766,0.18419,0
Neg_868,-0.46324,0
Neg_1825,-1.23903,0
Neg_2020,-0.92544,0
Neg_1628,1.75875,0
Neg_892,-0.82684,0
Neg_2692,-0.00415,0
Neg_512,-1.47323,0
Neg_2128,0.83532,0
Neg_1647,-1.47323,0
Neg_2419,-0.46324,0
Neg_2659,-0.87472,0
Neg_1214,-0.62271,0
Neg_411,-0.87472,0
Neg_2321,-1.17942,0
Neg_1384,-1.47323,0
Neg_1489,0.95075,0
Neg_2666,0.32231,0
Neg_1905,-0.64452,0
Neg_55,-0.12658,0
Neg_1178,-0.02608,0
Neg_2369,-0.97601,0
Neg_1,-0.12658,0
Neg_1999,0.22781,0
Neg_1883,0.39137,0
Neg_1643,-0.04736,0
Neg_2885,-0.12658,0
Neg_1786,-0.46324,0
Neg_1933,-0.30223,0
Neg_814,-1.47323,0
Neg_1593,-0.08014,0
Neg_1298,0.15908,0
Neg_285,-0.90952,0
Neg_2792,0.14276,0
Neg_2154,0.48554,0
Neg_1689,-0.42389,0
Neg_603,-0.62271,0
Neg_1021,-0.70371,0
Neg_1820,0.71054,0
Neg_222,-0.5445,0
Neg_256,1.46493,0
Neg_704,0.73039,0
Neg_144,0.64294,0
Neg_2067,-0.00415,0
Neg_1406,-0.0881,0
Neg_2616,0.59373,0
Neg_648,-0.8181,0
Neg_2774,-0.72161,0
Neg_292,-1.093,0
Neg_2667,0.48554,0
Neg_257,-0.92544,0
Neg_1768,-0.12658,0
Neg_2249,-0.33061,0
Neg_779,1.12033,0
Neg_2513,-0.57546,0
Neg_2425,0.70563,0
Neg_2272,-0.73869,0
Neg_361,-0.8181,0
Neg_1745,0.73039,0
Neg_2902,-0.12658,0
Neg_808,0.48554,0
Neg_407,-0.30706,0
Neg_191,0.49749,0
Neg_1737,0.63458,0
Neg_1001,-0.49385,0
Neg_2120,-1.23204,0
Neg_960,-1.0305,0
Neg_1356,-0.12658,0
Neg_1764,-1.47323,0
Neg_901,0.66109,0
Neg_2556,1.14729,0
Neg_303,0.26706,0
Neg_654,1.22008,0
Neg_251,0.32231,0
Neg_1958,-0.93457,0
Neg_2857,-1.47323,0
Neg_1824,-1.19934,0
Neg_9,1.22008,0
Neg_1397,-0.1907,0
Neg_1841,0.78164,0
Neg_1197,-0.30706,0
Neg_1357,-0.65501,0
Neg_2898,-1.47323,0
Neg_2132,0.14276,0
Neg_647,0.19848,0
Neg_2646,-0.12658,0
Neg_476,-0.93457,0
Neg_231,-0.43066,0
Neg_451,1.1332,0
Neg_1073,-1.47323,0
Neg_7,0.70214,0
Neg_1877,0.54675,0
Neg_2912,-1.47323,0
Neg_1968,0.28966,0
Neg_2590,-1.15637,0
Neg_2781,-0.33521,0
Neg_940,1.22008,0
Neg_459,-0.12658,0
Neg_1657,0.0658,0
Neg_2544,0.09063,0
Neg_2345,0.44404,0
Neg_2406,-0.62271,0
Neg_2060,0.41782,0
Neg_2697,-0.12658,0
Neg_1979,-0.70371,0
Neg_875,-0.12658,0
Neg_798,-1.06924,0
Neg_2520,-0.06803,0
Neg_2252,1.05175,0
Neg_1502,-1.13657,0
Neg_2316,-0.65501,0
Neg_2282,0.90322,0
Neg_2664,0.21511,0
Neg_1274,0.54675,0
Neg_1290,2.19947,0
Neg_299,0.29426,0
Neg_2528,-0.10375,0
Neg_1387,-1.47323,0
Neg_13,-0.33521,0
Neg_586,-0.0368,0
Neg_1691,-0.98844,0
Neg_629,-0.31896,0
Neg_1089,0.39137,0
Neg_2884,-0.93457,0
Neg_2610,0.17948,0
Neg_470,-0.33061,0
Neg_1649,-1.47323,0
Neg_1177,0.09063,0
Neg_2447,-0.89609,0
Neg_10,-1.47323,0
Neg_2623,0.26706,0
Neg_265,-1.47323,0
Neg_273,0.46595,0
Neg_2305,-1.05888,0
Neg_915,0.40038,0
Neg_1945,-1.21259,0
Neg_961,-0.96292,0
Neg_2662,-0.19745,0
Neg_1146,-1.29758,0
Neg_1137,0.03001,0
Neg_41,-0.61137,0
Neg_1496,-0.89609,0
Neg_2270,-0.09792,0
Neg_1721,-0.0557,0
Neg_2196,-0.7999,0
Neg_1988,-0.86724,0
Neg_2464,0.8773,0
Neg_521,0.83532,0
Neg_1062,0.28966,0
Neg_899,-0.87472,0
Neg_374,-1.0423,0
Neg_2106,-0.56282,0
Neg_3,0.41782,0
Neg_405,0.32231,0
Neg_1873,-0.82684,0
Neg_2506,0.70214,0
Neg_2777,0.39137,0
Neg_762,-0.62271,0
Neg_401,-1.47323,0
Neg_1801,-1.47323,0
Neg_2863,-0.39591,0
Neg_2412,-0.8181,0
Neg_1094,-0.56537,0
Neg_1795,0.83532,0
Neg_1144,-1.47323,0
Neg_1201,0.45631,0
Neg_2435,-0.8517,0
Neg_252,0.50186,0
Neg_2676,0.61805,0
Neg_322,-1.10596,0
Neg_1525,-0.55506,0
Neg_1228,-1.15004,0
Neg_2042,0.51568,0
Neg_2308,0.14276,0
Neg_2157,0.39137,0
Neg_2159,0.90322,0
Neg_2734,0.29771,0
Neg_1207,0.39137,0
Neg_120,-1.47323,0
Neg_2631,-1.47323,0
Neg_595,0.49749,0
Neg_993,-0.31896,0
Neg_1596,-0.66524,0
Neg_2868,-0.18044,0
Neg_579,0.28966,0
Neg_1663,-0.8517,0
Neg_1040,0.65774,0
Neg_2240,1.05783,0
Neg_2349,-0.62271,0
Neg_2207,0.09787,0
Neg_1153,-0.77063,0
Neg_580,0.68142,0
Neg_2390,0.10334,0
Neg_1683,-1.12941,0
Neg_2601,-0.18044,0
Neg_2888,-0.37142,0
Neg_1121,-1.02435,0
Neg_2688,-0.72161,0
Neg_1493,-1.47323,0
Neg_1272,-0.59973,0
Neg_1242,0.14276,0
Neg_1292,-1.47323,0
Neg_2398,-1.0423,0
Neg_1990,0.54675,0
Neg_2241,-0.62271,0
Neg_508,0.40582,0
Neg_307,-0.16738,0
Neg_2448,-0.86343,0
Neg_600,-0.0368,0
Neg_601,-0.95195,0
Neg_1217,0.01273,0
Neg_839,0.14276,0
Neg_682,1.22008,0
Neg_2187,1.05175,0
Neg_2821,0.14276,0
Neg_2789,0.83532,0
Neg_169,0.54675,0
Neg_320,-0.46324,0
Neg_2889,0.78164,0
Neg_17,-1.47323,0
Neg_1714,-0.59498,0
Neg_2605,-0.45046,0
Neg_1527,2.56674,0
Neg_83,-1.47323,0
Neg_2246,-0.31896,0
Neg_114,-0.66524,0
Neg_1808,-0.71574,0
Neg_958,-1.47323,0
Neg_2093,-0.08014,0
Neg_1561,-0.46324,0
Neg_1870,-1.47323,0
Neg_1335,-1.47323,0
Neg_1574,-0.78558,0
Neg_2188,-1.04797,0
Neg_608,-0.70371,0
Neg_1240,-0.49385,0
Neg_2628,1.22008,0
Neg_1855,0.83532,0
Neg_1793,-0.59973,0
Neg_2263,-1.02435,0
Neg_2400,-0.59973,0
Neg_1583,1.0129,0
Neg_410,1.0129,0
Neg_2849,-0.71574,0
Neg_1389,0.15908,0
Neg_130,-0.75502,0
Neg_2784,-0.09792,0
Neg_2759,-0.82684,0
Neg_2148,1.9896,0
Neg_2886,0.64294,0
Neg_903,0.5752,0
Neg_2844,0.01845,0
Neg_1071,-0.23016,0
Neg_2491,-0.16297,0
Neg_2731,-1.04797,0
Neg_1497,0.09063,0
Neg_2096,-0.72161,0
Neg_2234,-1.08384,0
Neg_263,-0.59498,0
Neg_2409,-0.70371,0
Neg_171,0.12281,0
Neg_2185,-0.1124,0
Neg_1630,0.48554,0
Neg_239,-0.74966,0
Neg_933,-0.63157,0
Neg_2276,-0.14242,0
Neg_2707,0.25818,0
Neg_1971,-0.31896,0
Neg_293,0.92083,0
Neg_766,0.23781,0
Neg_1208,1.06618,0
Neg_1076,0.27378,0
Neg_2860,1.75875,0
Neg_2048,-1.47323,0
Neg_837,2.40514,0
Neg_2085,-0.8517,0
Neg_1812,-1.07909,0
Neg_659,0.26706,0
Neg_2775,-0.17002,0
Neg_807,-1.10174,0
Neg_379,1.00022,0
Neg_683,-0.96022,0
Neg_2124,-0.31896,0
Neg_1239,0.14276,0
Neg_1478,0.46595,0
Neg_711,0.0658,0
Neg_1422,0.25818,0
Neg_2642,0.7712,0
Neg_2243,1.72323,0
Neg_419,0.25818,0
Neg_2335,0.80281,0
Neg_708,-0.23016,0
Neg_2224,-0.21402,0
Neg_75,2.70933,0
Neg_1927,1.39055,0
Neg_396,-0.8517,0
Neg_2062,0.63458,0
Neg_1758,-0.3458,0
Neg_1696,0.76429,0
Neg_1938,1.43555,0
Neg_2212,-0.15406,0
Neg_491,-0.59973,0
Neg_857,-0.8517,0
Neg_2686,-1.47323,0
Neg_2549,-0.60752,0
Neg_465,-0.58776,0
Neg_214,-0.31896,0
Neg_1450,-0.57546,0
Neg_2311,0.19029,0
Neg_566,-0.44175,0
Neg_1468,-0.96824,0
Neg_324,-0.25362,0
Neg_1106,0.30436,0
Neg_1455,-0.8517,0
Neg_1775,-0.33061,0
Neg_2533,-0.55852,0
Neg_84,-0.31896,0
Neg_2087,-0.00415,0
Neg_454,0.14276,0
Neg_1320,-0.78067,0
Neg_534,0.32231,0
Neg_2600,-1.09742,0
Neg_2303,0.36312,0
Neg_1332,-1.47323,0
Neg_1096,0.17574,0
Neg_278,-1.47323,0
Neg_2916,0.22781,0
Neg_365,-1.10596,0
Neg_929,-0.35876,0
Neg_955,0.125,0
Neg_1510,-1.15637,0
Neg_974,-0.68495,0
Neg_2768,-1.47323,0
Neg_1142,1.37851,0
Neg_1174,0.10334,0
Neg_848,-1.03648,0
Neg_991,-0.20579,0
Neg_565,-1.47323,0
Neg_1973,0.57232,0
Neg_1172,-0.18044,0
Neg_2450,-1.47323,0
Neg_2795,-0.54093,0
Neg_33,-0.64025,0
Neg_2216,-0.12658,0
Neg_2359,-1.47323,0
Neg_515,-0.83951,0
Neg_208,0.32231,0
Neg_2503,-1.11807,0
Neg_2396,-0.89609,0
Neg_1670,-0.62271,0
Neg_8,0.52182,0
Neg_1802,0.93869,0
Neg_1617,-0.18044,0
Neg_1353,-0.23016,0
Neg_917,-1.23903,0
Neg_1912,-0.62271,0
Neg_2647,1.97068,0
Neg_2682,-1.47323,0
Neg_1130,-0.19745,0
Neg_1914,1.46493,0
Neg_1659,-1.47323,0
Neg_1233,-0.46324,0
Neg_2379,-0.09792,0
Neg_1832,-0.44175,0
Neg_1156,-0.56537,0
Neg_2258,-0.75502,0
Neg_461,0.04176,0
Neg_1432,-0.41357,0
Neg_1840,-0.39591,0
Neg_51,-1.47323,0
Neg_2078,0.54675,0
Neg_1658,-0.0881,0
Neg_1291,-0.00415,0
Neg_2421,-0.23016,0
Neg_1107,0.95944,0
Neg_57,0.09063,0
Neg_56,1.0129,0
Neg_1535,-0.12658,0
Neg_728,-0.55852,0
Neg_612,0.17015,0
Neg_1789,-0.00415,0
Neg_2923,-0.60442,0
Neg_998,-0.70371,0
Neg_2027,-1.47323,0
Neg_1120,1.48073,0
Neg_938,-0.43066,0
Neg_1639,0.66109,0
Neg_1380,1.46493,0
Neg_995,-0.81365,0
Neg_274,1.07833,0
Neg_1731,0.66109,0
Neg_1423,2.11785,0
Neg_1720,-0.37142,0
Neg_1176,-0.96022,0
Neg_298,-0.12658,0
Neg_1494,-0.62271,0
Neg_2041,-0.70371,0
Neg_2033,-0.70371,0
Neg_1010,0.68142,0
Neg_964,0.56997,0
Neg_735,0.59373,0
Neg_245,-0.67521,0
Neg_317,0.30258,0
Neg_1277,0.49749,0
Neg_213,-1.47323,0
Neg_109,-0.87472,0
Neg_1604,-1.03648,0
Neg_2004,-0.23016,0
Neg_1848,-0.31896,0
Neg_1998,0.11107,0
Neg_968,0.63458,0
Neg_1860,0.32231,0
Neg_854,-1.47323,0
Neg_229,-1.47323,0
Neg_397,-1.11009,0
Neg_1864,-0.72739,0
Neg_2553,-0.68495,0
Neg_1504,-0.5445,0
Neg_2824,0.16321,0
Neg_20,0.27378,0
Neg_1594,0.83532,0
Neg_2657,-0.02299,0
Neg_1823,0.63458,0
Neg_2352,0.62545,0
Neg_675,0.32231,0
Neg_38,1.60484,0
Neg_2630,-0.95195,0
Neg_1313,-0.916,0
Neg_2083,-0.2762,0
Neg_224,-0.44175,0
Neg_1271,-0.46324,0
Neg_2404,-0.46324,0
Neg_91,0.0477,0
Neg_2318,-0.16738,0
Neg_2034,-0.00415,0
Neg_2914,0.41209,0
Neg_2749,-0.88914,0
Neg_1143,2.17578,0
Neg_80,0.37361,0
Neg_289,-1.19934,0
Neg_1262,-0.19745,0
Neg_2269,-0.92544,0
Neg_922,-1.47323,0
Neg_1843,-1.11412,0
Neg_40,0.83532,0
Neg_1771,0.27904,0
Neg_1068,-0.82684,0
Neg_1857,-0.87472,0
Neg_635,-0.90952,0
Neg_2908,1.42726,0
Neg_2651,0.14276,0
Neg_781,0.47374,0
Neg_574,-1.47323,0
Neg_151,-0.02066,0
Neg_356,-0.70371,0
Neg_1012,0.45893,0
Neg_455,-0.58533,0
Neg_2395,-1.47323,0
Neg_173,-0.80913,0
Neg_1744,-0.00415,0
Neg_1127,1.15745,0
Neg_872,-0.66524,0
Neg_556,0.88342,0
Neg_1872,0.26706,0
Neg_1175,-0.05258,0
Neg_2738,-0.73869,0
Neg_2341,-0.8181,0
Neg_2539,-0.48385,0
Neg_2859,1.0129,0
Neg_106,0.71054,0
Neg_453,-0.37142,0
Neg_1396,0.21511,0
Neg_2665,-0.82684,0
Neg_2357,-1.22462,0
Neg_1937,0.966,0
Neg_2673,-1.02435,0
Neg_693,0.14276,0
