,Length,y
Neg_478,-0.31521,0
Neg_1929,1.42217,0
Neg_1179,-0.90666,0
Neg_116,1.7179,0
Neg_2854,-0.09342,0
Neg_2229,-0.20432,0
Neg_301,-0.53701,0
Neg_2264,0.57196,0
Neg_58,-0.31521,0
Neg_37,-0.27825,0
Neg_1299,-1.16542,0
Neg_2238,0.12838,0
Neg_1065,1.42217,0
Neg_2393,1.57004,0
Neg_1063,1.01555,0
Neg_2681,-0.20432,0
Neg_1206,0.94162,0
Neg_926,-0.8697,0
Neg_1834,-1.12846,0
Neg_219,0.23927,0
Neg_1051,1.57004,0
Neg_2732,-0.90666,0
Neg_22,-0.83273,0
Neg_2672,0.46107,0
Neg_1925,1.45914,0
Neg_1046,-0.31521,0
Neg_2602,0.3132,0
Neg_2626,0.68286,0
Neg_664,1.42217,0
Neg_1033,1.607,0
Neg_1541,1.53307,0
Neg_352,0.4241,0
Neg_2763,0.75679,0
Neg_2198,1.57004,0
Neg_260,-0.68487,0
Neg_743,0.16534,0
Neg_1798,-0.38914,0
Neg_805,1.31128,0
Neg_2446,1.86576,0
Neg_1456,-0.8697,0
Neg_853,-1.05453,0
Neg_1866,-0.09342,0
Neg_1972,1.68093,0
Neg_1250,2.12452,0
Neg_2893,1.42217,0
Neg_415,-0.24128,0
Neg_2440,-0.72183,0
Neg_1947,-0.35218,0
Neg_2296,1.23735,0
Neg_1491,2.12452,0
Neg_1592,0.79376,0
Neg_833,0.4241,0
Neg_2254,-0.98059,0
Neg_2786,1.34824,0
Neg_1307,1.20038,0
Neg_1022,-0.7588,0
Neg_2289,-0.20432,0
Neg_2564,-0.20432,0
Neg_1131,0.90465,0
Neg_2814,0.49803,0
Neg_2346,-0.42611,0
Neg_2538,0.79376,0
Neg_503,-0.24128,0
Neg_614,-0.13038,0
Neg_2227,-0.09342,0
Neg_1977,0.97859,0
Neg_1151,1.05252,0
Neg_2315,0.27624,0
Neg_1180,0.94162,0
Neg_308,-0.05645,0
Neg_1426,0.49803,0
Neg_12,2.12452,0
Neg_506,1.01555,0
Neg_136,1.31128,0
Neg_378,-0.50004,0
Neg_2058,-0.24128,0
Neg_2336,0.35017,0
Neg_2220,1.607,0
Neg_262,-0.72183,0
Neg_1888,0.49803,0
Neg_2552,0.3132,0
Neg_1340,1.97666,0
Neg_1753,-0.05645,0
Neg_941,1.97666,0
Neg_689,-0.01949,0
Neg_403,2.12452,0
Neg_2524,1.01555,0
Neg_1006,0.57196,0
Neg_89,-0.53701,0
Neg_1956,0.75679,0
Neg_2723,0.57196,0
Neg_34,0.71983,0
Neg_757,-0.50004,0
Neg_1170,-0.94363,0
Neg_1405,1.45914,0
Neg_1634,0.57196,0
Neg_835,2.01362,0
Neg_1809,1.45914,0
Neg_296,1.05252,0
Neg_1989,1.607,0
Neg_636,1.79183,0
Neg_1350,0.01748,0
Neg_160,-1.12846,0
Neg_1524,-0.05645,0
Neg_836,2.05059,0
Neg_1885,0.35017,0
Neg_1723,2.01362,0
Neg_1139,1.05252,0
Neg_531,0.12838,0
Neg_131,1.75486,0
Neg_226,1.27431,0
Neg_2031,1.08948,0
Neg_1050,0.535,0
Neg_2215,-0.61094,0
Neg_1008,0.09141,0
Neg_755,-0.8697,0
Neg_1309,-0.79577,0
Neg_1348,0.4241,0
Neg_2829,-0.90666,0
Neg_1281,-0.42611,0
Neg_2879,-1.01756,0
Neg_2182,1.53307,0
Neg_513,-0.42611,0
Neg_2222,-0.7588,0
Neg_2348,0.01748,0
Neg_549,-0.53701,0
Neg_2669,-0.50004,0
Neg_1248,0.64589,0
Neg_19,0.75679,0
Neg_1763,-0.20432,0
Neg_2832,-0.31521,0
Neg_1992,1.27431,0
Neg_2675,0.90465,0
Neg_203,2.05059,0
Neg_2314,1.38521,0
Neg_460,1.05252,0
Neg_248,1.8288,0
Neg_418,1.23735,0
Neg_1007,2.05059,0
Neg_2178,0.20231,0
Neg_537,0.79376,0
Neg_97,1.45914,0
Neg_1719,0.35017,0
Neg_1777,0.71983,0
Neg_771,1.68093,0
Neg_2070,0.27624,0
Neg_1418,1.05252,0
Neg_1167,0.83072,0
Neg_2477,1.64397,0
Neg_715,1.64397,0
Neg_616,1.45914,0
Neg_558,0.79376,0
Neg_64,0.12838,0
Neg_1316,0.01748,0
Neg_1507,-1.05453,0
Neg_1101,0.97859,0
Neg_1796,1.16341,0
Neg_1223,2.12452,0
Neg_538,1.8288,0
Neg_302,1.7179,0
Neg_200,1.12645,0
Neg_1730,0.94162,0
Neg_876,1.38521,0
Neg_326,0.38714,0
Neg_1436,0.60893,0
Neg_727,-0.27825,0
Neg_1831,1.68093,0
Neg_900,-1.09149,0
Neg_1637,-0.01949,0
Neg_2635,-0.42611,0
Neg_2454,0.35017,0
Neg_1216,0.64589,0
Neg_2191,1.16341,0
Neg_1275,-0.42611,0
Neg_2151,1.27431,0
Neg_1402,-1.16542,0
Neg_717,-0.90666,0
Neg_1862,-0.90666,0
Neg_158,-0.24128,0
Neg_1740,1.42217,0
Neg_1424,0.20231,0
Neg_943,-0.35218,0
Neg_1688,-0.90666,0
Neg_148,0.97859,0
Neg_2796,1.90273,0
Neg_1887,0.79376,0
Neg_2811,-0.24128,0
Neg_859,-0.09342,0
Neg_2155,-0.13038,0
Neg_2045,1.90273,0
Neg_1104,0.3132,0
Neg_2638,0.94162,0
Neg_962,1.53307,0
Neg_2828,1.7179,0
Neg_1944,-0.31521,0
Neg_523,-1.12846,0
Neg_1319,0.68286,0
Neg_562,0.46107,0
Neg_2456,0.16534,0
Neg_1500,0.4241,0
Neg_1913,-0.7588,0
Neg_286,-0.31521,0
Neg_2871,-0.20432,0
Neg_456,0.86769,0
Neg_984,1.64397,0
Neg_1837,0.49803,0
Neg_2617,1.05252,0
Neg_139,-0.98059,0
Neg_1815,1.01555,0
Neg_1157,1.45914,0
Neg_1317,0.64589,0
Neg_2405,1.607,0
Neg_45,0.535,0
Neg_1797,1.20038,0
Neg_2769,0.20231,0
Neg_1390,1.86576,0
Neg_1018,1.34824,0
Neg_602,-1.01756,0
Neg_182,1.97666,0
Neg_1056,-0.38914,0
Neg_2567,0.90465,0
Neg_849,-0.05645,0
Neg_2338,-0.68487,0
Neg_422,1.45914,0
Neg_1421,1.4961,0
Neg_2439,0.35017,0
Neg_563,-0.27825,0
Neg_1622,0.27624,0
Neg_1578,-0.27825,0
Neg_1939,0.75679,0
Neg_163,1.16341,0
Neg_287,-0.20432,0
Neg_787,-0.72183,0
Neg_1846,1.16341,0
Neg_1280,1.23735,0
Neg_1918,-1.05453,0
Neg_999,-0.83273,0
Neg_314,1.31128,0
Neg_2192,1.08948,0
Neg_605,0.12838,0
Neg_413,-1.05453,0
Neg_1861,1.45914,0
Neg_342,-0.98059,0
Neg_398,0.71983,0
Neg_96,-0.46307,0
Neg_1924,-0.83273,0
Neg_592,1.86576,0
Neg_1985,0.49803,0
Neg_1045,1.27431,0
Neg_2542,-0.90666,0
Neg_2165,1.64397,0
Neg_1526,0.535,0
Neg_2709,1.86576,0
Neg_2230,1.53307,0
Neg_2137,-0.42611,0
Neg_2068,0.68286,0
Neg_2163,-0.42611,0
Neg_2247,2.01362,0
Neg_529,0.68286,0
Neg_936,1.12645,0
Neg_2418,-0.13038,0
Neg_2487,1.53307,0
Neg_703,0.38714,0
Neg_1742,1.01555,0
Neg_305,-0.13038,0
Neg_1078,1.7179,0
Neg_1672,0.83072,0
Neg_2568,-0.6479,0
Neg_1911,2.08755,0
Neg_2397,-0.31521,0
Neg_992,1.64397,0
Neg_1161,-1.05453,0
Neg_2581,0.05444,0
Neg_701,1.20038,0
Neg_464,0.535,0
Neg_1692,-0.27825,0
Neg_774,-0.16735,0
Neg_2620,1.42217,0
Neg_979,1.34824,0
Neg_2827,-0.50004,0
Neg_2729,0.86769,0
Neg_2277,1.08948,0
Neg_1632,0.94162,0
Neg_2756,-1.09149,0
Neg_1898,1.08948,0
Neg_1391,-0.09342,0
Neg_1059,1.31128,0
Neg_1746,0.35017,0
Neg_1847,-0.16735,0
Neg_1490,1.64397,0
Neg_450,-1.12846,0
Neg_1448,-0.98059,0
Neg_2410,1.90273,0
Neg_1301,2.01362,0
Neg_696,-0.68487,0
Neg_2757,-0.53701,0
Neg_815,-0.6479,0
Neg_890,-1.05453,0
Neg_2049,1.23735,0
Neg_634,0.23927,0
Neg_1241,0.46107,0
Neg_1265,0.535,0
Neg_1145,2.01362,0
Neg_364,1.42217,0
Neg_2428,1.12645,0
Neg_2873,1.38521,0
Neg_2762,0.86769,0
Neg_1932,-0.05645,0
Neg_218,-0.83273,0
Neg_1471,0.97859,0
Neg_211,0.20231,0
Neg_88,-0.38914,0
Neg_1800,1.23735,0
Neg_1995,-0.8697,0
Neg_2231,0.97859,0
Neg_1090,-0.94363,0
Neg_1457,0.27624,0
Neg_795,-0.6479,0
Neg_1614,0.23927,0
Neg_732,-0.42611,0
Neg_2025,0.97859,0
Neg_2088,-0.05645,0
Neg_2527,1.4961,0
Neg_2021,0.83072,0
Neg_2570,0.64589,0
Neg_215,0.79376,0
Neg_2516,1.23735,0
Neg_1712,1.31128,0
Neg_2010,1.31128,0
Neg_1285,-0.27825,0
Neg_2834,-0.09342,0
Neg_2013,-0.53701,0
Neg_945,1.57004,0
Neg_1787,1.8288,0
Neg_935,0.64589,0
Neg_2099,-0.50004,0
Neg_2179,-1.16542,0
Neg_2726,-1.16542,0
Neg_1484,0.97859,0
Neg_2381,1.57004,0
Neg_1458,0.83072,0
Neg_216,1.08948,0
Neg_2725,-0.46307,0
Neg_406,-0.50004,0
Neg_1363,0.35017,0
Neg_1311,-0.7588,0
Neg_1149,-0.98059,0
Neg_1218,-0.79577,0
Neg_1597,0.83072,0
Neg_2745,0.64589,0
Neg_1477,0.79376,0
Neg_2803,0.535,0
Neg_104,1.75486,0
Neg_1900,1.23735,0
Neg_2586,0.94162,0
Neg_2050,1.05252,0
Neg_1069,-0.8697,0
Neg_336,-0.24128,0
Neg_2260,1.4961,0
Neg_1733,0.64589,0
Neg_1555,-0.61094,0
Neg_2329,0.23927,0
Neg_1878,-0.53701,0
Neg_1893,1.607,0
Neg_1716,1.64397,0
Neg_2322,-0.42611,0
Neg_101,-0.05645,0
Neg_16,0.68286,0
Neg_31,2.12452,0
Neg_240,-0.31521,0
Neg_1117,0.68286,0
Neg_2262,-0.24128,0
Neg_2861,1.38521,0
Neg_1225,0.71983,0
Neg_261,1.93969,0
Neg_609,-0.01949,0
Neg_1352,0.09141,0
Neg_733,-0.79577,0
Neg_2593,-0.46307,0
Neg_2259,-1.01756,0
Neg_1785,1.75486,0
Neg_847,0.38714,0
Neg_684,0.90465,0
Neg_1411,-0.42611,0
Neg_680,-1.01756,0
Neg_502,-0.46307,0
Neg_1097,1.38521,0
Neg_1826,1.53307,0
Neg_702,1.607,0
Neg_1626,0.09141,0
Neg_2358,2.12452,0
Neg_1026,0.4241,0
Neg_82,1.97666,0
Neg_509,-0.42611,0
Neg_1235,1.79183,0
Neg_2118,1.45914,0
Neg_1303,0.97859,0
Neg_72,0.35017,0
Neg_1147,1.607,0
Neg_2437,1.05252,0
Neg_1770,1.01555,0
Neg_177,1.27431,0
Neg_978,0.35017,0
Neg_724,-0.72183,0
Neg_1766,-0.13038,0
Neg_868,-0.38914,0
Neg_1825,0.97859,0
Neg_2020,0.60893,0
Neg_1628,-1.01756,0
Neg_892,1.20038,0
Neg_2692,-1.16542,0
Neg_512,-0.94363,0
Neg_2128,0.49803,0
Neg_1647,-0.50004,0
Neg_2419,-0.98059,0
Neg_2659,0.4241,0
Neg_1214,-0.16735,0
Neg_411,1.42217,0
Neg_2321,0.46107,0
Neg_1384,-0.7588,0
Neg_1489,2.12452,0
Neg_2666,0.75679,0
Neg_1905,1.31128,0
Neg_55,1.08948,0
Neg_1178,0.90465,0
Neg_2369,0.83072,0
Neg_1,1.97666,0
Neg_1999,-0.8697,0
Neg_1883,0.35017,0
Neg_1643,0.94162,0
Neg_2885,-1.12846,0
Neg_1786,0.79376,0
Neg_1933,0.97859,0
Neg_814,-0.50004,0
Neg_1593,0.57196,0
Neg_1298,2.08755,0
Neg_285,1.607,0
Neg_2792,-0.09342,0
Neg_2154,2.08755,0
Neg_1689,1.27431,0
Neg_603,-0.16735,0
Neg_1021,-0.79577,0
Neg_1820,1.16341,0
Neg_222,1.64397,0
Neg_256,-0.7588,0
Neg_704,0.05444,0
Neg_144,1.53307,0
Neg_2067,1.68093,0
Neg_1406,-0.27825,0
Neg_2616,1.607,0
Neg_648,1.16341,0
Neg_2774,1.607,0
Neg_292,1.57004,0
Neg_2667,2.08755,0
Neg_257,0.60893,0
Neg_1768,-0.68487,0
Neg_2249,2.08755,0
Neg_779,1.42217,0
Neg_2513,-0.24128,0
Neg_2425,1.7179,0
Neg_2272,-0.7588,0
Neg_361,1.16341,0
Neg_1745,-0.7588,0
Neg_2902,1.53307,0
Neg_808,-0.35218,0
Neg_407,2.01362,0
Neg_191,-0.05645,0
Neg_1737,1.8288,0
Neg_1001,-0.35218,0
Neg_2120,0.90465,0
Neg_960,1.12645,0
Neg_1356,1.53307,0
Neg_1764,-1.01756,0
Neg_901,0.38714,0
Neg_2556,-0.20432,0
Neg_303,0.83072,0
Neg_654,1.97666,0
Neg_251,1.08948,0
Neg_1958,0.64589,0
Neg_2857,-0.50004,0
Neg_1824,0.60893,0
Neg_9,-0.68487,0
Neg_1397,0.75679,0
Neg_1841,0.01748,0
Neg_1197,2.01362,0
Neg_1357,1.34824,0
Neg_2898,0.27624,0
Neg_2132,-0.83273,0
Neg_647,1.64397,0
Neg_2646,-0.68487,0
Neg_476,-0.46307,0
Neg_231,-0.42611,0
Neg_451,0.71983,0
Neg_1073,-0.7588,0
Neg_7,0.35017,0
Neg_1877,-0.68487,0
Neg_2912,-0.72183,0
Neg_1968,0.46107,0
Neg_2590,0.3132,0
Neg_2781,1.05252,0
Neg_940,-0.90666,0
Neg_459,0.20231,0
Neg_1657,-0.01949,0
Neg_2544,0.71983,0
Neg_2345,0.60893,0
Neg_2406,0.535,0
Neg_2060,1.90273,0
Neg_2697,-0.24128,0
Neg_1979,0.75679,0
Neg_875,-1.12846,0
Neg_798,1.38521,0
Neg_2520,0.97859,0
Neg_2252,1.97666,0
Neg_1502,0.20231,0
Neg_2316,1.34824,0
Neg_2282,-0.31521,0
Neg_2664,0.90465,0
Neg_1274,-0.98059,0
Neg_1290,-0.7588,0
Neg_299,0.79376,0
Neg_2528,0.60893,0
Neg_1387,1.68093,0
Neg_13,1.05252,0
Neg_586,1.75486,0
Neg_1691,2.12452,0
Neg_629,-0.01949,0
Neg_1089,1.31128,0
Neg_2884,-0.46307,0
Neg_2610,1.68093,0
Neg_470,2.08755,0
Neg_1649,-1.09149,0
Neg_1177,0.71983,0
Neg_2447,-0.53701,0
Neg_10,-0.31521,0
Neg_2623,0.83072,0
Neg_265,-0.6479,0
Neg_273,-0.6479,0
Neg_2305,1.31128,0
Neg_915,0.97859,0
Neg_1945,0.71983,0
Neg_961,1.93969,0
Neg_2662,1.23735,0
Neg_1146,1.8288,0
Neg_1137,0.01748,0
Neg_41,1.20038,0
Neg_1496,0.49803,0
Neg_2270,0.16534,0
Neg_1721,0.535,0
Neg_2196,1.08948,0
Neg_1988,1.38521,0
Neg_2464,0.46107,0
Neg_521,1.53307,0
Neg_1062,0.46107,0
Neg_899,-0.57397,0
Neg_374,1.20038,0
Neg_2106,1.05252,0
Neg_3,1.90273,0
Neg_405,-0.90666,0
Neg_1873,-0.6479,0
Neg_2506,0.35017,0
Neg_2777,1.31128,0
Neg_762,-0.8697,0
Neg_401,-1.16542,0
Neg_1801,-0.98059,0
Neg_2863,-0.46307,0
Neg_2412,1.16341,0
Neg_1094,1.7179,0
Neg_1795,-0.79577,0
Neg_1144,-0.79577,0
Neg_1201,0.90465,0
Neg_2435,-0.61094,0
Neg_252,1.75486,0
Neg_2676,1.57004,0
Neg_322,0.05444,0
Neg_1525,1.68093,0
Neg_1228,2.12452,0
Neg_2042,0.83072,0
Neg_2308,0.27624,0
Neg_2157,1.31128,0
Neg_2159,-0.31521,0
Neg_2734,1.12645,0
Neg_1207,0.35017,0
Neg_120,0.35017,0
Neg_2631,0.68286,0
Neg_595,-0.05645,0
Neg_993,-0.53701,0
Neg_1596,-0.83273,0
Neg_2868,1.20038,0
Neg_579,0.46107,0
Neg_1663,-0.61094,0
Neg_1040,1.79183,0
Neg_2240,1.4961,0
Neg_2349,1.93969,0
Neg_2207,1.08948,0
Neg_1153,-0.72183,0
Neg_580,-1.01756,0
Neg_2390,-0.05645,0
Neg_1683,0.16534,0
Neg_2601,1.20038,0
Neg_2888,1.68093,0
Neg_1121,-0.24128,0
Neg_2688,0.01748,0
Neg_1493,-1.12846,0
Neg_1272,-0.20432,0
Neg_1242,1.01555,0
Neg_1292,-0.42611,0
Neg_2398,1.20038,0
Neg_1990,-0.38914,0
Neg_2241,-0.8697,0
Neg_508,1.607,0
Neg_307,2.08755,0
Neg_2448,0.38714,0
Neg_600,1.75486,0
Neg_601,1.86576,0
Neg_1217,1.64397,0
Neg_839,-0.83273,0
Neg_682,-0.90666,0
Neg_2187,-0.38914,0
Neg_2821,1.38521,0
Neg_2789,-1.05453,0
Neg_169,0.79376,0
Neg_320,0.79376,0
Neg_2889,1.607,0
Neg_17,-0.38914,0
Neg_1714,1.8288,0
Neg_2605,1.34824,0
Neg_1527,-1.12846,0
Neg_83,-1.05453,0
Neg_2246,2.05059,0
Neg_114,-0.83273,0
Neg_1808,0.79376,0
Neg_958,-0.98059,0
Neg_2093,0.57196,0
Neg_1561,0.79376,0
Neg_1870,-0.8697,0
Neg_1335,-0.31521,0
Neg_1574,1.90273,0
Neg_2188,1.23735,0
Neg_608,-0.79577,0
Neg_1240,-0.35218,0
Neg_2628,-0.46307,0
Neg_1855,-0.01949,0
Neg_1793,-0.20432,0
Neg_2263,-0.24128,0
Neg_2400,1.16341,0
Neg_1583,-0.61094,0
Neg_410,-1.09149,0
Neg_2849,0.79376,0
Neg_1389,2.08755,0
Neg_130,1.75486,0
Neg_2784,1.90273,0
Neg_2759,-0.6479,0
Neg_2148,-0.53701,0
Neg_2886,1.53307,0
Neg_903,1.05252,0
Neg_2844,0.83072,0
Neg_1071,0.35017,0
Neg_2491,1.16341,0
Neg_2731,1.23735,0
Neg_1497,-0.42611,0
Neg_2096,0.01748,0
Neg_2234,1.4961,0
Neg_263,1.8288,0
Neg_2409,-0.01949,0
Neg_171,1.42217,0
Neg_2185,1.93969,0
Neg_1630,0.86769,0
Neg_239,0.90465,0
Neg_933,1.97666,0
Neg_2276,1.57004,0
Neg_2707,1.53307,0
Neg_1971,-1.05453,0
Neg_293,-0.57397,0
Neg_766,1.57004,0
Neg_1208,1.01555,0
Neg_1076,1.16341,0
Neg_2860,-0.27825,0
Neg_2048,-1.12846,0
Neg_837,-0.6479,0
Neg_2085,-0.61094,0
Neg_1812,-0.05645,0
Neg_659,0.83072,0
Neg_2775,0.71983,0
Neg_807,1.64397,0
Neg_379,2.05059,0
Neg_683,0.75679,0
Neg_2124,-0.53701,0
Neg_1239,0.27624,0
Neg_1478,0.27624,0
Neg_711,-0.79577,0
Neg_1422,0.49803,0
Neg_2642,-0.24128,0
Neg_2243,1.79183,0
Neg_419,-0.53701,0
Neg_2335,1.05252,0
Neg_708,-0.61094,0
Neg_2224,1.27431,0
Neg_75,1.57004,0
Neg_1927,1.34824,0
Neg_396,-0.61094,0
Neg_2062,0.97859,0
Neg_1758,0.01748,0
Neg_1696,0.83072,0
Neg_1938,2.12452,0
Neg_2212,0.23927,0
Neg_491,1.16341,0
Neg_857,-0.61094,0
Neg_2686,-0.79577,0
Neg_2549,0.49803,0
Neg_465,1.12645,0
Neg_214,-0.01949,0
Neg_1450,-0.24128,0
Neg_2311,0.94162,0
Neg_566,1.90273,0
Neg_1468,-0.38914,0
Neg_324,0.38714,0
Neg_1106,2.12452,0
Neg_1455,0.35017,0
Neg_1775,2.08755,0
Neg_2533,0.38714,0
Neg_84,0.49803,0
Neg_2087,0.86769,0
Neg_454,2.12452,0
Neg_1320,1.01555,0
Neg_534,-0.90666,0
Neg_2600,1.607,0
Neg_2303,0.05444,0
Neg_1332,-0.8697,0
Neg_1096,0.23927,0
Neg_278,-0.53701,0
Neg_2916,-0.8697,0
Neg_365,1.68093,0
Neg_929,0.57196,0
Neg_955,1.79183,0
Neg_1510,0.3132,0
Neg_974,1.45914,0
Neg_2768,-0.09342,0
Neg_1142,-0.94363,0
Neg_1174,1.45914,0
Neg_848,-0.20432,0
Neg_991,0.3132,0
Neg_565,-0.05645,0
Neg_1973,1.34824,0
Neg_1172,1.20038,0
Neg_2450,-0.61094,0
Neg_2795,0.35017,0
Neg_33,2.01362,0
Neg_2216,-1.12846,0
Neg_2359,-1.01756,0
Neg_515,0.3132,0
Neg_208,1.42217,0
Neg_2503,1.79183,0
Neg_2396,-0.53701,0
Neg_1670,-0.8697,0
Neg_8,1.42217,0
Neg_1802,0.90465,0
Neg_1617,2.12452,0
Neg_1353,0.83072,0
Neg_917,0.97859,0
Neg_1912,1.23735,0
Neg_2647,0.68286,0
Neg_2682,-0.79577,0
Neg_1130,-0.16735,0
Neg_1914,-1.16542,0
Neg_1659,-0.50004,0
Neg_1233,-0.38914,0
Neg_2379,0.16534,0
Neg_1832,1.90273,0
Neg_1156,1.7179,0
Neg_2258,1.75486,0
Neg_461,-0.38914,0
Neg_1432,0.68286,0
Neg_1840,-0.46307,0
Neg_51,-0.94363,0
Neg_2078,1.38521,0
Neg_1658,1.01555,0
Neg_1291,1.27431,0
Neg_2421,0.83072,0
Neg_1107,1.86576,0
Neg_57,0.71983,0
Neg_56,-1.09149,0
Neg_1535,-0.68487,0
Neg_728,0.38714,0
Neg_612,0.60893,0
Neg_1789,-0.7588,0
Neg_2923,1.86576,0
Neg_998,0.75679,0
Neg_2027,-1.05453,0
Neg_1120,1.86576,0
Neg_938,0.71983,0
Neg_1639,0.38714,0
Neg_1380,-0.7588,0
Neg_995,2.05059,0
Neg_274,-0.8697,0
Neg_1731,0.38714,0
Neg_1423,-0.90666,0
Neg_1720,0.05444,0
Neg_1176,0.75679,0
Neg_298,-1.12846,0
Neg_1494,0.535,0
Neg_2041,0.75679,0
Neg_2033,-0.01949,0
Neg_1010,1.20038,0
Neg_964,1.64397,0
Neg_735,1.607,0
Neg_245,1.42217,0
Neg_317,1.79183,0
Neg_1277,-0.05645,0
Neg_213,0.71983,0
Neg_109,-0.57397,0
Neg_1604,-0.20432,0
Neg_2004,-0.61094,0
Neg_1848,-0.53701,0
Neg_1998,0.3132,0
Neg_968,0.97859,0
Neg_1860,-0.24128,0
Neg_854,-1.05453,0
Neg_229,-0.72183,0
Neg_397,1.7179,0
Neg_1864,0.83072,0
Neg_2553,1.45914,0
Neg_1504,1.64397,0
Neg_2824,1.34824,0
Neg_20,-0.20432,0
Neg_1594,0.23927,0
Neg_2657,1.31128,0
Neg_1823,0.12838,0
Neg_2352,1.27431,0
Neg_675,-0.90666,0
Neg_38,-0.79577,0
Neg_2630,-0.42611,0
Neg_1313,0.57196,0
Neg_2083,1.42217,0
Neg_224,1.90273,0
Neg_1271,0.20231,0
Neg_2404,0.20231,0
Neg_91,1.57004,0
Neg_2318,2.08755,0
Neg_2034,0.46107,0
Neg_2914,0.64589,0
Neg_2749,1.4961,0
Neg_1143,-0.42611,0
Neg_80,1.01555,0
Neg_289,0.60893,0
Neg_1262,-0.16735,0
Neg_2269,0.60893,0
Neg_922,-0.57397,0
Neg_1843,1.75486,0
Neg_40,-1.05453,0
Neg_1771,1.4961,0
Neg_1068,1.20038,0
Neg_1857,0.4241,0
Neg_635,1.607,0
Neg_2908,-0.13038,0
Neg_2651,1.75486,0
Neg_781,1.4961,0
Neg_574,-0.90666,0
Neg_151,1.7179,0
Neg_356,-0.79577,0
Neg_1012,1.8288,0
Neg_455,1.79183,0
Neg_2395,-0.09342,0
Neg_173,1.12645,0
Neg_1744,-1.16542,0
Neg_1127,1.607,0
Neg_872,-0.83273,0
Neg_556,1.97666,0
Neg_1872,0.83072,0
Neg_1175,1.79183,0
Neg_2738,1.68093,0
Neg_2341,1.16341,0
Neg_2539,0.23927,0
Neg_2859,-1.09149,0
Neg_106,-0.20432,0
Neg_453,0.05444,0
Neg_1396,0.90465,0
Neg_2665,-0.6479,0
Neg_2357,0.83072,0
Neg_1937,0.38714,0
Neg_2673,-0.24128,0
Neg_693,2.12452,0
Neg_769,0.09141,0
Neg_2833,0.46107,0
Neg_2773,-0.79577,0
Neg_1447,0.23927,0
Neg_29,0.4241,0
Neg_489,0.64589,0
Neg_2545,0.68286,0
Neg_1306,-0.42611,0
Neg_617,0.16534,0
Neg_1372,-0.20432,0
Neg_2481,0.16534,0
Neg_1908,1.93969,0
Neg_1981,-1.05453,0
Neg_906,0.4241,0
Neg_1425,1.57004,0
Neg_846,0.90465,0
Neg_2611,1.57004,0
Neg_1230,-1.01756,0
Neg_1906,0.71983,0
Neg_2554,1.45914,0
