,Charge_density,Charge_phys,Charge_acid,y
Neg_585,0.61167,0.0116,-0.06388,0
Neg_2047,0.29964,-1.00957,-0.38255,0
Neg_2392,1.06126,-0.40408,-0.96886,0
Neg_919,0.63224,-0.32028,-0.38455,0
Neg_2566,-1.53439,0.64566,0.54877,0
Neg_404,0.57972,0.76201,0.66119,0
Neg_953,0.26319,-0.76632,-0.81553,0
Neg_1257,-0.27229,-0.5916,-0.29686,0
Neg_1680,0.57484,-1.05297,-1.14847,0
Neg_1098,1.12293,2.46138,2.30316,0
Neg_1404,1.3254,-0.19231,-0.54704,0
Neg_79,0.15571,-0.63559,-0.09653,0
Neg_2483,-1.12631,2.19318,2.04027,0
Neg_2866,-0.991,0.41645,-0.52157,0
Neg_133,-0.19131,-0.31599,-0.6492,0
Neg_1514,-2.98587,-0.11071,-0.18207,0
Neg_1790,-0.55135,-0.2582,-0.1161,0
Neg_2219,0.73348,-1.28773,-0.99443,0
Neg_2758,0.69262,-0.3849,-0.15992,0
Neg_621,0.46469,-1.16896,-1.20458,0
Neg_904,-0.31658,1.00917,0.89999,0
Neg_736,0.86279,0.97898,1.01015,0
Neg_431,0.6258,-0.72781,-0.41276,0
Neg_2469,-0.3459,1.62657,1.45148,0
Neg_2895,0.04067,-0.8439,-0.8333,0
Neg_202,-0.26508,-1.12773,-0.9972,0
Neg_478,0.69384,0.34318,0.2565,0
Neg_1929,-0.5607,-0.39706,-0.45874,0
Neg_1179,-1.23274,0.88782,1.78118,0
Neg_116,-1.18789,-1.17136,-1.45883,0
Neg_2854,0.35731,0.96262,0.85502,0
Neg_2229,0.43117,0.69859,0.59991,0
Neg_301,-0.27447,-0.97573,-0.34279,0
Neg_2264,-0.63389,-0.36073,-0.41201,0
Neg_58,0.03266,-1.03859,-0.8154,0
Neg_37,-3.71022,-1.05239,-1.09195,0
Neg_1299,2.86416,-0.01968,0.90698,0
Neg_2238,-0.70442,-0.48142,-0.16118,0
Neg_1065,-0.63993,-0.37103,-0.64229,0
Neg_2393,0.11624,0.07908,-0.54856,0
Neg_1063,0.47038,-0.9762,-0.78406,0
Neg_2681,-0.59537,-0.05359,-0.12687,0
Neg_1206,-0.83407,0.02628,0.23181,0
Neg_926,-0.75555,-0.13277,-0.96924,0
Neg_1834,-1.16648,1.75834,1.62387,0
Neg_219,-1.10194,1.20016,1.39815,0
Neg_1051,0.56618,-1.33915,-1.51193,0
Neg_2732,1.86003,-0.25946,0.57128,0
Neg_22,0.14104,-0.15979,-1.06217,0
Neg_2672,-0.10919,-1.31906,-0.77013,0
Neg_1925,0.26529,-0.34606,-0.18822,0
Neg_1046,0.33222,-0.65585,-0.7088,0
Neg_2602,0.06457,-1.11913,-0.93378,0
Neg_2626,-0.42601,-0.85883,-1.16703,0
Neg_664,-0.41018,-0.77986,-0.83096,0
Neg_1033,-0.57344,-1.05278,-0.8814,0
Neg_1541,-0.16372,-0.35062,0.12991,0
Neg_352,-0.68226,-1.07674,-1.11547,0
Neg_2763,-0.47812,-1.08069,-1.11928,0
Neg_2198,0.2508,-1.03972,-0.72391,0
Neg_260,-0.72164,-0.11211,-0.18342,0
Neg_743,0.3773,-1.09393,-0.80164,0
Neg_1798,-0.28927,2.44621,1.89062,0
Neg_805,-0.84875,-0.91115,-0.95548,0
Neg_2446,0.20204,-1.19906,-1.23366,0
Neg_1456,1.5628,-0.4854,-0.27402,0
Neg_853,0.37309,1.29147,1.17276,0
Neg_1866,-0.07015,0.15085,-0.63157,0
Neg_1972,0.65081,0.07005,-0.20632,0
Neg_1250,-0.43636,0.0669,-0.52925,0
Neg_2893,0.3424,-0.0158,0.20952,0
Neg_415,-0.56379,-1.39814,-0.94977,0
Neg_2440,0.56842,1.52606,1.61153,0
Neg_1947,-0.90028,1.23077,1.11411,0
Neg_2296,0.92827,-0.38857,-0.47815,0
Neg_1491,-0.30166,-0.3223,0.11753,0
Neg_1592,-1.45365,-0.53785,-0.92909,0
Neg_833,1.03261,-1.14971,-0.40428,0
Neg_2254,1.32079,1.74463,1.61062,0
Neg_2786,0.16766,-0.97216,-1.01442,0
Neg_1307,-0.06673,-1.07674,-1.4011,0
Neg_1022,0.07631,2.72043,2.55347,0
Neg_2289,-0.31465,0.78655,0.68489,0
Neg_2564,-0.87863,-1.07008,-1.10904,0
Neg_1131,1.01969,-1.13782,-0.66035,0
Neg_2814,-0.95205,0.46319,0.59522,0
Neg_2346,0.30212,1.45163,1.32752,0
Neg_2538,-0.31536,-0.75184,-0.80155,0
Neg_503,1.07224,0.15168,0.57548,0
Neg_614,-0.1021,-0.51658,-0.57423,0
Neg_2227,0.44954,-0.73013,-0.78057,0
Neg_1977,-0.20047,-1.36455,-1.27789,0
Neg_1151,0.07235,-1.2369,-1.01932,0
Neg_2315,-0.07036,-0.43599,-0.4844,0
Neg_1180,0.79996,-0.41555,-0.65693,0
Neg_308,0.7719,-1.26052,-1.3769,0
Neg_1426,0.55153,-0.78852,-0.52024,0
Neg_12,0.27118,-1.25707,-1.38271,0
Neg_506,-0.04969,-0.08261,-0.15491,0
Neg_136,-1.172,-0.62527,-0.772,0
Neg_378,-1.91835,-0.01555,-0.09012,0
Neg_2058,-0.31666,-0.73789,-0.78806,0
Neg_2336,-1.24961,-1.02358,-1.06411,0
Neg_2220,-0.60956,-0.62012,-0.57531,0
Neg_262,0.17943,-1.50977,-1.53388,0
Neg_1888,-0.956,-1.09012,-0.88772,0
Neg_2552,-0.30965,-0.43665,-0.791,0
Neg_1340,0.36103,0.43848,0.81787,0
Neg_1753,0.10823,-1.00699,-1.04808,0
Neg_941,0.10634,-1.02361,-1.29308,0
Neg_689,-0.03186,-0.71498,-0.54664,0
Neg_403,-0.36791,-1.40926,-1.24644,0
Neg_2524,0.80548,-0.47813,-0.09831,0
Neg_1006,-0.79678,-0.70992,-0.65366,0
Neg_89,0.95694,-0.81994,-1.04131,0
Neg_1956,-0.15962,-1.25567,-1.28836,0
Neg_2723,0.17578,-1.1131,-1.42624,0
Neg_34,-0.17233,-0.8435,-1.27731,0
Neg_757,0.90984,-0.57207,-0.65379,0
Neg_1170,0.21224,2.27436,2.90151,0
Neg_1405,-0.07993,-1.04478,-0.75914,0
Neg_1634,-0.24959,-0.75478,0.09613,0
Neg_835,0.06,-1.06408,-0.96455,0
Neg_1809,1.93149,-1.06475,-1.10389,0
Neg_296,-0.04878,-0.29245,-0.43949,0
Neg_1989,0.06768,-0.18192,-0.39126,0
Neg_636,0.28681,-0.78715,-0.95932,0
Neg_1350,-0.9783,0.21541,0.13305,0
Neg_160,-0.22687,0.39349,1.77547,0
Neg_1524,0.41046,0.22075,0.56464,0
Neg_836,-2.58397,-1.12172,-1.26508,0
Neg_1885,-0.31042,-1.43671,-1.1758,0
Neg_1723,-0.21482,-0.42151,-0.36039,0
Neg_1139,-0.06803,-0.94751,-0.49249,0
Neg_531,-0.32855,0.66912,0.57143,0
Neg_131,-0.52302,-1.45351,-1.31222,0
Neg_226,-0.53503,-0.23803,-0.30509,0
Neg_2031,-0.11269,-0.45977,-0.05455,0
Neg_1050,-0.43863,0.54511,0.49464,0
Neg_2215,0.4549,-1.00207,-0.93897,0
Neg_1008,-0.12679,-1.35011,-1.08583,0
Neg_755,0.13587,0.01829,-0.05742,0
Neg_1309,1.49466,0.69338,1.21292,0
Neg_1348,-0.1135,0.49103,0.39935,0
Neg_2829,-0.93922,-0.35049,-0.41375,0
Neg_1281,-0.2444,-0.63342,-0.40151,0
Neg_2879,1.59092,0.86072,-0.65654,0
Neg_2182,-0.9065,-0.90037,-0.59265,0
Neg_513,0.77432,-1.20868,-1.24296,0
Neg_2222,-1.7092,0.52262,0.42987,0
Neg_2348,-0.0892,-1.381,-0.70377,0
Neg_549,1.74058,0.78793,0.68623,0
Neg_2669,-0.01059,-0.06026,-0.38483,0
Neg_1248,0.15362,-0.09141,-0.26826,0
Neg_19,-0.90966,-0.43234,-0.23724,0
Neg_1763,0.80575,-0.10246,-0.1741,0
Neg_2832,-0.60702,-0.30521,-0.37,0
Neg_1992,-0.6869,-0.90892,-0.68308,0
Neg_2675,0.20609,-0.60033,-0.43709,0
Neg_203,0.0301,-0.70809,-0.65343,0
Neg_2314,-0.51687,-0.22472,-0.03772,0
Neg_460,-0.23332,-0.09316,-0.5098,0
Neg_248,0.13686,-0.95743,-1.00019,0
Neg_418,-0.4178,-0.44562,-0.17431,0
Neg_1007,-0.21553,0.05535,-0.06835,0
Neg_2178,-0.29097,-0.36901,0.16218,0
Neg_537,0.27425,-0.8101,-0.30652,0
Neg_97,0.53575,-0.66979,-0.44051,0
Neg_1719,1.29717,-0.16644,-0.15232,0
Neg_1777,-1.03487,0.12494,0.20254,0
Neg_771,1.10367,-1.07848,-0.62815,0
Neg_2070,-0.31031,-1.0093,-0.71806,0
Neg_1418,0.38618,-0.34191,-0.27298,0
Neg_1167,-0.17871,-0.41381,-0.73284,0
Neg_2477,-0.2908,0.4664,0.26237,0
Neg_715,-0.49812,-1.15347,-0.67448,0
Neg_616,-1.42756,-0.71307,-0.81636,0
Neg_558,0.82477,-0.91569,-0.95986,0
Neg_64,0.7345,-0.53036,-0.54542,0
Neg_1316,-1.32738,-0.39226,0.33333,0
Neg_1507,1.13914,0.29609,0.211,0
Neg_1101,-0.14077,-0.217,0.01787,0
Neg_1796,-0.54008,-0.42826,-0.14872,0
Neg_1223,-0.4287,-0.75711,-0.42871,0
Neg_538,-0.30423,-0.42066,-0.49768,0
Neg_302,-1.32732,-0.39419,-0.63879,0
Neg_200,0.22803,-1.04814,-1.42157,0
Neg_1730,-0.73615,-0.17614,-0.24528,0
Neg_876,-0.20214,-0.66142,-0.64405,0
Neg_326,2.88591,0.56195,0.46788,0
Neg_1436,0.02542,-1.33644,-1.3664,0
Neg_727,-0.0128,0.53864,0.19807,0
Neg_1831,0.1169,-1.04255,-0.91207,0
Neg_900,-0.18646,0.20363,1.0684,0
Neg_1637,-0.30114,-0.17741,0.04308,0
Neg_2635,3.1469,-0.65207,-0.54549,0
Neg_2454,0.77595,0.18188,0.10064,0
Neg_1216,-0.1308,-1.33608,-0.98357,0
Neg_2191,-0.80599,-0.33623,-0.39997,0
Neg_1275,1.4066,0.50492,0.41278,0
Neg_2151,-1.02605,-0.65678,-0.75729,0
Neg_1402,-0.31943,0.38724,0.29907,0
Neg_717,0.70669,0.37837,0.2905,0
Neg_1862,0.06656,1.06454,0.9535,0
Neg_158,-0.56732,-0.29586,-0.36096,0
Neg_1740,-1.58342,-0.84317,-1.06048,0
Neg_1424,0.61915,-0.1982,-0.2666,0
Neg_943,-2.44198,0.02611,0.38436,0
Neg_1688,0.71155,-0.53718,-0.53585,0
Neg_148,-0.06423,-0.80108,-0.84912,0
Neg_2796,-0.11519,-0.86302,-0.90447,0
Neg_1887,-0.87923,-0.53264,-0.3202,0
Neg_2811,-1.41071,0.31854,0.44466,0
Neg_859,0.35954,-0.98809,-1.02982,0
Neg_2155,-0.29346,-0.87458,-0.47446,0
Neg_2045,-0.26858,-0.42839,-0.11781,0
Neg_1104,0.20747,-0.45376,-0.72855,0
Neg_2638,-0.32551,-0.74308,-1.2397,0
Neg_962,-0.32347,0.37237,0.31697,0
Neg_2828,-0.16723,-1.37378,-1.34995,0
Neg_1944,-1.1565,-0.72797,-0.25364,0
Neg_523,-1.81398,1.31419,0.80385,0
Neg_1319,0.02455,-1.26489,-1.20879,0
Neg_562,-0.81035,-0.64107,-0.40925,0
Neg_2456,-0.48708,-0.65534,-0.63022,0
Neg_1500,-0.14616,-0.11912,-0.44144,0
Neg_1913,0.06681,-0.32325,-0.38743,0
Neg_286,-0.84927,-0.31978,0.05767,0
Neg_2871,1.57844,1.52059,1.34786,0
Neg_456,1.26955,0.16309,0.13911,0
Neg_984,-0.21206,-0.46601,-0.39819,0
Neg_1837,-0.32712,0.38667,0.29852,0
Neg_2617,-0.86437,-1.23673,-1.15849,0
Neg_139,0.8058,-0.20558,-0.27373,0
Neg_1815,0.58478,-0.89635,-0.85425,0
Neg_1157,-0.08747,-0.52292,-0.36144,0
Neg_1317,0.34744,-0.66047,-0.15706,0
Neg_2405,-0.10698,-0.80217,-0.76045,0
Neg_45,-0.14898,-1.34889,-1.10783,0
Neg_1797,-0.71888,-1.06477,-0.72693,0
Neg_2769,-0.15632,-0.4117,-0.47289,0
Neg_1390,-0.33606,-1.22383,-1.2576,0
Neg_1018,0.93223,-1.16097,-1.05462,0
Neg_602,0.25207,-1.37066,-1.39946,0
Neg_182,0.37763,-0.24126,-0.15513,0
Neg_1056,0.00276,-0.25202,-0.43234,0
Neg_2567,0.35631,-0.26471,-0.47363,0
Neg_849,0.20437,0.09911,-0.41737,0
Neg_2338,-0.7153,0.56506,0.47088,0
Neg_422,-0.10815,0.77312,0.67192,0
Neg_1421,-0.38446,-0.01201,0.2306,0
Neg_2439,0.19004,-0.48594,-0.54462,0
Neg_563,-1.32905,0.08526,0.90349,0
Neg_1622,0.32806,-0.35645,-0.16247,0
Neg_1578,0.19496,0.02316,-0.05272,0
Neg_1939,-1.36996,-0.26616,-0.33227,0
Neg_163,-1.82554,0.12459,0.28984,0
Neg_287,0.17775,-0.52213,-0.19185,0
Neg_787,-0.73183,3.01809,2.84107,0
Neg_1846,0.22132,-1.04045,-1.08041,0
Neg_1280,0.43917,-1.19967,-1.10916,0
Neg_1918,1.25702,-0.01926,-0.09371,0
Neg_999,-0.31719,-0.79608,-0.84428,0
Neg_314,0.56511,-1.37523,-0.87732,0
Neg_2192,0.10477,0.13604,-0.50907,0
Neg_605,-0.50217,-0.01956,0.27452,0
Neg_413,-0.25052,0.91442,2.05983,0
Neg_1861,-0.31219,-0.68509,-1.01834,0
Neg_342,0.19521,-1.19994,-1.23451,0
Neg_398,0.57018,-0.58951,-0.9208,0
Neg_96,0.59467,0.07405,-0.00354,0
Neg_1924,1.55719,0.54945,0.4558,0
Neg_592,-0.68515,-0.78536,-1.02887,0
Neg_1985,0.02544,0.02362,-0.05227,0
Neg_1045,-0.3115,-0.52357,-0.47087,0
Neg_2542,-0.3374,-0.89967,-0.2141,0
Neg_2165,0.16923,-0.3401,-0.48155,0
Neg_1526,1.47557,0.15039,-0.2093,0
Neg_2709,0.11743,-0.66419,-0.68117,0
Neg_2230,0.93714,-1.16861,-1.20424,0
Neg_2137,-0.84985,-0.6443,-0.52084,0
Neg_2068,0.14507,-0.6491,-0.85501,0
Neg_2163,0.28055,-0.084,0.00836,0
Neg_2247,-0.79335,-0.5837,-0.68233,0
Neg_529,-1.02146,-0.9029,-0.66337,0
Neg_936,0.20388,-0.87835,-0.92378,0
Neg_2418,-0.07668,-0.11387,-0.05811,0
Neg_2487,-1.31834,-0.94368,-1.06349,0
Neg_703,-0.14234,0.01701,-0.38595,0
Neg_1742,-0.27489,-0.72356,-0.08837,0
Neg_305,0.20786,-0.18741,-0.5038,0
Neg_1078,0.19827,-0.40064,-0.26713,0
Neg_1672,0.25724,-0.20172,-0.07836,0
Neg_2568,0.78512,3.03027,2.03245,0
Neg_1911,0.14695,-0.17665,-0.20643,0
Neg_2397,-0.09163,-1.41404,-0.53366,0
Neg_992,-0.29876,-0.20215,0.23155,0
Neg_1161,0.39352,0.77382,0.67259,0
Neg_2581,0.56334,-0.0331,0.02384,0
Neg_701,-0.66269,-0.46346,-0.18304,0
Neg_464,0.05514,-0.45892,-0.78619,0
Neg_1692,1.0367,-0.92178,-0.96574,0
Neg_774,-0.53607,0.72339,-0.29485,0
Neg_2620,-0.1697,-1.04896,-1.37358,0
Neg_979,0.74184,-0.62688,-1.18143,0
Neg_2827,0.69515,0.73407,0.04163,0
Neg_2729,0.38335,-1.01437,-1.09563,0
Neg_2277,-0.01995,-0.20547,-0.44411,0
Neg_1632,-0.88371,-0.68348,-0.73549,0
Neg_2756,1.13445,2.63723,3.35681,0
Neg_1898,-0.17619,-1.09195,-1.13016,0
Neg_1391,1.04476,-0.84914,0.02236,0
Neg_1059,-0.1985,-0.5645,-0.84932,0
Neg_1746,0.46107,-0.63667,-0.58147,0
Neg_1847,1.88704,-0.01679,-0.09131,0
Neg_1490,-0.41231,-0.34554,-0.44929,0
Neg_450,-0.17144,1.05753,1.8941,0
Neg_1448,-0.31858,-0.20558,-0.27373,0
Neg_2410,-0.59079,-0.2085,0.26098,0
Neg_1301,0.08857,0.27342,0.1891,0
Neg_696,1.70125,-0.91502,-0.95922,0
Neg_2757,1.15967,-0.63229,-0.92966,0
Neg_815,0.71353,-0.29715,-0.36221,0
Neg_890,1.66381,0.99109,0.88253,0
Neg_2049,0.92616,0.12541,0.12777,0
Neg_634,-1.12723,0.26801,-0.11704,0
Neg_1241,-2.06715,-0.94749,-1.13914,0
Neg_1265,-0.50282,-0.54957,-0.6061,0
Neg_1145,-0.64426,-0.91434,-0.95855,0
Neg_364,-0.52814,1.35551,1.20776,0
Neg_2428,-0.9269,-0.19143,0.1623,0
Neg_2873,-0.77599,0.08348,0.21702,0
Neg_2762,-0.70204,-0.9346,-1.16516,0
Neg_1932,0.5285,-0.20009,0.16967,0
Neg_218,-0.69739,1.44276,1.24729,0
Neg_1471,-0.29806,-0.02527,-0.19024,0
Neg_211,0.40318,-0.1325,-0.20312,0
Neg_88,1.42048,-0.87406,-0.91964,0
Neg_1800,-0.69656,-0.19378,-0.08061,0
Neg_1995,-0.80793,0.39249,0.30414,0
Neg_2231,0.59879,0.43988,0.25878,0
Neg_1090,-0.31757,-0.2823,-0.34786,0
Neg_1457,0.93335,-0.30765,-0.37235,0
Neg_795,1.34456,-0.51658,0.13409,0
Neg_1614,-0.13165,0.4673,0.24776,0
Neg_732,2.3612,-0.44262,-0.50276,0
Neg_2025,0.28969,-0.77576,-0.85678,0
Neg_2088,-1.27585,-0.44836,-0.58641,0
Neg_2527,-0.44815,-0.98439,-0.81181,0
Neg_2021,0.1043,-0.56355,-0.70251,0
Neg_2570,0.89106,0.22306,0.31146,0
Neg_215,-0.12591,0.16356,0.1294,0
Neg_2516,0.20356,-0.51298,-0.49506,0
Neg_1712,-0.4406,-1.26675,-1.29906,0
Neg_2010,-0.41649,-0.75619,-0.69239,0
Neg_1285,0.45711,0.01745,-0.48739,0
Neg_2834,-0.29109,-0.7631,-0.35973,0
Neg_2013,-0.2814,-0.98792,-0.38475,0
Neg_945,-0.48781,-0.22153,0.01784,0
Neg_1787,-0.49304,-0.81292,-0.88165,0
Neg_935,0.65593,0.74918,0.76446,0
Neg_2099,0.42348,-0.73372,-0.18669,0
Neg_2179,0.51647,-1.50977,-1.53388,0
Neg_2726,0.53891,1.77595,1.64088,0
Neg_1484,-0.51773,-0.41884,-0.12032,0
Neg_2381,0.14376,-0.64414,-0.72385,0
Neg_1458,0.33052,-1.33021,-0.93868,0
Neg_216,-0.31205,-0.37661,-0.19135,0
Neg_2725,0.63968,-0.14727,0.89952,0
Neg_406,-1.58191,-0.42306,-0.33529,0
Neg_1363,0.06482,-0.89496,-0.93983,0
Neg_1311,1.0076,-0.12352,-0.93569,0
Neg_1149,1.71239,1.72879,1.59531,0
Neg_1218,-0.31762,1.35139,1.23066,0
Neg_1597,-0.14569,0.60159,1.04086,0
Neg_2745,-0.26717,-0.72692,-0.21286,0
Neg_1477,1.53549,-0.19361,-0.26217,0
Neg_2803,0.86132,-0.44587,-0.5059,0
Neg_104,-0.50862,-1.01335,-1.05422,0
Neg_1900,-0.35936,-1.18994,-1.29385,0
Neg_2586,-0.1901,-0.35814,-0.42114,0
Neg_2050,0.8352,-0.89993,-0.79907,0
Neg_1069,1.12246,1.40689,2.23863,0
Neg_336,1.37506,0.13178,-0.28621,0
Neg_2260,-0.17158,-1.2597,-1.38906,0
Neg_1733,0.63101,0.38911,0.33968,0
Neg_1555,0.89411,0.40546,0.31667,0
Neg_2329,0.09409,-0.97786,-1.00424,0
Neg_1878,0.28984,-0.04243,-0.11609,0
Neg_1893,-0.00242,-0.66462,-0.68751,0
Neg_1716,0.79892,-1.31689,-1.33042,0
Neg_2322,0.52395,-0.79259,-0.84092,0
Neg_101,0.3934,1.10052,1.26765,0
Neg_16,0.78689,-0.68359,-0.25922,0
Neg_31,-0.6735,-0.88471,-1.06653,0
Neg_240,-0.05681,0.44675,0.35657,0
Neg_1117,-1.04193,-0.85765,-1.16563,0
Neg_2262,-0.2801,-0.98754,-1.13204,0
Neg_2861,0.11377,-0.48983,-0.64405,0
Neg_1225,-0.30074,-1.10824,-0.8704,0
Neg_261,0.03327,-1.01843,-0.88257,0
Neg_609,-0.76865,-0.09845,-0.01571,0
Neg_1352,0.85515,0.08378,-0.33153,0
Neg_733,-1.46006,0.47243,2.02457,0
Neg_2593,-0.3574,1.58424,1.45564,0
Neg_2259,-0.85428,-0.33264,-1.37175,0
Neg_1785,0.66774,0.01997,-0.25376,0
Neg_847,0.02437,-0.13269,-0.2033,0
Neg_684,-0.32646,-0.72287,-0.77355,0
Neg_1411,-1.36766,0.63832,0.54167,0
Neg_680,0.91913,1.08418,1.1136,0
Neg_502,-0.60266,1.01412,0.88408,0
Neg_1097,-0.05644,-0.38731,-0.12037,0
Neg_1826,-0.40823,-0.78702,-1.07101,0
Neg_702,0.45178,-0.21651,-0.41141,0
Neg_1626,-0.09249,0.49806,0.15361,0
Neg_2358,-0.90371,-1.12595,-1.16302,0
Neg_1026,-0.1251,-0.31498,0.2548,0
Neg_82,-0.79745,-1.01853,-1.37604,0
Neg_509,-1.21575,-0.06743,0.3131,0
Neg_1235,-0.29316,-1.12321,-0.71027,0
Neg_2118,-0.02152,-0.07158,-0.08232,0
Neg_1303,-0.08305,-0.93206,-0.56764,0
Neg_72,-0.66373,-0.38925,0.21096,0
Neg_1147,0.33154,-0.83741,-1.19567,0
Neg_2437,-0.83449,-0.7196,-1.21079,0
Neg_1770,0.36245,-0.28957,-0.35488,0
Neg_177,0.1366,-1.02493,-1.14052,0
Neg_978,-0.44947,-0.7712,-0.09815,0
Neg_724,1.69338,0.30476,0.21937,0
Neg_1766,-1.542,-0.46147,-0.52098,0
Neg_868,-0.00247,-0.10099,-0.17268,0
Neg_1825,-0.74028,-1.03408,-0.83126,0
Neg_2020,-0.29483,0.03201,0.25559,0
Neg_1628,0.26353,1.23024,1.1136,0
Neg_892,-2.18004,-0.80293,-0.29383,0
Neg_2692,-0.29247,0.07268,1.52468,0
Neg_512,-1.64539,1.73046,1.59693,0
Neg_2128,-0.13227,-1.06689,-1.04879,0
Neg_1647,1.05212,-0.00154,-0.41286,0
Neg_2419,-0.29958,-0.30257,-1.21175,0
Neg_2659,0.58032,-0.93301,-1.31254,0
Neg_1214,-0.03123,-0.27094,-0.0445,0
Neg_411,0.05685,0.38532,0.29722,0
Neg_2321,-0.29813,0.46797,0.58606,0
Neg_1384,-0.7522,0.20886,0.12671,0
Neg_1489,-0.3918,-1.36957,-0.96642,0
Neg_2666,-0.26375,-0.29546,-0.2021,0
Neg_1905,0.19049,-0.52029,-0.87235,0
Neg_55,-0.43746,-0.31892,-0.10949,0
Neg_1178,-0.14796,-0.40859,-0.74458,0
Neg_2369,-0.20577,-0.98332,-1.0252,0
Neg_1,-0.20131,-1.32062,-1.18946,0
Neg_1999,1.68576,0.65783,1.47961,0
Neg_1883,-0.46282,-0.33788,-0.71938,0
Neg_1643,-0.31542,-0.63834,-0.69188,0
Neg_2885,-0.31651,3.03728,2.85961,0
Neg_1786,-0.16157,-0.83503,-1.31053,0
Neg_1933,-0.45241,0.50446,0.41233,0
Neg_814,-1.33345,-0.95776,-1.00051,0
Neg_1593,-0.29483,-0.18105,-0.70545,0
Neg_1298,0.57527,-0.54338,-0.45295,0
Neg_285,0.36112,-0.76794,-1.016,0
Neg_2792,-0.95248,-0.416,0.16684,0
Neg_2154,0.06084,-1.11162,-1.27805,0
Neg_1689,-1.72479,0.65422,0.49016,0
Neg_603,-0.56275,-0.6584,-0.71125,0
Neg_1021,-0.23125,1.38892,1.26693,0
Neg_1820,-0.44944,-0.37694,-0.4393,0
Neg_222,0.24023,-1.27813,-1.1023,0
Neg_256,-0.30392,1.18009,0.30458,0
Neg_704,-0.51887,-0.73587,-0.5607,0
