,SEP_A,SEP_C,SEP_D,SEP_E,SEP_F,SEP_G,SEP_H,SEP_I,SEP_K,SEP_L,SEP_M,SEP_N,SEP_P,SEP_Q,SEP_R,SEP_S,SEP_T,SEP_V,SEP_W,SEP_Y,y
Neg_2490,-1.15813,-1.45738,1.41148,-0.88677,1.33216,-0.13438,0.93717,1.19701,-1.18753,-0.38391,0.88092,1.20568,-0.3416,-0.80085,-0.92784,0.00231,1.3319,-0.58096,-1.11355,1.02527,0
Neg_62,-0.68568,0.077,0.08407,-0.82457,0.72451,0.82874,-0.27655,-0.1964,-0.01678,-0.31516,0.16437,0.16322,0.62715,-0.89418,-0.44878,-0.65163,0.7144,-1.24273,-0.15053,-1.03979,0
Neg_1129,1.75043,-1.11459,1.41148,-0.32698,0.25708,-0.07688,-2.60284,0.10445,-1.02951,0.49464,0.88092,0.55809,0.25122,-0.47416,-0.9514,-0.3855,-0.95603,-0.25777,-0.19333,-0.50687,0
Neg_190,1.75043,0.71361,1.41148,-1.41201,1.33216,1.77748,0.93717,-1.05936,-0.79967,2.20591,-2.93151,1.20568,-1.41879,1.26815,-1.52471,-0.14217,1.3319,-1.72752,0.68408,1.02527,0
Neg_1522,-1.15075,0.01987,0.3405,-0.5896,1.33216,-1.29874,-1.17764,1.19701,0.22742,-1.53749,0.88092,1.20568,-0.08134,-0.20192,-0.81004,1.37862,1.3319,-0.30394,0.68408,1.02527,0
Neg_165,-0.35348,-0.55144,-0.45896,-0.73473,0.12465,1.10905,0.08205,-0.76643,-1.02951,0.02862,0.02657,-0.41329,0.9091,-0.66084,-1.67392,2.02496,0.10481,-0.11156,-0.31103,-0.68173,0
Neg_1152,0.34044,0.71361,-0.02906,0.65438,-0.15581,-0.91781,-0.12943,-0.78226,-0.12452,-0.88813,-0.87371,1.20568,0.74282,1.26815,0.82348,0.5726,-0.18019,-2.28156,-1.99096,1.02527,0
Neg_217,-0.45683,-0.23314,-1.4168,-0.61033,-0.99717,-0.01938,0.93717,-0.31515,0.41417,0.29601,-1.41572,-0.76867,0.74282,0.36588,-0.61371,0.12397,0.41356,-0.45784,-0.55714,1.02527,0
Neg_1140,0.86457,-1.38392,0.50643,-0.32007,1.33216,0.36155,-0.87421,-0.36266,-0.59856,-0.45267,-0.22147,-0.35011,-0.63078,-0.26415,0.18735,-0.62122,-0.70269,-0.51171,-0.59994,0.02605,0
Neg_2378,-0.53803,0.71361,-0.09694,-0.3408,0.38173,0.33999,-1.45349,-1.25729,-0.62011,-0.48323,-0.23984,-0.84765,-0.29822,1.26815,0.16379,0.50417,0.36606,-1.24273,-0.62134,1.02527,0
Neg_1569,0.45856,-0.35556,-0.87377,-0.01599,0.31162,0.24656,-0.67193,0.57948,-0.51956,0.09738,0.88092,-0.17637,0.04156,0.24921,0.36012,-1.28276,-0.61561,-1.65826,0.68408,-0.06555,0
Neg_662,0.34044,0.71361,-0.8436,-0.61033,-0.15581,-1.6078,-2.5109,-0.31515,-1.4461,-0.07833,0.88092,-0.30273,1.58144,1.26815,0.23447,2.02496,-0.18019,1.46592,-1.35965,1.02527,0
Neg_688,0.05992,-0.14336,-0.31566,-0.95588,-1.11402,1.77748,-0.02829,1.19701,-1.66157,0.45644,0.88092,-0.96611,-0.68862,-0.08525,-0.06396,1.22654,-0.04561,0.12698,-1.76626,-0.88158,0
Neg_541,1.75043,-1.40841,-0.54946,1.45606,-0.69334,-1.01124,0.93717,-1.87483,-0.62011,0.21961,-1.50759,1.20568,1.58144,-1.74979,1.73448,2.02496,-0.72644,-0.53479,0.68408,-1.13971,0
Neg_624,-0.30181,-1.55532,1.41148,-0.4652,-1.84632,-0.22063,-0.68112,-0.1964,1.24734,0.0821,0.88092,-0.18426,-0.42835,-0.89418,0.35227,0.68666,-0.06144,-0.6733,0.68408,-0.44025,0
Neg_2108,0.52499,-1.43289,0.65727,1.45606,-0.71671,0.20343,-1.0765,-1.19395,1.24734,-0.78117,-0.64405,-0.10529,-0.31991,-0.77751,0.4308,-0.52237,-0.40186,-0.55788,0.68408,-0.35699,0
Neg_2808,-0.19107,-1.14724,-0.57209,0.1637,-0.12464,-0.11282,-0.3593,0.0807,0.64401,-1.04856,0.88092,1.20568,-0.06688,0.61479,-0.99067,-0.42352,0.21564,-0.79642,-1.31685,0.32581,0
Neg_2794,0.31829,-1.35128,-0.49667,-0.92133,-0.17918,-0.94656,-0.14782,0.26279,0.3998,0.27309,-0.20309,1.20568,-0.60909,1.26815,-0.25245,-1.08506,-1.06686,1.46592,-0.57854,1.02527,0
Neg_2286,0.79075,-0.69835,-0.65505,-0.23023,1.33216,0.26093,0.93717,-0.4735,-1.64721,-0.74298,0.88092,0.59758,-1.33204,-0.62973,0.71353,-0.05853,-0.59977,0.13468,-0.13983,0.3841,0
Neg_373,-0.49374,-1.13908,-0.05923,0.3503,-1.20751,0.92217,0.93717,-1.38396,0.74456,-0.5749,-0.21228,-0.58703,1.58144,-0.71529,0.47792,0.08595,-1.07478,-0.69639,-1.02795,0.44239,0
Neg_2612,1.75043,0.71361,-0.50421,-0.29934,0.27266,-0.80281,0.93717,-0.81393,-0.9936,0.02862,0.88092,-0.22375,-0.25485,-0.44305,0.313,0.09355,-0.92436,-1.2966,0.68408,-0.80663,0
Neg_937,0.45117,0.71361,-1.24333,-0.4652,-0.33498,-0.41469,0.21997,-1.58981,-0.01678,0.0821,0.16437,0.16322,0.62715,-0.10081,0.05384,0.13918,-0.86894,-0.18082,-1.96956,0.37577,0
Neg_1345,1.03436,-0.07807,-0.53438,-0.0229,-0.33498,0.23937,0.04527,-0.49725,-0.28972,-0.7277,-0.6073,0.43963,0.03433,-0.73862,-0.84931,0.79312,-1.01144,-0.5194,0.68408,-1.12305,0
Neg_2671,-0.16154,0.12597,-0.3232,0.08768,-0.68555,-0.08407,0.93717,-1.71648,-0.79967,-0.14709,-0.93802,0.63707,-0.08134,0.70812,0.78421,0.05553,0.04939,-1.22734,-0.61064,-0.32368,0
Neg_2855,-0.56756,0.71361,-0.11957,-0.714,1.33216,0.31843,-0.92938,1.19701,1.24734,-1.69793,-0.98395,-0.3975,0.11386,-1.1742,-0.73151,0.48135,1.3319,-0.09617,0.68408,1.02527,0
Neg_279,-0.75212,0.71361,-0.5193,-1.04573,0.70114,-0.0625,0.19239,1.19701,0.26333,-0.55963,-0.79104,-0.81606,-1.18022,-0.14748,0.65855,0.33688,0.24731,-0.74256,-0.18263,0.35079,0
Neg_706,0.24447,0.10965,-0.59472,-0.73473,0.02337,0.87905,-0.21219,-1.1227,-1.46046,-0.53671,0.20112,0.2185,-0.13195,-0.03858,0.4151,-0.3855,0.00189,-0.58096,0.68408,-0.01559,0
Neg_2921,-0.4273,-0.82077,-0.00643,0.66129,-0.96601,0.42624,-0.12024,-1.13853,-0.10297,-0.85757,-1.38816,0.29748,0.2223,1.26815,0.83133,-0.79611,-0.15644,-0.43475,0.68408,-0.54018,0
Neg_994,-0.73735,0.71361,-0.73802,-0.87295,1.33216,0.79999,0.93717,-0.54475,-1.7334,0.5252,0.88092,-1.45575,1.58144,-0.44305,-0.50376,0.35209,-0.40977,-0.22699,0.68408,-0.80663,0
Neg_2453,0.29615,0.71361,1.41148,1.45606,-0.20255,-0.42187,0.93717,-1.83524,-0.16762,-0.72006,-2.63754,-0.35011,1.58144,-0.26415,1.73448,-0.30185,1.3319,-1.48128,-1.42385,-0.61512,0
Neg_2074,1.75043,-1.50635,-0.63997,1.45606,-0.00779,0.54124,-0.64434,-0.16473,-0.7063,0.12794,0.88092,1.20568,0.33797,-0.84751,-0.40166,-0.59841,-1.84269,-0.62713,-1.15635,-0.40695,0
Neg_1803,0.34044,0.71361,1.41148,-1.13557,1.33216,0.40468,-1.81209,1.19701,-0.12452,-1.61389,0.88092,1.20568,0.20061,-1.05753,0.23447,-1.25235,1.3319,-0.00383,0.68408,-0.56516,0
Neg_653,0.66526,-1.21253,1.41148,0.44014,-0.50637,-1.10468,0.93717,-0.67142,1.24734,-0.52907,-0.46951,-0.65811,0.51871,-1.09642,0.58002,-1.50328,0.16814,-0.35011,0.68408,1.02527,0
Neg_1943,-0.21322,0.71361,0.14441,0.29501,1.33216,1.77748,-0.60756,-0.90894,0.04068,-1.3847,-0.66242,-1.47154,-0.86935,1.26815,0.4151,0.00231,-1.78728,0.17315,0.68408,1.02527,0
Neg_1283,-0.4273,-0.22498,-0.00643,-0.25096,0.43626,0.42624,-0.12024,0.28655,-0.8715,-0.62838,-0.84615,-0.74498,0.75005,-0.19415,0.25803,-0.21821,0.42148,-1.11961,0.68408,-1.43115,0
Neg_1383,0.41426,0.71361,1.41148,0.20517,-0.0779,0.47655,0.93717,-1.64523,-0.0527,-0.96452,0.88092,1.20568,0.2729,-0.94863,-1.08491,-0.14217,-0.92436,-1.72752,0.68408,1.02527,0
Neg_325,-0.27228,-0.01278,1.41148,1.45606,0.17918,-0.97531,0.93717,1.19701,1.24734,1.52599,0.06332,0.50281,-2.22126,1.26815,1.73448,-0.88736,-0.83728,-0.3655,0.68408,-0.2071,0
Neg_2702,-0.92929,0.10149,0.84582,-1.4051,1.33216,-0.35719,0.93717,0.60323,-0.47646,-1.17079,0.19193,1.20568,0.6633,-1.70312,-0.78648,-0.02811,0.32648,1.46592,-0.11843,0.40076,0
Neg_2180,-0.84808,-0.15968,1.41148,-0.74164,0.49859,0.10999,-0.04668,0.34988,-0.7494,-0.48323,0.88092,-0.18426,-1.36819,-0.10081,0.35227,1.21133,-1.18561,-1.24273,0.68408,1.02527,0
Neg_585,-0.11725,-0.24946,-0.05169,-0.63798,-0.17918,0.92936,0.93717,1.19701,-1.87705,-0.10889,-0.20309,-1.51103,0.17892,-0.24082,0.21091,0.54979,0.39773,-0.86568,-0.57854,-0.59014,0
Neg_2047,-1.0474,-0.86974,1.41148,1.45606,0.41289,0.92936,-0.84663,-1.20187,1.24734,-0.6895,-0.20309,-1.78744,-0.60909,-1.08864,0.21091,0.54979,-0.67102,0.5579,0.68408,-0.59014,0
Neg_2392,0.20756,-0.99217,1.41148,0.01166,-0.29603,0.27531,-2.03276,1.19701,-1.07261,0.60923,0.88092,-1.96118,1.58144,-0.35749,0.0931,-0.43112,-2.27811,1.46592,0.68408,1.02527,0
Neg_919,-0.45683,0.71361,1.41148,-0.61033,1.33216,-1.81623,0.93717,1.19701,-0.90023,-0.07833,0.88092,1.20568,-0.58017,1.26815,1.73448,-1.25235,1.3319,-1.85064,0.68408,1.02527,0
Neg_2566,0.26662,-0.63306,-1.52993,-1.12175,-0.23371,0.89342,0.93717,-0.39433,-0.9936,-0.77353,0.2103,-1.07667,0.12831,-0.29526,0.7685,1.46987,0.35814,-0.08078,-0.09703,-0.34866,0
Neg_404,0.53976,0.71361,-1.09249,0.32265,-1.25425,-0.09125,0.93717,1.19701,-2.08534,-1.53749,0.88092,1.20568,-0.29822,1.26815,1.73448,0.04793,0.03356,1.46592,-1.07075,-0.34033,0
Neg_953,-0.13202,-1.00849,0.20474,-0.00216,0.58428,0.62749,0.93717,-0.06972,-0.5842,-0.70478,-0.58893,0.44753,0.42472,-0.37304,-0.26815,-0.67445,-1.47853,-0.78873,0.68408,-0.30702,0
Neg_1257,-0.13202,0.71361,-0.51175,-0.56887,-0.31161,-0.05532,-1.00294,-0.06972,-1.48919,-0.03249,-1.05745,-0.05791,-0.26208,0.02364,1.73448,1.29498,-0.33852,-0.78873,-1.02795,-0.30702,0
Neg_1680,0.17803,-0.35556,0.42346,-0.01599,-0.32719,-0.20625,-0.26736,-1.3998,-1.10852,-0.29988,0.88092,0.17112,0.63438,-1.60978,0.06169,-0.07373,1.3319,-0.65791,-0.71764,-0.06555,0
Neg_1098,-1.85206,0.71361,-1.71849,-0.51358,-0.8881,1.77748,0.93717,1.19701,-2.25772,2.20591,0.88092,1.20568,1.58144,1.26815,-0.50376,-1.13068,1.3319,1.46592,0.68408,1.02527,0
Neg_1404,1.75043,0.71361,1.41148,0.01166,-0.29603,1.77748,-0.98455,-0.45766,-1.07261,-0.85757,-1.03907,1.20568,0.07048,1.26815,-0.80219,-0.43112,-2.27811,1.46592,-1.55226,-0.71504,0
Neg_79,-0.7595,0.71361,-0.47404,0.65438,-0.15581,0.40468,-2.18908,-1.1702,-0.12452,-0.65894,0.88092,0.28958,1.58144,0.36588,-0.22889,-0.24863,-0.64727,-0.45784,-1.35965,0.05936,0
Neg_2483,-0.53065,0.71361,-0.91903,-0.67944,0.1636,-0.44344,-0.44206,0.00945,1.24734,1.05997,0.88092,1.20568,-0.65247,-0.59861,-0.15035,0.88436,-1.11436,-1.66596,-0.92094,-0.22376,0
Neg_2866,1.75043,0.71361,-1.71849,1.45606,-0.8881,-0.27094,-1.68336,1.19701,1.24734,0.02862,0.88092,1.20568,-1.41879,1.26815,1.73448,2.02496,-2.80853,-0.72717,0.68408,1.02527,0
Neg_133,0.52499,0.11781,-0.78327,0.30883,-0.24929,0.31843,-0.58918,-0.66351,-0.21071,-0.78881,0.2103,0.2264,-0.32714,-0.9953,-0.33884,1.46987,-0.97186,-0.77334,-0.64274,-0.35699,0
Neg_1514,0.59882,0.71361,1.41148,-1.77138,1.33216,-0.01938,0.93717,1.19701,-1.75495,2.20591,0.88092,1.20568,1.58144,0.05476,-0.22889,2.02496,0.09689,-0.45784,0.68408,1.02527,0
Neg_1790,-0.53065,0.71361,-1.3263,-0.20258,-0.53753,0.69936,-0.44206,1.19701,1.24734,-1.54513,-0.49706,-0.6897,-0.15363,0.10143,-1.11633,0.88436,1.3319,0.31166,0.68408,-0.22376,0
Neg_2219,-0.02128,-0.02094,1.41148,0.83407,-0.21813,-0.65187,-1.6098,-0.70309,0.16996,-0.15473,-0.49706,0.02107,-1.20914,0.56812,-0.44093,-0.32466,-0.56811,-0.38089,-0.27893,0.27585,0
Neg_2758,0.17803,0.71361,0.42346,0.24663,0.31162,-0.20625,-1.60061,-0.18848,-0.28253,-0.29988,0.88092,1.20568,-0.19701,-0.3886,-0.84146,-1.28276,-1.26478,-0.42706,0.68408,1.02527,0
Neg_621,-0.49374,0.71361,0.30279,-0.64489,1.33216,0.08124,0.93717,-0.67142,-1.324,-1.33887,0.88092,-0.65811,1.58144,-1.51644,-0.11894,2.02496,-0.53644,-0.35011,-0.88884,1.02527,0
Neg_904,-0.45683,0.71361,-0.8436,-1.52259,1.33216,-0.37156,0.93717,1.19701,-0.90023,-1.61389,-1.86587,1.20568,-0.58017,1.26815,-0.61371,2.02496,1.3319,1.46592,0.68408,1.02527,0
Neg_736,1.75043,-1.3676,1.41148,-1.17704,1.33216,-0.05532,-2.06035,-1.38396,-1.48919,0.98357,-0.58893,1.20568,-0.26208,0.02364,-0.82575,0.08595,0.06523,0.23471,0.68408,-0.30702,0
Neg_431,1.75043,0.71361,0.27262,-0.70018,1.33216,1.12342,-0.45125,1.19701,-1.69749,-0.59018,-0.96558,0.48702,-0.67416,-0.29526,-0.17391,-0.09655,-0.59186,-1.15039,0.68408,-1.29792,0
Neg_2469,1.75043,-1.94707,-0.51175,-0.79693,-0.65439,-0.56562,-0.53401,-1.38396,0.09814,0.25781,0.88092,-0.80816,0.42472,1.26815,-0.82575,0.80832,0.06523,0.23471,0.68408,-1.09807,0
Neg_2895,-0.47159,0.71361,-0.42879,-0.23023,-0.01558,-0.55844,0.22917,0.16779,0.69428,-0.60546,-1.05745,0.59758,-0.59463,0.66923,-1.29696,-0.44633,0.30273,-0.64252,-0.13983,1.02527,0
Neg_202,-0.634,-0.06175,-0.16482,0.01166,0.59207,0.27531,-1.38913,-0.45766,-0.56983,-0.26168,-0.57056,-0.04211,-0.24762,-0.98752,0.9884,-0.84934,-1.45478,1.46592,0.68408,1.02527,0
Neg_478,-0.92929,-0.51063,0.28016,-0.20258,-1.07507,0.0525,0.93717,1.19701,-0.97205,0.37241,-0.49706,-0.6897,0.49702,-1.13531,-0.69224,2.02496,-0.56811,0.31166,-0.92094,-0.97317,0
Neg_1929,-0.08034,-0.36372,-1.07741,-0.0229,-0.03895,0.51249,0.93717,-1.21771,-0.7494,-0.48323,0.16437,-0.48437,0.03433,-0.39638,0.35227,-0.08894,-0.36227,-0.44245,-0.15053,-0.07387,0
Neg_1179,1.75043,0.71361,-0.33829,-0.97662,1.33216,0.10999,-1.19603,1.19701,1.24734,-0.48323,0.88092,-1.57421,-0.0958,-2.08425,1.73448,-0.65163,-0.50477,1.46592,-3.08238,1.02527,0
Neg_116,0.03039,0.11781,-0.56455,-0.99044,0.04674,1.25279,-0.91099,-1.27312,1.24734,-0.88813,-1.25955,0.62917,-0.97779,-0.97974,-0.32313,0.77031,0.35814,0.19624,0.68408,0.41741,0
Neg_2854,0.76861,0.71361,-0.21761,-0.47902,-0.35057,-0.235,0.93717,-0.51308,-0.30408,-0.65894,0.88092,-1.0056,0.61992,-0.90974,-1.21057,-0.49956,-0.37811,0.44248,-0.73904,1.02527,0
Neg_2229,0.0673,0.71361,-0.80589,0.48161,-0.44405,-0.33563,0.93717,-1.13062,0.2346,-0.77353,0.88092,0.09215,-0.06688,1.26815,-1.32837,-0.61362,1.3319,-0.79642,0.68408,-0.87325,0
Neg_301,-0.25751,-0.69019,1.41148,-0.42374,-0.00779,0.54124,-1.56383,-0.16473,0.01195,-0.85757,0.88092,-0.94242,-0.38498,-1.41532,1.73448,0.71708,1.3319,-1.18887,0.68408,-1.23963,0
Neg_2264,-0.9662,-0.11071,-1.14529,-0.6518,1.33216,0.56999,0.00849,0.39738,0.04068,1.43431,-0.66242,-0.12109,0.36689,0.48256,-0.92784,-1.29797,0.00189,-0.23468,0.68408,-1.18967,0
Neg_58,-0.02128,0.71361,-0.39862,0.41941,-1.07507,0.69936,-1.90404,1.19701,-0.47646,-0.56727,-0.49706,-0.6897,0.49702,1.26815,0.55646,-0.73528,0.14439,-1.66596,-0.92094,1.02527,0
Neg_37,-0.89238,0.71361,-0.88132,-2.19987,0.18697,0.08124,0.93717,1.19701,0.19151,0.40296,0.88092,1.20568,1.58144,0.12476,-0.11894,0.90718,-0.53644,-0.35011,0.68408,1.02527,0
Neg_1299,1.75043,0.71361,1.41148,1.45606,1.33216,1.77748,-1.95001,-1.28896,-1.96324,-1.69793,0.88092,1.20568,1.58144,-1.1742,-0.73151,2.02496,1.3319,-1.97376,0.68408,1.02527,0
Neg_2238,0.29615,-0.89423,-0.8964,-1.19086,-0.66997,0.36155,-0.16621,0.24696,-0.95051,-0.45267,0.88092,-0.35011,0.7139,-1.11197,-0.28386,1.11248,0.38189,-0.51171,-0.59994,1.02527,0
Neg_1065,0.45117,0.71361,-0.45896,-0.4652,-0.59986,0.51249,0.21997,-0.76643,-0.01678,-0.78117,-0.73592,-0.18426,-0.42835,-0.10081,0.05384,0.39771,-1.62103,0.11159,-0.72834,0.37577,0
Neg_2393,-0.02128,-0.67386,-0.39862,0.01857,-0.28824,0.55561,-0.62595,0.60323,-0.24662,-0.71242,-0.6808,-0.13688,-0.56571,-0.59861,-0.78648,0.73229,1.3319,-1.32738,-0.67484,0.40076,0
Neg_1063,0.31091,-0.00461,-0.36845,0.44014,-0.50637,0.37593,0.12802,-0.95644,-1.324,1.08289,0.0725,-0.94242,0.17169,-0.24859,0.20305,0.23042,-1.07478,-1.2889,0.68408,-0.93986,0
Neg_2681,0.0673,-0.43718,0.34804,-1.48803,1.33216,0.13874,0.93717,0.0807,-1.55384,0.46408,0.88092,-1.11616,-1.23805,-0.50527,1.73448,-0.61362,0.21564,-0.28855,0.68408,1.02527,0
Neg_1206,1.08604,-1.24518,-0.67768,-0.67944,0.63102,0.34718,-0.8926,-0.37849,0.60091,-0.90341,-0.94721,1.20568,0.14277,0.56812,-0.44093,-0.54518,0.14439,-0.38089,-0.92094,-0.97317,0
