,Boman_Index,y
peptide_nm_66,0.86483,0
peptide_nm_67,2.09946,0
peptide_nm_68,0.64945,0
peptide_nm_69,-0.66579,0
peptide_nm_70,0.78268,0
peptide_nm_71,-0.88234,0
peptide_nm_72,-0.05611,0
peptide_nm_73,1.73965,0
peptide_nm_74,0.02882,0
peptide_nm_75,0.28328,0
peptide_nm_76,0.08671,0
peptide_nm_77,0.41401,0
peptide_nm_78,-0.59667,0
peptide_nm_79,0.78943,0
peptide_nm_80,-1.09381,0
peptide_nm_81,0.48567,0
peptide_nm_82,0.79096,0
peptide_nm_83,0.16586,0
peptide_nm_84,0.50023,0
peptide_nm_85,0.55601,0
peptide_nm_86,0.35756,0
peptide_nm_87,1.15707,0
peptide_nm_88,-0.20187,0
peptide_nm_89,-0.64144,0
peptide_nm_90,0.92469,0
peptide_nm_91,0.16452,0
peptide_nm_92,0.88873,0
peptide_nm_93,-2.03187,0
peptide_nm_94,1.65473,0
peptide_nm_95,-0.24984,0
peptide_nm_96,1.34892,0
peptide_nm_97,0.93952,0
peptide_nm_98,-0.95577,0
peptide_nm_99,-0.08244,0
peptide_nm_100,-0.75274,0
peptide_nm_101,0.85308,0
peptide_nm_102,0.25382,0
peptide_nm_103,-0.47755,0
peptide_nm_104,-1.18446,0
peptide_nm_105,1.83647,0
peptide_nm_106,1.11294,0
peptide_nm_107,1.00165,0
peptide_nm_108,0.68175,0
peptide_nm_109,0.09669,0
peptide_nm_110,-0.5331,0
peptide_nm_111,0.74759,0
peptide_nm_112,0.5732,0
peptide_nm_113,0.35898,0
peptide_nm_114,0.34111,0
peptide_nm_115,-0.61828,0
peptide_nm_116,0.12153,0
peptide_nm_117,1.27346,0
peptide_nm_118,0.78407,0
peptide_nm_119,1.62111,0
peptide_nm_120,1.63137,0
peptide_nm_121,-0.15249,0
peptide_nm_122,1.10978,0
peptide_nm_123,0.68208,0
peptide_nm_124,-0.44357,0
peptide_nm_125,-0.08623,0
peptide_nm_126,0.29451,0
peptide_nm_127,1.29636,0
peptide_nm_128,1.1916,0
peptide_nm_129,0.94512,0
peptide_nm_130,1.42473,0
peptide_nm_131,0.11028,0
peptide_nm_132,0.00158,0
peptide_nm_133,0.74614,0
peptide_nm_134,-2.51996,0
peptide_nm_135,0.83836,0
peptide_nm_136,1.08849,0
peptide_nm_137,0.45595,0
peptide_nm_138,1.66356,0
peptide_nm_139,0.18321,0
peptide_nm_140,-0.13099,0
peptide_nm_141,-0.58322,0
peptide_nm_142,0.51946,0
peptide_nm_143,1.27787,0
peptide_nm_144,-1.46352,0
peptide_nm_145,0.4569,0
peptide_nm_146,0.50642,0
peptide_nm_147,0.10179,0
peptide_nm_148,0.19633,0
peptide_nm_149,0.87428,0
peptide_nm_150,0.85461,0
peptide_nm_151,-0.13445,0
peptide_nm_152,0.7464,0
peptide_nm_153,0.34686,0
peptide_nm_154,0.55421,0
peptide_nm_155,1.46466,0
peptide_nm_156,0.55315,0
peptide_nm_157,1.12662,0
peptide_nm_158,1.22457,0
peptide_nm_159,0.0492,0
peptide_nm_160,0.14564,0
peptide_nm_161,2.72785,0
peptide_nm_162,-1.20128,0
peptide_nm_163,0.6629,0
peptide_nm_164,-0.30792,0
peptide_nm_165,-0.20297,0
peptide_nm_166,0.39677,0
peptide_nm_167,0.01905,0
peptide_nm_168,-0.30835,0
peptide_nm_169,1.30628,0
peptide_nm_170,0.68103,0
peptide_nm_171,-0.6774,0
peptide_nm_172,0.37239,0
peptide_nm_173,-0.41609,0
peptide_nm_174,-0.30586,0
peptide_nm_175,-0.2755,0
peptide_nm_176,0.44363,0
peptide_nm_177,-0.65938,0
peptide_nm_178,-0.79921,0
peptide_nm_179,2.73022,0
peptide_nm_180,0.55139,0
peptide_nm_181,-2.75889,0
peptide_nm_182,-0.18753,0
peptide_nm_183,-0.37399,0
peptide_nm_184,-0.13279,0
peptide_nm_185,0.61444,0
peptide_nm_186,0.49313,0
peptide_nm_187,-0.62897,0
peptide_nm_188,-0.33013,0
peptide_nm_189,0.18892,0
peptide_nm_190,0.41234,0
peptide_nm_191,0.94941,0
peptide_nm_192,2.20357,0
peptide_nm_193,0.62069,0
peptide_nm_194,1.50819,0
peptide_nm_195,1.13391,0
peptide_nm_196,0.06244,0
peptide_nm_197,0.98226,0
peptide_nm_198,-0.36104,0
peptide_nm_199,0.10628,0
peptide_nm_200,0.39697,0
peptide_nm_201,1.06263,0
peptide_nm_202,-1.79804,0
peptide_nm_203,-0.22497,0
peptide_nm_204,1.36166,0
peptide_nm_205,2.21102,0
peptide_nm_206,0.04653,0
peptide_nm_207,0.57135,0
peptide_nm_208,0.13329,0
peptide_nm_209,0.66346,0
peptide_nm_210,-0.88741,0
peptide_nm_211,-0.10129,0
peptide_nm_212,1.12698,0
peptide_nm_213,0.0192,0
peptide_nm_214,1.65292,0
peptide_nm_215,-0.12751,0
peptide_nm_216,0.52244,0
peptide_nm_217,0.60091,0
peptide_nm_218,2.27872,0
peptide_nm_219,1.67048,0
peptide_nm_220,0.8406,0
peptide_nm_221,0.55752,0
peptide_nm_222,1.06871,0
peptide_nm_223,-0.24324,0
peptide_nm_224,0.79155,0
peptide_nm_225,0.84705,0
peptide_nm_226,-0.73033,0
peptide_nm_227,-0.58898,0
peptide_nm_228,0.46345,0
peptide_nm_229,-0.91552,0
peptide_nm_230,-0.00985,0
peptide_nm_231,0.55579,0
peptide_nm_232,0.22743,0
peptide_nm_233,0.22126,0
peptide_nm_234,-0.17545,0
peptide_nm_235,0.4925,0
peptide_nm_236,0.18779,0
peptide_nm_237,-1.24128,0
peptide_nm_238,0.08091,0
peptide_nm_239,0.55022,0
peptide_nm_240,0.57109,0
peptide_nm_241,1.03676,0
peptide_nm_242,-0.19211,0
peptide_nm_243,0.28851,0
peptide_nm_244,1.46905,0
peptide_nm_245,1.08591,0
peptide_nm_246,-0.66794,0
peptide_nm_247,-0.01289,0
peptide_nm_248,0.00805,0
peptide_nm_249,-0.7226,0
peptide_nm_250,0.05426,0
peptide_nm_251,-0.53112,0
peptide_nm_252,1.61003,0
peptide_nm_253,-0.24181,0
peptide_nm_254,0.04178,0
peptide_nm_255,1.15398,0
peptide_nm_256,0.0634,0
peptide_nm_257,0.0324,0
peptide_nm_258,0.18523,0
peptide_nm_259,-0.2145,0
peptide_nm_260,1.09733,0
peptide_nm_261,-0.55732,0
peptide_nm_262,-0.9422,0
peptide_nm_263,-0.2837,0
peptide_nm_264,0.58586,0
peptide_nm_265,0.18888,0
peptide_nm_266,0.32761,0
peptide_nm_267,-1.24261,0
peptide_nm_268,2.52325,0
peptide_nm_269,-0.10251,0
peptide_nm_270,1.3802,0
peptide_nm_271,2.12525,0
peptide_nm_272,-0.42251,0
peptide_nm_273,-2.00413,0
peptide_nm_274,-0.07763,0
peptide_nm_275,-0.2082,0
peptide_nm_276,-2.55392,0
peptide_nm_277,0.26353,0
peptide_nm_278,0.02475,0
peptide_nm_279,-1.00842,0
peptide_nm_280,0.83632,0
peptide_nm_281,1.33769,0
peptide_nm_282,-0.44569,0
peptide_nm_283,1.41955,0
peptide_nm_284,0.00485,0
peptide_nm_285,0.02709,0
peptide_nm_286,-0.31114,0
peptide_nm_287,0.90083,0
peptide_nm_288,0.39968,0
peptide_nm_289,-0.41727,0
peptide_nm_290,0.93095,0
peptide_nm_291,-1.01918,0
peptide_nm_292,3.32638,0
peptide_nm_293,-0.02484,0
peptide_nm_294,0.40088,0
peptide_nm_295,-0.57777,0
peptide_nm_296,0.08097,0
peptide_nm_297,1.65781,0
peptide_nm_298,1.26876,0
peptide_nm_299,-0.52085,0
peptide_nm_300,-0.07408,0
peptide_nm_301,-0.5541,0
peptide_nm_302,0.02339,0
peptide_nm_303,-0.55548,0
peptide_nm_304,-0.01169,0
peptide_nm_305,-1.33822,0
peptide_nm_306,-0.99985,0
peptide_nm_307,-1.31635,0
peptide_nm_308,-0.16915,0
peptide_nm_309,0.07323,0
peptide_nm_310,-1.13381,0
peptide_nm_311,2.04797,0
peptide_nm_312,0.20113,0
peptide_nm_313,-0.82628,0
peptide_nm_314,0.97827,0
peptide_nm_315,-0.1893,0
peptide_nm_316,0.15359,0
peptide_nm_317,0.08988,0
peptide_nm_318,-0.60226,0
peptide_nm_319,0.59256,0
peptide_nm_320,0.19557,0
peptide_nm_321,0.75697,0
peptide_nm_322,2.26654,0
peptide_nm_323,-0.08808,0
peptide_nm_324,0.89327,0
peptide_nm_325,0.42546,0
peptide_nm_326,2.16398,0
peptide_nm_327,0.56623,0
peptide_nm_328,0.74567,0
peptide_nm_329,0.05646,0
peptide_nm_330,0.03028,0
peptide_nm_331,-0.12013,0
peptide_nm_332,0.07851,0
peptide_nm_333,0.48001,0
peptide_nm_334,-0.08631,0
peptide_nm_335,0.45531,0
peptide_nm_336,1.12915,0
peptide_nm_337,-0.18723,0
peptide_nm_338,0.76644,0
peptide_nm_339,0.9721,0
peptide_nm_340,1.022,0
peptide_nm_341,0.61858,0
peptide_nm_342,-0.86446,0
peptide_nm_343,0.96102,0
peptide_nm_344,0.64107,0
peptide_nm_345,0.0693,0
peptide_nm_346,-1.28527,0
peptide_nm_347,0.19299,0
peptide_nm_348,1.69298,0
peptide_nm_349,0.80201,0
peptide_nm_350,1.27471,0
peptide_nm_351,-0.25837,0
peptide_nm_352,1.18866,0
peptide_nm_353,-0.52859,0
peptide_nm_354,-1.94062,0
peptide_nm_355,0.68272,0
peptide_nm_356,-0.89353,0
peptide_nm_357,-0.11344,0
peptide_nm_358,0.32043,0
peptide_nm_359,1.161,0
peptide_nm_360,0.91301,0
peptide_nm_361,0.08143,0
peptide_nm_362,-0.42474,0
peptide_nm_363,0.45645,0
peptide_nm_364,0.66501,0
peptide_nm_365,0.61301,0
peptide_nm_366,-0.8927,0
peptide_nm_367,0.32527,0
peptide_nm_368,1.89788,0
peptide_nm_369,0.7644,0
peptide_nm_370,0.70844,0
peptide_nm_371,-1.82627,0
peptide_nm_372,0.0058,0
peptide_nm_373,0.27263,0
peptide_nm_374,0.28933,0
peptide_nm_375,0.40829,0
peptide_nm_376,-2.48764,0
peptide_nm_377,0.91796,0
peptide_nm_378,0.07581,0
peptide_nm_379,-0.07106,0
peptide_nm_380,0.12176,0
peptide_nm_381,-0.75541,0
peptide_nm_382,2.41187,0
peptide_nm_383,-0.51943,0
peptide_nm_384,-0.28641,0
peptide_nm_385,1.54733,0
peptide_nm_386,2.34979,0
peptide_nm_387,-0.82956,0
peptide_nm_388,0.05347,0
peptide_nm_389,-0.34309,0
peptide_nm_390,0.25993,0
peptide_nm_391,-2.07948,0
peptide_nm_392,1.97162,0
peptide_nm_393,1.79361,0
peptide_nm_394,0.57505,0
peptide_nm_395,-0.60462,0
peptide_nm_396,-0.56522,0
peptide_nm_397,0.11573,0
peptide_nm_398,-0.60323,0
peptide_nm_399,0.12063,0
peptide_nm_400,-0.28603,0
peptide_nm_401,-0.14756,0
peptide_nm_402,1.32044,0
peptide_nm_403,0.33755,0
peptide_nm_404,-1.32499,0
peptide_nm_405,-0.15344,0
peptide_nm_406,1.24635,0
peptide_nm_407,-0.03766,0
peptide_nm_408,-0.90054,0
peptide_nm_409,0.90034,0
peptide_nm_410,0.81603,0
peptide_nm_411,0.20651,0
peptide_nm_412,2.0596,0
peptide_nm_413,0.38207,0
peptide_nm_414,0.22546,0
peptide_nm_415,-0.11241,0
peptide_nm_416,-0.30805,0
peptide_nm_417,-0.7384,0
peptide_nm_418,0.19028,0
peptide_nm_419,2.12192,0
peptide_nm_420,-1.1963,0
peptide_nm_421,0.75426,0
peptide_nm_422,-0.50601,0
peptide_nm_423,2.19145,0
peptide_nm_424,0.33804,0
peptide_nm_425,0.30816,0
peptide_nm_426,1.26495,0
peptide_nm_427,-0.06426,0
peptide_nm_428,1.00625,0
peptide_nm_429,0.23723,0
peptide_nm_430,1.47297,0
peptide_nm_431,-1.29618,0
peptide_nm_432,-0.28336,0
peptide_nm_433,1.72438,0
peptide_nm_434,0.91874,0
peptide_nm_435,1.90257,0
peptide_nm_436,-0.23344,0
peptide_nm_437,-0.13716,0
peptide_nm_438,1.09979,0
peptide_nm_439,1.16944,0
peptide_nm_440,1.90109,0
peptide_nm_441,0.48647,0
peptide_nm_442,0.67727,0
peptide_pm_1,-1.49065,1
peptide_pm_2,-0.21137,1
peptide_pm_3,-0.73747,1
peptide_pm_4,-0.45149,1
peptide_pm_5,-0.75858,1
peptide_pm_6,-0.09797,1
peptide_pm_7,-0.50231,1
peptide_pm_8,-0.54758,1
peptide_pm_9,-0.98652,1
peptide_pm_10,-0.20953,1
peptide_pm_11,0.23797,1
peptide_pm_12,0.08841,1
peptide_pm_13,-1.11443,1
peptide_pm_14,-0.94347,1
peptide_pm_15,-0.13015,1
peptide_pm_16,0.17803,1
peptide_pm_17,-1.3783,1
peptide_pm_18,2.41097,1
peptide_pm_19,-0.27279,1
peptide_pm_20,-0.72208,1
peptide_pm_21,-0.05989,1
peptide_pm_22,1.14547,1
peptide_pm_23,-0.65439,1
peptide_pm_24,-0.60374,1
peptide_pm_25,-0.34778,1
peptide_pm_26,-1.26015,1
peptide_pm_27,0.59455,1
peptide_pm_28,-0.60625,1
peptide_pm_29,-2.64756,1
peptide_pm_30,-0.44586,1
peptide_pm_31,-0.61846,1
peptide_pm_32,-0.00337,1
peptide_pm_33,-0.72247,1
peptide_pm_34,0.78818,1
peptide_pm_35,-2.44478,1
peptide_pm_36,-1.04817,1
peptide_pm_37,-0.72223,1
peptide_pm_38,-1.19888,1
peptide_pm_39,-0.4206,1
peptide_pm_40,-1.27209,1
peptide_pm_41,1.28658,1
peptide_pm_42,-0.74313,1
peptide_pm_43,1.53405,1
peptide_pm_44,1.10366,1
peptide_pm_45,-0.22606,1
peptide_pm_46,-0.22622,1
peptide_pm_47,0.03005,1
peptide_pm_48,-0.30375,1
peptide_pm_49,-1.45015,1
peptide_pm_50,-1.25492,1
peptide_pm_51,-0.44523,1
peptide_pm_52,0.94255,1
peptide_pm_53,-1.44487,1
peptide_pm_54,1.72664,1
peptide_pm_55,1.61007,1
peptide_pm_56,-0.22497,1
peptide_pm_57,-0.3829,1
peptide_pm_58,-0.17562,1
peptide_pm_59,0.20701,1
peptide_pm_60,-1.12147,1
peptide_pm_61,-0.57667,1
peptide_pm_62,1.00286,1
peptide_pm_63,-0.33066,1
peptide_pm_64,-0.60374,1
peptide_pm_65,1.39422,1
peptide_pm_66,-0.81025,1
peptide_pm_67,-1.92855,1
peptide_pm_68,-0.92905,1
peptide_pm_69,0.43559,1
peptide_pm_70,-0.52015,1
peptide_pm_71,0.10066,1
peptide_pm_72,-1.17991,1
peptide_pm_73,-1.1523,1
peptide_pm_74,0.59442,1
peptide_pm_75,-0.49207,1
peptide_pm_76,1.30377,1
peptide_pm_77,2.12091,1
peptide_pm_78,0.23691,1
peptide_pm_79,-0.54077,1
peptide_pm_80,1.66156,1
peptide_pm_81,-0.89862,1
peptide_pm_82,-2.0863,1
peptide_pm_83,2.13011,1
peptide_pm_84,-0.60625,1
peptide_pm_85,-1.39888,1
peptide_pm_86,-1.02261,1
peptide_pm_87,0.18437,1
peptide_pm_88,0.06033,1
peptide_pm_89,-1.73051,1
peptide_pm_90,2.20891,1
peptide_pm_91,1.01237,1
peptide_pm_92,-0.37664,1
peptide_pm_93,0.02276,1
peptide_pm_94,-1.39537,1
peptide_pm_95,-0.19966,1
peptide_pm_96,-0.64883,1
peptide_pm_97,1.6897,1
peptide_pm_98,-0.64144,1
peptide_pm_99,-1.18055,1
peptide_pm_100,-0.03725,1
peptide_pm_101,-0.72217,1
peptide_pm_102,-0.60374,1
peptide_pm_103,-0.14123,1
peptide_pm_104,1.32687,1
peptide_pm_105,-1.52131,1
peptide_pm_106,-0.01396,1
peptide_pm_107,-1.82865,1
peptide_pm_108,-1.26955,1
peptide_pm_109,-0.49041,1
peptide_pm_110,0.46591,1
peptide_pm_111,-1.42144,1
peptide_pm_112,-0.55,1
peptide_pm_113,-0.84623,1
peptide_pm_114,0.65059,1
peptide_pm_115,-0.86749,1
peptide_pm_116,1.12582,1
peptide_pm_117,-1.52578,1
peptide_pm_118,0.83751,1
peptide_pm_119,-0.63358,1
peptide_pm_120,-0.22622,1
peptide_pm_121,0.20701,1
peptide_pm_122,-1.65683,1
peptide_pm_123,0.63459,1
peptide_pm_124,-0.35103,1
peptide_pm_125,0.02607,1
peptide_pm_126,1.13673,1
peptide_pm_127,-1.82105,1
peptide_pm_128,0.09971,1
peptide_pm_129,1.58752,1
peptide_pm_130,-0.27279,1
peptide_pm_131,-0.97414,1
peptide_pm_132,-1.13215,1
peptide_pm_133,-0.74411,1
peptide_pm_134,-1.28702,1
peptide_pm_135,-1.07607,1
peptide_pm_136,-1.84312,1
peptide_pm_137,-1.02854,1
peptide_pm_138,0.27496,1
peptide_pm_139,-0.45726,1
peptide_pm_140,-0.60374,1
peptide_pm_141,-0.2177,1
peptide_pm_142,-1.28753,1
peptide_pm_143,1.19839,1
peptide_pm_144,-0.79712,1
peptide_pm_145,0.29207,1
peptide_pm_146,0.66753,1
peptide_pm_147,-0.40536,1
peptide_pm_148,-1.03507,1
peptide_pm_149,0.88464,1
peptide_pm_150,-0.65497,1
peptide_pm_151,-1.56214,1
peptide_pm_152,-1.6723,1
peptide_pm_153,-0.68593,1
peptide_pm_154,-0.1599,1
peptide_pm_155,0.34913,1
peptide_pm_156,-1.14452,1
peptide_pm_157,0.23307,1
peptide_pm_158,1.70272,1
peptide_pm_159,0.02959,1
peptide_pm_160,-0.71911,1
peptide_pm_161,-1.09698,1
peptide_pm_162,-1.51079,1
peptide_pm_163,-1.18579,1
peptide_pm_164,-0.18731,1
peptide_pm_165,-0.92272,1
peptide_pm_166,-0.36038,1
peptide_pm_167,-1.0811,1
peptide_pm_168,-0.89513,1
peptide_pm_169,-0.49559,1
peptide_pm_170,-0.48147,1
peptide_pm_171,-2.10091,1
peptide_pm_172,-1.20641,1
peptide_pm_173,-0.45581,1
peptide_pm_174,1.95503,1
peptide_pm_175,-0.93022,1
peptide_pm_176,0.16979,1
peptide_pm_177,-1.23082,1
peptide_pm_178,0.69509,1
peptide_pm_179,-1.29322,1
peptide_pm_180,-1.23264,1
peptide_pm_181,-0.69262,1
peptide_pm_182,0.53064,1
peptide_pm_183,-1.30537,1
peptide_pm_184,1.5628,1
peptide_pm_185,-0.58931,1
peptide_pm_186,-1.12763,1
peptide_pm_187,-1.65999,1
peptide_pm_188,-0.81324,1
peptide_pm_189,-1.17527,1
peptide_pm_190,-0.76248,1
peptide_pm_191,0.23797,1
peptide_pm_192,-0.27827,1
peptide_pm_193,-1.25223,1
peptide_pm_194,-1.41972,1
peptide_pm_195,0.60486,1
peptide_pm_196,1.09753,1
peptide_pm_197,-1.02048,1
peptide_pm_198,-0.44645,1
peptide_pm_199,0.20701,1
peptide_pm_200,0.33848,1
peptide_pm_201,1.67742,1
peptide_pm_202,-1.18524,1
peptide_pm_203,-0.27279,1
peptide_pm_204,0.74725,1
peptide_pm_205,-0.545,1
peptide_pm_206,0.95157,1
peptide_pm_207,-1.2401,1
peptide_pm_208,0.38747,1
peptide_pm_209,0.46101,1
peptide_pm_210,2.70771,1
peptide_pm_211,1.36256,1
peptide_pm_212,-1.04441,1
peptide_pm_213,-1.05522,1
peptide_pm_214,-1.2464,1
peptide_pm_215,-0.59989,1
peptide_pm_216,-1.29221,1
peptide_pm_217,-0.15299,1
peptide_pm_218,-1.47845,1
peptide_pm_219,-0.67978,1
peptide_pm_220,-0.41508,1
peptide_pm_221,-1.03507,1
peptide_pm_222,-0.1599,1
peptide_pm_223,-0.60467,1
peptide_pm_224,-0.28264,1
peptide_pm_225,0.28287,1
peptide_pm_226,0.34737,1
peptide_pm_227,0.82542,1
peptide_pm_228,0.26717,1
peptide_pm_229,-1.26459,1
peptide_pm_230,-0.23458,1
peptide_pm_231,-0.13956,1
peptide_pm_232,-0.46806,1
peptide_pm_233,-0.49041,1
peptide_pm_234,-0.08608,1
peptide_pm_235,-1.42568,1
peptide_pm_236,-1.26842,1
peptide_pm_237,0.37623,1
peptide_pm_238,-1.45997,1
peptide_pm_239,0.38817,1
peptide_pm_240,-1.25788,1
peptide_pm_241,-0.54963,1
peptide_pm_242,1.2049,1
peptide_pm_243,-1.29346,1
peptide_pm_244,-0.8896,1
peptide_pm_245,0.04555,1
peptide_pm_246,1.43933,1
peptide_pm_247,-0.19966,1
peptide_pm_248,-0.74313,1
peptide_pm_249,0.47527,1
peptide_pm_250,-0.25331,1
peptide_pm_251,1.36256,1
peptide_pm_252,-1.80908,1
peptide_pm_253,0.02023,1
peptide_pm_254,1.65897,1
peptide_pm_255,-1.01058,1
peptide_pm_256,1.05773,1
peptide_pm_257,-0.24876,1
peptide_pm_258,-0.10619,1
peptide_pm_259,-0.0051,1
peptide_pm_260,-0.47589,1
peptide_pm_261,-0.36502,1
peptide_pm_262,0.79368,1
peptide_pm_263,-0.38374,1
peptide_pm_264,-1.92468,1
peptide_pm_265,0.27505,1
peptide_pm_266,-0.1287,1
peptide_pm_267,-1.64249,1
peptide_pm_268,-0.27201,1
peptide_pm_269,-0.49041,1
peptide_pm_270,-1.03639,1
peptide_pm_271,-1.72386,1
peptide_pm_272,-1.15688,1
peptide_pm_273,-1.26829,1
peptide_pm_274,-0.22671,1
peptide_pm_275,3.31591,1
peptide_pm_276,-1.11443,1
peptide_pm_277,0.09779,1
peptide_pm_278,-0.80818,1
peptide_pm_279,-0.13563,1
peptide_pm_280,-1.92606,1
peptide_pm_281,-0.01558,1
peptide_pm_282,-1.55638,1
peptide_pm_283,-1.01282,1
peptide_pm_284,-0.21556,1
peptide_pm_285,-0.60662,1
peptide_pm_286,-1.07359,1
peptide_pm_287,-1.83357,1
peptide_pm_288,-2.26554,1
peptide_pm_289,0.0751,1
peptide_pm_290,2.14672,1
peptide_pm_291,-1.39888,1
peptide_pm_292,-0.60374,1
peptide_pm_293,-1.88369,1
peptide_pm_294,2.0235,1
peptide_pm_295,-0.10008,1
peptide_pm_296,0.28519,1
peptide_pm_297,0.66079,1
peptide_pm_298,-0.83399,1
peptide_pm_299,-0.37353,1
peptide_pm_300,-0.2725,1
peptide_pm_301,-0.34989,1
peptide_pm_302,0.39971,1
peptide_pm_303,-0.12346,1
peptide_pm_304,1.36256,1
peptide_pm_305,0.78679,1
peptide_pm_306,-0.27461,1
peptide_pm_307,-0.60374,1
peptide_pm_308,-0.64545,1
peptide_pm_309,-1.68594,1
peptide_pm_310,-1.22275,1
peptide_pm_311,-1.41181,1
peptide_pm_312,-0.95256,1
peptide_pm_313,-0.14489,1
peptide_pm_314,0.22886,1
peptide_pm_315,0.64665,1
peptide_pm_316,-0.15319,1
peptide_pm_317,0.61837,1
peptide_pm_318,-0.47701,1
peptide_pm_319,-1.48213,1
peptide_pm_320,-0.58032,1
peptide_pm_321,-0.95898,1
peptide_pm_322,-0.17955,1
peptide_pm_323,-1.11497,1
peptide_pm_324,-1.47316,1
peptide_pm_325,1.24859,1
peptide_pm_326,-1.4397,1
peptide_pm_327,-1.10342,1
peptide_pm_328,-1.57294,1
peptide_pm_329,-0.57689,1
peptide_pm_330,-0.55561,1
peptide_pm_331,3.12912,1
peptide_pm_332,-1.24418,1
peptide_pm_333,-0.16339,1
peptide_pm_334,0.29639,1
peptide_pm_335,-0.61559,1
peptide_pm_336,0.66753,1
peptide_pm_337,-0.39493,1
peptide_pm_338,0.49843,1
peptide_pm_339,-0.03043,1
peptide_pm_340,-0.95513,1
peptide_pm_341,-0.25175,1
peptide_pm_342,-0.53348,1
peptide_pm_343,-2.12916,1
peptide_pm_344,-0.14265,1
peptide_pm_345,-0.13782,1
peptide_pm_346,0.49316,1
peptide_pm_347,-0.20167,1
peptide_pm_348,0.16427,1
peptide_pm_349,-1.09027,1
peptide_pm_350,-0.72887,1
peptide_pm_351,0.79836,1
peptide_pm_352,-0.4348,1
peptide_pm_353,-1.62993,1
peptide_pm_354,0.11077,1
peptide_pm_355,-0.60374,1
peptide_pm_356,-1.22758,1
peptide_pm_357,-0.56635,1
peptide_pm_358,-1.26452,1
peptide_pm_359,1.05773,1
peptide_pm_360,-0.24028,1
peptide_pm_361,-0.09085,1
peptide_pm_362,1.39739,1
peptide_pm_363,-0.06152,1
peptide_pm_364,0.02023,1
peptide_pm_365,-1.29322,1
peptide_pm_366,-0.37458,1
peptide_pm_367,-1.67269,1
peptide_pm_368,2.05157,1
peptide_pm_369,-0.31641,1
peptide_pm_370,-1.45323,1
peptide_pm_371,-0.37034,1
peptide_pm_372,0.59346,1
peptide_pm_373,-0.45726,1
peptide_pm_374,-0.71283,1
peptide_pm_375,-1.01388,1
peptide_pm_376,0.10454,1
peptide_pm_377,-0.88291,1
peptide_pm_378,0.45945,1
peptide_pm_379,-0.97725,1
peptide_pm_380,-1.31578,1
peptide_pm_381,-0.58803,1
peptide_pm_382,-1.12147,1
peptide_pm_383,-0.86664,1
peptide_pm_384,1.46506,1
peptide_pm_385,0.85813,1
peptide_pm_386,-0.54431,1
peptide_pm_387,-0.47135,1
peptide_pm_388,-1.32434,1
peptide_pm_389,-0.20572,1
peptide_pm_390,-1.04156,1
peptide_pm_391,-0.49041,1
peptide_pm_392,0.17481,1
peptide_pm_393,-0.61042,1
peptide_pm_394,-1.44201,1
peptide_pm_395,-1.04894,1
peptide_pm_396,-0.10008,1
peptide_pm_397,-0.76847,1
peptide_pm_398,-1.22515,1
peptide_pm_399,-1.6723,1
peptide_pm_400,1.26246,1
peptide_pm_401,-1.02267,1
peptide_pm_402,1.18868,1
peptide_pm_403,0.26892,1
peptide_pm_404,-2.12916,1
peptide_pm_405,-0.89221,1
