,Moran_CIDH920105.lag1,Moran_CIDH920105.lag2,Moran_CIDH920105.lag3,Moran_BHAR880101.lag1,Moran_BHAR880101.lag2,Moran_BHAR880101.lag3,Moran_CHAM820101.lag1,Moran_CHAM820101.lag2,Moran_CHAM820101.lag3,Moran_CHAM820102.lag1,Moran_CHAM820102.lag2,Moran_CHAM820102.lag3,Moran_CHOC760101.lag1,Moran_CHOC760101.lag2,Moran_CHOC760101.lag3,Moran_BIGC670101.lag1,Moran_BIGC670101.lag2,Moran_BIGC670101.lag3,Moran_CHAM810101.lag1,Moran_CHAM810101.lag2,Moran_CHAM810101.lag3,Moran_DAYM780201.lag1,Moran_DAYM780201.lag2,Moran_DAYM780201.lag3,y
peptide_nm_22,0.73393,0.32488,-1.1901,1.32123,-0.50716,-0.85167,-0.30065,-0.74299,-0.92703,-0.36028,-1.76015,0.71081,-0.32874,-1.07891,-0.80065,-0.0781,-0.63727,-0.91767,0.44677,-1.07123,-0.32673,1.74139,-0.40481,-0.81355,0
peptide_nm_23,-0.51121,1.97716,0.16565,0.33718,1.59538,0.10405,1.58367,2.32891,0.54655,0.58795,0.67076,0.71061,1.39948,2.17245,0.95678,1.37736,2.22361,0.78029,-0.49421,0.3804,1.56681,1.45679,0.63676,-0.07536,0
peptide_nm_24,-1.26539,0.03029,0.39948,-2.06035,1.50391,-1.02138,0.2576,0.88902,-1.24304,0.31504,0.34511,0.74426,0.44965,0.67483,-1.37064,0.11545,0.32428,-0.87886,-1.21703,-0.2458,0.50593,-0.35363,0.65544,-1.35013,0
peptide_nm_25,-1.52273,-1.60024,3.05027,-1.95894,-1.20656,3.88651,-2.51352,-1.47173,4.54017,-2.37874,0.96653,2.03995,-2.41233,-1.40634,4.71457,-2.41833,-1.41472,4.84508,0.33857,0.39779,-2.97845,-0.9483,-1.85788,0.82326,0
peptide_nm_26,-1.08623,0.81947,-0.69986,-0.71868,-0.55587,-0.37902,-1.48652,-0.93067,1.17346,0.56104,-1.65407,-0.85744,-1.31757,-1.46105,1.87414,-1.40914,-0.7977,1.02897,0.56883,-1.1141,0.97542,-0.1556,-1.53096,0.13459,0
peptide_nm_27,-1.42233,0.3532,-0.83907,-0.26411,1.35188,-1.98655,-1.53051,2.62024,-2.19616,0.98228,0.59586,-0.16258,-1.37217,2.23841,-2.23642,-1.42317,2.37612,-2.45993,0.7857,0.09781,-2.14241,-1.30061,0.82821,0.62624,0
peptide_nm_28,0.43437,-0.36211,-0.88227,-1.77111,1.02761,-0.50857,-1.3021,1.99487,-2.42005,-0.33083,-1.19375,-0.23376,-1.41879,2.10752,-2.26004,-0.97704,1.62453,-2.52309,-0.50964,0.34425,-1.3997,-1.33002,0.06525,-0.23953,0
peptide_nm_29,-0.00554,0.38249,-0.32796,0.90589,0.08033,-1.12913,-1.49818,0.5,0.36054,0.31717,-0.26536,-1.17654,-0.98223,0.41246,-0.45803,-2.01221,0.99292,-0.03223,-1.03034,0.54735,-0.19323,-1.04468,0.99679,-0.8491,0
peptide_nm_30,0.23831,1.24011,-0.99278,1.54865,1.24857,-0.42813,0.83988,-0.84827,-1.23549,1.4383,0.82464,-0.08449,1.09966,-0.62012,-0.88743,0.87016,-0.40569,-1.10854,0.69981,0.2433,0.08632,1.25985,0.05463,-0.92573,0
peptide_nm_31,0.96209,0.95107,-0.4815,0.25121,-0.36357,-0.13208,0.29748,0.22981,-0.97773,-0.14516,-0.38763,0.28834,0.30025,0.54593,-0.87849,0.1183,0.6517,-0.96586,0.18115,0.287,0.12672,0.98687,-0.57119,1.10913,0
peptide_nm_32,1.15661,-0.52777,-1.66696,0.05957,-0.15628,-2.29219,-0.73344,-1.49862,0.66776,-1.11136,0.22913,-1.16667,-1.18404,-1.31535,1.07384,-0.42818,-1.36622,0.64444,-0.22089,-0.09963,-1.31077,-1.85884,-0.62043,3.23841,0
peptide_nm_33,-0.29715,-0.12774,-1.98421,0.39019,-0.93568,1.44604,1.24165,0.18595,1.52747,0.20295,0.52243,1.14343,1.83982,0.32811,1.4791,0.99125,-0.23066,1.34232,0.87236,-1.06853,-0.51413,0.65006,-0.13363,-0.00203,0
peptide_nm_34,0.54678,-0.06214,-0.16319,1.20542,-1.17843,-0.65565,0.29109,-1.98616,-0.31251,-2.44728,1.85311,-0.42523,-1.15695,-0.60008,0.12317,0.57997,-1.99125,-0.24306,-1.94402,0.35454,0.43847,0.67446,-2.04766,-0.21163,0
peptide_nm_35,-1.63492,1.36615,-0.76166,-0.3878,0.52284,0.22826,-1.22663,0.50571,-1.27412,-0.17309,1.08742,1.87816,-1.46811,0.342,-0.83616,-1.1557,0.67725,-1.33688,-1.46966,1.00436,1.51808,-1.43573,1.54399,-0.82166,0
peptide_nm_36,-1.57944,0.68873,-1.31161,-1.08055,0.51219,-0.75459,-1.27029,0.51556,-0.53195,0.42528,-1.01352,-0.26584,-1.33302,0.35922,-0.77814,-1.39854,0.25261,-0.8274,0.56709,-2.00143,-2.16611,-0.44654,-0.21789,-0.06083,0
peptide_nm_37,0.0464,0.01203,1.07402,-0.02946,-0.40232,-0.26794,0.45221,-0.04164,-0.01156,0.67902,1.65826,0.91223,0.4983,-0.02357,-0.01897,0.70364,0.06172,0.3644,2.13521,0.56132,0.72263,0.41605,-0.01217,-0.33242,0
peptide_nm_38,-0.56584,0.06171,0.36323,-1.32155,0.55104,0.33755,2.15819,1.36561,0.61511,-0.24728,-0.02292,-0.23319,1.42334,1.60351,0.5646,1.59512,1.22491,0.68711,1.11355,0.22034,0.34097,-0.10903,-1.54888,0.48385,0
peptide_nm_39,1.02302,-0.69064,-0.56003,-0.0667,0.0909,0.49638,0.68563,1.06262,0.3463,-0.79791,0.38225,-0.91409,1.14544,1.27724,0.26586,0.72919,0.1882,0.41094,1.50834,-0.39727,-0.63243,0.73345,-1.02155,-0.93998,0
peptide_nm_40,0.87991,-0.41255,-1.60509,0.61939,-0.92231,-1.86348,-2.2401,1.74692,-0.8906,1.13198,0.8603,0.26818,-2.30098,1.9872,-0.8808,-2.2864,2.24292,-0.91073,-0.6716,1.33888,0.03999,0.48214,-0.55622,-0.12566,0
peptide_nm_41,0.15436,0.16323,-0.42875,1.39946,0.65313,0.78227,1.13811,0.67779,-0.78791,1.61615,0.47505,0.35466,1.38331,0.7937,-0.42599,0.33326,0.74811,-0.51939,-1.61693,1.30271,0.26251,0.47788,-0.50456,0.03886,0
peptide_nm_43,-1.3238,-0.02528,0.34937,-1.75433,0.45878,0.94562,-0.7551,0.32182,0.34592,0.81589,-0.63926,0.18838,-0.51581,0.03402,0.65956,-0.93464,0.10074,0.91344,-1.03565,0.13803,2.00146,0.15263,0.41469,0.00034,0
peptide_nm_44,-0.51976,-1.00916,0.68254,-0.60447,-1.35673,0.84698,-0.66954,1.16397,-0.61692,2.15721,0.67175,0.90424,-0.30135,1.67831,-0.7378,-0.52479,1.07901,-0.24392,2.00758,0.69333,0.89954,-0.67523,-0.44715,0.2537,0
peptide_nm_45,-0.7089,0.03468,0.33483,-0.31622,0.8833,-0.24979,0.48323,-0.66409,-0.92335,-0.43176,-0.39939,1.67374,0.15381,-0.78062,-0.57483,0.29236,-0.65034,-0.96743,0.38879,-0.04038,0.29279,0.12306,0.51051,0.70678,0
peptide_nm_46,0.14042,0.69358,-0.91691,-0.04503,0.74637,0.38436,0.65098,0.2672,-0.16279,-0.20379,0.47361,-0.57041,0.77163,-0.09738,0.07116,0.45539,0.1741,-0.2969,0.25589,0.28678,0.11143,1.95532,0.6791,-0.31178,0
peptide_nm_47,0.59463,0.42231,0.2673,0.32658,-0.30455,-0.6326,-0.26447,0.01361,0.10825,1.61531,1.19809,0.18751,-0.42739,0.15523,0.22355,-0.19602,0.13649,0.311,-0.01366,0.28029,0.58876,0.75643,0.64157,0.41495,0
peptide_nm_48,-1.2951,0.39305,-0.25852,-1.52806,-0.37,0.72935,-0.44063,-2.05871,-0.57873,-0.41713,-0.49162,-0.41057,-0.45538,-2.40468,-0.18669,-0.32434,-1.89285,-0.68267,-1.21619,-0.00226,0.53977,-0.38976,0.80328,-1.19941,0
peptide_nm_49,0.25794,0.40142,-1.38537,-0.51322,1.68186,-1.77585,0.11752,1.77424,0.536,-0.65616,0.83651,-0.17867,0.92182,0.80761,1.04131,0.53382,1.22657,0.96267,0.30435,-0.08023,0.33478,-0.8792,-0.17162,-0.21988,0
peptide_nm_50,-0.88542,0.62023,-0.16961,-0.91467,0.62221,-0.62074,-1.95857,1.47913,-0.77013,-0.89224,-0.94314,2.42147,-1.96553,1.54482,-0.58369,-1.85501,1.68274,-0.30907,-0.65818,1.01528,1.6846,0.68083,-0.04424,0.51202,0
peptide_nm_51,-0.78092,0.15084,0.12298,-0.35746,0.15036,0.12369,1.43611,-0.53735,-0.87195,0.2134,0.03371,-0.03132,1.33888,-0.46405,-1.08202,1.33162,-0.09009,-0.82738,-0.80656,-0.03251,0.17772,0.99399,0.22161,0.1863,0
peptide_nm_52,0.751,-0.48841,-1.94975,-0.28159,0.55142,1.09282,0.20062,0.45496,-1.66004,-0.69082,0.85473,-0.54676,-0.66437,0.43508,-0.76477,-0.2466,-0.05348,-1.67349,1.0567,-0.4211,-1.03662,0.06641,-0.13457,0.73875,0
peptide_nm_53,0.33048,0.10409,0.65894,0.98177,-0.35482,-0.45013,-0.82768,0.25648,0.68078,-1.22378,-0.13975,0.53091,-0.11453,0.57264,0.91876,0.15756,0.43964,0.98956,1.27706,1.33086,1.12081,-0.24591,-0.32463,0.085,0
peptide_nm_54,-1.19318,1.31545,-1.91912,0.26529,-1.75633,-0.0898,0.64722,-0.07861,-1.56638,-1.47183,2.44663,-2.04865,1.47703,-0.11825,-1.69171,0.49712,0.00227,-1.80753,-1.48303,0.89183,-2.24245,-0.3219,0.22992,-0.21754,0
peptide_nm_55,0.84489,-0.97485,-1.22561,-0.00619,-1.7028,-0.19932,0.44607,-0.25879,-1.67935,1.81047,0.48434,-1.68381,0.00705,-0.0125,-1.72455,1.29787,-0.46425,-1.89191,1.2499,-0.03067,-1.31917,-0.58207,0.23129,0.26175,0
peptide_nm_56,0.22114,-0.10942,0.32966,-0.28423,-0.27441,-0.59196,0.23923,-1.0079,0.84719,-0.42521,1.0097,-0.4097,0.1431,-0.75012,0.92491,-0.2522,-1.04585,1.21552,-0.12615,-0.15136,0.14275,0.65206,-1.47716,-1.05357,0
peptide_nm_57,-1.4213,0.91522,-1.22679,-0.33992,2.99712,-0.87038,-0.11644,-0.57256,-0.71928,0.02484,0.21563,0.82756,0.30778,-0.99045,-0.88844,-0.41658,-0.12888,-0.59498,0.28855,0.21476,-0.21918,-1.5811,0.43374,0.15895,0
peptide_nm_58,-0.52907,-0.35584,-0.10802,-0.12994,-0.16654,-0.62928,0.64869,0.30245,-0.7576,0.92285,-0.31709,-0.6087,0.86776,0.78723,-0.72513,0.59982,0.05405,-0.1247,2.15369,0.4298,0.65539,-0.44864,-0.9919,1.96193,0
peptide_nm_59,1.35554,0.79053,-0.98023,1.47635,-0.89191,-1.21117,-0.56305,-0.04001,1.25793,0.13292,0.44288,0.06691,-1.05098,-0.13108,1.29006,-0.23486,0.24214,1.03731,0.4751,0.50085,-0.06936,1.02721,-0.01308,-0.01327,0
peptide_nm_60,-0.16276,0.45207,-0.55187,0.28767,0.13716,-1.10434,1.2171,-0.65784,-0.24538,-0.35852,0.14539,-0.02279,0.82096,-0.16055,0.20556,0.72537,-0.54439,-0.4388,-0.90317,0.45463,0.007,0.29347,-0.74364,-0.36116,0
peptide_nm_61,1.19126,0.44976,-0.25987,0.6735,-0.07465,0.75662,0.06297,-0.8656,0.40896,-0.03905,-0.87835,0.54487,-0.04958,-0.75835,0.30605,-0.17257,-0.46774,0.26649,-0.41455,0.16246,0.18516,0.81646,0.92019,-0.33383,0
peptide_nm_62,-1.04621,0.47144,0.12906,0.57354,-0.84378,-0.06717,-0.90829,2.03057,-2.09759,0.75053,-1.15543,0.01578,-0.94962,1.29823,-1.93636,-1.05083,2.22025,-1.88874,0.95783,1.16476,-1.18938,-2.55236,1.68618,0.4991,0
peptide_nm_63,-2.07899,1.47449,-0.57615,-1.34426,1.95219,-0.96075,0.6106,-1.25836,-0.47704,1.40377,0.20716,-1.87021,0.72191,-1.52619,-0.24337,0.7013,-1.05915,-0.93938,0.27725,1.05874,-2.13571,-0.36604,-0.20812,-0.29016,0
peptide_nm_64,-1.11725,0.37384,-0.93773,-0.0365,0.05406,-0.52995,-0.28715,-0.23642,-0.44658,-0.92439,0.91808,-0.60038,-0.0358,-0.06864,-0.54897,0.04536,-0.52671,-0.84621,-0.65318,0.97543,-0.92878,0.49294,-0.52503,0.25798,0
peptide_nm_65,-0.93632,-0.24613,0.71671,-0.24444,0.57561,0.80141,0.47844,-1.18588,-0.43498,0.48944,-1.20502,-0.03809,0.71867,-1.29148,-0.96526,0.78181,-1.69392,-0.31151,0.72706,-0.12529,0.39636,-1.10822,0.33278,1.16645,0
peptide_nm_66,1.60541,0.4548,-0.16225,0.50217,0.0448,-0.10135,-0.65172,-0.44331,0.94083,-0.72649,1.46891,-0.07923,-0.18863,-0.24144,0.93919,-0.58702,-0.40305,1.11073,-0.18475,0.24062,0.20818,-1.41683,0.56208,0.99791,0
peptide_nm_67,0.20383,0.41415,-0.19068,0.8181,-0.01581,-0.76099,-0.14761,0.06547,0.97806,1.05331,-0.82811,-2.23626,-0.21108,0.31222,1.60276,-0.18568,-0.03855,1.34662,-0.00031,-0.69737,0.01146,0.06639,-1.12572,0.33128,0
peptide_nm_68,0.68415,0.66932,-0.54944,0.13896,0.42694,-0.79429,0.12348,0.06089,0.73251,-0.09535,-1.49511,0.7568,-0.64852,-0.17164,1.05107,-0.0387,0.11458,1.31808,-1.10798,0.04684,1.17654,-1.33583,-0.06126,0.74373,0
peptide_nm_69,-0.76737,2.26516,-1.25161,0.17759,0.34776,0.49073,-0.10248,0.39899,-0.75984,0.02681,1.36527,-0.12895,-0.18903,0.35411,-0.61993,-0.46558,0.75152,-0.86904,-0.85144,1.52172,-0.48288,-0.39082,-0.24431,0.50304,0
peptide_nm_70,0.80088,0.38991,0.70695,1.03249,-0.23022,0.09247,-0.34984,-0.86294,1.4784,-2.05996,1.20519,-0.85734,0.68594,-0.84818,0.46953,-0.93004,-0.4115,2.08567,-0.48398,0.27599,0.74179,0.55498,-1.7453,1.30704,0
peptide_nm_71,-0.13954,-0.66787,0.35944,-0.53836,0.34382,0.85943,0.45571,-1.46829,-0.14013,-0.11662,-1.22921,0.51499,0.20754,-1.34591,0.13997,0.26063,-1.49006,0.17392,-0.102,-1.91806,1.02635,0.19823,-1.52231,0.69373,0
peptide_nm_72,1.07858,0.16589,0.42362,0.66092,0.44855,0.76288,-0.8506,-1.83031,1.35235,1.43976,0.25836,0.08027,-0.93603,-1.38325,0.61441,-0.67298,-1.28326,1.01631,-0.07227,-0.29392,0.89861,0.05843,1.08538,-0.25888,0
peptide_nm_73,-0.38804,-0.70128,-0.60524,-1.3364,0.45876,-0.74829,0.80419,-1.62977,-0.22507,-0.83912,0.01316,1.16176,0.51337,-1.72481,-0.54679,1.05092,-1.9438,-0.60132,0.64139,-0.68689,-0.20561,-0.17951,-0.29514,2.66852,0
peptide_nm_74,-0.41861,0.03042,0.92268,0.70048,-0.79765,1.87743,1.15706,0.03813,2.73024,-0.93859,0.13241,0.52241,0.51242,-0.20983,2.69269,0.29863,-0.65811,2.17804,-0.29362,-0.08259,2.21183,2.16286,1.94557,0.65538,0
peptide_nm_75,1.33126,0.51106,-1.74994,0.28636,-1.10662,0.95388,1.7594,0.26331,-1.29707,1.63332,0.07315,-0.09227,1.38934,1.10095,-1.10683,2.81867,0.69124,-1.52283,1.7985,0.81223,-0.41363,0.50391,-1.25515,-0.8131,0
peptide_nm_76,2.33276,1.93333,0.03264,1.93772,1.21627,0.92227,2.24635,1.11692,-0.68457,-0.02023,-1.51001,0.73322,2.19321,0.40851,-0.01423,2.6106,0.81307,-0.36591,0.27724,-0.18319,-0.47598,-0.99751,2.6147,-1.29096,0
peptide_nm_77,-0.45911,0.74561,-0.46417,-0.29644,-0.43835,-0.92532,-0.4179,0.68576,0.07696,1.76776,0.44567,-0.79369,-0.32066,0.49429,0.32252,0.27596,0.2982,-0.15107,0.87694,-0.26336,-1.57641,-0.16764,-0.47703,0.92024,0
peptide_nm_78,-0.73726,1.0813,-0.4828,-1.35214,1.88023,-1.32811,-0.70556,0.01967,0.51557,0.25532,-0.06063,0.85234,-0.20656,-0.57352,0.79025,-0.40724,-0.20171,0.48866,-0.41476,0.52519,-0.822,0.02276,-0.62806,0.8171,0
peptide_nm_79,0.61812,-0.2222,-0.84438,0.8252,-0.31667,-0.11327,0.23442,0.06944,0.16532,-0.4829,0.61047,-1.05522,0.39798,0.47149,-0.05327,-0.1085,0.19769,-0.24947,0.14052,1.62022,-1.15573,-1.17599,-0.19674,0.74426,0
peptide_nm_80,-2.17811,1.90461,-1.41026,-0.92905,1.82302,0.55099,-0.24829,-0.29859,0.22774,-1.51757,0.43785,0.29261,-0.40064,-0.36338,0.30437,-0.27269,-0.01483,-0.25096,-1.02251,0.11201,-0.70162,-0.00093,-0.26825,0.04411,0
peptide_nm_81,0.21053,0.48128,-0.13269,0.0732,0.15568,0.34965,0.06992,0.23657,0.37206,0.24514,0.36605,1.19406,0.06934,0.48711,0.50444,0.5857,0.04687,0.30549,0.61969,0.67738,0.02887,0.34514,0.55606,-0.19195,0
peptide_nm_82,0.26057,-0.44233,0.26038,0.6939,-0.32769,-0.82185,1.42987,-0.82928,-0.6182,-0.50674,1.13065,-0.02653,1.29406,-0.61602,-0.29446,1.30557,-0.75212,-0.22833,0.78405,-0.58774,0.67451,-0.14976,-0.73588,0.29249,0
peptide_nm_83,0.85769,0.53238,-0.4121,1.07115,-0.41197,-0.7128,1.13369,0.44449,-0.21703,0.48906,1.20482,0.12631,1.4285,0.27587,-0.38104,1.3321,0.54994,0.21153,1.23942,-0.29428,0.02467,0.86461,1.28252,-0.82988,0
peptide_nm_84,-0.41445,0.83851,-0.80184,-0.75752,1.77646,-2.40086,1.34634,1.94787,2.04293,0.01968,-0.61422,-0.44667,1.00337,1.97392,1.77989,1.35238,1.93806,1.8303,0.03368,0.49229,0.24168,-0.07988,-0.27435,0.3647,0
peptide_nm_85,0.54857,0.31319,1.66017,0.51792,-0.35939,-0.2149,-0.53725,0.85721,0.63588,-0.71426,-0.67853,1.99653,-0.78552,0.56698,0.79358,-0.09268,0.91151,1.261,1.37703,0.32933,1.27265,1.15932,-0.7262,0.0767,0
peptide_nm_86,-0.82418,0.18648,0.19236,-0.80159,0.82801,-1.2025,-0.02073,-0.50165,0.6387,-0.25863,-0.43381,0.589,0.14968,-0.76788,0.1933,0.07979,-0.4924,0.47923,-0.61798,-0.12001,1.72262,-0.02441,0.22658,0.39064,0
peptide_nm_87,-0.51112,0.00904,0.96159,-0.8407,0.5157,-0.1456,1.18207,0.82521,0.41422,0.85116,0.77451,0.11979,1.23146,0.94575,0.32424,1.27408,0.61936,0.42768,1.21295,-0.02456,0.65446,0.98847,-0.23089,0.68047,0
peptide_nm_88,-0.55861,-0.94447,0.51556,-0.57089,-1.12275,-0.12562,-1.19243,-0.05422,-0.75747,-0.44773,0.21882,0.21905,-0.94314,0.04768,-0.09542,-1.42975,-0.46712,0.50396,-0.56157,-0.40428,1.01929,1.09916,-0.87491,0.42382,0
peptide_nm_89,0.14886,1.55733,1.25247,2.07493,0.35143,-0.62782,-0.50914,-0.70357,-0.60096,1.10844,0.18172,0.1616,-0.32543,-0.91228,-0.62355,-0.41417,-0.0939,-0.919,1.19638,0.83821,-0.77078,-0.07123,-1.16503,0.27468,0
peptide_nm_90,0.20904,0.36912,0.60495,0.2371,-0.50246,-0.44927,-0.0127,-0.42511,-1.81618,1.09727,-1.59792,-1.71062,0.35952,-0.74729,-2.53394,0.07491,-0.21414,-1.7351,-0.10306,-0.37806,-1.54768,-0.17458,1.14053,0.41508,0
peptide_nm_91,-0.50439,1.72643,-1.39778,-0.01439,2.01562,-0.1662,-0.05394,0.16115,-0.08144,-0.89747,-0.35185,1.03307,-0.87125,0.64749,0.05194,0.02935,0.18631,-0.37968,-1.12248,0.737,1.26649,-0.0227,-0.54023,-0.36002,0
peptide_nm_92,-0.84282,0.11394,1.6304,-0.64649,0.66629,-0.84716,0.73104,-0.67235,0.81439,-0.44024,0.80446,-0.225,1.13108,-0.29333,0.42343,0.74861,-0.27202,1.11274,-0.25983,0.98652,1.22842,-0.40933,0.0091,0.10997,0
peptide_nm_93,0.50602,0.82892,-0.03814,0.32241,0.42279,-0.16112,0.77283,0.11689,-0.79891,0.73199,-0.90451,-0.64891,0.85474,0.10618,-0.49713,0.75911,-0.06191,-1.55119,0.42087,-0.50839,-1.71995,0.49772,0.05367,-0.78007,0
peptide_nm_94,-0.65557,1.85111,-0.3699,-0.87101,1.35382,0.17202,0.54772,1.10953,-0.37892,-0.3167,0.07187,-0.46782,0.08626,0.27845,-0.66411,0.28015,0.99923,-0.32648,-0.75352,0.80204,0.62693,1.17238,1.1199,0.73695,0
