,Hydrophobic,y
peptide_nm_113,-0.43653,0
peptide_nm_114,-0.03184,0
peptide_nm_115,0.30895,0
peptide_nm_116,-0.36389,0
peptide_nm_117,0.50774,0
peptide_nm_118,0.16437,0
peptide_nm_119,-2.01032,0
peptide_nm_120,-1.20912,0
peptide_nm_121,0.08807,0
peptide_nm_122,-0.36389,0
peptide_nm_123,-2.38062,0
peptide_nm_124,-0.12177,0
peptide_nm_125,-0.90867,0
peptide_nm_126,-0.179,0
peptide_nm_127,-1.20912,0
peptide_nm_128,-1.3808,0
peptide_nm_129,-1.6506,0
peptide_nm_130,-1.20912,0
peptide_nm_131,0.08807,0
peptide_nm_132,0.50774,0
peptide_nm_133,-0.1588,0
peptide_nm_134,2.22461,0
peptide_nm_135,-0.48623,0
peptide_nm_136,-0.03184,0
peptide_nm_137,-0.19172,0
peptide_nm_138,-2.10717,0
peptide_nm_139,0.08807,0
peptide_nm_140,0.28556,0
peptide_nm_141,0.67197,0
peptide_nm_142,-0.94498,0
peptide_nm_143,-0.90867,0
peptide_nm_144,1.13726,0
peptide_nm_145,-0.40397,0
peptide_nm_146,-0.03184,0
peptide_nm_147,-1.04753,0
peptide_nm_148,-0.43653,0
peptide_nm_149,0.2172,0
peptide_nm_150,-1.17096,0
peptide_nm_151,-0.57143,0
peptide_nm_152,-1.3808,0
peptide_nm_153,0.11701,0
peptide_nm_154,0.08807,0
peptide_nm_155,-0.75129,0
peptide_nm_156,-0.75129,0
peptide_nm_157,-1.28141,0
peptide_nm_158,-1.44593,0
peptide_nm_159,-0.06454,0
peptide_nm_160,0.14222,0
peptide_nm_161,-3.26935,0
peptide_nm_162,0.50774,0
peptide_nm_163,-0.94498,0
peptide_nm_164,0.01508,0
peptide_nm_165,1.13726,0
peptide_nm_166,-0.6726,0
peptide_nm_167,-0.19172,0
peptide_nm_168,0.23795,0
peptide_nm_169,-1.59064,0
peptide_nm_170,-0.52237,0
peptide_nm_171,0.23795,0
peptide_nm_172,1.04733,0
peptide_nm_173,0.85112,0
peptide_nm_174,0.50774,0
peptide_nm_175,0.28556,0
peptide_nm_176,-0.31336,0
peptide_nm_177,0.50774,0
peptide_nm_178,0.50774,0
peptide_nm_179,-2.72977,0
peptide_nm_180,-0.61139,0
peptide_nm_181,2.39629,0
peptide_nm_182,0.03561,0
peptide_nm_183,-0.31336,0
peptide_nm_184,-0.12177,0
peptide_nm_185,-0.36389,0
peptide_nm_186,-1.3808,0
peptide_nm_187,-0.1588,0
peptide_nm_188,0.50774,0
peptide_nm_189,0.08807,0
peptide_nm_190,0.50774,0
peptide_nm_191,-0.84122,0
peptide_nm_192,-1.93626,0
peptide_nm_193,-0.43653,0
peptide_nm_194,-1.11101,0
peptide_nm_195,-1.03107,0
peptide_nm_196,0.08807,0
peptide_nm_197,0.03561,0
peptide_nm_198,-0.57143,0
peptide_nm_199,0.85112,0
peptide_nm_200,-0.75129,0
peptide_nm_201,-0.48623,0
peptide_nm_202,1.13726,0
peptide_nm_203,0.11701,0
peptide_nm_204,-0.57143,0
peptide_nm_205,-2.38062,0
peptide_nm_206,0.2172,0
peptide_nm_207,-1.06605,0
peptide_nm_208,-1.11101,0
peptide_nm_209,-0.60317,0
peptide_nm_210,0.50774,0
peptide_nm_211,0.2172,0
peptide_nm_212,-0.66446,0
peptide_nm_213,-0.20684,0
peptide_nm_214,-0.03184,0
peptide_nm_215,-0.12177,0
peptide_nm_216,0.30895,0
peptide_nm_217,-0.83252,0
peptide_nm_218,-2.10717,0
peptide_nm_219,-2.07658,0
peptide_nm_220,-0.64181,0
peptide_nm_221,-0.03184,0
peptide_nm_222,-1.55249,0
peptide_nm_223,0.50774,0
peptide_nm_224,-2.58261,0
peptide_nm_225,-1.06605,0
peptide_nm_226,0.79829,0
peptide_nm_227,1.04733,0
peptide_nm_228,0.08807,0
peptide_nm_229,1.04733,0
peptide_nm_230,-0.75129,0
peptide_nm_231,-0.12177,0
peptide_nm_232,0.3775,0
peptide_nm_233,-0.20046,0
peptide_nm_234,1.04733,0
peptide_nm_235,-0.1588,0
peptide_nm_236,-0.84122,0
peptide_nm_237,-0.60317,0
peptide_nm_238,-0.12177,0
peptide_nm_239,-1.03107,0
peptide_nm_240,-0.40397,0
peptide_nm_241,-0.86574,0
peptide_nm_242,-0.30163,0
peptide_nm_243,-0.19172,0
peptide_nm_244,-1.20912,0
peptide_nm_245,-0.94498,0
peptide_nm_246,1.10413,0
peptide_nm_247,-0.36389,0
peptide_nm_248,0.79829,0
peptide_nm_249,0.85112,0
peptide_nm_250,-0.43653,0
peptide_nm_251,0.2172,0
peptide_nm_252,-1.3808,0
peptide_nm_253,0.2172,0
peptide_nm_254,0.2172,0
peptide_nm_255,-1.04753,0
peptide_nm_256,0.16437,0
peptide_nm_257,-0.94498,0
peptide_nm_258,-0.60317,0
peptide_nm_259,0.23795,0
peptide_nm_260,-0.33161,0
peptide_nm_261,0.77754,0
peptide_nm_262,0.79829,0
peptide_nm_263,-0.19172,0
peptide_nm_264,-0.43653,0
peptide_nm_265,-0.52237,0
peptide_nm_266,-1.20912,0
peptide_nm_267,0.50774,0
peptide_nm_268,-2.79721,0
peptide_nm_269,0.2172,0
peptide_nm_270,-1.6506,0
peptide_nm_271,-1.89586,0
peptide_nm_272,-0.94498,0
peptide_nm_273,2.1265,0
peptide_nm_274,-0.179,0
peptide_nm_275,-0.36389,0
peptide_nm_276,2.91135,0
peptide_nm_277,-0.29721,0
peptide_nm_278,-1.6506,0
peptide_nm_279,0.19299,0
peptide_nm_280,0.08807,0
peptide_nm_281,-0.57143,0
peptide_nm_282,-0.12177,0
peptide_nm_283,-2.01032,0
peptide_nm_284,-0.75129,0
peptide_nm_285,-0.12177,0
peptide_nm_286,0.36785,0
peptide_nm_287,-0.36389,0
peptide_nm_288,-1.11101,0
peptide_nm_289,0.32788,0
peptide_nm_290,-0.75129,0
peptide_nm_291,0.70654,0
peptide_nm_292,-2.68826,0
peptide_nm_293,-0.1588,0
peptide_nm_294,-1.49189,0
peptide_nm_295,1.20721,0
peptide_nm_296,-0.90867,0
peptide_nm_297,-2.15021,0
peptide_nm_298,-1.59064,0
peptide_nm_299,0.16437,0
peptide_nm_300,0.30895,0
peptide_nm_301,0.72993,0
peptide_nm_302,0.50774,0
peptide_nm_303,0.2172,0
peptide_nm_304,-0.06141,0
peptide_nm_305,0.85112,0
peptide_nm_306,0.30895,0
peptide_nm_307,1.53786,0
peptide_nm_308,0.85112,0
peptide_nm_309,-0.4715,0
peptide_nm_310,0.67197,0
peptide_nm_311,-1.92039,0
peptide_nm_312,-0.03184,0
peptide_nm_313,0.79829,0
peptide_nm_314,-0.94498,0
peptide_nm_315,-0.52237,0
peptide_nm_316,-1.85294,0
peptide_nm_317,-0.12177,0
peptide_nm_318,0.50774,0
peptide_nm_319,-0.64181,0
peptide_nm_320,-0.94498,0
peptide_nm_321,-1.3808,0
peptide_nm_322,-2.10717,0
peptide_nm_323,0.30895,0
peptide_nm_324,-1.04753,0
peptide_nm_325,-0.07335,0
peptide_nm_326,-2.19018,0
peptide_nm_327,-0.89769,0
peptide_nm_328,0.50774,0
peptide_nm_329,0.08807,0
peptide_nm_330,-0.60317,0
peptide_nm_331,0.50774,0
peptide_nm_332,-0.65444,0
peptide_nm_333,-0.36389,0
peptide_nm_334,-0.31336,0
peptide_nm_335,-0.39156,0
peptide_nm_336,-0.179,0
peptide_nm_337,0.28556,0
peptide_nm_338,-0.19172,0
peptide_nm_339,-0.75129,0
peptide_nm_340,-1.11101,0
peptide_nm_341,-1.6506,0
peptide_nm_342,1.76678,0
peptide_nm_343,-0.75129,0
peptide_nm_344,0.70654,0
peptide_nm_345,0.19299,0
peptide_nm_346,1.53786,0
peptide_nm_347,-1.11101,0
peptide_nm_348,-0.75129,0
peptide_nm_349,-0.1588,0
peptide_nm_350,-1.61687,0
peptide_nm_351,-0.48623,0
peptide_nm_352,-0.84122,0
peptide_nm_353,0.14222,0
peptide_nm_354,1.89931,0
peptide_nm_355,-0.75129,0
peptide_nm_356,1.45202,0
peptide_nm_357,-0.4715,0
peptide_nm_358,-0.60317,0
peptide_nm_359,-1.3808,0
peptide_nm_360,-0.52237,0
peptide_nm_361,-0.12177,0
peptide_nm_362,1.15897,0
peptide_nm_363,-1.28141,0
peptide_nm_364,0.08807,0
peptide_nm_365,-0.92495,0
peptide_nm_366,1.88123,0
peptide_nm_367,-0.60317,0
peptide_nm_368,-1.20912,0
peptide_nm_369,-0.1588,0
peptide_nm_370,-0.65444,0
peptide_nm_371,1.45202,0
peptide_nm_372,0.50774,0
peptide_nm_373,-0.52237,0
peptide_nm_374,0.23795,0
peptide_nm_375,0.08807,0
peptide_nm_376,3.12266,0
peptide_nm_377,-0.97025,0
peptide_nm_378,-0.4715,0
peptide_nm_379,-0.12177,0
peptide_nm_380,-0.57143,0
peptide_nm_381,-0.03184,0
peptide_nm_382,-1.17096,0
peptide_nm_383,-0.36389,0
peptide_nm_384,0.50774,0
peptide_nm_385,-0.179,0
peptide_nm_386,-3.26935,0
peptide_nm_387,1.10413,0
peptide_nm_388,-0.43653,0
peptide_nm_389,-0.14348,0
peptide_nm_390,-0.03184,0
peptide_nm_391,1.66993,0
peptide_nm_392,-2.90963,0
peptide_nm_393,-0.36389,0
peptide_nm_394,-0.43653,0
peptide_nm_395,-0.48623,0
peptide_nm_396,-0.36389,0
peptide_nm_397,-0.75129,0
peptide_nm_398,1.04733,0
peptide_nm_399,-0.75129,0
peptide_nm_400,0.30895,0
peptide_nm_401,-0.03184,0
peptide_nm_402,-0.31336,0
peptide_nm_403,0.2172,0
peptide_nm_404,0.85112,0
peptide_nm_405,0.32788,0
peptide_nm_406,-0.1588,0
peptide_nm_407,0.50774,0
peptide_nm_408,1.89931,0
peptide_nm_409,-1.11101,0
peptide_nm_410,-0.6823,0
peptide_nm_411,0.30895,0
peptide_nm_412,-1.95558,0
peptide_nm_413,-0.82535,0
peptide_nm_414,-0.40397,0
peptide_nm_415,0.30895,0
peptide_nm_416,0.79829,0
peptide_nm_417,0.50774,0
peptide_nm_418,0.50774,0
peptide_nm_419,-0.03184,0
peptide_nm_420,0.67197,0
peptide_nm_421,-1.11101,0
peptide_nm_422,0.08807,0
peptide_nm_423,-2.58261,0
peptide_nm_424,-0.10146,0
peptide_nm_425,-0.08864,0
peptide_nm_426,-0.43653,0
peptide_nm_427,-0.43653,0
peptide_nm_428,-1.89586,0
peptide_nm_429,-1.20912,0
peptide_nm_430,-0.90867,0
peptide_nm_431,0.68761,0
peptide_nm_432,0.30895,0
peptide_nm_433,-2.72977,0
peptide_nm_434,-1.14473,0
peptide_nm_435,-1.11101,0
peptide_nm_436,-0.90867,0
peptide_nm_437,0.50774,0
peptide_nm_438,0.50774,0
peptide_nm_439,-1.55249,0
peptide_nm_440,-2.47417,0
peptide_nm_441,-1.20912,0
peptide_nm_442,-0.36389,0
peptide_pm_1,0.68761,1
peptide_pm_2,-0.36389,1
peptide_pm_3,1.76678,1
peptide_pm_4,0.50774,1
peptide_pm_5,0.50774,1
peptide_pm_6,-0.03184,1
peptide_pm_7,0.70654,1
peptide_pm_8,0.28556,1
peptide_pm_9,1.04733,1
peptide_pm_10,0.39983,1
peptide_pm_11,-0.33161,1
peptide_pm_12,-0.36389,1
peptide_pm_13,1.26316,1
peptide_pm_14,0.50774,1
peptide_pm_15,0.77754,1
peptide_pm_16,-0.07335,1
peptide_pm_17,0.97988,1
peptide_pm_18,-0.48623,1
peptide_pm_19,0.08807,1
peptide_pm_20,1.17429,1
peptide_pm_21,-0.36389,1
peptide_pm_22,1.04733,1
peptide_pm_23,0.16437,1
peptide_pm_24,0.16437,1
peptide_pm_25,0.39329,1
peptide_pm_26,2.1265,1
peptide_pm_27,-1.93626,1
peptide_pm_28,1.17429,1
peptide_pm_29,1.76678,1
peptide_pm_30,0.50774,1
peptide_pm_31,0.01508,1
peptide_pm_32,1.53786,1
peptide_pm_33,0.08807,1
peptide_pm_34,-0.30163,1
peptide_pm_35,1.96047,1
peptide_pm_36,1.50172,1
peptide_pm_37,0.36785,1
peptide_pm_38,1.96047,1
peptide_pm_39,-0.00267,1
peptide_pm_40,0.50774,1
peptide_pm_41,0.50774,1
peptide_pm_42,0.35666,1
peptide_pm_43,-1.567,1
peptide_pm_44,0.08807,1
peptide_pm_45,-0.66446,1
peptide_pm_46,-0.94498,1
peptide_pm_47,-0.92495,1
peptide_pm_48,-0.24767,1
peptide_pm_49,0.92742,1
peptide_pm_50,0.92742,1
peptide_pm_51,0.41991,1
peptide_pm_52,-0.4715,1
peptide_pm_53,1.3471,1
peptide_pm_54,-0.33161,1
peptide_pm_55,-1.20912,1
peptide_pm_56,-0.66446,1
peptide_pm_57,-0.03184,1
peptide_pm_58,-0.66446,1
peptide_pm_59,-0.33161,1
peptide_pm_60,0.97988,1
peptide_pm_61,0.40566,1
peptide_pm_62,-0.03184,1
peptide_pm_63,-0.75129,1
peptide_pm_64,0.16437,1
peptide_pm_65,-0.52237,1
peptide_pm_66,2.16967,1
peptide_pm_67,0.92742,1
peptide_pm_68,0.2172,1
peptide_pm_69,-0.24767,1
peptide_pm_70,0.03561,1
peptide_pm_71,-0.19172,1
peptide_pm_72,1.76678,1
peptide_pm_73,0.16437,1
peptide_pm_74,-0.88382,1
peptide_pm_75,0.16437,1
peptide_pm_76,0.32788,1
peptide_pm_77,-0.65444,1
peptide_pm_78,-0.75129,1
peptide_pm_79,0.05449,1
peptide_pm_80,0.08807,1
peptide_pm_81,1.17429,1
peptide_pm_82,1.37938,1
peptide_pm_83,-0.75129,1
peptide_pm_84,1.17429,1
peptide_pm_85,0.50774,1
peptide_pm_86,0.50774,1
peptide_pm_87,0.79829,1
peptide_pm_88,-1.00309,1
peptide_pm_89,1.13726,1
peptide_pm_90,-0.75129,1
peptide_pm_91,0.2172,1
peptide_pm_92,-0.30163,1
peptide_pm_93,-0.75129,1
peptide_pm_94,1.58692,1
peptide_pm_95,0.50774,1
peptide_pm_96,0.00413,1
peptide_pm_97,-0.43653,1
peptide_pm_98,0.50774,1
peptide_pm_99,1.85671,1
peptide_pm_100,-0.94498,1
peptide_pm_101,0.50774,1
peptide_pm_102,0.16437,1
peptide_pm_103,-0.36389,1
peptide_pm_104,-0.52237,1
peptide_pm_105,1.37938,1
peptide_pm_106,-0.24767,1
peptide_pm_107,0.88545,1
peptide_pm_108,1.64087,1
peptide_pm_109,1.17429,1
peptide_pm_110,0.08807,1
peptide_pm_111,0.97988,1
peptide_pm_112,0.28556,1
peptide_pm_113,0.70654,1
peptide_pm_114,-0.75129,1
peptide_pm_115,0.50774,1
peptide_pm_116,-0.75129,1
peptide_pm_117,0.92742,1
peptide_pm_118,0.2172,1
peptide_pm_119,0.14222,1
peptide_pm_120,-0.94498,1
peptide_pm_121,-0.33161,1
peptide_pm_122,1.88123,1
peptide_pm_123,-0.38098,1
peptide_pm_124,0.00413,1
peptide_pm_125,-2.10717,1
peptide_pm_126,0.08807,1
peptide_pm_127,2.01858,1
peptide_pm_128,-0.37626,1
peptide_pm_129,-0.1588,1
peptide_pm_130,0.08807,1
peptide_pm_131,0.67197,1
peptide_pm_132,1.53786,1
peptide_pm_133,0.77754,1
peptide_pm_134,1.45202,1
peptide_pm_135,1.04733,1
peptide_pm_136,1.58692,1
peptide_pm_137,0.16437,1
peptide_pm_138,-0.36389,1
peptide_pm_139,0.28556,1
peptide_pm_140,0.16437,1
peptide_pm_141,-0.07335,1
peptide_pm_142,0.79829,1
peptide_pm_143,1.04733,1
peptide_pm_144,0.67197,1
peptide_pm_145,-0.24767,1
peptide_pm_146,-1.52608,1
peptide_pm_147,-0.30163,1
peptide_pm_148,0.50774,1
peptide_pm_149,-0.85201,1
peptide_pm_150,0.16437,1
peptide_pm_151,0.16437,1
peptide_pm_152,1.96047,1
peptide_pm_153,1.10413,1
peptide_pm_154,-0.66446,1
peptide_pm_155,-0.33161,1
peptide_pm_156,0.68761,1
peptide_pm_157,-0.94498,1
peptide_pm_158,-2.43,1
peptide_pm_159,-0.64181,1
peptide_pm_160,0.50774,1
peptide_pm_161,0.92742,1
peptide_pm_162,2.01858,1
peptide_pm_163,0.28556,1
peptide_pm_164,-0.33161,1
peptide_pm_165,1.37938,1
peptide_pm_166,0.08807,1
peptide_pm_167,1.45202,1
peptide_pm_168,0.67197,1
peptide_pm_169,0.50774,1
peptide_pm_170,0.72993,1
peptide_pm_171,1.96047,1
peptide_pm_172,0.85112,1
peptide_pm_173,0.16437,1
peptide_pm_174,0.50774,1
peptide_pm_175,1.58692,1
peptide_pm_176,-0.66446,1
peptide_pm_177,1.13726,1
peptide_pm_178,1.13726,1
peptide_pm_179,0.97988,1
peptide_pm_180,1.00041,1
peptide_pm_181,0.50774,1
peptide_pm_182,-0.75129,1
peptide_pm_183,1.58692,1
peptide_pm_184,0.03561,1
peptide_pm_185,0.25594,1
peptide_pm_186,-0.03184,1
peptide_pm_187,0.85112,1
peptide_pm_188,0.50774,1
peptide_pm_189,0.68761,1
peptide_pm_190,0.2172,1
peptide_pm_191,-0.33161,1
peptide_pm_192,-0.39156,1
peptide_pm_193,1.85671,1
peptide_pm_194,1.13726,1
peptide_pm_195,1.76678,1
peptide_pm_196,1.04733,1
peptide_pm_197,1.53786,1
peptide_pm_198,0.36785,1
peptide_pm_199,-0.33161,1
peptide_pm_200,0.11016,1
peptide_pm_201,-1.20912,1
peptide_pm_202,0.79829,1
peptide_pm_203,0.08807,1
peptide_pm_204,-0.03184,1
peptide_pm_205,0.2172,1
peptide_pm_206,1.53786,1
peptide_pm_207,0.68761,1
peptide_pm_208,-0.33161,1
peptide_pm_209,-0.07335,1
peptide_pm_210,-2.01032,1
peptide_pm_211,0.50774,1
peptide_pm_212,0.68761,1
peptide_pm_213,1.64087,1
peptide_pm_214,1.6573,1
peptide_pm_215,0.27168,1
peptide_pm_216,0.92742,1
peptide_pm_217,0.23795,1
peptide_pm_218,1.37938,1
peptide_pm_219,0.50774,1
peptide_pm_220,0.27168,1
peptide_pm_221,0.50774,1
peptide_pm_222,-0.66446,1
peptide_pm_223,0.79829,1
peptide_pm_224,0.00413,1
peptide_pm_225,0.05449,1
peptide_pm_226,-0.33161,1
peptide_pm_227,1.13726,1
peptide_pm_228,-1.04753,1
peptide_pm_229,1.45202,1
peptide_pm_230,-0.00267,1
peptide_pm_231,-0.1588,1
peptide_pm_232,0.72993,1
peptide_pm_233,1.17429,1
peptide_pm_234,0.70654,1
peptide_pm_235,1.58692,1
peptide_pm_236,1.00041,1
peptide_pm_237,-0.64851,1
peptide_pm_238,1.19449,1
peptide_pm_239,-0.19172,1
peptide_pm_240,0.32788,1
peptide_pm_241,0.25594,1
peptide_pm_242,-1.75851,1
peptide_pm_243,1.40705,1
peptide_pm_244,0.79829,1
peptide_pm_245,0.05449,1
peptide_pm_246,0.50774,1
peptide_pm_247,0.50774,1
peptide_pm_248,0.35666,1
peptide_pm_249,-0.24767,1
peptide_pm_250,0.05449,1
peptide_pm_251,0.50774,1
peptide_pm_252,1.53786,1
peptide_pm_253,-1.52608,1
peptide_pm_254,0.03561,1
peptide_pm_255,1.26316,1
peptide_pm_256,1.04733,1
peptide_pm_257,-0.66446,1
peptide_pm_258,0.63799,1
peptide_pm_259,-0.64181,1
peptide_pm_260,0.72993,1
peptide_pm_261,0.50774,1
peptide_pm_262,-2.10717,1
peptide_pm_263,0.50774,1
peptide_pm_264,2.18645,1
peptide_pm_265,-0.75129,1
peptide_pm_266,-0.24767,1
peptide_pm_267,2.39629,1
peptide_pm_268,0.79829,1
peptide_pm_269,1.17429,1
peptide_pm_270,0.97988,1
peptide_pm_271,2.01858,1
peptide_pm_272,0.68761,1
peptide_pm_273,2.18645,1
peptide_pm_274,0.50774,1
peptide_pm_275,-1.3808,1
peptide_pm_276,1.26316,1
peptide_pm_277,0.50774,1
peptide_pm_278,0.50774,1
peptide_pm_279,-0.36389,1
peptide_pm_280,1.96047,1
peptide_pm_281,-0.92495,1
peptide_pm_282,1.76678,1
peptide_pm_283,-1.52608,1
peptide_pm_284,-0.03184,1
peptide_pm_285,0.75955,1
peptide_pm_286,1.58692,1
peptide_pm_287,1.76678,1
peptide_pm_288,1.61866,1
peptide_pm_289,-0.39156,1
peptide_pm_290,-0.65444,1
peptide_pm_291,0.50774,1
peptide_pm_292,0.16437,1
peptide_pm_293,1.96047,1
peptide_pm_294,-0.94498,1
peptide_pm_295,-1.52608,1
peptide_pm_296,-0.36389,1
peptide_pm_297,1.76678,1
peptide_pm_298,0.16437,1
peptide_pm_299,0.03561,1
peptide_pm_300,0.79829,1
peptide_pm_301,0.16437,1
peptide_pm_302,-0.24767,1
peptide_pm_303,-0.36389,1
peptide_pm_304,0.50774,1
peptide_pm_305,-0.75129,1
peptide_pm_306,-0.31336,1
peptide_pm_307,0.16437,1
peptide_pm_308,0.50774,1
peptide_pm_309,0.79829,1
peptide_pm_310,0.2172,1
peptide_pm_311,0.92742,1
peptide_pm_312,0.85112,1
peptide_pm_313,-0.36389,1
peptide_pm_314,-0.24767,1
peptide_pm_315,-0.75129,1
peptide_pm_316,0.08807,1
peptide_pm_317,-1.2549,1
peptide_pm_318,0.27168,1
peptide_pm_319,0.16437,1
peptide_pm_320,0.2172,1
peptide_pm_321,0.13004,1
peptide_pm_322,-0.66446,1
peptide_pm_323,1.04733,1
peptide_pm_324,0.32788,1
peptide_pm_325,-0.61518,1
peptide_pm_326,0.68761,1
peptide_pm_327,0.2172,1
peptide_pm_328,1.37938,1
peptide_pm_329,1.00041,1
peptide_pm_330,0.08807,1
peptide_pm_331,0.50774,1
peptide_pm_332,0.79829,1
peptide_pm_333,-0.07335,1
peptide_pm_334,-2.10717,1
peptide_pm_335,0.19299,1
peptide_pm_336,-1.52608,1
peptide_pm_337,-0.00267,1
peptide_pm_338,0.32788,1
peptide_pm_339,0.16437,1
peptide_pm_340,1.45202,1
peptide_pm_341,0.85112,1
peptide_pm_342,0.63799,1
peptide_pm_343,1.37938,1
peptide_pm_344,-0.66446,1
peptide_pm_345,-0.07335,1
peptide_pm_346,1.37938,1
peptide_pm_347,0.16437,1
peptide_pm_348,-0.69406,1
peptide_pm_349,0.79829,1
peptide_pm_350,0.79829,1
peptide_pm_351,-0.30163,1
peptide_pm_352,-0.00267,1
peptide_pm_353,1.37938,1
peptide_pm_354,-0.24767,1
peptide_pm_355,0.16437,1
peptide_pm_356,1.85671,1
peptide_pm_357,0.35666,1
peptide_pm_358,0.68761,1
peptide_pm_359,1.04733,1
peptide_pm_360,-0.39156,1
peptide_pm_361,0.18399,1
peptide_pm_362,0.50774,1
peptide_pm_363,0.10306,1
peptide_pm_364,-1.52608,1
peptide_pm_365,0.97988,1
peptide_pm_366,1.17429,1
peptide_pm_367,1.89931,1
peptide_pm_368,-1.89586,1
peptide_pm_369,0.00413,1
peptide_pm_370,1.76678,1
peptide_pm_371,0.70654,1
peptide_pm_372,-0.75129,1
peptide_pm_373,0.28556,1
peptide_pm_374,0.3859,1
peptide_pm_375,0.65883,1
peptide_pm_376,-1.28141,1
peptide_pm_377,0.85112,1
peptide_pm_378,-0.88382,1
peptide_pm_379,1.58692,1
peptide_pm_380,1.45202,1
peptide_pm_381,0.14222,1
peptide_pm_382,0.97988,1
peptide_pm_383,0.75955,1
peptide_pm_384,0.03561,1
peptide_pm_385,1.26316,1
peptide_pm_386,0.05449,1
peptide_pm_387,0.16437,1
peptide_pm_388,1.61866,1
peptide_pm_389,0.30895,1
peptide_pm_390,0.79829,1
peptide_pm_391,1.17429,1
peptide_pm_392,0.11701,1
peptide_pm_393,0.961,1
peptide_pm_394,0.50774,1
peptide_pm_395,1.58692,1
peptide_pm_396,-1.52608,1
peptide_pm_397,0.97988,1
peptide_pm_398,2.39629,1
peptide_pm_399,1.96047,1
peptide_pm_400,-1.47073,1
peptide_pm_401,1.76678,1
peptide_pm_402,-0.94498,1
peptide_pm_403,-0.33161,1
peptide_pm_404,1.37938,1
peptide_pm_405,0.70654,1
peptide_pm_406,1.37938,1
peptide_pm_407,0.08807,1
