,MSW__1,MSW__2,MSW__3,MSW__4,MSW__5,MSW__6,MSW__7,MSW__8,MSW__9,MSW__10,MSW__11,MSW__12,MSW__13,MSW__14,MSW__15,MSW__16,MSW__17,MSW__18,MSW__19,MSW__20,MSW__21,MSW__22,MSW__23,MSW__24,MSW__25,MSW__26,MSW__27,MSW__28,MSW__29,MSW__30,y
peptide_nm_11,0.87811,-1.78585,-1.35525,-1.19243,-0.07475,1.81687,2.09402,0.25129,1.14805,-0.00051,-0.58794,-2.07708,-1.00902,-0.02347,-0.99459,-0.11948,0.58134,0.57425,0.43236,0.3218,-0.39777,-0.6178,-0.33371,-0.0395,-0.4664,-0.84615,-1.21278,-0.30654,-0.44149,-0.76378,0
peptide_nm_12,-1.0881,-0.75528,-1.25136,-1.38514,0.26402,0.3948,0.10847,1.47566,1.43299,1.2077,0.38561,-0.30031,0.35909,-0.66415,1.27064,0.17292,-0.47925,-0.74697,-0.79005,-0.65947,-0.07808,0.29142,-0.26369,-0.26057,-1.19581,1.61669,0.56394,0.98975,0.59708,0.76184,0
peptide_nm_13,-1.64823,-0.43138,-0.37823,-0.13193,-0.69968,0.45173,1.03911,1.03624,1.10054,0.34768,0.18227,0.69221,-0.25765,-0.85713,-0.35559,0.23987,-1.62663,-0.65393,-0.7992,-1.21389,-0.26172,-0.80123,-0.30119,-0.35347,-0.01284,1.9954,0.29445,0.88287,0.65565,0.06872,0
peptide_nm_14,-0.82043,0.39514,0.7535,0.38795,0.80414,-0.8083,0.44889,0.05688,-0.0067,0.85501,0.89151,0.71354,1.02916,1.00004,0.69774,-0.70515,-0.99448,-0.15562,-0.73595,-1.45223,0.05359,-0.26949,-0.09379,-0.0452,-0.01686,0.18009,-0.04632,0.73414,0.15318,1.1401,0
peptide_nm_15,-1.23063,-0.3327,-0.52713,0.00821,0.03351,0.68404,-0.18946,0.8574,1.00437,1.05341,0.39963,1.20872,0.82005,0.71062,0.51519,-0.73297,-0.48988,-0.4763,-0.78295,-1.50374,-0.12663,-0.67421,-1.05946,-0.62614,-0.93735,1.34113,1.9238,2.48913,2.37572,2.14179,0
peptide_nm_16,-0.99221,-0.72222,-0.83221,-0.71069,-1.41851,-0.24896,0.68658,1.15295,0.49206,0.8664,0.09598,-0.64648,0.01502,-0.4971,-0.26361,1.18622,-1.77242,-0.90705,1.04842,-2.19231,0.31193,0.31,0.53104,0.13076,1.21395,-0.48181,0.70364,0.80502,0.4589,0.53311,0
peptide_nm_17,-0.11224,0.47675,0.3403,-0.01214,0.19039,-0.42994,-0.90663,-0.54406,-0.59523,-0.55051,1.08373,0.8038,0.34397,0.69513,0.73441,-0.22823,0.57137,0.30351,0.1757,0.42062,-1.65989,-0.99108,-0.81585,-0.62436,-0.72075,0.94098,1.3447,0.94309,1.18327,1.42087,0
peptide_nm_18,-1.13188,-1.70321,-0.38789,-0.14539,-1.76197,0.09315,1.12654,1.02536,-0.38823,1.63437,0.34722,-0.0585,-0.46006,-0.33436,0.40511,0.77259,-2.64492,-0.71794,-1.19804,-2.13953,1.51905,0.37284,-0.29174,-1.31381,0.08873,0.28502,1.61635,1.3134,0.76307,0.4964,0
peptide_nm_19,-0.33136,0.71797,0.92261,0.46367,0.37058,-0.93964,-0.55988,-0.42109,-0.7991,-0.26336,0.4846,0.26904,-0.36536,0.59508,0.29964,-0.3192,0.51594,0.13463,0.28633,0.10347,-0.47089,0.1288,0.52651,0.93447,-0.05084,-0.64948,-0.26337,0.15339,-0.54382,-0.24466,0
peptide_nm_20,-1.2652,-1.088,-0.26135,-0.84376,-0.31306,-0.01416,2.27406,0.28154,1.65665,0.20874,0.18003,-1.32022,-0.31269,-0.30235,0.11525,-1.2798,-1.66752,-0.44425,-1.74864,-2.11688,1.21558,0.78234,0.42412,1.26437,-0.18133,0.28844,-1.83696,0.72612,-0.85116,-0.16958,0
peptide_nm_21,-0.38782,0.93692,1.29443,1.03631,1.27441,-1.33692,-1.08321,-1.02819,-1.19349,-0.79641,1.91747,1.96206,1.84557,1.50545,1.71379,-0.07448,0.13157,0.70349,-0.10517,0.19051,-1.47001,-1.66919,-0.88791,-1.1122,-0.83354,0.99203,2.51047,2.50374,2.29444,2.11562,0
peptide_nm_22,-0.51205,0.11473,0.07072,0.28537,0.13099,-0.13536,0.68865,1.30313,1.14799,1.65858,0.87072,1.38167,1.0888,1.02172,2.41806,0.13265,-0.81436,-0.8349,-2.39293,-2.14193,1.35736,-0.39004,-0.01554,-0.4321,0.18351,1.29578,2.17685,2.16108,1.68305,2.04236,0
peptide_nm_23,0.23621,0.70578,0.51782,0.37129,-0.58249,-0.37024,-0.9715,1.6876,0.91303,1.50865,1.52075,2.53334,1.80105,1.8303,0.9659,0.53402,0.06118,-0.60096,-1.11118,-2.26949,-0.68967,-0.28307,-1.20048,-1.44481,0.17293,2.10275,2.30694,2.06441,2.22504,1.53842,0
peptide_nm_24,0.76863,0.05447,-0.28595,-0.76319,-0.61995,-0.43065,-0.9828,0.06966,-0.17518,-1.23986,1.17323,0.98358,0.57441,0.1037,-0.03133,0.82314,1.00664,0.69922,0.68672,0.68843,-1.48374,-1.30061,-0.89333,-1.20978,-1.022,-0.12213,0.80595,0.53036,-0.03145,0.19606,0
peptide_nm_25,-0.1709,-1.80178,-0.99369,2.00134,-3.715,2.55729,2.04244,-2.38206,5.80574,-1.15452,-1.46837,1.77146,-4.64079,0.18307,-0.27781,1.07919,-1.93146,-2.03318,-2.65456,2.37854,2.91118,2.20341,0.98751,-2.6329,-0.02341,1.08437,-2.83012,-2.36094,1.64241,-0.12973,0
peptide_nm_26,-0.39661,-1.41954,-2.06366,-0.66595,-0.9033,0.80012,0.89406,0.81044,3.15702,2.2046,-0.64261,-2.05176,-2.543,0.02297,-0.36837,2.42134,-3.96384,0.05296,-3.23419,-1.21152,2.79927,0.58018,1.28273,0.73343,0.79474,0.60351,1.46564,1.31031,1.93038,1.20972,0
peptide_nm_27,-0.97838,-0.85699,-0.00063,0.13222,-0.93725,-0.40998,1.14124,-1.35557,0.7054,-0.2761,0.62501,0.25028,1.27401,0.03475,-0.57605,1.83767,-1.03288,1.87587,-0.3596,0.2544,-0.09405,-0.71008,0.83818,-0.89013,2.2367,1.75804,0.23211,1.29538,-0.25722,1.668,0
peptide_nm_28,0.54113,1.25749,1.12062,1.17118,1.48378,-1.71083,-0.45152,-0.50998,-0.92061,-0.43996,1.13893,0.89026,1.18344,2.38588,1.25082,0.2875,-0.01524,-0.93586,0.2113,-0.12378,-0.43522,-0.09494,-0.30242,-2.24767,-0.76357,0.28364,-1e-05,1.19398,0.46372,0.79149,0
peptide_nm_29,-1.96926,-0.26618,-0.90906,-0.60192,-0.55651,0.3723,0.27018,1.4125,1.67146,0.80203,-0.88401,-1.12533,0.14389,-0.22316,-1.2403,-0.50365,-1.9159,-1.38201,-1.2481,-1.90571,1.76153,0.06391,0.72947,1.16581,2.07599,0.90589,-1.27676,-1.93021,-2.52647,-0.48733,0
peptide_nm_30,-1.85963,-0.73915,-1.01067,-0.3413,-1.14141,0.80908,0.89304,0.98894,0.50196,1.20674,0.12972,-1.17419,-0.53513,-0.59953,-1.28763,-0.78138,-0.79823,-1.15091,-1.771,-0.70162,0.71825,0.51151,0.47878,-0.73253,-0.12651,1.35956,1.09117,-0.32525,-0.36391,-0.95031,0
peptide_nm_31,-0.17065,0.38536,0.09903,-0.18569,0.14818,-0.57689,0.3176,-0.49933,-0.15902,-0.20371,0.70301,0.57822,0.32768,0.77322,1.10085,0.59373,-0.56504,0.14879,-0.43198,-0.30526,0.12995,-0.16659,-0.23525,-1.11803,0.02074,1.00011,0.52723,0.36205,0.15862,1.24896,0
peptide_nm_32,-1.17927,-0.80422,-0.6013,-0.94843,-0.32229,0.50663,0.78074,0.77346,0.98451,0.76673,0.15559,-0.45657,-0.85446,0.85589,-0.61995,-1.93458,-0.8042,-1.90554,-1.70491,-0.97927,0.47373,-0.18322,0.15072,0.86478,-0.08805,-0.7578,-0.04541,0.48844,0.38847,0.39523,0
peptide_nm_33,-0.17865,0.56133,0.90282,0.51487,0.73554,-0.62855,0.14664,0.66488,0.91574,0.0637,0.55284,0.90693,-0.18136,-0.03155,-0.1407,-0.3398,-0.90053,-1.7458,-0.95461,-0.15542,1.18349,1.08511,0.60238,0.77258,0.73551,-0.33911,0.04723,-0.4351,0.01364,-0.95028,0
peptide_nm_34,0.94618,1.60049,2.25496,1.34893,1.41393,-2.85033,-1.76214,-1.95184,-0.57628,-1.86916,2.45967,2.75475,3.95038,4.13034,5.7491,3.35353,-0.2539,1.80501,0.83543,-0.20921,-2.39149,-1.88938,-3.70124,-4.14085,-5.80583,2.21723,3.43555,2.3184,2.41744,4.18765,0
peptide_nm_35,-1.71479,-0.29351,-0.97049,0.09144,-0.35585,0.02917,0.83464,1.51947,0.58677,1.88108,0.4511,-0.02106,0.87516,-0.53899,0.80386,0.86401,-1.75404,-2.03278,-2.33502,-2.03802,2.47683,1.24919,-0.69992,1.32208,-0.8158,2.42868,0.96539,1.89941,1.37132,0.76424,0
peptide_nm_36,-0.63388,-0.83994,-0.17616,-0.59331,-0.18857,-0.7579,2.21367,-0.37953,0.5551,-0.87575,1.05716,0.1829,0.95411,1.73532,0.7872,0.54663,-1.76362,-0.77836,-0.53417,0.6735,-0.57529,-1.12449,0.10199,-1.61974,-0.96188,1.80311,0.76342,0.94387,1.26874,2.0909,0
peptide_nm_37,-0.3004,0.86197,0.60838,0.97977,0.61638,-1.04291,-0.12933,-0.00368,-0.54988,-0.07985,1.04045,1.54239,1.24687,0.52038,0.87228,0.05443,-0.52415,-0.45394,-0.13942,-1.04518,0.24258,-0.82583,-0.59499,-0.14127,-0.31898,0.40154,0.99885,0.86889,0.967,1.2766,0
peptide_nm_38,-0.80666,0.32056,0.08588,-0.12858,-0.0375,-0.46706,0.49198,-0.58414,0.4432,0.08098,1.00274,-0.05895,0.32461,-0.11012,-0.06638,-0.53436,-0.89505,-0.41511,-1.05925,-1.94673,-0.23375,0.2503,0.06092,0.18758,0.6182,-0.02901,0.311,0.37359,0.01374,0.36131,0
peptide_nm_39,-0.00613,-0.64755,-1.57037,-0.3692,0.3087,-0.47967,-0.14797,1.69876,1.87283,-0.74339,-0.00392,0.7315,0.9537,-0.83202,-0.88758,0.02304,-0.29358,-1.33406,-0.85544,-0.71182,0.01469,-0.8887,-0.81143,0.57714,-0.4475,-0.69102,0.41733,0.40688,0.37721,0.67758,0
peptide_nm_40,-1.60427,-1.40817,-0.84128,-1.25337,-0.78983,0.89225,-0.47029,0.93819,1.31568,1.44393,-0.04338,-0.90931,0.39854,-0.39447,-0.1085,0.07425,-0.08463,-1.15348,-1.93211,-1.88428,0.60686,0.18209,0.12133,-0.46487,-0.49964,0.7341,1.97064,1.76138,1.62061,1.78918,0
peptide_nm_41,-1.52783,-0.31299,-1.33504,-0.77455,-0.75885,0.17677,1.69611,2.1086,1.72217,0.73294,-0.75514,-0.68453,-0.98834,-1.16874,-1.04621,0.79659,-0.0689,-1.09322,-2.12841,-2.13071,1.93512,0.49508,0.65261,0.67734,0.69831,0.50381,0.49934,0.57961,-1.04826,-1.26483,0
peptide_nm_43,0.51205,-0.17812,-1.1912,-0.4219,-0.57783,2.66863,1.50315,4.14239,3.13905,1.73684,-1.40669,-2.93931,-0.79251,0.20693,-0.99454,0.86774,-1.02425,0.78953,-0.57773,-0.06103,0.58611,0.1637,-0.36826,0.13911,0.18454,1.13167,-0.20296,-0.50661,-0.4739,-0.87716,0
peptide_nm_44,-0.15143,-1.25535,-0.33754,-0.683,-2.10418,0.97039,0.41835,1.20474,0.27174,0.50578,-0.45989,0.09523,-0.3898,0.14723,0.09731,2.15252,-0.38481,-0.81891,-0.6274,0.52902,0.70359,-0.45848,-0.81996,0.04645,-0.0475,0.1086,1.78606,1.80261,2.1748,1.73377,0
peptide_nm_45,-0.13519,-0.45014,0.11257,0.60111,-0.32365,-0.67478,0.67777,-0.30211,-1.01154,0.75642,0.49994,0.09102,0.58041,-0.04163,0.57462,1.06834,-0.14077,-0.12396,-0.34612,-0.38021,-0.11433,-0.31019,-1.09711,-1.65873,-0.64279,-0.33958,0.4311,-0.03315,0.12656,0.87948,0
peptide_nm_46,-0.5912,-0.23635,-0.49386,-0.40423,-0.63137,0.0021,1.57559,1.07743,0.92031,1.16108,0.0823,0.5712,-0.0475,0.77616,0.17536,0.28811,-0.99713,-0.75786,-0.81501,-1.12134,0.71585,-0.20767,-0.18127,-0.2664,0.26172,0.43446,0.52517,0.92366,0.22223,0.00752,0
peptide_nm_47,-1.07532,0.26725,0.30855,0.12298,-0.0238,-0.61947,0.2578,0.12839,-0.00773,0.51962,-0.34993,-0.54343,-0.82184,-0.1876,0.37414,-0.21759,-0.80437,-1.01848,-1.16892,-1.40366,1.52784,0.2815,0.54303,-0.0904,-0.14842,0.50579,-0.71673,-0.70419,-0.89812,-1.11791,0
peptide_nm_48,0.00745,0.98437,1.57781,1.36386,1.00034,-1.06202,0.67743,-1.00315,-0.52219,-0.21557,1.36378,1.46363,1.65237,1.24881,1.06691,-0.53348,-1.53337,-0.16615,-0.84406,-1.77453,-0.14982,-0.22099,-0.74812,-0.23182,0.28037,1.55192,0.78039,0.27678,-0.21108,0.85042,0
peptide_nm_49,-1.74126,-0.43992,-0.44771,-0.8837,-0.86143,-0.54096,1.73726,0.99937,1.28609,0.86711,0.1553,0.23679,-1.14683,-1.25655,-1.47597,-0.62971,-2.00327,-0.68361,-2.38277,-1.96765,2.36305,0.45654,1.95946,1.97643,2.18168,0.34636,0.16171,0.6437,0.06345,-0.53397,0
peptide_nm_50,-1.81341,-0.10058,-0.89885,-0.90219,-0.32321,0.36029,-0.27319,1.42542,0.50011,1.00539,0.156,-0.78912,-0.27157,-1.21356,-0.53012,0.26216,-1.24071,0.35921,-1.59772,-0.51434,0.96663,0.11865,0.72799,0.11061,0.66976,0.93507,-0.06289,0.36608,-0.38295,-0.51962,0
peptide_nm_51,-1.95443,-1.04042,-1.22796,-0.74744,-0.88318,0.84356,1.39809,0.71948,-0.14031,0.84756,-0.61541,-1.14289,-0.89541,-0.25388,-1.10032,0.79058,0.78488,0.86959,0.72837,1.46631,-0.517,0.40728,-0.45765,-0.16483,0.20861,0.05467,0.09036,-0.55918,-1.18964,-1.21514,0
peptide_nm_52,0.08555,0.2306,0.80362,-0.79686,-0.00658,-0.3499,-0.1549,1.06159,0.26678,0.49637,-0.2784,0.32354,0.54917,-0.4271,0.2014,0.06172,-0.35036,-1.27075,-1.91762,-0.58677,1.38731,0.27697,-0.05003,-0.46796,0.5494,-0.90802,-1.15752,-0.81859,0.21576,-1.19468,0
peptide_nm_53,1.11353,-1.3725,-0.82923,-1.12057,-1.17056,0.07168,-0.62447,0.13476,0.16799,0.83183,0.17335,0.11508,0.28653,-0.59207,-0.61861,0.67891,1.06507,1.23213,0.23565,0.19205,-1.83657,-1.98197,-1.07469,-0.77448,-0.50635,0.07384,1.41864,0.93108,1.12926,0.81211,0
peptide_nm_54,0.6508,1.10582,1.28749,1.30229,0.95495,-0.28117,-1.09297,0.25306,-0.80321,-0.29337,0.71817,1.33718,0.27842,0.24311,-0.0597,-1.45387,-0.34646,-0.02596,-0.1158,-0.72505,-0.1438,0.64412,-0.2272,-0.28716,0.26829,-0.82493,0.08165,-0.36598,-0.06768,-0.98318,0
peptide_nm_55,-0.09684,0.21458,1.00131,0.15585,0.92441,-0.47588,-0.17571,-0.72916,-0.33826,0.1695,1.03659,0.99516,1.09353,1.32373,0.95228,1.08571,0.38912,-0.54379,-0.91916,-1.42145,-0.43308,-1.89471,-1.61874,-1.37237,-0.49734,1.12829,2.39722,2.18644,1.89832,2.0149,0
peptide_nm_56,-0.03173,0.46092,0.49896,0.15198,-0.50574,-0.22958,-0.02176,0.19448,0.42575,-0.00716,0.72148,0.5726,0.19691,-0.04754,0.63997,1.2671,-0.66714,0.31855,-0.10701,-0.10916,-0.14546,-1.08305,-0.55307,-0.00997,-0.76449,0.55896,0.35967,0.12243,0.62003,1.14284,0
peptide_nm_57,-1.89264,0.09175,-0.25772,-0.64677,-0.38652,-0.41153,0.36843,1.33196,1.07581,1.45727,0.62117,0.8479,1.25776,1.00415,1.02219,-0.72795,-0.86898,-1.05086,-1.76441,-2.59251,0.93042,-0.59226,0.20988,-0.82678,-0.00928,0.73401,1.80436,2.3077,2.34959,1.96787,0
peptide_nm_58,0.658,0.29171,0.47302,-0.14449,0.29108,-0.41423,-0.6253,0.55666,-0.61662,-0.88226,0.55615,0.18298,0.91446,-0.09887,0.79136,-0.0664,-0.44852,-0.68071,-0.78217,-0.43179,0.12301,-0.00773,-0.79035,-0.52807,1.04579,0.71506,0.20799,0.25917,-0.27934,-0.29123,0
peptide_nm_59,0.94068,-0.03104,-0.69832,1.03537,0.16651,-0.12126,-0.73275,-0.73127,-0.31288,-0.01253,1.10739,0.39626,0.10801,0.92751,0.73548,-0.50902,0.86811,1.00926,0.86218,0.50975,-0.6524,-0.63129,-1.53105,-1.20191,-1.42468,-0.47741,-0.05878,0.84735,0.83665,0.59151,0
peptide_nm_60,0.44131,0.33222,0.85758,0.24085,-0.16,-0.78763,0.39221,-0.91575,0.74302,-0.043,0.45707,1.33347,1.07855,1.18955,0.45231,0.45346,-0.319,-0.13584,-0.96876,-1.09349,0.12552,-0.92466,-0.68995,-0.55978,-0.22611,0.39783,1.06669,0.20575,0.34065,0.39132,0
peptide_nm_61,-1.33258,-0.69801,-0.89316,-0.94756,-0.65278,0.1549,1.16595,-0.38718,1.17505,1.23703,0.18533,-0.34075,-0.59214,-0.29125,-0.20309,0.3868,-1.4469,-1.26201,-1.32653,-1.36909,0.52472,-0.33483,-0.50241,0.22538,-0.39421,0.26393,0.87397,0.81959,0.41033,0.57191,0
peptide_nm_62,-0.60433,0.74013,-0.49737,-0.14529,0.22475,-0.37834,-1.01853,-0.89596,-0.1559,0.0991,1.34189,1.41503,0.86977,0.76376,1.51028,0.51361,1.68596,1.54311,1.02192,0.33758,-0.97947,-1.49005,-1.51396,-2.04847,-2.27771,-0.76304,0.786,0.94902,0.69056,1.13591,0
peptide_nm_63,-1.34084,-0.65392,-0.21676,-0.48291,-0.51826,-0.08711,2.13735,-0.9911,0.51678,0.89035,0.39186,0.53393,0.27764,0.14287,0.83319,0.69552,-1.39471,0.42535,-1.51628,-1.82327,0.06517,-0.79095,-0.03116,1.31258,-0.05875,1.01468,0.86768,-0.39328,0.7959,1.012,0
peptide_nm_64,0.06574,-1.30277,-0.45542,-1.16051,-0.3821,0.85133,1.23529,0.91708,0.91063,0.26794,-0.40848,-1.24272,-0.70567,-0.67665,-0.96777,0.2772,-0.30301,-0.0854,0.0453,-0.2837,-0.54627,-0.15707,-1.16527,-0.5499,-0.15897,0.18522,0.7565,0.12702,0.26112,0.33535,0
peptide_nm_65,0.82539,-0.06074,-0.58192,-1.47081,-0.80984,0.28011,-0.32504,-0.40018,-0.53029,0.91104,0.02894,-1.27923,-0.29045,0.04289,1.18692,0.31802,0.81169,1.34083,1.11326,1.1024,-1.68118,-1.37218,-2.17357,-1.3783,-1.73462,0.33021,1.13596,0.80237,0.67713,0.53005,0
peptide_nm_66,-1.39659,0.39879,0.56682,-0.2143,-0.24013,-0.2461,0.65239,-0.7692,0.25104,0.00295,0.22413,0.80669,-0.34608,1.14057,-0.25164,-0.57568,-0.67988,-0.28262,-1.48181,-1.1906,0.4541,-0.58947,0.40168,0.4258,0.4988,0.87454,-0.2659,1.04944,0.58418,-0.06765,0
peptide_nm_67,-2.19399,-1.17629,-1.14925,-1.60002,-0.88035,1.14637,1.72397,0.90859,1.1664,0.74086,-1.14617,-0.46433,-0.69498,0.20599,-0.14901,-0.40689,-1.84042,-2.15043,-1.66089,-2.09962,2.31715,0.48176,0.73795,0.03988,0.64316,0.13813,-0.55956,-0.65945,-0.10914,-1.65956,0
peptide_nm_68,-0.17598,-1.44751,-0.3378,-0.72171,0.74477,-0.33398,1.01919,0.12696,-0.45355,1.2386,-0.15244,0.47591,1.05425,-1.54476,0.60052,0.98989,-0.2142,-0.80502,-0.52555,-1.25658,0.3191,-0.17926,0.18733,-0.39687,-1.22327,0.59581,-0.92871,-0.39048,1.15801,-0.24287,0
peptide_nm_69,1.00503,0.30701,0.19255,0.47075,0.16364,-0.00826,-0.74975,-0.57502,-0.29494,-0.57583,0.86709,0.22501,0.43281,0.45228,0.26563,-0.03861,0.39163,1.29059,0.50558,0.75438,-0.88367,-1.25026,-1.45758,-0.90647,-0.752,0.35316,0.91542,0.2951,0.4894,0.36137,0
peptide_nm_70,-0.49954,1.07347,1.06507,1.06349,0.48663,-1.47224,-1.18164,-0.69939,-0.75556,-0.15837,0.51382,0.12536,0.05193,-0.91817,-1.27504,0.4747,0.04605,-0.17179,-0.01546,-1.25937,0.10872,-0.65438,0.60451,1.44306,1.55233,0.70045,-0.08875,-0.60071,0.80003,0.38206,0
peptide_nm_71,0.33138,0.20974,-0.77444,0.71536,0.08617,-0.48113,-1.39918,-2.65781,-2.25781,-2.1461,1.17356,1.18788,0.04654,1.00975,2.08109,1.92154,3.14244,3.14294,2.9453,2.7698,-2.14696,-2.41608,-2.07857,-2.13025,-2.18053,-0.45311,0.89627,0.35658,1.1557,1.2102,0
peptide_nm_72,0.5529,0.03727,0.46445,0.31953,0.547,-1.31331,-0.90082,-1.37458,-0.99114,0.46023,0.50855,0.35707,1.36124,-1.09814,1.4168,1.2923,1.27493,0.56281,-0.33214,-0.46421,-0.16482,-0.52807,-1.29686,-0.01532,-1.11104,0.06517,-0.8178,-0.14774,0.75689,-0.50759,0
peptide_nm_73,-1.62537,-0.47437,-0.64676,-0.19728,-0.52256,-0.28687,1.14348,0.33864,0.35637,-0.73375,-0.3558,-0.3009,0.51695,-1.74339,-0.46101,0.26452,0.04118,0.03235,-0.5129,0.47085,0.26942,-0.00539,-0.38825,0.98016,0.2112,1.39713,-1.3281,-2.1014,-0.33726,1.22045,0
peptide_nm_74,0.1794,-0.60953,-0.34479,-0.49214,0.04646,0.87875,2.14724,-0.1365,1.19664,-0.41906,-0.84955,-0.14164,-0.38027,0.8155,-0.18412,0.93525,0.5358,0.71443,0.01588,0.2707,-0.53905,-2.33553,-0.68528,-0.69899,-0.03472,-0.19002,0.66211,0.75758,0.78034,-0.4144,0
peptide_nm_75,0.32537,-0.2104,-0.43977,-1.33381,-0.18828,1.60742,1.07141,-0.32467,-0.6484,-0.13648,-1.12133,-1.48615,-0.45266,-1.52528,-0.78946,2.35959,2.89769,2.97009,2.56372,2.31496,-2.53862,-1.57817,-1.24067,-1.38822,-1.38933,-0.55477,0.4579,0.1783,-0.18723,-0.26826,0
peptide_nm_76,-0.51311,-2.01687,-0.24364,-1.6363,-0.35289,0.73966,0.13223,1.28666,0.14329,0.91805,0.07781,-0.4762,-0.31837,-0.37546,-0.65888,1.96088,0.07838,0.18592,0.04973,0.51836,0.14089,0.80276,-0.46468,-0.13343,0.63513,0.00062,1.26104,1.23927,1.02949,1.03684,0
peptide_nm_77,0.06741,-1.2315,-0.90404,-1.45196,-0.93865,1.07601,1.00248,0.46972,0.46933,0.76909,-0.71788,-0.50194,-0.87178,1.07736,-0.46704,0.05207,0.10819,-0.29062,-0.23569,0.70531,-0.29299,-1.00507,-0.79228,-0.41644,-1.70579,0.71581,0.73507,0.64857,0.66495,0.53825,0
peptide_nm_78,-0.03321,-0.05191,-0.85573,-0.17271,0.52429,0.3194,-0.10519,1.56609,0.24953,0.46159,-0.17393,0.44246,-0.40904,-0.80973,-0.28975,0.12637,-0.8392,-0.46897,-0.87303,-0.93917,-0.00758,-0.23578,0.21468,0.57805,-0.8231,-0.56858,0.55255,0.33586,0.46515,0.21977,0
