,CTDC_hydrophobicity_PRAM900101.G1,CTDC_hydrophobicity_PRAM900101.G2,CTDC_hydrophobicity_PRAM900101.G3,CTDC_hydrophobicity_ARGP820101.G1,CTDC_hydrophobicity_ARGP820101.G2,CTDC_hydrophobicity_ARGP820101.G3,CTDC_hydrophobicity_ZIMJ680101.G1,CTDC_hydrophobicity_ZIMJ680101.G2,CTDC_hydrophobicity_ZIMJ680101.G3,CTDC_hydrophobicity_PONP930101.G1,CTDC_hydrophobicity_PONP930101.G2,CTDC_hydrophobicity_PONP930101.G3,CTDC_hydrophobicity_CASG920101.G1,CTDC_hydrophobicity_CASG920101.G2,CTDC_hydrophobicity_CASG920101.G3,CTDC_hydrophobicity_ENGD860101.G1,CTDC_hydrophobicity_ENGD860101.G2,CTDC_hydrophobicity_ENGD860101.G3,CTDC_hydrophobicity_FASG890101.G1,CTDC_hydrophobicity_FASG890101.G2,CTDC_hydrophobicity_FASG890101.G3,CTDC_normwaalsvolume.G1,CTDC_normwaalsvolume.G2,CTDC_normwaalsvolume.G3,CTDC_polarity.G1,CTDC_polarity.G2,CTDC_polarity.G3,CTDC_polarizability.G1,CTDC_polarizability.G2,CTDC_polarizability.G3,CTDC_charge.G1,CTDC_charge.G2,CTDC_charge.G3,CTDC_secondarystruct.G1,CTDC_secondarystruct.G2,CTDC_secondarystruct.G3,CTDC_solventaccess.G1,CTDC_solventaccess.G2,CTDC_solventaccess.G3,y
peptide_nm_19,0.54421,-0.0253,-0.4767,-0.76452,1.76687,-0.86403,-0.18076,1.06834,-0.74934,0.33082,0.3008,-0.64976,-0.19646,1.01909,-1.004,0.71081,-0.46492,-0.28509,-0.07716,-0.13907,0.19646,-0.16286,0.13341,0.04282,-0.64976,0.26572,0.39957,-0.45016,0.43303,0.04282,0.28323,-0.12306,-0.22609,1.12857,-0.9902,-0.50845,-0.66484,0.54421,0.24141,0
peptide_nm_20,1.38085,-0.0253,-1.25081,0.7985,0.31882,-1.21886,1.06899,-0.22206,-1.14266,0.33082,0.72576,-1.04309,1.03475,0.25614,-1.46187,1.48991,-0.46492,-1.09756,0.34029,0.80746,-1.03475,-0.16286,0.91595,-0.57997,-1.04309,-0.11431,1.23836,-0.08812,0.82459,-0.57997,-0.13657,-0.98026,1.52401,-0.09539,-0.59119,0.75571,-0.66484,1.38085,-0.66997,0
peptide_nm_21,-1.50091,1.63726,-0.34768,1.59737,-1.04879,-0.78518,1.27728,-1.03453,-0.66194,0.11667,0.41885,-0.51864,0.44195,0.80716,-1.46187,-1.97277,2.24929,-0.14967,-1.70057,2.43761,-0.44195,1.38771,0.28557,-1.49686,-0.51864,1.99696,-1.65083,1.92321,-0.19782,-1.49686,-1.39597,2.01993,-0.80945,-0.58837,-0.50252,1.34096,0.26324,-1.50091,1.30468,0
peptide_nm_22,-0.71075,1.06955,-0.4767,1.73631,-1.12923,-0.86403,1.38142,-0.65219,-1.14266,-0.37002,1.15071,-0.64976,1.03475,-0.8883,-0.08825,-1.23695,2.01927,-0.69132,-0.91206,2.22727,-1.03475,1.53899,-0.25786,-1.20276,-0.64976,1.4058,-0.85863,2.08412,-0.74165,-1.20276,-0.97617,0.73413,0.35728,-1.93133,0.20682,2.44125,1.15097,-0.71075,-0.66997,0
peptide_nm_23,-0.17623,1.63726,-1.57336,1.59737,-0.28454,-1.53427,1.27728,-0.12648,-1.49227,1.59624,-0.47828,-1.34902,1.30835,-0.40085,-0.97856,-0.328,1.81225,-1.43609,0.94327,0.43937,-1.30835,1.74699,-1.36645,-0.51077,-1.34902,1.59582,-0.32273,2.30536,-1.85108,-0.51077,-0.50972,-0.24212,1.03787,-1.23435,0.761,0.89617,-1.27011,-0.17623,1.78568,0
peptide_nm_24,-0.17623,0.48158,-0.34768,0.93743,-1.04879,-0.03609,0.94748,-1.48856,0.1684,0.48657,-0.47828,-0.10346,0.00874,0.00182,-0.01194,-0.328,0.50115,-0.14967,0.94327,-1.05932,-0.00874,-0.0494,1.11158,-0.83947,-0.10346,0.39239,-0.32273,0.3946,0.62881,-0.83947,-0.95285,0.6627,0.42209,0.05761,0.33982,-0.43822,-0.50343,-0.17623,0.82367,0
peptide_nm_25,0.7952,1.94544,-2.79903,-0.51444,-1.20164,1.76174,-0.30573,-1.94259,2.1612,0.19065,-0.20914,-0.02042,0.78851,0.48502,-1.46187,4.60633,-2.12105,-2.72251,0.59076,0.23954,-0.78851,0.38173,-2.60547,1.72435,-0.02042,-0.57035,0.65121,-0.52257,-1.60309,1.72435,0.19927,-1.23742,1.40733,-1.68653,0.84523,1.42992,-3.57014,0.7952,3.61349,0
peptide_nm_26,1.59001,-1.22443,-0.17259,1.69165,-2.08598,0.12443,1.13594,-1.35884,-0.18746,1.33203,-1.82397,0.19311,0.56572,-0.86105,0.40233,1.43426,-0.99725,-0.51722,1.38391,-0.91658,-0.56572,0.10458,0.58057,-0.55773,0.19311,-1.4987,1.44806,0.55838,0.09741,-0.55773,-1.39597,-1.47008,3.94081,-1.60348,0.52033,1.65868,-1.10582,1.59001,-0.34448,0
peptide_nm_27,0.45457,0.75674,-1.22317,1.69165,-1.59468,-0.35713,0.71192,-0.77509,-0.18746,2.28318,-1.24725,-1.40834,2.23663,-2.41421,0.40233,0.37691,0.68845,-1.06854,1.38391,1.01029,-2.23663,1.49036,-1.01245,-0.55773,-1.40834,1.08006,0.30969,1.54106,-0.9654,-0.55773,-0.25651,-0.30675,0.77397,-1.60348,0.52033,1.65868,-1.59869,0.45457,1.51082,0
peptide_nm_28,-0.17623,-0.28888,0.46943,0.27749,0.09759,-0.41063,-0.37169,0.78158,-0.24677,0.48657,-0.92685,0.31173,0.00874,0.80716,-0.97856,-0.328,-0.37291,0.70794,-0.37865,0.43937,-0.00874,-0.0494,1.11158,-0.83947,0.31173,-0.00875,-0.32273,0.01244,1.04212,-0.83947,-0.50972,0.6627,-0.19368,-0.58837,-0.50252,1.34096,-0.1201,-0.17623,0.34267,0
peptide_nm_29,2.91469,-0.6741,-1.98192,0.93743,0.09759,-1.15972,0.94748,-0.12648,-1.07711,1.96613,-0.47828,-1.76421,2.17475,-1.2062,-0.97856,2.55036,-0.80995,-1.8649,2.70583,-0.55976,-2.17475,-0.40868,-0.12744,0.47531,-1.76421,-0.81103,2.77616,0.01244,-0.61113,0.47531,1.26277,-2.50416,1.65364,0.70359,-0.9237,0.00658,-2.42013,2.91469,-0.13833,0
peptide_nm_30,0.09974,1.25203,-1.42015,0.89619,-0.42783,-0.59791,1.40095,-1.43181,-0.45435,0.0242,1.20383,-1.14143,0.98345,-0.60219,-0.37442,0.44299,0.82893,-1.27529,-1.09469,2.37516,-0.98345,1.43262,-1.21158,-0.34643,-1.14143,1.14453,-0.04605,1.11113,-0.76613,-0.34643,-0.39894,0.49305,-0.11671,-1.03248,0.18188,1.22977,-0.55135,0.09974,0.58317,0
peptide_nm_31,-0.5139,0.84414,-0.41978,0.56864,-0.75657,0.09611,-0.0613,-0.26001,0.31493,0.66063,-0.39912,-0.37211,0.92611,-1.13514,0.32923,-0.18287,0.42403,-0.22534,-0.01577,1.08586,-0.92611,1.21864,-0.85627,-0.43343,-0.37211,0.95871,-0.66127,0.93411,-0.46526,-0.43343,-0.223,0.10384,0.16854,-1.48134,0.71145,1.28864,-0.32304,-0.5139,0.96514,0
peptide_nm_32,0.26533,0.67419,-0.96052,0.77245,-0.28454,-0.59791,0.2879,0.10054,-0.45435,0.30162,0.19456,-0.51864,0.65855,0.00182,-0.73691,0.90558,-0.1544,-0.79288,-1.25993,2.18783,-0.65855,0.48952,0.49207,-0.83947,-0.51864,0.39239,0.11997,-0.17863,1.24878,-0.83947,-0.73128,0.6627,0.11421,-0.91136,-0.29194,1.56336,-0.1201,0.26533,-0.13833,0
peptide_nm_33,0.67292,-0.08145,-0.53625,-0.33168,1.12639,-0.72756,0.97285,-0.68528,-0.59807,-0.42394,1.28147,-0.71027,-0.89098,1.4886,-0.79267,0.05157,0.29944,-0.34758,0.46874,-1.55888,0.89098,0.28224,0.82565,-0.91532,-0.71027,0.20725,0.52861,0.74735,0.34267,-0.91532,-0.16886,-0.48572,0.89577,1.62286,-1.02089,-1.15673,0.67607,0.67292,-1.58134,0
peptide_nm_34,-1.24859,0.75674,0.3527,1.69165,-0.61207,-1.32024,0.71192,0.39241,-1.25503,1.33203,-1.82397,0.19311,0.56572,0.69211,-1.46187,-1.7378,1.25035,0.58542,-1.44878,2.29488,-0.56572,1.49036,0.58057,-1.82556,0.19311,1.08006,-1.39786,2.0324,0.09741,-1.82556,-1.39597,0.85659,0.77397,-2.01875,3.22787,-0.62884,-0.61296,-1.24859,2.12925,0
peptide_nm_35,0.5965,1.25203,-1.87978,1.2674,-0.42783,-1.01927,1.40095,-0.92103,-0.92142,1.27259,0.19456,-1.60852,1.4708,-0.60219,-0.91815,0.90558,0.82893,-1.75769,0.88819,0.68915,-1.4708,2.64518,-2.14084,-0.71621,-1.60852,1.14453,0.45199,2.4009,-1.69608,-0.71621,-0.39894,-1.03383,1.96153,-1.03248,-0.29194,1.73016,-1.41386,0.5965,1.1243,0
peptide_nm_36,0.92767,0.09635,-0.96052,2.25732,-2.0041,-0.59791,1.77197,-1.94259,-0.45435,1.96613,-1.15113,-1.14143,1.95815,-2.41421,0.71303,0.28879,0.50115,-0.79288,2.04487,-0.06019,-1.95815,0.48952,0.49207,-0.83947,-1.14143,0.39239,0.78402,0.96783,0.00884,-0.83947,-0.73128,-0.69452,1.96153,-1.39584,0.33982,1.56336,-1.84512,0.92767,1.30468,0
peptide_nm_37,-0.52384,0.4406,0.01741,0.69873,-0.3821,-0.4186,0.47735,-0.37764,-0.2556,-0.06434,0.23751,-0.14762,0.0917,0.20744,-0.35128,-0.74794,0.55694,0.23352,-0.89429,1.11962,-0.0917,0.82204,0.39981,-1.07026,-0.14762,0.75086,-0.67124,0.88245,0.39137,-1.07026,-0.88685,0.80709,0.13386,-0.74643,-0.25161,1.29365,0.39374,-0.52384,0.07658,0
peptide_nm_38,0.26533,0.35317,-0.62006,1.37739,-0.28454,-1.28457,1.05742,-0.12648,-1.21549,0.97975,-0.6278,-0.51864,0.73075,-0.80353,0.14917,-0.05387,0.50115,-0.43554,1.23703,-0.55976,-0.73075,1.14819,-0.12744,-0.94903,-0.51864,0.39239,0.11997,0.64937,0.49104,-0.94903,-0.80514,-0.39292,1.65364,-0.05005,0.05904,0.00658,-1.01455,0.26533,0.98401,0
peptide_nm_39,0.54421,-0.39025,-0.08965,0.4859,-0.0432,-0.5092,-0.18076,0.6382,-0.35603,0.33082,-0.54911,0.13692,-0.19646,1.01909,-1.004,1.10036,-1.29298,0.12115,-0.91206,0.80746,0.19646,-0.84359,1.69848,-0.57997,0.13692,-0.87437,0.81896,-0.8122,1.60771,-0.57997,-0.97617,0.30554,0.94064,-0.40138,-0.19218,0.75571,-0.66484,0.54421,0.24141,0
peptide_nm_40,0.36723,1.51872,-1.95049,1.72429,-0.72545,-1.24616,1.42949,-0.68528,-1.17291,1.11254,0.97092,-2.14746,1.20838,-0.74158,-0.45807,1.19026,0.60201,-1.83191,0.77379,0.51622,-1.20838,1.5259,-0.60398,-0.91532,-2.14746,1.04039,1.14158,1.27649,-0.22961,-0.91532,-1.39597,-0.48572,2.60099,-0.166,-1.02089,1.30675,-1.18165,0.36723,1.08267,0
peptide_nm_41,1.87387,-0.97678,-0.69788,0.41891,-0.12077,-0.35713,0.2879,-0.19134,-0.18746,1.09424,-0.67052,-0.60761,1.12269,-0.60219,-0.52977,1.6986,-1.2782,-0.51722,2.23372,-1.23773,-1.12269,-0.35735,-0.48144,0.71009,-0.60761,-0.98295,1.73266,-0.17863,-0.6997,0.71009,0.59808,-2.05175,1.96153,0.68052,-1.1042,0.22898,-1.84512,1.87387,0.27396,0
peptide_nm_43,-0.39701,0.67419,-0.34768,-0.71242,0.28865,0.52573,0.2879,-0.58051,0.1684,-1.36289,1.54026,0.10414,-0.64106,0.00182,0.71303,0.90558,-0.1544,-0.79288,-0.59897,-0.06019,0.64106,-0.0494,-1.98596,1.62575,0.10414,-0.20932,0.11997,-0.17863,-1.85108,1.62575,-0.0666,-0.01591,0.11421,-0.91136,0.97158,0.22898,-0.1201,-0.39701,0.58317,0
peptide_nm_44,-0.17623,0.48158,-0.34768,-0.05248,0.47971,-0.41063,0.2879,-0.12648,-0.24677,-0.25322,0.86741,-0.51864,-1.29086,1.6125,-0.49525,0.49439,-0.37291,-0.14967,-0.37865,-1.05932,1.29086,0.66916,-0.54044,-0.18208,-0.51864,-0.00875,0.56267,0.77675,-0.61113,-0.18208,-1.39597,0.6627,1.03787,0.70359,-0.9237,0.00658,-0.1201,-0.17623,0.34267,0
peptide_nm_45,-0.19146,0.41516,-0.26315,-0.06386,-0.20548,0.27388,-0.01915,-0.53354,0.51198,0.28249,0.12496,-0.43274,-0.1257,0.08513,0.03806,0.52275,-0.49347,-0.06095,-0.12034,-0.00852,0.1257,0.47093,0.47071,-0.80547,-0.43274,0.47539,-0.06322,-0.00073,1.01362,-0.80547,-0.84588,0.3351,0.71937,-0.04263,-0.35729,0.43604,-0.23906,-0.19146,0.50853,0
peptide_nm_46,0.7952,0.32749,-1.08309,0.87144,-0.05526,-0.935,0.68365,-0.03567,-0.82801,0.85646,0.19456,-1.14143,0.65855,0.00182,-0.73691,0.78223,0.10782,-0.92152,1.11953,-0.5098,-0.65855,0.38173,0.12037,-0.44504,-1.14143,0.15171,1.04963,0.73853,-0.23915,-0.44504,-0.33247,-0.5588,1.2226,0.3483,-0.9237,0.49585,-0.81011,0.7952,0.15027,0
peptide_nm_47,1.74897,-0.96687,-0.59282,0.55467,-0.10112,-0.53049,0.2879,0.01881,-0.37962,0.98962,-0.53211,-0.61829,1.10041,-0.52971,-0.59191,1.20164,-0.86239,-0.40696,1.38391,-0.29998,-1.10041,-0.52365,0.66554,-0.0506,-0.61829,-0.85917,1.60744,-0.10985,0.18243,-0.0506,0.67784,-1.40028,0.96398,0.29016,-0.82261,0.46917,-1.08611,1.74897,-0.54238,0
peptide_nm_48,0.06153,0.98533,-1.10195,1.03896,0.06819,-1.24616,0.97285,-0.05663,-1.17291,1.11254,0.03929,-1.28515,0.90847,-0.18403,-0.79267,-0.51778,1.50969,-0.94131,0.46874,0.51622,-0.90847,1.27716,-0.31805,-0.91532,-1.28515,1.3181,-0.08436,1.80562,-0.80189,-0.91532,-0.16886,0.14069,0.04316,-0.61322,-0.43773,1.30675,-0.38548,0.06153,0.41667,0
peptide_nm_49,2.08676,-0.91487,-0.96052,1.2674,0.00206,-1.44063,1.77197,-0.92103,-1.38848,0.44033,0.6992,-1.14143,0.98345,-0.14919,-0.91815,1.36818,-0.64606,-0.79288,1.38391,-0.43487,-0.98345,-0.18413,1.57621,-1.08599,-1.14143,-0.6606,1.9461,0.25129,1.09379,-1.08599,-0.39894,-2.05175,3.34702,0.42097,-0.76576,0.22898,-0.55135,2.08676,-1.58134,0
peptide_nm_50,0.1449,0.93684,-1.12766,0.99743,-1.01405,-0.13823,0.82756,-1.19964,0.05517,0.55382,0.37807,-0.97158,1.42649,-0.76692,-0.671,0.56915,0.38196,-0.9683,0.30234,1.30224,-1.42649,1.32239,-0.9159,-0.48089,-0.97158,0.9394,-0.00077,0.91571,-0.38569,-0.48089,-0.3083,-0.20099,0.70199,-0.47092,-0.46423,1.13878,-0.74738,0.1449,0.77995,0
peptide_nm_51,1.44282,-0.41728,-0.89243,1.15741,-0.79404,-0.53548,1.49714,-1.63991,-0.38516,0.48657,0.56837,-1.07223,1.01955,-0.53508,-0.49525,1.04265,-0.37291,-0.72141,0.64951,0.43937,-1.01955,-0.76796,1.24925,-0.29164,-1.07223,-0.40989,1.59563,-0.36971,0.76658,-0.29164,-0.21431,0.21029,0.01158,1.02658,-0.50252,-0.88301,-1.01455,1.44282,-0.29867,0
peptide_nm_52,-0.17623,-0.6741,0.87799,-0.38245,-0.66666,1.08755,-0.37169,-1.03453,1.4139,-0.993,0.41885,0.72692,-0.85766,-0.40085,1.438,-0.73919,-0.37291,1.13675,-0.37865,-0.55976,0.85766,-0.40868,0.69858,-0.18208,0.72692,-0.40989,-0.32273,0.01244,0.2155,-0.18208,-0.0666,-0.24212,0.42209,0.05761,0.33982,-0.43822,1.41326,-0.17623,-1.58134,0
peptide_nm_53,-1.39052,0.96311,0.26515,0.03002,0.00206,-0.03609,-0.45414,0.44106,0.1684,-0.53064,0.19456,0.41553,-0.96596,0.90783,-0.01194,-0.328,-0.1544,0.49354,-0.92945,-0.06019,0.96596,-0.0494,-0.12744,0.14662,0.41553,0.09154,-0.54408,-0.17863,0.00884,0.14662,-1.06363,1.00201,0.11421,-0.18463,0.6557,-0.43822,-0.4076,-1.39052,2.02618,0
peptide_nm_54,-0.39701,0.67419,-0.34768,-0.71242,0.86184,-0.03609,0.2879,-0.58051,0.1684,-0.25322,0.86741,-0.51864,-1.29086,1.20983,-0.01194,-0.94479,1.1567,-0.14967,0.06199,-1.55888,1.29086,0.48952,-0.12744,-0.34643,-0.51864,0.99411,-0.54408,0.96783,-0.61113,-0.34643,-0.0666,-0.01591,0.11421,1.51106,-0.9237,-1.10541,1.02992,-0.39701,-0.85984,0
peptide_nm_55,-1.44896,1.86386,-0.63608,0.39395,-0.55427,0.09611,0.46249,-0.98112,0.31493,0.26898,0.55078,-0.81172,-0.2206,0.99665,-0.95013,-0.61825,1.11814,-0.45236,-1.18217,1.08586,0.2206,1.97946,-0.85627,-1.12949,-0.81172,1.80819,-1.13001,1.74337,-0.46526,-1.12949,-1.39597,1.06189,0.49454,-0.45537,-0.40342,1.05316,0.08285,-1.44896,1.47444,0
peptide_nm_56,-0.19146,0.17605,-0.00957,0.96019,-0.91702,-0.19107,1.00435,-1.09716,-0.26109,0.0529,0.12496,-0.17504,0.41207,-0.66467,0.33805,-0.49815,0.59157,-0.06095,0.15316,0.30156,-0.41207,0.47093,0.47071,-0.80547,-0.17504,0.47539,-0.338,0.71086,0.244,-0.80547,-0.84588,0.3351,0.71937,-0.84453,0.68838,0.43604,0.2368,-0.19146,-0.08857,0
