,Hopp_woods,y
peptide_nm_72,-0.42725,0
peptide_nm_73,-0.18236,0
peptide_nm_74,-0.85823,0
peptide_nm_75,0.02533,0
peptide_nm_76,-0.69904,0
peptide_nm_77,-1.00882,0
peptide_nm_78,-0.07896,0
peptide_nm_79,-0.92082,0
peptide_nm_80,-1.32818,0
peptide_nm_81,-0.50226,0
peptide_nm_82,-0.90162,0
peptide_nm_83,-0.78958,0
peptide_nm_84,-0.84257,0
peptide_nm_85,0.11509,0
peptide_nm_86,0.04799,0
peptide_nm_87,-1.14742,0
peptide_nm_88,1.09678,0
peptide_nm_89,-0.7824,0
peptide_nm_90,-0.98564,0
peptide_nm_91,-1.29303,0
peptide_nm_92,0.2209,0
peptide_nm_93,-0.62284,0
peptide_nm_94,-0.7854,0
peptide_nm_95,-1.07279,0
peptide_nm_96,-0.4532,0
peptide_nm_97,0.18239,0
peptide_nm_98,0.00788,0
peptide_nm_99,1.16689,0
peptide_nm_100,-1.40954,0
peptide_nm_101,-0.28505,0
peptide_nm_102,-0.23651,0
peptide_nm_103,-1.01131,0
peptide_nm_104,0.16766,0
peptide_nm_105,-1.12146,0
peptide_nm_106,0.62557,0
peptide_nm_107,-0.89397,0
peptide_nm_108,-0.32316,0
peptide_nm_109,0.07331,0
peptide_nm_110,-0.27814,0
peptide_nm_111,-1.00514,0
peptide_nm_112,-0.80066,0
peptide_nm_113,-1.02458,0
peptide_nm_114,-0.30969,0
peptide_nm_115,-0.33369,0
peptide_nm_116,-0.18005,0
peptide_nm_117,0.06981,0
peptide_nm_118,-0.75835,0
peptide_nm_119,0.28047,0
peptide_nm_120,0.69545,0
peptide_nm_121,-1.01694,0
peptide_nm_122,-0.99129,0
peptide_nm_123,-0.00933,0
peptide_nm_124,-0.10188,0
peptide_nm_125,-0.16366,0
peptide_nm_126,-0.65579,0
peptide_nm_127,-0.13125,0
peptide_nm_128,0.43402,0
peptide_nm_129,-0.6208,0
peptide_nm_130,-0.64307,0
peptide_nm_131,0.24729,0
peptide_nm_132,-0.19424,0
peptide_nm_133,0.8171,0
peptide_nm_134,-0.89837,0
peptide_nm_135,-0.92857,0
peptide_nm_136,-0.26304,0
peptide_nm_137,-1.34462,0
peptide_nm_138,-0.30451,0
peptide_nm_139,-0.57702,0
peptide_nm_140,-0.46877,0
peptide_nm_141,-1.11292,0
peptide_nm_142,-1.36365,0
peptide_nm_143,0.45811,0
peptide_nm_144,-0.97088,0
peptide_nm_145,-0.7314,0
peptide_nm_146,0.0518,0
peptide_nm_147,0.27105,0
peptide_nm_148,-0.90724,0
peptide_nm_149,-0.77765,0
peptide_nm_150,-0.69284,0
peptide_nm_151,-0.41675,0
peptide_nm_152,-0.80019,0
peptide_nm_153,-0.70582,0
peptide_nm_154,-0.50682,0
peptide_nm_155,-0.67654,0
peptide_nm_156,-0.62757,0
peptide_nm_157,0.28606,0
peptide_nm_158,0.25423,0
peptide_nm_159,-0.99251,0
peptide_nm_160,-0.58524,0
peptide_nm_161,0.22822,0
peptide_nm_162,-0.33118,0
peptide_nm_163,-0.49028,0
peptide_nm_164,-1.00878,0
peptide_nm_165,-0.3608,0
peptide_nm_166,-1.0315,0
peptide_nm_167,-1.09484,0
peptide_nm_168,-0.96607,0
peptide_nm_169,-0.48397,0
peptide_nm_170,-0.13945,0
peptide_nm_171,-1.03148,0
peptide_nm_172,-0.17627,0
peptide_nm_173,-0.56986,0
peptide_nm_174,-0.14648,0
peptide_nm_175,0.08981,0
peptide_nm_176,-0.70968,0
peptide_nm_177,-0.58916,0
peptide_nm_178,0.05746,0
peptide_nm_179,-1.09622,0
peptide_nm_180,-0.39919,0
peptide_nm_181,-0.907,0
peptide_nm_182,-0.83868,0
peptide_nm_183,-1.07367,0
peptide_nm_184,-1.20866,0
peptide_nm_185,-0.49473,0
peptide_nm_186,-0.99442,0
peptide_nm_187,0.30572,0
peptide_nm_188,0.01576,0
peptide_nm_189,-1.06029,0
peptide_nm_190,0.05491,0
peptide_nm_191,-1.11945,0
peptide_nm_192,0.01157,0
peptide_nm_193,0.68765,0
peptide_nm_194,-0.52641,0
peptide_nm_195,0.62497,0
peptide_nm_196,-0.63342,0
peptide_nm_197,-1.16729,0
peptide_nm_198,0.27776,0
peptide_nm_199,0.01429,0
peptide_nm_200,0.14152,0
peptide_nm_201,-1.20036,0
peptide_nm_202,-0.22806,0
peptide_nm_203,-0.85666,0
peptide_nm_204,-0.82072,0
peptide_nm_205,-0.62138,0
peptide_nm_206,0.25931,0
peptide_nm_207,-0.6316,0
peptide_nm_208,0.07208,0
peptide_nm_209,-0.51256,0
peptide_nm_210,-0.40381,0
peptide_nm_211,-0.10826,0
peptide_nm_212,0.36469,0
peptide_nm_213,-1.05571,0
peptide_nm_214,0.95464,0
peptide_nm_215,-0.74947,0
peptide_nm_216,-0.12281,0
peptide_nm_217,-0.4115,0
peptide_nm_218,-0.875,0
peptide_nm_219,0.15884,0
peptide_nm_220,0.51752,0
peptide_nm_221,0.62304,0
peptide_nm_222,-0.40638,0
peptide_nm_223,0.36702,0
peptide_nm_224,-1.18134,0
peptide_nm_225,-0.41553,0
peptide_nm_226,-0.96844,0
peptide_nm_227,-0.30458,0
peptide_nm_228,0.28446,0
peptide_nm_229,0.12889,0
peptide_nm_230,-0.35415,0
peptide_nm_231,1.48099,0
peptide_nm_232,-0.90402,0
peptide_nm_233,0.01249,0
peptide_nm_234,-0.99909,0
peptide_nm_235,0.41231,0
peptide_nm_236,-1.23928,0
peptide_nm_237,-0.25564,0
peptide_nm_238,-1.34469,0
peptide_nm_239,-0.57381,0
peptide_nm_240,-1.20418,0
peptide_nm_241,0.019,0
peptide_nm_242,-0.96161,0
peptide_nm_243,-0.6133,0
peptide_nm_244,-0.90992,0
peptide_nm_245,-0.09806,0
peptide_nm_246,-0.21674,0
peptide_nm_247,-0.87442,0
peptide_nm_248,0.13383,0
peptide_nm_249,-0.15497,0
peptide_nm_250,-0.6872,0
peptide_nm_251,-0.82503,0
peptide_nm_252,0.17974,0
peptide_nm_253,0.64449,0
peptide_nm_254,-1.23879,0
peptide_nm_255,-0.92395,0
peptide_nm_256,-1.33544,0
peptide_nm_257,0.32465,0
peptide_nm_258,-0.56601,0
peptide_nm_259,0.24126,0
peptide_nm_260,-1.18092,0
peptide_nm_261,-1.20035,0
peptide_nm_262,-1.02198,0
peptide_nm_263,-1.2136,0
peptide_nm_264,-0.12855,0
peptide_nm_265,-0.34627,0
peptide_nm_266,-0.25264,0
peptide_nm_267,-0.99753,0
peptide_nm_268,-1.01928,0
peptide_nm_269,-0.91002,0
peptide_nm_270,1.8773,0
peptide_nm_271,0.28788,0
peptide_nm_272,-0.58324,0
peptide_nm_273,-0.89824,0
peptide_nm_274,-0.03268,0
peptide_nm_275,0.107,0
peptide_nm_276,-1.15843,0
peptide_nm_277,-0.70835,0
peptide_nm_278,-1.07748,0
peptide_nm_279,-1.08029,0
peptide_nm_280,-0.38646,0
peptide_nm_281,0.29136,0
peptide_nm_282,-0.75509,0
peptide_nm_283,0.64126,0
peptide_nm_284,-0.7119,0
peptide_nm_285,0.28113,0
peptide_nm_286,-0.73505,0
peptide_nm_287,-0.80143,0
peptide_nm_288,-0.3441,0
peptide_nm_289,0.60391,0
peptide_nm_290,-0.00716,0
peptide_nm_291,-1.33523,0
peptide_nm_292,-0.69222,0
peptide_nm_293,0.3967,0
peptide_nm_294,-0.30255,0
peptide_nm_295,-1.07448,0
peptide_nm_296,-0.35073,0
peptide_nm_297,0.31135,0
peptide_nm_298,0.26523,0
peptide_nm_299,-0.89157,0
peptide_nm_300,-0.97113,0
peptide_nm_301,0.9243,0
peptide_nm_302,-0.41323,0
peptide_nm_303,-0.67517,0
peptide_nm_304,-1.21157,0
peptide_nm_305,0.08219,0
peptide_nm_306,-0.91298,0
peptide_nm_307,-0.93155,0
peptide_nm_308,0.677,0
peptide_nm_309,0.24101,0
peptide_nm_310,-0.1553,0
peptide_nm_311,-1.17511,0
peptide_nm_312,-0.73382,0
peptide_nm_313,-0.28408,0
peptide_nm_314,-0.68179,0
peptide_nm_315,-0.40873,0
peptide_nm_316,-0.58567,0
peptide_nm_317,-0.33321,0
peptide_nm_318,-0.84456,0
peptide_nm_319,-0.41265,0
peptide_nm_320,-1.14568,0
peptide_nm_321,-0.80053,0
peptide_nm_322,1.17952,0
peptide_nm_323,-0.11307,0
peptide_nm_324,-0.72739,0
peptide_nm_325,-1.00453,0
peptide_nm_326,-0.60694,0
peptide_nm_327,-0.64473,0
peptide_nm_328,0.11516,0
peptide_nm_329,-1.43599,0
peptide_nm_330,-0.30751,0
peptide_nm_331,-0.40319,0
peptide_nm_332,-1.167,0
peptide_nm_333,-1.06276,0
peptide_nm_334,0.30629,0
peptide_nm_335,-0.56464,0
peptide_nm_336,0.40955,0
peptide_nm_337,-0.08038,0
peptide_nm_338,-1.1833,0
peptide_nm_339,-0.91178,0
peptide_nm_340,-0.15062,0
peptide_nm_341,-0.54926,0
peptide_nm_342,-0.62734,0
peptide_nm_343,0.16974,0
peptide_nm_344,-0.4122,0
peptide_nm_345,-0.51507,0
peptide_nm_346,-0.632,0
peptide_nm_347,-0.25453,0
peptide_nm_348,-1.04652,0
peptide_nm_349,-0.03502,0
peptide_nm_350,-1.1204,0
peptide_nm_351,-0.87429,0
peptide_nm_352,-0.92263,0
peptide_nm_353,-0.96894,0
peptide_nm_354,-0.54332,0
peptide_nm_355,-0.8835,0
peptide_nm_356,-0.76653,0
peptide_nm_357,-1.00412,0
peptide_nm_358,-1.17381,0
peptide_nm_359,-0.37132,0
peptide_nm_360,-0.31595,0
peptide_nm_361,-1.28265,0
peptide_nm_362,-0.90212,0
peptide_nm_363,0.8703,0
peptide_nm_364,-0.38776,0
peptide_nm_365,-0.34307,0
peptide_nm_366,-0.44169,0
peptide_nm_367,0.44062,0
peptide_nm_368,0.05465,0
peptide_nm_369,-0.08173,0
peptide_nm_370,-0.53032,0
peptide_nm_371,-0.62419,0
peptide_nm_372,-0.61005,0
peptide_nm_373,-0.96398,0
peptide_nm_374,-1.07743,0
peptide_nm_375,-0.3058,0
peptide_nm_376,-0.88097,0
peptide_nm_377,-0.01282,0
peptide_nm_378,-0.98106,0
peptide_nm_379,0.04177,0
peptide_nm_380,0.14383,0
peptide_nm_381,-0.03479,0
peptide_nm_382,-0.43329,0
peptide_nm_383,0.2471,0
peptide_nm_384,-0.01959,0
peptide_nm_385,-1.09448,0
peptide_nm_386,-0.94987,0
peptide_nm_387,-0.09013,0
peptide_nm_388,-1.44313,0
peptide_nm_389,-0.65542,0
peptide_nm_390,1.57182,0
peptide_nm_391,-1.42592,0
peptide_nm_392,-1.12045,0
peptide_nm_393,-0.90065,0
peptide_nm_394,-0.70881,0
peptide_nm_395,-0.02031,0
peptide_nm_396,0.73338,0
peptide_nm_397,-0.1529,0
peptide_nm_398,-0.11805,0
peptide_nm_399,-0.53059,0
peptide_nm_400,-0.67042,0
peptide_nm_401,-1.36679,0
peptide_nm_402,-0.38183,0
peptide_nm_403,-0.75049,0
peptide_nm_404,-0.26937,0
peptide_nm_405,-0.72629,0
peptide_nm_406,-0.48074,0
peptide_nm_407,-1.30466,0
peptide_nm_408,-0.24086,0
peptide_nm_409,0.0575,0
peptide_nm_410,-1.08816,0
peptide_nm_411,-0.08836,0
peptide_nm_412,-0.26088,0
peptide_nm_413,-0.33649,0
peptide_nm_414,-1.16696,0
peptide_nm_415,0.47182,0
peptide_nm_416,-0.78573,0
peptide_nm_417,-0.09131,0
peptide_nm_418,-0.71077,0
peptide_nm_419,0.29374,0
peptide_nm_420,-0.86684,0
peptide_nm_421,-0.68685,0
peptide_nm_422,-1.05084,0
peptide_nm_423,-0.97519,0
peptide_nm_424,-1.25234,0
peptide_nm_425,-0.95172,0
peptide_nm_426,-0.95521,0
peptide_nm_427,-0.15873,0
peptide_nm_428,-0.26401,0
peptide_nm_429,-0.4913,0
peptide_nm_430,-0.56779,0
peptide_nm_431,-0.97951,0
peptide_nm_432,-1.36066,0
peptide_nm_433,0.51298,0
peptide_nm_434,-1.24763,0
peptide_nm_435,-0.93502,0
peptide_nm_436,-0.71506,0
peptide_nm_437,0.21899,0
peptide_nm_438,1.07911,0
peptide_nm_439,-1.14792,0
peptide_nm_440,-0.55933,0
peptide_nm_441,-0.53969,0
peptide_nm_442,0.01838,0
peptide_pm_1,0.38334,1
peptide_pm_2,0.66183,1
peptide_pm_3,2.08442,1
peptide_pm_4,1.43047,1
peptide_pm_5,-1.0215,1
peptide_pm_6,1.39224,1
peptide_pm_7,-1.14538,1
peptide_pm_8,-0.33506,1
peptide_pm_9,0.75215,1
peptide_pm_10,-0.77183,1
peptide_pm_11,1.85638,1
peptide_pm_12,0.52665,1
peptide_pm_13,-0.77729,1
peptide_pm_14,-1.09928,1
peptide_pm_15,-0.44077,1
peptide_pm_16,0.13347,1
peptide_pm_17,0.40391,1
peptide_pm_18,-0.0478,1
peptide_pm_19,0.80094,1
peptide_pm_20,-0.77548,1
peptide_pm_21,0.47103,1
peptide_pm_22,-0.18033,1
peptide_pm_23,-0.59206,1
peptide_pm_24,2.46441,1
peptide_pm_25,-1.32779,1
peptide_pm_26,0.47419,1
peptide_pm_27,-1.02562,1
peptide_pm_28,-0.98183,1
peptide_pm_29,0.06083,1
peptide_pm_30,0.3973,1
peptide_pm_31,0.77004,1
peptide_pm_32,0.23172,1
peptide_pm_33,-0.29196,1
peptide_pm_34,1.3555,1
peptide_pm_35,0.17858,1
peptide_pm_36,0.79347,1
peptide_pm_37,-0.18278,1
peptide_pm_38,1.432,1
peptide_pm_39,-0.77759,1
peptide_pm_40,0.23781,1
peptide_pm_41,-0.21934,1
peptide_pm_42,-0.74873,1
peptide_pm_43,-1.10142,1
peptide_pm_44,-0.89872,1
peptide_pm_45,-0.81098,1
peptide_pm_46,-0.14402,1
peptide_pm_47,-0.45107,1
peptide_pm_48,-1.21409,1
peptide_pm_49,0.96534,1
peptide_pm_50,1.30473,1
peptide_pm_51,-0.54277,1
peptide_pm_52,0.18936,1
peptide_pm_53,-0.7922,1
peptide_pm_54,-0.52017,1
peptide_pm_55,2.38423,1
peptide_pm_56,-0.72089,1
peptide_pm_57,2.22406,1
peptide_pm_58,-0.75105,1
peptide_pm_59,1.88831,1
peptide_pm_60,0.89349,1
peptide_pm_61,-0.95472,1
peptide_pm_62,0.41847,1
peptide_pm_63,-1.41222,1
peptide_pm_64,2.61964,1
peptide_pm_65,2.33963,1
peptide_pm_66,-0.36722,1
peptide_pm_67,1.2196,1
peptide_pm_68,1.34904,1
peptide_pm_69,-0.71536,1
peptide_pm_70,-1.04186,1
peptide_pm_71,-1.00578,1
peptide_pm_72,0.02362,1
peptide_pm_73,0.97852,1
peptide_pm_74,-0.47728,1
peptide_pm_75,2.77792,1
peptide_pm_76,0.54682,1
peptide_pm_77,0.90787,1
peptide_pm_78,-0.33056,1
peptide_pm_79,0.18472,1
peptide_pm_80,-0.58137,1
peptide_pm_81,0.98531,1
peptide_pm_82,0.82177,1
peptide_pm_83,-1.05274,1
peptide_pm_84,-0.81297,1
peptide_pm_85,0.89943,1
peptide_pm_86,0.30551,1
peptide_pm_87,1.89548,1
peptide_pm_88,-0.41569,1
peptide_pm_89,0.94144,1
peptide_pm_90,-0.38363,1
peptide_pm_91,0.70365,1
peptide_pm_92,0.14233,1
peptide_pm_93,1.05087,1
peptide_pm_94,0.20485,1
peptide_pm_95,0.76726,1
peptide_pm_96,-1.066,1
peptide_pm_97,0.22735,1
peptide_pm_98,0.18976,1
peptide_pm_99,-0.01548,1
peptide_pm_100,-0.23974,1
peptide_pm_101,0.25218,1
peptide_pm_102,2.83938,1
peptide_pm_103,0.12379,1
peptide_pm_104,2.82589,1
peptide_pm_105,0.75529,1
peptide_pm_106,1.44531,1
peptide_pm_107,0.23818,1
peptide_pm_108,0.32024,1
peptide_pm_109,-1.14382,1
peptide_pm_110,-1.13456,1
peptide_pm_111,0.68587,1
peptide_pm_112,2.69026,1
peptide_pm_113,0.06133,1
peptide_pm_114,1.1555,1
peptide_pm_115,-0.09941,1
peptide_pm_116,1.89317,1
peptide_pm_117,0.64106,1
peptide_pm_118,-0.89616,1
peptide_pm_119,-1.29674,1
peptide_pm_120,-0.37861,1
peptide_pm_121,1.88831,1
peptide_pm_122,1.99191,1
peptide_pm_123,0.8227,1
peptide_pm_124,-1.08458,1
peptide_pm_125,-0.3306,1
peptide_pm_126,-0.51966,1
peptide_pm_127,0.37306,1
peptide_pm_128,-1.15326,1
peptide_pm_129,-1.20601,1
peptide_pm_130,0.08135,1
peptide_pm_131,0.12429,1
peptide_pm_132,2.53698,1
peptide_pm_133,0.22813,1
peptide_pm_134,-0.35679,1
peptide_pm_135,0.63631,1
peptide_pm_136,0.0526,1
peptide_pm_137,1.52726,1
peptide_pm_138,0.0231,1
peptide_pm_139,1.00215,1
peptide_pm_140,2.72429,1
peptide_pm_141,0.70939,1
peptide_pm_142,1.60363,1
peptide_pm_143,-0.57028,1
peptide_pm_144,1.57366,1
peptide_pm_145,-0.7684,1
peptide_pm_146,0.15431,1
peptide_pm_147,0.36743,1
peptide_pm_148,0.8636,1
peptide_pm_149,-0.8243,1
peptide_pm_150,2.26107,1
peptide_pm_151,-0.21836,1
peptide_pm_152,0.83704,1
peptide_pm_153,0.99487,1
peptide_pm_154,-0.58602,1
peptide_pm_155,1.05742,1
peptide_pm_156,0.92179,1
peptide_pm_157,-0.69683,1
peptide_pm_158,2.48024,1
peptide_pm_159,1.46455,1
peptide_pm_160,-1.50463,1
peptide_pm_161,2.57205,1
peptide_pm_162,1.12162,1
peptide_pm_163,0.56582,1
peptide_pm_164,2.62329,1
peptide_pm_165,1.04985,1
peptide_pm_166,2.86529,1
peptide_pm_167,1.12548,1
peptide_pm_168,0.37599,1
peptide_pm_169,-0.40897,1
peptide_pm_170,1.0697,1
peptide_pm_171,0.3062,1
peptide_pm_172,2.18055,1
peptide_pm_173,-1.21609,1
peptide_pm_174,-1.2489,1
peptide_pm_175,-0.06753,1
peptide_pm_176,-1.40873,1
peptide_pm_177,1.36743,1
peptide_pm_178,-0.84705,1
peptide_pm_179,0.84114,1
peptide_pm_180,0.14629,1
peptide_pm_181,1.12498,1
peptide_pm_182,1.54815,1
peptide_pm_183,0.87234,1
peptide_pm_184,-0.84528,1
peptide_pm_185,1.81871,1
peptide_pm_186,1.49758,1
peptide_pm_187,1.43013,1
peptide_pm_188,-0.05799,1
peptide_pm_189,1.13099,1
peptide_pm_190,-0.21776,1
peptide_pm_191,1.85638,1
peptide_pm_192,1.25452,1
peptide_pm_193,-0.01548,1
peptide_pm_194,2.17542,1
peptide_pm_195,-0.50064,1
peptide_pm_196,-0.37536,1
peptide_pm_197,2.54027,1
peptide_pm_198,1.14813,1
peptide_pm_199,1.88831,1
peptide_pm_200,-0.40931,1
peptide_pm_201,1.8963,1
peptide_pm_202,1.33329,1
peptide_pm_203,1.11499,1
peptide_pm_204,1.30694,1
peptide_pm_205,-0.62895,1
peptide_pm_206,-0.60561,1
peptide_pm_207,0.92179,1
peptide_pm_208,0.63214,1
peptide_pm_209,0.53579,1
peptide_pm_210,-0.50086,1
peptide_pm_211,-0.92274,1
peptide_pm_212,1.03973,1
peptide_pm_213,0.48131,1
peptide_pm_214,0.37749,1
peptide_pm_215,-0.37767,1
peptide_pm_216,0.77756,1
peptide_pm_217,-0.01028,1
peptide_pm_218,0.72779,1
peptide_pm_219,1.3197,1
peptide_pm_220,0.67591,1
peptide_pm_221,0.8636,1
peptide_pm_222,-0.84208,1
peptide_pm_223,-0.55168,1
peptide_pm_224,-1.08068,1
peptide_pm_225,-0.44892,1
peptide_pm_226,1.66533,1
peptide_pm_227,-0.65551,1
peptide_pm_228,-1.14565,1
peptide_pm_229,-0.23548,1
peptide_pm_230,-0.60865,1
peptide_pm_231,0.51129,1
peptide_pm_232,0.92553,1
peptide_pm_233,-0.758,1
peptide_pm_234,1.67667,1
peptide_pm_235,1.55747,1
peptide_pm_236,-1.07258,1
peptide_pm_237,-1.30471,1
peptide_pm_238,-0.68352,1
peptide_pm_239,0.89031,1
peptide_pm_240,-0.61426,1
peptide_pm_241,0.05203,1
peptide_pm_242,-0.61457,1
peptide_pm_243,-0.14221,1
peptide_pm_244,1.40928,1
peptide_pm_245,-0.44892,1
peptide_pm_246,-0.81381,1
peptide_pm_247,0.73757,1
peptide_pm_248,-0.73833,1
peptide_pm_249,-0.15221,1
peptide_pm_250,2.75751,1
peptide_pm_251,-0.92274,1
peptide_pm_252,1.57833,1
peptide_pm_253,-0.11106,1
peptide_pm_254,-1.12358,1
peptide_pm_255,1.02588,1
peptide_pm_256,-0.31686,1
peptide_pm_257,-0.54607,1
peptide_pm_258,-0.51787,1
peptide_pm_259,1.46455,1
peptide_pm_260,0.52684,1
peptide_pm_261,0.72815,1
peptide_pm_262,-0.45909,1
peptide_pm_263,1.26626,1
peptide_pm_264,1.65385,1
peptide_pm_265,-0.95539,1
peptide_pm_266,2.5755,1
peptide_pm_267,0.25136,1
peptide_pm_268,1.89548,1
peptide_pm_269,-0.71307,1
peptide_pm_270,1.31933,1
peptide_pm_271,0.01371,1
peptide_pm_272,-0.38725,1
peptide_pm_273,0.82498,1
peptide_pm_274,0.76726,1
peptide_pm_275,-0.89256,1
peptide_pm_276,2.4156,1
peptide_pm_277,1.71095,1
peptide_pm_278,-1.56248,1
peptide_pm_279,0.54166,1
peptide_pm_280,0.38889,1
peptide_pm_281,-0.53056,1
peptide_pm_282,2.08297,1
peptide_pm_283,-0.01569,1
peptide_pm_284,2.61464,1
peptide_pm_285,-0.80069,1
peptide_pm_286,-0.06753,1
peptide_pm_287,1.88322,1
peptide_pm_288,0.42251,1
peptide_pm_289,1.8525,1
peptide_pm_290,0.96891,1
peptide_pm_291,0.38582,1
peptide_pm_292,2.71287,1
peptide_pm_293,0.72676,1
peptide_pm_294,-0.95301,1
peptide_pm_295,-0.47789,1
peptide_pm_296,1.04347,1
peptide_pm_297,-0.69257,1
peptide_pm_298,2.47298,1
peptide_pm_299,1.91505,1
peptide_pm_300,1.33329,1
peptide_pm_301,2.69593,1
peptide_pm_302,0.073,1
peptide_pm_303,0.87433,1
peptide_pm_304,-1.00065,1
peptide_pm_305,-0.36557,1
peptide_pm_306,0.04672,1
peptide_pm_307,2.89029,1
peptide_pm_308,-1.19045,1
peptide_pm_309,1.09485,1
peptide_pm_310,1.73305,1
peptide_pm_311,0.81845,1
peptide_pm_312,2.53717,1
peptide_pm_313,0.97303,1
peptide_pm_314,1.17624,1
peptide_pm_315,1.47101,1
peptide_pm_316,0.43519,1
peptide_pm_317,0.03471,1
peptide_pm_318,-0.56668,1
peptide_pm_319,0.35726,1
peptide_pm_320,2.72518,1
peptide_pm_321,-0.42501,1
peptide_pm_322,-0.59308,1
peptide_pm_323,-0.14917,1
peptide_pm_324,0.06697,1
peptide_pm_325,1.16999,1
peptide_pm_326,0.37302,1
peptide_pm_327,0.71784,1
peptide_pm_328,0.54873,1
peptide_pm_329,0.3881,1
peptide_pm_330,2.42349,1
peptide_pm_331,1.86405,1
peptide_pm_332,2.10569,1
peptide_pm_333,0.6249,1
peptide_pm_334,-0.67751,1
peptide_pm_335,0.35424,1
peptide_pm_336,0.15431,1
peptide_pm_337,-0.60865,1
peptide_pm_338,0.35726,1
peptide_pm_339,0.66728,1
peptide_pm_340,-0.219,1
peptide_pm_341,0.77229,1
peptide_pm_342,-0.01916,1
peptide_pm_343,0.88485,1
peptide_pm_344,-0.68388,1
peptide_pm_345,1.27599,1
peptide_pm_346,2.57604,1
peptide_pm_347,0.73118,1
peptide_pm_348,-1.02899,1
peptide_pm_349,2.47825,1
peptide_pm_350,1.33329,1
peptide_pm_351,1.15028,1
peptide_pm_352,-0.77283,1
peptide_pm_353,0.85282,1
peptide_pm_354,1.29838,1
peptide_pm_355,2.73113,1
peptide_pm_356,-0.15406,1
peptide_pm_357,0.32186,1
peptide_pm_358,-0.07763,1
peptide_pm_359,-0.31686,1
peptide_pm_360,1.25452,1
peptide_pm_361,-0.74274,1
peptide_pm_362,-0.96817,1
peptide_pm_363,0.18751,1
peptide_pm_364,-0.24692,1
peptide_pm_365,0.77334,1
peptide_pm_366,-0.83059,1
peptide_pm_367,1.89338,1
peptide_pm_368,3.42972,1
peptide_pm_369,-1.18827,1
peptide_pm_370,-0.24732,1
peptide_pm_371,-0.29015,1
peptide_pm_372,1.47101,1
peptide_pm_373,-0.82412,1
peptide_pm_374,-0.08834,1
peptide_pm_375,0.25243,1
peptide_pm_376,1.93887,1
peptide_pm_377,0.10589,1
peptide_pm_378,1.71959,1
peptide_pm_379,-0.13382,1
peptide_pm_380,-0.26071,1
peptide_pm_381,-1.35293,1
peptide_pm_382,0.6997,1
peptide_pm_383,0.46239,1
peptide_pm_384,-0.66973,1
peptide_pm_385,2.65411,1
peptide_pm_386,0.30058,1
peptide_pm_387,0.73118,1
peptide_pm_388,1.55029,1
peptide_pm_389,0.85188,1
peptide_pm_390,1.3249,1
peptide_pm_391,-1.0196,1
peptide_pm_392,0.52741,1
peptide_pm_393,0.30299,1
peptide_pm_394,0.74999,1
peptide_pm_395,-0.13382,1
peptide_pm_396,-0.66636,1
peptide_pm_397,1.20673,1
peptide_pm_398,-1.04247,1
peptide_pm_399,0.80177,1
peptide_pm_400,0.67578,1
peptide_pm_401,-0.16731,1
peptide_pm_402,0.85756,1
