,CKSAAGP_alphaticr.alphaticr.gap0,CKSAAGP_alphaticr.aromatic.gap0,CKSAAGP_alphaticr.postivecharger.gap0,CKSAAGP_alphaticr.negativecharger.gap0,CKSAAGP_alphaticr.uncharger.gap0,CKSAAGP_aromatic.alphaticr.gap0,CKSAAGP_aromatic.aromatic.gap0,CKSAAGP_aromatic.postivecharger.gap0,CKSAAGP_aromatic.negativecharger.gap0,CKSAAGP_aromatic.uncharger.gap0,CKSAAGP_postivecharger.alphaticr.gap0,CKSAAGP_postivecharger.aromatic.gap0,CKSAAGP_postivecharger.postivecharger.gap0,CKSAAGP_postivecharger.negativecharger.gap0,CKSAAGP_postivecharger.uncharger.gap0,CKSAAGP_negativecharger.alphaticr.gap0,CKSAAGP_negativecharger.aromatic.gap0,CKSAAGP_negativecharger.postivecharger.gap0,CKSAAGP_negativecharger.negativecharger.gap0,CKSAAGP_negativecharger.uncharger.gap0,CKSAAGP_uncharger.alphaticr.gap0,CKSAAGP_uncharger.aromatic.gap0,CKSAAGP_uncharger.postivecharger.gap0,CKSAAGP_uncharger.negativecharger.gap0,CKSAAGP_uncharger.uncharger.gap0,CKSAAGP_alphaticr.alphaticr.gap1,CKSAAGP_alphaticr.aromatic.gap1,CKSAAGP_alphaticr.postivecharger.gap1,CKSAAGP_alphaticr.negativecharger.gap1,CKSAAGP_alphaticr.uncharger.gap1,CKSAAGP_aromatic.alphaticr.gap1,CKSAAGP_aromatic.aromatic.gap1,CKSAAGP_aromatic.postivecharger.gap1,CKSAAGP_aromatic.negativecharger.gap1,CKSAAGP_aromatic.uncharger.gap1,CKSAAGP_postivecharger.alphaticr.gap1,CKSAAGP_postivecharger.aromatic.gap1,CKSAAGP_postivecharger.postivecharger.gap1,CKSAAGP_postivecharger.negativecharger.gap1,CKSAAGP_postivecharger.uncharger.gap1,CKSAAGP_negativecharger.alphaticr.gap1,CKSAAGP_negativecharger.aromatic.gap1,CKSAAGP_negativecharger.postivecharger.gap1,CKSAAGP_negativecharger.negativecharger.gap1,CKSAAGP_negativecharger.uncharger.gap1,CKSAAGP_uncharger.alphaticr.gap1,CKSAAGP_uncharger.aromatic.gap1,CKSAAGP_uncharger.postivecharger.gap1,CKSAAGP_uncharger.negativecharger.gap1,CKSAAGP_uncharger.uncharger.gap1,CKSAAGP_alphaticr.alphaticr.gap2,CKSAAGP_alphaticr.aromatic.gap2,CKSAAGP_alphaticr.postivecharger.gap2,CKSAAGP_alphaticr.negativecharger.gap2,CKSAAGP_alphaticr.uncharger.gap2,CKSAAGP_aromatic.alphaticr.gap2,CKSAAGP_aromatic.aromatic.gap2,CKSAAGP_aromatic.postivecharger.gap2,CKSAAGP_aromatic.negativecharger.gap2,CKSAAGP_aromatic.uncharger.gap2,CKSAAGP_postivecharger.alphaticr.gap2,CKSAAGP_postivecharger.aromatic.gap2,CKSAAGP_postivecharger.postivecharger.gap2,CKSAAGP_postivecharger.negativecharger.gap2,CKSAAGP_postivecharger.uncharger.gap2,CKSAAGP_negativecharger.alphaticr.gap2,CKSAAGP_negativecharger.aromatic.gap2,CKSAAGP_negativecharger.postivecharger.gap2,CKSAAGP_negativecharger.negativecharger.gap2,CKSAAGP_negativecharger.uncharger.gap2,CKSAAGP_uncharger.alphaticr.gap2,CKSAAGP_uncharger.aromatic.gap2,CKSAAGP_uncharger.postivecharger.gap2,CKSAAGP_uncharger.negativecharger.gap2,CKSAAGP_uncharger.uncharger.gap2,CKSAAGP_alphaticr.alphaticr.gap3,CKSAAGP_alphaticr.aromatic.gap3,CKSAAGP_alphaticr.postivecharger.gap3,CKSAAGP_alphaticr.negativecharger.gap3,CKSAAGP_alphaticr.uncharger.gap3,CKSAAGP_aromatic.alphaticr.gap3,CKSAAGP_aromatic.aromatic.gap3,CKSAAGP_aromatic.postivecharger.gap3,CKSAAGP_aromatic.negativecharger.gap3,CKSAAGP_aromatic.uncharger.gap3,CKSAAGP_postivecharger.alphaticr.gap3,CKSAAGP_postivecharger.aromatic.gap3,CKSAAGP_postivecharger.postivecharger.gap3,CKSAAGP_postivecharger.negativecharger.gap3,CKSAAGP_postivecharger.uncharger.gap3,CKSAAGP_negativecharger.alphaticr.gap3,CKSAAGP_negativecharger.aromatic.gap3,CKSAAGP_negativecharger.postivecharger.gap3,CKSAAGP_negativecharger.negativecharger.gap3,CKSAAGP_negativecharger.uncharger.gap3,CKSAAGP_uncharger.alphaticr.gap3,CKSAAGP_uncharger.aromatic.gap3,CKSAAGP_uncharger.postivecharger.gap3,CKSAAGP_uncharger.negativecharger.gap3,CKSAAGP_uncharger.uncharger.gap3,CKSAAGP_alphaticr.alphaticr.gap4,CKSAAGP_alphaticr.aromatic.gap4,CKSAAGP_alphaticr.postivecharger.gap4,CKSAAGP_alphaticr.negativecharger.gap4,CKSAAGP_alphaticr.uncharger.gap4,CKSAAGP_aromatic.alphaticr.gap4,CKSAAGP_aromatic.aromatic.gap4,CKSAAGP_aromatic.postivecharger.gap4,CKSAAGP_aromatic.negativecharger.gap4,CKSAAGP_aromatic.uncharger.gap4,CKSAAGP_postivecharger.alphaticr.gap4,CKSAAGP_postivecharger.aromatic.gap4,CKSAAGP_postivecharger.postivecharger.gap4,CKSAAGP_postivecharger.negativecharger.gap4,CKSAAGP_postivecharger.uncharger.gap4,CKSAAGP_negativecharger.alphaticr.gap4,CKSAAGP_negativecharger.aromatic.gap4,CKSAAGP_negativecharger.postivecharger.gap4,CKSAAGP_negativecharger.negativecharger.gap4,CKSAAGP_negativecharger.uncharger.gap4,CKSAAGP_uncharger.alphaticr.gap4,CKSAAGP_uncharger.aromatic.gap4,CKSAAGP_uncharger.postivecharger.gap4,CKSAAGP_uncharger.negativecharger.gap4,CKSAAGP_uncharger.uncharger.gap4,CKSAAGP_alphaticr.alphaticr.gap5,CKSAAGP_alphaticr.aromatic.gap5,CKSAAGP_alphaticr.postivecharger.gap5,CKSAAGP_alphaticr.negativecharger.gap5,CKSAAGP_alphaticr.uncharger.gap5,CKSAAGP_aromatic.alphaticr.gap5,CKSAAGP_aromatic.aromatic.gap5,CKSAAGP_aromatic.postivecharger.gap5,CKSAAGP_aromatic.negativecharger.gap5,CKSAAGP_aromatic.uncharger.gap5,CKSAAGP_postivecharger.alphaticr.gap5,CKSAAGP_postivecharger.aromatic.gap5,CKSAAGP_postivecharger.postivecharger.gap5,CKSAAGP_postivecharger.negativecharger.gap5,CKSAAGP_postivecharger.uncharger.gap5,CKSAAGP_negativecharger.alphaticr.gap5,CKSAAGP_negativecharger.aromatic.gap5,CKSAAGP_negativecharger.postivecharger.gap5,CKSAAGP_negativecharger.negativecharger.gap5,CKSAAGP_negativecharger.uncharger.gap5,CKSAAGP_uncharger.alphaticr.gap5,CKSAAGP_uncharger.aromatic.gap5,CKSAAGP_uncharger.postivecharger.gap5,CKSAAGP_uncharger.negativecharger.gap5,CKSAAGP_uncharger.uncharger.gap5,y
peptide_nm_193,-0.7483,-0.68562,1.27973,0.35441,-0.05574,0.92135,-0.31118,-0.52241,-0.32148,-0.51381,0.1475,-0.5271,-0.03102,2.67095,0.25231,1.31304,-0.30483,-0.41086,-0.27412,-0.50842,-0.62883,1.39866,0.33481,-0.50514,-0.63352,-0.5691,1.16811,-1.01632,1.14226,-0.0297,0.26742,-0.27957,0.26877,-0.29322,-0.60162,0.80014,-0.48976,-0.50958,1.46304,0.34331,-0.65439,-0.31424,3.31796,-0.26509,-0.47704,0.04691,-0.53484,1.19329,-0.51101,-0.58048,0.17769,0.22052,-1.04409,-0.64523,-0.42821,0.18983,-0.33651,-0.49013,1.67123,-0.55197,-0.32554,0.57036,1.08671,-0.38151,0.21934,0.45397,-0.28084,-0.42205,-0.27205,0.84163,-0.43522,-0.48969,0.13009,1.99952,-0.66605,-0.71062,0.28522,1.33942,-0.57719,-0.36035,0.04057,-0.33873,-0.44999,-0.24543,-0.48201,0.69933,0.71004,-0.13733,1.37736,0.15648,0.51975,-0.31128,-0.32663,-0.2865,0.89434,1.02239,-0.38967,-0.75388,0.77972,-0.63774,0.23308,0.34296,-1.00483,1.42954,-1.12355,-0.62155,-0.33931,-0.555,-0.27934,1.02937,0.63423,-0.42718,0.44639,-0.3637,1.08304,-0.5965,2.14695,1.8249,-0.23983,-0.37297,-0.41966,-0.45984,1.50403,-0.45474,-0.53597,-0.08573,-0.56849,-0.36105,0.43827,-0.35551,-0.6148,1.15115,-0.49316,-0.24915,-0.52469,0.60341,0.63175,1.17237,-0.31177,-0.62973,0.49788,-0.24109,-0.31874,1.19836,-0.42689,-0.34527,-0.45603,-0.59803,-0.39973,0.70421,0
peptide_nm_194,-0.65677,0.38764,-0.4132,0.50479,-0.61716,-0.76325,-0.31118,-0.52241,2.23061,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,0.39905,2.72029,-0.30483,-0.41086,4.12711,2.55635,0.20315,-0.58647,-0.72645,2.2657,-0.63352,-0.46681,0.36814,-1.01632,0.39617,0.15669,-0.70926,-0.27957,-0.56477,2.10956,-0.60162,-0.46102,-0.48976,-0.50958,-0.37427,-0.68146,0.44846,-0.31424,1.76527,4.19225,2.78725,0.24841,-0.53484,-0.66926,2.49805,-0.58048,-0.26985,-0.71529,-1.04409,1.68171,-1.0603,-0.80005,-0.33651,-0.49013,-0.29523,1.05109,-0.21029,-0.48313,-0.59839,-0.38151,-0.7601,0.62628,-0.28084,-0.42205,7.23337,1.05863,-0.32279,1.25109,-0.71564,-0.43638,0.6519,-0.60816,0.4617,-1.01679,0.66292,-0.24637,-0.87534,-0.33873,-0.44999,2.93657,-0.48201,-0.89788,-0.41254,-0.61673,-0.39573,0.30763,3.21537,-0.31128,-0.32663,2.64242,1.13223,-0.19423,-0.38967,-0.75388,3.88101,-0.63774,-1.18421,0.52113,-1.00483,1.79695,0.39886,-0.62155,-0.33931,-0.555,2.57147,-0.44415,-0.33221,-0.42718,-0.52747,-0.3637,-0.54897,1.8374,-0.28281,-0.3398,3.57263,0.86508,0.47866,-0.45984,-0.6224,2.37793,-0.53597,-0.73353,-0.56849,-0.95686,4.3512,-0.95583,-0.6148,-0.24834,-0.49316,-0.24915,0.99458,-0.28948,-0.43135,-0.49719,-0.31177,-0.62973,0.70977,-0.24109,-0.31874,5.00996,1.2919,-0.21128,0.8557,-0.59803,-0.39973,0.18788,0
peptide_nm_195,-1.08861,0.13996,-0.57084,1.12558,-0.20816,-0.01813,-0.31118,0.25448,-0.32148,-0.51381,0.0025,-0.5271,-0.10417,-0.42706,0.13943,1.08907,1.24936,-0.41086,0.8544,0.67034,-0.70267,-0.58647,1.15117,0.56056,1.38167,-0.9319,-0.73181,0.7191,0.14996,-0.69079,-0.70926,-0.27957,0.16875,-0.29322,0.48435,-0.19384,-0.48976,-0.50958,1.24256,0.22034,0.18378,1.56988,-0.36969,0.8641,2.00382,0.45527,-0.53484,-0.66926,0.63243,0.83856,-0.79199,0.10354,-0.41744,-0.64523,0.04585,-0.80005,-0.33651,0.36497,-0.29523,0.65032,0.19307,-0.48313,-0.59839,1.15144,0.09691,0.32474,-0.28084,2.50772,-0.27205,1.81814,-0.51954,-0.48969,0.02438,2.76073,0.32241,-0.78635,-0.71485,-0.33383,0.33941,0.11705,0.71754,-0.33873,-0.44999,-0.24543,-0.48201,-0.89788,-0.41254,-0.19986,-0.39573,1.53433,-0.54595,1.4376,1.06193,-0.2865,3.0629,0.18116,-0.38967,0.10637,2.75213,-0.63774,-0.87821,-0.60726,-1.00483,1.16234,0.53726,0.12667,-0.33931,-0.555,-0.27934,0.82844,-0.5049,-0.42718,1.15466,-0.3637,0.15576,0.28855,-0.28281,1.52972,1.14652,1.42783,0.05548,0.66389,-0.6224,0.57532,-0.03356,-1.1654,-0.56849,-0.44617,0.29116,1.10241,-0.6148,-0.24834,0.23292,-0.24915,0.5605,-0.45956,-0.43135,-0.49719,1.58608,0.29762,2.16272,-0.24109,-0.31874,0.98893,0.80082,-0.44097,0.48092,0.38102,0.74181,-0.0334,0
peptide_nm_196,-0.48134,-0.68562,-1.09631,2.23415,-1.37673,-0.76325,4.12872,-0.52241,-0.32148,2.34622,-1.10916,-0.5271,-0.66495,4.02633,-0.72594,-0.628,4.74628,4.36196,-0.27412,-0.50842,0.57113,-0.58647,-0.72645,-0.50514,-0.63352,-1.21695,-0.73181,0.53317,2.15481,-1.21021,2.36031,-0.27957,-0.56477,-0.29322,-0.60162,-0.97483,2.28478,-0.50958,-0.37427,-0.68146,-0.65439,6.41476,-0.36969,3.76774,-0.47704,0.77613,-0.53484,-0.66926,-0.51101,-0.58048,-1.31413,-0.71529,1.46251,2.84518,-1.0603,2.66452,-0.33651,-0.49013,-0.29523,-0.55197,-1.01702,3.20407,-0.59839,-0.38151,-0.7601,-0.57987,8.01056,-0.42205,-0.27205,-0.46037,-1.10976,-0.48969,-0.71564,3.82644,-0.66605,-1.29122,3.28542,-1.01679,3.63918,-1.00624,-0.87534,-0.33873,-0.44999,10.57338,-0.48201,-0.89788,-0.41254,-0.61673,-0.39573,-0.70002,-0.54595,7.73357,-0.32663,-0.2865,-0.45368,-0.97915,-0.38967,3.20326,-0.44638,-0.63774,-1.18421,8.41987,-1.00483,-0.52997,-1.12355,-0.62155,-0.33931,3.74015,-0.27934,-0.44415,-0.9654,-0.42718,-0.52747,-0.3637,-0.54897,-0.5965,-0.28281,-0.3398,-0.23983,-0.37297,-1.07299,-0.45984,-0.6224,5.2106,-0.53597,-1.1654,5.09091,-0.95686,-0.59145,-0.95583,-0.6148,-0.24834,-0.49316,12.84329,-0.52469,-0.88474,-0.43135,-0.49719,-0.31177,-0.62973,-0.56156,-0.24109,-0.31874,-0.26764,-0.42689,-1.0152,6.10266,-0.59803,-0.39973,-0.58661,0
peptide_nm_197,-0.89069,-0.68562,0.72532,0.88909,-0.36397,-0.76325,2.05676,0.82421,-0.32148,-0.51381,1.78116,-0.5271,0.30707,-0.42706,0.77404,0.86013,-0.30483,-0.41086,-0.27412,-0.50842,-1.26881,0.93546,0.90082,-0.50514,-0.63352,-0.70793,0.76098,-0.24158,-0.6297,-0.28267,-0.70926,-0.27957,2.05493,-0.29322,-0.60162,-0.27752,-0.48976,2.05198,2.51294,0.92889,0.84233,-0.31424,-0.36969,-0.26509,-0.47704,-0.22654,1.51969,-0.66926,-0.51101,-0.58048,-0.83216,0.7964,1.2697,-0.64523,-1.0603,0.79898,-0.33651,1.08851,-0.29523,-0.55197,0.09999,1.21865,-0.59839,2.44855,0.82207,-0.57987,-0.28084,2.28236,-0.27205,-0.46037,-1.10976,-0.48969,0.65055,-0.43638,0.24638,-0.80738,-0.71485,1.60122,-0.57719,0.07024,0.65117,-0.33873,-0.44999,4.2624,-0.48201,-0.89788,1.45844,0.18227,-0.39573,0.72748,1.23023,-0.31128,-0.32663,-0.2865,-0.45368,-0.97915,1.31398,0.89493,-0.44638,-0.63774,-1.18421,-0.60726,0.97534,-0.52997,1.09086,-0.62155,-0.33931,-0.555,3.8673,-0.44415,-0.0444,1.18213,1.15466,-0.3637,-0.54897,-0.5965,-0.28281,3.39923,-0.23983,-0.37297,0.05548,1.78761,-0.6224,-0.45474,-0.53597,0.1302,1.12933,0.1156,-0.59145,-0.95583,-0.6148,-0.24834,-0.49316,-0.24915,-0.52469,-0.88474,1.48224,1.00542,-0.31177,1.3177,-0.56156,-0.24109,-0.31874,-0.26764,2.1513,-1.0152,-0.45603,1.45797,1.9975,-0.58661,0
peptide_nm_198,-0.81871,0.96555,1.00557,-0.64811,-0.20816,0.72698,-0.31118,-0.52241,3.60481,-0.51381,0.0025,-0.5271,-0.66495,-0.42706,1.00481,1.08907,-0.30483,-0.41086,-0.27412,-0.50842,-0.13654,-0.58647,-0.72645,-0.50514,1.38167,-0.62309,-0.73181,-0.11245,0.9946,0.95406,1.08132,-0.27957,0.96339,-0.29322,-0.60162,-0.1613,-0.48976,-0.50958,-0.37427,1.19728,-0.65439,-0.31424,-0.36969,-0.26509,2.10719,-0.05943,1.86211,-0.66926,-0.51101,-0.58048,-0.17492,-0.71529,-1.04409,-0.64523,1.35311,1.08971,-0.33651,-0.49013,-0.29523,2.07122,0.30308,-0.48313,0.47395,-0.38151,-0.7601,-0.57987,-0.28084,-0.42205,-0.27205,2.02527,-1.10976,2.35886,-0.71564,1.88879,-0.66605,-0.71062,-0.71485,0.55401,-0.57719,1.57732,0.95648,-0.33873,-0.44999,-0.24543,2.11468,-0.89788,1.83263,-0.61673,-0.39573,1.01299,-0.54595,-0.31128,-0.32663,-0.2865,-0.45368,0.35521,-0.38967,-0.75388,2.00581,-0.63774,-0.4362,1.39877,-1.00483,-0.52997,1.58295,-0.62155,-0.33931,1.35395,-0.27934,-0.44415,-0.9654,-0.42718,-0.52747,3.70721,1.17371,-0.5965,-0.28281,-0.3398,-0.23983,-0.37297,0.30625,-0.45984,-0.6224,-0.45474,0.69214,-1.1654,1.55378,-0.95686,1.72542,0.39489,-0.6148,-0.24834,-0.49316,-0.24915,2.32394,1.34748,-0.43135,-0.49719,-0.31177,-0.62973,-0.56156,-0.24109,-0.31874,-0.26764,-0.42689,-1.0152,-0.45603,-0.59803,-0.39973,2.31773,0
peptide_nm_199,-0.69019,-0.68562,-0.44573,2.6459,0.07007,-0.76325,-0.31118,-0.52241,-0.32148,0.57573,0.26718,-0.5271,-0.66495,-0.42706,-0.72594,0.43495,-0.30483,1.40735,1.12309,2.41041,0.83398,0.50062,-0.72645,0.8143,-0.63352,-0.50432,0.31315,-1.01632,2.29404,-0.56093,0.36509,-0.27957,-0.56477,-0.29322,-0.60162,-0.97483,-0.48976,0.38696,-0.37427,0.44579,3.53643,-0.31424,1.65852,-0.26509,-0.47704,-0.52735,-0.53484,-0.66926,2.3476,0.60205,-0.65459,-0.71529,-0.25253,-0.64523,1.73418,0.29402,-0.33651,-0.49013,-0.29523,-0.55197,-0.25275,0.68125,-0.59839,-0.38151,-0.7601,0.56279,-0.28084,1.42833,2.57211,-0.46037,1.12689,-0.48969,-0.71564,2.25593,-0.66605,-0.00099,0.39634,-1.01679,0.59402,-1.00624,-0.87534,-0.33873,-0.44999,2.75979,-0.48201,-0.89788,-0.41254,-0.61673,-0.39573,1.20332,1.82229,-0.31128,1.44764,1.0966,-0.45368,0.50347,-0.38967,0.34533,0.91595,0.0136,-0.3922,-0.60726,-0.36419,1.66007,-0.40713,-0.62155,-0.33931,-0.555,-0.27934,1.20272,-0.36946,0.61414,-0.52747,-0.3637,-0.54897,1.69422,-0.28281,2.07957,-0.23983,0.79226,0.38738,-0.45984,-0.6224,2.2113,-0.53597,0.4541,-0.56849,-0.95686,1.72542,-0.95583,0.58393,-0.24834,-0.49316,-0.24915,-0.52469,-0.32669,-0.43135,-0.49719,-0.31177,0.58741,0.63031,2.88529,-0.31874,-0.26764,1.18448,-1.0152,-0.45603,1.97197,1.09854,0.13948,0
peptide_nm_200,-0.72057,-0.68562,-1.09631,1.44808,1.38535,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.20462,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,3.06028,2.39329,-0.50842,2.74562,-0.58647,-0.72645,-0.50514,0.55727,-0.50432,-0.73181,-1.01632,1.31946,1.38691,-0.70926,-0.27957,-0.56477,-0.29322,-0.60162,0.0014,-0.48976,-0.50958,-0.37427,-0.68146,1.44102,-0.31424,3.68673,-0.26509,-0.47704,0.17452,-0.53484,-0.66926,2.3476,0.60205,0.07824,-0.71529,0.62698,-0.64523,0.41456,-0.80005,-0.33651,-0.49013,-0.29523,-0.55197,-1.01702,-0.48313,-0.59839,-0.38151,1.52526,4.24472,-0.28084,-0.42205,-0.27205,-0.46037,-1.10976,-0.48969,-0.71564,2.4055,0.6519,-0.56547,-0.71485,-1.01679,-0.57719,2.22321,-0.87534,-0.33873,-0.44999,-0.24543,-0.48201,1.09863,-0.41254,-0.61673,-0.39573,-0.70002,2.11832,-0.31128,-0.32663,-0.2865,2.91638,0.6888,-0.38967,1.71933,-0.44638,-0.63774,0.73926,-0.60726,-1.00483,-0.52997,0.61634,-0.62155,-0.33931,-0.555,-0.27934,-0.44415,-0.9654,-0.42718,-0.52747,-0.3637,1.6659,2.1851,-0.28281,-0.3398,-0.23983,2.45687,0.70032,-0.45984,-0.6224,-0.45474,-0.53597,-0.08573,-0.56849,-0.95686,-0.59145,0.84513,-0.6148,-0.24834,-0.49316,-0.24915,-0.52469,-0.88474,-0.43135,-0.49719,-0.31177,2.61599,2.61676,-0.24109,-0.31874,-0.26764,3.87009,0.9946,-0.45603,-0.59803,-0.39973,-0.58661,0
peptide_nm_201,-0.18895,0.50689,1.18073,-0.64811,0.31121,0.31303,-0.31118,-0.52241,-0.32148,-0.51381,0.49657,-0.5271,0.14507,1.55222,0.52405,-0.628,-0.30483,1.71039,-0.27412,-0.50842,0.3667,-0.58647,-0.72645,-0.50514,-0.63352,0.45983,0.49755,-0.3783,0.51686,0.31751,0.55468,-0.27957,-0.56477,-0.29322,-0.60162,0.17368,-0.48976,0.54518,-0.37427,0.64471,-0.65439,-0.31424,2.01644,-0.26509,-0.47704,-0.40349,-0.53484,0.53592,-0.51101,-0.58048,1.03549,-0.71529,0.83586,-0.64523,-1.0603,-0.80005,-0.33651,0.79252,-0.29523,-0.55197,-0.10945,-0.48313,0.13884,-0.38151,1.81093,0.77704,-0.28084,-0.42205,-0.27205,-0.46037,-1.10976,1.46869,-0.71564,-0.43638,0.0753,-0.51708,0.61857,2.12482,-0.57719,0.71613,0.34587,-0.33873,-0.44999,-0.24543,-0.48201,3.36135,-0.41254,-0.61673,-0.39573,-0.70002,-0.54595,-0.31128,-0.32663,-0.2865,1.34368,-0.08958,-0.38967,-0.75388,-0.44638,-0.63774,0.73926,-0.60726,-0.22691,-0.52997,0.61634,0.55422,-0.33931,-0.555,-0.27934,-0.44415,-0.24176,0.83728,0.7942,-0.3637,0.55846,0.7943,-0.28281,-0.3398,-0.23983,-0.37297,-0.18633,-0.45984,-0.6224,-0.45474,-0.53597,0.82783,-0.56849,-0.13189,-0.59145,-0.12462,-0.6148,-0.24834,-0.49316,-0.24915,1.22831,0.48894,1.04064,-0.49719,-0.31177,0.86829,0.90536,-0.24109,-0.31874,-0.26764,-0.42689,-1.0152,-0.45603,0.98351,-0.39973,-0.58661,0
peptide_nm_202,1.83121,-0.68562,-1.09631,-0.64811,1.38535,0.99793,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,1.40747,-0.58647,-0.72645,-0.50514,0.55727,0.92094,-0.73181,-1.01632,-0.6297,2.68547,1.43944,-0.27957,-0.56477,-0.29322,-0.60162,-0.97483,-0.48976,-0.50958,-0.37427,-0.68146,-0.65439,-0.31424,-0.36969,-0.26509,-0.47704,2.98201,-0.53484,-0.66926,-0.51101,-0.58048,1.47061,-0.71529,-1.04409,-0.64523,1.88943,-0.80005,-0.33651,-0.49013,-0.29523,2.65415,-1.01702,-0.48313,-0.59839,-0.38151,-0.7601,-0.57987,-0.28084,-0.42205,-0.27205,-0.46037,2.03811,-0.48969,-0.71564,-0.43638,-0.66605,1.61179,-0.71485,-1.01679,-0.57719,2.22321,1.41443,-0.33873,-0.44999,-0.24543,-0.48201,-0.89788,-0.41254,-0.61673,-0.39573,-0.70002,-0.54595,-0.31128,-0.32663,-0.2865,-0.45368,0.6888,-0.38967,-0.75388,-0.44638,-0.63774,2.66273,-0.60726,-1.00483,-0.52997,0.61634,1.72999,-0.33931,-0.555,-0.27934,-0.44415,-0.9654,-0.42718,-0.52747,-0.3637,-0.54897,-0.5965,-0.28281,-0.3398,-0.23983,-0.37297,-1.07299,-0.45984,-0.6224,-0.45474,1.04303,2.07361,-0.56849,-0.95686,-0.59145,0.84513,2.58181,-0.24834,-0.49316,-0.24915,-0.52469,-0.88474,-0.43135,-0.49719,-0.31177,-0.62973,-0.56156,-0.24109,-0.31874,-0.26764,-0.42689,-1.0152,-0.45603,-0.59803,-0.39973,1.34962,0
peptide_nm_203,0.14521,0.08099,-0.60838,0.17539,1.33603,-0.76325,-0.31118,-0.52241,-0.32148,0.30334,-0.0769,-0.5271,-0.66495,-0.42706,-0.72594,0.16921,-0.30483,-0.41086,0.77379,-0.50842,0.83398,-0.58647,0.1453,-0.50514,1.23772,-0.1612,-0.73181,-0.6146,0.09221,2.15643,0.08655,-0.27957,-0.56477,-0.29322,-0.60162,-0.97483,0.22956,-0.50958,1.1228,-0.68146,0.89777,-0.31424,-0.36969,-0.26509,-0.47704,1.3703,-0.53484,0.08956,-0.51101,0.73345,0.37278,-0.71529,-1.04409,0.16025,0.98182,-0.80005,-0.33651,-0.49013,-0.29523,0.55784,-1.01702,-0.48313,-0.59839,1.03352,0.03099,0.25515,-0.28084,-0.42205,-0.27205,0.59125,1.06954,0.71546,0.65055,-0.43638,0.24638,-0.13002,0.0852,-0.38847,0.26608,0.54389,-0.87534,-0.33873,-0.44999,-0.24543,0.55666,0.37989,-0.41254,-0.61673,-0.39573,-0.70002,-0.54595,-0.31128,-0.32663,-0.2865,1.70315,1.68957,-0.38967,0.03755,0.5345,0.30018,-0.34269,-0.60726,-0.09725,-0.52997,1.4138,-0.62155,-0.33931,-0.555,-0.27934,0.72239,-0.54327,-0.42718,-0.52747,-0.3637,0.09703,0.2148,-0.28281,-0.3398,-0.23983,0.4524,2.0303,0.57024,-0.6224,1.43371,-0.53597,0.24286,-0.56849,-0.49057,0.21441,-0.0162,0.2191,-0.24834,-0.49316,-0.24915,-0.52469,-0.88474,-0.43135,-0.49719,-0.31177,1.06369,0.26756,-0.24109,-0.31874,-0.26764,0.69406,1.08198,0.39945,-0.59803,0.64254,0.9287,0
peptide_nm_204,0.26089,-0.68562,-0.04537,1.12558,-0.20816,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.0025,-0.5271,-0.66495,2.31348,-0.72594,1.08907,-0.30483,2.52626,-0.27412,-0.50842,-0.13654,-0.58647,1.15117,-0.50514,0.37407,0.56463,-0.73181,-0.11245,0.9946,-1.21021,-0.70926,-0.27957,-0.56477,-0.29322,-0.60162,0.65222,-0.48976,-0.50958,-0.37427,-0.68146,-0.65439,-0.31424,-0.36969,2.08739,2.10719,-0.05943,-0.53484,2.74541,-0.51101,-0.58048,-0.74453,-0.71529,1.69038,3.16249,-1.0603,-0.80005,-0.33651,-0.49013,-0.29523,-0.55197,0.30308,-0.48313,-0.59839,-0.38151,1.10974,3.36752,-0.28084,-0.42205,-0.27205,-0.46037,1.46577,-0.48969,-0.71564,-0.43638,-0.66605,-0.71062,-0.71485,0.55401,3.63918,-1.00624,-0.87534,-0.33873,-0.44999,-0.24543,-0.48201,2.29654,-0.41254,-0.61673,-0.39573,-0.70002,-0.54595,-0.31128,2.86706,-0.2865,2.24236,1.68957,-0.38967,-0.75388,-0.44638,-0.63774,-0.4362,-0.60726,0.20528,1.5384,0.2297,-0.62155,-0.33931,-0.555,-0.27934,-0.44415,-0.9654,-0.42718,1.52846,3.70721,-0.54897,1.56696,-0.28281,-0.3398,-0.23983,-0.37297,1.68549,-0.45984,-0.6224,-0.45474,-0.53597,0.4541,-0.56849,-0.95686,1.72542,0.39489,-0.6148,-0.24834,-0.49316,-0.24915,-0.52469,-0.88474,-0.43135,1.38107,-0.31177,-0.62973,-0.56156,-0.24109,3.91535,-0.26764,-0.42689,0.49215,-0.45603,-0.59803,2.59681,-0.58661,0
