,MSS,y
peptide_nm_179,-1.05024,0
peptide_nm_180,-0.97893,0
peptide_nm_181,-0.14372,0
peptide_nm_182,-0.07845,0
peptide_nm_183,-0.81305,0
peptide_nm_184,-0.3295,0
peptide_nm_185,-0.00364,0
peptide_nm_186,-0.29805,0
peptide_nm_187,1.30798,0
peptide_nm_188,0.08228,0
peptide_nm_189,-1.24614,0
peptide_nm_190,-1.01918,0
peptide_nm_191,-1.07072,0
peptide_nm_192,0.92352,0
peptide_nm_193,-0.94337,0
peptide_nm_194,-0.8026,0
peptide_nm_195,-0.79028,0
peptide_nm_196,2.09431,0
peptide_nm_197,0.5226,0
peptide_nm_198,-0.80873,0
peptide_nm_199,-1.3568,0
peptide_nm_200,1.78045,0
peptide_nm_201,-0.19759,0
peptide_nm_202,3.0828,0
peptide_nm_203,-0.04911,0
peptide_nm_204,0.9886,0
peptide_nm_205,0.9512,0
peptide_nm_206,-0.32945,0
peptide_nm_207,0.77183,0
peptide_nm_208,0.6609,0
peptide_nm_209,-0.40084,0
peptide_nm_210,-0.74574,0
peptide_nm_211,-1.56303,0
peptide_nm_212,-0.86429,0
peptide_nm_213,-0.72109,0
peptide_nm_214,0.39126,0
peptide_nm_215,0.72844,0
peptide_nm_216,-0.15059,0
peptide_nm_217,-1.29372,0
peptide_nm_218,0.5375,0
peptide_nm_219,0.23514,0
peptide_nm_220,-0.20604,0
peptide_nm_221,-1.29488,0
peptide_nm_222,-1.05188,0
peptide_nm_223,0.36487,0
peptide_nm_224,0.51905,0
peptide_nm_225,-0.64252,0
peptide_nm_226,1.47721,0
peptide_nm_227,-0.30069,0
peptide_nm_228,0.68875,0
peptide_nm_229,-0.99684,0
peptide_nm_230,2.05369,0
peptide_nm_231,-0.11971,0
peptide_nm_232,-0.14444,0
peptide_nm_233,-0.81702,0
peptide_nm_234,-0.23091,0
peptide_nm_235,0.00892,0
peptide_nm_236,-1.04696,0
peptide_nm_237,-0.056,0
peptide_nm_238,-0.55776,0
peptide_nm_239,1.09653,0
peptide_nm_240,-1.21173,0
peptide_nm_241,0.1472,0
peptide_nm_242,-0.6332,0
peptide_nm_243,-0.07325,0
peptide_nm_244,0.4669,0
peptide_nm_245,0.71646,0
peptide_nm_246,-0.55384,0
peptide_nm_247,2.64258,0
peptide_nm_248,-0.0253,0
peptide_nm_249,-0.59934,0
peptide_nm_250,0.55024,0
peptide_nm_251,0.54697,0
peptide_nm_252,0.2217,0
peptide_nm_253,0.58513,0
peptide_nm_254,-0.63707,0
peptide_nm_255,0.94625,0
peptide_nm_256,0.08585,0
peptide_nm_257,-0.13918,0
peptide_nm_258,-0.42473,0
peptide_nm_259,-0.70672,0
peptide_nm_260,0.42801,0
peptide_nm_261,0.26844,0
peptide_nm_262,-0.47062,0
peptide_nm_263,-1.09896,0
peptide_nm_264,-0.27773,0
peptide_nm_265,-0.47238,0
peptide_nm_266,-1.22802,0
peptide_nm_267,-0.5955,0
peptide_nm_268,1.18776,0
peptide_nm_269,-0.1945,0
peptide_nm_270,0.92111,0
peptide_nm_271,-0.72876,0
peptide_nm_272,2.89626,0
peptide_nm_273,-0.15321,0
peptide_nm_274,0.71259,0
peptide_nm_275,2.03515,0
peptide_nm_276,-0.68821,0
peptide_nm_277,-1.17546,0
peptide_nm_278,0.46421,0
peptide_nm_279,0.91729,0
peptide_nm_280,-0.49297,0
peptide_nm_281,-0.04615,0
peptide_nm_282,-0.98917,0
peptide_nm_283,-1.19658,0
peptide_nm_284,-0.63941,0
peptide_nm_285,-0.11366,0
peptide_nm_286,-0.68023,0
peptide_nm_287,1.1268,0
peptide_nm_288,-0.24621,0
peptide_nm_289,0.63332,0
peptide_nm_290,0.39848,0
peptide_nm_291,-0.5935,0
peptide_nm_292,-0.28096,0
peptide_nm_293,-0.51729,0
peptide_nm_294,-0.40145,0
peptide_nm_295,-1.09369,0
peptide_nm_296,-0.38662,0
peptide_nm_297,-0.08235,0
peptide_nm_298,1.07047,0
peptide_nm_299,0.57475,0
peptide_nm_300,-1.06966,0
peptide_nm_301,0.51443,0
peptide_nm_302,1.55406,0
peptide_nm_303,0.34713,0
peptide_nm_304,-1.05638,0
peptide_nm_305,-0.01193,0
peptide_nm_306,0.62765,0
peptide_nm_307,-0.72634,0
peptide_nm_308,0.08333,0
peptide_nm_309,0.04462,0
peptide_nm_310,1.61885,0
peptide_nm_311,-0.02896,0
peptide_nm_312,-0.93249,0
peptide_nm_313,0.63291,0
peptide_nm_314,3.18079,0
peptide_nm_315,0.13114,0
peptide_nm_316,0.97148,0
peptide_nm_317,-0.44125,0
peptide_nm_318,1.58385,0
peptide_nm_319,-0.88689,0
peptide_nm_320,-0.08255,0
peptide_nm_321,0.69851,0
peptide_nm_322,1.30314,0
peptide_nm_323,-0.82903,0
peptide_nm_324,-1.52044,0
peptide_nm_325,-1.43071,0
peptide_nm_326,0.58369,0
peptide_nm_327,-0.92846,0
peptide_nm_328,1.0407,0
peptide_nm_329,-0.62492,0
peptide_nm_330,-0.82165,0
peptide_nm_331,-0.02902,0
peptide_nm_332,-1.30614,0
peptide_nm_333,-0.14443,0
peptide_nm_334,-0.18732,0
peptide_nm_335,0.93341,0
peptide_nm_336,-0.44304,0
peptide_nm_337,-0.45425,0
peptide_nm_338,1.28267,0
peptide_nm_339,-0.27664,0
peptide_nm_340,-0.40646,0
peptide_nm_341,-0.57214,0
peptide_nm_342,-0.31245,0
peptide_nm_343,-0.07645,0
peptide_nm_344,-0.44568,0
peptide_nm_345,-0.26585,0
peptide_nm_346,-0.64419,0
peptide_nm_347,0.53682,0
peptide_nm_348,-0.99339,0
peptide_nm_349,-0.10241,0
peptide_nm_350,-1.05266,0
peptide_nm_351,-0.99995,0
peptide_nm_352,-0.16421,0
peptide_nm_353,0.18056,0
peptide_nm_354,-0.61047,0
peptide_nm_355,0.6827,0
peptide_nm_356,-1.10191,0
peptide_nm_357,-0.23779,0
peptide_nm_358,-0.80095,0
peptide_nm_359,1.85854,0
peptide_nm_360,-0.49938,0
peptide_nm_361,0.21129,0
peptide_nm_362,-0.18793,0
peptide_nm_363,0.77748,0
peptide_nm_364,-1.02031,0
peptide_nm_365,-0.65406,0
peptide_nm_366,0.12905,0
peptide_nm_367,0.83726,0
peptide_nm_368,-0.91314,0
peptide_nm_369,0.21209,0
peptide_nm_370,-0.79263,0
peptide_nm_371,0.63106,0
peptide_nm_372,-0.89447,0
peptide_nm_373,-0.16444,0
peptide_nm_374,-1.51826,0
peptide_nm_375,-0.4099,0
peptide_nm_376,2.55211,0
peptide_nm_377,-0.73392,0
peptide_nm_378,0.36854,0
peptide_nm_379,-0.11949,0
peptide_nm_380,0.40797,0
peptide_nm_381,-0.99711,0
peptide_nm_382,-0.42635,0
peptide_nm_383,-0.51924,0
peptide_nm_384,-0.05085,0
peptide_nm_385,-0.44326,0
peptide_nm_386,2.19026,0
peptide_nm_387,0.76455,0
peptide_nm_388,2.72845,0
peptide_nm_389,0.24519,0
peptide_nm_390,0.18187,0
peptide_nm_391,-0.59306,0
peptide_nm_392,0.12513,0
peptide_nm_393,0.4825,0
peptide_nm_394,0.16995,0
peptide_nm_395,1.48791,0
peptide_nm_396,-0.35248,0
peptide_nm_397,1.9413,0
peptide_nm_398,-1.13394,0
peptide_nm_399,1.15243,0
peptide_nm_400,-1.10435,0
peptide_nm_401,-1.29644,0
peptide_nm_402,-0.78965,0
peptide_nm_403,0.447,0
peptide_nm_404,0.98769,0
peptide_nm_405,0.13961,0
peptide_nm_406,-0.59928,0
peptide_nm_407,-0.24082,0
peptide_nm_408,-1.0921,0
peptide_nm_409,-0.67823,0
peptide_nm_410,-1.21184,0
peptide_nm_411,0.23653,0
peptide_nm_412,-0.23969,0
peptide_nm_413,-0.30988,0
peptide_nm_414,-0.68482,0
peptide_nm_415,0.22567,0
peptide_nm_416,1.02853,0
peptide_nm_417,1.72616,0
peptide_nm_418,-0.30945,0
peptide_nm_419,-0.06397,0
peptide_nm_420,-1.00648,0
peptide_nm_421,-0.27249,0
peptide_nm_422,-0.42142,0
peptide_nm_423,-1.34452,0
peptide_nm_424,-0.32458,0
peptide_nm_425,-1.26254,0
peptide_nm_426,-0.13861,0
peptide_nm_427,-0.03768,0
peptide_nm_428,-0.57928,0
peptide_nm_429,-0.03759,0
peptide_nm_430,0.1988,0
peptide_nm_431,0.06335,0
peptide_nm_432,0.3957,0
peptide_nm_433,0.15686,0
peptide_nm_434,-0.75772,0
peptide_nm_435,-0.17919,0
peptide_nm_436,-0.09783,0
peptide_nm_437,-0.55776,0
peptide_nm_438,2.19538,0
peptide_nm_439,-0.20237,0
peptide_nm_440,-0.53059,0
peptide_nm_441,-0.01797,0
peptide_nm_442,0.74491,0
peptide_pm_1,1.89905,1
peptide_pm_2,-0.51152,1
peptide_pm_3,2.32333,1
peptide_pm_4,0.05124,1
peptide_pm_5,0.82023,1
peptide_pm_6,-0.74058,1
peptide_pm_7,-0.16002,1
peptide_pm_8,0.39044,1
peptide_pm_9,0.73254,1
peptide_pm_10,0.89751,1
peptide_pm_11,-0.92712,1
peptide_pm_12,-1.13736,1
peptide_pm_13,-0.65694,1
peptide_pm_14,0.0994,1
peptide_pm_15,-0.27952,1
peptide_pm_16,-1.1909,1
peptide_pm_17,2.27678,1
peptide_pm_18,-0.54784,1
peptide_pm_19,-1.36877,1
peptide_pm_20,1.22245,1
peptide_pm_21,-1.04025,1
peptide_pm_22,-0.37387,1
peptide_pm_23,-0.83491,1
peptide_pm_24,-1.28123,1
peptide_pm_25,-0.73792,1
peptide_pm_26,-0.22822,1
peptide_pm_27,-0.91039,1
peptide_pm_28,1.04837,1
peptide_pm_29,2.70971,1
peptide_pm_30,-1.14686,1
peptide_pm_31,0.7927,1
peptide_pm_32,0.84509,1
peptide_pm_33,-0.32573,1
peptide_pm_34,-0.34484,1
peptide_pm_35,2.6183,1
peptide_pm_36,-0.54745,1
peptide_pm_37,-0.49412,1
peptide_pm_38,2.84556,1
peptide_pm_39,-0.83012,1
peptide_pm_40,-0.92454,1
peptide_pm_41,-0.33341,1
peptide_pm_42,-0.55757,1
peptide_pm_43,-1.45113,1
peptide_pm_44,0.26127,1
peptide_pm_45,-1.11743,1
peptide_pm_46,-0.00889,1
peptide_pm_47,-1.08459,1
peptide_pm_48,0.08136,1
peptide_pm_49,0.71946,1
peptide_pm_50,0.71833,1
peptide_pm_51,-0.47399,1
peptide_pm_52,-0.93286,1
peptide_pm_53,0.30578,1
peptide_pm_54,-0.43517,1
peptide_pm_55,-0.76775,1
peptide_pm_56,-0.81055,1
peptide_pm_57,-0.40448,1
peptide_pm_58,-1.18808,1
peptide_pm_59,-0.86564,1
peptide_pm_60,2.00473,1
peptide_pm_61,0.1259,1
peptide_pm_62,-0.02571,1
peptide_pm_63,-0.76148,1
peptide_pm_64,-0.85565,1
peptide_pm_65,-1.31092,1
peptide_pm_66,-0.02845,1
peptide_pm_67,-0.03515,1
peptide_pm_68,2.03405,1
peptide_pm_69,-1.1628,1
peptide_pm_70,-1.42411,1
peptide_pm_71,0.19819,1
peptide_pm_72,0.14524,1
peptide_pm_73,1.50906,1
peptide_pm_74,-0.12523,1
peptide_pm_75,-0.51016,1
peptide_pm_76,-0.86443,1
peptide_pm_77,-0.12747,1
peptide_pm_78,-0.02081,1
peptide_pm_79,-0.79758,1
peptide_pm_80,0.99252,1
peptide_pm_81,-0.80236,1
peptide_pm_82,1.75851,1
peptide_pm_83,-0.70616,1
peptide_pm_84,0.8356,1
peptide_pm_85,2.90243,1
peptide_pm_86,-0.82611,1
peptide_pm_87,2.62846,1
peptide_pm_88,-0.88831,1
peptide_pm_89,2.50319,1
peptide_pm_90,0.75151,1
peptide_pm_91,-1.26731,1
peptide_pm_92,0.0646,1
peptide_pm_93,-0.75949,1
peptide_pm_94,-0.2141,1
peptide_pm_95,-0.97623,1
peptide_pm_96,0.61206,1
peptide_pm_97,-0.15211,1
peptide_pm_98,-0.15346,1
peptide_pm_99,0.16373,1
peptide_pm_100,0.38456,1
peptide_pm_101,0.47645,1
peptide_pm_102,-0.60147,1
peptide_pm_103,-1.0127,1
peptide_pm_104,-0.71624,1
peptide_pm_105,1.88586,1
peptide_pm_106,0.53047,1
peptide_pm_107,0.32161,1
peptide_pm_108,0.12237,1
peptide_pm_109,0.10613,1
peptide_pm_110,2.07498,1
peptide_pm_111,2.22263,1
peptide_pm_112,0.21491,1
peptide_pm_113,-0.23942,1
peptide_pm_114,-0.77952,1
peptide_pm_115,-1.01256,1
peptide_pm_116,-0.27397,1
peptide_pm_117,0.74981,1
peptide_pm_118,2.00376,1
peptide_pm_119,-0.38486,1
peptide_pm_120,0.8418,1
peptide_pm_121,-1.00366,1
peptide_pm_122,-1.37737,1
peptide_pm_123,-0.54906,1
peptide_pm_124,0.18724,1
peptide_pm_125,0.65944,1
peptide_pm_126,0.99356,1
peptide_pm_127,0.47083,1
peptide_pm_128,-1.36479,1
peptide_pm_129,0.43026,1
peptide_pm_130,-1.19143,1
peptide_pm_131,0.12835,1
peptide_pm_132,-0.5547,1
peptide_pm_133,-0.7867,1
peptide_pm_134,-0.00609,1
peptide_pm_135,0.72413,1
peptide_pm_136,1.47135,1
peptide_pm_137,1.45108,1
peptide_pm_138,-0.43595,1
peptide_pm_139,-0.28816,1
peptide_pm_140,-0.45845,1
peptide_pm_141,-1.07488,1
peptide_pm_142,2.10071,1
peptide_pm_143,-0.83945,1
peptide_pm_144,1.51983,1
peptide_pm_145,-1.20177,1
peptide_pm_146,0.17961,1
peptide_pm_147,0.06437,1
peptide_pm_148,0.06841,1
peptide_pm_149,-0.21398,1
peptide_pm_150,0.26203,1
peptide_pm_151,-0.08778,1
peptide_pm_152,2.12585,1
peptide_pm_153,-1.34609,1
peptide_pm_154,-0.60505,1
peptide_pm_155,-0.83299,1
peptide_pm_156,0.07987,1
peptide_pm_157,0.38821,1
peptide_pm_158,0.97662,1
peptide_pm_159,-0.03571,1
peptide_pm_160,-0.7826,1
peptide_pm_161,-1.01784,1
peptide_pm_162,-0.64465,1
peptide_pm_163,0.28186,1
peptide_pm_164,-1.00567,1
peptide_pm_165,1.21087,1
peptide_pm_166,-0.97802,1
peptide_pm_167,-0.46812,1
peptide_pm_168,0.96661,1
peptide_pm_169,-0.72906,1
peptide_pm_170,-0.35992,1
peptide_pm_171,1.67432,1
peptide_pm_172,-1.31453,1
peptide_pm_173,-0.9428,1
peptide_pm_174,-0.62254,1
peptide_pm_175,0.16117,1
peptide_pm_176,-1.06328,1
peptide_pm_177,-0.75733,1
peptide_pm_178,0.08671,1
peptide_pm_179,2.24073,1
peptide_pm_180,0.68669,1
peptide_pm_181,-1.07848,1
peptide_pm_182,-0.81903,1
peptide_pm_183,-0.35028,1
peptide_pm_184,1.47532,1
peptide_pm_185,0.1491,1
peptide_pm_186,1.86229,1
peptide_pm_187,-0.01712,1
peptide_pm_188,-1.02707,1
peptide_pm_189,0.14108,1
peptide_pm_190,-0.16533,1
peptide_pm_191,-0.78808,1
peptide_pm_192,1.36903,1
peptide_pm_193,0.06266,1
peptide_pm_194,-0.10975,1
peptide_pm_195,0.53817,1
peptide_pm_196,-0.5185,1
peptide_pm_197,-0.48645,1
peptide_pm_198,0.21021,1
peptide_pm_199,-0.78639,1
peptide_pm_200,-1.1222,1
peptide_pm_201,-1.25645,1
peptide_pm_202,2.55909,1
peptide_pm_203,-0.50915,1
peptide_pm_204,-0.44268,1
peptide_pm_205,-1.06982,1
peptide_pm_206,-0.91085,1
peptide_pm_207,0.1629,1
peptide_pm_208,-0.99877,1
peptide_pm_209,-1.07858,1
peptide_pm_210,-0.7888,1
peptide_pm_211,1.3175,1
peptide_pm_212,0.00862,1
peptide_pm_213,-0.09539,1
peptide_pm_214,0.66569,1
peptide_pm_215,0.41229,1
peptide_pm_216,0.86657,1
peptide_pm_217,-0.70072,1
peptide_pm_218,1.91001,1
peptide_pm_219,0.2156,1
peptide_pm_220,0.32445,1
peptide_pm_221,0.11208,1
peptide_pm_222,-0.81385,1
peptide_pm_223,0.48822,1
peptide_pm_224,0.13027,1
peptide_pm_225,-0.96822,1
peptide_pm_226,-0.86744,1
peptide_pm_227,0.26143,1
peptide_pm_228,-1.0086,1
peptide_pm_229,-0.42017,1
peptide_pm_230,-0.68083,1
peptide_pm_231,0.2783,1
peptide_pm_232,-0.69553,1
peptide_pm_233,0.59829,1
peptide_pm_234,-0.1185,1
peptide_pm_235,-1.29249,1
peptide_pm_236,1.99493,1
peptide_pm_237,-0.45828,1
peptide_pm_238,-0.70582,1
peptide_pm_239,-0.64551,1
peptide_pm_240,1.85811,1
peptide_pm_241,0.2253,1
peptide_pm_242,0.94843,1
peptide_pm_243,-1.01929,1
peptide_pm_244,-0.40846,1
peptide_pm_245,-0.96681,1
peptide_pm_246,1.45065,1
peptide_pm_247,-0.55724,1
peptide_pm_248,-0.20409,1
peptide_pm_249,-0.5073,1
peptide_pm_250,-0.90244,1
peptide_pm_251,1.40849,1
peptide_pm_252,-1.38143,1
peptide_pm_253,0.20001,1
peptide_pm_254,1.40834,1
peptide_pm_255,-1.40402,1
peptide_pm_256,-0.58964,1
peptide_pm_257,-0.58694,1
peptide_pm_258,-0.7923,1
peptide_pm_259,0.00633,1
peptide_pm_260,-0.97224,1
peptide_pm_261,-0.29347,1
peptide_pm_262,0.86196,1
peptide_pm_263,2.44806,1
peptide_pm_264,-1.40526,1
peptide_pm_265,-0.93708,1
peptide_pm_266,-0.92956,1
peptide_pm_267,0.1844,1
peptide_pm_268,2.63276,1
peptide_pm_269,1.35653,1
peptide_pm_270,1.97629,1
peptide_pm_271,0.117,1
peptide_pm_272,-0.75827,1
peptide_pm_273,-0.07479,1
peptide_pm_274,-0.39498,1
peptide_pm_275,-1.39704,1
peptide_pm_276,-0.53421,1
peptide_pm_277,0.99116,1
peptide_pm_278,-1.59039,1
peptide_pm_279,-0.5527,1
peptide_pm_280,2.70607,1
peptide_pm_281,-0.62143,1
peptide_pm_282,-0.91196,1
peptide_pm_283,0.30292,1
peptide_pm_284,-0.40205,1
peptide_pm_285,0.25712,1
peptide_pm_286,0.13758,1
peptide_pm_287,-1.03315,1
peptide_pm_288,1.08847,1
peptide_pm_289,0.18297,1
peptide_pm_290,-0.63867,1
peptide_pm_291,1.57643,1
peptide_pm_292,-1.25397,1
peptide_pm_293,2.49154,1
peptide_pm_294,0.46309,1
peptide_pm_295,0.4233,1
peptide_pm_296,-1.04613,1
peptide_pm_297,0.31963,1
peptide_pm_298,0.00544,1
peptide_pm_299,0.35798,1
peptide_pm_300,2.55367,1
peptide_pm_301,-0.54833,1
peptide_pm_302,-0.9752,1
peptide_pm_303,-1.19874,1
peptide_pm_304,1.29413,1
peptide_pm_305,-1.19691,1
peptide_pm_306,0.30502,1
peptide_pm_307,-1.10226,1
peptide_pm_308,-0.14578,1
peptide_pm_309,2.82314,1
peptide_pm_310,2.39615,1
peptide_pm_311,0.8385,1
peptide_pm_312,-0.55374,1
peptide_pm_313,-1.10853,1
peptide_pm_314,0.34776,1
peptide_pm_315,0.06063,1
peptide_pm_316,-1.22143,1
peptide_pm_317,-0.73539,1
peptide_pm_318,0.2677,1
peptide_pm_319,0.78359,1
peptide_pm_320,0.9511,1
peptide_pm_321,-0.90238,1
peptide_pm_322,-0.93478,1
peptide_pm_323,0.0654,1
peptide_pm_324,0.13214,1
peptide_pm_325,-0.07906,1
peptide_pm_326,1.85628,1
peptide_pm_327,1.11778,1
peptide_pm_328,1.56159,1
peptide_pm_329,-0.27614,1
peptide_pm_330,-0.97189,1
peptide_pm_331,0.50336,1
peptide_pm_332,2.14046,1
peptide_pm_333,-0.8622,1
peptide_pm_334,0.66306,1
peptide_pm_335,0.53522,1
peptide_pm_336,0.17961,1
peptide_pm_337,-0.6794,1
peptide_pm_338,0.12313,1
peptide_pm_339,-1.35909,1
peptide_pm_340,0.15103,1
peptide_pm_341,-0.83991,1
peptide_pm_342,-0.55631,1
peptide_pm_343,1.85399,1
peptide_pm_344,-1.49984,1
peptide_pm_345,0.43092,1
peptide_pm_346,1.36845,1
peptide_pm_347,-0.95014,1
peptide_pm_348,-1.06016,1
peptide_pm_349,-0.15429,1
peptide_pm_350,2.55797,1
peptide_pm_351,1.36983,1
peptide_pm_352,-0.74005,1
peptide_pm_353,2.15543,1
peptide_pm_354,0.71435,1
peptide_pm_355,-0.52216,1
peptide_pm_356,0.15827,1
peptide_pm_357,-1.11417,1
peptide_pm_358,2.61322,1
peptide_pm_359,-0.44292,1
peptide_pm_360,1.32103,1
peptide_pm_361,0.60176,1
peptide_pm_362,1.36201,1
peptide_pm_363,0.55183,1
peptide_pm_364,0.35961,1
peptide_pm_365,2.23631,1
peptide_pm_366,0.56031,1
peptide_pm_367,-0.70363,1
peptide_pm_368,-0.49817,1
peptide_pm_369,0.18884,1
peptide_pm_370,-0.16157,1
peptide_pm_371,-0.07635,1
peptide_pm_372,0.02922,1
peptide_pm_373,0.57253,1
peptide_pm_374,-0.35655,1
peptide_pm_375,-1.1391,1
peptide_pm_376,-0.21027,1
peptide_pm_377,0.37238,1
peptide_pm_378,0.53861,1
peptide_pm_379,0.15571,1
peptide_pm_380,-0.56568,1
peptide_pm_381,-0.33217,1
peptide_pm_382,1.1338,1
peptide_pm_383,-0.55769,1
peptide_pm_384,1.55192,1
peptide_pm_385,0.48581,1
peptide_pm_386,-0.64313,1
peptide_pm_387,-0.94851,1
peptide_pm_388,-0.18821,1
peptide_pm_389,1.19422,1
peptide_pm_390,2.61385,1
peptide_pm_391,0.64468,1
peptide_pm_392,-1.1845,1
peptide_pm_393,-1.08344,1
peptide_pm_394,1.55028,1
peptide_pm_395,0.23541,1
peptide_pm_396,0.94288,1
peptide_pm_397,-0.40897,1
peptide_pm_398,1.30157,1
peptide_pm_399,1.7637,1
peptide_pm_400,-0.90447,1
peptide_pm_401,0.86035,1
peptide_pm_402,-0.39263,1
