,Z3__1,Z3__2,Z3__3,Z3__4,Z3__5,Z3__6,Z3__7,Z3__8,Z3__9,Z3__10,Z3__11,Z3__12,Z3__13,Z3__14,Z3__15,Z3__16,Z3__17,Z3__18,Z3__19,Z3__20,Z3__21,Z3__22,Z3__23,Z3__24,Z3__25,Z3__26,Z3__27,Z3__28,Z3__29,Z3__30,y
peptide_nm_11,-1.22493,-0.40999,0.06732,-0.8988,-0.8357,-0.87806,-0.89078,1.62703,-1.09837,0.64243,-0.19058,-0.6269,-0.94646,0.10944,-0.18263,0.20906,-1.71528,-0.84982,-0.92223,0.03836,-0.02935,1.29611,-0.00659,-0.9377,1.17445,-0.75871,0.07263,-0.05658,-0.12035,-0.73205,0
peptide_nm_12,-0.34539,-0.03872,0.6052,-0.69259,-0.58027,-0.78783,-1.40885,-0.10932,0.27448,-1.23096,0.1714,0.656,-0.07319,0.54747,-0.06104,-0.08623,-0.57689,-0.2682,0.49305,-0.50926,0.1444,0.3079,-1.04219,0.65861,-1.00699,-0.65261,-0.60523,-0.30103,-0.21992,-0.34587,0
peptide_nm_13,-1.14381,0.55351,1.10499,0.50195,-0.05219,-0.80807,-0.62971,-0.46263,-0.04894,-0.49515,-0.32091,-0.73176,-0.79906,-0.44517,-0.72969,0.86193,1.12895,0.141,-0.28971,-0.99951,-0.05562,-0.52428,-0.60313,0.31534,1.90267,-0.13456,0.1866,-0.57515,-0.31128,-0.19221,0
peptide_nm_14,-0.91809,-0.77344,0.18338,-0.15836,-0.74302,0.36654,-0.62871,-0.32238,-0.80966,0.42395,0.60367,-0.19299,0.14509,-1.00196,-0.71249,-0.60481,-1.35304,0.82132,-0.95227,0.40031,0.66926,0.34493,-0.35292,-0.32744,-0.17927,-0.73293,-0.18364,-1.14984,-0.30218,0.05699,0
peptide_nm_15,-1.61255,0.53443,0.46318,-0.56089,-0.8446,-1.84957,-0.80417,-0.6339,-1.22295,-2.17819,0.16122,-0.08677,-0.34421,0.12657,-0.60425,2.67446,2.7352,3.238,1.67513,3.00531,0.77621,-1.86179,-1.80856,-1.02078,-0.34689,-0.61027,-0.68706,-0.695,0.00604,-0.16015,0
peptide_nm_16,-0.23274,-0.24179,-0.02432,1.08991,-0.6986,0.32057,-0.31392,0.10505,0.81862,-0.13632,1.32049,0.58423,-0.28313,0.22952,0.61867,-0.78293,-0.66748,-0.41637,-1.16936,0.19763,1.46751,0.70822,-1.08402,-1.016,0.51073,-0.97385,-0.11466,-0.84177,-0.01263,-0.10726,0
peptide_nm_17,-1.32226,0.27749,0.07785,-0.22042,-0.21782,-0.44542,-0.12514,0.09774,-0.28841,-0.58301,-0.14281,0.07784,0.25236,0.09669,-0.19049,-0.3743,-0.01724,-0.6329,-0.51081,0.17883,0.65762,0.02417,0.44493,-0.10503,-0.48055,-0.42677,-0.16047,-0.245,-0.10654,-0.28987,0
peptide_nm_18,-0.13656,0.55487,0.32402,0.02554,-1.42719,-0.18755,-0.80861,1.06729,0.30011,-2.21401,1.9824,0.17042,-0.48856,0.82171,-1.70172,-0.50951,-1.2593,-1.11031,0.42494,-1.23843,0.55079,0.22015,-0.53723,0.39351,-1.27665,-0.37592,-0.38676,-0.04232,-0.58307,-0.93959,0
peptide_nm_19,-1.18616,0.12013,0.04219,0.30658,-0.64535,1.27777,0.11754,0.11643,0.36381,0.06462,-0.57043,-0.23834,0.772,0.03591,0.3102,-1.25259,-0.44277,0.00844,-0.09036,-0.13151,-0.03944,-0.85144,0.22433,-0.54901,-0.02558,-0.05228,0.52713,1.12126,0.00523,-0.14367,0
peptide_nm_20,-0.85737,-0.21427,1.20923,-1.01035,-0.05523,0.62662,0.65466,0.19075,-1.55377,-0.37788,0.17368,0.2207,-0.75368,0.16383,-0.68364,0.62168,-1.12839,-1.4746,-0.78861,0.1791,0.02024,1.09044,-1.09356,0.50932,0.3649,-0.30196,-0.80492,0.08652,-0.11614,-0.57844,0
peptide_nm_21,-0.92088,-0.60192,0.911,0.09503,-0.29084,-1.01854,0.70629,-0.2286,-0.05998,0.1965,1.19581,-0.34448,-0.02521,-0.37395,0.24878,1.25309,1.61151,2.58459,0.54356,2.72065,1.10388,1.22178,-0.5447,0.69352,0.40986,-1.54232,-0.40268,-0.37791,-0.2894,-0.10829,0
peptide_nm_22,-0.1418,0.45084,0.24217,-1.61001,-1.62254,-2.05774,-0.57709,0.74679,-0.6744,-1.57467,1.28892,0.0742,0.0187,-0.53487,-0.32875,3.81892,1.66363,-0.09157,2.00512,6.11881,0.89218,0.45181,-0.70364,1.37316,-1.0181,-0.97208,-0.03668,0.14002,-0.01564,-0.58585,0
peptide_nm_23,-1.31877,-0.16395,1.31367,-0.08834,-0.28124,-0.71969,-0.99106,-0.47304,-0.96881,-0.46388,0.39125,0.25314,-0.80771,-0.6351,-0.80485,-0.05496,0.46973,0.53432,0.74923,-0.14118,0.87388,0.84297,-1.26832,-0.42329,-0.74131,-0.57008,-0.2063,-0.57753,-0.35837,-0.68694,0
peptide_nm_24,-0.30485,-1.3226,-0.16628,0.02649,-0.27898,0.28441,0.14537,0.08465,1.12305,0.15821,0.43933,0.08255,-0.85873,0.52705,-0.08376,-1.13265,0.05972,0.08607,-0.54849,-0.73699,0.38708,-0.02406,0.10655,0.4002,-0.01629,-1.20937,-0.14875,-0.08492,-0.14494,-0.32124,0
peptide_nm_25,-1.65336,0.29676,-0.78138,-0.81235,-0.09027,0.02095,0.62395,0.53857,-1.2475,-1.6878,-0.26953,1.61775,-0.11453,-1.13853,-0.12338,-0.4594,2.29854,2.28936,2.05075,1.066,-0.40132,-0.60554,0.64927,0.91409,-0.08408,0.81811,-2.33377,-2.86819,1.6765,-0.37016,0
peptide_nm_26,1.34218,-1.11467,0.31699,-1.63443,-1.77583,0.07713,0.41601,1.33136,-0.36539,0.42333,2.23727,-0.30862,0.72541,0.29679,0.03908,-0.95869,-0.11639,-0.45382,-0.62497,0.00493,1.96468,0.90801,0.61344,-0.53615,-0.2511,-0.76294,-0.1865,0.32103,-0.21024,-0.11965,0
peptide_nm_27,-0.16985,-0.92926,-0.17041,-0.72947,0.48715,-0.36629,-0.83489,-0.23743,0.61332,-1.5574,0.31286,-1.53478,0.97456,-1.03597,0.57539,-0.30226,-1.42163,0.38337,-0.18958,-0.9137,0.74828,0.53598,0.56064,-0.24605,0.3773,-0.02598,-0.6263,0.45669,-1.25649,0.18047,0
peptide_nm_28,-0.13718,0.17714,-0.84544,-0.57769,0.31885,1.1174,0.52501,-1.39614,-0.03593,0.4377,1.12357,-0.23753,-0.82683,-1.3633,0.45782,-0.35183,-0.73804,0.4211,-0.23991,1.05522,0.96593,0.33829,0.35108,-0.35303,1.06662,-0.56412,-0.68693,0.2135,-1.01994,-0.45631,0
peptide_nm_29,-0.38832,1.4405,0.83461,0.23649,-0.18023,1.37248,0.73761,0.50175,-0.19781,-0.15669,-0.81455,-1.56067,-0.23449,-0.25786,-2.09525,-1.18121,0.09669,-0.17088,-0.71037,-0.94163,-0.99018,-0.17765,-0.63785,-0.02285,-0.13204,0.8188,-0.16396,-0.80139,-0.46189,1.06549,0
peptide_nm_30,-1.1033,0.40169,0.70218,-0.58371,-0.34519,-0.78868,1.05298,1.16531,1.19921,-0.24747,0.05176,0.35826,-0.23653,-0.85327,0.56204,0.86596,1.38752,-0.61676,-0.76141,-0.45104,-0.24233,-0.58923,2.23406,1.74934,-0.07504,0.27441,0.78917,-0.78262,-0.6673,-1.17358,0
peptide_nm_31,-0.28901,0.3104,0.67735,-0.85591,-1.27419,-0.4047,-0.73111,0.11482,0.52823,-0.57201,0.36423,-0.20427,0.16578,-0.20011,-0.5653,0.58376,0.91964,0.13626,-0.21136,0.25376,0.41739,0.83485,-0.74984,0.65673,-1.10252,0.16039,-0.89954,-0.60728,-1.11795,-0.02771,0
peptide_nm_32,-1.23684,1.13461,0.18467,-0.97365,-0.5005,-0.67899,-1.02597,0.73795,-0.72355,-1.10226,0.53586,0.43417,0.52095,1.06213,0.3031,1.14765,-1.1416,-1.40533,0.99342,-1.26752,0.15826,2.06555,1.50122,-2.53826,-2.18366,-0.116,0.75594,-1.09665,-0.64592,-0.85281,0
peptide_nm_33,-0.53755,-0.08997,-0.67055,-2.04659,0.38989,1.56851,-0.0256,-0.16174,-0.10611,0.07289,0.41325,-0.6452,-0.67784,0.62597,0.62917,-1.15032,0.1017,-0.57721,-0.35203,0.10003,0.05637,0.35286,0.76391,0.08601,1.38202,-0.40444,-0.02524,0.08673,0.14387,-0.76652,0
peptide_nm_34,-1.06841,0.61764,-0.3679,-0.50551,-0.67979,1.05893,0.64389,0.67808,0.78745,1.7529,1.68638,0.75648,-0.84895,-0.02764,1.75022,-0.34948,1.01225,2.17816,0.76448,1.56918,3.25551,0.46138,1.71995,0.13021,0.57374,-0.60143,-0.41738,0.48993,0.059,-0.31378,0
peptide_nm_35,-1.26837,0.31369,0.38708,-0.27147,-0.07854,-0.16697,-0.60029,0.33746,-0.52688,-1.16874,1.0091,-0.37638,0.38228,-0.4178,-0.39434,-0.2419,-1.82193,0.09255,-1.27576,-0.70907,0.40223,1.6995,-0.31496,0.88588,-1.6899,0.80651,-1.1181,-0.80666,0.69982,-2.28171,0
peptide_nm_36,0.43988,-2.33175,1.06437,-1.38822,0.40112,0.36711,-0.94378,-0.21277,0.27034,-0.09915,0.77814,-0.87664,-0.0946,-0.48223,1.06023,-1.1999,-1.1663,0.22146,-1.01717,0.05782,0.37387,-0.84577,-0.08629,-0.978,-0.02671,-0.79278,-0.23559,-0.43285,0.13613,-0.25683,0
peptide_nm_37,-0.29356,-0.129,-0.12006,0.2078,-0.23308,0.02989,-0.01157,0.0807,-0.52574,-0.62188,1.16631,-0.74418,-0.5467,0.72767,-0.22085,0.63362,1.01212,0.13238,0.12479,0.72422,0.75687,-0.02928,0.28498,0.15471,-0.42133,-0.66793,-0.62532,-0.07061,-0.09909,-0.28098,0
peptide_nm_38,-1.30163,0.43009,0.67531,-0.27002,-0.57646,-0.38146,-0.7345,-0.70411,-0.5178,-0.74853,0.58689,1.28131,-0.05989,-1.13971,-0.21643,-0.95634,0.28658,0.38191,0.12912,-0.44646,-0.46043,0.04181,-0.18174,0.07811,0.48079,0.45119,-0.48465,-0.47215,-0.91932,-1.0603,0
peptide_nm_39,-0.25097,0.24274,-0.76497,-0.92617,0.00875,1.24729,0.68519,0.66177,-0.61443,-0.54398,1.32974,0.05529,-1.26018,0.43456,-0.62755,-0.39709,0.67893,-0.3746,-0.94059,-0.23657,1.398,-0.30535,-1.12882,-0.14123,0.45596,-0.96098,-0.87959,-1.10899,-0.0794,-0.04374,0
peptide_nm_40,-1.02788,1.30531,0.36966,-0.48188,-0.20163,-0.85792,-1.10991,-0.69899,-0.67147,-0.41484,1.06007,0.58225,0.06306,-0.04939,0.24163,0.08897,-1.1826,0.87268,-0.79044,-0.29743,0.87399,0.469,-1.11311,-0.63642,-1.01387,-0.73767,0.1302,-0.0034,-0.13226,-0.10222,0
peptide_nm_41,0.31874,0.81758,0.1429,-0.5768,-0.44764,0.86975,0.12523,0.77966,0.69786,-0.26014,-0.20996,-0.86955,-0.25447,-0.35127,-0.47445,-1.44291,0.40985,0.03043,-0.18601,-0.10717,-0.5967,-0.97837,-0.99419,0.16659,0.63991,0.44336,0.30179,0.92613,-0.6093,-0.20442,0
peptide_nm_43,0.28428,-1.39715,-0.41241,-0.13024,0.52702,-1.43134,0.56369,-0.04996,-0.23488,1.16132,-0.58033,-0.91205,0.73444,0.85623,-0.23424,0.99453,1.39763,0.28931,0.2273,-1.15719,-0.00178,1.56395,-1.00648,-0.12315,0.07292,0.00158,-0.72599,-0.71002,-0.06673,-0.78988,0
peptide_nm_44,-0.25399,-0.55815,-0.3836,0.53256,-0.65536,0.42683,-0.17365,-0.24696,0.82245,-1.15811,1.37355,-0.28797,-0.31497,0.40284,-1.01831,-1.4845,-0.42076,-0.20866,-0.43888,-0.57311,1.50467,-0.30724,-0.38384,0.03292,-0.40364,-0.93907,-0.13046,-0.60215,0.10311,-0.26845,0
peptide_nm_45,-0.33646,-1.17556,0.31914,0.233,-1.28529,0.7692,-0.32245,-0.13924,0.53668,0.16891,0.66284,0.3151,-0.75182,-0.37015,0.8697,-0.87219,-1.08127,-0.31082,0.06329,-0.48748,0.92491,-0.28013,-0.64825,0.56987,0.04973,-0.56463,-0.69684,-0.9942,-0.40161,-0.03023,0
peptide_nm_46,-0.45878,-0.34771,0.70321,-0.5918,-0.63082,0.43177,-0.48854,0.43614,-0.42551,-0.31087,0.58129,-0.15033,-0.74617,-0.73457,-0.59508,-0.38452,-0.05247,-0.44341,-0.44294,-0.11036,0.36118,-0.09693,-0.44178,0.14133,0.1048,-0.46994,-0.24666,0.24734,-0.48759,-0.39714,0
peptide_nm_47,0.31404,0.27679,0.39959,-0.1596,-0.65432,1.53623,0.14645,0.02223,-0.49279,0.26263,0.16901,-0.71533,-0.70033,-0.88656,-0.92024,-0.64768,-0.52493,-0.12501,-0.29603,-0.23748,-0.36131,0.01972,0.2423,-0.4669,-0.88762,0.34573,0.68191,0.38932,-0.06191,-0.16816,0
peptide_nm_48,-0.79056,-1.02424,0.10478,-0.38935,-0.99429,0.27051,0.12343,-0.4281,-0.73485,-0.58756,0.60421,-0.66507,-1.32786,-0.19035,0.06514,0.05263,0.08759,-0.65783,1.17376,1.36904,0.44523,-0.03643,1.82028,0.96444,0.8891,-0.44611,0.16294,-0.65127,-0.84138,0.41085,0
peptide_nm_49,-0.0905,0.86709,0.37327,-1.11822,-0.99076,1.4016,-0.65134,-0.94418,-1.98664,-1.58256,0.86743,-0.94273,-0.15753,-0.08656,0.03384,-0.18556,-0.16583,-0.79304,-0.65176,-1.47446,0.19969,0.02166,-1.55041,0.33297,0.11661,-0.40166,-0.47266,1.08638,-0.00096,-0.15453,0
peptide_nm_50,-0.74137,-0.8407,0.96757,-0.9716,-0.01748,-0.90009,0.56628,-0.18822,-0.96374,-0.61438,0.07177,-0.0742,0.12744,-0.32387,1.38391,0.69746,-1.96647,0.27843,-1.20976,1.07624,-0.21165,-0.44889,-1.65532,-0.15183,0.53728,0.30017,-0.41033,0.25292,-0.20128,-0.81548,0
peptide_nm_51,-0.11488,-0.87395,0.03289,-0.22232,-0.35213,0.61257,-1.31616,0.26511,0.36985,-0.89969,-0.48361,-0.03232,-0.43328,-0.09662,0.11164,-0.6794,-0.76863,-0.79597,-0.67091,-0.52073,-0.32506,-0.18689,0.69207,0.42943,-0.0796,-0.43441,0.60104,0.35976,0.11188,-0.03101,0
peptide_nm_52,1.4857,0.39553,-0.36713,-1.4571,-0.59024,0.48721,0.09755,-0.0689,1.43483,0.9298,0.53849,-0.05021,-0.08568,-1.2947,1.32988,0.26945,-1.44072,0.71455,-0.385,0.04744,0.00865,1.63364,-0.12614,-0.20886,0.4751,-0.44619,-0.42152,-0.71281,0.39833,-0.13985,0
peptide_nm_53,-0.38856,0.03461,0.05681,-0.39036,-0.43074,-0.02429,-0.81301,0.91137,-0.47002,-1.55551,0.74459,-0.58721,0.43951,0.07829,0.10649,-0.48512,-1.2044,-0.17071,0.24463,-0.95749,0.85808,-0.30864,-1.48131,0.31727,-0.46741,-0.70445,-0.38478,-0.21694,-0.14074,-0.43627,0
peptide_nm_54,-0.17727,-1.55938,1.12156,-1.51815,-0.00311,0.3542,-0.35987,0.71178,0.09093,0.29427,-0.08775,1.15473,0.22197,0.44964,-0.14446,-1.3961,0.32903,-0.19533,-0.01287,-0.20603,-0.09888,-0.23299,0.9464,0.71603,0.96883,-0.79873,0.02996,-0.41688,-0.09971,-0.60794,0
peptide_nm_55,-0.74156,0.39532,0.00513,-1.30123,-0.71729,-0.32493,0.36237,0.69829,-0.11389,0.61995,1.27038,0.85808,-0.17578,-1.49352,-0.35572,-0.38435,-1.26879,0.68277,-0.23413,0.46645,1.71228,-1.61931,0.44755,-0.4577,-0.01655,-0.85631,-0.52838,-0.24886,-0.50171,-0.77579,0
peptide_nm_56,0.12925,-0.29369,-0.26746,-0.42945,0.10198,-0.46182,1.12103,0.55016,-1.29229,0.18559,0.5746,-0.59615,0.19408,0.88651,-0.46479,0.63987,1.05128,-0.26688,0.11098,-0.18371,0.74776,0.3763,0.07909,-0.12858,-0.56599,-0.74944,-0.58695,-0.22143,-0.19237,0.14841,0
peptide_nm_57,0.02254,-1.1865,0.53512,-1.6751,-1.198,-0.16365,0.53176,1.95702,-2.08952,-1.57128,1.80291,0.30875,0.07232,-0.55279,-0.97669,0.9229,1.7669,-1.3832,-2.0353,0.29434,1.10185,-0.27026,-2.25513,-1.06215,-0.22661,-1.1765,-0.58801,-0.15584,-0.39182,-0.32947,0
peptide_nm_58,-1.02981,-0.21713,-0.09361,-0.23773,-0.45858,0.30246,-0.49786,-0.06462,-0.49269,-0.32399,0.64209,0.49235,-1.48384,-0.41746,-0.30454,0.2605,1.80073,0.68597,-0.96819,-0.14308,0.1913,1.95437,-0.24318,-0.40975,-1.52903,0.47099,-1.25993,-1.12244,-0.34831,0.11886,0
peptide_nm_59,-0.80934,1.55386,0.67974,-0.66519,-0.96648,0.45952,0.55627,0.15462,-0.15709,0.17214,0.49293,0.25336,-0.53084,-0.51547,-0.14351,-1.0472,-0.23281,-0.68968,0.31452,0.21218,0.4697,-0.20201,-0.06514,-0.26082,-0.2279,-1.14948,-0.84626,-0.04341,-0.14958,-0.63661,0
peptide_nm_60,-0.314,-1.21923,0.65201,-0.64356,-0.80379,0.95327,0.1216,0.9134,-0.01583,-0.25411,1.21463,-0.02759,-0.33506,-1.80145,-0.16349,-0.70925,0.1693,0.14657,0.12172,0.15008,0.72368,-0.35881,-0.37425,-0.67075,-0.10927,0.07965,0.06153,-0.72026,-0.78303,-1.02157,0
peptide_nm_61,-0.5815,0.67791,0.62065,-0.30945,-0.60987,0.50116,-0.3136,-0.23986,-0.93764,-0.19456,0.38717,-0.59554,-0.67478,-0.74323,-0.243,-0.65284,-0.43752,-0.73502,-0.77932,0.20031,0.4445,-0.50054,0.20639,-0.11228,-0.07097,-0.66447,-0.16053,0.44023,-0.52296,0.01122,0
peptide_nm_62,-1.19621,-1.02737,0.64577,-0.60193,-1.21752,-0.34187,0.82338,-0.37887,1.7769,-1.52584,0.57236,-0.37747,-0.47677,0.1947,-1.10602,-0.20072,-0.47012,0.41824,0.06413,0.81622,0.72999,0.04034,0.10359,-0.03895,-0.48123,-1.3628,-0.02623,-0.3244,0.00565,-0.56166,0
peptide_nm_63,-0.36286,-1.19163,0.85846,-0.41142,-1.2073,-0.07908,-0.63665,0.34597,-0.88282,0.24407,0.36243,-1.05249,0.586,-0.7904,0.03846,-1.08915,-0.57989,-0.62953,-1.2414,-0.29649,0.68134,-1.01984,0.12434,-0.27672,0.09373,-0.42389,-0.81869,-0.4464,-0.45295,0.41626,0
peptide_nm_64,0.25859,-1.72581,0.18474,-1.32017,-0.21596,-0.83456,1.49675,-0.12303,-0.93899,-1.02207,0.32217,0.28177,-1.16694,0.13358,0.29926,0.02187,-0.13006,-0.74753,-1.12111,-0.16934,0.58039,-0.32511,0.1575,0.30363,0.46471,-0.76148,-0.01037,-0.82622,-0.50089,-0.37715,0
peptide_nm_65,-0.37722,-1.10644,-0.07001,-0.15266,-0.00393,0.81918,-1.35753,-0.09515,-1.19439,0.53932,0.52336,0.29597,-1.32082,-0.09052,-1.09521,-0.22878,0.61982,-0.62841,-1.16144,0.40983,0.76226,1.73364,0.99715,-0.04686,-1.29211,-0.82496,0.20367,-0.36368,-0.47422,-0.41368,0
peptide_nm_66,-0.42669,0.80233,0.17318,-0.4976,-0.71825,0.48099,1.37469,0.37332,-0.58561,-0.94474,0.71337,-0.82463,-0.48681,0.739,-0.41014,-0.71889,0.10722,-0.26049,-0.23039,-1.38481,-0.03728,-0.90838,-0.69233,-0.90344,-0.6531,1.08952,-1.02483,0.38643,0.21533,-0.46752,0
peptide_nm_67,0.03582,0.29926,0.46394,-0.21994,-0.82857,-0.48995,0.78305,0.61398,1.26302,0.67112,-0.76852,-1.33415,-0.89512,-1.49897,-0.42144,0.3291,-0.8534,-0.15463,-0.36346,-0.31717,-0.83539,0.51811,-0.71274,-1.23583,-1.14807,0.20248,0.21899,-0.28167,-0.29806,-1.08454,0
peptide_nm_68,-1.186,0.47345,0.49586,-0.2988,-0.85793,0.65355,-1.10261,0.58569,-0.00208,-0.95994,0.17911,-0.42983,1.08641,0.38944,-0.49634,-0.12978,-1.98707,0.15394,-0.37566,-1.21409,1.02467,-1.51093,0.23897,-0.26204,-0.97294,0.3204,-0.98282,-0.78616,0.5561,-0.92096,0
peptide_nm_69,-0.54124,-0.15258,1.21743,-1.04076,0.31242,-0.46718,0.26151,0.1985,0.96715,0.44841,0.01806,-0.28728,-0.67747,0.48921,-0.00191,0.18414,0.36825,-0.63503,0.12907,-0.12547,0.20466,0.86286,0.78009,-0.00991,0.18098,-0.89051,0.14957,-0.38662,-0.4863,-0.7291,0
peptide_nm_70,0.05344,0.64528,0.42084,0.0963,-2.02487,1.91688,-0.36426,-0.27851,-1.5512,-2.2613,0.5897,0.1523,-1.44624,0.4281,-0.36559,-0.88183,0.80074,-0.11075,-0.69049,-1.00681,0.79453,0.80665,-0.03259,0.54974,0.78096,-0.08787,0.31125,0.1908,0.31579,0.02431,0
peptide_nm_71,0.299,0.14538,-0.16971,0.45548,-0.76225,-0.20483,-0.16374,0.14427,0.26846,0.78941,0.84017,-0.26961,0.31493,0.59349,-0.4219,-1.59964,0.13749,-0.13203,-0.09491,0.01968,0.84037,0.22428,0.82786,0.16947,0.40406,-1.49792,-0.37571,-0.07861,0.11114,-0.13673,0
peptide_nm_72,0.12361,0.4044,-0.24907,0.31681,-0.08047,1.08782,-0.5936,-0.26412,-0.44203,0.43002,0.96115,0.42308,-1.40892,0.40708,-0.77785,-0.51247,-0.60642,-1.0522,0.24788,0.20482,0.31165,0.48917,0.94356,-0.03728,-0.9626,-0.70125,-0.80725,-0.35343,0.37005,-0.46554,0
peptide_nm_73,-0.26897,-0.36474,-0.20744,-0.7852,-0.2821,1.24342,0.4121,0.46583,-1.64589,-1.51827,-0.21867,-1.19145,-1.32102,0.25397,-0.51982,-0.11175,-0.62801,-1.26279,-1.05557,0.00648,-0.30755,-0.06458,0.08076,0.78472,0.36422,0.23869,0.52313,0.30596,0.87399,0.80737,0
peptide_nm_74,0.84191,-0.97547,0.39158,-1.15274,0.71115,0.43818,-1.73209,-0.04725,-0.40945,-0.24849,0.80696,-1.69525,0.06634,-0.47385,-0.97011,-1.37473,-0.61306,0.35193,-0.11421,-0.16857,1.26896,-0.77526,1.21493,-0.5037,0.21253,-0.58531,-0.7809,-0.43256,0.18983,-0.83869,0
peptide_nm_75,0.20121,0.96111,0.39275,-2.20986,-1.45373,-0.3281,-1.74682,0.3891,-1.55671,-1.13351,-0.37283,0.47018,-0.27908,-0.92027,-0.83474,-0.71268,-1.06062,1.1893,-1.15294,0.4227,1.48032,0.62185,-0.12718,1.07799,-0.12748,-0.58707,0.245,-0.46998,0.01107,-0.73175,0
peptide_nm_76,0.00943,0.9117,1.55374,-0.55072,-0.76818,-1.22074,-1.11576,-0.38113,-0.09005,-0.34654,0.35505,1.08869,-0.44524,0.09709,-0.15941,-0.82359,-0.76682,-0.0398,-1.16189,0.47848,0.67996,-0.81765,0.63421,-1.36639,0.31205,-0.79507,-0.69084,0.25515,-0.95853,0.15188,0
peptide_nm_77,-0.5402,-0.75776,0.30907,-0.48362,-1.09864,-0.02863,-1.38725,-0.08355,1.1148,0.17367,0.76659,-0.39843,0.52479,-0.34218,-0.45789,0.20027,-1.11619,-0.55683,0.12228,-1.23028,0.48387,-0.41477,0.26029,-0.84289,0.76405,-0.92972,-0.63558,-0.73154,-0.10242,-0.18519,0
