,AASI,y
peptide_nm_156,-0.62943,0
peptide_nm_157,0.8645,0
peptide_nm_158,-0.45524,0
peptide_nm_159,0.11477,0
peptide_nm_160,-0.01586,0
peptide_nm_161,2.98307,0
peptide_nm_162,0.22952,0
peptide_nm_163,1.05503,0
peptide_nm_164,-0.15671,0
peptide_nm_165,0.26485,0
peptide_nm_166,-1.49299,0
peptide_nm_167,-0.71497,0
peptide_nm_168,0.95389,0
peptide_nm_169,-1.52705,0
peptide_nm_170,0.1377,0
peptide_nm_171,0.74471,0
peptide_nm_172,0.48775,0
peptide_nm_173,0.52143,0
peptide_nm_174,-1.13021,0
peptide_nm_175,-0.19323,0
peptide_nm_176,0.17982,0
peptide_nm_177,-0.21703,0
peptide_nm_178,2.83791,0
peptide_nm_179,-0.91486,0
peptide_nm_180,-0.40288,0
peptide_nm_181,1.76582,0
peptide_nm_182,0.23368,0
peptide_nm_183,2.33408,0
peptide_nm_184,0.16231,0
peptide_nm_185,-1.13151,0
peptide_nm_186,0.33263,0
peptide_nm_187,-0.41142,0
peptide_nm_188,-1.11002,0
peptide_nm_189,-1.51855,0
peptide_nm_190,-0.75895,0
peptide_nm_191,-0.51781,0
peptide_nm_192,-0.06627,0
peptide_nm_193,-0.88205,0
peptide_nm_194,-1.48259,0
peptide_nm_195,-0.06354,0
peptide_nm_196,0.50836,0
peptide_nm_197,0.62744,0
peptide_nm_198,-0.14338,0
peptide_nm_199,0.73428,0
peptide_nm_200,0.79726,0
peptide_nm_201,-0.75865,0
peptide_nm_202,0.82569,0
peptide_nm_203,-0.434,0
peptide_nm_204,-1.13576,0
peptide_nm_205,-1.427,0
peptide_nm_206,-0.15786,0
peptide_nm_207,1.32554,0
peptide_nm_208,1.46973,0
peptide_nm_209,1.27872,0
peptide_nm_210,-0.31528,0
peptide_nm_211,-0.49457,0
peptide_nm_212,-1.09405,0
peptide_nm_213,-0.9113,0
peptide_nm_214,0.89658,0
peptide_nm_215,0.46469,0
peptide_nm_216,0.35419,0
peptide_nm_217,1.13366,0
peptide_nm_218,1.43159,0
peptide_nm_219,2.35062,0
peptide_nm_220,0.14599,0
peptide_nm_221,-0.29153,0
peptide_nm_222,0.29247,0
peptide_nm_223,-0.59427,0
peptide_nm_224,0.01669,0
peptide_nm_225,-1.02097,0
peptide_nm_226,0.94138,0
peptide_nm_227,-0.38796,0
peptide_nm_228,-1.08213,0
peptide_nm_229,-1.01528,0
peptide_nm_230,-0.2971,0
peptide_nm_231,2.29309,0
peptide_nm_232,-0.81609,0
peptide_nm_233,-1.17036,0
peptide_nm_234,-0.82823,0
peptide_nm_235,1.45011,0
peptide_nm_236,0.30365,0
peptide_nm_237,2.18866,0
peptide_nm_238,-0.84681,0
peptide_nm_239,0.20722,0
peptide_nm_240,-1.23221,0
peptide_nm_241,1.06008,0
peptide_nm_242,-0.95909,0
peptide_nm_243,1.27395,0
peptide_nm_244,-1.05667,0
peptide_nm_245,2.65177,0
peptide_nm_246,0.38144,0
peptide_nm_247,0.10871,0
peptide_nm_248,2.62839,0
peptide_nm_249,0.42193,0
peptide_nm_250,0.38527,0
peptide_nm_251,-0.49482,0
peptide_nm_252,3.42256,0
peptide_nm_253,2.15662,0
peptide_nm_254,-1.04098,0
peptide_nm_255,-0.86252,0
peptide_nm_256,-0.74521,0
peptide_nm_257,1.05935,0
peptide_nm_258,0.12417,0
peptide_nm_259,-1.55204,0
peptide_nm_260,-0.72827,0
peptide_nm_261,-0.54524,0
peptide_nm_262,-1.40937,0
peptide_nm_263,0.74884,0
peptide_nm_264,0.08048,0
peptide_nm_265,-1.00953,0
peptide_nm_266,-0.10182,0
peptide_nm_267,-0.65789,0
peptide_nm_268,-0.39425,0
peptide_nm_269,-1.34404,0
peptide_nm_270,-0.33098,0
peptide_nm_271,-0.35489,0
peptide_nm_272,-0.00521,0
peptide_nm_273,-1.24219,0
peptide_nm_274,-0.98515,0
peptide_nm_275,0.83184,0
peptide_nm_276,-0.59581,0
peptide_nm_277,0.25719,0
peptide_nm_278,-0.4398,0
peptide_nm_279,-1.06817,0
peptide_nm_280,-0.46297,0
peptide_nm_281,0.84065,0
peptide_nm_282,0.33033,0
peptide_nm_283,0.51785,0
peptide_nm_284,-0.05314,0
peptide_nm_285,1.25908,0
peptide_nm_286,0.14507,0
peptide_nm_287,0.5474,0
peptide_nm_288,-0.51496,0
peptide_nm_289,1.04885,0
peptide_nm_290,2.86056,0
peptide_nm_291,-1.11063,0
peptide_nm_292,-0.51814,0
peptide_nm_293,0.38796,0
peptide_nm_294,0.23347,0
peptide_nm_295,-0.23039,0
peptide_nm_296,-1.2613,0
peptide_nm_297,0.70606,0
peptide_nm_298,0.0506,0
peptide_nm_299,0.00541,0
peptide_nm_300,-0.91346,0
peptide_nm_301,1.88425,0
peptide_nm_302,-0.32436,0
peptide_nm_303,1.23934,0
peptide_nm_304,-1.3361,0
peptide_nm_305,-1.31826,0
peptide_nm_306,0.78882,0
peptide_nm_307,0.34494,0
peptide_nm_308,-1.39608,0
peptide_nm_309,0.81544,0
peptide_nm_310,-0.17603,0
peptide_nm_311,-0.90002,0
peptide_nm_312,-0.04689,0
peptide_nm_313,-0.66353,0
peptide_nm_314,-0.27829,0
peptide_nm_315,-0.83911,0
peptide_nm_316,-0.48324,0
peptide_nm_317,0.25578,0
peptide_nm_318,1.60655,0
peptide_nm_319,0.41277,0
peptide_nm_320,0.92341,0
peptide_nm_321,1.10152,0
peptide_nm_322,0.42259,0
peptide_nm_323,1.92613,0
peptide_nm_324,-0.91594,0
peptide_nm_325,-1.1727,0
peptide_nm_326,0.18843,0
peptide_nm_327,-1.31632,0
peptide_nm_328,0.44902,0
peptide_nm_329,-0.99504,0
peptide_nm_330,-0.73857,0
peptide_nm_331,-0.54227,0
peptide_nm_332,-1.32417,0
peptide_nm_333,0.95706,0
peptide_nm_334,0.27306,0
peptide_nm_335,0.7305,0
peptide_nm_336,-0.78325,0
peptide_nm_337,-1.08361,0
peptide_nm_338,0.04877,0
peptide_nm_339,0.58974,0
peptide_nm_340,0.02762,0
peptide_nm_341,1.75823,0
peptide_nm_342,-0.90852,0
peptide_nm_343,-0.48829,0
peptide_nm_344,-0.0405,0
peptide_nm_345,-1.14112,0
peptide_nm_346,-0.23563,0
peptide_nm_347,0.06995,0
peptide_nm_348,-0.89981,0
peptide_nm_349,-0.29325,0
peptide_nm_350,-0.40768,0
peptide_nm_351,-0.88018,0
peptide_nm_352,0.4639,0
peptide_nm_353,1.26761,0
peptide_nm_354,-1.13388,0
peptide_nm_355,-0.40934,0
peptide_nm_356,-0.90116,0
peptide_nm_357,0.21063,0
peptide_nm_358,0.71351,0
peptide_nm_359,2.24003,0
peptide_nm_360,-1.63732,0
peptide_nm_361,0.16983,0
peptide_nm_362,-0.34226,0
peptide_nm_363,0.74351,0
peptide_nm_364,-0.69312,0
peptide_nm_365,-0.54058,0
peptide_nm_366,-0.82882,0
peptide_nm_367,-0.19996,0
peptide_nm_368,-0.10587,0
peptide_nm_369,0.07551,0
peptide_nm_370,-0.98981,0
peptide_nm_371,0.10934,0
peptide_nm_372,-1.18928,0
peptide_nm_373,-1.29669,0
peptide_nm_374,-0.91975,0
peptide_nm_375,-0.996,0
peptide_nm_376,0.33022,0
peptide_nm_377,-0.95328,0
peptide_nm_378,0.53052,0
peptide_nm_379,1.26299,0
peptide_nm_380,-0.62987,0
peptide_nm_381,0.46373,0
peptide_nm_382,-0.83101,0
peptide_nm_383,0.39508,0
peptide_nm_384,-0.64557,0
peptide_nm_385,-0.94764,0
peptide_nm_386,-0.00332,0
peptide_nm_387,1.20557,0
peptide_nm_388,0.81422,0
peptide_nm_389,-0.92926,0
peptide_nm_390,-0.31544,0
peptide_nm_391,0.09205,0
peptide_nm_392,-0.61727,0
peptide_nm_393,-0.56058,0
peptide_nm_394,-0.13666,0
peptide_nm_395,0.76181,0
peptide_nm_396,2.35096,0
peptide_nm_397,0.49379,0
peptide_nm_398,-0.44607,0
peptide_nm_399,-0.31539,0
peptide_nm_400,1.01882,0
peptide_nm_401,-0.71652,0
peptide_nm_402,1.55268,0
peptide_nm_403,-0.835,0
peptide_nm_404,-0.75703,0
peptide_nm_405,0.11403,0
peptide_nm_406,0.47452,0
peptide_nm_407,-0.07804,0
peptide_nm_408,0.6735,0
peptide_nm_409,2.23044,0
peptide_nm_410,-1.18915,0
peptide_nm_411,-0.50159,0
peptide_nm_412,1.08113,0
peptide_nm_413,1.02344,0
peptide_nm_414,0.46849,0
peptide_nm_415,-0.63513,0
peptide_nm_416,1.29081,0
peptide_nm_417,-1.01011,0
peptide_nm_418,0.54539,0
peptide_nm_419,1.15204,0
peptide_nm_420,0.00137,0
peptide_nm_421,-1.44168,0
peptide_nm_422,-0.79553,0
peptide_nm_423,-0.38204,0
peptide_nm_424,-0.09706,0
peptide_nm_425,-0.57604,0
peptide_nm_426,-0.64339,0
peptide_nm_427,-0.87832,0
peptide_nm_428,-0.55007,0
peptide_nm_429,-0.07943,0
peptide_nm_430,2.05389,0
peptide_nm_431,-0.93583,0
peptide_nm_432,0.14339,0
peptide_nm_433,-0.43469,0
peptide_nm_434,-0.3573,0
peptide_nm_435,-0.7504,0
peptide_nm_436,0.49489,0
peptide_nm_437,-1.41549,0
peptide_nm_438,2.9655,0
peptide_nm_439,-0.87548,0
peptide_nm_440,-0.92342,0
peptide_nm_441,1.29499,0
peptide_nm_442,1.36947,0
peptide_pm_1,0.26602,1
peptide_pm_2,-0.20243,1
peptide_pm_3,0.8365,1
peptide_pm_4,0.33602,1
peptide_pm_5,-0.84031,1
peptide_pm_6,-0.78006,1
peptide_pm_7,-0.27282,1
peptide_pm_8,0.14125,1
peptide_pm_9,-0.29437,1
peptide_pm_10,-0.88221,1
peptide_pm_11,1.1918,1
peptide_pm_12,-0.22909,1
peptide_pm_13,-1.16415,1
peptide_pm_14,-0.16907,1
peptide_pm_15,-0.33239,1
peptide_pm_16,0.01829,1
peptide_pm_17,-0.12285,1
peptide_pm_18,-0.80579,1
peptide_pm_19,-0.47895,1
peptide_pm_20,-0.4368,1
peptide_pm_21,-0.21042,1
peptide_pm_22,-0.00388,1
peptide_pm_23,-0.79021,1
peptide_pm_24,0.21045,1
peptide_pm_25,-0.44747,1
peptide_pm_26,-1.05043,1
peptide_pm_27,-0.69215,1
peptide_pm_28,-0.46096,1
peptide_pm_29,1.09288,1
peptide_pm_30,-0.22447,1
peptide_pm_31,-0.522,1
peptide_pm_32,-0.44071,1
peptide_pm_33,-1.01423,1
peptide_pm_34,-0.56823,1
peptide_pm_35,0.58189,1
peptide_pm_36,0.5159,1
peptide_pm_37,-1.27814,1
peptide_pm_38,-0.85023,1
peptide_pm_39,-0.87279,1
peptide_pm_40,-0.19621,1
peptide_pm_41,-0.22167,1
peptide_pm_42,-0.99871,1
peptide_pm_43,-1.33602,1
peptide_pm_44,-0.61558,1
peptide_pm_45,0.17219,1
peptide_pm_46,3.46715,1
peptide_pm_47,0.09576,1
peptide_pm_48,-1.17953,1
peptide_pm_49,-0.67316,1
peptide_pm_50,-0.34847,1
peptide_pm_51,-1.24837,1
peptide_pm_52,-0.69441,1
peptide_pm_53,0.18014,1
peptide_pm_54,-0.84855,1
peptide_pm_55,2.0995,1
peptide_pm_56,0.36924,1
peptide_pm_57,-1.60852,1
peptide_pm_58,0.72695,1
peptide_pm_59,1.19068,1
peptide_pm_60,-0.29567,1
peptide_pm_61,-0.82792,1
peptide_pm_62,-0.98436,1
peptide_pm_63,0.98895,1
peptide_pm_64,-0.33142,1
peptide_pm_65,0.44134,1
peptide_pm_66,-1.03474,1
peptide_pm_67,0.74716,1
peptide_pm_68,-0.50085,1
peptide_pm_69,0.1905,1
peptide_pm_70,-0.91544,1
peptide_pm_71,-0.15643,1
peptide_pm_72,-0.73006,1
peptide_pm_73,0.1566,1
peptide_pm_74,-0.38088,1
peptide_pm_75,-0.2996,1
peptide_pm_76,0.06216,1
peptide_pm_77,-0.46903,1
peptide_pm_78,-0.2984,1
peptide_pm_79,-0.13297,1
peptide_pm_80,-0.39085,1
peptide_pm_81,0.80818,1
peptide_pm_82,0.18469,1
peptide_pm_83,-0.73472,1
peptide_pm_84,-0.35861,1
peptide_pm_85,-0.15449,1
peptide_pm_86,-0.07706,1
peptide_pm_87,0.04572,1
peptide_pm_88,-0.14257,1
peptide_pm_89,-1.05862,1
peptide_pm_90,0.43469,1
peptide_pm_91,0.61262,1
peptide_pm_92,-0.78499,1
peptide_pm_93,-0.04729,1
peptide_pm_94,-0.25756,1
peptide_pm_95,-0.00358,1
peptide_pm_96,-0.64897,1
peptide_pm_97,-0.06176,1
peptide_pm_98,-1.02217,1
peptide_pm_99,-0.70836,1
peptide_pm_100,3.26162,1
peptide_pm_101,-1.5718,1
peptide_pm_102,-0.33622,1
peptide_pm_103,-0.27421,1
peptide_pm_104,0.72953,1
peptide_pm_105,0.41167,1
peptide_pm_106,-0.06126,1
peptide_pm_107,0.54292,1
peptide_pm_108,0.67402,1
peptide_pm_109,-0.31289,1
peptide_pm_110,-0.44622,1
peptide_pm_111,-0.15393,1
peptide_pm_112,-1.06756,1
peptide_pm_113,0.53838,1
peptide_pm_114,0.45138,1
peptide_pm_115,-0.04448,1
peptide_pm_116,-0.8441,1
peptide_pm_117,-0.74364,1
peptide_pm_118,-0.88381,1
peptide_pm_119,-1.29583,1
peptide_pm_120,3.7906,1
peptide_pm_121,1.26149,1
peptide_pm_122,0.16087,1
peptide_pm_123,0.57252,1
peptide_pm_124,-1.21552,1
peptide_pm_125,3.72173,1
peptide_pm_126,-1.2712,1
peptide_pm_127,1.11963,1
peptide_pm_128,-1.0588,1
peptide_pm_129,-0.1341,1
peptide_pm_130,-0.53963,1
peptide_pm_131,0.0079,1
peptide_pm_132,-0.31319,1
peptide_pm_133,0.36718,1
peptide_pm_134,0.33127,1
peptide_pm_135,0.14196,1
peptide_pm_136,1.89419,1
peptide_pm_137,0.20976,1
peptide_pm_138,0.1066,1
peptide_pm_139,0.9423,1
peptide_pm_140,-0.32309,1
peptide_pm_141,-0.29927,1
peptide_pm_142,-0.93263,1
peptide_pm_143,-0.17149,1
peptide_pm_144,-1.11497,1
peptide_pm_145,0.79011,1
peptide_pm_146,3.7078,1
peptide_pm_147,-0.77982,1
peptide_pm_148,1.05123,1
peptide_pm_149,-1.36363,1
peptide_pm_150,-0.02854,1
peptide_pm_151,-0.19734,1
peptide_pm_152,0.73772,1
peptide_pm_153,0.28932,1
peptide_pm_154,0.5593,1
peptide_pm_155,-0.65574,1
peptide_pm_156,-1.08582,1
peptide_pm_157,1.88157,1
peptide_pm_158,-0.44462,1
peptide_pm_159,1.15845,1
peptide_pm_160,-0.69095,1
peptide_pm_161,-0.1759,1
peptide_pm_162,1.07999,1
peptide_pm_163,-1.27642,1
peptide_pm_164,0.69803,1
peptide_pm_165,-0.3276,1
peptide_pm_166,-0.09928,1
peptide_pm_167,0.55688,1
peptide_pm_168,-0.25227,1
peptide_pm_169,-0.16467,1
peptide_pm_170,0.89037,1
peptide_pm_171,-0.0462,1
peptide_pm_172,-0.1515,1
peptide_pm_173,-0.86928,1
peptide_pm_174,-0.18007,1
peptide_pm_175,-0.88314,1
peptide_pm_176,0.29169,1
peptide_pm_177,0.858,1
peptide_pm_178,-0.16665,1
peptide_pm_179,-0.10738,1
peptide_pm_180,-0.58961,1
peptide_pm_181,1.03064,1
peptide_pm_182,0.93383,1
peptide_pm_183,-0.3351,1
peptide_pm_184,-0.97137,1
peptide_pm_185,-0.21164,1
peptide_pm_186,0.40124,1
peptide_pm_187,-0.09941,1
peptide_pm_188,0.00404,1
peptide_pm_189,-1.00086,1
peptide_pm_190,-1.08367,1
peptide_pm_191,1.13403,1
peptide_pm_192,-0.00487,1
peptide_pm_193,-0.99684,1
peptide_pm_194,1.27011,1
peptide_pm_195,-0.45181,1
peptide_pm_196,-0.35066,1
peptide_pm_197,-0.33685,1
peptide_pm_198,0.41781,1
peptide_pm_199,1.06951,1
peptide_pm_200,-0.55365,1
peptide_pm_201,1.80395,1
peptide_pm_202,-0.01018,1
peptide_pm_203,-0.52434,1
peptide_pm_204,-0.81262,1
peptide_pm_205,0.16015,1
peptide_pm_206,-0.87493,1
peptide_pm_207,-0.95544,1
peptide_pm_208,-0.63226,1
peptide_pm_209,-0.75981,1
peptide_pm_210,-0.39459,1
peptide_pm_211,-1.13476,1
peptide_pm_212,-0.85976,1
peptide_pm_213,0.1239,1
peptide_pm_214,-0.23462,1
peptide_pm_215,0.26466,1
peptide_pm_216,-0.40127,1
peptide_pm_217,-0.25409,1
peptide_pm_218,0.62798,1
peptide_pm_219,-0.75234,1
peptide_pm_220,-0.05332,1
peptide_pm_221,1.35679,1
peptide_pm_222,0.58443,1
peptide_pm_223,3.62537,1
peptide_pm_224,-1.15318,1
peptide_pm_225,0.32135,1
peptide_pm_226,1.05858,1
peptide_pm_227,-0.17447,1
peptide_pm_228,0.54085,1
peptide_pm_229,0.11253,1
peptide_pm_230,-0.9173,1
peptide_pm_231,-0.13546,1
peptide_pm_232,0.8281,1
peptide_pm_233,-0.29211,1
peptide_pm_234,0.85681,1
peptide_pm_235,0.11316,1
peptide_pm_236,0.07189,1
peptide_pm_237,-1.5001,1
peptide_pm_238,0.04465,1
peptide_pm_239,-0.37226,1
peptide_pm_240,0.10136,1
peptide_pm_241,-1.17723,1
peptide_pm_242,-0.11776,1
peptide_pm_243,-0.84884,1
peptide_pm_244,0.60384,1
peptide_pm_245,0.45605,1
peptide_pm_246,-1.25943,1
peptide_pm_247,0.54182,1
peptide_pm_248,-1.05271,1
peptide_pm_249,0.21639,1
peptide_pm_250,-0.25113,1
peptide_pm_251,-0.99571,1
peptide_pm_252,-0.39809,1
peptide_pm_253,3.58649,1
peptide_pm_254,-0.86756,1
peptide_pm_255,-0.36189,1
peptide_pm_256,-0.10453,1
peptide_pm_257,0.59708,1
peptide_pm_258,-0.27632,1
peptide_pm_259,0.99946,1
peptide_pm_260,0.89903,1
peptide_pm_261,-0.62458,1
peptide_pm_262,3.64757,1
peptide_pm_263,-0.01628,1
peptide_pm_264,-0.36708,1
peptide_pm_265,-0.32916,1
peptide_pm_266,0.31427,1
peptide_pm_267,0.07663,1
peptide_pm_268,-0.1275,1
peptide_pm_269,-0.44793,1
peptide_pm_270,-0.28984,1
peptide_pm_271,0.86646,1
peptide_pm_272,0.60212,1
peptide_pm_273,-0.71493,1
peptide_pm_274,0.00818,1
peptide_pm_275,-1.39718,1
peptide_pm_276,-0.45344,1
peptide_pm_277,0.89843,1
peptide_pm_278,-1.68357,1
peptide_pm_279,-0.25811,1
peptide_pm_280,-0.0696,1
peptide_pm_281,0.58121,1
peptide_pm_282,0.64937,1
peptide_pm_283,3.88005,1
peptide_pm_284,-0.78282,1
peptide_pm_285,-0.62935,1
peptide_pm_286,-0.93576,1
peptide_pm_287,-0.50108,1
peptide_pm_288,0.46168,1
peptide_pm_289,-0.60578,1
peptide_pm_290,-0.34846,1
peptide_pm_291,-0.17564,1
peptide_pm_292,0.06646,1
peptide_pm_293,0.71595,1
peptide_pm_294,-0.04266,1
peptide_pm_295,3.61124,1
peptide_pm_296,0.82236,1
peptide_pm_297,0.20534,1
peptide_pm_298,0.10583,1
peptide_pm_299,1.10822,1
peptide_pm_300,0.23234,1
peptide_pm_301,-0.30171,1
peptide_pm_302,0.09147,1
peptide_pm_303,-1.37621,1
peptide_pm_304,-0.52696,1
peptide_pm_305,0.10794,1
peptide_pm_306,0.80986,1
peptide_pm_307,0.42072,1
peptide_pm_308,-1.43342,1
peptide_pm_309,-0.92247,1
peptide_pm_310,-0.93431,1
peptide_pm_311,-0.68811,1
peptide_pm_312,-0.32821,1
peptide_pm_313,-0.18492,1
peptide_pm_314,0.09012,1
peptide_pm_315,-0.37413,1
peptide_pm_316,-0.09348,1
peptide_pm_317,-1.21913,1
peptide_pm_318,0.19204,1
peptide_pm_319,0.11082,1
peptide_pm_320,-0.40005,1
peptide_pm_321,-0.09846,1
peptide_pm_322,0.49736,1
peptide_pm_323,-0.75138,1
peptide_pm_324,-0.69557,1
peptide_pm_325,-0.03938,1
peptide_pm_326,0.24273,1
peptide_pm_327,-0.87931,1
peptide_pm_328,0.78316,1
peptide_pm_329,-0.57517,1
peptide_pm_330,-1.24713,1
peptide_pm_331,-0.06135,1
peptide_pm_332,-0.78542,1
peptide_pm_333,-0.11565,1
peptide_pm_334,2.34263,1
peptide_pm_335,-0.8461,1
peptide_pm_336,3.7078,1
peptide_pm_337,-0.96918,1
peptide_pm_338,-0.97858,1
peptide_pm_339,-0.19127,1
peptide_pm_340,0.05514,1
peptide_pm_341,-0.07637,1
peptide_pm_342,-0.74449,1
peptide_pm_343,-0.13687,1
peptide_pm_344,-0.63661,1
peptide_pm_345,0.68427,1
peptide_pm_346,-0.64795,1
peptide_pm_347,-0.28516,1
peptide_pm_348,-0.95965,1
peptide_pm_349,0.55322,1
peptide_pm_350,0.18191,1
peptide_pm_351,-0.12723,1
peptide_pm_352,-0.86588,1
peptide_pm_353,0.56745,1
peptide_pm_354,0.1274,1
peptide_pm_355,0.15707,1
peptide_pm_356,-0.98018,1
peptide_pm_357,-0.35992,1
peptide_pm_358,-0.01595,1
peptide_pm_359,-0.2053,1
peptide_pm_360,0.33471,1
peptide_pm_361,-0.94758,1
peptide_pm_362,-0.75104,1
peptide_pm_363,-0.35626,1
peptide_pm_364,3.57888,1
peptide_pm_365,-0.13759,1
peptide_pm_366,-0.30968,1
peptide_pm_367,0.72025,1
peptide_pm_368,-1.31019,1
peptide_pm_369,-1.24505,1
peptide_pm_370,-0.04461,1
peptide_pm_371,-1.31423,1
peptide_pm_372,-0.85265,1
peptide_pm_373,-0.75121,1
peptide_pm_374,-0.08135,1
peptide_pm_375,-1.5159,1
peptide_pm_376,0.12352,1
peptide_pm_377,-0.80666,1
peptide_pm_378,-1.04947,1
peptide_pm_379,-1.13225,1
peptide_pm_380,0.19037,1
peptide_pm_381,-1.30255,1
peptide_pm_382,0.01588,1
peptide_pm_383,0.09421,1
peptide_pm_384,-0.97746,1
peptide_pm_385,-1.04534,1
peptide_pm_386,-0.64916,1
peptide_pm_387,-0.118,1
peptide_pm_388,0.93997,1
peptide_pm_389,0.82585,1
peptide_pm_390,-0.19087,1
peptide_pm_391,-0.3803,1
peptide_pm_392,-0.81645,1
peptide_pm_393,-0.43882,1
peptide_pm_394,-0.20673,1
peptide_pm_395,-0.91873,1
peptide_pm_396,3.80995,1
peptide_pm_397,0.55197,1
peptide_pm_398,0.24455,1
peptide_pm_399,0.92234,1
peptide_pm_400,-1.40117,1
peptide_pm_401,-0.38009,1
peptide_pm_402,-1.43374,1
