,GDPC_alphaticr.alphaticr,GDPC_alphaticr.aromatic,GDPC_alphaticr.postivecharger,GDPC_alphaticr.negativecharger,GDPC_alphaticr.uncharger,GDPC_aromatic.alphaticr,GDPC_aromatic.aromatic,GDPC_aromatic.postivecharger,GDPC_aromatic.negativecharger,GDPC_aromatic.uncharger,GDPC_postivecharger.alphaticr,GDPC_postivecharger.aromatic,GDPC_postivecharger.postivecharger,GDPC_postivecharger.negativecharger,GDPC_postivecharger.uncharger,GDPC_negativecharger.alphaticr,GDPC_negativecharger.aromatic,GDPC_negativecharger.postivecharger,GDPC_negativecharger.negativecharger,GDPC_negativecharger.uncharger,GDPC_uncharger.alphaticr,GDPC_uncharger.aromatic,GDPC_uncharger.postivecharger,GDPC_uncharger.negativecharger,GDPC_uncharger.uncharger,y
peptide_nm_11,-1.35851,1.10315,0.04221,-0.64811,-0.11078,0.85116,2.64875,-0.52241,-0.32148,3.29956,0.09514,1.19608,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,-0.04218,1.31594,1.30764,-0.50514,-0.63352,0
peptide_nm_12,-0.79712,0.17299,-0.54982,0.27421,-0.16142,-0.76325,-0.31118,0.28556,-0.32148,1.31661,0.04697,-0.5271,-0.66495,0.99802,0.17405,0.26488,1.31153,-0.41086,0.89954,0.71749,0.49754,0.32669,0.24991,0.60319,-0.10957,0
peptide_nm_13,-1.10789,-0.68562,-0.60838,0.17539,0.79348,-0.76325,-0.31118,-0.52241,1.50144,-0.51381,-0.0769,-0.5271,0.89723,-0.42706,0.88118,0.16921,-0.30483,2.31646,-0.27412,0.58614,0.30829,-0.58647,0.1453,1.47403,0.76991,0
peptide_nm_14,-0.18895,-0.68562,-0.3373,1.9139,1.15518,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-0.30629,-0.5271,-0.66495,-0.42706,0.52405,1.85221,-0.30483,-0.41086,-0.27412,-0.50842,1.18445,-0.58647,0.62961,-0.50514,0.09418,0
peptide_nm_15,0.87429,-0.68562,-1.09631,-0.64811,1.38535,0.11734,-0.31118,-0.52241,-0.32148,-0.51381,-0.45227,-0.5271,-0.00221,-0.42706,0.29678,-0.628,-0.30483,1.32471,-0.27412,-0.50842,0.06933,0.45121,0.38305,0.75433,-0.03813,0
peptide_nm_16,-0.5788,0.50689,-1.09631,0.63289,0.31121,-0.76325,-0.31118,-0.52241,2.51418,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,0.52405,4.33242,-0.30483,1.71039,-0.27412,1.19423,-1.26881,-0.58647,-0.72645,4.11292,0.09418,0
peptide_nm_17,-0.49335,0.49055,-0.72201,-0.64811,0.49619,-0.76325,-0.31118,-0.24571,0.37773,0.11305,-0.31729,-0.5271,-0.26549,0.06098,0.50692,-0.628,-0.30483,-0.41086,0.12782,0.33124,0.74757,-0.58647,1.27977,-0.50514,2.058,0
peptide_nm_18,-0.77373,1.10315,-1.09631,1.27339,-0.11078,-0.76325,-0.31118,-0.52241,-0.32148,1.39288,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,3.09232,-0.30483,-0.41086,-0.27412,2.04556,-0.04218,-0.58647,-0.72645,4.11292,0.45804,0
peptide_nm_19,0.20091,-0.68562,0.42171,-0.64811,1.15518,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-0.30629,-0.5271,0.14507,1.55222,0.52405,0.61211,-0.30483,-0.41086,-0.27412,-0.50842,1.18445,-0.58647,0.62961,-0.50514,-0.63352,0
peptide_nm_20,-0.5788,-0.68562,1.18073,0.63289,-0.53276,0.31303,-0.31118,-0.52241,-0.32148,-0.51381,-0.30629,-0.5271,-0.66495,1.55222,0.52405,3.09232,-0.30483,-0.41086,1.35596,-0.50842,-0.45106,-0.58647,-0.72645,1.03421,0.09418,0
peptide_nm_21,1.531,-0.68562,-1.09631,-0.64811,1.30411,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,1.32876,-0.58647,-0.72645,-0.50514,2.44853,0
peptide_nm_22,0.98062,0.50689,-0.3373,0.63289,0.31121,0.31303,-0.31118,-0.52241,-0.32148,-0.51381,-0.30629,-0.5271,-0.66495,-0.42706,-0.72594,1.85221,-0.30483,-0.41086,-0.27412,-0.50842,-0.45106,-0.58647,-0.72645,1.03421,0.09418,0
peptide_nm_23,-0.94572,-0.68562,-0.29265,-0.64811,1.30411,-0.76325,-0.31118,0.66578,2.68098,-0.51381,-1.10916,0.68926,-0.66495,-0.42706,0.59757,1.99811,-0.30483,-0.41086,1.45185,-0.50842,0.4629,-0.58647,-0.72645,1.12476,0.9075,0
peptide_nm_24,-0.53294,-0.68562,-1.09631,0.70824,2.19773,0.37634,-0.31118,-0.52241,2.68098,-0.51381,-0.25906,-0.5271,-0.66495,-0.42706,-0.72594,0.68506,2.07216,-0.41086,-0.27412,-0.50842,0.4629,0.75641,-0.72645,-0.50514,0.9075,0
peptide_nm_25,-1.35851,-0.68562,-1.09631,-0.64811,-1.37673,-0.76325,-0.31118,4.52742,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,8.47971,-0.72594,-0.628,9.79739,-0.41086,-0.27412,-0.50842,-1.26881,5.12077,-0.72645,-0.50514,-0.63352,0
peptide_nm_26,-1.35851,-0.68562,-1.09631,2.89928,-1.37673,0.72698,-0.31118,-0.52241,7.5311,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,1.08907,5.91192,-0.41086,1.98292,4.20661,-1.26881,1.1696,-0.72645,1.62627,-0.63352,0
peptide_nm_27,-1.35851,-0.68562,-0.04537,1.12558,-0.20816,-0.76325,-0.31118,-0.52241,-0.32148,1.24621,-1.10916,-0.5271,-0.66495,-0.42706,2.73556,1.08907,-0.30483,-0.41086,-0.27412,1.8491,0.99574,1.1696,1.15117,-0.50514,0.37407,0
peptide_nm_28,0.29264,-0.68562,-0.29265,0.70824,1.30411,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,1.92109,0.68506,-0.30483,-0.41086,-0.27412,-0.50842,2.19462,-0.58647,0.70938,-0.50514,-0.63352,0
peptide_nm_29,-0.94572,-0.68562,-0.29265,-0.64811,-1.37673,-0.76325,-0.31118,-0.52241,2.68098,-0.51381,-1.10916,-0.5271,1.05039,3.76436,1.92109,-0.628,-0.30483,4.0812,-0.27412,3.09719,0.4629,0.75641,-0.72645,1.12476,-0.63352,0
peptide_nm_30,-0.42286,-0.68562,-1.09631,-0.64811,0.6488,0.52828,-0.31118,-0.52241,-0.32148,1.01154,-1.10916,-0.5271,0.30707,-0.42706,0.77404,-0.628,2.3891,-0.41086,-0.27412,-0.50842,-0.28751,0.93546,0.90082,1.34208,1.11297,0
peptide_nm_31,-0.29527,-0.03516,-0.2683,0.05062,0.46466,-0.76325,-0.31118,0.08969,-0.32148,0.87287,-0.2333,-0.5271,-0.22312,1.73216,-0.72594,-0.628,0.91968,-0.41086,-0.27412,1.34902,0.96143,0.10532,0.01322,-0.50514,0.16034,0
peptide_nm_32,-0.08262,-0.68562,0.14571,1.44808,-1.37673,0.99793,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,1.31949,1.40127,-0.30483,-0.41086,-0.27412,-0.50842,0.06933,-0.58647,-0.72645,-0.50514,2.93886,0
peptide_nm_33,1.5654,-0.68562,0.04221,1.27339,-0.11078,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,2.54186,-0.72594,3.09232,-0.30483,-0.41086,-0.27412,-0.50842,-1.26881,-0.58647,1.30764,-0.50514,-0.63352,0
peptide_nm_34,-0.18895,-0.68562,-1.09631,-0.64811,3.68709,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,4.59953,1.18445,-0.58647,-0.72645,4.11292,-0.63352,0
peptide_nm_35,-1.35851,-0.68562,-0.1855,2.4263,-0.36397,-0.76325,-0.31118,-0.52241,3.08131,-0.51381,-1.10916,-0.5271,-0.66495,1.94808,-0.72594,2.34826,-0.30483,-0.41086,-0.27412,3.57794,0.6938,0.93546,0.90082,-0.50514,0.23972,0
peptide_nm_36,-1.35851,-0.68562,-1.09631,3.54427,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,1.56621,-1.10916,-0.5271,-0.66495,-0.42706,1.31949,-0.628,3.3687,-0.41086,-0.27412,2.27774,1.40747,-0.58647,-0.72645,2.0138,1.74806,0
peptide_nm_37,0.47211,-0.68562,-0.5023,0.85567,1.59551,-0.3421,-0.31118,-0.52241,-0.32148,-0.51381,-0.16666,-0.5271,-0.66495,-0.42706,-0.72594,1.31304,-0.30483,-0.41086,-0.27412,-0.50842,0.97112,-0.58647,-0.19582,0.09721,0.22074,0
peptide_nm_38,-0.81871,-0.68562,-0.57084,1.12558,-0.79245,-0.76325,-0.31118,-0.52241,-0.32148,0.3662,-1.10916,0.26821,-0.66495,-0.42706,0.13943,1.08907,-0.30483,-0.41086,0.8544,3.02786,0.4296,-0.58647,0.21236,2.69198,1.38167,0
peptide_nm_39,0.59076,-0.68562,-0.3373,-0.64811,0.31121,0.31303,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,1.55222,0.52405,1.85221,-0.30483,-0.41086,1.35596,-0.50842,-1.26881,0.68181,0.62961,1.03421,0.09418,0
peptide_nm_40,-1.35851,0.17299,-0.54982,1.19653,0.44624,0.01167,-0.31118,-0.52241,-0.32148,-0.51381,-0.53109,-0.5271,-0.66495,0.99802,0.17405,1.15775,-0.30483,-0.41086,4.42052,0.71749,-0.09125,-0.58647,1.22627,0.60319,0.41437,0
peptide_nm_41,-1.09861,0.10939,-1.09631,1.05989,-0.25144,-0.04573,1.00434,-0.52241,-0.32148,0.33361,-1.10916,-0.5271,1.4951,3.5315,-0.72594,1.85221,1.1918,1.00331,1.89932,-0.50842,-0.17847,-0.58647,0.17759,-0.50514,-0.14839,0
peptide_nm_43,-0.72057,1.26576,-1.09631,-0.64811,-1.37673,0.99793,2.91784,-0.52241,4.31868,1.56621,0.20462,3.23255,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,3.06028,-0.27412,-0.50842,-1.26881,-0.58647,1.49256,-0.50514,-0.63352,0
peptide_nm_44,-0.53294,1.8397,-0.29265,0.70824,0.4105,0.37634,-0.31118,-0.52241,2.68098,-0.51381,-0.25906,-0.5271,-0.66495,-0.42706,0.59757,0.68506,-0.30483,1.83517,1.45185,-0.50842,0.4629,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_45,-0.60665,0.08099,-0.12044,2.6459,0.25092,-0.07136,-0.31118,-0.52241,-0.32148,-0.51381,-0.0769,-0.5271,-0.66495,-0.42706,0.07762,0.96642,-0.30483,-0.41086,-0.27412,1.6807,1.35968,-0.58647,0.1453,-0.50514,-0.16571,0
peptide_nm_46,-0.28806,-0.32181,0.0615,1.30596,-0.60429,-0.43489,-0.31118,-0.18005,-0.32148,-0.51381,0.60544,-0.17662,-0.66495,0.78064,-0.34459,0.50701,-0.30483,1.53062,0.72051,1.04994,-0.27087,-0.58647,0.10098,0.43412,0.25453,0
peptide_nm_47,-0.35603,-0.24756,0.01897,1.23418,-0.44664,-0.36788,-0.31118,-0.52241,-0.32148,-0.51381,0.66042,-0.5271,0.82284,-0.42706,0.19242,0.73865,-0.30483,1.14761,0.32469,0.74251,-0.66801,-0.58647,0.26984,0.62581,-0.09888,0
peptide_nm_48,-0.18895,-0.68562,1.18073,1.27339,-0.11078,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.09514,-0.5271,-0.66495,-0.42706,1.14904,-0.628,-0.30483,-0.41086,-0.27412,2.04556,1.18445,-0.58647,-0.72645,-0.50514,0.45804,0
peptide_nm_49,0.04497,-0.68562,-1.09631,3.9635,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-0.14572,-0.5271,-0.66495,1.94808,-0.72594,2.34826,-0.30483,4.68014,1.68198,1.53476,-0.28751,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_50,-0.69019,0.33653,-0.44573,-0.64811,0.79348,1.08179,-0.31118,-0.52241,-0.32148,-0.51381,0.26718,-0.5271,-0.66495,-0.42706,0.34548,-0.628,1.6194,-0.41086,1.12309,-0.50842,-0.56788,-0.58647,1.59822,2.13375,0.61397,0
peptide_nm_51,-0.81871,0.13996,-0.04537,-0.64811,0.37613,-0.76325,-0.31118,-0.52241,-0.32148,1.24621,-1.10916,0.26821,-0.10417,0.94321,0.13943,0.23054,-0.30483,-0.41086,-0.27412,0.67034,1.56187,-0.58647,1.15117,0.56056,0.37407,0
peptide_nm_52,0.70543,0.57704,0.51101,2.0646,-1.37673,0.37634,-0.31118,0.66578,-0.32148,-0.51381,0.59103,0.68926,-0.66495,-0.42706,-0.72594,1.99811,-0.30483,-0.41086,-0.27412,-0.50842,-1.26881,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_53,-0.7483,1.18092,0.68572,-0.64811,-0.71623,0.07905,-0.31118,-0.52241,1.89773,0.48098,0.1475,-0.5271,-0.66495,1.12194,0.25231,0.34252,-0.30483,1.24925,-0.27412,-0.50842,0.01115,0.40609,-0.72645,-0.50514,1.07501,0
peptide_nm_54,1.19327,1.26576,0.14571,-0.64811,0.00431,-0.76325,-0.31118,1.31389,-0.32148,-0.51381,0.20462,-0.5271,-0.66495,2.81177,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,0.06933,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_55,-0.04275,0.65595,-1.09631,2.23415,-0.42727,-0.76325,-0.31118,-0.52241,-0.32148,0.9162,-0.20593,-0.5271,-0.66495,-0.42706,-0.72594,2.16224,-0.30483,-0.41086,-0.27412,-0.50842,0.57113,-0.58647,-0.72645,-0.50514,1.82249,0
peptide_nm_56,0.64646,-0.68562,-1.09631,0.99889,-0.29163,-0.07136,0.95736,-0.52241,1.50144,-0.51381,-0.59303,0.21141,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,0.9528,-0.27412,2.77526,0.30829,0.22885,0.1453,0.48444,-0.16571,0
peptide_nm_57,-0.08262,-0.68562,-1.09631,-0.64811,2.76639,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,1.40127,-0.30483,-0.41086,-0.27412,-0.50842,2.74562,-0.58647,-0.72645,2.0138,0.55727,0
peptide_nm_58,0.04497,-0.68562,-0.00333,-0.64811,-0.16142,-0.76325,-0.31118,-0.52241,1.7202,0.4014,0.04697,0.30003,-0.66495,0.99802,0.17405,0.26488,-0.30483,2.64374,-0.27412,-0.50842,-0.09125,0.32669,-0.72645,0.60319,0.41437,0
peptide_nm_59,1.531,0.57704,-1.09631,-0.64811,0.4105,1.51592,-0.31118,-0.52241,-0.32148,-0.51381,-0.25906,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,-0.40295,0.75641,0.70938,-0.50514,0.13699,0
peptide_nm_60,-0.00031,-0.68562,0.22584,0.8395,0.09341,-0.76325,-0.31118,0.12918,-0.32148,-0.51381,0.75556,-0.5271,-0.66495,-0.42706,-0.00014,-0.628,-0.30483,0.82083,-0.27412,2.45749,0.63049,0.14995,-0.72645,1.2825,-0.63352,0
peptide_nm_61,-0.4432,-0.68562,-0.5023,1.35694,-0.71623,0.07905,-0.31118,-0.52241,-0.32148,-0.51381,-0.48083,-0.5271,-0.03102,-0.42706,0.25231,2.28355,1.45208,1.24925,1.0016,0.82409,-1.26881,-0.58647,-0.72645,3.109,0.5055,0
peptide_nm_62,0.04497,-0.68562,-1.09631,1.65769,3.18071,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,3.14706,-0.58647,-0.72645,-0.50514,0.67635,0
peptide_nm_63,-1.35851,-0.68562,-1.09631,4.47591,-0.53276,-0.76325,-0.31118,-0.52241,-0.32148,0.75731,-1.10916,-0.5271,0.14507,-0.42706,0.52405,1.85221,-0.30483,1.71039,-0.27412,1.19423,1.18445,0.68181,-0.72645,-0.50514,0.82189,0
peptide_nm_64,-1.07782,-0.68562,-0.00333,0.27421,-0.16142,0.78659,-0.31118,0.28556,-0.32148,1.31661,-0.53109,1.12715,-0.66495,-0.42706,0.17405,-0.628,1.31153,-0.41086,-0.27412,0.71749,-0.09125,1.23985,0.24991,0.60319,0.41437,0
peptide_nm_65,-0.12015,-0.68562,0.51101,-0.64811,0.4105,-0.76325,-0.31118,-0.52241,-0.32148,0.83209,-0.25906,-0.5271,-0.66495,-0.42706,1.92109,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,0.4629,0.75641,2.1452,-0.50514,0.13699,0
peptide_nm_66,-0.72057,-0.68562,-1.09631,-0.64811,0.69483,-0.76325,-0.31118,-0.52241,-0.32148,0.5262,-1.10916,-0.5271,-0.66495,1.19235,1.31949,-0.628,-0.30483,1.32471,-0.27412,0.88466,0.06933,0.45121,1.49256,0.75433,2.34346,0
peptide_nm_67,-1.00764,0.38764,0.26991,0.50479,-1.37673,0.2054,-0.31118,-0.52241,2.23061,-0.51381,-0.38658,0.50681,0.79309,1.35429,-0.72594,1.60419,1.71561,1.49827,4.12711,-0.50842,-1.26881,-0.58647,-0.72645,0.88028,-0.63352,0
peptide_nm_68,-1.35851,0.74539,-0.1855,2.4263,-0.36397,0.52828,-0.31118,-0.52241,-0.32148,-0.51381,-0.14572,-0.5271,0.30707,-0.42706,2.27403,0.86013,-0.30483,2.13464,-0.27412,-0.50842,-0.28751,-0.58647,0.90082,1.34208,-0.63352,0
peptide_nm_69,0.64646,0.84761,0.3675,-0.64811,0.79348,-0.07136,0.95736,-0.52241,-0.32148,0.30334,0.43923,-0.5271,-0.14422,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,0.83398,-0.58647,-0.72645,-0.50514,-0.63352,0
peptide_nm_70,0.55532,-0.68562,0.14571,-0.64811,-1.37673,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-1.10916,-0.5271,-0.66495,2.81177,1.31949,1.40127,-0.30483,3.06028,-0.27412,-0.50842,0.06933,-0.58647,-0.72645,2.0138,0.55727,0
peptide_nm_71,-0.65677,1.4609,-1.09631,-0.64811,1.66156,-0.76325,-0.31118,-0.52241,-0.32148,1.77421,-1.10916,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,3.14706,-0.58647,-0.72645,-0.50514,1.98622,0
peptide_nm_72,0.70543,-0.68562,0.51101,0.70824,-0.48312,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.59103,-0.5271,-0.66495,-0.42706,0.59757,-0.628,-0.30483,1.83517,1.45185,-0.50842,0.4629,-0.58647,-0.72645,-0.50514,0.13699,0
peptide_nm_73,-0.53294,-0.68562,-1.09631,2.0646,0.4105,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,1.44112,-0.5271,0.19272,-0.42706,0.59757,-0.628,-0.30483,1.83517,-0.27412,1.29439,-1.26881,-0.58647,3.58103,-0.50514,0.13699,0
peptide_nm_74,-1.35851,-0.68562,-1.09631,1.12558,0.96042,-0.76325,2.42106,1.03138,-0.32148,-0.51381,0.0025,-0.5271,-0.66495,-0.42706,1.00481,-0.628,-0.30483,2.52626,-0.27412,-0.50842,-0.13654,2.92568,-0.72645,-0.50514,1.38167,0
peptide_nm_75,-1.35851,1.4609,0.26991,-0.64811,-1.37673,-0.76325,3.24074,-0.52241,-0.32148,1.77421,0.336,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,0.20315,-0.58647,1.71446,-0.50514,3.29609,0
peptide_nm_76,-1.35851,1.8397,-1.09631,-0.64811,0.4105,2.6555,-0.31118,0.66578,-0.32148,-0.51381,-1.10916,0.68926,-0.66495,-0.42706,-0.72594,0.68506,2.07216,-0.41086,-0.27412,1.29439,-0.40295,-0.58647,-0.72645,2.75467,0.9075,0
peptide_nm_77,-0.23573,-0.68562,1.63614,-0.64811,-0.16142,0.01167,-0.31118,-0.52241,1.7202,-0.51381,1.20309,-0.5271,-0.66495,-0.42706,1.07404,0.26488,-0.30483,-0.41086,-0.27412,-0.50842,-0.09125,0.32669,0.24991,-0.50514,-0.10957,0
peptide_nm_78,0.74671,-0.68562,-0.4132,0.50479,0.14241,0.2054,-0.31118,-0.52241,-0.32148,0.6302,-0.38658,-0.5271,-0.66495,3.13565,-0.72594,1.60419,1.71561,-0.41086,-0.27412,-0.50842,-1.26881,-0.58647,1.71446,-0.50514,-0.63352,0
peptide_nm_79,0.04497,-0.68562,0.26991,-0.64811,0.14241,0.52828,-0.31118,-0.52241,-0.32148,-0.51381,-0.14572,0.16217,0.79309,0.76051,0.02405,0.86013,-0.30483,0.86189,-0.27412,-0.50842,-0.77816,0.17449,0.08719,0.41847,-0.1969,0
peptide_nm_80,1.531,0.57704,-0.29265,-0.64811,0.4105,-0.76325,-0.31118,-0.52241,-0.32148,0.83209,-0.25906,-0.5271,-0.66495,-0.42706,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,-0.50842,1.32876,-0.58647,-0.72645,-0.50514,0.13699,0
peptide_nm_81,-0.73196,0.08099,0.61147,0.17539,0.25092,-0.07136,-0.31118,-0.52241,-0.32148,0.71192,0.69729,-0.15784,-0.66495,-0.42706,-0.32416,0.56782,0.41676,0.27097,0.24983,0.03886,0.30829,-0.17881,-0.29057,1.47403,-0.39962,0
peptide_nm_82,-0.85727,0.08099,-0.60838,0.17539,-0.29163,-0.07136,0.95736,0.9204,-0.32148,-0.51381,-1.10916,0.21141,-0.66495,0.84534,1.68475,0.16921,-0.30483,-0.41086,-0.27412,0.58614,0.83398,0.22885,0.1453,-0.50514,1.23772,0
peptide_nm_83,0.53079,0.96555,-1.09631,1.12558,0.37613,-0.01813,-0.31118,-0.52241,1.64167,-0.51381,0.0025,-0.5271,0.45662,-0.42706,-0.72594,-0.628,-0.30483,1.0577,-0.27412,0.67034,0.4296,-0.58647,0.21236,-0.50514,-0.63352,0
peptide_nm_84,-1.00764,0.38764,-0.4132,1.65769,0.14241,-0.76325,-0.31118,0.48755,2.23061,-0.51381,0.336,0.50681,-0.66495,-0.42706,0.39905,0.4881,-0.30483,-0.41086,-0.27412,1.02397,0.93912,-0.58647,0.494,-0.50514,0.02141,0
peptide_nm_85,-1.35851,0.38764,-0.4132,-0.64811,0.14241,1.17404,-0.31118,-0.52241,-0.32148,0.6302,-1.10916,0.50681,-0.66495,1.35429,-0.72594,0.4881,-0.30483,-0.41086,-0.27412,2.55635,0.20315,0.55498,-0.72645,2.2657,1.33129,0
peptide_nm_86,-0.35603,-0.68562,-0.60838,1.8224,0.79348,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,-0.59303,-0.5271,-0.66495,0.84534,-0.72594,1.76363,-0.30483,-0.41086,0.77379,1.6807,0.83398,-0.58647,0.1453,0.48444,0.3021,0
peptide_nm_87,-0.70063,0.65595,-0.66937,0.07245,0.5222,-0.76325,-0.31118,0.74004,1.27358,0.2012,0.69729,0.11909,-0.66495,-0.42706,0.68029,0.76712,0.95795,-0.41086,-0.27412,-0.50842,-0.34884,-0.58647,1.5619,0.36074,-0.22419,0
peptide_nm_88,0.39584,-0.68562,1.18073,1.27339,-0.11078,-0.76325,-0.31118,-0.52241,-0.32148,-0.51381,0.09514,-0.5271,-0.66495,2.54186,-0.72594,-0.628,-0.30483,-0.41086,-0.27412,2.04556,1.18445,-0.58647,-0.72645,-0.50514,-0.63352,0
