,Ez__1,Ez__2,Ez__3,Ez__4,Ez__5,Ez__6,Ez__7,Ez__8,Ez__9,Ez__10,Ez__11,Ez__12,Ez__13,Ez__14,Ez__15,Ez__16,Ez__17,Ez__18,Ez__19,Ez__20,Ez__21,Ez__22,Ez__23,Ez__24,Ez__25,Ez__26,Ez__27,Ez__28,Ez__29,Ez__30,y
peptide_nm_11,-0.4572,-0.97762,0.3075,-1.60184,-0.72738,-0.27851,-0.26182,-0.41267,0.41733,0.43327,-0.29516,-0.18746,-0.62462,0.77061,0.78369,-0.55532,-0.44514,-0.3978,-0.73492,-0.72419,-0.42192,-0.47436,-0.09049,-0.5687,-0.74919,-0.51894,-0.56447,-0.14289,-0.91373,-1.07931,0
peptide_nm_12,-0.50663,-0.36712,0.10206,-0.51611,-1.06756,0.03561,0.34355,0.18022,0.39171,0.17099,0.66054,0.59241,0.11782,0.59323,0.26306,0.51176,0.56692,0.61928,0.4324,0.29031,0.2549,0.2613,0.28231,0.21244,-0.01388,-0.19901,0.10276,0.24558,-0.09786,-0.20162,0
peptide_nm_13,0.0905,0.8762,0.81289,0.9373,0.21523,1.36728,0.91809,0.9891,1.14725,1.12969,1.3506,0.79095,0.76788,0.90783,0.98471,-0.61924,-0.57204,-0.59697,-0.46153,-0.5137,-1.17406,-1.07213,-0.93772,-0.78564,-0.83672,-1.283,-1.02141,-1.02543,-0.9518,-1.02605,0
peptide_nm_14,-0.60623,-0.89546,0.59741,-0.70519,0.11744,0.24534,0.12678,0.26301,0.31824,0.44672,0.39836,0.03562,0.35692,0.53542,0.26556,-0.10487,-0.15484,-0.34517,-0.24876,-0.21325,-0.26778,-0.38239,-0.59963,-0.56644,-0.04796,-0.44123,-0.29169,-0.52756,-0.72574,-0.26736,0
peptide_nm_15,-1.08141,0.63649,-0.09473,-1.27248,-0.73019,0.59809,-0.05768,-0.32877,-0.37486,-0.08217,0.62769,-0.28225,-0.49456,-0.13272,0.03083,-0.20299,-0.08451,-0.09291,0.11229,-0.04157,-1.29859,-0.97686,-0.66597,-0.76501,-0.86626,-1.54658,-1.14753,-1.08333,-1.32893,-1.39053,0
peptide_nm_16,-0.2149,0.07592,0.73858,0.55244,-0.45005,1.20427,0.93985,0.42716,0.4118,0.89905,0.97281,0.95749,-0.17612,0.37964,0.6032,1.03885,1.05329,1.29078,1.45665,1.31177,0.37086,0.25642,0.36462,0.67752,0.14088,0.13231,-0.17406,0.3133,0.50706,-0.12117,0
peptide_nm_17,-0.57918,0.79627,0.22569,-0.07394,-0.07144,0.84427,0.52758,0.34307,0.29847,0.37392,0.52072,0.12992,0.17085,0.09003,0.23189,0.14289,0.13591,0.15903,0.04146,0.11078,-1.09635,-0.86245,-0.93704,-0.85682,-0.93365,-1.34055,-1.22076,-1.17842,-1.1145,-1.20609,0
peptide_nm_18,-0.50865,-0.34379,0.13462,0.98693,-1.70697,0.63445,0.47037,0.28234,0.31303,0.90737,1.20548,0.81861,0.6053,0.46262,1.21285,0.63699,1.02043,1.35171,1.33743,1.3067,1.24487,1.45769,2.05076,1.56474,1.67874,1.05181,1.35457,2.05667,1.56543,1.65989,0
peptide_nm_19,0.27036,0.80439,0.79897,0.9473,0.5316,0.85212,0.63477,1.07006,0.86178,1.26718,0.42074,0.53301,0.68223,0.61529,0.70218,-0.65349,-0.95423,-0.8191,-0.84846,-0.96771,-1.42543,-1.53647,-1.7147,-1.58373,-1.38589,-1.37749,-1.41096,-1.62577,-1.6731,-1.58612,0
peptide_nm_20,0.28568,0.40117,1.36189,-1.10799,0.97611,1.36587,1.13551,0.75939,1.00284,0.97929,1.47688,1.2865,0.45625,1.01861,0.62708,-1.07609,-0.93027,-0.87318,-1.14402,-1.1911,-1.27368,-1.12016,-1.00781,-1.32306,-1.31644,-1.2165,-0.90069,-0.71477,-1.01977,-0.89291,0
peptide_nm_21,-2.19355,-0.20208,0.18988,-0.32073,-0.46045,-1.39458,-1.35929,-1.33344,-1.29995,-1.03209,-0.66223,-1.45337,-1.35965,-1.19838,-0.81115,0.51453,0.53193,0.49046,0.31437,0.64202,0.91187,0.94111,1.00366,0.63565,0.96714,0.4536,0.88048,1.11786,0.75239,0.96871,0
peptide_nm_22,-1.33982,-0.10581,-0.037,-1.2927,-1.66608,-0.50384,-0.72614,-0.7794,-0.94053,-0.68099,0.02072,-0.82842,-0.63813,-0.85948,-0.16145,-0.63697,-0.5803,-0.43791,-0.53713,-0.53115,0.58645,0.57672,0.76089,0.60111,0.62194,1.06932,1.28337,1.44755,1.24786,0.66511,0
peptide_nm_23,-0.72042,-0.68982,0.94006,-0.71594,-0.69231,0.29973,0.28171,0.02621,0.01517,0.45757,0.74859,0.41555,-0.35018,-0.03158,0.52987,-0.69157,-0.59757,-0.53533,-0.61566,-0.83075,-0.63305,-0.6059,-0.30104,-0.41199,-0.36759,-0.67473,-0.41549,-0.23314,-0.43798,-0.40355,0
peptide_nm_24,-0.73889,-1.28078,0.23642,-0.67822,0.03169,-0.53224,-0.44229,-0.7104,-0.67692,-0.33567,-0.40965,-0.46556,-0.381,-0.69565,-0.08134,-0.26245,-0.09307,-0.22781,-0.17423,-0.23933,0.09896,0.29802,0.0542,0.23422,0.10812,0.21292,0.28835,0.12434,0.46812,0.41576,0
peptide_nm_25,0.41704,0.13522,0.24085,1.83326,-1.76495,1.61758,2.39141,1.04262,0.00219,2.06799,2.15024,3.28616,0.9533,0.80089,2.35985,-0.1747,-0.83543,-1.27393,1.18993,2.06815,-0.37286,0.55506,0.63978,3.21115,2.42888,-0.18927,0.39065,0.04707,0.03366,-1.67969,0
peptide_nm_26,0.10557,-0.46926,0.76051,-1.10949,-0.89724,0.75591,0.52743,0.36792,0.84257,0.68811,1.5389,0.70943,0.63692,1.89781,1.29406,0.5923,0.98515,1.02446,1.1216,1.09857,1.73402,2.32646,2.61031,2.3809,2.4204,2.05698,2.47287,2.39359,2.48333,1.94784,0
peptide_nm_27,-0.02727,-0.31148,-0.19262,0.48234,0.15775,0.90935,0.77557,1.06498,1.30098,0.74158,0.86944,1.18339,1.21474,0.8548,0.45453,0.35024,0.51166,0.11526,0.06562,0.40477,0.49406,0.34477,-0.39985,-0.75335,-0.30271,0.81181,0.53654,0.25999,-0.43857,-0.18616,0
peptide_nm_28,-0.70188,-0.43283,-0.68279,-0.41985,-0.01283,-0.21016,-0.2994,-0.2089,-0.68095,-0.43604,-0.01954,-0.23052,0.23345,-0.68288,-0.51972,0.20845,0.0286,-0.02995,0.14305,0.32877,0.40235,0.16439,0.28325,0.62368,0.90222,0.38058,0.30611,0.01386,0.53921,0.88956,0
peptide_nm_29,1.89263,3.73927,1.62354,1.35724,0.95035,2.44855,2.56393,2.48821,2.49083,2.022,2.07784,2.22441,2.66472,2.81013,2.01357,-1.41099,-1.45942,-1.48743,-1.41238,-1.47728,-1.15741,-1.02717,-1.03308,-1.24892,-1.36201,-0.65724,-0.95965,-1.08393,-1.37434,-0.99872,0
peptide_nm_30,-0.59734,1.24006,1.02556,0.07797,-0.31094,0.47094,0.8377,0.68638,1.03389,0.90363,1.20418,0.66415,0.46717,1.45331,1.31704,-0.20396,-0.43855,-0.53528,-0.61386,-0.52924,-0.13021,-0.00539,-0.01883,-0.11453,-0.19612,-0.30013,0.08825,0.17453,-0.11407,-0.32435,0
peptide_nm_31,-0.41714,0.16511,0.53273,0.30487,-1.10019,0.19795,0.1516,-0.0665,0.17113,0.25194,0.27011,0.32726,-0.12439,0.20391,0.9128,0.47037,0.61023,0.56776,0.46501,0.54992,0.50953,0.5651,0.59527,0.6556,0.63065,0.6398,0.54336,0.45462,0.65681,0.28878,0
peptide_nm_32,-0.47835,1.13374,0.99587,0.32392,-0.25168,1.00569,0.98374,1.48935,1.26736,1.28284,0.93542,0.75938,1.13736,0.82702,1.35388,-0.2864,-0.38824,0.07004,-0.08458,-0.00256,-0.83219,-0.91854,-0.44442,-0.81371,-0.50636,-1.06276,-1.10301,-0.87182,-0.83513,-0.76892,0
peptide_nm_33,0.09759,0.39815,-0.42569,-1.26825,-0.39972,0.13037,-0.37462,0.06371,0.5653,0.33755,0.25715,-0.61844,-0.1456,1.59121,0.68844,-1.52286,-1.26728,-1.23559,-1.027,-1.16246,-0.70213,-0.36453,-0.13915,-0.12784,0.13555,-0.1262,0.17677,0.40747,0.19472,0.19638,0
peptide_nm_34,-1.79196,-0.0076,-0.22083,-0.77531,-0.67326,-0.95308,-1.34272,-2.2572,-2.60721,-1.92642,0.04824,-1.45818,-2.45363,-2.75003,-1.65906,-0.19355,0.1698,0.31079,0.46365,-0.75036,0.63519,0.994,1.49296,1.26315,0.47777,0.59491,1.27098,1.39399,1.1727,0.31088,0
peptide_nm_35,-0.08881,0.12936,0.80861,-0.27392,0.26625,1.49711,0.83335,0.93582,0.6628,0.77944,2.21942,0.64926,0.9604,0.88912,1.18586,-0.39153,-0.17671,-0.15606,-0.09376,-0.05017,0.20192,0.34129,0.70396,0.52,0.20823,0.44703,0.52349,0.91045,0.75918,0.20185,0
peptide_nm_36,-0.25804,-1.22076,0.75798,-0.51786,0.56114,0.73691,0.46429,0.08075,0.96394,0.55704,1.05051,0.5634,0.15505,1.8072,0.58982,0.38184,0.80243,0.95942,0.57005,0.49262,1.03545,1.45236,1.58354,1.04615,0.76762,1.27453,1.88766,2.0221,1.54275,1.32856,0
peptide_nm_37,-1.07271,-0.48176,-0.0758,-0.45187,-0.57325,-0.37105,-0.52614,-0.53494,-0.29414,-0.42295,0.04107,-0.56233,-0.59075,-0.09273,-0.21473,0.2624,0.3919,0.46946,0.40371,0.38251,0.73213,0.98075,1.05902,0.89888,0.94411,0.77711,1.14308,1.06664,0.99021,1.07542,0
peptide_nm_38,-0.15751,0.91236,1.23223,-0.21833,-0.15061,1.33628,1.24638,0.96752,1.41565,1.02165,1.30567,1.04972,0.54855,1.62401,1.18177,-0.12212,-0.07934,-0.00808,-0.11885,-0.08651,-0.25767,-0.21707,-0.09822,-0.28075,0.01336,-0.44806,-0.33553,-0.13381,-0.45292,-0.23467,0
peptide_nm_39,-0.50778,0.90026,-0.0326,-0.98748,-0.2353,0.51628,0.66657,0.355,0.61442,0.56355,0.58999,0.24791,0.0287,0.89111,0.98596,-0.0117,0.00524,0.16568,0.25885,0.09019,-0.08909,0.10016,0.19698,0.34052,0.1422,-0.1054,0.13784,0.25974,-0.01993,-0.24366,0
peptide_nm_40,-0.35866,1.19634,0.79969,-0.32238,-0.01068,1.80567,1.2022,1.0713,0.95253,0.99374,1.71595,1.26337,0.83524,0.41129,0.60907,0.10434,0.28329,0.46436,0.33894,0.48249,-0.71636,-0.45146,-0.36168,-0.34484,-0.48991,-0.84397,-0.84637,-0.99833,-0.76722,-0.96147,0
peptide_nm_41,1.28855,2.65329,1.24897,0.93299,0.21048,1.41006,1.25843,1.41869,1.79189,1.79559,1.4651,1.5313,1.41422,1.82316,2.15366,0.57581,0.82038,0.91471,0.80461,0.82136,0.28776,0.56134,0.70913,0.44749,0.4055,0.14512,0.34582,0.23898,0.12397,-0.02435,0
peptide_nm_43,-0.06816,-0.54747,-1.46385,-0.12163,0.91312,-0.33304,-0.1708,0.48769,0.49468,-0.00517,0.34625,-0.40964,0.47043,0.96162,-0.56175,0.05174,-0.02057,0.40824,-0.38155,-0.17291,-0.42938,0.02072,-0.15487,-0.39865,-0.52507,-0.62808,-0.28911,-0.25237,-0.21895,-0.62469,0
peptide_nm_44,-0.6759,-0.18951,-0.48117,0.30632,-0.45604,-0.12172,-0.54224,-0.10065,0.01574,0.23588,0.49039,-0.66304,-0.18265,0.14875,0.28453,0.45042,0.4609,0.13025,0.14017,0.54992,0.07098,0.3206,-0.03025,0.13356,0.34491,-0.15573,0.16401,0.00824,-0.24368,-0.15441,0
peptide_nm_45,-0.40486,-0.72951,-0.10637,0.3449,-0.56763,0.43894,0.50831,-0.00503,-0.15397,0.4674,0.23777,0.49362,0.32441,-0.21731,0.56435,0.38139,0.21713,0.34387,0.40467,0.1437,0.02074,0.28245,0.16215,0.25202,0.31344,0.22683,-0.11579,0.09948,0.51966,-0.192,0
peptide_nm_46,0.12384,0.236,0.76625,0.03752,-0.11146,0.92531,0.84837,0.53228,0.83898,0.78846,0.84086,0.62874,0.41497,0.94877,0.78341,-0.63047,-0.52384,-0.47333,-0.50329,-0.42422,-0.49875,-0.51727,-0.29341,-0.39299,-0.24943,-0.23866,-0.45872,-0.10026,-0.34915,-0.41624,0
peptide_nm_47,0.95699,1.04244,0.87602,0.54997,-0.21803,1.13923,1.11691,0.86905,0.88062,1.10295,1.04227,1.07617,0.89098,0.76343,1.01063,-0.56745,-0.48128,-0.51068,-0.53898,-0.60918,0.15264,0.17627,0.0172,-0.07175,-0.04707,0.60824,0.45943,0.31225,0.36395,0.35724,0
peptide_nm_48,-0.57532,-1.0113,-0.31651,-0.1033,0.31043,0.21796,-0.08673,-0.1118,0.08246,0.32303,0.40004,0.3265,-0.18894,0.10997,0.66066,-1.06908,-0.79856,-1.02773,-1.2858,-1.05418,-0.31456,-0.12454,-0.66198,-0.83149,-0.51189,0.10793,0.03215,-0.26386,-0.72598,0.10218,0
peptide_nm_49,0.6236,1.40834,0.75182,-0.46143,-0.88844,1.63892,1.28066,1.38559,1.32432,0.83884,1.89248,1.07278,1.38394,1.55869,1.4979,-0.98865,-0.87827,-0.73787,-0.70127,-0.79428,-0.42337,-0.28077,-0.15674,-0.25933,-0.21411,-0.05416,-0.01161,0.11437,0.18521,0.1904,0
peptide_nm_50,-0.11256,0.63566,-0.11388,-0.83126,0.35436,0.76555,0.50953,0.31787,0.46169,0.84892,1.03804,0.55072,0.26101,0.65492,0.61506,0.57102,0.57359,0.7669,0.61244,0.50888,0.12311,0.28495,0.39339,0.12551,0.20294,-0.208,-0.20342,-0.12573,0.00215,-0.27692,0
peptide_nm_51,0.36808,-0.10176,0.08062,-0.03288,-0.09896,0.50897,0.95311,0.79266,0.8182,0.7819,0.66677,0.90565,0.76611,0.85952,0.83506,-0.51533,-0.74633,-0.60403,-0.6766,-0.48941,-0.55957,-0.84206,-0.54874,-0.48463,-0.62837,-0.62846,-0.65935,-0.41256,-0.39424,-0.69377,0
peptide_nm_52,-0.06501,-1.15757,-0.34557,0.06539,-1.51423,-1.03471,-0.4928,-0.90538,-1.18115,-1.14674,-0.95877,-0.53784,-1.14514,-0.63788,-0.70312,0.79389,0.6434,0.7811,0.93352,1.06572,1.75085,1.43981,1.24144,1.38773,1.50822,2.15244,1.8281,1.54429,1.57012,1.57154,0
peptide_nm_53,-1.09471,0.08036,0.12186,-0.94857,-1.03282,-0.54809,-0.46667,-0.68435,-0.3232,-0.71657,-0.32427,-0.26753,-0.9177,-0.2463,-0.40854,0.89928,0.99775,1.01625,0.75959,0.58514,0.22904,0.29127,0.31486,-0.03446,-0.05071,-0.27967,-0.35128,-0.04858,-0.46201,-0.50952,0
peptide_nm_54,-0.24884,-0.36993,-0.22831,-1.12446,-0.5024,-0.7578,-0.89033,-2.08056,-1.57466,-1.25745,-0.89528,-0.45733,-2.14125,-1.36182,-1.04554,-0.29479,-0.58115,-0.36738,-0.81092,-0.5758,-0.23133,-0.77867,0.14221,-0.45162,-0.76302,-0.16835,-0.59167,0.36702,-0.07477,-0.19919,0
peptide_nm_55,-1.46769,-0.49916,-0.16357,-0.73935,-0.59146,-0.52099,-0.70198,-1.10136,-0.76888,-0.38065,0.03531,-0.66668,-1.03009,-0.20122,-0.38834,1.00207,1.21205,1.22421,1.17507,0.82897,0.55838,0.98905,0.87277,0.5689,0.44,0.17184,0.78956,0.81843,0.3466,0.11841,0
peptide_nm_56,-0.63389,0.0492,-0.46648,-1.22422,0.02665,-0.35015,-0.36776,-0.29429,-0.37712,-0.78696,0.00028,-0.60134,-0.27722,-0.16893,-0.72571,-0.06829,-0.23776,-0.08687,-0.34641,-0.15494,0.35237,0.50106,0.62372,0.23685,0.32341,0.53544,0.82827,0.74769,0.55325,0.66385,0
peptide_nm_57,-1.27479,-0.36329,0.02106,-1.31028,-0.38536,0.19876,0.30544,-0.15154,0.43696,0.48821,0.7022,0.48936,0.03742,0.57146,0.66211,0.59456,1.07729,1.00523,0.74685,0.65686,1.23636,1.9187,2.26281,1.45118,1.51002,1.31578,1.74066,2.25534,1.67723,1.73728,0
peptide_nm_58,-0.25743,0.29604,0.53215,-0.5515,-0.85478,0.43562,0.38966,0.31551,0.3088,0.78142,0.67977,0.29433,0.14199,0.3531,1.02645,-0.78671,-0.69782,-0.63543,-0.71542,-0.91288,-0.57274,-0.5302,-0.27086,-0.62518,-0.67269,-0.54839,-0.59633,-0.10025,-0.59606,-0.61341,0
peptide_nm_59,-1.29765,0.66814,-0.05233,-1.08309,-1.13217,-1.31254,-1.59468,-1.30821,-0.63641,-0.31843,-0.85726,-1.87676,-1.35193,-0.4699,-0.20127,-0.53665,-0.63968,-0.51141,-0.52746,-0.64231,-0.21824,0.22731,0.28562,0.28258,-0.01084,-0.13962,0.36172,0.57521,0.16502,-0.05609,0
peptide_nm_60,-0.49972,-0.42546,0.39204,-0.59999,-0.36296,0.09079,0.2661,0.14047,-0.21665,0.17375,0.45371,0.27749,0.2242,-0.35904,0.56803,0.11938,-0.00115,0.03378,0.23207,-0.02118,0.24211,0.06049,0.31134,0.21362,-0.04557,0.16667,0.0369,0.39527,0.35908,-0.02637,0
peptide_nm_61,0.27571,1.23984,0.47665,0.45409,0.39863,1.39945,1.07751,1.35873,1.5423,1.56937,1.39092,0.95643,1.30857,1.55602,1.33383,-0.54986,-0.61741,-0.54758,-0.69887,-0.34548,-0.93066,-0.82608,-0.59662,-0.76145,-0.38759,-0.89296,-0.91107,-0.84907,-0.74758,-0.78528,0
peptide_nm_62,-0.8742,-0.19705,-0.10497,-0.91409,-1.72509,0.07767,-0.45399,-0.54585,-0.59792,-0.70737,-0.07735,-0.42626,-0.38393,-0.35843,-0.06858,-0.26484,-0.23776,0.19078,-0.28765,0.40983,-0.9733,-0.81824,-0.86476,-0.88726,-0.58888,-1.2252,-0.96923,-0.91871,-0.87215,-0.72729,0
peptide_nm_63,0.05573,-0.32274,0.94757,0.00938,-0.46948,0.97038,0.69448,0.53878,1.019,1.04116,1.09336,0.57305,0.70335,0.70937,1.40396,-0.12219,0.13328,0.23045,-0.01479,-0.16633,-0.07717,0.34537,0.12442,0.36684,0.09524,-0.09992,0.08515,0.07506,0.23346,-0.05209,0
peptide_nm_64,-0.41706,-1.02791,-0.11209,-0.62247,-0.32694,-0.00134,0.45938,-0.33582,0.13713,-0.01411,0.04203,0.41559,-0.36409,0.56761,-0.06692,0.69958,0.54587,0.83347,0.81742,0.74138,0.57058,0.51284,0.73651,0.45385,0.47567,0.41915,0.08595,0.70346,0.25985,0.378,0
peptide_nm_65,-0.38175,-0.92955,0.44626,-1.09181,0.18156,0.21942,0.0863,-0.02743,0.04148,-0.00675,0.1393,0.37217,-0.26461,0.5627,-0.33779,-1.13834,-1.15554,-1.04485,-1.05773,-1.38628,-1.27441,-1.48606,-1.07957,-1.3726,-1.19582,-1.10962,-1.42648,-0.89734,-1.17788,-1.15145,0
peptide_nm_66,0.02096,1.67497,1.07396,0.53087,0.00407,1.56726,1.24495,1.21029,1.68702,1.47868,1.67958,0.82619,1.19402,2.06297,1.92562,-0.01805,0.09353,0.09906,-0.11648,-0.10728,0.30681,0.49584,0.69868,0.32908,0.31434,0.63925,0.58178,0.71554,-0.0544,0.25059,0
peptide_nm_67,1.43824,1.94078,1.8178,1.40126,0.97994,2.06144,1.83946,1.96768,2.05138,1.87243,1.83311,1.96222,1.71675,2.07584,1.81847,-0.16028,-0.47853,-0.37248,-0.54119,-0.64257,-0.63595,-0.60467,-0.33494,-0.24261,-0.12172,-0.61737,-0.50479,-0.14393,-0.45403,-0.54396,0
peptide_nm_68,0.43707,0.67616,1.15629,0.25614,-0.68334,1.77162,1.23793,1.46614,1.01232,0.67686,1.43158,0.89383,0.70568,1.26315,0.66475,-0.18054,-0.02674,-0.11074,0.16891,-0.00032,-1.31296,-0.89401,-1.21602,-0.98251,-0.81202,-1.40568,-1.67613,-1.66188,-1.50218,-1.22627,0
peptide_nm_69,-1.14084,0.01982,0.27941,0.11207,-0.46843,-1.10902,-1.33165,-1.46422,-1.2029,-1.66632,-0.85244,-1.39237,-1.5215,-1.53639,-1.4154,-0.76098,-0.98087,-0.66469,-0.75393,-0.44424,-0.25409,-0.41685,-0.22499,-0.22315,-0.01294,0.1436,0.14787,0.33416,0.18841,0.43524,0
peptide_nm_70,0.05733,1.25556,0.05937,-1.11418,-1.76284,0.50694,0.859,0.23634,-0.23666,0.30369,0.63589,0.73656,0.46306,-0.33517,0.94779,-0.82364,-0.92356,-0.769,-0.58125,-0.87314,0.39624,0.29209,0.01307,0.8517,0.25823,1.11703,0.29639,0.83017,1.23758,0.29942,0
peptide_nm_71,-1.25059,-0.70458,-0.16528,-0.41813,-0.81426,-1.79882,-1.41991,-1.79096,-1.4631,-0.86969,-1.3773,-1.25206,-1.54223,-1.34413,-0.64414,1.35546,1.46216,1.71318,1.74404,1.1913,1.27796,0.94724,1.12329,1.40697,0.85172,0.59363,0.70639,0.89675,1.27952,0.62603,0
peptide_nm_72,-0.52302,0.32386,0.20205,0.27064,0.06043,-0.2132,0.08697,0.0106,0.34268,0.08639,-0.15389,0.14377,-0.03126,0.78606,0.66177,0.11779,-0.05145,-0.04077,0.10995,0.19018,0.83108,0.6744,0.44122,0.81118,0.58006,1.17727,0.47379,0.51714,0.83458,0.74564,0
peptide_nm_73,0.40222,0.1568,0.48926,-0.58229,0.1316,0.92239,1.29055,0.77143,0.69658,0.83649,1.05411,1.49456,0.65782,1.01032,0.93061,-0.99592,-1.17321,-0.99726,-0.80639,-0.99203,-0.18428,-0.70051,-0.58167,-0.5545,-0.64629,0.32686,-0.13196,0.139,0.03567,0.11856,0
peptide_nm_74,-0.41303,-0.73304,0.33921,-0.32359,-0.44471,0.07919,0.40221,0.57152,1.03751,0.15862,0.09891,0.75709,0.7099,0.40742,0.52052,1.78874,1.46101,1.87886,1.49208,1.92639,1.20452,0.86072,1.04223,0.75456,1.11492,1.05101,0.48565,0.99508,0.85765,1.15291,0
peptide_nm_75,0.08603,-0.35239,0.59311,-2.52782,0.03484,0.47989,0.18041,-0.44203,0.07872,-0.26308,-0.00335,0.76863,-0.82794,0.56527,-0.13382,-0.47263,-0.83241,-0.71518,-0.55752,-0.79862,-1.15421,-1.04915,-0.83435,-0.85961,-0.79085,-0.9604,-1.08572,-0.60732,-1.26719,-0.52396,0
peptide_nm_76,-0.47416,-0.32425,0.50209,0.01316,-1.24426,0.04964,0.31503,0.43753,0.19225,0.64286,0.34066,0.50316,0.02191,0.10952,1.1773,2.0969,1.99354,2.04041,2.0083,2.12001,0.9129,0.80606,0.78226,0.55838,0.62591,0.2316,0.0018,0.16645,0.30964,0.11273,0
peptide_nm_77,-0.94401,-0.8543,0.18862,-0.24396,-1.0809,-0.3403,-0.35111,-0.30512,-0.03041,0.07028,0.10489,-0.36671,-0.40734,0.01822,0.35645,-0.58788,-0.43418,-0.70981,-0.79314,-0.61801,-0.25371,-0.13223,-0.38477,-0.66063,-0.57473,-0.25746,0.0888,-0.19588,-0.60077,-0.49824,0
peptide_nm_78,-0.67839,-0.44751,0.15199,-0.57666,0.01402,-0.28707,-0.20886,-0.14944,-0.02605,0.18608,-0.10046,-0.36483,-0.38123,0.15948,0.02841,1.42989,1.30964,1.05701,1.3697,1.60423,0.52445,0.40997,0.12413,0.57531,1.0158,-0.18999,-0.06307,-0.30874,-0.18324,0.16692,0
peptide_nm_79,0.34819,0.94445,0.45457,0.0253,-0.07782,0.71683,0.6356,0.62403,0.70917,0.82664,0.64022,0.50146,0.37321,0.68243,0.74574,-1.52495,-1.60071,-1.57488,-1.55672,-1.48674,-1.72858,-1.59287,-1.5392,-1.58646,-1.61056,-1.67116,-1.36497,-1.35153,-1.54693,-1.55878,0
