,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,y
peptide_nm_32,0.38993,-0.96082,1.18552,-0.8251,1.79018,-0.68665,0.90502,0.48997,-0.60849,-1.2963,-0.04018,0.13784,-0.55316,-1.11359,1.00738,-1.13441,-0.95204,-0.71188,1.39399,0.61723,0
peptide_nm_33,1.55022,0.64656,-0.76643,1.09445,-0.5586,1.28645,0.90502,-1.44572,-0.60849,0.64478,1.26821,0.13784,-0.55316,-1.11359,-0.91026,-1.13441,-0.95204,-0.71188,-0.69549,0.61723,0
peptide_nm_34,-1.34184,-0.96082,-0.76643,1.09445,-0.5586,-0.68665,-0.81602,-1.44572,-0.60849,-1.2963,-0.04018,-1.36215,-0.55316,-1.11359,-0.91026,-1.13441,0.92891,-0.71188,-0.69549,0.61723,0
peptide_nm_35,0.38993,0.64656,-0.76643,1.09445,1.79018,-0.68665,-0.81602,0.48997,-0.60849,-1.2963,-0.04018,0.13784,-0.55316,-1.11359,1.00738,0.69228,0.92891,-0.71188,1.39399,-1.30882,0
peptide_nm_36,-1.34184,0.64656,1.18552,1.09445,-0.5586,-0.68665,0.90502,-1.44572,-0.60849,0.64478,-1.99301,-1.36215,-0.55316,0.7568,-0.91026,1.60563,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_37,0.96142,0.64656,1.9663,1.09445,1.79018,-0.68665,0.90502,1.45782,-0.60849,0.64478,0.52614,0.13784,1.62389,0.7568,1.00738,0.69228,0.92891,-0.71188,-0.69549,1.38765,0
peptide_nm_38,0.38993,0.64656,-0.76643,1.09445,1.79018,1.28645,1.47296,0.48997,-0.60849,0.64478,-0.04018,0.13784,1.62389,-1.11359,-0.91026,1.42296,0.92891,-0.71188,1.39399,-1.30882,0
peptide_nm_39,0.38993,-0.96082,2.16149,1.09445,-0.5586,-0.68665,2.05811,0.48997,1.52179,0.64478,-0.04018,0.13784,1.62389,-1.11359,1.00738,-1.13441,-0.95204,-0.71188,1.39399,0.61723,0
peptide_nm_40,0.38993,-0.96082,-0.76643,2.05422,1.79018,1.28645,2.62605,0.48997,1.52179,0.64478,-1.99301,-1.36215,-0.55316,0.7568,1.00738,0.69228,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_41,0.38993,1.45025,-0.76643,1.86227,-0.5586,1.28645,1.76553,-1.44572,-0.60849,0.64478,-0.04018,0.73783,3.08252,0.7568,1.00738,0.69228,-0.95204,-0.71188,1.39399,-1.30882,0
peptide_nm_43,0.38993,0.64656,-0.76643,1.09445,-0.5586,-0.68665,-0.81602,0.48997,1.52179,-1.2963,-1.99301,-1.36215,-0.55316,0.7568,1.00738,-1.13441,-0.95204,1.32246,1.39399,0.61723,0
peptide_nm_44,1.08264,-0.96082,-0.76643,2.05422,-0.5586,1.28645,-0.81602,-1.44572,1.52179,-1.2963,-0.04018,-1.36215,1.62389,0.7568,1.00738,-1.13441,-0.95204,-0.71188,-0.69549,0.61723,0
peptide_nm_45,0.38993,0.64656,-0.76643,1.09445,-0.5586,1.28645,0.90502,0.48997,1.52179,0.64478,-0.04018,0.13784,1.62389,0.7568,1.00738,0.69228,-0.95204,-0.71188,-0.69549,0.61723,0
peptide_nm_46,0.38993,0.64656,1.18552,1.09445,-0.5586,1.28645,0.90502,1.26425,1.52179,0.64478,-0.04018,0.13784,1.62389,0.7568,1.00738,1.29509,0.92891,-0.71188,1.39399,0.61723,0
peptide_nm_47,0.38993,0.64656,1.18552,2.18859,-0.5586,1.28645,0.90502,0.48997,-0.60849,0.64478,-0.04018,0.43783,1.62389,-1.11359,-0.91026,1.60563,0.92891,-0.71188,1.39399,0.61723,0
peptide_nm_48,0.38993,-0.96082,1.18552,1.09445,-0.5586,-0.68665,-0.81602,0.48997,-0.60849,0.64478,-0.04018,0.13784,-0.55316,-1.11359,-0.91026,0.69228,0.92891,-0.71188,-0.69549,0.61723,0
peptide_nm_49,0.38993,0.64656,1.18552,1.09445,-0.5586,-0.68665,0.90502,0.48997,-0.60849,0.64478,-0.04018,-1.36215,-0.55316,-1.11359,-0.91026,-1.13441,-0.95204,-0.71188,-0.69549,0.61723,0
peptide_nm_50,0.38993,0.64656,-0.76643,1.09445,1.79018,1.28645,0.90502,0.48997,-0.60849,-1.2963,-0.04018,0.13784,-0.55316,0.7568,1.00738,0.69228,2.18914,-0.71188,1.39399,-1.30882,0
peptide_nm_51,0.38993,1.28951,1.18552,-0.8251,-0.5586,1.93758,0.90502,0.48997,1.52179,0.64478,-0.04018,-1.36215,-0.55316,0.7568,-0.91026,-1.13441,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_52,0.38993,0.64656,-0.76643,1.09445,-0.5586,-0.68665,0.90502,0.48997,-0.60849,1.42121,-0.04018,0.13784,-0.55316,0.7568,-0.91026,-1.13441,-0.95204,-0.71188,-0.69549,-1.30882,0
peptide_nm_53,0.38993,0.64656,-0.76643,-0.8251,1.79018,-0.68665,0.90502,0.48997,1.52179,0.64478,0.93623,-1.36215,1.62389,0.7568,1.00738,0.69228,0.92891,-0.71188,1.39399,0.61723,0
peptide_nm_54,1.08264,-0.96082,-0.76643,-0.8251,-0.5586,-0.68665,0.90502,-1.44572,-0.60849,0.64478,-0.04018,0.13784,-0.55316,0.7568,-0.91026,0.69228,-0.95204,-0.71188,-0.69549,-1.30882,0
peptide_nm_55,1.25582,-0.96082,-0.76643,1.09445,-0.5586,-0.68665,-0.81602,0.48997,1.52179,-1.2963,-0.04018,-1.36215,-0.55316,0.7568,1.00738,0.69228,0.92891,-0.71188,-0.69549,0.61723,0
peptide_nm_56,0.38993,0.64656,-0.76643,1.09445,-0.5586,1.28645,0.90502,0.48997,-0.60849,0.64478,-0.04018,-1.36215,-0.55316,0.7568,1.00738,0.69228,0.92891,1.32246,-0.69549,1.58026,0
peptide_nm_57,0.38993,-0.96082,1.18552,1.09445,-0.5586,-0.68665,-0.81602,1.78689,-0.60849,0.64478,-0.04018,-1.36215,-0.55316,-1.11359,1.00738,0.69228,-0.95204,-0.71188,-0.69549,-1.30882,0
peptide_nm_58,0.38993,0.64656,-0.76643,1.09445,1.79018,-0.68665,0.90502,1.78689,1.52179,-1.2963,-0.04018,0.88783,-0.55316,-1.11359,-0.91026,1.91617,0.92891,-0.71188,1.39399,1.38765,0
peptide_nm_59,1.25582,0.64656,1.18552,-0.8251,-0.5586,1.28645,-0.81602,-1.44572,-0.60849,0.64478,0.93623,-1.36215,-0.55316,0.7568,1.00738,0.69228,-0.95204,-0.71188,1.39399,0.61723,0
peptide_nm_60,1.25582,0.64656,1.18552,1.09445,1.79018,-0.68665,0.90502,0.48997,1.52179,0.64478,0.60425,0.13784,1.62389,0.7568,1.00738,0.69228,0.92891,-0.71188,-0.69549,0.61723,0
peptide_nm_61,0.38993,1.7235,-0.76643,1.09445,-0.5586,1.28645,1.47296,0.48997,1.52179,0.64478,-0.04018,-1.36215,-0.55316,0.7568,1.00738,0.69228,0.92891,-0.71188,-0.69549,0.61723,0
peptide_nm_62,1.55022,-0.96082,-0.76643,-0.8251,-0.5586,2.60843,0.90502,0.48997,-0.60849,-1.2963,-0.04018,-1.36215,-0.55316,-1.11359,1.00738,0.69228,-0.95204,-0.71188,-0.69549,0.61723,0
peptide_nm_63,0.38993,0.64656,1.18552,1.09445,-0.5586,1.28645,0.90502,-1.44572,-0.60849,-1.2963,-0.04018,0.13784,-0.55316,-1.11359,1.00738,0.69228,0.92891,1.32246,-0.69549,-1.30882,0
peptide_nm_64,-1.34184,-0.96082,2.16149,1.09445,-0.5586,-0.68665,0.90502,0.48997,1.52179,0.64478,-0.04018,0.13784,1.62389,0.7568,1.00738,0.69228,0.92891,1.32246,1.39399,-1.30882,0
peptide_nm_65,0.38993,-0.96082,1.18552,-0.8251,-0.5586,1.28645,-0.81602,0.48997,1.52179,0.64478,-0.04018,0.13784,-0.55316,0.7568,-0.91026,0.69228,-0.95204,-0.71188,-0.69549,1.58026,0
peptide_nm_66,0.38993,0.64656,1.18552,1.09445,1.79018,-0.68665,-0.81602,0.48997,-0.60849,1.61531,-1.99301,0.13784,-0.55316,0.7568,1.00738,0.69228,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_67,0.38993,1.45025,-0.76643,1.09445,-0.5586,-0.68665,2.81537,0.48997,-0.60849,0.64478,-1.99301,0.13784,1.62389,0.7568,2.92502,-1.13441,-0.95204,1.32246,1.39399,-1.30882,0
peptide_nm_68,-1.34184,-0.96082,-0.76643,1.09445,-0.5586,-0.68665,0.90502,0.48997,1.52179,-1.2963,-1.99301,0.13784,1.62389,-1.11359,1.00738,-1.13441,0.92891,-0.71188,1.39399,0.61723,0
peptide_nm_69,0.38993,0.64656,-0.76643,-0.8251,-0.5586,1.28645,-0.81602,0.48997,1.52179,0.64478,-0.04018,0.13784,1.62389,0.7568,1.00738,0.69228,0.92891,1.32246,-0.69549,0.61723,0
peptide_nm_70,0.38993,0.64656,1.18552,1.09445,-0.5586,-0.68665,0.90502,-1.44572,-0.60849,0.64478,-0.04018,0.13784,-0.55316,-1.11359,-0.91026,-1.13441,2.18914,-0.71188,-0.69549,0.61723,0
peptide_nm_71,0.38993,-0.96082,-0.76643,-0.8251,-0.5586,1.28645,-0.81602,-1.44572,-0.60849,-1.2963,0.74095,-1.36215,-0.55316,0.7568,-0.91026,0.69228,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_72,0.38993,0.64656,-0.76643,1.09445,-0.5586,1.28645,0.90502,0.48997,1.52179,0.64478,1.26821,0.13784,1.62389,-1.11359,-0.91026,0.69228,-0.95204,-0.71188,-0.69549,0.61723,0
peptide_nm_73,0.38993,0.64656,1.18552,1.09445,-0.5586,1.28645,0.90502,0.48997,1.52179,0.64478,-0.04018,0.13784,-0.55316,-1.11359,-0.91026,-1.13441,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_74,-1.34184,-0.96082,1.18552,1.09445,-0.5586,-0.68665,-0.81602,-1.44572,1.52179,0.64478,-0.04018,0.13784,-0.55316,0.7568,1.00738,0.69228,-0.95204,-0.71188,1.39399,-1.30882,0
peptide_nm_75,-1.34184,-0.96082,1.18552,-0.8251,-0.5586,1.28645,-0.81602,-1.44572,1.52179,0.64478,-1.99301,0.13784,-0.55316,0.7568,1.00738,-1.13441,0.92891,1.32246,-0.69549,0.61723,0
peptide_nm_76,0.38993,-0.96082,-0.76643,1.09445,-0.5586,1.28645,0.90502,0.48997,-0.60849,0.64478,-1.99301,0.13784,1.62389,0.7568,1.00738,0.69228,-0.95204,-0.71188,1.39399,-1.30882,0
peptide_nm_77,0.38993,0.64656,1.18552,1.09445,-0.5586,1.28645,-0.81602,0.48997,1.52179,-1.2963,0.60425,-1.36215,1.62389,-1.11359,-0.91026,0.69228,0.92891,1.32246,1.39399,-1.30882,0
peptide_nm_78,0.38993,-0.96082,-0.76643,1.09445,1.79018,-0.68665,0.90502,0.48997,1.52179,-1.2963,0.74095,0.13784,1.62389,0.7568,1.00738,0.69228,-0.95204,-0.71188,-0.69549,0.61723,0
peptide_nm_79,1.08264,1.45025,-0.76643,-0.8251,1.79018,-0.68665,0.90502,0.48997,-0.60849,-1.2963,-0.04018,0.63283,-0.55316,0.7568,-0.91026,0.69228,0.92891,-0.71188,1.39399,0.61723,0
peptide_nm_80,0.38993,-0.96082,1.18552,-0.8251,1.79018,-0.68665,-0.81602,1.12875,-0.60849,0.64478,-0.04018,0.13784,-0.55316,-1.11359,1.00738,-1.13441,-0.95204,-0.71188,1.39399,0.61723,0
peptide_nm_81,0.38993,0.64656,1.18552,1.09445,-0.5586,-0.68665,0.90502,0.48997,1.52179,0.64478,0.52614,0.13784,-0.55316,0.7568,1.00738,0.69228,0.92891,-0.71188,1.39399,0.61723,0
peptide_nm_82,0.38993,0.64656,1.18552,1.09445,-0.5586,1.28645,0.90502,0.48997,1.52179,-1.2963,-0.04018,0.13784,-0.55316,0.7568,1.00738,0.69228,0.92891,-0.71188,1.39399,0.61723,0
peptide_nm_83,0.38993,0.64656,-0.76643,1.09445,-0.5586,-0.68665,0.90502,1.26425,1.52179,-1.2963,-0.04018,0.13784,1.62389,0.7568,-0.91026,0.69228,0.92891,-0.71188,1.39399,1.25283,0
peptide_nm_84,0.38993,0.64656,-0.76643,1.09445,1.79018,1.28645,0.90502,0.48997,-0.60849,0.64478,-1.99301,0.13784,-0.55316,0.7568,-0.91026,0.69228,0.92891,1.32246,-0.69549,0.61723,0
peptide_nm_85,-1.34184,-0.96082,1.18552,1.09445,1.79018,1.28645,0.90502,0.48997,-0.60849,0.64478,-0.04018,1.14283,-0.55316,-1.11359,-0.91026,0.69228,0.92891,1.32246,1.39399,0.61723,0
peptide_nm_86,0.38993,0.64656,1.18552,1.09445,1.79018,1.28645,1.59343,0.48997,-0.60849,0.64478,-0.04018,0.13784,-0.55316,-1.11359,1.00738,0.69228,0.92891,-0.71188,-0.69549,0.61723,0
peptide_nm_87,-1.34184,0.64656,1.18552,1.09445,-0.5586,1.28645,0.90502,1.26425,-0.60849,0.64478,-0.04018,0.13784,-0.55316,0.7568,1.00738,0.69228,0.92891,-0.71188,1.39399,0.61723,0
peptide_nm_88,-1.34184,-0.96082,1.18552,1.09445,-0.5586,1.28645,0.90502,0.48997,1.52179,-1.2963,-0.04018,0.13784,-0.55316,-1.11359,-0.91026,-1.13441,-0.95204,-0.71188,-0.69549,0.61723,0
peptide_nm_89,0.38993,0.64656,1.18552,-0.8251,-0.5586,-0.68665,-0.81602,0.48997,-0.60849,0.64478,1.26821,-1.36215,-0.55316,-1.11359,1.00738,0.69228,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_90,1.08264,-0.96082,-0.76643,1.09445,-0.5586,1.28645,0.90502,-1.44572,-0.60849,-1.2963,-0.04018,0.13784,-0.55316,-1.11359,-0.91026,0.69228,-0.95204,-0.71188,-0.69549,-1.30882,0
peptide_nm_91,0.38993,0.64656,-0.76643,1.09445,-0.5586,-0.68665,0.90502,0.48997,-0.60849,-1.2963,-0.04018,-1.36215,-0.55316,-1.11359,1.00738,0.69228,1.86938,-0.71188,-0.69549,0.61723,0
peptide_nm_92,0.38993,0.64656,-0.76643,-0.8251,-0.5586,-0.68665,0.90502,0.48997,-0.60849,0.64478,1.26821,0.13784,1.62389,0.7568,-0.91026,0.69228,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_93,1.55022,0.64656,1.18552,-0.8251,-0.5586,1.28645,-0.81602,0.48997,-0.60849,0.64478,2.75236,-1.36215,-0.55316,0.7568,-0.91026,-1.13441,-0.95204,-0.71188,-0.69549,0.61723,0
peptide_nm_94,-1.34184,0.64656,1.18552,1.09445,-0.5586,-0.68665,2.16137,0.48997,-0.60849,-1.2963,-0.04018,0.13784,1.62389,2.00996,-0.91026,0.69228,-0.95204,-0.71188,1.39399,0.61723,0
peptide_nm_95,1.25582,-0.96082,2.49332,1.09445,-0.5586,1.28645,0.90502,0.48997,1.52179,0.64478,-0.04018,0.13784,-0.55316,0.7568,1.00738,0.69228,-0.95204,-0.71188,-0.69549,1.90769,0
peptide_nm_96,0.38993,0.64656,-0.76643,-0.8251,-0.5586,1.28645,-0.81602,-1.44572,1.52179,-1.2963,-0.04018,-1.36215,-0.55316,-1.11359,1.00738,1.42296,-0.95204,-0.71188,-0.69549,0.61723,0
peptide_nm_97,0.38993,1.45025,-0.76643,1.09445,-0.5586,-0.68665,0.90502,-1.44572,1.52179,0.64478,-0.04018,-1.36215,-0.55316,0.7568,-0.91026,-1.13441,-0.95204,-0.71188,-0.69549,1.58026,0
peptide_nm_98,0.38993,-0.96082,-0.76643,1.09445,-0.5586,1.28645,0.90502,0.48997,1.52179,0.64478,-0.04018,-1.36215,1.62389,0.7568,-0.91026,-1.13441,-0.95204,-0.71188,-0.69549,0.61723,0
peptide_nm_99,0.38993,-0.96082,-0.76643,1.09445,-0.5586,1.28645,0.90502,0.48997,-0.60849,0.64478,-1.99301,0.13784,-0.55316,0.7568,-0.91026,0.69228,0.92891,-0.71188,-0.69549,0.61723,0
peptide_nm_100,0.38993,-0.96082,-0.76643,1.09445,-0.5586,-0.68665,-0.81602,0.48997,-0.60849,-1.2963,-0.04018,-1.36215,-0.55316,-1.11359,-0.91026,0.69228,-0.95204,1.32246,1.39399,0.61723,0
peptide_nm_101,0.38993,0.64656,1.18552,1.09445,-0.5586,1.28645,0.90502,-1.44572,-0.60849,0.64478,0.60425,0.88783,1.62389,-1.11359,1.00738,-1.13441,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_102,0.38993,0.64656,2.49332,-0.8251,-0.5586,2.60843,0.90502,1.45782,-0.60849,0.64478,-0.04018,0.13784,1.62389,0.7568,1.00738,0.69228,0.92891,-0.71188,1.39399,-1.30882,0
peptide_nm_103,0.38993,-0.96082,1.18552,1.09445,-0.5586,1.28645,-0.81602,0.48997,1.52179,-1.2963,1.26821,-1.36215,-0.55316,-1.11359,-0.91026,-1.13441,0.92891,-0.71188,1.39399,1.58026,0
peptide_nm_104,0.38993,-0.96082,-0.76643,-0.8251,1.79018,1.28645,0.90502,0.48997,1.52179,1.42121,-0.04018,0.13784,1.62389,0.7568,1.00738,0.69228,-0.95204,-0.71188,1.39399,0.61723,0
peptide_nm_105,0.38993,-0.96082,-0.76643,1.09445,1.79018,-0.68665,0.90502,0.48997,1.52179,-1.2963,-0.04018,1.14283,-0.55316,-1.11359,-0.91026,-1.13441,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_106,-1.34184,0.64656,-0.76643,1.09445,-0.5586,-0.68665,0.90502,0.48997,1.52179,1.28533,-1.99301,0.13784,1.62389,0.7568,-0.91026,-1.13441,0.92891,-0.71188,1.39399,0.61723,0
peptide_nm_107,2.36415,0.64656,-0.76643,1.09445,-0.5586,1.28645,-0.81602,0.48997,-0.60849,-1.2963,-0.04018,0.13784,-0.55316,-1.11359,-0.91026,0.69228,0.92891,-0.71188,-0.69549,-1.30882,0
peptide_nm_108,0.38993,-0.96082,-0.76643,1.09445,1.79018,1.28645,0.90502,-1.44572,-0.60849,-1.2963,-0.04018,0.88783,-0.55316,0.7568,1.00738,0.69228,0.92891,1.32246,1.39399,-1.30882,0
peptide_nm_109,0.38993,0.64656,-0.76643,1.09445,-0.5586,-0.68665,0.90502,-1.44572,-0.60849,0.64478,-0.04018,-1.36215,1.62389,0.7568,1.00738,0.69228,-0.95204,-0.71188,-0.69549,-1.30882,0
peptide_nm_110,0.38993,0.64656,-0.76643,-0.8251,-0.5586,-0.68665,0.90502,0.48997,-0.60849,1.42121,-0.04018,-1.36215,-0.55316,2.00996,2.2922,0.69228,2.80986,-0.71188,-0.69549,-1.30882,0
peptide_nm_111,-1.34184,0.64656,1.18552,1.09445,-0.5586,-0.68665,0.90502,0.48997,-0.60849,0.64478,-0.04018,0.73783,1.62389,0.7568,1.00738,-1.13441,0.92891,-0.71188,-0.69549,0.61723,0
peptide_nm_112,0.38993,0.64656,1.18552,-0.8251,-0.5586,1.28645,0.90502,0.48997,-0.60849,0.64478,-0.04018,0.13784,-0.55316,-1.11359,-0.91026,1.91617,0.92891,-0.71188,-0.69549,0.61723,0
peptide_nm_113,0.38993,-0.96082,1.18552,-0.8251,-0.5586,1.28645,0.90502,0.48997,-0.60849,-1.2963,-0.04018,0.13784,1.62389,0.7568,-0.91026,0.69228,0.92891,-0.71188,-0.69549,1.58026,0
peptide_nm_114,0.38993,-0.96082,1.18552,1.09445,1.79018,1.28645,0.90502,0.48997,1.52179,0.64478,-0.04018,0.57283,1.62389,0.7568,-0.91026,0.69228,0.92891,-0.71188,-0.69549,0.61723,0
peptide_nm_115,0.38993,0.64656,1.18552,1.09445,-0.5586,-0.68665,-0.81602,0.48997,-0.60849,0.64478,-0.04018,-1.36215,-0.55316,0.7568,1.00738,0.69228,-0.95204,-0.71188,1.39399,0.61723,0
