,Argos,y
peptide_nm_207,-1.04481,0
peptide_nm_208,-0.53613,0
peptide_nm_209,-0.99261,0
peptide_nm_210,-0.88506,0
peptide_nm_211,-0.78063,0
peptide_nm_212,-0.40067,0
peptide_nm_213,-1.40006,0
peptide_nm_214,0.52845,0
peptide_nm_215,-0.49554,0
peptide_nm_216,-0.66641,0
peptide_nm_217,-0.63757,0
peptide_nm_218,-1.1322,0
peptide_nm_219,-0.35172,0
peptide_nm_220,-0.21771,0
peptide_nm_221,-0.53319,0
peptide_nm_222,-0.79928,0
peptide_nm_223,0.49378,0
peptide_nm_224,-0.48964,0
peptide_nm_225,-0.86698,0
peptide_nm_226,-0.70166,0
peptide_nm_227,0.41522,0
peptide_nm_228,-0.98354,0
peptide_nm_229,0.28607,0
peptide_nm_230,-1.08024,0
peptide_nm_231,0.50535,0
peptide_nm_232,-0.39843,0
peptide_nm_233,-0.88723,0
peptide_nm_234,-1.11024,0
peptide_nm_235,-0.01013,0
peptide_nm_236,-0.4604,0
peptide_nm_237,-0.21928,0
peptide_nm_238,-0.67477,0
peptide_nm_239,-0.6002,0
peptide_nm_240,-0.81838,0
peptide_nm_241,-0.62388,0
peptide_nm_242,-0.69447,0
peptide_nm_243,-1.08197,0
peptide_nm_244,0.53122,0
peptide_nm_245,-0.83,0
peptide_nm_246,-0.36307,0
peptide_nm_247,-0.80952,0
peptide_nm_248,-0.02265,0
peptide_nm_249,-0.65325,0
peptide_nm_250,-1.01003,0
peptide_nm_251,-0.72052,0
peptide_nm_252,0.08221,0
peptide_nm_253,-0.45584,0
peptide_nm_254,-1.20248,0
peptide_nm_255,-1.32331,0
peptide_nm_256,0.03961,0
peptide_nm_257,-0.09019,0
peptide_nm_258,0.14855,0
peptide_nm_259,-0.26953,0
peptide_nm_260,-0.81171,0
peptide_nm_261,-0.49884,0
peptide_nm_262,-0.42633,0
peptide_nm_263,-0.89774,0
peptide_nm_264,-0.30366,0
peptide_nm_265,-0.98154,0
peptide_nm_266,-0.24022,0
peptide_nm_267,-0.52959,0
peptide_nm_268,-0.9331,0
peptide_nm_269,-0.61225,0
peptide_nm_270,0.27136,0
peptide_nm_271,-0.5592,0
peptide_nm_272,-0.61329,0
peptide_nm_273,-1.10997,0
peptide_nm_274,-0.91754,0
peptide_nm_275,1.05806,0
peptide_nm_276,-0.65891,0
peptide_nm_277,-0.27047,0
peptide_nm_278,-1.03668,0
peptide_nm_279,-0.4811,0
peptide_nm_280,-0.08628,0
peptide_nm_281,0.22342,0
peptide_nm_282,-0.35845,0
peptide_nm_283,-0.97246,0
peptide_nm_284,-0.44684,0
peptide_nm_285,-0.64259,0
peptide_nm_286,-0.24409,0
peptide_nm_287,0.1603,0
peptide_nm_288,-0.58352,0
peptide_nm_289,0.08317,0
peptide_nm_290,0.51451,0
peptide_nm_291,-0.53138,0
peptide_nm_292,-1.06246,0
peptide_nm_293,-0.60661,0
peptide_nm_294,-0.20086,0
peptide_nm_295,-0.89901,0
peptide_nm_296,-0.69154,0
peptide_nm_297,-0.18299,0
peptide_nm_298,-0.68366,0
peptide_nm_299,-0.60146,0
peptide_nm_300,-0.96844,0
peptide_nm_301,0.95978,0
peptide_nm_302,-0.1823,0
peptide_nm_303,-0.98953,0
peptide_nm_304,-1.07979,0
peptide_nm_305,-0.85419,0
peptide_nm_306,-0.3379,0
peptide_nm_307,0.13468,0
peptide_nm_308,-0.323,0
peptide_nm_309,-0.11281,0
peptide_nm_310,0.62392,0
peptide_nm_311,-1.00085,0
peptide_nm_312,-0.64102,0
peptide_nm_313,-0.90785,0
peptide_nm_314,0.21712,0
peptide_nm_315,-1.254,0
peptide_nm_316,-0.83028,0
peptide_nm_317,0.10054,0
peptide_nm_318,-0.44882,0
peptide_nm_319,-1.30619,0
peptide_nm_320,-0.22727,0
peptide_nm_321,-0.83573,0
peptide_nm_322,0.24772,0
peptide_nm_323,0.23457,0
peptide_nm_324,-0.19106,0
peptide_nm_325,-0.8922,0
peptide_nm_326,-0.37554,0
peptide_nm_327,-0.34169,0
peptide_nm_328,-0.50994,0
peptide_nm_329,-0.86747,0
peptide_nm_330,-0.52142,0
peptide_nm_331,0.3254,0
peptide_nm_332,-1.21589,0
peptide_nm_333,-0.59926,0
peptide_nm_334,-0.61291,0
peptide_nm_335,-0.0042,0
peptide_nm_336,0.66757,0
peptide_nm_337,-0.6523,0
peptide_nm_338,-1.1908,0
peptide_nm_339,-0.76648,0
peptide_nm_340,0.61458,0
peptide_nm_341,-1.15555,0
peptide_nm_342,-0.72062,0
peptide_nm_343,-0.32459,0
peptide_nm_344,-0.87257,0
peptide_nm_345,-0.37978,0
peptide_nm_346,0.15019,0
peptide_nm_347,-0.58799,0
peptide_nm_348,-1.04289,0
peptide_nm_349,-0.50418,0
peptide_nm_350,-1.22507,0
peptide_nm_351,-0.54634,0
peptide_nm_352,-1.02987,0
peptide_nm_353,-1.35504,0
peptide_nm_354,-0.35887,0
peptide_nm_355,-0.42077,0
peptide_nm_356,-0.66179,0
peptide_nm_357,-0.90078,0
peptide_nm_358,-0.55612,0
peptide_nm_359,-0.24202,0
peptide_nm_360,-0.41305,0
peptide_nm_361,-0.09896,0
peptide_nm_362,-0.81049,0
peptide_nm_363,0.56125,0
peptide_nm_364,-1.15728,0
peptide_nm_365,-0.20227,0
peptide_nm_366,-0.93995,0
peptide_nm_367,1.12415,0
peptide_nm_368,-0.04743,0
peptide_nm_369,-0.29145,0
peptide_nm_370,-0.6848,0
peptide_nm_371,-1.26433,0
peptide_nm_372,-0.44832,0
peptide_nm_373,-0.82338,0
peptide_nm_374,-1.09404,0
peptide_nm_375,-1.0658,0
peptide_nm_376,-1.27841,0
peptide_nm_377,-0.04636,0
peptide_nm_378,-0.58243,0
peptide_nm_379,0.40286,0
peptide_nm_380,-0.41009,0
peptide_nm_381,0.81644,0
peptide_nm_382,-1.28994,0
peptide_nm_383,-0.01307,0
peptide_nm_384,0.42279,0
peptide_nm_385,-1.03937,0
peptide_nm_386,-1.26291,0
peptide_nm_387,0.60386,0
peptide_nm_388,-0.97464,0
peptide_nm_389,-0.23969,0
peptide_nm_390,0.60247,0
peptide_nm_391,-0.58794,0
peptide_nm_392,-1.08446,0
peptide_nm_393,0.03647,0
peptide_nm_394,-0.18956,0
peptide_nm_395,-0.42344,0
peptide_nm_396,0.19947,0
peptide_nm_397,-1.1278,0
peptide_nm_398,-0.26471,0
peptide_nm_399,-1.05731,0
peptide_nm_400,0.5303,0
peptide_nm_401,-1.32698,0
peptide_nm_402,-0.95479,0
peptide_nm_403,-1.35178,0
peptide_nm_404,0.07133,0
peptide_nm_405,-0.73249,0
peptide_nm_406,-0.3917,0
peptide_nm_407,-0.23724,0
peptide_nm_408,-0.36346,0
peptide_nm_409,-0.51117,0
peptide_nm_410,-1.16753,0
peptide_nm_411,-0.96656,0
peptide_nm_412,-0.21478,0
peptide_nm_413,-0.3938,0
peptide_nm_414,-0.44195,0
peptide_nm_415,0.21628,0
peptide_nm_416,-0.25305,0
peptide_nm_417,-0.35571,0
peptide_nm_418,-0.44711,0
peptide_nm_419,0.6553,0
peptide_nm_420,-1.0728,0
peptide_nm_421,-1.15965,0
peptide_nm_422,-0.68516,0
peptide_nm_423,-1.31338,0
peptide_nm_424,-0.46351,0
peptide_nm_425,-0.53549,0
peptide_nm_426,-0.81616,0
peptide_nm_427,-0.79528,0
peptide_nm_428,-1.13029,0
peptide_nm_429,-0.57925,0
peptide_nm_430,-0.43725,0
peptide_nm_431,-0.79825,0
peptide_nm_432,-0.86828,0
peptide_nm_433,-0.18176,0
peptide_nm_434,-0.9608,0
peptide_nm_435,-1.05629,0
peptide_nm_436,-0.7172,0
peptide_nm_437,-0.31962,0
peptide_nm_438,-0.11636,0
peptide_nm_439,-0.99067,0
peptide_nm_440,-0.9942,0
peptide_nm_441,-0.37798,0
peptide_nm_442,-0.29183,0
peptide_pm_1,0.75378,1
peptide_pm_2,0.65216,1
peptide_pm_3,0.99496,1
peptide_pm_4,1.93423,1
peptide_pm_5,-1.06044,1
peptide_pm_6,0.72534,1
peptide_pm_7,-0.96735,1
peptide_pm_8,-0.26767,1
peptide_pm_9,1.99816,1
peptide_pm_10,-0.81695,1
peptide_pm_11,1.75933,1
peptide_pm_12,0.28418,1
peptide_pm_13,-0.37994,1
peptide_pm_14,-0.74783,1
peptide_pm_15,0.2973,1
peptide_pm_16,-0.22311,1
peptide_pm_17,2.25555,1
peptide_pm_18,-1.24434,1
peptide_pm_19,0.57762,1
peptide_pm_20,-1.11509,1
peptide_pm_21,0.44238,1
peptide_pm_22,-0.18921,1
peptide_pm_23,-0.24286,1
peptide_pm_24,3.08505,1
peptide_pm_25,-0.51588,1
peptide_pm_26,0.67942,1
peptide_pm_27,-1.22366,1
peptide_pm_28,-1.41242,1
peptide_pm_29,0.65329,1
peptide_pm_30,0.58127,1
peptide_pm_31,0.37635,1
peptide_pm_32,0.44241,1
peptide_pm_33,0.74509,1
peptide_pm_34,0.21054,1
peptide_pm_35,0.56432,1
peptide_pm_36,0.70912,1
peptide_pm_37,0.39461,1
peptide_pm_38,1.15108,1
peptide_pm_39,-0.469,1
peptide_pm_40,-1.06838,1
peptide_pm_41,-0.70535,1
peptide_pm_42,-0.68268,1
peptide_pm_43,-1.23725,1
peptide_pm_44,-0.26328,1
peptide_pm_45,-0.94355,1
peptide_pm_46,-0.20581,1
peptide_pm_47,-0.85628,1
peptide_pm_48,-1.20902,1
peptide_pm_49,1.59831,1
peptide_pm_50,1.73317,1
peptide_pm_51,-0.4954,1
peptide_pm_52,-0.27066,1
peptide_pm_53,-0.40751,1
peptide_pm_54,-0.83278,1
peptide_pm_55,0.91707,1
peptide_pm_56,-0.83004,1
peptide_pm_57,2.56169,1
peptide_pm_58,-0.86426,1
peptide_pm_59,1.74078,1
peptide_pm_60,2.3975,1
peptide_pm_61,-0.98616,1
peptide_pm_62,-0.4825,1
peptide_pm_63,-0.53815,1
peptide_pm_64,3.39468,1
peptide_pm_65,1.764,1
peptide_pm_66,-0.85017,1
peptide_pm_67,2.87236,1
peptide_pm_68,2.3854,1
peptide_pm_69,-0.13294,1
peptide_pm_70,-0.97071,1
peptide_pm_71,-1.33248,1
peptide_pm_72,-0.03261,1
peptide_pm_73,1.66598,1
peptide_pm_74,-0.9135,1
peptide_pm_75,2.14911,1
peptide_pm_76,0.66751,1
peptide_pm_77,-0.2091,1
peptide_pm_78,-0.43114,1
peptide_pm_79,-0.28857,1
peptide_pm_80,-0.25482,1
peptide_pm_81,1.36505,1
peptide_pm_82,1.79736,1
peptide_pm_83,-0.67152,1
peptide_pm_84,-0.96727,1
peptide_pm_85,2.0943,1
peptide_pm_86,-0.92821,1
peptide_pm_87,1.26795,1
peptide_pm_88,-0.87813,1
peptide_pm_89,1.96571,1
peptide_pm_90,-0.66329,1
peptide_pm_91,-0.19693,1
peptide_pm_92,0.49636,1
peptide_pm_93,0.26762,1
peptide_pm_94,0.6093,1
peptide_pm_95,0.58646,1
peptide_pm_96,-0.68332,1
peptide_pm_97,-0.18023,1
peptide_pm_98,-0.39737,1
peptide_pm_99,-0.55458,1
peptide_pm_100,-0.67428,1
peptide_pm_101,0.29086,1
peptide_pm_102,3.46145,1
peptide_pm_103,0.10851,1
peptide_pm_104,1.98695,1
peptide_pm_105,1.0667,1
peptide_pm_106,0.93363,1
peptide_pm_107,0.7961,1
peptide_pm_108,0.86819,1
peptide_pm_109,-0.39283,1
peptide_pm_110,-0.75316,1
peptide_pm_111,2.27307,1
peptide_pm_112,2.74174,1
peptide_pm_113,0.91009,1
peptide_pm_114,0.66681,1
peptide_pm_115,-0.96411,1
peptide_pm_116,0.72633,1
peptide_pm_117,1.4556,1
peptide_pm_118,-0.07858,1
peptide_pm_119,-1.09438,1
peptide_pm_120,-1.21113,1
peptide_pm_121,2.05707,1
peptide_pm_122,2.47292,1
peptide_pm_123,0.38725,1
peptide_pm_124,-0.9614,1
peptide_pm_125,-1.08649,1
peptide_pm_126,-0.32379,1
peptide_pm_127,0.89928,1
peptide_pm_128,-1.09416,1
peptide_pm_129,-0.86634,1
peptide_pm_130,0.83918,1
peptide_pm_131,-0.08111,1
peptide_pm_132,2.21249,1
peptide_pm_133,-0.18439,1
peptide_pm_134,0.27738,1
peptide_pm_135,1.99227,1
peptide_pm_136,2.30768,1
peptide_pm_137,1.79524,1
peptide_pm_138,-0.3478,1
peptide_pm_139,1.21773,1
peptide_pm_140,3.12381,1
peptide_pm_141,0.34918,1
peptide_pm_142,1.74577,1
peptide_pm_143,-0.36934,1
peptide_pm_144,0.96525,1
peptide_pm_145,-0.55854,1
peptide_pm_146,0.16729,1
peptide_pm_147,0.53241,1
peptide_pm_148,-0.10815,1
peptide_pm_149,-0.24113,1
peptide_pm_150,1.95565,1
peptide_pm_151,1.47814,1
peptide_pm_152,1.10821,1
peptide_pm_153,0.63568,1
peptide_pm_154,-0.88695,1
peptide_pm_155,0.88778,1
peptide_pm_156,1.21861,1
peptide_pm_157,-0.43473,1
peptide_pm_158,0.69043,1
peptide_pm_159,1.03872,1
peptide_pm_160,-1.2576,1
peptide_pm_161,2.60146,1
peptide_pm_162,-0.02047,1
peptide_pm_163,1.43762,1
peptide_pm_164,2.13158,1
peptide_pm_165,0.91017,1
peptide_pm_166,2.78108,1
peptide_pm_167,0.32774,1
peptide_pm_168,0.89141,1
peptide_pm_169,0.31774,1
peptide_pm_170,0.99229,1
peptide_pm_171,0.72183,1
peptide_pm_172,3.06655,1
peptide_pm_173,-0.45861,1
peptide_pm_174,-0.79107,1
peptide_pm_175,-0.82689,1
peptide_pm_176,-0.90469,1
peptide_pm_177,0.40711,1
peptide_pm_178,0.18148,1
peptide_pm_179,2.45083,1
peptide_pm_180,0.84445,1
peptide_pm_181,-0.19825,1
peptide_pm_182,0.83925,1
peptide_pm_183,1.34128,1
peptide_pm_184,-0.46271,1
peptide_pm_185,1.31224,1
peptide_pm_186,1.4301,1
peptide_pm_187,2.5124,1
peptide_pm_188,0.07323,1
peptide_pm_189,1.30909,1
peptide_pm_190,-0.527,1
peptide_pm_191,1.47806,1
peptide_pm_192,1.02369,1
peptide_pm_193,-0.55458,1
peptide_pm_194,1.21197,1
peptide_pm_195,0.15517,1
peptide_pm_196,-0.52972,1
peptide_pm_197,2.15308,1
peptide_pm_198,0.65966,1
peptide_pm_199,1.35576,1
peptide_pm_200,-0.09989,1
peptide_pm_201,0.6919,1
peptide_pm_202,1.43626,1
peptide_pm_203,0.62265,1
peptide_pm_204,0.06405,1
peptide_pm_205,0.12388,1
peptide_pm_206,0.25276,1
peptide_pm_207,1.21861,1
peptide_pm_208,0.86146,1
peptide_pm_209,-0.41946,1
peptide_pm_210,-1.40885,1
peptide_pm_211,0.27297,1
peptide_pm_212,1.24518,1
peptide_pm_213,-0.00161,1
peptide_pm_214,0.62027,1
peptide_pm_215,0.37691,1
peptide_pm_216,1.57937,1
peptide_pm_217,0.70856,1
peptide_pm_218,0.62991,1
peptide_pm_219,0.38422,1
peptide_pm_220,0.26106,1
peptide_pm_221,0.63415,1
peptide_pm_222,-0.92034,1
peptide_pm_223,-0.64329,1
peptide_pm_224,-0.95617,1
peptide_pm_225,0.57979,1
peptide_pm_226,1.06198,1
peptide_pm_227,0.36202,1
peptide_pm_228,-1.17129,1
peptide_pm_229,0.44528,1
peptide_pm_230,-0.76143,1
peptide_pm_231,0.85437,1
peptide_pm_232,1.14909,1
peptide_pm_233,-0.65099,1
peptide_pm_234,1.02891,1
peptide_pm_235,1.51297,1
peptide_pm_236,-0.30989,1
peptide_pm_237,-1.21807,1
peptide_pm_238,-0.85448,1
peptide_pm_239,0.51898,1
peptide_pm_240,0.52672,1
peptide_pm_241,0.31685,1
peptide_pm_242,-0.34774,1
peptide_pm_243,-0.59669,1
peptide_pm_244,0.41785,1
peptide_pm_245,0.63567,1
peptide_pm_246,-0.02973,1
peptide_pm_247,0.54949,1
peptide_pm_248,-0.65357,1
peptide_pm_249,0.56871,1
peptide_pm_250,2.87997,1
peptide_pm_251,-0.14691,1
peptide_pm_252,2.80357,1
peptide_pm_253,-0.26513,1
peptide_pm_254,-0.38878,1
peptide_pm_255,0.19108,1
peptide_pm_256,0.16548,1
peptide_pm_257,-0.77084,1
peptide_pm_258,0.53239,1
peptide_pm_259,1.04749,1
peptide_pm_260,0.76151,1
peptide_pm_261,0.39042,1
peptide_pm_262,-0.98415,1
peptide_pm_263,1.17897,1
peptide_pm_264,2.1842,1
peptide_pm_265,-1.12904,1
peptide_pm_266,2.44455,1
peptide_pm_267,0.31081,1
peptide_pm_268,1.37881,1
peptide_pm_269,-0.98552,1
peptide_pm_270,2.59188,1
peptide_pm_271,0.55203,1
peptide_pm_272,-0.6545,1
peptide_pm_273,0.45509,1
peptide_pm_274,0.58117,1
peptide_pm_275,-1.03645,1
peptide_pm_276,3.19729,1
peptide_pm_277,1.4668,1
peptide_pm_278,-1.48563,1
peptide_pm_279,0.36647,1
peptide_pm_280,1.6017,1
peptide_pm_281,-0.63077,1
peptide_pm_282,2.46404,1
peptide_pm_283,-0.44909,1
peptide_pm_284,2.71078,1
peptide_pm_285,-0.2697,1
peptide_pm_286,-0.82689,1
peptide_pm_287,1.66183,1
peptide_pm_288,1.42118,1
peptide_pm_289,1.1898,1
peptide_pm_290,-0.32674,1
peptide_pm_291,2.27593,1
peptide_pm_292,3.25892,1
peptide_pm_293,0.87487,1
peptide_pm_294,-0.76747,1
peptide_pm_295,-0.69684,1
peptide_pm_296,0.51231,1
peptide_pm_297,-0.24242,1
peptide_pm_298,2.60717,1
peptide_pm_299,1.28389,1
peptide_pm_300,1.24746,1
peptide_pm_301,2.14426,1
peptide_pm_302,0.10426,1
peptide_pm_303,0.54971,1
peptide_pm_304,-0.49547,1
peptide_pm_305,0.16042,1
peptide_pm_306,-0.13189,1
peptide_pm_307,3.23159,1
peptide_pm_308,-0.75635,1
peptide_pm_309,0.94387,1
peptide_pm_310,1.47377,1
peptide_pm_311,1.58461,1
peptide_pm_312,2.39464,1
peptide_pm_313,0.75479,1
peptide_pm_314,0.87486,1
peptide_pm_315,1.27653,1
peptide_pm_316,0.87311,1
peptide_pm_317,-0.57568,1
peptide_pm_318,0.04861,1
peptide_pm_319,1.61858,1
peptide_pm_320,2.58295,1
peptide_pm_321,-1.18638,1
peptide_pm_322,-0.81679,1
peptide_pm_323,0.08086,1
peptide_pm_324,-0.07637,1
peptide_pm_325,0.61754,1
peptide_pm_326,0.92929,1
peptide_pm_327,1.48822,1
peptide_pm_328,0.92685,1
peptide_pm_329,0.18725,1
peptide_pm_330,2.5689,1
peptide_pm_331,0.46028,1
peptide_pm_332,2.01057,1
peptide_pm_333,0.43479,1
peptide_pm_334,-0.85802,1
peptide_pm_335,0.35745,1
peptide_pm_336,0.16729,1
peptide_pm_337,-0.77464,1
peptide_pm_338,-0.42329,1
peptide_pm_339,0.66076,1
peptide_pm_340,0.12865,1
peptide_pm_341,0.62647,1
peptide_pm_342,-0.14705,1
peptide_pm_343,2.07736,1
peptide_pm_344,-1.31802,1
peptide_pm_345,0.76253,1
peptide_pm_346,1.56435,1
peptide_pm_347,0.46927,1
peptide_pm_348,-1.03131,1
peptide_pm_349,3.38231,1
peptide_pm_350,1.35838,1
peptide_pm_351,1.07272,1
peptide_pm_352,-0.47616,1
peptide_pm_353,1.02472,1
peptide_pm_354,0.75011,1
peptide_pm_355,3.17734,1
peptide_pm_356,-0.57086,1
peptide_pm_357,-0.2163,1
peptide_pm_358,1.03555,1
peptide_pm_359,-0.32756,1
peptide_pm_360,1.01143,1
peptide_pm_361,-0.69091,1
peptide_pm_362,-0.31682,1
peptide_pm_363,0.07152,1
peptide_pm_364,-0.14894,1
peptide_pm_365,2.4114,1
peptide_pm_366,-0.74869,1
peptide_pm_367,2.21637,1
peptide_pm_368,0.58118,1
peptide_pm_369,-0.78041,1
peptide_pm_370,0.54469,1
peptide_pm_371,-0.73799,1
peptide_pm_372,1.28133,1
peptide_pm_373,-0.79171,1
peptide_pm_374,-0.00781,1
peptide_pm_375,-1.07817,1
peptide_pm_376,0.10814,1
peptide_pm_377,1.16021,1
peptide_pm_378,0.89739,1
peptide_pm_379,-0.83617,1
peptide_pm_380,0.62204,1
peptide_pm_381,-1.14332,1
peptide_pm_382,2.32254,1
peptide_pm_383,0.51349,1
peptide_pm_384,-0.33553,1
peptide_pm_385,0.82295,1
peptide_pm_386,-0.39688,1
peptide_pm_387,0.52977,1
peptide_pm_388,0.43598,1
peptide_pm_389,0.62608,1
peptide_pm_390,1.84455,1
peptide_pm_391,-1.03293,1
peptide_pm_392,0.35966,1
peptide_pm_393,-0.27357,1
peptide_pm_394,2.29234,1
peptide_pm_395,-0.83617,1
peptide_pm_396,-1.07331,1
peptide_pm_397,0.28359,1
peptide_pm_398,-0.68912,1
peptide_pm_399,0.74953,1
peptide_pm_400,0.32761,1
peptide_pm_401,-0.28859,1
