,NMBroto_CIDH920105.lag1,NMBroto_CIDH920105.lag2,NMBroto_CIDH920105.lag3,NMBroto_BHAR880101.lag1,NMBroto_BHAR880101.lag2,NMBroto_BHAR880101.lag3,NMBroto_CHAM820101.lag1,NMBroto_CHAM820101.lag2,NMBroto_CHAM820101.lag3,NMBroto_CHAM820102.lag1,NMBroto_CHAM820102.lag2,NMBroto_CHAM820102.lag3,NMBroto_CHOC760101.lag1,NMBroto_CHOC760101.lag2,NMBroto_CHOC760101.lag3,NMBroto_BIGC670101.lag1,NMBroto_BIGC670101.lag2,NMBroto_BIGC670101.lag3,NMBroto_CHAM810101.lag1,NMBroto_CHAM810101.lag2,NMBroto_CHAM810101.lag3,NMBroto_DAYM780201.lag1,NMBroto_DAYM780201.lag2,NMBroto_DAYM780201.lag3,y
peptide_nm_37,-0.32383,-0.26813,0.71435,-0.22597,-0.56987,-0.42523,0.98073,0.45888,0.39961,0.26757,0.91732,0.52179,1.0947,0.53632,0.45418,0.70181,0.16261,0.31243,1.95696,0.23013,0.53662,-0.11711,-0.3827,-0.61925,0
peptide_nm_38,-0.31109,0.12793,0.39217,-1.26584,0.28159,0.16592,1.24738,0.6759,0.29826,-0.40533,-0.45967,-0.08397,0.83433,0.94719,0.17669,0.93826,0.67642,0.32285,0.344,0.02065,-0.0693,-0.62889,-1.99696,-0.01022,0
peptide_nm_39,0.60822,-0.91026,-0.87091,-0.31929,-0.1583,0.14813,0.00289,0.04119,-0.27637,-0.89526,-0.29444,-0.71818,0.13561,0.16175,-0.37013,-0.06233,-0.29465,-0.28364,0.84734,-0.21743,-0.41694,0.17806,-1.02646,-0.91987,0
peptide_nm_40,1.59511,0.42638,-0.56757,0.73803,-0.97222,-1.97309,-0.52706,1.44001,0.04521,0.43988,0.32283,0.14254,-1.51434,1.77381,-0.45139,-0.46314,1.85598,0.16866,-0.25385,1.31291,0.35664,0.02954,-0.57906,-0.41639,0
peptide_nm_41,0.00082,-0.00354,-0.57184,1.32854,0.51453,0.78287,0.17282,-0.08827,-0.95762,0.60615,-0.20257,0.09623,0.43797,0.12636,-0.56115,-0.13087,0.10865,-0.62361,-0.22769,0.56908,0.09634,-0.19787,-0.74643,-0.43493,0
peptide_nm_43,-1.25177,0.00592,0.06303,-2.85298,0.16246,1.00568,-1.28497,0.59502,0.61846,0.33619,-2.02636,0.0193,-1.04029,-0.00809,0.82886,-1.49041,-0.07134,0.74958,-0.5958,-0.06782,1.00451,0.22653,0.45479,0.12937,0
peptide_nm_44,-0.73971,-0.94661,0.20355,-0.3172,-1.07963,1.18075,-0.75953,0.31283,-0.75031,0.54237,-0.05378,0.24852,-0.44975,0.46736,-0.70939,-0.61524,0.30937,-0.46955,0.57688,0.27003,0.16285,-0.73433,-0.55131,-0.19206,0
peptide_nm_45,-1.13157,-0.27971,0.02473,-0.48332,0.54908,-0.47465,-0.01182,-0.57968,-0.75325,-0.08785,-0.45135,1.02816,-0.25871,-0.8094,-0.6579,-0.24098,-0.71697,-0.96348,0.00661,-0.23544,-0.00392,-0.24558,-0.01914,0.07107,0
peptide_nm_46,0.12922,0.58845,-0.92942,-0.09968,0.53725,0.24881,0.38522,0.06384,-0.20048,-0.30763,-0.08595,-0.24438,0.29014,-0.37968,-0.22976,0.05147,-0.12703,-0.48553,-0.11363,-0.01388,-0.19266,0.77861,0.11904,-0.46069,0
peptide_nm_47,0.32847,0.18007,0.02958,0.48362,0.15373,-0.056,-0.58751,-0.41859,-0.44166,0.38579,0.34289,0.0543,-0.73684,-0.40158,-0.36436,-0.55999,-0.31518,-0.28371,0.09599,0.25925,0.38571,0.0733,0.05992,-0.09032,0
peptide_nm_48,-0.96571,0.29666,-0.28882,-0.7816,-0.19303,0.44802,1.0188,-0.07815,0.59848,0.21563,0.33847,0.41929,0.7453,-0.74451,0.612,0.26941,-0.98946,-0.15166,-1.20402,-0.21883,0.24375,-0.2073,0.36323,-0.93762,0
peptide_nm_49,0.56626,0.52053,-1.22265,0.20717,1.76222,-0.68543,0.03124,0.74425,0.22747,-0.54892,0.05434,-0.16278,0.16722,0.07765,0.2926,0.06281,0.38951,0.26379,-0.03721,-0.18968,-0.01802,-0.11915,0.0779,-0.02299,0
peptide_nm_50,-0.60837,0.46705,-0.25688,-0.44813,0.79741,-0.13985,-1.86591,0.86003,-0.98581,-1.37976,-2.3032,2.50423,-2.12615,1.35541,-0.8255,-1.84602,1.13288,-0.60201,-0.67871,1.0386,1.88257,0.04244,-0.31208,0.06493,0
peptide_nm_51,-0.65211,0.11969,-0.01577,-0.40862,0.00761,-0.00912,0.34743,-0.78785,-1.0722,0.03068,0.00068,0.14761,0.34176,-0.76121,-1.12235,0.26817,-0.39489,-0.86249,-0.54257,-0.0757,-0.07116,0.16166,-0.27936,-0.3601,0
peptide_nm_52,0.68528,-0.80014,-2.29252,-0.55883,0.22447,0.7765,-0.35345,-0.13223,-1.86956,-0.33286,0.05485,-0.16414,-1.06156,-0.11812,-1.19033,-0.79737,-0.56704,-1.9853,0.8308,-0.97942,-1.3988,-0.40862,-0.51026,-0.03238,0
peptide_nm_53,-0.03057,-0.14611,0.2001,0.82376,-0.58381,-0.71399,-1.04815,-0.32184,-0.07831,-1.3644,-0.89422,0.28332,-0.56633,-0.08964,0.16251,-0.3656,-0.14052,0.13959,0.50121,0.63991,0.40226,-0.64722,-0.68154,-0.4374,0
peptide_nm_54,-1.24881,0.89055,-1.85597,0.24191,-1.11471,0.00483,0.34495,0.09612,-0.69183,-0.19369,0.82084,-0.11961,0.79403,-0.07897,-0.9412,-0.07382,-0.2788,-1.66621,-0.69207,0.43243,-1.22726,-0.69375,-0.21663,-0.37906,0
peptide_nm_55,0.36894,-0.78606,-1.24291,-0.36327,-1.89148,-0.42248,1.00601,0.29449,-0.57922,1.03228,0.24201,-0.54397,0.93604,0.55196,-0.39547,1.11405,-0.1372,-1.17981,0.74545,-0.33208,-1.41614,-0.84191,-0.31258,-0.33938,0
peptide_nm_56,-0.18862,-0.58432,0.05375,-0.35521,-0.36246,-0.60144,-0.17705,-1.27497,0.36292,-0.30835,0.23587,-0.09461,-0.25891,-1.18865,0.49893,-0.69735,-1.30783,0.62056,-0.54766,-0.53212,-0.17875,-0.05805,-1.29706,-1.06687,0
peptide_nm_57,-1.31311,0.73508,-0.83006,0.56411,2.63795,0.38069,1.44191,1.04127,1.48867,0.34315,0.16,0.68562,1.77548,0.9735,1.51153,0.53932,0.64926,0.94213,-0.14597,-0.23607,-0.47411,-1.87973,0.16134,0.09343,0
peptide_nm_58,-0.7475,-0.46051,-0.4251,-0.34301,-0.33251,-0.75708,0.2364,-0.00462,-0.75176,0.51372,-1.3606,-0.74055,0.43763,0.38059,-0.85459,0.08736,-0.23665,-0.44308,1.14862,0.09913,0.19623,-0.77269,-1.1018,0.95056,0
peptide_nm_59,0.84863,0.56263,-0.87444,1.04284,-0.51701,-0.84897,-0.5691,-0.16965,0.77639,-0.13682,-0.11461,-0.00786,-0.85095,-0.22956,0.73912,-0.54121,-0.13225,0.46574,0.12003,0.21908,-0.19932,0.2688,-0.39736,-0.3666,0
peptide_nm_60,-0.45311,0.1773,-0.77735,0.01596,-0.09595,-1.19987,0.40575,-0.51026,-0.37301,-0.6063,-0.49448,-0.13311,0.204,-0.34519,-0.14684,0.05935,-0.57887,-0.58563,-0.55107,0.22061,-0.13004,-0.35653,-1.06209,-0.79201,0
peptide_nm_61,1.51207,0.73715,0.23343,0.69001,0.07039,0.84742,-0.09241,-0.6025,0.13414,-0.22569,-0.86621,0.24398,-0.45177,-0.94147,-0.17357,-0.28569,-0.37432,-0.00335,-0.37609,-0.01711,-0.13227,0.31648,0.41705,-0.02795,0
peptide_nm_62,-0.91068,0.43697,-0.04295,0.35985,-0.83597,-0.3396,0.52923,1.21737,-0.27871,0.57546,-0.37899,0.24168,0.28466,1.13257,-0.60312,-0.34464,1.33401,-1.08104,0.59393,0.75068,-1.5078,-1.86754,0.55995,-0.10572,0
peptide_nm_63,-1.38819,1.52802,-0.15756,-1.11947,1.47742,-0.80103,0.12881,-1.05863,-0.59219,0.40463,-0.1746,-0.8603,0.05008,-1.40684,-0.54434,0.06176,-0.94268,-0.97231,-0.00841,0.3705,-1.01941,-0.62248,-0.45976,-0.48418,0
peptide_nm_64,-1.66099,0.03551,-1.37031,-0.21538,-0.14915,-0.68938,-0.88137,-0.774,-0.99463,-1.13741,0.31011,-0.60581,-0.61819,-0.67326,-1.04811,-0.53756,-0.94106,-1.25341,-0.82893,0.519,-1.0429,-0.14853,-1.1071,-0.34024,0
peptide_nm_65,-1.22092,-0.4397,0.37053,-0.49717,0.20404,0.38718,0.01538,-0.79394,-0.59098,0.30933,0.19727,0.30443,0.14218,-1.07018,-0.94359,0.10763,-1.20974,-0.58944,0.17923,-0.2248,0.01611,-0.8825,0.12359,0.7176,0
peptide_nm_66,1.3194,0.27605,-0.21963,0.56879,0.25644,0.27762,-0.35338,-0.26969,0.44606,-1.31958,1.49999,-0.21699,-0.19063,-0.23992,0.50036,-0.46436,-0.30707,0.60165,-0.38547,-0.03599,-0.12629,-1.8071,0.30547,0.94365,0
peptide_nm_67,0.51548,0.54821,-0.10795,1.53642,0.69496,0.05281,-0.79809,-0.51128,0.47945,0.37268,-1.78576,-1.95889,-0.59805,-0.04529,1.39888,-0.71235,-0.49165,0.71288,-0.24291,-0.69171,-0.21325,-0.45118,-1.11205,-0.30249,0
peptide_nm_68,0.33346,0.35509,-0.66946,0.01311,0.14732,-0.82702,-0.34572,-0.43109,-0.18658,-0.44028,-2.67889,0.64996,-0.8566,-0.62592,0.11031,-0.42681,-0.34163,0.16477,-0.70068,-0.0946,0.47975,-0.86055,-0.41418,-0.16309,0
peptide_nm_69,-0.97172,1.85149,-1.36267,-0.08903,0.08111,0.35419,-0.33611,0.03814,-1.08149,0.61049,1.12363,0.57687,-0.24032,0.10074,-0.72659,-0.74254,0.39188,-1.14628,-0.93047,1.01392,-0.65336,-0.57531,-0.47447,-0.04637,0
peptide_nm_70,0.55878,0.0236,0.41624,0.51871,-0.08673,-0.24598,-0.37729,-0.59101,0.34876,-0.62897,0.38491,-0.13965,-0.13142,-0.72443,-0.17004,-0.7552,-0.50492,0.42304,-0.07262,0.26982,0.39505,0.27583,-0.94906,0.74394,0
peptide_nm_71,-0.54728,-1.07631,0.03388,-0.71391,0.12033,0.52164,-0.08706,-1.04483,-0.33633,-0.15501,-0.47709,0.08796,-0.09518,-0.88121,-0.03758,-0.31636,-1.32618,-0.36506,0.10302,-0.74951,0.7967,-0.4385,-1.87673,0.03769,0
peptide_nm_72,0.82472,-0.28191,0.1059,0.36567,0.18584,0.69514,-0.8084,-1.2367,0.3316,0.22996,-0.02565,0.06863,-0.96715,-1.29289,-0.0296,-0.86216,-1.15283,0.17057,-0.18904,-0.36498,0.61173,-0.0494,0.45295,-0.1929,0
peptide_nm_73,-0.25274,-0.56481,-0.58354,-0.54313,0.7149,-0.16915,-0.00744,-1.40509,-0.64549,-0.08629,0.22339,0.56902,-0.16989,-1.76861,-0.88463,0.13363,-1.46951,-0.82123,0.18911,-0.73341,-0.41985,-0.41431,-0.47404,0.994,0
peptide_nm_74,-0.81314,-0.26717,0.78959,0.38178,-0.83849,1.39125,0.08591,-0.45839,0.85987,-1.26784,-0.37436,0.46617,-0.20835,-0.55604,0.74861,-0.25193,-0.67835,0.71497,-0.18697,-0.05466,1.21303,1.38934,1.32389,0.1424,0
peptide_nm_75,1.14645,0.20411,-2.28398,-0.07302,-1.2416,0.62617,0.97184,0.08868,-0.88282,0.32547,-0.2768,-0.01339,0.51709,0.52825,-0.52556,1.24477,0.47232,-0.49723,0.55352,0.35115,-0.21553,-0.19647,-1.46835,-1.19075,0
peptide_nm_76,2.15592,1.68283,-0.3074,2.06649,1.10689,0.89947,1.26544,0.30936,-1.11287,-0.43568,-2.67718,0.50245,1.20375,-0.21616,-0.52894,1.50266,0.15789,-0.78745,0.01338,-0.26211,-0.53756,-1.11549,1.31078,-1.29791,0
peptide_nm_77,-0.6144,0.39325,-0.65253,-0.46491,-0.65858,-1.10299,-1.00185,0.08029,-0.46609,0.75193,0.12581,-0.24074,-0.81503,-0.04525,-0.14326,-0.26478,-0.17606,-0.55977,0.34872,-0.4751,-1.56626,-0.7087,-0.91953,0.20448,0
peptide_nm_78,-0.9248,0.66269,-0.71833,-1.65534,1.81953,-1.71591,-0.73711,-0.23829,0.03969,-0.21996,-0.59287,0.41179,-0.39424,-0.72998,0.28666,-0.68058,-0.47451,-0.04494,-0.75035,0.16735,-1.08311,-0.35029,-0.76063,0.16076,0
peptide_nm_79,0.43333,0.06702,-0.58152,0.3707,-0.55025,-0.42882,0.0906,-0.05911,0.0613,-0.44286,0.21669,-0.64788,0.07067,0.15013,-0.32131,-0.3521,-0.02688,-0.4278,0.03678,0.8503,-0.77125,-1.14563,-0.57245,0.00032,0
peptide_nm_80,-2.12837,1.3116,-1.47447,-0.6564,1.62063,0.735,1.36037,1.05734,1.93302,-1.76135,-0.18654,0.42998,1.58251,1.44118,2.63013,0.8041,0.93029,1.09434,-0.85121,0.69871,-0.00453,-0.49306,-0.61971,-0.43385,0
peptide_nm_81,-0.15621,0.16964,-0.46107,-0.08989,0.01351,0.12488,-0.333,-0.23935,-0.17464,-0.1871,-0.22381,0.66055,-0.40897,-0.10897,-0.0773,-0.0604,-0.38107,-0.24968,0.17765,0.30758,-0.2079,-0.13736,0.0282,-0.49636,0
peptide_nm_82,0.25984,-0.18556,0.13366,0.57704,-0.41421,-0.90187,0.75586,-1.04393,-0.9466,-0.67295,1.14471,0.13367,0.75717,-1.06533,-0.68214,0.62299,-0.86262,-0.51587,0.69624,-0.36933,0.61297,-0.58637,-0.89408,-0.32637,0
peptide_nm_83,0.49922,0.33677,-0.47835,0.79545,-0.68769,-0.91487,1.19743,0.40834,-0.08864,0.17509,0.67613,0.19431,1.6434,0.31712,-0.26712,1.20983,0.5016,0.29726,1.19218,-0.17629,0.27782,-0.04929,0.19275,-0.85661,0
peptide_nm_84,-0.73474,0.49088,-1.07074,-1.0035,1.25683,-2.52402,0.83898,1.21039,1.40435,-0.4181,-1.37911,-0.45091,0.47772,1.36408,1.17413,0.67757,1.14298,1.09792,-0.10733,0.1612,-0.08123,-0.62699,-0.73527,-0.25442,0
peptide_nm_85,0.38679,0.04098,1.91779,0.5257,0.0662,0.0842,-0.94877,0.13372,0.00259,-0.84862,-1.59494,1.85734,-1.17913,-0.08657,0.13465,-0.58258,0.18735,0.42797,0.538,0.03915,0.46834,0.47772,-1.06871,-0.33287,0
peptide_nm_86,-0.83794,0.09579,0.05208,-0.32098,0.71784,-0.72857,0.67294,0.28829,0.79959,-0.43287,-0.84664,0.2852,0.3246,-0.34436,0.36579,0.23868,-0.12811,0.42459,-0.79365,-0.3577,1.13554,-0.06392,0.02829,0.08956,0
peptide_nm_87,-0.81729,-0.22716,0.64133,-0.25073,0.80313,0.24474,0.40736,0.08617,-0.23811,0.44997,0.48465,0.17079,0.5893,0.32797,-0.23587,0.46116,0.00615,-0.15392,0.79039,-0.39588,0.34766,0.10635,-0.67512,-0.03159,0
peptide_nm_88,-0.93915,-1.18523,0.16509,-0.72577,-1.11149,-0.37883,-0.67202,-0.30018,-0.61562,-0.29799,-0.22077,-0.01528,-0.77176,-0.37008,-0.46265,-1.03124,-0.55622,-0.23319,-0.36978,-0.39435,0.78521,0.19471,-1.09307,-0.18294,0
peptide_nm_89,-0.20989,1.13847,0.85786,1.39412,0.13774,-0.66518,-0.00584,-0.13382,-0.43351,0.8277,0.73371,0.61625,0.2991,-0.09699,-0.2816,-0.56951,-0.25819,-1.10145,0.90877,0.51816,-1.19286,-0.67323,-1.56511,-0.31494,0
peptide_nm_90,1.23916,1.08398,0.94536,-0.08447,-0.53167,-0.54496,0.7355,0.31853,-0.56571,0.2148,-0.70394,-0.28179,0.29411,-0.47902,-1.68071,0.26323,0.00065,-1.18455,-0.08328,-0.06953,-0.57391,0.19998,0.69099,0.21737,0
peptide_nm_91,-0.26077,1.33528,-1.12433,-0.15553,1.30755,-0.35782,1.29036,1.15412,0.99408,-0.11507,-0.10395,0.74571,0.7481,1.37387,0.98923,0.77707,0.74264,0.33181,-0.92712,0.3497,0.6859,-0.16056,-0.34982,-0.31253,0
peptide_nm_92,-1.24087,-0.1962,1.36459,-0.43179,0.64433,-0.72583,0.08712,-0.98814,0.18869,0.11511,0.43183,0.13046,0.55652,-0.8502,-0.06999,0.06501,-0.68939,0.43991,-0.69564,0.67524,1.00643,-0.68533,-0.43715,-0.44614,0
