,formula_C,formula_H,formula_N,formula_O,formula_S,y
peptide_nm_77,0.53962,0.37301,1.11972,0.46092,0.07836,0
peptide_nm_78,-0.01211,-0.15377,-0.19215,0.05058,0.78445,0
peptide_nm_79,0.79427,0.93928,1.1926,1.00805,0.07836,0
peptide_nm_80,-0.66995,-0.66737,-0.55656,-0.42816,0.07836,0
peptide_nm_81,3.85004,3.77068,3.74345,4.01724,-0.62772,0
peptide_nm_82,0.9216,0.63639,1.11972,1.00805,-0.62772,0
peptide_nm_83,0.36986,0.34667,0.53667,0.73448,0.07836,0
peptide_nm_84,-0.05455,-0.08792,0.02649,0.18736,0.78445,0
peptide_nm_85,0.11521,-0.03524,-0.11927,0.5977,0.07836,0
peptide_nm_86,0.45474,0.54421,0.46378,1.35,0.07836,0
peptide_nm_87,1.45211,1.40021,1.84853,1.28161,-0.62772,0
peptide_nm_88,-0.83972,-0.78589,-0.7752,-0.56494,-0.62772,0
peptide_nm_89,-1.0307,-0.91758,-0.92096,-0.8385,-0.62772,0
peptide_nm_90,-1.07314,-1.00977,-0.84808,-0.42816,-0.62772,0
peptide_nm_91,-0.52141,-0.44349,-0.48368,0.18736,-0.62772,0
peptide_nm_92,-0.33042,-0.20644,-0.04639,-0.1546,0.07836,0
peptide_nm_93,0.13643,0.32033,-0.19215,-0.29138,-0.62772,0
peptide_nm_94,1.1338,0.99196,0.90107,1.55517,0.07836,0
peptide_nm_95,0.07277,-0.0089,0.17226,0.25575,-0.62772,0
peptide_nm_96,-1.0307,-0.97026,-0.48368,-0.63333,-0.62772,0
peptide_nm_97,-0.43653,-0.40398,-0.11927,-0.35977,-0.62772,0
peptide_nm_98,-0.28798,-0.33814,-0.33791,0.05058,0.07836,0
peptide_nm_99,-0.73361,-0.81223,-0.92096,-0.35977,-0.62772,0
peptide_nm_100,-0.64873,-0.95709,-0.99385,-0.49655,-0.62772,0
peptide_nm_101,0.90038,1.14999,0.90107,0.93966,0.07836,0
peptide_nm_102,0.73061,0.72858,0.60955,1.00805,0.07836,0
peptide_nm_103,-0.88216,-0.93075,-0.84808,-0.56494,-0.62772,0
peptide_nm_104,0.47596,0.28082,-0.11927,0.11897,0.78445,0
peptide_nm_105,-1.0307,-1.06245,-0.84808,-0.22299,0.07836,0
peptide_nm_106,0.83671,0.96562,1.04684,0.66609,0.07836,0
peptide_nm_107,-1.05192,-0.97026,-0.62944,-0.42816,-0.62772,0
peptide_nm_108,0.24254,-0.07475,-0.19215,0.52931,0.78445,0
peptide_nm_109,-0.83972,-0.86491,-0.92096,-0.56494,0.07836,0
peptide_nm_110,-0.01211,-0.1801,-0.33791,-0.35977,-0.62772,0
peptide_nm_111,0.43352,0.57054,0.46378,0.39253,0.07836,0
peptide_nm_112,0.39108,0.59688,0.75531,0.87127,-0.62772,0
peptide_nm_113,0.11521,0.14913,0.17226,0.73448,0.07836,0
peptide_nm_114,0.96404,0.95245,0.68243,0.87127,1.49053,0
peptide_nm_115,-0.28798,-0.35131,-0.41079,-0.1546,-0.62772,0
peptide_nm_116,-0.73361,-0.75955,-0.62944,-0.77011,-0.62772,0
peptide_nm_117,-0.71239,-0.72005,-0.55656,-0.29138,0.78445,0
peptide_nm_118,-1.09437,-0.9966,-0.92096,-0.8385,-0.62772,0
peptide_nm_119,-0.98826,-1.11512,-0.70232,-0.70172,-0.62772,0
peptide_nm_120,0.13643,0.18864,0.53667,0.39253,-0.62772,0
peptide_nm_121,-0.2031,-0.32497,-0.41079,-0.01781,-0.62772,0
peptide_nm_122,0.4123,0.21497,0.82819,0.87127,0.07836,0
peptide_nm_123,-0.39408,-0.69371,-0.41079,0.11897,-0.62772,0
peptide_nm_124,-0.83972,-0.75955,-0.7752,-0.97529,-0.62772,0
peptide_nm_125,-0.73361,-0.75955,-0.48368,-0.49655,-0.62772,0
peptide_nm_126,-0.13944,-0.15377,0.24514,0.18736,-0.62772,0
peptide_nm_127,-0.96704,-1.04928,-0.92096,-0.63333,-0.62772,0
peptide_nm_128,-0.79728,-0.95709,-0.70232,-0.56494,-0.62772,0
peptide_nm_129,-1.05192,-1.15463,-0.92096,-0.1546,0.07836,0
peptide_nm_130,-1.22169,-1.23365,-1.21249,-0.29138,0.07836,0
peptide_nm_131,-0.3092,-0.1801,-0.33791,-0.0862,0.78445,0
peptide_nm_132,-0.43653,-0.32497,-0.26503,-0.0862,0.07836,0
peptide_nm_133,-0.4153,-0.46983,-0.33791,-0.01781,0.78445,0
peptide_nm_134,-0.94582,-1.00977,-1.28537,-1.04368,-0.62772,0
peptide_nm_135,-0.11822,-0.39081,-0.19215,0.32414,0.78445,0
peptide_nm_136,-0.73361,-0.81223,-0.62944,-0.35977,0.07836,0
peptide_nm_137,0.66695,0.63639,0.68243,0.87127,0.78445,0
peptide_nm_138,-0.86094,-0.94392,-0.92096,-0.0862,-0.62772,0
peptide_nm_139,3.29831,3.25708,3.08752,3.47012,-0.62772,0
peptide_nm_140,-0.37286,-0.23278,-0.48368,-0.22299,-0.62772,0
peptide_nm_141,-0.28798,-0.19327,0.02649,-0.01781,-0.62772,0
peptide_nm_142,-0.94582,-0.86491,-0.7752,-0.42816,-0.62772,0
peptide_nm_143,-0.52141,-0.57518,-0.19215,-0.22299,-0.62772,0
peptide_nm_144,-0.96704,-0.94392,-1.21249,-0.77011,0.07836,0
peptide_nm_145,0.60329,0.53104,0.3909,1.55517,-0.62772,0
peptide_nm_146,-0.88216,-0.89125,-0.92096,-0.0862,-0.62772,0
peptide_nm_147,-0.33042,-0.45666,-0.11927,-0.29138,-0.62772,0
peptide_nm_148,-0.33042,-0.49617,-0.62944,-0.0862,0.07836,0
peptide_nm_149,0.39108,0.51787,0.90107,0.52931,0.07836,0
peptide_nm_150,-0.58507,-0.54884,-0.33791,0.05058,0.07836,0
peptide_nm_151,-1.00948,-0.95709,-0.99385,-0.35977,0.78445,0
peptide_nm_152,-0.75483,-0.60152,-0.48368,-0.22299,-0.62772,0
peptide_nm_153,0.70939,0.86027,1.04684,0.80288,-0.62772,0
peptide_nm_154,-0.37286,-0.32497,-0.41079,0.05058,-0.62772,0
peptide_nm_155,0.34864,0.43885,0.75531,0.66609,-0.62772,0
peptide_nm_156,-0.43653,-0.32497,-0.41079,0.18736,-0.62772,0
peptide_nm_157,-0.03333,-0.06158,0.02649,0.25575,0.07836,0
peptide_nm_158,0.77305,0.6759,0.60955,1.82874,-0.62772,0
peptide_nm_159,1.1338,1.07098,1.04684,1.35,-0.62772,0
peptide_nm_160,1.00648,0.97879,0.97395,1.07644,0.78445,0
peptide_nm_161,-0.66995,-0.85174,-0.84808,0.93966,-0.62772,0
peptide_nm_162,0.11521,0.3335,0.02649,0.05058,0.07836,0
peptide_nm_163,0.22131,0.10962,0.3909,0.93966,-0.62772,0
peptide_nm_164,-0.18188,-0.08792,0.17226,0.11897,-0.62772,0
peptide_nm_165,-1.00948,-1.06245,-1.13961,-0.49655,0.07836,0
peptide_nm_166,1.04892,0.78125,0.75531,1.69196,0.78445,0
peptide_nm_167,0.26376,0.34667,0.53667,0.46092,2.9027,0
peptide_nm_168,0.73061,0.58371,0.53667,0.73448,1.49053,0
peptide_nm_169,-0.52141,-0.56201,-0.11927,0.05058,0.07836,0
peptide_nm_170,-0.98826,-1.07562,-0.92096,-0.70172,-0.62772,0
peptide_nm_171,0.34864,0.32033,0.24514,0.73448,0.07836,0
peptide_nm_172,-0.26676,-0.15377,0.09938,0.18736,0.07836,0
peptide_nm_173,-1.20047,-1.10195,-1.06673,-0.90689,-0.62772,0
peptide_nm_174,0.32742,0.30716,0.46378,0.39253,0.78445,0
peptide_nm_175,-0.37286,-0.3118,-0.62944,-0.0862,0.07836,0
peptide_nm_176,2.72535,2.6908,2.57735,2.99138,0.07836,0
peptide_nm_177,-1.00948,-1.03611,-1.13961,-0.63333,0.78445,0
peptide_nm_178,-1.15803,-1.15463,-1.06673,-0.77011,-0.62772,0
peptide_nm_179,-0.58507,-0.6542,-0.19215,-0.22299,-0.62772,0
peptide_nm_180,3.29831,3.07271,2.94176,4.15402,0.07836,0
peptide_nm_181,-0.98826,-0.86491,-1.21249,-1.04368,0.78445,0
peptide_nm_182,-0.4153,-0.40398,-0.70232,-0.22299,-0.62772,0
peptide_nm_183,0.11521,0.07011,0.31802,0.05058,0.07836,0
peptide_nm_184,0.34864,0.08328,-0.04639,0.66609,0.07836,0
peptide_nm_185,0.22131,0.18864,0.24514,1.07644,2.19661,0
peptide_nm_186,-0.56385,-0.68054,-0.62944,-0.22299,-0.62772,0
peptide_nm_187,-0.79728,-0.72005,-0.55656,-0.42816,-0.62772,0
peptide_nm_188,-0.28798,-0.33814,-0.48368,-0.1546,-0.62772,0
peptide_nm_189,6.05699,6.18066,5.71125,6.27414,2.19661,0
peptide_nm_190,-0.88216,-0.72005,-0.55656,-0.63333,-0.62772,0
peptide_nm_191,0.94282,0.89978,0.82819,1.07644,-0.62772,0
peptide_nm_192,-0.47897,-0.3118,0.24514,-0.49655,-0.62772,0
peptide_nm_193,0.73061,0.82076,0.68243,0.39253,-0.62772,0
peptide_nm_194,-0.05455,-0.1406,-0.11927,1.00805,0.07836,0
peptide_nm_195,0.77305,0.79442,0.68243,1.21322,0.07836,0
peptide_nm_196,-1.00948,-1.25999,-1.21249,-0.8385,-0.62772,0
peptide_nm_197,-0.26676,-0.27229,-0.11927,-0.35977,-0.62772,0
peptide_nm_198,-0.54263,-0.60152,-0.7752,-0.56494,-0.62772,0
peptide_nm_199,0.05155,0.0306,-0.04639,0.52931,0.78445,0
peptide_nm_200,-1.05192,-0.95709,-0.99385,-0.49655,-0.62772,0
peptide_nm_201,-0.22432,-0.07475,0.24514,-0.1546,0.07836,0
peptide_nm_202,-1.0307,-1.06245,-1.13961,-0.97529,-0.62772,0
peptide_nm_203,0.64573,0.76808,0.53667,1.00805,-0.62772,0
peptide_nm_204,-0.88216,-0.75955,-0.48368,-0.42816,-0.62772,0
peptide_nm_205,-0.13944,-0.3118,-0.19215,0.18736,0.07836,0
peptide_nm_206,-0.79728,-0.8254,-0.99385,-0.42816,-0.62772,0
peptide_nm_207,0.58207,0.41251,0.90107,0.32414,-0.62772,0
peptide_nm_208,-0.8185,-0.85174,-0.84808,-0.42816,-0.62772,0
peptide_nm_209,-0.24554,-0.25912,-0.33791,-0.22299,1.49053,0
peptide_nm_210,0.53962,0.5047,0.24514,0.39253,0.07836,0
peptide_nm_211,0.43352,0.51787,0.31802,0.66609,0.78445,0
peptide_nm_212,1.23991,0.99196,1.33836,1.07644,-0.62772,0
peptide_nm_213,5.25061,5.48269,4.90956,5.0431,2.19661,0
peptide_nm_214,-1.4339,-1.48386,-1.28537,-1.04368,-0.62772,0
peptide_nm_215,-0.98826,-1.00977,-1.13961,-0.42816,-0.62772,0
peptide_nm_216,-0.4153,-0.29863,-0.26503,0.18736,-0.62772,0
peptide_nm_217,1.32479,1.37387,1.26548,1.14483,-0.62772,0
peptide_nm_218,-0.96704,-0.95709,-0.55656,-0.22299,0.07836,0
peptide_nm_219,-0.39408,-0.35131,-0.11927,0.39253,-0.62772,0
peptide_nm_220,0.11521,0.12279,0.31802,0.52931,0.07836,0
peptide_nm_221,-0.71239,-0.87808,-0.84808,-0.22299,0.78445,0
peptide_nm_222,-0.03333,0.25448,0.17226,0.25575,-0.62772,0
peptide_nm_223,-0.03333,-0.15377,-0.33791,-0.22299,0.07836,0
peptide_nm_224,-0.24554,-0.43032,0.17226,0.52931,0.78445,0
peptide_nm_225,0.20009,0.14913,0.60955,0.46092,-0.62772,0
peptide_nm_226,-0.79728,-0.89125,-1.06673,-0.49655,0.07836,0
peptide_nm_227,-0.56385,-0.58835,-0.70232,-0.63333,0.78445,0
peptide_nm_228,-0.43653,-0.39081,-0.19215,-0.22299,0.78445,0
peptide_nm_229,-0.56385,-0.46983,-0.92096,-0.49655,-0.62772,0
peptide_nm_230,-0.96704,-1.02294,-0.92096,-0.56494,-0.62772,0
peptide_nm_231,-0.83972,-0.95709,-1.13961,-0.35977,0.78445,0
peptide_nm_232,0.58207,0.59688,0.31802,1.35,0.07836,0
peptide_nm_233,1.1338,1.08415,0.97395,1.35,-0.62772,0
peptide_nm_234,0.05155,0.05694,-0.04639,0.18736,0.07836,0
peptide_nm_235,-0.52141,-0.49617,-0.62944,0.05058,0.78445,0
peptide_nm_236,0.43352,0.25448,0.60955,1.00805,0.07836,0
peptide_nm_237,-0.69117,-0.62786,-0.7752,-0.35977,-0.62772,0
peptide_nm_238,-0.73361,-0.85174,-0.99385,-0.77011,0.07836,0
peptide_nm_239,0.68817,0.53104,0.82819,1.00805,-0.62772,0
peptide_nm_240,1.36723,1.29486,1.41124,0.5977,0.78445,0
peptide_nm_241,0.05155,-0.02207,-0.19215,0.93966,-0.62772,0
peptide_nm_242,1.0277,0.79442,0.53667,1.07644,0.07836,0
peptide_nm_243,0.49718,0.5047,0.3909,0.87127,0.07836,0
peptide_nm_244,-1.0307,-0.9966,-0.7752,-0.77011,-0.62772,0
peptide_nm_245,-0.83972,-0.78589,-0.62944,-0.63333,0.07836,0
peptide_nm_246,-0.28798,-0.15377,-0.48368,-0.0862,0.78445,0
peptide_nm_247,-0.8185,-0.81223,-0.62944,-0.77011,-0.62772,0
peptide_nm_248,-0.83972,-0.74638,-0.70232,-0.70172,0.78445,0
peptide_nm_249,-0.11822,-0.11426,-0.11927,0.18736,1.49053,0
peptide_nm_250,0.22131,0.26765,0.53667,0.11897,-0.62772,0
peptide_nm_251,-1.00948,-0.93075,-0.99385,-0.56494,-0.62772,0
peptide_nm_252,-1.13681,-1.18097,-1.06673,-0.22299,0.07836,0
peptide_nm_253,-0.88216,-0.89125,-0.92096,-0.56494,0.07836,0
peptide_nm_254,3.44685,3.0332,2.57735,3.53851,0.07836,0
peptide_nm_255,-0.22432,-0.43032,0.17226,-0.29138,-0.62772,0
peptide_nm_256,-0.96704,-0.95709,-1.13961,-0.70172,0.07836,0
peptide_nm_257,-0.8185,-0.97026,-0.92096,-0.49655,0.07836,0
peptide_nm_258,-0.22432,-0.36447,-0.48368,0.05058,-0.62772,0
peptide_nm_259,1.04892,1.07098,0.60955,0.87127,0.07836,0
peptide_nm_260,-0.58507,-0.483,-0.11927,-0.0862,-0.62772,0
peptide_nm_261,0.34864,0.35984,0.02649,1.07644,0.07836,0
peptide_nm_262,0.81549,0.61005,-0.04639,0.5977,1.49053,0
peptide_nm_263,0.64573,0.57054,0.31802,0.80288,0.07836,0
peptide_nm_264,0.26376,0.26765,0.24514,0.73448,-0.62772,0
peptide_nm_265,-1.20047,-1.06245,-0.99385,-0.90689,-0.62772,0
peptide_nm_266,-1.11559,-1.14146,-0.84808,-0.97529,0.07836,0
peptide_nm_267,-0.33042,-0.33814,-0.7752,-0.1546,-0.62772,0
peptide_nm_268,-0.75483,-0.78589,-0.62944,0.52931,-0.62772,0
peptide_nm_269,0.45474,0.53104,0.3909,0.66609,0.07836,0
peptide_nm_270,-0.58507,-0.64103,-0.41079,-0.35977,-0.62772,0
peptide_nm_271,-1.26413,-1.20731,-0.7752,-0.70172,-0.62772,0
peptide_nm_272,-1.0307,-1.23365,-0.92096,-0.77011,-0.62772,0
peptide_nm_273,0.11521,0.30716,-0.26503,-0.22299,0.07836,0
peptide_nm_274,-0.09699,-0.1406,-0.11927,0.25575,0.07836,0
peptide_nm_275,-0.98826,-0.93075,-0.99385,-0.49655,0.78445,0
peptide_nm_276,-0.96704,-0.81223,-1.21249,-0.97529,-0.62772,0
peptide_nm_277,4.48666,3.83653,3.52481,4.63276,1.49053,0
peptide_nm_278,-0.90338,-1.00977,-0.84808,-0.49655,-0.62772,0
peptide_nm_279,0.09399,-0.1801,-0.19215,0.11897,0.07836,0
peptide_nm_280,-0.56385,-0.45666,-0.11927,-0.1546,0.07836,0
peptide_nm_281,-0.73361,-0.77272,-0.55656,-0.1546,-0.62772,0
peptide_nm_282,-1.11559,-1.18097,-1.06673,-0.70172,0.07836,0
peptide_nm_283,-0.90338,-0.93075,-0.55656,-0.70172,-0.62772,0
peptide_nm_284,0.09399,-0.0089,0.02649,0.39253,0.07836,0
peptide_nm_285,-1.05192,-1.1678,-0.99385,-0.63333,-0.62772,0
peptide_nm_286,0.77305,0.71541,0.3909,0.87127,0.07836,0
peptide_nm_287,-0.90338,-0.79906,-0.41079,-0.90689,-0.62772,0
peptide_nm_288,-0.77606,-0.87808,-0.84808,-0.22299,-0.62772,0
peptide_nm_289,-0.11822,-0.25912,-0.33791,0.18736,0.78445,0
peptide_nm_290,-0.83972,-0.77272,-0.55656,-0.70172,-0.62772,0
peptide_nm_291,-0.62751,-0.58835,-0.55656,-0.22299,-0.62772,0
peptide_nm_292,-0.79728,-0.78589,-0.33791,-0.29138,-0.62772,0
peptide_nm_293,-0.3092,-0.24595,-0.55656,-0.0862,0.07836,0
peptide_nm_294,-0.45775,-0.52251,-0.48368,-0.0862,-0.62772,0
peptide_nm_295,0.17887,0.30716,0.17226,0.73448,2.19661,0
peptide_nm_296,0.66695,0.63639,0.53667,1.62356,0.07836,0
peptide_nm_297,0.60329,0.42568,0.68243,1.35,-0.62772,0
peptide_nm_298,0.36986,0.38617,0.75531,1.00805,0.07836,0
peptide_nm_299,-1.22169,-1.339,-1.21249,-0.77011,1.49053,0
peptide_nm_300,-0.26676,-0.3118,-0.33791,0.05058,0.07836,0
peptide_nm_301,-0.26676,-0.3118,-0.48368,-0.42816,-0.62772,0
peptide_nm_302,-0.54263,-0.57518,-0.62944,-0.22299,-0.62772,0
peptide_nm_303,-0.98826,-0.87808,-0.99385,-0.70172,-0.62772,0
peptide_nm_304,5.20817,5.15346,4.39939,5.31667,0.78445,0
peptide_nm_305,-1.26413,-1.22048,-1.28537,-0.8385,-0.62772,0
peptide_nm_306,-0.03333,-0.1406,-0.26503,-0.29138,-0.62772,0
peptide_nm_307,-0.98826,-0.95709,-1.13961,-0.97529,0.78445,0
peptide_nm_308,-1.09437,-1.08879,-0.99385,-0.8385,-0.62772,0
peptide_nm_309,0.70939,0.64956,0.60955,0.80288,0.07836,0
peptide_nm_310,0.05155,0.18864,-0.04639,0.11897,0.07836,0
peptide_nm_311,0.53962,0.91295,1.77565,0.46092,-0.62772,0
peptide_nm_312,0.13643,0.0306,-0.19215,0.32414,0.07836,0
peptide_nm_313,-0.75483,-0.98343,-0.99385,-0.70172,0.07836,0
peptide_nm_314,-0.98826,-0.87808,-0.70232,-0.56494,0.07836,0
peptide_nm_315,0.3062,-0.0089,0.17226,0.25575,0.07836,0
peptide_nm_316,-0.60629,-0.73321,-0.62944,-0.29138,-0.62772,0
peptide_nm_317,0.58207,0.62322,0.46378,0.32414,0.07836,0
peptide_nm_318,-0.43653,-0.45666,-0.55656,-0.42816,-0.62772,0
peptide_nm_319,-0.05455,-0.12743,0.09938,0.52931,1.49053,0
peptide_nm_320,-1.00948,-0.9966,-0.92096,-0.56494,0.07836,0
peptide_nm_321,0.47596,0.46519,0.75531,1.07644,0.07836,0
peptide_nm_322,-0.86094,-0.73321,-0.19215,-0.8385,-0.62772,0
peptide_nm_323,-0.35164,-0.49617,-0.62944,0.25575,0.07836,0
peptide_nm_324,-0.58507,-0.44349,-0.19215,-0.22299,-0.62772,0
peptide_nm_325,0.53962,0.57054,0.75531,0.5977,-0.62772,0
peptide_nm_326,0.11521,0.07011,0.60955,0.39253,-0.62772,0
peptide_nm_327,6.9907,6.70743,6.29431,7.43678,-0.62772,0
peptide_nm_328,-0.90338,-0.79906,-0.55656,-0.49655,0.07836,0
peptide_nm_329,-0.54263,-0.483,-0.26503,-0.1546,-0.62772,0
peptide_nm_330,1.26113,1.11049,0.97395,1.69196,0.07836,0
peptide_nm_331,-0.24554,-0.3118,-0.48368,0.05058,0.07836,0
peptide_nm_332,6.31164,5.66706,5.9299,5.38506,0.78445,0
peptide_nm_333,-0.86094,-0.8254,-0.84808,-0.49655,-0.62772,0
peptide_nm_334,0.05155,0.0306,0.09938,0.39253,0.07836,0
peptide_nm_335,-0.11822,-0.19327,0.17226,0.18736,0.07836,0
peptide_nm_336,0.26376,0.28082,0.46378,0.32414,0.78445,0
peptide_nm_337,1.07014,1.21584,0.97395,1.41839,-0.62772,0
peptide_nm_338,1.00648,0.72858,1.1926,0.5977,0.07836,0
peptide_nm_339,0.22131,0.29399,0.68243,0.5977,0.07836,0
peptide_nm_340,-0.8185,-0.68054,-0.62944,-0.35977,-0.62772,0
peptide_nm_341,-0.79728,-0.97026,-0.92096,-0.29138,-0.62772,0
peptide_nm_342,-0.3092,-0.33814,-0.48368,-0.29138,0.78445,0
peptide_nm_343,0.45474,0.34667,0.53667,0.66609,-0.62772,0
peptide_nm_344,0.03033,0.0306,-0.04639,0.11897,0.07836,0
peptide_nm_345,0.3062,0.26765,0.3909,0.39253,-0.62772,0
peptide_nm_346,-1.09437,-1.08879,-1.28537,-0.77011,0.07836,0
peptide_nm_347,-1.00948,-0.9966,-0.92096,-0.42816,0.07836,0
peptide_nm_348,0.47596,0.38617,1.04684,1.00805,-0.62772,0
peptide_nm_349,-0.33042,-0.24595,-0.41079,-0.01781,-0.62772,0
peptide_nm_350,1.0277,0.86027,1.62989,1.35,0.07836,0
peptide_nm_351,-0.01211,-0.36447,-0.48368,0.11897,0.07836,0
peptide_nm_352,0.87915,0.83393,1.04684,1.14483,-0.62772,0
peptide_nm_353,1.15502,1.14999,0.90107,1.00805,-0.62772,0
peptide_nm_354,-0.05455,-0.06158,-0.70232,-0.1546,-0.62772,0
peptide_nm_355,0.53962,0.47836,0.68243,1.00805,0.07836,0
peptide_nm_356,-0.50019,-0.54884,-0.62944,-0.63333,-0.62772,0
peptide_nm_357,0.47596,0.43885,0.31802,0.80288,-0.62772,0
peptide_nm_358,-0.52141,-0.57518,-0.33791,-0.22299,-0.62772,0
peptide_nm_359,-1.0307,-1.00977,-0.99385,-0.35977,-0.62772,0
