,Cougar__1,Cougar__2,Cougar__3,Cougar__4,Cougar__5,Cougar__6,Cougar__7,Cougar__8,Cougar__9,Cougar__10,Cougar__11,Cougar__12,Cougar__13,Cougar__14,Cougar__15,Cougar__16,Cougar__17,Cougar__18,Cougar__19,Cougar__20,Cougar__21,Cougar__22,Cougar__23,Cougar__24,Cougar__25,Cougar__26,Cougar__27,Cougar__28,Cougar__29,Cougar__30,y
peptide_nm_14,-0.45365,-0.46824,-0.01465,0.08481,-0.53056,0.24463,0.3727,-0.52559,-0.19936,0.15253,-0.24392,-0.24358,0.39401,0.12009,0.10741,-1.00963,-0.88271,0.26526,-0.29706,-0.06448,0.08403,0.40875,-0.56119,-0.35706,-0.08138,0.12471,0.07989,0.11078,-0.02257,0.33723,0
peptide_nm_15,1.10574,1.18741,0.99815,1.10513,1.36518,0.94942,0.4388,0.81214,1.025,1.01575,0.40961,0.36733,0.59518,0.24517,0.18872,-1.41975,0.58913,0.43838,-0.65179,-0.45175,0.40048,0.367,0.53943,0.59969,0.76961,0.59085,-0.24677,-0.05481,-0.476,-0.07747,0
peptide_nm_16,1.11996,1.14616,1.37182,1.1129,0.83306,0.33209,-0.0348,-0.22565,-0.08369,0.62027,1.33042,1.49126,1.39029,1.19501,0.62828,-1.26554,-0.33144,0.16485,0.42884,-0.38737,-0.44079,0.1513,0.31569,-0.46766,0.34266,1.77195,1.151,0.86075,1.18443,0.38495,0
peptide_nm_17,0.71015,0.98116,0.71061,0.46433,0.4894,0.32943,-0.43675,-0.32687,-0.08439,-0.03603,-0.3044,0.04106,0.04372,0.20373,-0.01014,-1.1901,0.11369,-0.00922,-0.30409,-0.33261,-0.08039,-0.10937,-0.13953,0.00121,-0.02479,-0.49735,-0.91297,-0.87113,-0.82667,-0.74934,0
peptide_nm_18,0.9244,0.96622,0.7565,0.62888,0.71916,0.04484,-0.55496,-0.00372,0.31637,0.98528,1.68427,1.47293,1.01108,1.13266,1.41509,-1.35315,-0.1459,0.43404,0.24792,-1.1274,-0.54325,0.00483,-0.27375,-0.40659,-0.30201,1.45598,1.45114,1.24039,1.27856,1.21605,0
peptide_nm_19,-0.50374,-0.38745,0.16577,-0.18824,0.0499,-0.30048,-0.32712,-0.63307,-0.71352,-0.8935,-0.84307,-0.05311,-0.5021,-0.35841,-0.56711,-0.03458,0.28151,0.18456,0.95656,0.04135,-0.2417,-0.88878,-0.62416,-0.49794,-0.46501,-0.13746,-0.29257,-0.16232,-0.48525,-0.40247,0
peptide_nm_20,1.14952,1.30556,1.67698,0.97595,1.20239,-0.76946,-0.93063,-1.81806,-0.46958,-1.09995,1.34911,1.38713,1.88451,1.27103,1.12042,0.15758,-0.7842,1.01499,-1.72036,0.38537,-0.86772,-1.38842,-1.60223,-0.76695,-1.33589,1.19079,0.85575,0.99661,1.25882,1.15435,0
peptide_nm_21,-0.13353,-0.23473,0.35396,0.11476,-0.45707,1.25826,0.81893,0.74539,0.7305,1.58262,0.13101,0.07845,0.49881,0.49884,0.56596,-1.50439,0.40135,0.79992,0.37604,0.00879,1.31072,0.99728,0.72659,0.73035,0.82773,0.05187,0.27194,0.29222,0.25139,0.31331,0
peptide_nm_22,1.81381,2.02941,1.68709,1.50411,1.78189,1.40552,0.65486,0.88694,1.46197,1.79904,2.11275,2.03441,1.92931,1.61059,1.62837,-0.97104,0.11224,0.47532,-0.67428,-0.97672,1.11243,0.9095,0.81285,1.16187,1.18571,1.45491,1.77911,1.84626,1.5846,1.75197,0
peptide_nm_23,0.55163,0.81107,0.95274,1.06332,0.88715,-0.00989,-0.48346,-0.62625,-0.18674,-0.02467,1.1613,1.11692,1.04792,1.11576,1.03935,-1.2102,-0.76858,0.80236,-0.68224,-0.26211,-0.36435,-0.27336,-0.54396,-0.24793,-0.34577,0.99592,1.29556,1.33107,1.45282,1.36952,0
peptide_nm_24,0.29788,-0.14522,0.76273,0.18108,0.40774,0.24377,1.31129,0.31881,0.7817,1.31715,0.74538,0.25635,0.9475,0.72995,0.56763,-0.38128,-0.86362,0.41836,0.14266,-0.37076,0.16942,0.81711,0.07379,0.38289,0.16958,0.53587,0.44388,0.66623,0.52786,0.74522,0
peptide_nm_25,1.98399,2.39517,2.80374,1.99198,1.24826,-1.77157,-2.40826,-4.49671,-1.92724,1.17817,0.5354,2.79611,2.17388,2.72422,2.2472,0.47376,0.92911,-0.49214,-0.33283,-0.36354,-2.03846,-3.74085,-2.32144,0.42973,0.19138,-0.61269,-0.42392,-1.20615,-2.75149,-5.21212,0
peptide_nm_26,0.70846,0.56946,0.34074,0.80825,0.35218,-0.26103,-0.08982,-0.59592,0.14904,0.37766,1.81652,1.14958,1.03663,1.45918,1.28476,-0.8426,-0.54318,0.43813,-1.15467,-1.00027,-0.7046,-0.41445,-0.44069,-0.4784,-0.29758,2.33143,2.36627,2.14688,2.21932,1.94542,0
peptide_nm_27,1.81007,1.91254,2.0366,1.56016,1.96039,0.03919,-0.22648,-0.43798,-0.40372,-0.86794,1.67085,1.32802,1.26932,0.79322,1.16569,-0.69112,-0.82023,-0.66736,0.19974,-0.05378,-0.76718,-0.8015,-0.47665,-0.46072,-0.83324,0.7772,0.34828,0.80734,0.55907,0.54679,0
peptide_nm_28,-0.07866,-0.01198,0.41836,0.00737,0.23121,0.66053,0.5517,0.94063,1.09341,1.00459,-0.06355,0.17485,0.22524,0.03944,0.2227,-0.6017,0.06736,-0.5308,0.21712,0.31845,0.67529,0.27298,0.35098,0.67741,0.85833,0.06952,0.15855,-0.0705,-0.16721,-0.21985,0
peptide_nm_29,1.48769,2.20729,2.21219,2.1,1.90662,-2.15641,-2.75766,-2.65478,-2.76984,-2.37295,2.04883,2.36494,2.27891,2.1523,1.82708,0.85749,2.47049,0.65348,-0.30474,-0.01678,-2.81908,-3.50696,-3.29093,-2.70911,-2.04794,1.45168,1.73,1.74583,1.86216,1.49542,0
peptide_nm_30,0.65226,0.87367,0.99284,0.9177,0.80032,-0.57155,-1.57245,-1.72625,-1.59086,-0.57223,0.23662,0.13059,0.18199,0.52387,0.1601,-0.12336,1.66881,0.84007,-0.08263,-0.29641,-0.56861,-0.53178,-0.74853,-1.09178,-1.27367,-0.42638,-0.55923,-0.54546,-0.75928,-0.82328,0
peptide_nm_31,1.15805,1.15349,1.08264,1.22753,1.61783,0.53626,0.38589,-0.05031,0.2722,0.73897,0.67122,0.65156,0.69985,0.6212,0.8695,-0.41301,-0.03678,0.59636,-0.3205,-0.79884,0.23126,0.00603,-0.40062,0.49946,-0.06083,-0.15394,-0.43112,-0.51265,-0.57497,-0.58736,0
peptide_nm_32,0.51965,0.89114,1.21873,0.53513,0.73234,0.54323,-0.73942,0.26938,-0.00151,0.74413,0.48719,1.2432,1.05848,0.53822,-0.15509,-1.27288,-0.05536,0.01971,-0.45787,-0.45171,0.0885,-0.42187,-0.45971,-0.07563,-0.82655,0.22863,0.27559,-0.04853,-0.75252,-0.90647,0
peptide_nm_33,-0.60829,-0.35412,-0.6216,-0.22903,-0.82191,-0.25198,-0.51652,0.35728,0.86488,1.0706,0.14398,-0.22667,-0.19474,0.16015,-0.09042,0.3041,0.74395,-0.69302,-1.6867,0.2686,-0.15982,0.33931,0.28344,0.2495,-0.70478,0.55354,0.47346,0.46885,0.73747,0.24919,0
peptide_nm_34,-1.03188,-0.20139,-0.79186,-0.74387,0.0052,0.9323,0.25107,0.44478,-0.07808,-0.85869,0.17114,0.1052,-0.70529,-0.92395,-0.11097,-1.24123,0.44092,0.41223,-0.15985,-0.46712,1.03084,1.01635,2.2489,2.51883,1.99748,0.90783,1.1328,0.66212,0.72951,1.63519,0
peptide_nm_35,1.15583,1.24201,1.29947,1.21773,1.2606,-0.76148,-1.26372,-1.66113,-0.8766,-1.23458,1.23669,0.70143,0.90705,0.48887,0.95603,-0.71139,-0.58071,0.40885,-0.74515,-0.23795,-1.28178,-0.46972,-0.50291,-0.43603,-1.11742,0.81946,0.54858,0.43508,0.38119,0.5149,0
peptide_nm_36,1.95438,1.83209,2.02923,2.43195,2.42728,-0.55834,0.16275,-0.14704,0.69142,-0.15402,2.08497,2.04217,1.77143,2.55972,2.65615,-0.07195,-1.37553,1.05769,-1.5927,0.40944,-0.98985,-0.18124,-0.88191,-1.14543,-1.08481,1.07219,0.89323,1.03578,1.43033,1.25345,0
peptide_nm_37,0.32277,0.33389,0.21022,0.27928,0.36983,0.87089,0.60274,0.24307,0.85124,0.96324,0.33854,0.38216,0.26743,0.43573,0.33952,-0.69753,-0.35229,0.17324,0.0147,-0.10645,0.83215,0.79669,0.64801,0.2884,0.67321,0.22989,0.17909,0.23932,0.25795,0.15395,0
peptide_nm_38,0.50567,0.18344,0.49093,0.54472,0.16835,-0.23115,-0.17011,-0.86385,-0.29144,-0.23526,1.05504,1.0047,0.76214,0.90523,0.58404,-1.0882,-0.4428,0.72852,-0.28671,-0.48153,-0.66882,-0.60629,-0.77315,-0.84257,-0.36528,1.09003,1.21271,1.07075,1.28512,1.17581,0
peptide_nm_39,-0.31748,0.0501,0.00989,0.31937,0.10817,0.52378,0.05028,0.22188,0.45402,0.47311,0.13884,0.13447,-0.09531,-0.00265,0.15885,-0.8848,0.46493,-0.07553,-1.01893,-0.26835,0.22532,0.47328,0.43552,0.06329,-0.51202,1.17218,1.13914,0.97804,0.93347,0.8107,0
peptide_nm_40,1.22789,1.11745,0.50251,0.185,0.53839,0.17088,-0.40298,-0.14842,-0.12394,-0.57001,1.42312,1.25603,0.91566,1.05412,1.49744,-1.62758,0.06677,0.12599,-0.85042,-0.60346,-0.82383,-0.6889,-0.08607,0.15183,-0.22404,2.3209,1.96457,1.40529,1.25596,1.88403,0
peptide_nm_41,0.96521,1.18188,0.85647,0.97502,1.03966,-1.65199,-1.79833,-1.20316,-1.28837,-0.62092,1.04973,1.01012,0.87509,1.31717,1.91487,0.68653,2.10985,1.26095,0.43252,-0.03817,-1.80437,-1.99226,-1.64856,-1.71663,-2.09704,1.0723,1.02041,0.69093,0.69402,0.84211,0
peptide_nm_43,-0.01443,-1.50784,-0.84985,-0.10201,-1.37844,-0.81056,0.34557,1.08675,-0.09559,0.79523,-0.84143,-0.44454,-1.22147,0.29683,-1.31038,0.75901,-1.11086,-1.00791,-0.5346,0.52018,-0.26568,-0.48091,-0.7349,-1.68954,-0.48325,-0.24045,-0.49465,-0.70275,-0.95004,-1.25319,0
peptide_nm_44,-1.41025,-1.74588,-2.09795,-1.30496,-1.16868,0.28577,0.19709,0.83018,-0.22523,-0.13756,-0.94541,-1.14057,-1.13267,-0.42794,-0.43248,-1.09592,0.04835,-0.01636,0.28753,-0.35415,0.1333,0.67784,0.69051,0.19591,0.26864,1.22933,0.98124,1.14361,1.6961,1.75332,0
peptide_nm_45,0.43969,0.27196,0.4259,0.09344,0.35371,0.59904,0.66215,0.49579,0.67978,0.58899,-0.11108,-0.0209,-0.21048,0.04633,-0.28333,-0.45066,-1.07146,0.09749,0.37579,-0.64989,0.34339,0.61544,0.3425,0.41933,0.72897,0.21214,-0.68557,-0.09472,0.13856,-0.65333,0
peptide_nm_46,0.61826,0.61048,0.76495,0.64447,0.3524,-0.13183,-0.4249,-0.68924,-0.26037,0.0363,1.17695,1.1301,1.15617,1.07269,0.8031,-0.57912,-0.47361,0.76642,-0.41352,-0.27008,-0.70241,-0.51132,-0.75131,-0.53295,-0.29199,1.57912,1.48517,1.53578,1.39529,1.3669,0
peptide_nm_47,0.94237,1.21136,1.14572,1.12245,1.16292,-0.95116,-1.15741,-1.263,-1.12983,-0.9389,1.36049,1.23953,1.23813,1.18684,1.253,0.6651,0.54933,0.41417,-0.20582,-0.6003,-1.29874,-1.05756,-1.2231,-1.12903,-0.73693,0.88925,0.99058,0.98323,0.86475,0.86185,0
peptide_nm_48,0.5156,0.63843,0.56899,0.76214,0.93305,0.30301,0.33965,-0.7132,-0.48017,0.41309,0.91968,0.67431,0.45828,0.67304,0.75497,-0.73333,-1.14377,-0.17261,-0.27247,-0.17336,-0.08441,0.39235,0.05026,-0.14276,-0.18461,0.4209,0.61062,0.40109,0.53666,0.60883,0
peptide_nm_49,1.37445,1.44541,1.99427,1.24084,1.21069,-1.06023,-1.25539,-1.35903,-0.12998,-0.37111,2.19798,2.02589,2.42375,2.06331,1.84625,0.53187,0.62882,0.25902,-1.33439,-1.62381,-1.21094,-1.29542,-1.80141,-0.90417,-0.71167,2.26858,2.04675,2.25458,2.32986,1.99388,0
peptide_nm_50,1.40318,1.04974,1.36383,1.1803,1.59884,-0.45042,-0.2792,-0.61756,-0.17261,0.08762,0.93693,0.89743,0.66411,0.52675,0.73131,-0.27225,-0.31351,0.50229,-0.98919,-0.30868,-0.68012,-0.98396,-0.45984,-0.63555,-0.19104,0.21765,-0.42433,-0.34757,-0.56923,-0.41191,0
peptide_nm_51,0.44192,0.42241,0.47663,0.42243,0.69886,-1.2754,-0.6499,-0.9794,-0.85516,-1.13729,0.87719,0.86473,0.8424,0.61274,1.00644,0.69736,-0.44001,-0.25791,-0.74406,-0.57093,-1.36789,-1.3153,-1.3154,-0.95132,-1.14839,1.00972,0.90127,0.75568,0.74839,0.91004,0
peptide_nm_52,0.16092,-0.10194,0.17148,0.29825,-0.57766,0.79492,0.77759,0.69857,-0.22071,1.60972,0.36572,0.01812,0.14349,-0.15589,-0.74124,0.67843,-1.05662,0.0962,0.61076,-0.79945,0.88089,1.03862,1.13014,1.21688,1.44146,-0.12239,0.07819,0.03192,-0.05705,-0.44738,0
peptide_nm_53,-0.91331,-0.84263,-1.12063,-0.97562,-0.71724,0.69338,0.05221,0.26906,0.41156,0.48313,-0.94698,-1.03989,-0.7025,-0.33349,-0.34276,-0.82245,0.48245,0.08212,-0.2978,-0.74244,0.6772,0.46424,0.39654,0.39968,0.47305,0.39262,0.24284,0.26865,0.13738,0.43265,0
peptide_nm_54,-1.3519,-1.13863,-1.47612,-1.17994,-0.81293,0.51465,0.9323,0.21084,0.773,-0.12971,-0.8704,-1.25662,-1.46098,-1.43485,-1.17185,-0.38836,-0.5208,0.4963,-0.52747,0.42291,0.58444,0.77115,1.62447,1.3822,1.23439,-0.65372,-0.64922,-0.63908,-0.66342,-0.59948,0
peptide_nm_55,-0.48242,-0.34767,-1.12059,-0.91812,-0.44305,0.95838,0.93403,1.35671,0.94233,0.61991,-0.84957,-0.96007,-0.95266,-1.02024,-1.40524,-1.40274,0.05049,0.35099,-0.04962,0.02988,0.83058,1.01643,0.55502,0.47685,0.91102,-0.28002,-0.83432,-0.53049,-1.0961,-1.13328,0
peptide_nm_56,0.8567,0.50248,0.47977,0.48883,0.64436,0.34863,0.22089,0.61745,1.072,0.15953,0.97328,0.7418,0.80957,0.76414,0.86407,-0.12345,0.17694,-0.32092,-0.72057,0.82768,0.40482,0.77577,0.49762,0.39259,0.40504,0.76994,0.8691,0.90286,0.77458,0.84803,0
peptide_nm_57,1.30036,1.65029,2.1864,1.80818,1.69846,0.86699,1.21609,-0.12863,0.84177,0.17766,0.98473,1.25123,2.10256,2.28293,1.98848,-1.1911,-0.53023,0.39978,-1.24633,-0.6109,0.32946,0.59758,0.54968,0.23657,0.38796,0.11995,-0.10146,0.33993,0.39998,0.36092,0
peptide_nm_58,-0.07094,0.05197,-0.00524,-0.24191,0.07019,0.05559,0.19149,-0.14467,0.0382,0.43872,0.49166,0.58246,0.42127,0.18634,0.34009,-0.54637,-0.33357,0.48238,-0.88225,-0.6035,-0.1051,-0.33347,-0.57355,-0.47237,-0.41783,0.78128,1.03534,0.93846,1.00653,1.01339,0
peptide_nm_59,-1.35463,-0.91361,-1.44044,-1.36329,-1.29971,0.70329,0.07736,1.37211,1.77796,1.33326,-1.42303,-0.97107,-0.87868,-0.84376,-0.76595,-0.43734,0.9222,0.45569,-0.37605,-0.46873,1.0953,0.8525,0.81154,0.70606,0.67866,-1.215,-0.86623,-0.81788,-0.82794,-0.83414,0
peptide_nm_60,-0.73848,-0.73745,-0.82169,-1.12607,-0.79359,0.33492,0.32147,0.08871,0.14464,0.39636,-0.44503,-0.69491,-0.43072,-0.51072,-0.41591,-0.53307,-0.85826,0.65081,-0.25388,-0.31467,0.33037,0.69884,0.00794,0.48817,0.12407,0.4747,0.26367,0.52736,0.4616,0.48852,0
peptide_nm_61,1.01136,1.08667,0.95745,1.16755,0.82412,-0.70696,-0.85201,-0.61172,-0.40226,0.0672,1.50828,1.51251,1.17293,1.80828,2.15428,-0.20667,1.06281,0.05745,-0.58853,-0.18815,-1.07159,-1.14131,-0.93776,-1.39876,-1.54461,2.00852,1.59089,1.4931,1.74014,1.4735,0
peptide_nm_62,0.4578,0.66703,0.24357,0.1085,-0.00416,0.68877,0.36073,-0.0021,0.68243,1.3298,0.58428,0.80439,0.06918,-1.24978,-0.46873,-1.30315,-0.25855,0.16959,-0.05688,-0.91348,0.42492,0.9173,0.70424,1.11496,0.56187,0.76801,0.24488,-0.28711,0.0561,-0.04063,0
peptide_nm_63,0.61431,0.28637,1.15588,0.45977,0.74686,-0.75845,-0.37073,-1.35181,-0.17095,-0.68717,0.83317,0.18949,1.08774,1.09338,1.65362,-0.61304,-0.13741,0.57297,-0.55457,-0.95996,-1.12132,-0.14342,-1.06925,-1.04982,-0.97478,0.75806,0.29289,0.43264,0.78905,0.70271,0
peptide_nm_64,0.31554,0.36681,0.35814,0.12524,0.15973,0.28938,0.05007,-0.08791,0.20422,0.2353,0.25853,0.241,0.00327,0.3747,-0.00674,-0.86755,-1.09743,0.16276,-0.68387,-0.33982,-0.11891,0.2526,-0.0712,-0.28162,0.1346,0.29472,0.19946,0.2184,0.14656,0.2557,0
peptide_nm_65,-0.33479,-0.31937,0.07887,-0.07807,-0.49372,0.33071,0.18164,-0.52298,0.26926,0.19794,0.25537,0.30004,0.37187,0.09633,-0.02799,-0.65473,-1.07656,0.29982,-0.84032,-0.00834,-0.08811,0.65038,-0.04147,-0.01014,-0.04665,1.29373,1.55513,1.4752,1.4457,1.67235,0
peptide_nm_66,0.86811,1.11056,1.01813,1.16895,0.97666,-0.14768,-1.13024,-0.79109,-0.57891,-0.37058,0.4033,0.50128,0.31695,0.62209,0.26224,-0.45787,1.26524,0.67321,-0.65583,-1.18429,-0.70506,-0.71169,-0.88261,-1.0318,-1.02011,-0.39664,-0.72604,-0.6291,-0.70408,-0.65812,0
peptide_nm_67,1.93171,2.05163,1.91371,1.68921,1.67978,-1.72119,-2.86702,-2.04688,-2.10487,-1.37696,1.91676,2.3996,2.53506,2.24888,2.34795,0.74922,0.82911,1.19888,0.30753,0.0284,-1.95524,-2.1279,-2.53807,-2.08665,-2.3501,1.7623,1.94004,1.75188,1.48426,1.49717,0
peptide_nm_68,0.5436,0.58225,0.3621,0.1648,0.26406,-0.19074,-0.78702,-1.40694,-0.32703,-0.85327,0.415,0.8618,-0.12828,-0.047,0.86454,-0.80524,-0.54467,0.51929,-0.38343,-1.1098,-0.74642,-0.41163,-0.65863,-0.65137,-0.40421,1.36615,0.47464,0.13495,0.83503,0.44712,0
peptide_nm_69,-0.58857,-0.80872,-0.83277,-0.81634,-0.77756,0.75929,0.39634,0.11614,0.5053,-0.01278,-0.85264,-0.78425,-0.52327,-1.08605,-1.11581,-0.13919,0.28142,0.8499,0.08416,0.19696,1.04564,1.00849,0.71009,1.34586,1.32938,-0.5419,-0.52867,-0.71114,-0.68714,-0.5583,0
peptide_nm_70,0.29642,0.81459,0.37001,0.06207,0.08242,-0.24554,-0.35323,0.63202,0.39678,1.19169,0.91293,1.09292,0.40113,0.01582,0.43228,0.45468,0.75899,-0.17353,-1.167,-1.90759,-0.47003,-1.5332,-0.74453,-0.00685,-0.0129,0.65979,0.89602,0.37115,0.40543,0.59502,0
peptide_nm_71,-0.88667,-0.65435,-0.78632,-0.63449,-0.80735,0.67656,0.79066,0.99781,1.2802,1.34584,-0.35963,-0.39542,-0.76232,-0.43573,-0.10292,-1.01164,-0.20926,0.32515,0.41454,-0.25827,0.7834,1.07981,1.51099,0.97281,0.65773,-0.24556,-0.0959,-0.32906,-0.45536,-0.23656,0
peptide_nm_72,0.28468,0.29279,0.49334,0.93491,0.39184,0.41138,-0.39071,-0.61018,0.24253,-0.05869,0.49607,0.58697,0.87933,1.20488,0.67327,-0.02305,0.00528,-0.2138,0.34372,-0.09498,0.32258,-0.02606,-0.00407,-0.31342,0.08543,1.1961,1.58188,1.4829,1.45437,1.51269,0
peptide_nm_73,0.98674,0.92408,1.37226,1.04582,1.3526,-1.19216,-1.78051,-2.01124,-1.13764,-1.35096,1.17507,1.32332,1.48425,1.39063,1.15949,1.04741,-0.85403,0.10536,-0.53006,0.03934,-1.45148,-1.25374,-1.60168,-1.00034,-0.81263,0.89181,1.05763,0.70523,0.88861,0.79004,0
peptide_nm_74,0.02491,0.47327,0.08966,0.50204,0.40035,0.61366,0.23154,0.49051,0.25619,0.37284,-0.80344,-0.06714,0.19594,-0.57736,-0.10375,-0.68223,-0.96877,0.20743,-0.60072,0.11358,0.12409,0.18626,-0.15947,0.43439,-0.89026,-0.74064,-1.22081,-1.20665,-0.80709,-1.1833,0
peptide_nm_75,-0.52634,-0.44459,-0.9223,-0.77051,-0.20498,0.16436,0.07601,-0.20286,1.06963,-0.31996,-0.48711,0.57138,0.50748,-0.15268,0.4832,-0.70822,-0.92462,0.8063,-1.73743,-0.35736,-0.3313,-0.0135,0.11401,1.24496,0.10968,0.74821,0.71717,0.55444,-0.1199,0.15852,0
peptide_nm_76,0.53777,0.69889,0.5178,0.27854,-0.4136,0.21418,0.57316,0.01371,0.23511,1.57284,-0.00901,0.19716,0.42197,0.58983,0.38892,-1.05473,-0.18076,0.73798,-0.2207,-0.71313,0.07593,0.14504,-0.0449,0.31825,-0.14484,0.38517,-0.44093,-0.25811,-0.70683,-0.21972,0
peptide_nm_77,-0.9551,-1.18759,-1.32074,-1.39501,-1.10746,0.02261,0.28128,-0.49364,0.00477,0.31082,-0.73011,-0.73161,-0.16668,-0.34614,-0.95803,-0.53902,-0.92918,0.23325,-0.06143,-0.8533,-0.11128,-0.03262,-0.5303,-0.35243,-0.02489,0.81927,0.95338,1.06046,1.06919,1.0551,0
peptide_nm_78,-0.82961,-1.54497,-0.34869,-1.41265,-0.9005,0.74276,0.76785,0.22452,0.5908,1.05312,-0.71162,-0.90953,-0.7841,-0.73226,-0.89504,-1.05566,-0.12792,0.17119,-0.18535,0.22027,0.66791,0.86229,1.01874,0.65863,0.52396,0.62356,0.47134,0.0857,0.39079,0.32832,0
peptide_nm_79,0.04607,0.09054,-0.25816,-0.3518,-0.06983,-0.8669,-1.13783,-0.23891,-0.10759,-0.40364,0.30078,-0.02585,-0.04173,-0.13729,-0.10267,0.18367,0.9975,0.06717,-0.15243,0.03636,-0.8611,-0.90083,-0.97792,-1.04563,-1.05785,0.03499,0.07624,0.11216,0.04982,0.11584,0
