,Z5__1,Z5__2,Z5__3,Z5__4,Z5__5,Z5__6,Z5__7,Z5__8,Z5__9,Z5__10,Z5__11,Z5__12,Z5__13,Z5__14,Z5__15,Z5__16,Z5__17,Z5__18,Z5__19,Z5__20,Z5__21,Z5__22,Z5__23,Z5__24,Z5__25,Z5__26,Z5__27,Z5__28,Z5__29,Z5__30,Z5__31,Z5__32,Z5__33,Z5__34,Z5__35,Z5__36,Z5__37,Z5__38,Z5__39,Z5__40,Z5__41,Z5__42,Z5__43,Z5__44,Z5__45,Z5__46,Z5__47,Z5__48,Z5__49,Z5__50,Z5__51,Z5__52,Z5__53,Z5__54,Z5__55,Z5__56,Z5__57,Z5__58,Z5__59,Z5__60,Z5__61,Z5__62,Z5__63,Z5__64,Z5__65,Z5__66,Z5__67,Z5__68,Z5__69,Z5__70,Z5__71,Z5__72,Z5__73,Z5__74,Z5__75,y
peptide_nm_11,-0.79044,-0.3385,-0.12915,-1.0303,-0.8591,-1.41739,-0.96796,1.49289,-1.33034,0.54198,-0.13627,-0.5097,-0.91641,0.26775,-0.21923,0.10115,1.14575,0.92409,-0.2545,0.39641,1.65339,-0.51272,-1.36898,-0.53652,0.66787,0.01401,-1.46507,-0.68056,-1.19072,0.1414,0.46095,0.63551,-0.02193,-1.29719,1.16955,-0.94861,-2.09638,-0.34967,-0.83157,0.06726,-0.83938,0.35695,0.5736,3.78599,-1.84783,-0.92042,-0.1879,-0.3442,-0.34135,-0.97976,0.23608,0.27519,-0.3473,0.46545,1.08131,-0.11125,0.44534,1.38954,0.67333,0.21569,-1.25105,-0.58163,0.00471,-0.65517,-0.4257,0.25782,0.29407,-1.16361,2.62491,0.15485,0.39775,-1.10078,-0.57753,-2.20108,0.39111,0
peptide_nm_12,-0.22145,0.2895,0.66539,-0.60489,-0.69122,-0.70056,-1.40463,-0.02332,0.34126,-1.22035,-0.29635,0.52856,0.1842,0.25843,0.00565,-0.86892,-1.14599,0.22338,-0.68674,-1.16339,0.80497,0.87352,0.71141,0.93662,0.71665,-0.13491,-0.67284,-0.59814,0.30217,-0.23616,-0.17645,0.00533,-1.28619,0.60232,-1.24694,-0.24463,-0.32598,-0.20953,0.72935,2.59835,0.13207,0.28567,-0.16976,0.52106,-0.60725,-0.63982,-0.76582,-0.519,-0.09489,-0.14815,-0.54226,0.88332,-0.75185,-0.83272,1.09615,0.74307,1.02977,0.96691,0.30756,0.06674,0.75818,-0.21163,-0.2716,0.53429,-0.33168,-0.02218,-1.14798,-0.0287,-0.32994,0.68277,-0.67118,-0.19392,-0.10602,-0.34981,0.13211,0
peptide_nm_13,-1.15748,0.46493,1.1875,0.61704,0.05488,-0.56594,-0.63305,-0.35101,-0.02014,-0.59381,-0.5729,-0.8266,-0.75318,-0.61158,-0.74833,-0.35097,1.14915,-0.02937,0.09929,-0.37143,0.17739,0.89785,0.40911,0.82955,0.93582,0.29854,0.59252,0.00798,-0.21469,-0.85761,-0.36187,-0.76239,-0.5208,0.0979,1.64319,0.3552,0.51122,-0.44904,0.3824,-1.11637,0.91257,-0.21074,-0.2576,-0.22666,0.52059,-0.35283,0.27597,-0.82556,-0.48527,-0.35249,-0.43939,-0.14955,0.75667,-1.14305,0.26916,0.72222,1.08559,0.27217,-0.47933,-0.75821,1.22333,0.10706,0.07823,0.16127,-1.28088,0.88031,0.24294,0.69488,0.93008,0.33108,-1.00045,-0.00464,-0.35659,-0.87019,-0.33765,0
peptide_nm_14,-0.84463,-0.95415,0.2178,-0.07039,-0.8347,0.42441,-0.59509,-0.37366,-0.71247,0.37158,0.63325,-0.24873,0.24056,-0.90265,-0.59202,-0.63976,1.30705,-0.64982,-0.11579,0.06639,0.24447,0.34149,-0.28385,-0.75059,0.05963,-0.60808,-1.33886,0.93767,-0.6241,0.71695,0.39607,0.00248,-0.37446,-0.38864,-0.55504,-1.25602,0.05775,0.13196,-0.0296,-0.27238,0.05456,-0.19909,-1.49987,-0.2755,-1.21405,-0.88725,-0.31264,-0.81836,-0.40638,-0.22019,0.14057,1.12856,0.39507,-0.06978,0.0117,0.94817,0.59802,-0.93707,-0.94789,0.56253,-0.46621,-0.11422,0.34325,-0.41892,-0.52851,-0.08257,-0.76819,-1.21598,-1.158,-0.48775,0.4076,1.32733,0.32481,1.37619,1.54652,0
peptide_nm_15,-1.96345,0.38319,0.40019,-0.51298,-0.85186,-1.40462,-0.64466,-0.25288,-0.93497,-1.99666,-0.19608,-0.11618,-0.25813,0.20658,-0.52878,0.04334,-0.13001,0.6298,-0.06931,-0.77171,-0.15901,0.13514,-0.10376,0.0934,0.34269,2.03606,2.07379,1.95467,1.48808,2.3284,0.28222,-1.59364,-1.64408,-0.81092,-0.39592,0.453,0.3455,0.22754,-0.06476,0.91837,1.1079,-1.67388,-1.72448,-2.07524,-1.11934,-1.04481,-0.65902,-0.43408,-0.03065,-0.26107,0.5932,0.45314,-0.3535,-0.10104,0.60134,1.32706,0.17483,0.96931,-0.02005,0.80283,0.12484,-0.15848,-0.94488,-0.29572,-0.40906,1.60718,-1.06485,-0.58559,-0.73625,0.28834,0.14287,-0.87826,1.41969,-1.05239,0.79825,0
peptide_nm_16,0.20009,-0.3656,-0.12483,1.33856,-0.69766,0.40804,-0.45378,-0.00811,0.99025,-0.16753,1.05668,0.1905,-0.20387,0.31818,0.48727,-1.42047,1.18987,0.15436,-0.3399,1.18471,-0.77903,1.65666,0.33448,-0.82428,2.14874,-1.19464,-0.55444,-0.49013,-1.02499,0.04924,1.08071,0.72143,-0.79571,-0.95326,0.42721,-1.00725,1.00526,0.55555,-0.14035,0.87884,0.37102,0.6139,-0.19402,-0.70592,1.29014,-1.04126,-0.20971,-0.79437,-0.12083,-0.05502,1.0462,0.70015,-0.71709,-0.46444,2.01135,0.85262,0.67793,-0.21954,0.13536,0.68617,1.79783,0.85989,1.38193,1.5929,0.84132,0.95312,-0.3871,-0.84728,-0.50446,-2.5117,-0.21455,-0.36973,-0.55274,0.40961,-1.13505,0
peptide_nm_17,-1.4571,0.21361,0.06155,-0.14156,-0.11812,-0.47103,-0.2246,0.15026,-0.19579,-0.6166,-0.1481,0.02403,0.19145,0.04649,-0.10676,-0.48929,0.44396,0.30267,-0.00801,-0.21262,0.38476,0.53349,0.19029,0.25539,0.6021,-0.63465,-0.23681,-0.51594,-0.6021,-0.02132,0.32243,-0.37302,0.31818,-0.20073,-0.58043,-0.47262,-0.32578,-1.03883,-0.23293,0.32345,0.29184,-0.15906,0.82251,0.1476,-0.49118,-0.67445,-0.15132,-0.03574,0.03914,-0.33314,0.36609,-0.07759,0.46043,0.14628,0.2453,1.48464,1.00804,0.39197,0.46304,0.51337,-0.2524,-0.32169,-0.78568,-0.61369,-0.08148,0.65831,-0.07863,0.71981,0.02366,0.02119,0.72305,1.81324,0.79167,1.06319,1.16803,0
peptide_nm_18,0.54127,0.71777,0.16613,0.13436,-1.26799,-0.05313,-0.72323,1.53217,-0.37864,-2.13977,1.8839,-0.163,-0.40738,0.30566,-2.16724,-1.61231,-0.76177,-0.08471,-0.98827,-1.49259,0.42764,2.74436,2.39253,-0.01069,2.84163,-0.99374,-1.18309,-0.99648,0.2585,-1.13811,0.21854,0.32189,-0.51097,0.2526,-1.547,-1.75653,1.00717,0.17916,-0.77612,0.31691,0.8712,-1.44513,0.079,1.07705,1.35612,-0.29938,-0.13593,-0.30191,-0.62351,-1.2341,-0.15302,-0.27465,-1.03488,-0.5803,-0.89737,-0.59947,0.9538,2.83935,1.06046,1.52234,0.13947,1.96217,1.76168,1.88142,1.80636,-1.21863,-2.10982,0.02205,1.30718,-0.51181,0.80309,1.39256,-1.20756,-0.6325,-0.32604,0
peptide_nm_19,-1.32575,0.13924,-0.01178,0.27059,-0.55459,1.0788,0.20652,0.24399,0.21527,0.05589,-0.67681,-0.20669,0.85475,0.05745,0.192,0.04172,-0.05665,-0.0244,0.6826,0.41827,0.1375,-0.19538,0.00158,1.56153,0.10285,-1.09612,-0.09134,0.30723,0.04546,-0.04432,-0.21532,-1.04826,0.34974,-0.66288,-0.05347,-1.05723,-0.43545,0.15098,-0.14054,-0.12256,-0.14634,-1.79966,-0.32823,0.25333,-0.29887,-0.18412,0.0384,0.89765,0.12258,-0.14906,0.16135,0.0354,0.88151,-1.04221,0.28072,0.9465,0.78379,-0.08303,-0.72893,-0.42854,-0.43806,-0.45391,-0.17393,-1.49018,-1.2432,0.47745,-0.81051,-0.18988,1.07394,0.38911,0.43719,1.35757,0.9343,1.5414,0.49067,0
peptide_nm_20,-0.54327,-0.11642,1.26521,-1.0026,-0.07524,0.77973,0.18282,0.40848,-1.74946,-0.35997,-0.19416,0.27302,-0.76344,0.28866,-0.79082,-0.70222,-1.0072,-0.92873,-0.80695,0.09905,0.39736,2.00207,0.10267,1.76843,0.91828,0.54804,-1.19255,-1.27474,-1.02374,0.51274,-0.13188,1.1502,-0.75043,0.55403,0.28176,-0.77273,-2.11422,0.46457,1.04443,-0.81823,0.46437,0.81622,-0.72288,1.01157,-0.31701,-0.26657,-0.94467,0.01303,-0.33595,-0.56864,-0.68081,-0.12917,-0.27173,0.50025,1.59521,1.06172,-0.6797,-0.26948,-1.25533,-0.00985,0.49335,0.01855,-0.022,0.80082,-1.34538,0.64039,0.03752,-0.22929,0.36698,-0.15355,-0.02741,0.08707,0.8264,0.54011,0.45705,0
peptide_nm_21,-0.79222,-0.50295,0.95696,0.14039,-0.18499,-0.42895,0.50078,-0.0514,0.00442,0.06417,1.21395,-0.26781,0.23182,-0.6489,0.39972,-0.39774,-0.17322,0.02619,-1.00572,0.18724,-0.13581,0.34206,0.09791,0.65406,1.03428,0.92391,1.66474,1.98892,0.75499,2.47681,0.84388,1.14945,-1.02928,0.48249,-0.11892,-0.28723,1.47989,0.87594,1.37521,0.39048,0.70466,-0.70701,-1.8205,-2.20184,0.13935,-1.40061,-0.68233,-0.1884,-0.5038,0.07726,1.2047,-0.17077,0.2263,-0.47843,0.45486,0.57435,0.62989,-0.64119,0.11736,0.53821,-1.07334,0.48895,0.9465,0.64193,0.46288,-0.24984,-0.61991,-1.38541,-1.01308,-0.84206,-0.21156,0.44409,-0.85293,-0.21214,0.83865,0
peptide_nm_22,-0.31023,0.48974,0.30455,-1.55172,-1.54121,-1.45273,-0.24332,0.5808,-0.59085,-1.35348,1.28492,0.1597,-0.04771,-0.58788,-0.54403,-1.12429,0.48502,0.46195,0.84317,0.38187,0.68713,-0.29289,-0.04349,-1.55215,-0.73684,3.03463,1.00645,-0.17782,1.27748,4.16021,0.78651,0.20789,-0.37586,1.32413,-1.07299,0.61869,-0.36532,0.04652,1.81371,3.01483,0.84381,0.63804,-0.04789,-0.48877,0.85735,-1.02728,0.02498,0.24192,-0.03851,-0.45042,0.17832,0.42808,-0.12277,0.84992,1.15522,0.56695,0.25116,0.19869,-0.6376,-0.39888,-0.17681,0.37737,0.1272,-0.56819,0.72509,-0.61227,0.03188,0.279,0.40351,0.9059,-0.71554,0.56352,0.12147,-0.142,-1.02252,0
peptide_nm_23,-1.32819,-0.00514,1.37614,0.01433,-0.15961,-0.95773,-1.08187,-0.56798,-1.03737,-0.48186,0.28633,0.37871,-0.6095,-0.24302,-0.73235,-1.1905,-0.52253,-0.30695,0.49144,-0.79253,1.26367,0.42394,0.1099,1.20223,0.2066,-0.10911,0.95031,0.63183,0.31434,-0.29155,0.67242,0.21706,-1.38791,-0.6684,-1.2038,-0.54171,0.23891,1.29569,1.12252,0.4507,-0.01349,-0.67282,-1.50606,0.11654,-0.40886,-0.83392,-0.64014,-0.48354,-0.20243,-0.80707,-0.37772,-0.71293,1.21977,0.29145,0.56818,0.83752,0.02707,0.36346,-0.1568,0.33309,0.02725,1.12428,0.29947,0.52677,0.63403,0.44457,-0.69664,-0.67097,-0.8701,-0.04194,-0.77649,-0.41596,-0.04643,0.28154,-0.47255,0
peptide_nm_24,-0.22622,-1.69467,-0.05865,0.10185,-0.37699,0.1511,0.16957,-0.20963,1.11405,0.14565,0.3324,0.03087,-1.38574,0.87252,-0.69858,-0.47466,0.82226,0.19389,0.69214,-0.68515,0.14492,-1.11189,0.62378,0.25291,-0.47134,-0.98063,-0.00387,0.15166,-0.40355,-1.20318,0.27104,-0.44808,0.13946,0.49682,-0.2989,-0.69067,0.50361,1.01111,0.78303,-0.40471,-0.77614,-0.49752,0.64176,0.6042,0.67987,-0.75586,-0.23094,-0.14268,-0.11541,-0.45823,0.89481,0.41948,1.0422,0.62315,0.62431,0.29138,-1.63624,0.35541,-0.05587,-0.31179,-0.1451,0.45531,1.24514,0.37062,1.36294,0.1516,0.12589,-0.45338,0.33485,-0.14367,-0.69235,-0.01773,-0.22935,0.10125,-0.72473,0
peptide_nm_25,-0.10601,-0.16895,-2.12906,-0.38266,0.68314,-0.60849,0.21018,0.59208,-2.25201,-2.35843,-1.36211,2.41704,0.26494,-1.72919,-0.62727,-0.46539,-2.88429,0.89621,1.48781,-0.12394,1.78695,0.07451,-3.10952,1.88225,3.24768,-0.24951,2.06166,2.06992,2.1121,0.06163,-0.77181,-0.98411,1.56782,0.62391,-0.0356,-1.15511,-0.6638,-2.19996,-0.72048,-0.33349,-1.50846,0.14274,-0.94338,-2.79638,-0.30373,0.71799,-2.05276,-2.66289,1.24251,0.26096,-2.4029,3.46537,1.20429,-2.90508,0.13005,1.70501,-4.80193,3.97752,0.95222,-4.66354,-0.12459,-1.95492,0.38724,-1.54578,-0.35716,0.48143,2.79832,-2.2306,0.78704,-2.16902,1.86335,-3.7931,-1.83523,6.71949,-10.73955,0
peptide_nm_26,1.91289,-1.50202,0.34703,-1.26734,-1.4162,-0.25077,0.76891,1.64167,-0.59352,0.70328,1.81663,-0.10182,0.90978,-0.30245,-0.11505,-3.32548,1.51777,0.86476,0.03466,0.52746,2.52199,-1.0392,0.99425,0.40582,-1.66806,-0.76316,-0.25892,-0.47698,-0.54238,-0.14836,1.72177,0.60644,0.35067,-0.5372,-0.84824,-1.18518,-1.48412,-0.74261,-0.49705,0.25091,-0.33428,1.35958,1.41646,-0.35022,0.85349,-0.85186,-0.29036,0.24447,-0.40341,-0.51619,-0.81791,0.01085,-0.2887,-1.27961,0.2925,0.87149,0.23466,1.47095,0.4308,-0.07788,2.16602,0.29746,1.7203,1.07515,1.01835,-2.31314,1.03412,-0.89553,-1.18505,0.63869,-0.17423,-0.91299,-1.35834,1.62804,-1.09386,0
peptide_nm_27,-0.45531,-1.0359,0.11255,-0.53916,0.54264,-0.53881,-0.64566,-0.19118,0.21695,-1.23007,0.36657,-1.37605,0.69772,-0.8909,0.68445,-0.96734,0.30032,-0.45911,0.56213,-1.17283,0.71843,-0.54398,0.44135,0.53119,0.66936,-0.90779,-1.20432,0.21579,-0.39832,-0.90472,0.693,-0.03416,0.0346,-0.74685,-0.05556,-0.70527,-1.56428,0.81544,-0.53119,-0.5204,0.92839,-0.39803,-0.23712,0.99653,0.24178,-0.24761,-0.74191,-0.00448,-1.2435,-0.11033,-0.35555,0.35627,-0.3675,0.95895,-1.41799,0.91659,-1.23597,-0.12838,-0.63747,-0.31908,-0.13073,-0.32585,1.20638,-0.17288,0.26978,0.28856,0.2386,-0.9301,0.43476,-0.19164,-0.71411,0.27406,-0.33402,-0.24446,-0.20912,0
peptide_nm_28,-0.00615,-0.01854,-0.78006,-0.66956,0.37402,1.25115,0.48465,-1.32433,0.2359,0.65145,1.29493,-0.34881,-1.05424,-1.48536,0.61954,-0.14196,-0.28182,-0.23713,0.94483,0.51923,0.32585,0.04858,-2.05323,-1.07963,0.76731,-0.5877,-0.5227,0.25863,0.14982,1.00996,1.07102,0.2103,0.12355,-0.13779,1.40417,-0.97047,0.19446,0.07884,0.8482,0.38979,0.69085,-0.96224,-1.26197,-1.80684,-0.22864,-0.52662,-0.63338,-0.08914,-1.01905,-0.54551,0.16729,0.27986,-0.50956,0.49637,0.60376,0.78295,-0.28071,-1.51549,-0.39685,-0.19992,-0.79072,-0.40105,0.32884,-0.3875,0.07165,-0.46975,0.00965,-0.27566,-1.60357,-0.57832,-0.0196,1.03624,0.65774,0.41852,0.68619,0
peptide_nm_29,-0.17666,1.25065,0.8591,0.18097,-0.13124,1.02944,0.63335,0.412,-0.43131,-0.31696,-0.76771,-1.62875,-0.38301,-0.55429,-1.57005,-0.46337,-0.72053,-1.3367,-1.74886,0.59557,0.95545,0.5843,0.99739,1.36727,1.60024,-1.39563,-0.11513,-0.3174,-0.64512,-1.10107,-0.79495,-0.07248,-0.64355,-0.64021,0.2301,-0.96896,-1.89025,-0.84398,-1.03765,-1.08821,0.29282,1.19055,0.29276,0.30173,0.7604,0.59763,-0.5328,-0.49814,-0.34147,0.8333,-2.14452,1.60579,1.97654,1.69957,-0.05147,0.53421,-0.01365,-0.29076,-0.98095,-0.05021,0.92306,-0.70603,-0.7273,-1.48691,-0.48893,0.15803,0.04516,-0.56985,-0.82855,-0.7036,-0.69826,0.09471,-0.60409,0.15294,0.55419,0
peptide_nm_30,-0.88032,0.20564,0.76163,-0.6004,-0.09095,-0.58387,1.1752,1.23289,0.80923,-0.34361,-0.51997,0.24143,-0.01272,-0.81245,0.28181,-0.28169,0.27622,0.06391,-0.13843,-0.79922,0.59123,-0.2431,-0.1284,1.65329,2.45539,0.97142,1.22024,-0.58606,-0.4423,-0.60962,-0.76314,-0.42063,1.84416,1.51196,0.24131,-0.47207,-0.2224,-1.63866,-2.38559,-2.55345,0.92956,2.72566,2.49868,-0.29185,-1.10717,0.30785,1.23518,-0.56194,-0.8559,-1.52794,-0.64116,-1.52054,-1.09224,-0.06581,1.06974,0.371,-0.65752,-0.43527,-1.01005,-1.75041,-0.78066,0.45455,-0.23768,-0.98707,-0.92362,0.10098,1.45491,2.28311,0.83775,-0.14389,1.28326,1.79766,-1.69212,-2.3743,-1.47105,0
