,QSO3_SC_A,QSO3_SC_R,QSO3_SC_N,QSO3_SC_D,QSO3_SC_C,QSO3_SC_Q,QSO3_SC_E,QSO3_SC_G,QSO3_SC_H,QSO3_SC_I,QSO3_SC_L,QSO3_SC_K,QSO3_SC_M,QSO3_SC_F,QSO3_SC_P,QSO3_SC_S,QSO3_SC_T,QSO3_SC_W,QSO3_SC_Y,QSO3_SC_V,QSO3_G_A,QSO3_G_R,QSO3_G_N,QSO3_G_D,QSO3_G_C,QSO3_G_Q,QSO3_G_E,QSO3_G_G,QSO3_G_H,QSO3_G_I,QSO3_G_L,QSO3_G_K,QSO3_G_M,QSO3_G_F,QSO3_G_P,QSO3_G_S,QSO3_G_T,QSO3_G_W,QSO3_G_Y,QSO3_G_V,QSO3_SC1,QSO3_SC2,QSO3_SC3,QSO3_G1,QSO3_G2,QSO3_G3,y
peptide_nm_11,-0.86711,-0.76872,0.82145,-0.68258,-0.42241,0.89512,-0.61313,-0.12264,-0.5072,-0.89497,-0.04995,0.2026,-0.48417,-0.84053,-0.73055,0.14681,0.41698,-0.53919,6.58684,-0.96356,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,0.57635,0.73679,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,6.57195,-0.38751,-0.36257,-0.84478,-0.19978,-0.36257,-0.84478,-0.19978,0
peptide_nm_12,0.28459,0.36521,0.20727,0.86868,-0.42241,-0.57588,0.58157,0.01255,0.56174,-0.89497,-0.50991,-0.67284,0.78229,1.09619,-0.73055,0.85933,1.25248,-0.53919,-0.59176,-0.96356,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,0.70008,0.67785,0.80794,0.70008,0.67785,0.80794,0
peptide_nm_13,-0.48152,0.36997,-0.63027,0.87519,-0.42241,1.12858,0.58659,1.03482,1.63965,-0.89497,-0.82215,0.04154,-0.48417,-0.19211,-0.03222,0.86653,1.92315,-0.53919,-0.59176,-0.37728,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,2.3541,-0.17418,-0.41783,-0.63248,0.73679,-0.09562,-0.33007,-0.27718,2.31328,3.61143,-0.23344,-0.12128,-0.38751,0.91687,0.12816,1.18533,0.91687,0.12816,1.18533,0
peptide_nm_14,1.34741,-0.76872,1.78524,0.43605,-0.42241,-0.57588,0.24838,-0.27018,-0.5072,-0.89497,0.21965,-0.00416,1.34235,-0.84053,0.27219,-0.01693,0.22498,-0.53919,-0.59176,-0.12172,1.65101,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,0.57635,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,0.97,-1.44211,0.65538,0.97,-1.44211,0.65538,0
peptide_nm_15,1.0309,-0.76872,0.75012,0.59576,-0.42241,-0.57588,-0.61313,4.01085,3.01588,-0.89497,-1.13714,0.14201,-0.48417,0.22347,2.7069,-0.82819,1.44764,-0.53919,-0.59176,0.96026,1.65101,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,5.11828,5.74121,-0.41783,-0.63248,0.73679,-0.09562,-0.33007,3.60775,-0.26905,3.61143,-0.23344,-0.12128,2.44035,-1.11918,-0.46367,0.5249,-1.11918,-0.46367,0.5249,0
peptide_nm_16,-0.86711,-0.76872,-0.63027,1.45885,-0.42241,0.59583,2.68555,-0.30139,0.96863,-0.14258,0.16172,-1.02775,-0.48417,-0.84053,1.18903,-0.05156,0.18436,-0.53919,0.83767,-0.15767,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,2.16199,-0.41009,-0.17418,-0.41783,0.57635,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,1.19528,0.54775,-1.42831,1.19528,0.54775,-1.42831,0
peptide_nm_17,0.7457,-0.76872,1.56891,-0.27538,-0.42241,-0.13034,0.01432,0.06362,0.61559,-0.32256,-0.80773,0.64976,0.8461,-0.16243,3.65098,2.42112,0.3128,-0.10998,-0.04822,0.87554,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,0.73679,-0.09562,-0.33007,3.60775,2.31328,-0.23061,-0.23344,-0.12128,-0.38751,0.50456,1.83219,2.11074,0.50456,1.83219,2.11074,0
peptide_nm_18,-0.86711,-0.76872,0.91388,2.17711,0.56447,0.98878,0.48818,-0.0667,-0.5072,-0.89497,0.59734,-1.02775,-0.48417,-0.84053,-0.73055,1.24573,-0.7263,-0.53919,1.31704,-0.96356,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,0.57635,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,-0.11391,-0.77699,-1.06497,-0.11391,-0.77699,-1.06497,0
peptide_nm_19,1.45102,0.08706,0.63392,-0.68258,-0.42241,0.7051,0.28851,-1.00122,-0.5072,-0.07242,-0.66377,0.57952,3.33953,-0.84053,1.36861,-0.82819,-0.7263,-0.53919,-0.59176,0.79876,1.65101,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,0.73679,10.45825,-0.33007,3.60775,-0.26905,-0.23061,-0.23344,-0.12128,2.44035,-0.44758,-0.50215,0.62727,-0.44758,-0.50215,0.62727,0
peptide_nm_20,0.06984,0.61503,1.41386,0.26393,-0.42241,-0.57588,1.57397,0.23589,-0.5072,-0.89497,-0.75443,-0.59465,-0.48417,-0.84053,0.1179,-0.82819,-0.7263,-0.53919,0.67167,1.17358,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,2.16199,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,2.44035,0.93599,-1.4641,1.82569,0.93599,-1.4641,1.82569,0
peptide_nm_21,1.02292,-0.76872,3.49315,-0.68258,-0.42241,-0.57588,-0.61313,2.74192,-0.5072,-0.89497,1.95075,-1.02775,2.63312,-0.84053,-0.73055,1.94116,4.14457,-0.53919,-0.59176,0.47318,1.65101,-0.42619,4.53418,-0.23173,-0.14829,-0.22347,-0.19485,2.3541,-0.17418,-0.41783,0.57635,-0.60739,-0.09562,-0.33007,-0.27718,2.31328,3.61143,-0.23344,-0.12128,-0.38751,-1.0873,-2.65325,-1.19143,-1.0873,-2.65325,-1.19143,0
peptide_nm_22,-0.33662,-0.76872,0.52709,1.46071,-0.42241,-0.57588,-0.61313,3.20077,-0.5072,0.61089,-0.70377,-0.53731,-0.48417,-0.84053,-0.73055,-0.05089,0.18516,0.59055,-0.59176,0.64939,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,2.3541,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,-0.31369,-0.00743,0.59917,-0.31369,-0.00743,0.59917,0
peptide_nm_23,0.3486,-0.76872,-0.63027,1.77363,-0.42241,-0.57588,0.3327,-0.19864,-0.5072,-0.89497,-1.13714,0.09617,-0.48417,0.18165,-0.73055,1.84377,2.40684,-0.53919,1.04755,0.88488,1.65101,-0.42619,-0.18714,4.31535,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,0.73679,-0.09562,-0.33007,-0.27718,2.31328,3.61143,-0.23344,-0.12128,2.44035,0.59169,-1.59236,0.46869,0.59169,-1.59236,0.46869,0
peptide_nm_24,0.29978,0.09295,-0.63027,-0.68258,-0.42241,2.00371,1.20256,-1.00122,-0.5072,0.76146,-0.18388,-1.02775,-0.48417,0.14061,-0.73055,1.73626,0.27614,-0.53919,0.98173,-0.07645,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,2.31328,-0.23061,-0.23344,-0.12128,-0.38751,0.01148,-0.55345,0.19769,0.01148,-0.55345,0.19769,0
peptide_nm_25,-0.86711,0.76556,-0.63027,1.41636,-0.42241,-0.57588,-0.61313,-1.00122,-0.5072,-0.89497,-1.13714,-1.02775,-0.48417,-0.84053,1.15094,-0.82819,-0.7263,-0.53919,5.01128,-0.96356,-0.48659,2.00174,-0.18714,4.31535,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,3.60775,-0.26905,-0.23061,-0.23344,13.26519,-0.38751,-1.78441,-1.32668,-3.2149,-1.78441,-1.32668,-3.2149,0
peptide_nm_26,-0.86711,-0.76872,0.55488,3.70728,-0.42241,-0.57588,1.07717,-1.00122,-0.5072,-0.12384,-0.69336,-1.02775,-0.48417,0.07298,-0.73055,-0.03222,-0.7263,0.61768,0.87327,-0.13759,-0.48659,-0.42619,-0.18714,4.31535,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,1.19741,-1.31202,0.43456,1.19741,-1.31202,0.43456,0
peptide_nm_27,-0.86711,-0.76872,-0.63027,1.77394,-0.42241,0.76821,-0.61313,-0.19844,-0.5072,0.83097,-1.13714,0.09631,-0.48417,0.18191,0.3706,0.95334,1.36272,-0.53919,-0.59176,-0.96356,-0.48659,-0.42619,-0.18714,4.31535,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,2.14426,-0.63248,0.73679,-0.09562,-0.33007,-0.27718,2.31328,3.61143,-0.23344,-0.12128,-0.38751,0.60019,-1.00786,-0.1797,0.60019,-1.00786,-0.1797,0
peptide_nm_28,-0.25388,-0.76872,2.04511,0.55638,-0.42241,-0.57588,-0.61313,-0.19154,-0.5072,-0.02448,0.36561,0.10596,1.53883,-0.84053,0.38005,0.96864,-0.7263,-0.53919,-0.59176,1.83337,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,0.57635,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,2.44035,0.32178,0.06403,-1.15931,0.32178,0.06403,-1.15931,0
peptide_nm_29,-0.39157,0.63589,0.4072,1.23897,-0.42241,0.47537,0.86675,-1.00122,-0.5072,-0.21993,-0.74866,0.73079,-0.48417,-0.84053,-0.73055,-0.13141,0.09074,-0.53919,0.69071,-0.96356,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,0.73679,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,-0.60061,0.60272,0.92236,-0.60061,0.60272,0.92236,0
peptide_nm_30,0.30961,0.96913,1.93694,0.50614,0.39796,-0.57588,-0.61313,0.55246,-0.5072,-0.89497,-0.6565,-1.02775,-0.48417,0.14887,0.33502,-0.82819,1.29547,-0.53919,0.99498,-0.96356,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,-1.23182,-0.15035,0.86415,-1.23182,-0.15035,0.86415,0
peptide_nm_31,-0.50424,-0.23281,-0.63027,1.51684,0.08355,-0.57588,-0.61313,0.91525,-0.5072,1.16543,-0.54427,0.31415,-0.48417,0.37989,1.24101,0.76689,1.14409,-0.53919,0.38686,0.1399,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,0.61932,-0.14668,2.06257,0.61932,-0.14668,2.06257,0
peptide_nm_32,-0.12203,-0.76872,2.62078,-0.68258,0.61648,-0.57588,0.54622,0.96632,-0.5072,-0.89497,-0.52847,-0.33892,-0.48417,-0.84053,0.61885,-0.82819,-0.7263,-0.53919,1.41764,0.16931,-0.48659,-0.42619,4.53418,-0.23173,-0.14829,-0.22347,-0.19485,2.3541,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,-0.89602,-0.57544,-1.03686,-0.89602,-0.57544,-1.03686,0
peptide_nm_33,1.74344,0.19519,-0.63027,0.63608,-0.42241,0.86696,0.40244,-1.00122,-0.5072,0.03151,-0.07077,-0.42435,-0.48417,-0.84053,-0.73055,-0.82819,-0.7263,-0.53919,-0.59176,0.02881,1.65101,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,0.57635,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,-1.0703,0.19412,-0.5049,-1.0703,0.19412,-0.5049,0
peptide_nm_34,-0.86711,-0.76872,-0.63027,1.63407,-0.42241,-0.57588,-0.61313,-1.00122,-0.5072,-0.89497,-0.20043,-1.02775,-0.48417,-0.84053,-0.73055,-0.82819,5.18394,-0.53919,-0.59176,2.52327,-0.48659,-0.42619,-0.18714,4.31535,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,0.57635,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,11.2955,-0.23344,-0.12128,5.26822,-2.23922,-2.8603,-2.51431,-2.23922,-2.8603,-2.51431,0
peptide_nm_35,0.23363,0.04399,-0.63027,3.76527,0.34488,-0.57588,-0.61313,-0.27464,-0.5072,-0.89497,-0.6876,-0.51901,-0.48417,-0.84053,0.26607,-0.02188,1.16492,-0.53919,0.89231,-0.96356,-0.48659,-0.42619,-0.18714,4.31535,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,0.52793,-0.80264,0.41449,0.52793,-0.80264,0.41449,0
peptide_nm_36,-0.86711,0.18952,0.78528,0.62833,-0.42241,-0.57588,1.40582,-1.00122,-0.5072,0.94688,-1.13714,-1.02775,-0.48417,0.25057,-0.73055,2.0237,0.38849,-0.53919,-0.59176,-0.96356,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,2.16199,-0.41009,-0.17418,2.14426,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,2.31328,-0.23061,-0.23344,-0.12128,-0.38751,0.27077,-0.66705,-0.77791,0.27077,-0.66705,-0.77791,0
peptide_nm_37,0.68338,-0.31079,2.07592,1.1971,0.00993,-0.57588,-0.13066,1.45557,-0.5072,0.86583,0.38291,-0.4543,1.56212,-0.31911,0.39284,0.53501,0.33944,-0.53919,-0.59176,0.92246,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,1.19953,1.19822,0.73166,1.19953,1.19822,0.73166,0
peptide_nm_38,-0.01351,-0.1385,-0.63027,0.17957,1.95779,0.36746,2.70728,-0.43779,-0.5072,-0.28923,-0.43981,-0.63324,0.92358,-0.84053,-0.73055,1.67306,0.74031,-0.53919,0.55907,-0.96356,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,1.60547,-0.3464,0.51486,1.60547,-0.3464,0.51486,0
peptide_nm_39,-0.3512,-0.76872,2.74669,0.35976,-0.42241,-0.57588,0.99262,-0.32004,0.9293,-0.16263,-0.2941,-0.5508,1.21778,-0.84053,0.2038,-0.82819,-0.7263,-0.53919,0.79958,1.38993,-0.48659,-0.42619,4.53418,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,2.44035,-0.82801,0.22527,1.02072,-0.82801,0.22527,1.02072,0
peptide_nm_40,0.32895,-0.76872,-0.63027,1.73393,0.13342,0.30536,2.4885,0.578,2.82312,-0.3291,-1.13714,-1.02775,-0.48417,-0.17017,0.71337,0.34001,-0.04139,-0.53919,-0.59176,-0.96356,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,2.16199,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,0.15813,0.00906,1.85781,0.15813,0.00906,1.85781,0
peptide_nm_41,-0.46234,1.02445,-0.63027,2.58834,-0.42241,0.31894,1.27613,-1.00122,-0.5072,-0.32038,-0.14526,0.46897,2.18599,0.52057,0.00253,0.35778,-0.7263,-0.53919,0.49987,-0.96356,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,-0.74513,0.37918,2.22918,-0.74513,0.37918,2.22918,0
peptide_nm_43,-0.28796,0.94193,-0.63027,0.48753,-0.42241,-0.57588,-0.61313,-0.23654,1.10539,-0.89497,-1.13714,-1.02775,-0.48417,1.10729,0.31834,-0.82819,-0.7263,0.69417,0.97014,-0.08298,-0.48659,2.00174,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,2.09867,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,0.04761,0.14465,-0.54505,0.04761,0.14465,-0.54505,0
peptide_nm_44,1.49508,-0.76872,-0.63027,2.89691,-0.42241,2.03527,-0.61313,-1.00122,2.78167,-0.89497,-0.17222,-1.02775,1.46389,1.14575,0.33891,-0.82819,-0.7263,-0.53919,-0.59176,-0.06571,1.65101,-0.42619,-0.18714,4.31535,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,-0.03527,0.07869,-0.54304,-0.03527,0.07869,-0.54304,0
peptide_nm_45,0.70057,-0.18996,-0.63027,0.90124,-0.42241,1.15708,0.60665,-0.4838,0.58396,1.33038,-0.49674,-0.66546,0.80863,-0.18153,2.10865,-0.25399,-0.7263,-0.53919,-0.59176,0.22836,1.65101,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,2.14426,-0.63248,-0.60739,-0.09562,-0.33007,3.60775,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,1.64372,0.34254,0.17762,1.64372,0.34254,0.17762,0
peptide_nm_46,0.46065,-0.48852,-0.21635,1.61671,-0.42241,1.10143,0.86245,0.00059,1.07719,0.18208,-0.36244,0.19977,0.14172,-0.52148,-0.38695,0.56132,-0.40033,-0.53919,-0.08009,-0.09839,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,1.70748,0.92521,2.1248,1.70748,0.92521,2.1248,0
peptide_nm_47,-0.44361,0.48219,1.21762,1.45637,-0.42241,-0.10794,0.37521,-0.44205,-0.5072,0.60784,0.07369,0.73406,0.21413,-0.84053,-0.73055,0.1025,-0.36262,-0.53919,-0.0209,-0.31964,-0.48659,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,0.73679,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,-0.38751,1.51408,1.32281,1.5828,1.51408,1.32281,1.5828,0
peptide_nm_48,0.45912,-0.76872,0.81643,0.65717,-0.42241,-0.57588,-0.61313,-0.12568,-0.5072,0.04633,-0.59543,0.19835,-0.48417,-0.84053,-0.73055,1.11506,0.41302,-0.53919,-0.59176,0.04468,1.65101,-0.42619,-0.18714,-0.23173,-0.14829,-0.22347,-0.19485,-0.41009,-0.17418,-0.41783,-0.63248,0.73679,-0.09562,-0.33007,-0.27718,2.31328,-0.23061,-0.23344,-0.12128,-0.38751,0.19213,-0.51864,-1.05292,0.19213,-0.51864,-1.05292,0
peptide_nm_49,0.19433,0.79888,0.52776,1.46195,-0.42241,-0.57588,2.69032,-0.30038,-0.5072,-0.14149,-0.70352,-1.02775,-0.48417,-0.84053,-0.73055,-0.82819,-0.7263,-0.53919,-0.59176,0.65032,1.65101,2.00174,-0.18714,4.31535,-0.14829,-0.22347,2.16199,-0.41009,-0.17418,-0.41783,-0.63248,-0.60739,-0.09562,-0.33007,-0.27718,-0.26905,-0.23061,-0.23344,-0.12128,2.44035,-0.44546,-0.20898,0.94043,-0.44546,-0.20898,0.94043,0
