,Geary_CIDH920105.lag1,Geary_CIDH920105.lag2,Geary_CIDH920105.lag3,Geary_BHAR880101.lag1,Geary_BHAR880101.lag2,Geary_BHAR880101.lag3,Geary_CHAM820101.lag1,Geary_CHAM820101.lag2,Geary_CHAM820101.lag3,Geary_CHAM820102.lag1,Geary_CHAM820102.lag2,Geary_CHAM820102.lag3,Geary_CHOC760101.lag1,Geary_CHOC760101.lag2,Geary_CHOC760101.lag3,Geary_BIGC670101.lag1,Geary_BIGC670101.lag2,Geary_BIGC670101.lag3,Geary_CHAM810101.lag1,Geary_CHAM810101.lag2,Geary_CHAM810101.lag3,Geary_DAYM780201.lag1,Geary_DAYM780201.lag2,Geary_DAYM780201.lag3,y
peptide_nm_11,-0.29969,-0.04204,1.40161,-0.48819,0.21387,-0.39927,0.63533,1.1915,1.08339,0.10115,0.78602,1.66133,0.98163,1.07989,0.95189,0.46973,1.1457,0.49237,-0.49124,0.40727,-0.40379,0.02646,-0.71016,0.74018,0
peptide_nm_12,-0.07361,-0.82288,0.44919,0.44212,-0.57895,0.52074,0.13819,-0.9867,-0.49255,-0.5919,0.01687,-0.61916,0.42563,-1.0701,-0.64779,-0.22977,-1.33645,-0.65124,-0.98289,-1.44878,-1.46035,0.71616,-0.90518,0.77538,0
peptide_nm_13,0.09901,-0.91654,0.20584,-0.72223,-1.30959,0.17149,-1.27807,-0.16546,0.42906,-0.11705,-0.18467,-0.10397,-1.63347,-0.36686,0.63396,-1.46194,-0.17658,0.88159,-1.90714,-0.70699,1.83213,0.30991,0.06029,0.04181,0
peptide_nm_14,1.04875,-0.89192,-0.67178,1.35705,0.04229,-1.27196,2.37222,-1.71245,0.8664,-0.87594,-0.72402,2.13813,2.49047,-1.74047,1.50692,1.61383,-1.47491,0.91064,0.56122,-0.93637,0.18428,1.74607,-0.61467,0.39774,0
peptide_nm_15,-0.2793,-0.16517,-0.02454,-0.99007,-0.50047,-0.4524,-1.21633,-1.34473,-0.69435,-0.32014,-1.50049,0.20726,-1.72877,-1.8097,-0.79386,-1.47987,-1.76132,-0.83651,-2.65693,-2.26436,-1.27505,-0.74797,-0.75935,-1.3221,0
peptide_nm_16,0.00846,-0.08999,-0.76208,-0.40109,-1.34599,-0.49344,-0.29139,-1.49096,0.01282,-0.77553,-0.44595,-0.00358,-0.36256,-1.43157,-0.17898,-0.77448,-1.42788,-0.34534,-0.31998,-0.71515,-1.13431,0.33691,0.09439,-0.51039,0
peptide_nm_17,-0.85674,0.13977,0.01519,-1.37914,-0.08811,0.99374,-0.66151,0.87399,0.57458,-1.08884,-0.38613,0.3206,-1.05744,0.66138,0.66697,-1.10363,0.33823,0.14904,-1.04528,-1.04202,-0.32237,0.99451,0.24561,-0.23975,0
peptide_nm_18,-1.55784,-0.20487,-0.05104,-0.3439,-0.78825,0.17612,-0.96345,0.89557,-0.13718,-1.00624,0.61957,-0.30344,-0.56551,0.31829,-0.37644,-1.5908,0.49091,0.02549,-0.76088,-1.24827,0.07135,-2.05847,-0.32236,-0.63612,0
peptide_nm_19,0.19451,-0.09601,-0.80424,0.26791,-1.13192,1.07517,-2.32257,-1.95417,-1.24296,-0.70692,-0.5998,-0.10392,-2.4061,-2.00172,-1.07097,-2.55411,-2.00211,-1.27133,-2.54595,-1.8235,-1.3302,0.1352,-0.1256,0.25427,0
peptide_nm_20,0.18574,-1.43188,0.90723,0.89041,-0.71809,1.76504,1.49213,-0.19398,0.01873,-1.04388,-0.07025,-0.70327,1.5607,-0.19991,0.42524,1.52411,-0.10099,-0.05509,0.1875,1.10704,0.3473,-0.92904,0.57592,0.62039,0
peptide_nm_21,0.09146,-1.39776,-1.18924,0.05306,-1.73401,-1.24921,1.5407,-2.3106,1.18989,1.19252,-2.18755,0.80694,1.51273,-2.47686,1.47225,1.67132,-2.37842,1.32566,1.52305,-2.03632,1.24168,-2.47778,-0.65605,0.12308,0
peptide_nm_22,-0.69877,-0.14835,1.43863,-1.39555,0.28843,0.7482,0.35069,0.82359,1.23379,0.40622,1.78885,-0.82205,0.34904,1.0916,1.07421,0.03074,0.59713,1.0867,-0.58363,0.88083,0.36537,-1.72845,0.5144,0.73986,0
peptide_nm_23,0.38381,-1.92701,-0.33008,-0.09291,-1.23896,-0.25477,-1.85152,-2.4446,-1.17015,-1.65745,-1.41781,-1.27701,-1.60175,-2.30555,-1.29653,-1.49737,-2.27496,-1.20214,0.67872,-0.0262,-0.80791,-1.59929,-0.84586,-0.30952,0
peptide_nm_24,1.3708,0.0499,-0.23909,2.04805,-1.5731,1.05021,-0.36497,-0.71727,1.48367,-0.25866,-0.08532,-0.19512,-0.52516,-0.48474,1.65933,-0.02128,-0.13067,1.22351,1.45878,0.13821,-0.45328,0.52462,-0.88135,1.24554,0
peptide_nm_25,0.86884,0.52096,-2.62976,1.06563,0.48952,-3.79378,1.39768,0.33207,-3.77468,0.78427,-1.43861,-1.97012,1.05498,0.26436,-3.94468,1.22767,0.16093,-3.8854,-2.06691,-1.32795,2.40131,0.6271,0.4445,-0.49167,0
peptide_nm_26,0.81305,-0.95911,0.36856,0.85379,0.77053,0.3394,1.64224,1.30293,-1.60741,-0.46645,1.85407,0.28787,1.45932,1.75633,-2.17266,1.51517,1.08988,-1.23751,-1.17506,0.7324,-0.88169,0.36255,1.92754,-0.23155,0
peptide_nm_27,1.4824,-0.53887,0.19021,0.3893,-0.97948,2.50644,1.48554,-2.09466,2.59334,-1.22725,-1.31722,-0.79171,1.35734,-1.75503,2.74765,1.35486,-2.00199,2.60047,-0.53494,-0.15406,1.67829,1.13585,-0.83393,-0.42325,0
peptide_nm_28,-0.40127,0.34431,1.00314,1.43231,-1.2483,0.41848,1.21423,-1.82067,2.13088,0.42777,1.36576,0.70069,1.46778,-1.83737,1.99724,0.98868,-1.42212,2.3806,0.58492,-0.09405,1.76371,1.35203,-0.2948,0.0622,0
peptide_nm_29,-0.14592,-0.34475,0.25058,-1.21251,-0.18433,0.89084,1.66034,-0.15841,-0.3907,-0.08719,0.61011,0.48546,1.15575,-0.14917,0.43905,2.05648,-0.73443,0.12979,0.63333,-0.85287,0.02434,0.87617,-1.33305,0.34514,0
peptide_nm_30,-0.47823,-1.40345,0.18349,-1.64635,-1.29622,0.17172,-0.87432,0.97798,0.98649,-1.17956,-0.94247,-0.56513,-1.21199,0.66696,0.66737,-1.08771,0.38901,0.69894,-1.55073,-0.67701,-0.38471,-1.23569,-0.14728,0.77373,0
peptide_nm_31,-0.85571,-0.82137,0.66751,-0.12007,0.48276,0.1748,-0.27533,-0.13817,1.13938,0.36809,0.66615,-0.34733,-0.31828,-0.5064,1.00299,-0.12896,-0.61513,1.03623,-0.20066,-0.27487,-0.00834,-0.99347,0.63488,-1.22935,0
peptide_nm_32,-1.65671,0.09683,1.00659,-0.08465,0.02595,1.88987,0.03691,0.94144,-1.13953,0.45344,-0.43566,1.07118,0.70632,1.09278,-1.40667,-0.10712,0.94396,-1.04639,0.0279,0.20434,0.91701,1.77575,0.83755,-2.54851,0
peptide_nm_33,0.26145,0.14322,2.25782,-0.23827,1.00905,-1.43915,-1.10116,-0.06413,-1.89008,0.02121,-0.11686,-0.80416,-1.70749,-0.27262,-1.88699,-0.89679,0.27312,-1.37981,-0.55681,1.27237,0.98673,-0.64263,0.3551,0.40603,0
peptide_nm_34,-0.919,-0.20806,-0.0348,-1.12209,0.57194,0.54331,-0.25062,2.03926,1.39824,2.14809,-2.51806,-0.13149,0.8586,0.79412,0.76695,-0.53747,1.92461,1.19288,1.47854,-0.22085,0.19016,-0.59936,2.11474,1.18479,0
peptide_nm_35,1.57018,-1.25726,0.50136,0.12423,-0.71657,-0.28091,0.8339,-0.83277,0.4374,-0.25812,-1.21901,-2.24731,1.11002,-0.80425,-0.04551,0.9789,-0.86143,0.73217,1.67136,-1.45867,-1.77423,1.11195,-1.71481,0.51141,0
peptide_nm_36,1.67596,-0.34767,1.6519,1.10079,-0.22217,-0.29941,0.75974,-0.76547,-0.11698,-0.90208,0.63615,0.22584,0.81056,-0.75453,0.32538,1.1992,-0.28851,0.59648,-0.25424,1.93836,2.46512,0.28565,0.33152,-0.95567,0
peptide_nm_37,0.08642,0.10192,-0.92694,0.15754,0.49785,0.31433,-0.40968,0.05205,-0.04694,-0.43123,-1.35278,-0.52682,-0.35471,0.07415,-0.01775,-0.56058,0.02135,-0.34952,-1.82851,-0.41934,-0.64496,-0.24667,0.23286,0.55925,0
peptide_nm_38,0.615,-0.0074,-0.25993,1.46538,-0.40649,-0.13738,-1.98104,-1.10272,-0.2192,0.42822,0.25185,0.34285,-1.2283,-1.38962,-0.24064,-1.5247,-1.07019,-0.41551,-1.12188,-0.12156,-0.0891,0.14461,1.6272,-0.52168,0
peptide_nm_39,-0.87397,0.81392,0.82334,-0.22417,-0.48197,-0.99461,-0.87725,-1.59809,-0.87951,0.96911,-0.06214,1.35322,-1.17716,-1.91776,-0.88617,-0.86287,-0.82143,-0.86702,-1.26651,-0.31625,0.00813,-0.54192,1.29628,1.36572,0
peptide_nm_40,-0.72149,0.60131,1.87279,-0.51892,1.10023,2.11318,2.36624,-1.38138,1.24051,-0.97887,-0.64229,0.0175,2.457,-1.6019,1.20912,2.41967,-1.8616,1.22385,0.89374,-0.99999,0.4066,-0.3297,0.81745,0.34486,0
peptide_nm_41,0.09414,0.08653,0.76857,-1.26326,-0.4994,-0.80177,-1.14697,-0.7444,0.63551,-1.40091,-0.32858,-0.15167,-1.43559,-0.88373,0.29741,-0.42711,-0.80851,0.47232,1.71413,-1.009,0.14626,-0.33609,0.71638,0.26354,0
peptide_nm_43,1.25933,0.03456,-0.3632,1.69349,-0.48378,-0.99523,0.80174,-0.74497,-0.5569,-0.65802,0.9359,0.59568,0.55636,-0.67971,-1.00351,1.03937,-0.60705,-1.2227,1.10938,-1.04687,-2.48062,0.01858,-0.38049,0.17106,0
peptide_nm_44,0.5306,1.06884,-0.56639,0.66531,1.35853,-0.67023,0.65159,-0.85661,0.47028,-1.92249,-1.05653,-1.11637,0.22729,-1.43574,0.53982,0.48435,-0.91581,0.01103,-1.80364,-1.20468,-1.34298,0.80043,0.42986,-0.38964,0
peptide_nm_45,0.91964,0.22183,-0.03148,0.36182,-0.83554,0.40797,-0.72562,0.55584,0.86771,0.65574,0.21796,-1.58379,-0.54707,0.52282,0.34042,-0.58895,0.47098,0.81829,-0.77799,-0.34399,-0.54697,-0.06058,-0.4555,-0.59382,0
peptide_nm_46,0.01419,-0.56038,1.10045,0.28434,-0.51973,-0.08949,-0.38062,0.0103,0.49553,0.47724,-0.20426,0.80405,-0.49713,0.34561,0.26741,-0.18912,0.08167,0.60878,0.04893,-0.01499,0.24932,-1.78993,-0.47449,0.55569,0
peptide_nm_47,-0.42483,-0.29632,-0.14801,-0.09635,0.48821,0.83142,0.50147,0.2806,0.28519,-1.45021,-1.00853,0.07443,0.69185,0.14553,0.18563,0.41322,0.11866,0.04935,0.32318,-0.02156,-0.18393,-0.70171,-0.58606,-0.28007,0
peptide_nm_48,1.08617,-0.49631,-0.00995,1.56795,0.42547,-0.69908,0.64155,2.32757,1.12267,0.61743,-0.21495,-0.38933,0.64782,2.62924,0.84125,0.5149,2.11922,1.07392,1.3258,0.38099,0.00048,0.15113,-0.9023,0.63058,0
peptide_nm_49,-0.38803,-0.37435,1.62087,0.51699,-1.7452,1.70555,0.11747,-1.3689,-0.45826,0.63722,-0.76479,0.10848,-0.63586,-0.54571,-0.78569,-0.31199,-0.93436,-0.67227,-0.03975,0.43621,0.42559,0.99509,0.49041,0.17959,0
peptide_nm_50,1.0074,-0.51803,0.28658,1.14131,-0.28354,0.90624,2.13449,-0.99814,1.26533,1.04598,1.17817,-2.22227,2.16916,-1.11004,1.0685,2.03674,-1.19387,0.80838,0.88189,-0.61106,-0.91641,-0.73583,-0.03282,-1.00299,0
peptide_nm_51,1.01505,0.04775,0.16091,0.42389,-0.0026,0.16921,-1.24077,0.75158,1.2261,0.02783,0.0852,0.28089,-1.13933,0.66322,1.44169,-1.10818,0.35033,1.20918,1.01325,0.27083,0.27104,-0.81436,0.04373,-0.0838,0
peptide_nm_52,-0.9017,0.47091,1.9605,0.51963,-0.23185,-0.80396,0.05973,0.0016,1.61219,0.90158,-0.47615,0.77905,0.89805,-0.02074,0.67013,0.42557,0.37457,1.42481,-0.99005,0.53641,0.62395,-0.05314,0.20416,-0.63133,0
peptide_nm_53,-0.41353,-0.07124,-0.56808,-0.77089,0.58131,0.66402,1.06234,0.11477,-0.10926,1.46179,0.4989,0.06495,0.37588,-0.19037,-0.30565,0.05371,-0.11555,-0.50679,-1.23994,-1.24859,-1.03516,0.43075,0.56896,0.16361,0
peptide_nm_54,0.96864,-1.43311,1.74905,-0.4561,1.33021,-0.13307,-0.59993,-0.29428,1.20313,0.75136,-2.64301,1.56123,-1.50921,-0.22138,1.33936,-0.4811,-0.0979,1.65651,1.48245,-0.38671,2.39768,0.33236,-0.25664,0.05723,0
peptide_nm_55,-0.60477,1.25302,1.43078,-0.02926,1.40612,-0.16719,-0.61615,-0.0336,1.44089,-1.51107,-0.51568,1.36427,-0.19834,-0.51563,1.20414,-1.22561,0.29025,1.76222,-0.94395,-0.361,0.93004,0.71198,-0.02208,-0.26621,0
peptide_nm_56,-0.01663,0.32406,-0.0948,0.40122,0.49535,0.85421,-0.16219,1.14815,-0.45193,0.09687,-1.12142,0.22086,-0.161,0.82038,-0.65392,0.25001,1.11043,-0.92534,-0.12912,0.04617,-0.20282,-0.54734,1.69669,1.16178,0
peptide_nm_57,1.55069,-0.51923,0.85665,0.10628,-2.81977,0.82485,0.15317,0.89778,0.93316,0.19138,-0.4862,-0.88119,-0.19356,1.29162,1.32144,0.49397,0.57999,0.73615,-0.04365,0.192,0.58361,1.47309,-0.50364,-0.18271,0
peptide_nm_58,0.65612,0.40558,0.08715,0.30097,0.36644,0.80687,-0.44632,-0.31539,0.74134,-0.67115,0.24042,0.577,-0.66336,-0.75841,0.77453,-0.48229,-0.08663,0.10682,-2.01328,-0.21391,-0.2426,0.61381,0.9959,-2.15629,0
peptide_nm_59,-1.15712,-0.51252,1.41388,-1.56184,0.56811,0.94605,0.65355,-0.09113,-1.20836,-0.30898,-0.46532,0.08435,1.12813,-0.04822,-1.27907,0.30981,-0.22717,-0.97282,-0.63608,-0.4613,-0.05267,-0.92089,0.2827,0.25535,0
peptide_nm_60,0.26856,-0.41544,0.62923,-0.25064,-0.10422,1.20939,-1.27845,0.58034,0.26104,0.56422,0.10937,0.39415,-1.0182,-0.01661,-0.34109,-0.88869,0.31996,0.25645,0.14565,-1.01763,-0.54463,-0.18056,0.78286,0.46728,0
peptide_nm_61,-1.26121,-0.56033,0.10122,-0.52005,0.22218,-0.5475,0.20989,1.21866,-0.09317,0.17907,1.00364,-0.29955,0.27348,1.04992,0.01662,0.42407,0.73451,0.06341,0.66642,-0.03658,0.12288,-0.65335,-0.97758,0.33561,0
peptide_nm_62,1.00182,-0.55273,-0.00256,-0.68503,0.55227,-0.03109,0.77299,-2.15149,1.78372,-0.9964,1.08626,-0.63428,0.62792,-1.8373,1.2814,0.94299,-2.28326,1.73433,-0.65189,-1.49271,0.72778,2.42242,-1.47541,-0.07132,0
peptide_nm_63,2.19173,-1.69793,0.47893,1.47768,-2.04653,0.92579,-0.46468,0.52318,-0.0274,-1.19422,0.03348,1.56933,-0.65209,1.02735,-0.02922,-0.6142,0.62036,0.68512,-0.06413,-0.65403,2.00892,0.45874,-0.19787,-0.0378,0
peptide_nm_64,1.25759,-0.21977,1.13974,-0.06548,-0.02405,0.64336,0.531,0.58393,0.85164,1.16886,-0.54045,1.01202,0.30306,0.41691,0.96213,0.1778,0.79682,1.15117,0.75757,-0.69645,1.22085,-0.36194,0.602,-0.3578,0
peptide_nm_65,1.00881,0.36337,-0.4858,0.38227,-0.51008,-0.79395,-0.31937,1.34652,0.36215,-0.60693,1.21648,0.11798,-0.57762,1.44193,0.67014,-0.74484,1.79123,0.13352,-0.70043,0.30441,-1.20899,0.99844,-0.23476,-1.30932,0
peptide_nm_66,-1.51345,-0.52235,-0.25592,-0.6769,-0.0406,-0.13895,0.47193,0.42664,-1.15152,0.47223,-1.44123,0.22189,-0.14992,0.08543,-1.13597,0.3796,0.26719,-1.40118,-0.44797,-0.77569,-0.88012,1.34522,-0.6313,-0.98539,0
peptide_nm_67,-0.23299,-0.34225,0.31937,-0.9751,-0.14009,0.72128,0.26332,0.0669,-0.6208,-1.16964,0.77378,2.11897,0.37008,-0.14971,-1.1711,0.29475,0.13758,-1.00433,0.1312,0.89758,0.46149,-0.038,1.18183,-0.31163,0
peptide_nm_68,-0.91456,-0.89672,0.24604,-0.08544,-0.44393,0.91059,0.042,-0.35502,-0.80107,0.21438,1.64007,-0.14786,0.83937,-0.32362,-1.34138,0.18863,-0.54441,-1.57553,1.2054,-0.77954,-1.67264,1.22559,-0.17657,-0.77266,0
peptide_nm_69,0.68251,-2.33447,1.24842,0.00193,-0.26306,-0.37971,0.35451,-0.20505,0.92032,0.10405,-1.11591,0.34766,0.42673,-0.25418,0.68365,0.66203,-0.63307,0.98175,0.92417,-1.6586,0.30505,0.61313,0.45555,-0.17714,0
peptide_nm_70,-1.17986,-0.72754,-0.76438,-0.76535,0.38763,0.06901,0.51197,1.21876,-1.61958,2.09581,-1.62336,-0.01682,-0.40146,1.18172,-0.67661,0.88363,0.58142,-1.82858,0.22141,-0.11556,-0.07432,-0.97586,1.50932,-1.54133,0
peptide_nm_71,0.16323,0.59939,-0.5013,0.5305,-0.48946,-1.23416,-0.69855,1.12395,-0.49578,-0.16004,0.80618,-0.50467,-0.39322,0.94228,-0.74746,-0.60713,1.00855,-0.45724,-0.24237,1.59493,-0.52075,-0.30976,1.33836,-0.61802,0
peptide_nm_72,-1.19129,-0.15855,-0.16323,-0.49536,-0.4497,-0.82071,1.04971,2.06904,-0.99818,-1.23714,0.1026,0.3987,1.15637,1.7182,-0.16177,0.75416,1.48384,-0.66437,0.01006,0.4261,-0.43793,-0.23226,-1.02868,0.41676,0
peptide_nm_73,0.04311,0.52471,0.57194,1.59591,-0.55327,0.70253,-0.58509,1.78643,0.43922,1.01094,-0.09051,-1.12155,-0.29948,1.94629,0.87807,-0.89459,2.0472,0.91397,-0.68521,0.7759,0.60586,0.33912,0.53691,-2.62978,0
peptide_nm_74,0.40036,-0.00798,-0.80104,-1.00082,0.72601,-1.77991,-1.20184,-0.28109,-2.98288,1.10622,-0.63407,-1.11776,-0.45121,-0.00996,-3.15428,-0.33269,0.50605,-2.47397,0.24785,0.32072,-1.94734,-2.26357,-2.27596,-1.01059,0
peptide_nm_75,-1.06521,-0.23309,1.86022,-0.6452,0.99148,-0.83406,-1.54929,-0.11488,1.76334,-2.8064,-0.85232,-0.41456,-1.34634,-1.07084,1.43234,-2.6278,-0.71619,1.73049,-2.39097,-1.23034,0.21957,-0.34967,0.91758,0.72695,0
peptide_nm_76,-2.35117,-1.93479,0.04905,-2.04838,-1.4505,-1.00049,-1.99874,-1.26666,0.45365,0.16848,1.71656,-0.17493,-1.87961,-0.66118,-0.29887,-2.34695,-0.99598,0.05986,-0.10016,-0.40188,-0.01187,1.09952,-2.57616,1.15704,0
peptide_nm_77,0.60592,-0.68681,0.48937,0.54014,0.73295,1.33752,0.39597,-0.50121,0.25333,-2.78281,-1.17184,0.10359,0.29191,-0.33332,0.03059,-0.28211,-0.18176,0.37437,-0.59192,0.45673,1.68642,0.27357,0.37189,-1.24803,0
peptide_nm_78,0.6442,-1.0882,0.54764,1.36058,-1.89779,1.07071,0.51108,-0.0392,-0.72123,-0.08177,-0.42402,-1.157,0.15248,0.62392,-0.99217,0.31041,0.23712,-0.60204,0.67187,-0.13039,0.73855,-0.23303,0.29381,-0.98464,0
peptide_nm_79,-0.56813,0.35205,1.06064,-0.78583,0.37644,0.04016,-0.12476,-0.0066,-0.27127,0.63774,-0.3911,1.23482,-0.39088,-0.46747,-0.17773,0.16851,-0.09789,0.1924,-0.58049,-1.76268,0.28837,1.33283,0.40619,-0.47675,0
peptide_nm_80,2.29206,-1.72359,1.63036,0.91701,-1.66735,-0.38332,0.42065,0.66952,-0.15191,1.70082,-0.26228,-1.37128,0.60774,0.73828,-0.11516,0.42293,0.38637,0.52223,1.20676,0.20223,1.19677,0.12349,0.10635,-0.38205,0
peptide_nm_81,-0.04071,-0.33401,0.34916,0.14105,0.01793,-0.11869,0.15723,-0.01092,-0.05651,0.00266,-0.12116,-0.94944,0.15239,-0.28223,-0.20778,-0.37557,0.14349,-0.03319,-0.32991,-0.38705,0.26714,-0.16683,-0.35133,0.32836,0
peptide_nm_82,-0.19381,0.42721,-0.20584,-0.60369,0.51209,1.03534,-1.2999,0.87099,0.58013,0.69771,-1.3161,-0.07407,-1.14468,0.67783,0.2002,-1.1674,0.81261,0.14253,-0.70719,0.69874,-0.70975,0.29639,0.89379,-0.08495,0
peptide_nm_83,-0.89576,-0.51923,0.32762,-0.89488,0.61458,1.01537,-0.84025,-0.08675,0.72861,-0.33736,-0.91601,0.295,-1.1767,0.03388,0.86959,-1.05914,-0.22688,0.2644,-0.97517,0.5512,0.37819,-0.71649,-1.04918,1.20154,0
peptide_nm_84,0.50383,-0.71655,0.69144,0.76958,-1.73097,2.41938,-1.26177,-1.71624,-1.67317,0.02817,0.76052,0.72532,-0.96396,-1.80043,-1.51306,-1.17965,-1.64566,-1.52006,0.24926,-0.10817,-0.09804,0.23235,0.51313,-0.19979,0
peptide_nm_85,-0.43625,-0.22215,-1.61687,-0.48178,0.48376,0.5641,0.74746,-0.61209,-0.20229,0.90384,0.52874,-1.78081,0.97562,-0.38362,-0.40555,0.23433,-0.68334,-0.89419,-1.29178,-0.09799,-0.95746,-1.11591,0.81913,0.13814,0
peptide_nm_86,0.81317,-0.18802,-0.20366,0.92741,-0.68315,1.41403,0.11016,0.59514,-0.34124,0.48054,0.69899,-0.2417,0.01286,0.9,-0.01495,-0.03861,0.53962,-0.24793,0.69103,0.28446,-1.211,0.25115,0.01334,-0.05229,0
peptide_nm_87,0.71549,0.13599,-0.72511,1.05485,-0.42237,0.27269,-1.10798,-0.81902,-0.51894,-0.66198,-0.51877,0.03341,-1.14127,-0.99027,-0.55,-1.16538,-0.66628,-0.65441,-0.90344,-0.02375,-0.90177,-0.9388,0.33238,-0.51655,0
peptide_nm_88,0.359,0.76045,-0.75914,0.43888,1.09817,0.31015,1.17998,0.40098,1.42802,-0.01051,-0.32811,0.01764,1.10271,0.47368,1.0262,1.28816,0.59969,0.13687,0.63833,0.61613,-0.18831,-1.28042,0.83557,-0.1612,0
peptide_nm_89,-0.16767,-1.51739,-1.00992,-2.25098,-0.44249,0.16546,-0.09096,0.43249,-0.27528,-1.21761,-0.15584,0.20064,-0.25477,0.64728,-0.33811,0.23706,0.17917,0.29054,-1.02177,-0.49537,0.33231,0.10559,0.751,-0.50241,0
peptide_nm_90,-0.17574,-0.26196,-0.30095,-0.29692,0.37903,0.2047,0.02167,0.42743,1.87347,-1.1108,1.59856,1.20922,-0.44688,0.64271,2.50179,-0.11261,0.24252,1.83597,0.12068,0.52198,1.64893,-0.09345,-1.02743,-0.03277,0
peptide_nm_91,0.32756,-1.72889,1.47034,0.06719,-2.13775,-0.06499,0.14687,-0.96062,-0.66646,0.79416,0.29656,-1.08705,0.79448,-1.61132,-0.98875,-0.05412,-0.69991,-0.11367,1.05528,-1.23354,-1.58375,-0.09885,0.42804,0.31643,0
peptide_nm_92,0.82184,0.02699,-1.28799,0.38778,-0.88556,0.56025,-0.48419,0.64354,-0.81906,0.27494,-1.08173,-0.00538,-0.86602,0.33299,-0.37452,-0.4899,0.49565,-0.91679,0.51016,-0.50295,-0.39122,0.47549,0.254,-0.05126,0
peptide_nm_93,-0.30423,-0.9121,-0.10088,-0.09936,-0.27764,-0.12101,-0.50463,0.30051,0.64052,-0.53575,1.12731,0.41678,-0.56425,0.2913,0.41976,-0.52024,0.41384,1.82432,-0.1814,0.74445,2.02944,-0.35748,0.111,1.02727,0
