,ABHPRK__1,ABHPRK__2,ABHPRK__3,ABHPRK__4,ABHPRK__5,ABHPRK__6,ABHPRK__7,ABHPRK__8,ABHPRK__9,ABHPRK__10,ABHPRK__11,ABHPRK__12,ABHPRK__13,ABHPRK__14,ABHPRK__15,ABHPRK__16,ABHPRK__17,ABHPRK__18,ABHPRK__19,ABHPRK__20,ABHPRK__21,ABHPRK__22,ABHPRK__23,ABHPRK__24,ABHPRK__25,ABHPRK__26,ABHPRK__27,ABHPRK__28,ABHPRK__29,ABHPRK__30,ABHPRK__31,ABHPRK__32,ABHPRK__33,ABHPRK__34,ABHPRK__35,ABHPRK__36,ABHPRK__37,ABHPRK__38,ABHPRK__39,ABHPRK__40,ABHPRK__41,ABHPRK__42,ABHPRK__43,ABHPRK__44,ABHPRK__45,ABHPRK__46,ABHPRK__47,ABHPRK__48,ABHPRK__49,ABHPRK__50,ABHPRK__51,ABHPRK__52,ABHPRK__53,ABHPRK__54,ABHPRK__55,ABHPRK__56,ABHPRK__57,ABHPRK__58,ABHPRK__59,ABHPRK__60,ABHPRK__61,ABHPRK__62,ABHPRK__63,ABHPRK__64,ABHPRK__65,ABHPRK__66,ABHPRK__67,ABHPRK__68,ABHPRK__69,ABHPRK__70,ABHPRK__71,ABHPRK__72,ABHPRK__73,ABHPRK__74,ABHPRK__75,ABHPRK__76,ABHPRK__77,ABHPRK__78,ABHPRK__79,ABHPRK__80,ABHPRK__81,ABHPRK__82,ABHPRK__83,ABHPRK__84,ABHPRK__85,ABHPRK__86,ABHPRK__87,ABHPRK__88,ABHPRK__89,ABHPRK__90,ABHPRK__91,ABHPRK__92,ABHPRK__93,ABHPRK__94,ABHPRK__95,ABHPRK__96,ABHPRK__97,ABHPRK__98,ABHPRK__99,ABHPRK__100,ABHPRK__101,ABHPRK__102,ABHPRK__103,ABHPRK__104,ABHPRK__105,y
peptide_nm_11,-0.80945,-0.27412,-0.26509,-0.27205,-0.2865,0.0,-0.37377,-0.34299,-0.398,-0.3016,0.0,-0.53423,-0.57968,-0.51852,-0.5091,-0.80945,-0.58435,-0.51323,-0.56241,-0.55338,0.0,-0.3358,-0.34174,-0.32283,-0.34322,0.0,-0.22455,-0.2196,-0.18725,-0.19945,-0.16886,-0.61025,-0.46484,-0.52199,-0.56203,0.0,0.17289,-0.80433,0.64017,-0.71736,-0.16886,0.06116,1.76774,0.21241,1.16946,0.0,1.1886,3.05153,-0.52744,2.03264,0.0,-0.21618,-0.26458,-0.29822,-0.25081,-1.43975,-1.14177,-0.93502,-1.11044,-1.09453,0.0,0.24942,-0.86227,-0.49929,-0.05345,-0.92589,0.86573,-0.61669,0.8026,-0.61326,0.0,-0.45258,-0.4388,-0.39194,-0.39872,2.41423,2.29797,2.59664,2.75733,3.02177,4.93319,3.04578,3.40329,2.45665,4.40647,0.0,-0.44684,-0.48466,-0.51158,-0.42325,1.94158,2.13491,1.53344,-0.39474,1.80426,0.0,-0.26043,-0.33045,-0.26815,-0.25203,-0.7232,-0.13961,-0.14919,-0.2037,-0.18655,0
peptide_nm_12,0.89577,0.89954,-0.26509,0.90272,-0.2865,0.0,-0.37377,1.39749,-0.398,-0.3016,0.0,0.37822,0.36688,1.67016,1.71946,0.89577,0.7327,1.60248,0.11138,-0.55338,0.0,1.11301,-0.34174,-0.32283,1.39047,0.0,-0.22455,-0.2196,-0.18725,-0.19945,-0.47564,-0.61025,-0.46484,-0.52199,-0.56203,0.0,-0.85407,-0.41599,-0.20504,0.00471,-0.47564,0.01806,0.41777,0.07098,-0.47106,0.0,-0.54307,0.31883,1.37174,-0.43713,0.0,-0.21618,-0.26458,-0.29822,-0.25081,-0.88325,-0.40273,-0.10717,-0.78354,-0.80199,0.0,-0.31066,-0.5494,-0.10563,0.77846,0.42221,0.06055,-0.00042,-0.63015,0.76298,0.0,-0.45258,-0.4388,-0.39194,-0.39872,1.03951,0.65264,1.16434,0.66796,0.027,-0.03668,1.00731,0.47593,1.3209,-0.03505,0.0,-0.44684,-0.48466,-0.51158,-0.42325,0.35269,-0.35851,-0.37466,-0.39474,1.4048,0.0,-0.26043,-0.33045,-0.26815,-0.25203,-0.7232,-0.13961,-0.14919,-0.2037,-0.18655,0
peptide_nm_13,0.71937,-0.27412,-0.26509,0.76717,-0.2865,0.0,1.10404,1.2041,-0.398,-0.3016,0.0,0.28046,0.26171,-0.51852,-0.5091,0.71937,1.17955,1.3674,1.22574,0.06086,0.0,0.95778,-0.34174,1.43928,1.18242,0.0,-0.22455,-0.2196,-0.18725,-0.19945,-0.02076,-0.08316,0.23277,0.45453,-0.16374,0.0,-0.41394,-0.80433,-0.85519,-0.08194,-0.02076,0.83088,1.30621,1.21334,0.592,0.0,0.19907,-0.49359,0.31258,-0.43713,0.0,-0.21618,-0.26458,-0.29822,-0.25081,-1.80436,-1.14177,-0.93502,-1.11044,-1.09453,0.0,-0.46497,-0.67687,-0.79778,-0.4195,-0.52301,-0.68269,-0.06889,-0.63015,-0.00771,0.0,-0.45258,-0.4388,-0.39194,-0.39872,1.84538,2.03087,2.16467,1.77882,1.47689,0.52641,0.24568,-0.23964,0.44725,-0.1192,0.0,-0.44684,-0.48466,0.6552,0.71903,-0.1678,-0.35851,0.40271,-0.39474,-0.39275,0.0,-0.26043,-0.33045,-0.26815,-0.25203,-0.0537,-0.13961,-0.14919,-0.2037,-0.18655,0
peptide_nm_14,0.35728,-0.27412,1.39549,-0.27205,-0.2865,0.0,-0.37377,-0.34299,-0.398,-0.3016,0.0,0.73306,-0.57968,-0.51852,1.12518,0.35728,-0.58435,1.47802,-0.56241,0.47034,0.0,-0.3358,-0.34174,-0.32283,-0.34322,0.0,-0.22455,-0.2196,-0.18725,-0.19945,-0.55637,-0.61025,-0.46484,-0.52199,0.10178,0.0,-0.85407,-0.25609,0.07941,-0.71736,-0.55637,-0.29804,0.08181,-0.19422,0.34451,0.0,-0.54307,-0.49359,-0.52744,-0.43713,0.0,-0.21618,-0.26458,-0.29822,-0.25081,-0.64893,-0.62855,-0.93502,-1.11044,-1.09453,0.0,0.24942,-0.61688,-0.98434,0.208,-0.92589,-0.68269,-0.61669,-0.63015,-0.61326,0.0,-0.45258,1.23311,1.82182,-0.39872,-0.07473,-0.61044,0.50235,0.28388,0.2955,-0.74667,-0.87435,-0.8121,-0.80863,-0.73634,0.0,1.38893,-0.48466,-0.51158,-0.42325,-1.23619,-0.35851,-0.37466,-0.39474,-0.39275,0.0,-0.26043,-0.33045,-0.26815,-0.25203,0.29866,-0.13961,-0.14919,-0.2037,-0.18655,0
peptide_nm_15,-0.32754,-0.27412,-0.26509,-0.27205,-0.2865,0.0,1.50708,-0.34299,-0.398,-0.3016,0.0,-0.53423,-0.57968,-0.51852,-0.5091,-0.32754,0.16397,-0.51323,-0.56241,-0.55338,0.0,-0.3358,-0.34174,-0.32283,-0.34322,0.0,-0.22455,-0.2196,-0.18725,-0.19945,-0.70238,-0.61025,-0.46484,-0.52199,-0.56203,0.0,-0.85407,-0.36052,-0.85519,-0.71736,-0.70238,-0.42866,-0.72451,-0.87193,-0.40445,0.0,-0.54307,0.43489,-0.52744,-0.43713,0.0,-0.21618,-0.26458,-0.29822,-0.25081,-1.60912,-1.14177,-0.46196,-1.11044,-1.09453,0.0,-1.20534,-0.82254,-0.49929,-0.12226,-0.41791,-0.68269,-0.61669,-0.63015,0.18351,0.0,-0.45258,-0.4388,1.37907,-0.39872,-0.59819,-0.08164,-0.12181,-1.12952,-1.1633,0.85851,-0.1616,0.65994,0.00769,-0.73634,0.0,1.05515,-0.48466,-0.51158,1.07975,0.11091,-0.35851,-0.37466,0.57087,0.64794,0.0,-0.26043,-0.33045,2.30829,-0.25203,1.80924,-0.13961,-0.14919,-0.2037,2.9827,0
peptide_nm_16,2.69074,-0.27412,1.39549,4.79411,-0.2865,0.0,-0.37377,-0.34299,-0.398,-0.3016,0.0,3.26764,0.75665,1.05459,2.75946,2.69074,0.33027,3.46927,3.31192,0.47034,0.0,1.67644,2.31234,2.5406,-0.34322,0.0,4.37363,3.83126,-0.18725,8.72623,-1.39597,-0.61025,-0.46484,-0.52199,-0.56203,0.0,-0.85407,-0.80433,-0.85519,-0.71736,-1.39597,-1.01644,-0.72451,-0.87193,-0.89291,0.0,-0.54307,-0.49359,-0.52744,-0.43713,0.0,-0.21618,-0.26458,-0.29822,-0.25081,-0.64893,-0.11533,-0.35065,-0.17059,-0.2364,0.0,0.24942,0.46282,-0.17593,0.208,-0.92589,0.34959,0.25334,-0.63015,-0.61326,0.0,-0.45258,-0.4388,1.82182,-0.39872,1.05398,0.63602,0.50235,1.60894,0.2955,1.19644,-0.00321,0.0971,1.23217,0.29222,0.0,3.22469,2.85831,-0.51158,3.38435,-0.14906,-0.35851,-0.37466,-0.39474,-0.39275,0.0,2.34646,-0.33045,-0.26815,-0.25203,1.32053,-0.13961,-0.14919,-0.2037,-0.18655,0
peptide_nm_17,-0.36011,0.12782,-0.26509,-0.27205,-0.2865,0.0,-0.37377,-0.34299,-0.398,-0.3016,0.0,-0.53423,-0.57968,-0.51852,-0.5091,-0.36011,-0.13331,-0.51323,-0.56241,-0.33401,0.0,-0.3358,-0.34174,-0.32283,-0.34322,0.0,0.90925,1.69331,0.8451,-0.19945,-0.42589,-0.40808,-0.46484,-0.34319,-0.27754,0.0,-0.34762,-0.41599,-0.43397,-0.26348,-0.42589,-0.30788,0.03701,-0.26103,-0.49517,0.0,-0.54307,-0.49359,-0.52744,-0.43713,0.0,1.64081,0.3632,1.04518,1.62824,-1.0863,-0.38249,-0.65907,-0.68685,-0.63482,0.0,-0.60002,-0.42194,-0.33533,-0.52035,-0.45223,-0.17362,-0.61669,-0.63015,-0.18073,0.0,0.22068,0.35071,0.60581,0.93576,0.29642,0.19777,0.3203,0.01016,-0.06151,0.00169,-0.44475,-0.38276,-0.11878,-0.29553,0.0,2.26909,1.48862,1.62477,1.61654,-0.39881,0.05137,-0.37466,-0.39474,-0.11028,0.0,-0.26043,-0.33045,0.45761,0.42198,2.42524,5.33036,4.03747,1.47203,2.39412,0
peptide_nm_18,1.74838,-0.27412,2.30125,2.42991,-0.2865,0.0,-0.37377,-0.34299,-0.398,-0.3016,0.0,3.26764,1.48555,1.99846,4.93849,1.74838,0.78757,2.56416,0.98732,-0.55338,0.0,-0.3358,3.76001,-0.32283,-0.34322,0.0,-0.22455,-0.2196,-0.18725,-0.19945,-1.39597,-0.61025,-0.46484,-0.52199,-0.56203,0.0,-0.85407,-0.80433,-0.85519,-0.71736,-1.39597,-1.01644,-0.72451,-0.87193,-0.89291,0.0,-0.54307,-0.49359,-0.52744,-0.43713,0.0,-0.21618,-0.26458,-0.29822,-0.25081,-0.88325,-0.37194,-0.03191,-0.35856,-1.09453,0.0,0.24942,-0.86227,-0.49929,1.25384,-0.92589,0.86573,-0.61669,0.8026,1.06882,0.0,-0.45258,-0.4388,-0.39194,-0.39872,1.31446,1.05151,1.36895,1.34393,-0.00742,0.6733,-0.87435,0.59303,-0.80863,-0.73634,0.0,-0.44684,-0.48466,-0.51158,-0.42325,-0.44175,-0.35851,-0.37466,-0.39474,-0.39275,0.0,-0.26043,-0.33045,-0.26815,-0.25203,-0.7232,-0.13961,-0.14919,-0.2037,-0.18655,0
peptide_nm_19,-0.22609,-0.27412,-0.26509,-0.27205,-0.2865,0.0,-0.37377,-0.34299,-0.398,-0.3016,0.0,-0.53423,-0.57968,-0.51852,-0.5091,-0.22609,-0.58435,-0.51323,-0.56241,-0.55338,0.0,-0.3358,-0.34174,-0.32283,-0.34322,0.0,-0.22455,3.83126,-0.18725,4.26339,0.28323,0.20966,0.64313,0.27143,0.10178,0.0,-0.16943,-0.25609,-0.85519,-0.71736,0.28323,1.13876,0.88812,0.4835,0.34451,0.0,-0.54307,-0.49359,-0.52744,-0.43713,0.0,-0.21618,-0.26458,2.68245,4.13363,-0.26816,-0.11533,-0.35065,-0.17059,-0.66547,0.0,0.24942,0.46282,0.63249,0.99238,-0.92589,-0.68269,-0.61669,-0.63015,-0.61326,0.0,-0.45258,-0.4388,-0.39194,-0.39872,-0.45097,0.22053,0.10515,0.28388,-0.15888,-0.74667,-0.87435,-0.8121,-0.80863,-0.73634,0.0,-0.44684,1.18683,1.38443,3.38435,-1.23619,-0.35851,-0.37466,-0.39474,-0.39275,0.0,-0.26043,-0.33045,-0.26815,-0.25203,1.32053,-0.13961,5.76139,-0.2037,-0.18655,0
peptide_nm_20,1.52401,1.35596,1.39549,1.41667,-0.2865,0.0,-0.37377,2.11415,-0.398,4.1829,0.0,2.00035,-0.57968,1.05459,1.12518,1.52401,0.33027,1.47802,0.40617,1.49406,0.0,-0.3358,-0.34174,-0.32283,-0.34322,0.0,-0.22455,-0.2196,-0.18725,-0.19945,-0.13657,-0.61025,0.64313,-0.52199,-0.56203,0.0,-0.85407,-0.80433,0.07941,-0.71736,-0.13657,0.42036,1.69444,-0.19422,0.34451,0.0,-0.54307,-0.49359,-0.52744,-0.43713,0.0,-0.21618,-0.26458,-0.29822,-0.25081,-1.02969,-1.14177,-0.93502,-1.11044,-0.66547,0.0,-1.08411,-1.15673,0.63249,0.208,-0.92589,-0.68269,-0.61669,-0.63015,-0.61326,0.0,-0.45258,1.23311,-0.39194,-0.39872,0.67775,0.22053,0.89954,-0.15781,1.20426,0.22489,-0.87435,-0.8121,-0.80863,-0.73634,0.0,-0.44684,-0.48466,1.38443,1.48055,-0.69263,-0.35851,-0.37466,-0.39474,-0.39275,0.0,-0.26043,-0.33045,-0.26815,-0.25203,0.29866,-0.13961,-0.14919,-0.2037,-0.18655,0
