,SEP_A,SEP_C,SEP_D,SEP_E,SEP_F,SEP_G,SEP_H,SEP_I,SEP_K,SEP_L,SEP_M,SEP_N,SEP_P,SEP_Q,SEP_R,SEP_S,SEP_T,SEP_V,SEP_W,SEP_Y,y
peptide_nm_11,1.28659,0.51032,0.77128,0.80409,1.02697,-0.4017,0.57191,1.18466,-0.76322,-0.59681,0.53568,-1.39891,0.85284,-1.46558,0.92323,-0.71407,-1.02009,1.22158,0.65087,-3.54227,0
peptide_nm_12,-0.75903,0.51032,-1.14022,-1.03938,-1.21676,-0.4017,-0.96347,1.18466,0.48592,0.24069,-1.22436,-0.62447,0.85284,0.65443,-0.69944,-1.17593,-1.51798,1.22158,0.65087,0.65328,0
peptide_nm_13,0.32931,0.51032,-1.01279,-0.91648,-0.02302,-1.07157,-1.68451,1.18466,-0.35751,0.99444,0.53568,0.72336,-0.27159,-1.32425,-0.59126,-1.0511,-1.75347,0.16656,0.65087,0.65328,0
peptide_nm_14,-1.40861,0.51032,-0.7311,-0.64481,1.02697,-0.02682,0.57191,1.18466,-0.37353,-0.62903,-1.64249,-1.82337,-0.64639,0.65443,0.92323,-0.33334,-0.60967,-0.18511,0.65087,0.65328,0
peptide_nm_15,-0.89578,0.51032,-0.55001,0.80409,-0.20427,-1.75988,-2.02382,1.18466,-0.18135,2.07674,0.53568,-0.74361,-1.71058,0.65443,0.92323,1.06474,-1.16139,-0.70006,0.65087,0.65328,0
peptide_nm_16,1.28659,0.51032,-1.52252,-2.25542,1.02697,-0.02682,-1.32823,-0.19868,1.45213,-0.62903,0.53568,0.72336,-1.43617,-1.01182,0.92323,-0.33334,-0.60967,-0.18511,0.65087,-1.14367,0
peptide_nm_17,-0.69065,0.51032,0.20789,-0.10794,0.14573,-0.05141,-0.62416,0.3139,-0.523,1.16838,-0.8354,-1.23509,-1.99838,0.02959,0.92323,-1.488,-0.36072,-0.6247,0.04591,-0.02058,0
peptide_nm_18,1.28659,-1.4016,-2.01213,-1.03938,1.02697,-0.4017,0.57191,1.18466,1.45213,-1.0671,0.53568,-1.39891,0.85284,-1.46558,0.92323,-1.52545,0.89747,1.22158,0.65087,-1.63301,0
peptide_nm_19,-1.40861,0.51032,0.77128,-0.64481,1.02697,1.34979,0.57191,-0.19868,-0.78991,0.63367,-2.78992,-0.94467,-1.43617,-1.01182,-0.35213,1.06474,0.89747,-0.92613,0.65087,0.65328,0
peptide_nm_20,-0.66216,0.51032,-0.7311,-1.9126,1.02697,-0.752,0.57191,1.18466,0.25638,0.63367,0.53568,-1.82337,-0.64639,0.65443,-1.02398,1.06474,0.89747,-1.41596,0.65087,-1.14367,0
peptide_nm_21,-0.71914,0.51032,0.77128,0.80409,1.02697,-1.29896,0.57191,1.18466,1.45213,-1.02845,-1.72028,-1.89783,0.85284,0.65443,0.92323,-1.13224,-2.00242,-0.23535,0.65087,0.65328,0
peptide_nm_22,0.01022,0.51032,-1.52252,0.80409,1.02697,-1.87665,0.57191,-0.9274,0.25638,0.63367,0.53568,-0.94467,0.85284,0.65443,0.92323,-0.33334,-0.60967,-0.92613,-0.96235,0.65328,0
peptide_nm_23,-0.71914,0.51032,-1.58959,-0.69656,-0.42301,-0.07599,0.57191,1.18466,-0.42691,2.07674,0.53568,0.72336,0.85284,0.65443,0.92323,-1.62531,-2.00242,-0.98893,0.65087,-1.20784,0
peptide_nm_24,-0.71914,0.51032,0.77128,-1.47276,-0.42301,1.34979,0.57191,-0.98916,1.45213,-0.19095,0.53568,0.72336,0.85284,-1.96397,-0.39768,-1.62531,-0.66349,-0.23535,0.65087,-1.20784,0
peptide_nm_25,1.28659,0.51032,-2.34078,0.80409,1.02697,1.34979,0.57191,1.18466,1.45213,2.07674,0.53568,0.72336,-2.25271,0.65443,-1.7186,1.06474,0.89747,1.22158,0.65087,-3.5904,0
peptide_nm_26,1.28659,0.51032,-2.68954,-1.7897,-0.67301,1.34979,0.57191,-0.49511,1.45213,0.32444,0.53568,-1.30211,0.85284,0.65443,0.92323,-0.63293,0.89747,-0.48654,-1.30804,-1.52873,0
peptide_nm_27,1.28659,0.51032,-1.91824,0.80409,-0.67301,-0.32181,0.57191,-1.29176,-0.68848,2.07674,0.53568,0.72336,-0.96766,-1.36888,0.92323,-1.43807,-1.80057,1.22158,0.65087,0.65328,0
peptide_nm_28,-0.03537,0.51032,-0.78475,0.80409,1.02697,-0.07599,0.57191,-0.24808,-0.42691,-0.69989,-1.72028,-1.89783,-0.69994,0.65443,0.92323,-1.13224,0.89747,-1.48504,0.65087,0.65328,0
peptide_nm_29,-0.03537,0.51032,-1.58959,-1.47276,1.02697,1.34979,0.57191,-0.24808,-1.12088,0.58213,0.53568,-1.00424,0.85284,-1.07133,-1.08091,-0.38327,-0.66349,1.22158,0.65087,-1.20784,0
peptide_nm_30,-0.8502,-1.1668,-0.90548,0.80409,-0.53551,-0.95481,0.57191,1.18466,1.45213,0.46617,0.53568,-2.0691,-0.82041,0.65443,-1.21187,1.06474,-1.62564,1.22158,0.65087,-1.35224,0
peptide_nm_31,0.43187,-0.49595,-1.30119,0.80409,-0.47301,-0.88106,0.57191,-1.05709,-0.48563,0.53059,0.53568,0.72336,-1.2153,0.65443,0.06919,-0.86386,-1.18157,-0.28559,0.65087,-0.55003,0
peptide_nm_32,-0.41714,-1.49552,0.77128,-1.12994,1.02697,-1.29896,0.57191,1.18466,-0.14399,0.15049,0.53568,-2.48611,-1.14837,0.65443,0.92323,1.06474,0.89747,-0.6561,0.65087,-1.74532,0
peptide_nm_33,-1.69351,0.51032,-1.14022,-1.03938,1.02697,1.34979,0.57191,-0.57539,-0.06925,-0.59681,0.53568,0.72336,0.85284,-1.46558,-0.69944,1.06474,0.89747,-0.56818,0.65087,0.65328,0
peptide_nm_34,1.28659,0.51032,-1.91824,0.80409,1.02697,1.34979,0.57191,1.18466,1.45213,-0.50662,0.53568,0.72336,0.85284,0.65443,0.92323,1.06474,-2.62815,-2.01883,0.65087,0.65328,0
peptide_nm_35,-0.8502,-1.1668,-2.58223,0.80409,1.02697,-0.18661,0.57191,1.18466,0.11759,0.46617,0.53568,0.72336,-0.82041,0.65443,-0.50017,-0.49562,-1.62564,1.22158,0.65087,-1.35224,0
peptide_nm_36,1.28659,0.51032,-1.23412,-1.98375,-0.84176,1.34979,0.57191,-1.47703,1.45213,2.07674,0.53568,-1.50316,0.85284,0.65443,-0.77915,-2.05597,-1.11429,1.22158,0.65087,0.65328,0
peptide_nm_37,-0.67356,-0.28128,-0.9256,0.04083,0.28948,-0.97939,0.57191,-0.68655,0.41652,-0.36489,-1.35077,-1.53295,-0.4456,0.65443,0.25139,-0.51434,-0.40782,-0.68122,0.65087,0.65328,0
peptide_nm_38,-0.29748,-2.22674,-0.40916,-2.11312,1.02697,0.26816,0.57191,0.09775,0.51261,0.28578,-1.17574,0.72336,0.85284,-0.65477,-0.07884,-1.48176,-0.97299,1.22158,0.65087,-0.75861,0
peptide_nm_39,0.01022,0.51032,-0.7311,-1.40807,1.02697,-0.02682,-1.32823,-0.19868,0.25638,-0.12653,-1.64249,-2.4042,-0.64639,0.65443,0.92323,1.06474,0.89747,-1.41596,0.65087,-1.14367,0
peptide_nm_40,-0.75903,-0.70391,-1.63654,-2.15193,-0.10427,-0.85648,-2.47341,0.06688,1.45213,2.07674,0.53568,0.72336,-1.05467,-0.69196,0.92323,-0.71407,-0.32035,1.22158,0.65087,0.65328,0
peptide_nm_41,0.30652,0.51032,-1.91824,-1.42748,-0.67301,1.34979,0.57191,0.12246,-0.68848,-0.14585,-2.10924,0.72336,-0.29836,-0.62501,-1.04106,-0.63293,0.89747,1.22158,0.65087,-0.72652,0
peptide_nm_43,-0.41714,0.51032,-1.23412,0.80409,-1.66675,-0.48774,-1.96444,1.18466,1.45213,2.07674,0.53568,0.72336,-1.14837,0.65443,-1.53071,1.06474,0.89747,-0.6561,-1.50249,-1.74532,0
peptide_nm_44,-1.45989,0.51032,-2.11945,0.80409,-1.17301,1.34979,-2.41403,1.18466,1.45213,-0.19095,-1.72028,0.72336,-0.69994,-1.96397,0.92323,1.06474,0.89747,-0.23535,0.65087,0.65328,0
peptide_nm_45,-0.95846,0.51032,-1.01279,-0.91648,-0.02302,0.31733,-0.8532,-1.24853,0.55532,0.36309,-1.09795,0.72336,-1.7842,-1.32425,-0.03329,0.01618,0.89747,-0.44886,0.65087,0.65328,0
peptide_nm_46,-0.77612,0.51032,-1.45545,-1.12994,0.41448,-0.24806,-1.26037,-0.421,-0.48029,0.15049,-0.41727,-0.0064,0.19692,-1.27961,0.36526,-0.80144,0.2381,-0.13487,0.65087,-0.13289,0
peptide_nm_47,0.22674,0.51032,-1.45545,-0.77418,1.02697,0.20671,0.57191,-0.86564,-0.92336,-0.48085,-0.56313,-1.45104,0.85284,-0.18613,-0.7393,-0.45817,0.13717,0.05352,0.65087,-0.25322,0
peptide_nm_48,-1.07812,0.51032,-1.14022,0.80409,1.02697,-0.4017,0.57191,-0.57539,-0.76322,0.24069,0.53568,-1.39891,0.85284,0.65443,0.92323,-1.52545,-1.02009,-0.56818,0.65087,0.65328,0
peptide_nm_49,-0.8502,0.51032,-1.74385,-2.43007,1.02697,-0.18661,0.57191,-0.35924,1.45213,0.46617,0.53568,-1.13828,0.85284,0.65443,-1.21187,1.06474,0.89747,-1.13337,0.65087,0.65328,0
peptide_nm_50,0.12988,-0.8515,-1.33473,-0.50898,-0.24177,-1.05928,0.57191,1.18466,0.36848,-0.44864,0.53568,0.72336,-1.24876,-0.85561,-0.86456,-0.20227,-1.21521,1.22158,0.65087,-0.9752,0
peptide_nm_51,-0.29748,0.51032,0.77128,-0.9941,-0.71051,0.26816,-0.92106,0.09775,1.45213,-0.55172,0.53568,-1.34679,0.85284,-2.70039,-1.39976,1.06474,-1.47089,1.22158,0.65087,0.65328,0
peptide_nm_52,-0.71914,0.51032,-0.78475,-0.69656,-1.17301,-0.81346,0.57191,-1.79199,-0.42691,-0.69989,0.53568,0.72336,0.85284,0.65443,-0.39768,1.06474,0.89747,1.22158,0.65087,0.65328,0
peptide_nm_53,0.19825,-0.771,0.77128,-1.12994,-0.84176,0.17598,-2.60913,0.00512,1.45213,-0.33912,-1.3216,0.72336,-0.42552,0.65443,-0.16424,-0.80144,-1.11429,-0.6561,0.65087,-0.87894,0
peptide_nm_54,-1.722,0.51032,0.77128,-1.12994,-0.84176,1.34979,0.57191,-0.66185,-0.84863,-0.69989,0.53568,0.72336,0.85284,0.65443,0.92323,-0.80144,0.89747,1.22158,0.65087,0.65328,0
peptide_nm_55,-1.23197,0.51032,-1.66337,0.80409,-0.47301,-0.12515,-1.46396,1.18466,1.45213,-0.77076,0.53568,0.72336,-1.57672,0.65443,0.92323,-0.4332,-1.5449,-0.28559,0.65087,0.65328,0
peptide_nm_56,-0.2291,0.51032,-1.01279,-0.91648,-0.63551,-0.73357,0.57191,-0.90887,1.45213,0.36309,0.53568,0.72336,-0.27159,-1.32425,-0.59126,-0.59548,-0.89226,-0.90729,-0.55904,0.65328,0
peptide_nm_57,-0.41714,0.51032,-1.23412,0.80409,1.02697,-1.29896,0.57191,-0.66185,1.45213,-0.69989,0.53568,-2.99993,-1.14837,0.65443,0.92323,-0.80144,0.89747,1.22158,0.65087,0.65328,0
peptide_nm_58,0.25523,-1.4016,-1.14022,-0.36667,1.02697,-0.4017,-0.96347,1.18466,-0.46428,-0.23605,0.53568,0.72336,0.85284,0.65443,-0.10731,-0.71407,-1.02009,-1.38456,0.65087,-1.63301,0
peptide_nm_59,-1.722,0.51032,0.77128,0.80409,-0.42301,1.34979,0.57191,-0.24808,1.45213,-0.69989,0.53568,-1.00424,-0.69994,-1.07133,-0.39768,-0.38327,0.89747,-0.23535,0.65087,-1.20784,0
peptide_nm_60,-0.5368,-1.1668,-1.37497,-0.20496,0.05198,0.39108,-1.54878,0.22127,0.11759,-0.61614,-0.98126,-0.4383,-0.19127,0.65443,0.03503,-0.49562,-0.15214,-1.13337,0.65087,0.65328,0
peptide_nm_61,-0.8502,0.51032,-1.23412,-2.24249,-0.16677,0.17598,-1.0483,0.00512,1.45213,0.84626,0.53568,0.72336,-0.42552,-1.56972,-0.77915,-0.12737,-0.38763,-0.6561,0.65087,0.65328,0
peptide_nm_62,-1.26046,0.51032,0.77128,-1.22696,1.02697,-0.57993,0.57191,1.18466,1.45213,-0.80297,0.53568,0.72336,-1.24876,-2.67064,0.92323,-0.89507,0.89747,-0.7503,0.65087,0.65328,0
peptide_nm_63,-0.66216,0.51032,-1.52252,-1.40807,1.02697,1.34979,0.57191,1.18466,0.25638,-0.62903,0.53568,-0.94467,-0.64639,-1.01182,-0.35213,-1.06983,-1.4036,1.22158,-0.96235,0.65328,0
peptide_nm_64,1.28659,0.51032,-0.44269,-0.36667,-0.75426,-0.4017,-0.96347,-0.57539,-0.46428,0.24069,-1.22436,-1.94996,-0.35859,0.65443,0.92323,-1.17593,-0.32035,1.22158,-0.65267,-1.63301,0
peptide_nm_65,-0.03537,0.51032,0.77128,0.80409,-0.42301,-0.07599,-2.41403,-0.24808,-0.42691,0.58213,0.53568,-1.89783,0.85284,-1.96397,0.92323,-1.13224,0.89747,-1.48504,0.65087,0.65328,0
peptide_nm_66,0.16406,-2.05903,-1.28107,0.80409,-0.20427,0.13911,0.57191,-1.1806,-0.18135,2.07674,0.53568,-2.54569,-1.19522,0.65443,-0.19841,-0.84513,-0.428,1.22158,0.65087,0.65328,0
peptide_nm_67,0.09569,0.51032,-1.39509,-2.38479,-0.27927,-0.63524,0.57191,-0.10604,-0.2721,2.07674,-1.49663,0.72336,-0.546,0.65443,-1.3599,1.06474,0.89747,1.22158,-0.85432,-1.02334,0
peptide_nm_68,1.28659,0.51032,-1.74385,-0.81299,1.02697,-0.18661,-1.54878,1.18466,-0.96607,2.07674,-1.89532,0.72336,-1.65703,0.65443,0.92323,1.06474,-0.7846,-1.62319,0.65087,-1.35224,0
peptide_nm_69,-1.63653,0.51032,0.77128,0.80409,-0.63551,-0.28494,-0.8532,-1.24853,0.55532,0.99444,-1.09795,0.72336,-0.27159,-0.59526,-0.59126,-0.59548,-0.23288,0.16656,-0.55904,0.65328,0
peptide_nm_70,-0.41714,0.51032,-1.23412,-1.12994,1.02697,1.34979,0.57191,-1.47703,-0.14399,0.15049,0.53568,-1.50316,0.85284,0.65443,-0.77915,1.06474,-2.00242,-0.6561,0.65087,0.65328,0
peptide_nm_71,-0.50261,0.51032,0.77128,0.80409,-0.93551,1.34979,0.57191,1.18466,1.45213,-1.34412,0.53568,0.72336,0.85284,-2.67064,0.92323,-1.72517,-1.21521,1.22158,0.65087,0.65328,0
peptide_nm_72,-0.03537,0.51032,-0.78475,-0.69656,1.02697,-0.07599,-1.39609,-1.47703,0.21367,-0.19095,-2.88716,0.72336,0.85284,-1.07133,-0.39768,-1.13224,0.89747,-0.23535,0.65087,0.65328,0
peptide_nm_73,-0.03537,0.51032,-0.78475,-0.69656,1.02697,-0.07599,-1.39609,-0.98916,0.21367,-0.19095,0.53568,-1.00424,0.85284,-1.07133,-1.53071,1.06474,-2.00242,1.22158,0.65087,0.65328,0
peptide_nm_74,1.28659,0.51032,-1.05303,0.80409,-1.47925,1.34979,-1.73541,-1.29176,0.00015,0.32444,0.53568,-2.26272,-1.83105,0.65443,0.92323,-0.63293,0.89747,1.22158,0.65087,-1.52873,0
peptide_nm_75,1.28659,0.51032,0.77128,0.80409,-0.93551,1.34979,-2.09168,-0.75448,-0.22406,2.07674,0.53568,-1.61486,-1.24876,-2.67064,0.92323,1.06474,-1.21521,-0.7503,-1.61052,0.65328,0
peptide_nm_76,-0.03537,0.51032,-1.58959,-0.69656,-1.66675,-0.07599,0.57191,-0.24808,0.21367,2.07674,-2.88716,0.72336,-1.5031,-1.07133,0.92323,-1.13224,0.89747,1.22158,0.65087,-1.20784,0
peptide_nm_77,-1.07812,0.51032,-0.44269,0.80409,1.02697,-0.4017,-2.94844,1.18466,1.45213,-0.86739,-1.22436,-1.39891,0.85284,-0.69196,-0.69944,-0.06496,-0.32035,1.22158,-0.65267,-0.79872,0
peptide_nm_78,-0.5539,-0.89175,-0.63049,-1.28518,-0.99176,-0.63524,-2.16803,1.18466,0.33645,-0.86095,-1.49663,0.72336,-0.546,0.65443,0.92323,-0.23972,0.89747,-0.09091,0.65087,0.65328,0
peptide_nm_79,-1.58525,-0.56304,0.77128,-1.30458,0.02698,-0.21734,0.57191,1.18466,-0.8166,0.43395,0.53568,0.72336,0.85284,0.65443,-0.93288,-0.52682,-0.81824,0.2168,0.65087,-0.63025,0
peptide_nm_80,-0.71914,-1.04605,0.77128,0.80409,1.02697,-1.8029,0.57191,-0.24808,0.21367,0.58213,0.53568,-1.89783,-0.69994,0.65443,0.92323,1.06474,0.89747,-1.48504,0.65087,-1.20784,0
peptide_nm_81,-0.66216,0.51032,-0.7311,-0.93589,-0.03552,-0.02682,-0.87016,-0.9274,0.25638,-0.12653,0.53568,-1.27977,0.17015,0.65443,-0.60834,-0.33334,-1.17484,0.154,0.65087,-1.14367,0
peptide_nm_82,-0.2291,0.51032,-0.3555,-0.28258,-0.63551,-0.73357,-1.68451,1.18466,0.55532,0.36309,0.53568,-0.52766,-1.41609,-1.86727,-0.59126,0.01618,-0.89226,0.16656,0.65087,-1.48059,0
peptide_nm_83,-0.71914,0.51032,-0.40916,-0.9941,-0.07302,-1.15761,-0.92106,1.18466,0.51261,0.9429,-1.17574,0.72336,0.85284,0.65443,-0.65959,-0.67038,-0.97299,-1.61064,0.65087,-0.75861,0
peptide_nm_84,-0.99835,-1.65652,-0.63049,-1.28518,-0.27927,0.06536,0.57191,-0.10604,-0.68848,2.07674,0.53568,0.72336,0.85284,-0.90024,-0.26673,-0.23972,-0.50874,-0.80681,-0.85432,0.65328,0
peptide_nm_85,1.28659,-0.89175,-0.63049,-1.28518,1.02697,0.06536,0.57191,-0.81006,-0.2721,0.7303,0.53568,-0.83297,0.85284,-1.74825,0.92323,-0.95124,-1.27577,-0.09091,-0.85432,-1.93785,0
peptide_nm_86,-0.95846,-0.6167,-1.01279,-1.74443,1.02697,-0.28494,0.57191,-0.90887,0.55532,0.36309,0.53568,-0.52766,-0.27159,-0.59526,-0.03329,-0.59548,-0.89226,-0.44886,0.65087,0.65328,0
peptide_nm_87,1.28659,0.51032,-0.2549,-0.78065,-0.93551,-0.91793,0.57191,-0.32836,0.14428,0.05386,0.53568,-1.61486,-0.78695,-0.48368,-1.42253,0.1098,-0.13196,-0.31699,0.65087,-0.5741,0
peptide_nm_88,1.28659,0.51032,-1.14022,-1.03938,1.02697,-0.4017,-1.84568,1.18466,-0.06925,-1.29258,0.53568,-1.39891,0.85284,-1.46558,0.92323,1.06474,0.89747,-1.38456,0.65087,0.65328,0
peptide_nm_89,-0.41714,0.51032,0.77128,0.80409,1.02697,-0.48774,0.57191,-0.66185,1.45213,-1.3248,0.53568,-1.50316,-1.14837,0.65443,-0.77915,-0.80144,-1.11429,1.22158,0.65087,0.65328,0
peptide_nm_90,-1.69351,0.51032,-1.14022,-1.03938,1.02697,1.34979,0.57191,1.18466,-0.76322,0.24069,0.53568,0.72336,0.85284,-2.4326,0.92323,-1.52545,0.89747,1.22158,0.65087,0.65328,0
peptide_nm_91,-1.10661,0.51032,-1.52252,-0.64481,1.02697,-0.02682,0.57191,1.18466,1.45213,-0.62903,0.53568,0.72336,-0.64639,0.65443,-0.35213,-1.06983,-1.92841,-0.92613,0.65087,0.65328,0
peptide_nm_92,-0.03537,0.51032,0.77128,-1.47276,-0.42301,-0.81346,0.57191,-0.98916,0.21367,-0.19095,-1.72028,0.72336,0.85284,0.65443,-1.53071,-0.38327,-1.47089,1.22158,0.65087,0.65328,0
peptide_nm_93,-0.5539,0.51032,0.77128,0.80409,-0.27927,0.06536,0.57191,-0.81006,1.45213,-1.33768,0.53568,-0.83297,0.85284,-0.90024,-0.26673,1.06474,0.89747,-1.64203,0.65087,0.65328,0
peptide_nm_94,1.28659,0.51032,-0.38233,-2.53356,-0.67301,0.29275,0.57191,1.18466,-0.38954,-0.50662,-1.13685,-0.55745,0.85284,0.65443,-1.04106,-0.00879,0.89747,0.14144,0.65087,-1.52873,0
peptide_nm_95,-0.89578,0.51032,-0.55001,-0.47017,-0.20427,-0.53076,-2.02382,-0.70508,0.40051,0.1054,0.53568,-1.55529,-1.19522,-0.81098,0.92323,-0.16482,0.89747,-0.70006,0.65087,0.65328,0
peptide_nm_96,-1.07812,0.51032,0.77128,0.80409,1.02697,1.34979,-1.84568,1.18466,1.45213,0.24069,0.53568,0.72336,-1.05467,-1.46558,-1.43961,-2.19952,0.89747,-0.56818,0.65087,0.65328,0
peptide_nm_97,-0.8502,0.51032,-1.74385,-0.81299,-0.53551,1.34979,-1.54878,-1.13119,1.45213,0.46617,0.53568,0.72336,0.85284,0.65443,-1.65597,1.06474,0.89747,-1.62319,0.65087,0.65328,0
peptide_nm_98,-0.99835,0.51032,-1.39509,-0.54779,-0.27927,-1.4526,-1.20099,-0.10604,1.45213,0.7303,-1.49663,0.72336,0.85284,-0.90024,0.92323,1.06474,0.89747,-1.87439,0.65087,0.65328,0
peptide_nm_99,-0.26329,0.51032,-1.05303,-0.95529,-1.47925,-0.32181,0.57191,-1.29176,0.00015,2.07674,0.53568,0.72336,0.85284,-1.36888,0.92323,-0.63293,-1.80057,-0.48654,0.65087,0.65328,0
peptide_nm_100,-0.33737,0.51032,-1.14022,0.80409,1.02697,-0.4017,0.57191,1.18466,1.45213,-0.59681,0.53568,0.72336,0.85284,0.65443,0.92323,-1.98107,0.89747,-0.56818,-2.3379,-2.67588,0
peptide_nm_101,0.30652,0.51032,-1.05303,-0.95529,1.02697,1.34979,0.57191,-0.49511,-1.08885,-0.78364,-1.13685,-0.55745,-1.45624,-1.9119,-0.05607,1.06474,-0.2598,1.22158,0.65087,0.65328,0
peptide_nm_102,0.30652,0.51032,0.77128,-1.42748,-0.04802,-0.77044,0.57191,-0.94593,0.00015,-0.14585,-1.13685,-1.30211,-0.96766,-1.36888,-0.05607,-0.00879,-0.93262,1.22158,0.65087,-0.72652,0
peptide_nm_103,-0.33737,0.51032,-1.14022,0.80409,1.02697,-0.4017,-1.84568,1.18466,1.45213,-0.59681,0.53568,-1.39891,0.85284,-1.46558,0.92323,1.06474,-1.02009,-1.84299,0.65087,-1.63301,0
peptide_nm_104,0.16406,-0.81125,0.77128,-0.47017,-1.36676,0.13911,-1.0992,-1.52643,0.40051,0.1054,-1.37995,0.72336,-1.19522,-0.81098,0.92323,-0.84513,0.89747,-0.01555,0.65087,-0.92707,0
peptide_nm_105,-0.33737,-1.4016,-2.73649,-1.03938,1.02697,-0.4017,-1.84568,1.18466,-0.76322,0.24069,0.53568,0.72336,0.85284,0.65443,0.92323,1.06474,-1.02009,1.22158,0.65087,0.65328,0
peptide_nm_106,1.28659,0.51032,-0.44269,-1.51804,-0.10427,0.23744,-0.96347,-1.6376,-0.46428,2.07674,-1.22436,0.72336,0.85284,0.65443,-1.43961,1.06474,-1.02009,-1.03289,0.65087,-0.79872,0
peptide_nm_107,-1.65363,0.51032,-1.05303,0.80409,1.02697,-0.32181,0.57191,1.18466,0.00015,0.32444,0.53568,0.72336,0.85284,-2.32846,-0.62543,-1.43807,-0.93262,1.22158,0.65087,0.65328,0
peptide_nm_108,0.09569,-1.65652,-1.39509,-0.54779,-0.27927,1.34979,0.57191,1.18466,-0.68848,0.7303,0.53568,0.72336,-0.546,-0.90024,0.92323,-0.95124,-1.27577,1.22158,-0.85432,-2.56357,0
peptide_nm_109,-0.33737,0.51032,-1.14022,-1.03938,-0.75426,1.34979,0.57191,-1.37822,1.45213,0.24069,-2.23565,0.72336,-1.92475,0.65443,-0.69944,-1.52545,0.89747,1.22158,0.65087,0.65328,0
peptide_nm_110,-0.03537,0.51032,0.77128,-0.69656,-1.9855,-0.07599,0.57191,-1.79199,1.45213,0.58213,0.53568,0.72336,-1.5031,0.65443,-1.08091,-0.38327,-0.66349,1.22158,0.65087,0.65328,0
peptide_nm_111,1.28659,0.51032,-0.50976,-1.12994,-0.16677,0.17598,0.57191,-0.66185,-0.84863,0.84626,-1.3216,-0.69893,-1.65703,0.65443,-0.77915,1.06474,-1.11429,-1.13337,0.65087,0.65328,0
peptide_nm_112,-1.03823,0.51032,0.77128,-1.47276,1.02697,-0.35869,0.57191,-0.53216,-0.03188,-0.19095,0.53568,-0.58723,0.85284,-1.96397,-0.65959,-0.67038,-0.28671,-0.52422,0.65087,0.65328,0
peptide_nm_113,-0.41714,0.51032,0.77128,-1.62153,-0.16677,-0.48774,0.57191,1.18466,-0.14399,0.15049,-1.3216,-2.0691,0.85284,-1.56972,0.92323,-0.12737,-1.11429,-1.13337,0.65087,0.65328,0
peptide_nm_114,0.30652,-0.64354,-0.38233,-1.42748,-1.12926,0.29275,-0.88713,-0.94593,-1.08885,0.96867,-2.10924,-0.55745,0.85284,-0.62501,0.92323,-0.00879,-0.2598,0.14144,0.65087,0.65328,0
