,DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,y
peptide_nm_71,0.47906,-0.78441,-0.63213,-0.68066,-0.41977,-0.0157,-0.68558,-1.1224,-0.51434,-1.01927,-0.91255,-1.07641,-0.4832,-0.04648,-0.73372,-0.33503,-0.16116,-0.57674,-0.56951,-1.05964,0
peptide_nm_72,1.10532,0.65366,-0.63213,0.42662,-0.41977,0.60322,0.35234,0.28323,1.24242,-0.16873,0.57183,0.37287,0.37642,-0.83024,-0.73372,-0.09226,-0.77851,-0.57674,-0.56951,1.20086,0
peptide_nm_73,0.53082,-0.07657,0.9474,1.28112,-0.41977,0.81221,0.38067,0.28323,1.45787,0.58238,-0.13925,0.91723,-0.4832,-0.83024,-0.73372,-0.93464,0.1794,-0.57674,-0.56951,-1.05964,0
peptide_nm_74,-1.08917,-0.78441,0.34266,0.19307,-0.41977,-0.56496,-0.68558,-1.1224,0.56154,-0.35995,0.85626,-0.01396,-0.4832,0.04737,0.04019,0.37134,-0.77851,-0.57674,0.82327,-1.05964,0
peptide_nm_75,-1.08917,-0.78441,0.29299,-0.68066,-0.41977,-0.12288,-0.68558,-1.1224,0.74108,-0.32324,-1.28942,-0.2485,-0.4832,-0.16189,0.53611,-0.93464,0.23231,0.06269,-0.56951,-0.22541,0
peptide_nm_76,0.41523,-0.78441,-0.63213,0.7577,-0.41977,0.96091,0.63822,1.17948,-0.51434,0.24736,-1.28942,1.15002,0.49684,-0.10862,-0.02686,0.3728,-0.77851,-0.57674,0.54364,-1.05964,0
peptide_nm_77,0.02015,0.97261,1.58319,1.18495,-0.41977,1.10961,-0.68558,0.90222,0.08644,-1.01927,-0.16591,-1.07641,1.47304,-0.83024,-0.73372,0.82616,0.87544,1.17528,2.66238,-1.05964,0
peptide_nm_78,0.36865,-0.78441,-0.63213,0.62719,2.27376,-0.56496,0.51846,0.07851,0.92891,-1.01927,-0.54812,1.19028,1.72541,0.3175,0.92865,1.85134,-0.77851,-0.57674,-0.56951,0.5835,0
peptide_nm_79,-0.46464,0.981,-0.63213,-0.68066,2.49405,-0.56496,0.58413,3.0961,-0.51434,-1.01927,1.06248,-0.07872,-0.4832,1.04292,-0.73372,0.8247,1.03554,-0.57674,1.41614,1.6061,0
peptide_nm_80,0.9397,-0.78441,0.28802,-0.68066,1.56756,-0.56496,-0.68558,-0.67267,-0.51434,0.55331,0.37984,0.44989,-0.4832,-0.83024,1.26112,-0.93464,-0.77851,-0.57674,1.14054,-0.07977,0
peptide_nm_81,0.73957,0.87049,1.37581,1.64242,-0.41977,-0.56496,1.37223,2.57705,2.6249,0.23665,1.90688,2.42427,-0.4832,1.6542,6.42285,2.1336,1.65832,-0.57674,1.81139,3.38695,0
peptide_nm_82,0.56878,1.05934,1.90232,1.17671,-0.41977,0.49739,2.12942,0.09624,0.77285,-1.01927,1.94244,3.02814,-0.4832,0.52422,0.4453,1.40529,1.4548,-0.57674,1.14457,1.09163,0
peptide_nm_83,0.222,0.81314,-0.63213,1.07917,-0.41977,-0.56496,1.41988,-0.10848,1.86944,-1.01927,1.26513,2.16522,1.2719,1.09618,-0.73372,0.69162,1.04233,-0.57674,1.27229,0.38562,0
peptide_nm_84,-0.03506,1.8805,-0.63213,0.67939,0.66608,1.74461,0.63435,0.55081,-0.51434,1.3702,-1.28942,-0.28351,-0.4832,0.67894,-0.73372,1.34972,0.51317,1.34156,-0.56951,0.15134,0
peptide_nm_85,-1.08917,-0.78441,0.97596,0.67939,1.6035,0.68762,0.41544,0.55081,-0.51434,0.57932,2.0971,1.48784,-0.4832,-0.83024,-0.73372,0.24264,0.34086,1.03198,0.64715,0.82411,0
peptide_nm_86,0.00635,1.45383,1.73965,0.52141,2.56436,2.80696,0.46824,0.59917,-0.51434,0.75983,0.79938,1.39857,-0.4832,-0.83024,1.77101,1.6817,0.42769,-0.57674,-0.56951,0.86843,0
peptide_nm_87,-1.08917,0.39207,0.33769,1.75095,-0.41977,2.88599,1.13786,0.47344,-0.51434,0.86844,1.4749,2.96513,-0.4832,0.43037,2.08253,3.60337,1.40052,-0.57674,1.52503,1.26101,0
peptide_nm_88,-1.08917,-0.78441,0.22718,0.8415,-0.41977,0.50676,0.10638,-0.13105,0.27151,-1.01927,-0.84499,-0.08047,-0.4832,-0.83024,-0.73372,-0.93464,-0.77851,-0.57674,-0.56951,-0.14942,0
peptide_nm_89,0.13229,0.62568,0.41344,-0.68066,-0.41977,-0.56496,-0.68558,0.01887,-0.51434,-0.08918,-0.61745,-1.07641,-0.4832,-0.83024,0.11562,-0.14199,-0.04312,-0.57674,-0.56951,-1.05964,0
peptide_nm_90,-0.69237,-0.78441,-0.63213,0.41837,-0.41977,0.20534,0.20554,-1.1224,-0.51434,-1.01927,-0.27791,-0.4778,-0.4832,-0.83024,-0.73372,0.53952,-0.77851,-0.57674,-0.56951,-1.05964,0
peptide_nm_91,-0.09544,1.35031,-0.63213,0.51729,-0.41977,-0.56496,1.51002,1.33745,-0.51434,-1.01927,-0.3899,-1.07641,-0.4832,-0.83024,0.82527,0.08031,-0.02819,-0.57674,-0.56951,-0.17159,0
peptide_nm_92,1.10532,0.18643,-0.63213,-0.68066,-0.41977,-0.56496,0.42059,0.33804,-0.51434,0.06073,0.07052,0.33436,1.57424,0.47349,-0.73372,0.92561,-0.02819,-0.57674,-0.56951,-1.05964,0
peptide_nm_93,0.57568,1.40068,0.84558,-0.68066,-0.41977,1.74461,-0.68558,0.55081,-0.51434,0.60991,-0.82011,-1.07641,-0.4832,1.15072,-0.73372,-0.93464,-0.77851,-0.57674,-0.56951,-0.0307,0
peptide_nm_94,-1.08917,0.2214,2.60143,2.18919,-0.41977,-0.56496,-0.07261,0.9796,-0.51434,-1.01927,0.28918,0.02105,1.69979,0.99219,-0.73372,2.60159,-0.77851,-0.57674,0.79503,2.02084,0
peptide_nm_95,0.50494,-0.78441,1.85762,2.2098,-0.41977,1.1364,1.38639,1.06826,1.55041,0.43399,0.23762,1.31281,-0.4832,1.39802,0.65624,0.61703,-0.77851,-0.57674,-0.56951,1.33699,0
peptide_nm_96,-0.35595,-0.1661,-0.63213,-0.68066,-0.41977,0.91938,-0.68558,-1.1224,0.59054,-1.01927,-0.05925,-1.07641,-0.4832,-0.83024,0.1254,-0.42278,-0.77851,-0.57674,-0.56951,0.4252,0
peptide_nm_97,0.0374,-0.17449,-0.63213,0.47333,-0.41977,-0.56496,0.5455,-1.1224,1.42749,-0.14272,0.09896,-1.07641,-0.4832,0.5407,-0.73372,-0.93464,-0.77851,-0.57674,-0.56951,0.03737,0
peptide_nm_98,0.10986,-0.78441,-0.63213,0.37029,-0.41977,0.91536,0.55323,-0.41475,1.44544,0.80113,0.55583,-1.07641,0.78509,0.8121,-0.73372,-0.93464,-0.77851,-0.57674,-0.56951,0.54234,0
peptide_nm_99,-0.04196,-0.78441,-0.63213,0.15323,-0.41977,0.63135,0.86872,-0.09719,-0.51434,-0.00658,-1.28942,0.13657,-0.4832,-0.34198,-0.73372,0.58047,0.30694,-0.57674,-0.56951,-0.05286,0
peptide_nm_100,0.10469,-0.78441,-0.63213,0.8415,-0.41977,-0.56496,-0.68558,-0.2052,-0.51434,-1.01927,-0.62278,-1.07641,-0.4832,-0.83024,-0.73372,-0.05716,-0.77851,0.08838,0.20351,-0.18267,0
peptide_nm_101,1.40552,1.2384,1.78435,1.45696,-0.41977,1.21276,1.02196,-1.1224,-0.51434,0.55637,0.27318,0.09632,2.85278,-0.83024,0.34612,-0.93464,1.68817,-0.57674,-0.56951,-1.05964,0
peptide_nm_102,3.08244,2.1379,1.25412,-0.68066,-0.41977,2.5417,0.26091,0.71846,-0.51434,0.75218,0.02963,1.43883,1.24116,0.84127,0.89093,1.09672,1.16173,-0.57674,2.44997,-1.05964,0
peptide_nm_103,0.5291,-0.78441,0.13156,0.8415,-0.41977,0.36208,-0.68558,-0.22938,0.59054,-1.01927,0.5025,-1.07641,-0.4832,-0.83024,-0.73372,-0.93464,0.30694,-0.57674,0.19544,-0.51351,0
peptide_nm_104,0.7413,-0.78441,-0.63213,-0.68066,1.34571,0.89125,1.57698,0.58789,1.70785,0.04391,0.73893,2.28775,1.1438,0.14756,0.92306,1.03968,-0.77851,-0.57674,1.03164,1.28001,0
peptide_nm_105,0.82239,-0.78441,-0.63213,-0.28226,0.54109,-0.56496,0.10638,0.16717,0.27151,-1.01927,0.13274,-0.18724,-0.4832,-0.83024,-0.73372,-0.93464,0.72483,-0.57674,-0.56951,-1.05964,0
peptide_nm_106,-1.08917,0.00597,-0.63213,1.41712,-0.41977,-0.56496,0.44635,0.9667,1.3612,0.0026,-1.28942,1.35306,1.76897,0.81337,-0.73372,-0.93464,1.17529,-0.57674,1.35967,0.4252,0
peptide_nm_107,0.19613,0.18503,-0.63213,0.15323,-0.41977,0.1973,-0.68558,-0.09719,-0.51434,-1.01927,0.09541,-0.01396,-0.4832,-0.83024,-0.73372,0.03351,0.85916,-0.57674,-0.56951,-1.05964,0
peptide_nm_108,1.88513,-0.78441,-0.63213,0.34282,1.65037,0.8256,1.14172,-1.1224,-0.51434,-1.01927,0.82604,0.43413,-0.4832,1.35617,0.59617,0.12564,0.72076,0.91707,0.08117,-1.05964,0
peptide_nm_109,0.5291,0.76557,-0.63213,0.08042,-0.41977,-0.56496,0.04715,-1.1224,-0.51434,-0.44562,0.37806,-1.07641,0.30468,-0.05029,-0.16377,-0.04546,-0.77851,-0.57674,-0.56951,-1.05964,0
peptide_nm_110,0.33932,0.31792,-0.63213,-0.68066,-0.41977,-0.56496,0.52361,0.92801,-0.51434,-0.32629,1.24913,-1.07641,-0.4832,-0.17077,0.72888,1.41407,1.40052,-0.57674,-0.56951,-1.05964,0
peptide_nm_111,-1.08917,0.2256,0.73878,0.85936,-0.41977,-0.56496,0.6923,0.6572,-0.51434,0.98929,1.11758,-0.02621,2.34034,0.63328,0.55566,-0.93464,1.19158,-0.57674,-0.56951,-0.07344,0
peptide_nm_112,-0.09026,0.89987,1.66763,-0.68066,-0.41977,0.79613,0.12827,0.47022,-0.51434,1.21111,0.34606,1.30055,-0.4832,-0.83024,-0.73372,1.83818,1.28248,-0.57674,-0.56951,0.23682,0
peptide_nm_113,0.26168,-0.78441,0.21973,-0.68066,-0.41977,1.04263,0.87774,0.06884,-0.51434,-1.01927,0.20918,2.60631,1.14508,1.01375,-0.73372,1.77676,0.61358,-0.57674,-0.56951,0.30014,0
peptide_nm_114,1.23299,-0.78441,1.00452,2.40488,1.61756,1.18195,0.87516,1.2085,3.08204,0.22289,1.40913,0.27835,1.36671,0.44305,-0.73372,2.12044,1.68817,-0.57674,-0.56951,1.13912,0
