,PAAC_Xc1.A,PAAC_Xc1.R,PAAC_Xc1.N,PAAC_Xc1.D,PAAC_Xc1.C,PAAC_Xc1.Q,PAAC_Xc1.E,PAAC_Xc1.G,PAAC_Xc1.H,PAAC_Xc1.I,PAAC_Xc1.L,PAAC_Xc1.K,PAAC_Xc1.M,PAAC_Xc1.F,PAAC_Xc1.P,PAAC_Xc1.S,PAAC_Xc1.T,PAAC_Xc1.W,PAAC_Xc1.Y,PAAC_Xc1.V,PAAC_Xc2.lambda1,PAAC_Xc2.lambda2,PAAC_Xc2.lambda3,y
peptide_nm_24,0.13497,-0.01008,-0.63272,-0.65651,-0.42851,1.64404,0.8707,-0.96038,-0.49941,0.59163,-0.25969,-0.98168,-0.51075,0.05777,-0.68437,1.34718,0.13454,-0.59113,0.65713,-0.19657,0.07022,-0.90307,-0.11017,0
peptide_nm_25,-0.85632,-0.08711,-0.63272,0.16968,-0.42851,-0.56687,-0.61951,-0.96038,-0.49941,-0.91171,-1.21276,-0.98168,-0.51075,-0.86036,0.10603,-0.8015,-0.74592,-0.59113,1.58585,-0.93585,1.56332,2.68481,-2.23935,0
peptide_nm_26,-0.85632,-0.72246,0.37392,2.77901,-0.42851,-0.56687,0.76214,-0.96038,-0.49941,-0.2148,-0.77094,-0.98168,-0.51075,-0.00911,-0.68437,-0.13745,-0.74592,0.64797,0.57081,-0.25042,1.21185,-0.31409,0.53438,0
peptide_nm_27,-0.85632,-0.72246,-0.63272,1.17496,-0.42851,0.5259,-0.61951,-0.33606,-0.49941,0.57438,-1.21276,-0.10671,-0.51075,0.04724,0.1917,0.61452,0.9948,-0.59113,-0.52788,-0.93585,0.08699,-0.20219,-0.58592,0
peptide_nm_28,-0.34384,-0.72246,1.61248,0.30131,-0.42851,-0.56687,-0.61951,-0.30737,-0.49941,-0.13451,0.26539,-0.0665,1.24403,-0.86036,0.23197,0.6796,-0.74592,-0.59113,-0.52788,1.35732,-0.77893,-0.34406,-1.1111,0
peptide_nm_29,-0.37982,0.64727,0.41107,1.12465,-0.42851,0.49588,0.81313,-0.96038,-0.49941,-0.18907,-0.75463,0.72018,-0.51075,-0.86036,-0.68437,-0.11294,0.10053,-0.59113,0.61136,-0.93585,-1.00088,0.30269,0.77793,0
peptide_nm_30,0.10696,0.66204,1.47738,0.24368,0.30005,-0.56687,-0.61951,0.26706,-0.49941,-0.91171,-0.74969,-0.98168,-0.51075,0.03183,0.17683,-0.8015,0.96524,-0.59113,0.62364,-0.93585,-0.99117,-0.00539,0.79025,0
peptide_nm_31,-0.36316,-0.01365,-0.63272,2.10866,0.31749,-0.56687,-0.61951,1.55324,-0.49941,2.0799,-0.26447,0.77969,-0.51075,0.9667,1.96103,1.33642,1.88222,-0.59113,0.65119,0.53531,-0.33796,-0.71504,0.22803,0
peptide_nm_32,-0.35586,-0.72246,1.55982,-0.65651,0.32852,-0.56687,0.13283,0.31502,-0.49941,-0.91171,-0.7316,-0.53482,-0.51075,-0.86036,0.21047,-0.8015,-0.74592,-0.59113,0.66864,-0.18939,-0.56916,-0.28721,-0.56298,0
peptide_nm_33,1.01161,-0.05127,-0.63272,0.21629,-0.42851,0.47466,0.08251,-0.96038,-0.49941,-0.2035,-0.3148,-0.56471,-0.51075,-0.86036,-0.68437,-0.8015,-0.74592,-0.59113,-0.52788,-0.23931,-0.62918,0.75214,0.52313,0
peptide_nm_34,-0.85632,-0.72246,-0.63272,0.38018,-0.42851,-0.56687,-0.61951,-0.96038,-0.49941,-0.91171,-0.67948,-0.98168,-0.51075,-0.86036,-0.68437,-0.8015,2.21002,-0.59113,-0.52788,0.7188,-1.96406,-1.63604,-1.27885,0
peptide_nm_35,0.11725,-0.02281,-0.63272,2.98269,0.30784,-0.56687,-0.61951,-0.34011,-0.49941,-0.91171,-0.74475,-0.54703,-0.51075,-0.86036,0.18603,-0.09808,0.98352,-0.59113,0.63595,-0.93585,0.09644,-0.76726,0.30501,0
peptide_nm_36,-0.85632,-0.03298,0.4181,0.24007,-0.42851,-0.56687,0.82279,-0.96038,-0.49941,0.5433,-1.21276,-0.98168,-0.51075,0.02825,-0.68437,1.2781,0.10623,-0.59113,-0.52788,-0.93585,0.56273,-0.98094,0.59379,0
peptide_nm_37,1.70233,0.01305,3.85116,2.21278,0.34558,-0.56687,0.14978,2.95202,-0.49941,2.19255,1.73924,-0.06783,2.99372,0.08757,1.14564,1.41692,1.07215,-0.59113,-0.52788,2.11727,-0.57691,-0.69,-0.83798,0
peptide_nm_38,0.17301,0.01726,-0.63272,0.30541,2.68559,0.58101,3.24899,-0.30458,-0.49941,-0.13119,-0.22312,-0.52213,1.25153,-0.86036,-0.68437,2.17336,1.08258,-0.59113,0.70261,-0.93585,-0.35619,-1.31869,-0.49218,0
peptide_nm_39,-0.35191,-0.72246,2.68204,0.28623,-0.42851,-0.56687,0.89704,-0.31765,0.79274,-0.14675,-0.24285,-0.5313,1.2164,-0.86036,0.21753,-0.8015,-0.74592,-0.59113,0.67808,1.32121,-1.26605,-0.53657,0.14532,0
peptide_nm_40,0.66645,-0.72246,-0.63272,2.18957,0.33932,0.56523,3.19582,0.98,3.40154,-0.14192,-1.21276,-0.98168,-0.51075,0.0799,1.13084,0.66548,0.15576,-0.59113,-0.52788,-0.93585,-0.84186,-1.17685,0.29041,0
peptide_nm_41,-0.36064,1.41483,-0.63272,3.04918,-0.42851,0.53866,1.61595,-0.96038,-0.49941,-0.15999,0.21693,0.78868,2.88377,0.97602,0.20193,0.63105,-0.74592,-0.59113,0.65721,-0.93585,-1.10941,-0.44223,0.475,0
peptide_nm_43,-0.43854,0.47847,-0.63272,0.12432,-0.42851,-0.56687,-0.61951,-0.42804,0.57082,-0.91171,-1.21276,-0.98168,-0.51075,0.68742,0.06264,-0.8015,-0.74592,0.53537,0.47096,-0.31271,1.64241,1.41823,0.87219,0
peptide_nm_44,1.20983,-0.72246,-0.63272,2.23974,-0.42851,1.73725,-0.61951,-0.96038,2.14706,-0.91171,-0.21951,-0.98168,1.25794,1.05331,0.23923,-0.8015,-0.74592,-0.59113,-0.52788,-0.1654,-0.79573,-0.71052,-0.929,0
peptide_nm_45,1.11883,-0.01274,-0.63272,1.18928,-0.42851,1.63576,0.86512,-0.33118,0.76554,2.0837,-0.26326,-0.54078,1.18004,0.05433,2.84731,-0.08796,-0.74592,-0.59113,-0.52788,0.53718,0.20973,-0.35397,-0.78284,0
peptide_nm_46,2.59855,-0.01308,0.44843,4.87822,-0.42851,3.8363,3.09029,1.55524,3.29365,2.08228,1.15986,2.10317,1.17924,0.0539,0.19813,2.76453,0.13083,-0.59113,0.65213,1.27265,-0.21135,-0.69038,0.04857,0
peptide_nm_47,0.08421,1.98116,3.48782,3.73813,-0.42851,0.48198,1.50134,0.23807,-0.49941,2.65418,1.95217,2.79741,1.0995,-0.86036,-0.68437,1.23716,0.08946,-0.59113,0.59645,0.46701,0.08167,0.01001,0.50689,0
peptide_nm_48,0.12997,-0.72246,0.44754,0.26519,-0.42851,-0.56687,-0.61951,-0.332,-0.49941,-0.16383,-0.73863,-0.10102,-0.51075,-0.86036,-0.68437,0.62373,0.1301,-0.59113,-0.52788,-0.20029,0.01326,-0.26973,-0.65032,0
peptide_nm_49,0.05666,0.58976,0.36724,1.04986,-0.42851,-0.56687,2.12547,-0.37871,-0.49941,-0.21942,-0.77387,-0.98168,-0.51075,-0.86036,-0.68437,-0.8015,-0.74592,-0.59113,-0.52788,0.42592,-0.06078,0.1905,1.36707,0
peptide_nm_50,-0.39473,0.6044,-0.63272,1.06891,0.26972,0.46262,0.0744,0.80413,-0.49941,-0.91171,0.11861,-0.56953,-0.51075,-0.00532,0.96631,-0.13449,0.894,-0.59113,0.5757,-0.93585,0.68735,-0.46018,1.08018,0
peptide_nm_51,0.05741,1.90413,1.36885,-0.65651,-0.42851,4.52797,0.75411,-0.37823,0.67096,-0.21885,0.54424,-0.98168,-0.51075,0.83223,-0.68437,-0.8015,1.6888,-0.59113,-0.52788,-0.93585,0.07665,0.3408,1.0263,0
peptide_nm_52,0.0362,-0.08106,-0.63272,0.17755,-0.42851,-0.56687,0.05135,0.17689,-0.49941,1.79537,0.07439,-0.18475,-0.51075,0.79293,-0.68437,-0.8015,-0.74592,-0.59113,-0.52788,-0.93585,1.32153,0.30783,0.58228,0
peptide_nm_53,-0.34635,0.01052,-0.63272,-0.65651,0.34292,-0.56687,0.91378,-0.31056,3.41984,-0.13831,0.25817,-0.98168,1.23546,1.02898,0.22749,0.67236,1.0659,-0.59113,0.69139,0.58546,-1.02361,-0.72381,-0.24359,0
peptide_nm_54,1.08874,-0.72246,-0.63272,-0.65651,-0.42851,-0.56687,0.1115,-0.96038,-0.49941,-0.17426,-0.27773,-0.11331,-0.51075,0.0404,-0.68437,-0.09883,-0.74592,-0.59113,-0.52788,-0.93585,-0.00813,-0.59468,0.23306,0
peptide_nm_55,0.72798,-0.72246,-0.63272,1.31754,-0.42851,-0.56687,-0.61951,-0.28746,0.85345,-0.91171,0.31046,-0.98168,-0.51075,0.11789,1.20418,-0.03837,1.13031,-0.59113,-0.52788,-0.14815,-1.26442,-1.10825,-0.78247,0
peptide_nm_56,0.0687,0.60706,-0.63272,1.07237,-0.42851,1.49625,0.77108,0.80767,-0.49941,1.19255,-0.3234,-0.98168,-0.51075,0.85315,0.14263,0.5352,0.89729,0.65599,-0.52788,1.13375,-0.08694,0.57359,0.51819,0
peptide_nm_57,-0.33514,-0.72246,2.79228,0.31758,-0.42851,-0.56687,-0.61951,0.36783,-0.49941,-0.12131,-0.21059,-0.98168,-0.51075,-0.86036,0.24753,-0.04837,-0.74592,-0.59113,-0.52788,-0.93585,-1.08276,-1.22593,-0.34391,0
peptide_nm_58,-0.36726,-0.01955,-0.63272,1.17159,1.05106,-0.56687,0.11569,0.28596,0.75342,-0.91171,0.19784,0.32835,-0.51075,-0.86036,-0.68437,0.61191,0.99159,-0.59113,1.81063,1.98198,-0.26512,-0.79504,0.53433,0
peptide_nm_59,2.22306,0.0152,0.49154,-0.65651,-0.42851,0.57781,-0.61951,-0.96038,-0.49941,-0.13337,0.26757,-0.98168,-0.51075,0.09035,0.23332,-0.05986,-0.74592,-0.59113,0.69918,-0.17033,-0.68433,-0.7693,-0.74025,0
peptide_nm_60,0.65344,0.00086,0.46968,2.16525,1.09401,-0.56687,0.13703,-0.31912,2.07899,-0.1485,1.20649,-0.08297,1.21245,0.07187,0.21548,0.65295,0.14806,-0.59113,-0.52788,2.06669,-0.30154,-0.82323,-0.36539,0
peptide_nm_61,0.59634,0.66947,-0.63272,1.15352,-0.42851,1.59309,3.02015,-0.34337,0.74104,-0.17736,-0.74721,-0.98168,-0.51075,0.03661,0.18145,-0.10178,0.11425,-0.59113,-0.52788,0.50865,-0.5107,0.02101,0.11571,0
peptide_nm_62,0.22115,-0.72246,-0.63272,-0.65651,-0.42851,1.83627,0.19038,-0.2739,-0.49941,-0.91171,-0.17683,-0.98168,-0.51075,-0.86036,0.27892,-0.023,-0.74592,-0.59113,-0.52788,-0.13229,-1.28221,-1.59887,-0.8979,0
peptide_nm_63,0.1161,-0.02364,0.43234,1.16095,-0.42851,0.51754,0.84233,-0.96038,-0.49941,-0.91171,0.18962,-0.54754,-0.51075,-0.86036,0.185,0.60368,0.98148,0.71989,-0.52788,-0.93585,0.02429,-0.65697,0.28086,0
peptide_nm_64,-0.85632,-0.72246,2.48583,0.23043,-0.42851,-0.56687,0.09388,0.24899,0.71625,0.52764,-0.30026,0.28949,1.11416,0.89774,0.16415,1.25572,0.09706,0.68844,1.74126,-0.93585,0.66159,-0.52705,0.30132,0
peptide_nm_65,-0.34802,-0.72246,1.59419,-0.65651,-0.42851,1.7005,-0.61951,-0.31269,2.10485,-0.14085,-0.72406,-0.07396,-0.51075,0.08121,-0.68437,0.66753,-0.74592,-0.59113,-0.52788,1.33864,-0.58704,-0.95787,-0.27001,0
peptide_nm_66,-0.33614,0.02519,3.92521,1.28794,1.9321,-0.56687,-0.61951,-0.29755,-0.49941,1.45493,-1.21276,-0.05274,-0.51075,0.10322,1.17586,0.70187,0.17813,-0.59113,-0.52788,-0.93585,-1.61638,-0.92585,-0.12096,0
peptide_nm_67,-0.4095,1.20416,-0.63272,1.01371,-0.42851,-0.56687,2.73902,0.17832,-0.49941,-0.23408,-1.21276,-0.18375,1.01921,-0.03267,0.11457,-0.8015,-0.74592,0.61368,0.5404,-0.93585,0.89819,0.24026,1.03651,0
peptide_nm_68,-0.85632,-0.72246,-0.63272,1.19853,-0.42851,-0.56687,0.12653,-0.32803,0.77188,-0.91171,-1.21276,0.34766,1.18852,-0.86036,1.09032,-0.8015,0.13564,-0.59113,0.65861,1.28477,-0.03826,-0.57291,-0.44642,0
peptide_nm_69,3.03532,0.67589,-0.63272,-0.65651,-0.42851,0.51809,-0.61951,0.27934,0.74676,2.03922,-0.74506,-0.54732,1.15494,0.94185,0.18544,0.6044,0.11822,0.72055,-0.52788,-0.21027,-0.04706,-0.55821,0.21379,0
peptide_nm_70,-0.37695,-0.03347,0.41736,0.23944,-0.42851,-0.56687,0.10113,-0.96038,-0.49941,0.54227,-0.75187,-0.55365,-0.51075,-0.86036,-0.68437,-0.8015,0.95718,-0.59113,-0.52788,-0.22084,-0.69201,0.33408,0.24421,0
peptide_nm_71,-0.30811,-0.72246,-0.63272,-0.65651,-0.42851,1.87853,-0.61951,-0.96038,-0.49941,-0.91171,0.89554,-0.98168,-0.51075,0.15515,-0.68437,0.78288,0.22792,-0.59113,-0.52788,-0.93585,-1.47729,-1.21921,-1.81451,0
peptide_nm_72,-0.36601,-0.01775,-0.63272,0.25988,-0.42851,0.52668,0.11757,-0.33562,0.75662,1.319,-0.26996,-0.54389,2.84699,-0.86036,-0.68437,0.61552,-0.74592,-0.59113,-0.52788,-0.20453,-0.51846,0.08865,-0.37382,0
peptide_nm_73,-0.4118,1.19426,0.34103,0.17431,-0.42851,0.42457,0.04875,-0.39396,0.63934,0.43657,-0.35799,-0.58476,-0.51075,-0.86036,-0.68437,-0.8015,1.62303,-0.59113,-0.52788,-0.93585,0.80254,0.50306,0.96821,0
peptide_nm_74,-0.85632,-0.72246,1.6027,0.29714,-0.42851,-0.56687,-0.61951,-0.96038,0.8077,0.63591,-0.72219,-0.52608,-0.51075,1.02999,1.14032,-0.06418,-0.74592,-0.59113,0.69204,-0.93585,-0.59241,-0.67728,-0.73682,0
peptide_nm_75,-0.85632,-0.72246,0.42489,-0.65651,-0.42851,1.58678,-0.61951,-0.96038,0.73741,-0.17951,-1.21276,-0.55058,-0.51075,0.03399,0.17892,-0.8015,0.11174,0.71071,-0.52788,-0.21571,-0.46204,-0.75178,1.09964,0
peptide_nm_76,-0.35301,-0.72246,-0.63272,1.22489,-0.42851,0.55569,0.13712,-0.31904,-0.49941,-0.14841,-1.21276,-0.53227,2.93607,1.93664,1.11554,0.65312,-0.74592,-0.59113,0.67547,-0.93585,-0.44339,-1.09035,0.09119,0
peptide_nm_77,1.06386,0.65747,1.4704,0.2407,-0.42851,0.50379,-0.61951,0.263,4.4196,-0.91171,1.09492,-0.98168,1.13299,-0.86036,-0.68437,-0.10781,0.10683,0.70327,0.61984,-0.93585,0.40803,-0.39039,0.00674,0
peptide_nm_78,0.13852,-0.72246,-0.63272,0.27318,0.32393,-0.56687,0.87604,0.30728,2.04911,-0.91171,0.7002,-0.53753,1.19248,0.98248,0.20505,-0.08271,-0.74592,-0.59113,-0.52788,-0.19392,-0.27776,-0.4408,-0.45276,0
peptide_nm_79,2.90639,1.30558,-0.63272,-0.65651,0.28296,-0.56687,1.50168,0.23827,-0.49941,-0.91171,-0.30835,1.11815,-0.51075,0.0109,-0.68437,0.55782,0.9251,-0.59113,0.59663,-0.23431,-0.25324,0.30925,0.46484,0
peptide_nm_80,0.17483,-0.72246,1.62606,-0.65651,0.35139,-0.56687,-0.61951,2.32445,-0.49941,-0.12981,-0.71706,-0.52132,-0.51075,-0.86036,0.23751,-0.8015,-0.74592,-0.59113,0.70478,1.37119,-0.40598,-1.1233,-0.74228,0
peptide_nm_81,1.99239,2.00716,3.52744,2.00563,-0.42851,-0.56687,2.23548,0.85459,1.93314,3.4085,1.52612,0.29013,-0.51075,0.89862,0.16458,1.25676,3.47112,-0.59113,2.87754,0.4805,0.6121,-0.40062,0.18011,0
peptide_nm_82,0.12161,0.6831,0.43838,0.25737,-0.42851,2.7048,0.11555,0.90879,2.00578,-0.91171,-0.27254,-0.54508,-0.51075,0.95115,1.93852,-0.09493,0.99127,-0.59113,1.8102,-0.20653,-0.61009,0.18691,-0.3122,0
peptide_nm_83,0.5598,0.63446,-0.63272,0.22574,-0.42851,-0.56687,0.79974,1.44559,0.70984,-0.91171,-0.75892,-0.56019,1.10558,0.01405,-0.68437,0.56274,0.93115,-0.59113,0.6007,2.58456,-0.91527,0.12189,1.21769,0
peptide_nm_84,0.54439,-0.05139,-0.63272,0.21614,0.98404,0.47448,0.78428,-0.36544,-0.49941,-0.20363,-1.21276,0.26901,-0.51075,0.00453,-0.68437,-0.12681,0.08348,0.66783,-0.52788,0.45698,0.77759,-0.85864,1.11159,0
peptide_nm_85,-0.85632,-0.72246,0.44953,0.26688,0.31884,1.63695,0.86592,-0.33084,-0.49941,0.5868,-0.73776,-0.0994,-0.51075,-0.86036,-0.68437,0.62636,1.00935,0.74104,1.83453,-0.19894,0.20439,-0.44038,-0.69134,0
peptide_nm_86,1.11812,-0.013,0.44855,1.18862,0.31816,0.53405,2.34868,0.29757,-0.49941,1.33404,-0.2636,-0.54094,-0.51075,-0.86036,0.19823,0.62508,1.00777,-0.59113,-0.52788,0.53665,-0.3135,-0.1799,-0.47354,0
peptide_nm_87,-0.85632,2.53965,2.35032,0.19188,-0.42851,0.44554,0.74527,1.35326,-0.49941,0.46509,0.09651,-0.17106,-0.51075,1.66219,0.93892,-0.14556,0.06043,-0.59113,0.55739,0.41827,1.54715,-0.10491,0.33904,0
peptide_nm_88,-0.85632,-0.72246,0.46303,0.2784,-0.42851,0.54878,0.13247,-0.32299,0.78201,-0.91171,0.71096,-0.53504,-0.51075,-0.86036,-0.68437,-0.8015,-0.74592,-0.59113,-0.52788,0.55636,-0.21847,-0.02859,-1.19969,0
peptide_nm_89,-0.31321,0.05814,0.55697,-0.65651,-0.42851,-0.56687,-0.61951,-0.26834,-0.49941,-0.08806,0.8759,-0.98168,-0.51075,-0.86036,0.28673,-0.01669,0.21885,-0.59113,-0.52788,-0.93585,-1.72285,-1.1637,-1.29469,0
peptide_nm_90,1.0924,-0.72246,-0.63272,0.25404,-0.42851,1.60629,0.11287,-0.96038,-0.49941,-0.91171,-0.74436,-0.11167,-0.51075,-0.86036,-0.68437,0.60649,-0.74592,-0.59113,-0.52788,-0.93585,-0.98915,-0.36081,0.83974,0
peptide_nm_91,0.71423,0.02999,-0.63272,1.30041,-0.42851,-0.56687,0.1675,-0.2933,-0.49941,-0.91171,0.29724,-0.98168,-0.51075,-0.86036,0.25171,0.71151,2.04401,-0.59113,-0.52788,0.62587,-0.03604,-2.15113,-0.40044,0
peptide_nm_92,-0.41242,1.19157,-0.63272,-0.65651,-0.42851,-0.56687,0.71512,0.17088,-0.49941,0.43468,-0.35919,-0.58532,1.00922,-0.03808,-0.68437,-0.16005,0.83116,-0.59113,-0.52788,-0.93585,0.93739,0.60145,0.76099,0
peptide_nm_93,0.23216,0.05977,0.55947,-0.65651,-0.42851,0.64697,-0.61951,-0.26689,-0.49941,0.73903,2.9733,-0.98168,-0.51075,0.14779,-0.68437,-0.8015,-0.74592,-0.59113,-0.52788,2.31124,-1.50139,-0.94422,-1.85262,0
peptide_nm_94,-0.85632,1.21421,0.35116,0.18296,-0.42851,-0.56687,4.78216,-0.38806,-0.49941,-0.91171,0.51457,0.22146,1.0272,0.80365,-0.68437,-0.15246,-0.74592,-0.59113,1.61982,-0.26591,1.62846,-0.57314,1.15243,0
peptide_nm_95,0.79673,-0.72246,1.78133,0.37335,-0.42851,0.66208,0.20884,0.44387,2.32371,0.75958,-0.15322,-0.48968,-0.51075,0.16034,1.28613,-0.00526,-0.74592,-0.59113,-0.52788,0.7079,-1.49788,-1.82423,-1.25426,0
peptide_nm_96,0.09327,0.64237,-0.63272,-0.65651,-0.42851,0.49208,-0.61951,-0.96038,0.71689,-0.91171,-0.75627,-0.98168,-0.51075,-0.86036,0.16459,1.94289,-0.74592,-0.59113,-0.52788,-0.22766,0.75788,-0.70585,0.40724,0
peptide_nm_97,-0.04338,1.03018,-0.63272,0.86288,-0.42851,-0.56687,-0.00846,-0.96038,0.54186,0.32115,-0.82196,-0.98168,-0.51075,-0.10741,-0.68437,-0.8015,-0.74592,-0.59113,-0.52788,0.88298,1.3647,1.44066,1.88635,0
