,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,y
peptide_nm_17,0.33252,-0.7064,0.95412,-0.39573,-0.42846,-0.26452,-0.19065,-0.25238,0.23605,-0.50387,-0.90513,0.02887,0.47137,-0.37385,2.42524,1.58801,0.0369,-0.25813,-0.21689,0.36335,0
peptide_nm_18,-0.9492,-0.7064,1.17357,2.28513,0.75903,1.19413,0.61728,0.09704,-0.4973,-0.90428,0.74135,-0.96126,-0.49469,-0.78908,-0.7232,1.67382,-0.75343,-0.50082,1.38091,-1.01459,0
peptide_nm_19,1.54678,-0.05347,0.60376,-0.65388,-0.42846,0.63534,0.22395,-1.07829,-0.4973,-0.12453,-0.69822,0.32417,3.26787,-0.78908,1.32053,-0.86606,-0.75343,-0.50082,-0.55741,0.77431,0
peptide_nm_20,0.29879,0.59946,1.83834,0.35157,-0.42846,-0.57537,1.92841,0.53006,-0.4973,-0.90428,-0.69822,-0.53278,-0.49469,-0.78908,0.29866,-0.86606,-0.75343,-0.50082,0.76881,1.66876,0
peptide_nm_21,0.36812,-0.7064,1.97552,-0.65388,-0.42846,-0.57537,-0.62828,1.46826,-0.4973,-0.90428,0.67228,-0.96126,1.49111,-0.78908,-0.7232,0.9683,2.49569,-0.50082,-0.55741,-0.07045,0
peptide_nm_22,-0.32521,-0.7064,0.60376,1.35702,-0.42846,-0.57537,-0.62828,3.74675,-0.4973,0.65523,-0.69822,-0.53278,-0.49469,-0.78908,-0.7232,0.00285,0.27261,0.44441,-0.55741,0.77431,0
peptide_nm_23,0.36812,-0.7064,-0.63081,1.46874,-0.42846,-0.57537,0.27129,-0.22944,-0.4973,-0.90428,-1.12354,-0.0567,-0.49469,0.06444,-0.7232,1.88547,2.49569,-0.50082,0.84249,0.87369,0
peptide_nm_24,0.36812,-0.01719,-0.63081,-0.65388,-0.42846,1.98057,1.17087,-1.07829,-0.4973,0.74187,-0.22563,-0.96126,-0.49469,0.06444,-0.7232,1.88547,0.32961,-0.50082,0.84249,-0.07045,0
peptide_nm_25,-0.9492,1.77474,-0.63081,3.16683,-0.42846,-0.57537,-0.62828,-1.07829,-0.4973,-0.90428,-1.12354,-0.96126,-0.49469,-0.78908,3.15988,-0.86606,-0.75343,-0.50082,9.52185,-1.01459,0
peptide_nm_26,-0.9492,-0.7064,1.04469,4.80428,-0.42846,-0.57537,1.68491,-1.07829,-0.4973,0.15396,-0.54631,-0.96126,-0.49469,0.3083,-0.7232,0.31317,-0.75343,0.782,1.24246,0.19931,0
peptide_nm_27,-0.9492,-0.7064,-0.63081,2.0752,-0.42846,1.06774,-0.62828,0.01309,-0.4973,1.2122,-1.12354,0.20175,-0.49469,0.3083,0.66361,1.4924,2.03153,-0.50082,-0.55741,-1.01459,0
peptide_nm_28,-0.29054,-0.7064,1.97552,0.40743,-0.42846,-0.57537,-0.62828,-0.22944,-0.4973,-0.08121,0.22332,-0.0567,1.49111,-0.78908,0.35543,0.9683,-0.75343,-0.50082,-0.55741,1.81783,0
peptide_nm_29,-0.29054,0.67201,0.67235,1.46874,-0.42846,0.7026,1.17087,-1.07829,-0.4973,-0.08121,-0.67459,0.84787,-0.49469,-0.78908,-0.7232,0.05112,0.32961,-0.50082,0.84249,-1.01459,0
peptide_nm_30,0.53279,0.84431,2.30131,0.54009,0.53638,-0.57537,-0.62828,0.83162,-0.4973,-0.90428,-0.61847,-0.96126,-0.49469,0.17113,0.49026,-0.86606,1.68341,-0.50082,1.01748,-1.01459,0
peptide_nm_31,-0.6005,-0.34152,-0.63081,1.03173,0.02558,-0.57537,-0.62828,0.71927,-0.4973,0.8387,-0.64818,-0.00349,-0.49469,0.11465,0.98992,0.59063,0.9667,-0.50082,0.18371,-0.01491,0
peptide_nm_32,0.03879,-0.7064,3.27868,-0.65388,0.85799,-0.57537,0.72108,1.46826,-0.4973,-0.90428,-0.45011,-0.28284,-0.49469,-0.78908,0.89475,-0.86606,-0.75343,-0.50082,1.54244,0.40162,0
peptide_nm_33,2.69877,0.24789,-0.63081,0.81562,-0.42846,1.19413,0.61728,-1.07829,-0.4973,0.23536,0.11972,-0.33502,-0.49469,-0.78908,-0.7232,-0.86606,-0.75343,-0.50082,-0.55741,0.29268,0
peptide_nm_34,-0.9492,-0.7064,-0.63081,2.0752,-0.42846,-0.57537,-0.62828,-1.07829,-0.4973,-0.90428,0.03091,-0.96126,-0.49469,-0.78908,-0.7232,-0.86606,7.60146,-0.50082,-0.55741,3.84099,0
peptide_nm_35,0.53279,0.06896,-0.63081,4.12201,0.53638,-0.57537,-0.62828,-0.12334,-0.4973,-0.90428,-0.61847,-0.45244,-0.49469,-0.78908,0.49026,0.16577,1.68341,-0.50082,1.01748,-1.01459,0
peptide_nm_36,-0.9492,0.32741,1.32393,0.93808,-0.42846,-0.57537,2.07045,-1.07829,-0.4973,1.56494,-1.12354,-0.96126,-0.49469,0.4912,-0.7232,3.26124,0.87113,-0.50082,-0.55741,-1.01459,0
peptide_nm_37,0.31206,-0.44245,1.36553,0.56549,-0.1,-0.57537,-0.28377,0.87226,-0.4973,0.3566,-0.0919,-0.61483,1.02635,-0.4622,0.10299,0.18772,0.07614,-0.50082,-0.55741,0.43176,0
peptide_nm_38,-0.07099,-0.24693,-0.63081,0.05366,1.85856,0.27661,2.37031,-0.51239,-0.4973,-0.35556,-0.52494,-0.65974,0.82917,-0.78908,-0.7232,1.57975,0.69063,-0.50082,0.37586,-1.01459,0
peptide_nm_39,-0.32521,-0.7064,3.07292,0.35157,-0.42846,-0.57537,1.07618,-0.27412,0.9308,-0.12453,-0.27289,-0.53278,1.38659,-0.78908,0.29866,-0.86606,-0.75343,-0.50082,0.76881,1.66876,0
peptide_nm_40,0.41879,-0.7064,-0.63081,1.55038,0.16529,0.30938,2.48564,0.6847,2.63354,-0.33446,-1.12354,-0.96126,-0.49469,-0.19818,0.77029,0.40388,-0.00363,-0.50082,-0.55741,-1.01459,0
peptide_nm_41,-0.52578,0.62278,-0.63081,2.0752,-0.42846,0.24618,1.10661,-1.07829,-0.4973,-0.37516,-0.2577,0.20175,2.05848,0.3083,-0.02979,0.31317,-0.75343,-0.50082,0.34253,-1.01459,0
peptide_nm_43,0.03879,1.36121,-0.63081,0.93808,-0.42846,-0.57537,-0.62828,0.19498,1.76386,-0.90428,-1.12354,-0.96126,-0.49469,1.77147,0.89475,-0.86606,-0.75343,0.9958,1.54244,0.40162,0
peptide_nm_44,1.68544,-0.7064,-0.63081,2.53004,-0.42846,1.98057,-0.62828,-1.07829,2.51758,-0.90428,-0.22563,-0.96126,1.49111,0.91796,0.35543,-0.86606,-0.75343,-0.50082,-0.55741,-0.07045,0
peptide_nm_45,0.68609,-0.27861,-0.63081,0.66361,-0.42846,1.01108,0.48843,-0.55142,0.43835,1.13922,-0.56622,-0.68053,0.73787,-0.25931,1.95479,-0.29678,-0.75343,-0.50082,-0.55741,0.15745,0
peptide_nm_46,0.43399,-0.49963,-0.23986,1.25647,-0.42846,0.95819,0.72108,-0.05967,0.8594,0.08341,-0.45011,-0.01147,0.10105,-0.53302,-0.39961,0.50971,-0.42851,-0.50082,-0.13744,-0.16486,0
peptide_nm_47,-0.47497,0.28606,1.24575,1.25647,-0.42846,-0.1153,0.34326,-0.46712,-0.4973,0.57725,0.00782,0.50414,0.2202,-0.78908,-0.7232,0.12449,-0.36353,-0.50082,-0.05345,-0.33481,0
peptide_nm_48,0.87478,-0.7064,1.17357,0.81562,-0.42846,-0.57537,-0.62828,0.09704,-0.4973,0.23536,-0.50191,0.29121,-0.49469,-0.78908,-0.7232,1.67382,0.74617,-0.50082,-0.55741,0.29268,0
peptide_nm_49,0.53279,0.84431,0.83525,1.73406,-0.42846,-0.57537,3.41981,-0.12334,-0.4973,0.02168,-0.61847,-0.96126,-0.49469,-0.78908,-0.7232,-0.86606,-0.75343,-0.50082,-0.55741,1.10973,0
peptide_nm_50,-0.4103,0.42139,-0.63081,1.08281,0.27324,0.47024,0.10773,1.00525,-0.4973,-0.90428,-0.02156,-0.59121,-0.49469,-0.09074,1.04184,-0.11564,1.01882,-0.50082,0.58796,-1.01459,0
peptide_nm_51,-0.07099,1.13148,1.10674,-0.65388,-0.42846,3.68454,0.57115,-0.51239,0.50766,-0.35556,0.07367,-0.96126,-0.49469,0.34895,-0.7232,-0.86606,1.41265,-0.50082,-0.55741,-1.01459,0
peptide_nm_52,0.36812,-0.01719,-0.63081,0.40743,-0.42846,-0.57537,0.27129,0.61941,-0.4973,2.38802,0.22332,-0.0567,-0.49469,0.91796,-0.7232,-0.86606,-0.75343,-0.50082,-0.55741,-1.01459,0
peptide_nm_53,-0.45521,-0.18949,-0.63081,-0.65388,0.21477,-0.57537,0.72108,-0.44165,2.89445,-0.28697,-0.11339,-0.96126,0.99466,0.4912,0.08578,0.50971,0.87113,-0.50082,0.49251,0.40162,0
peptide_nm_54,3.00277,-0.7064,-0.63081,-0.65388,-0.42846,-0.57537,0.72108,-1.07829,-0.4973,0.33033,0.22332,0.39559,-0.49469,0.4912,-0.7232,0.50971,-0.75343,-0.50082,-0.55741,-1.01459,0
peptide_nm_55,1.14302,-0.7064,-0.63081,1.5936,-0.42846,-0.57537,-0.62828,-0.17951,1.09881,-0.90428,0.30255,-0.96126,-0.49469,0.11465,1.56096,0.10507,1.54007,-0.50082,-0.55741,-0.01491,0
peptide_nm_56,-0.13155,0.14917,-0.63081,0.66361,-0.42846,1.01108,0.48843,0.50233,-0.4973,0.62834,-0.56622,-0.96126,-0.49469,0.27046,-0.0537,0.27251,0.59104,0.11847,-0.55741,0.74347,0
peptide_nm_57,0.03879,-0.7064,5.23343,0.93808,-0.42846,-0.57537,-0.62828,1.46826,-0.4973,0.33033,0.22332,-0.96126,-0.49469,-0.78908,0.89475,0.50971,-0.75343,-0.50082,-0.55741,-1.01459,0
peptide_nm_58,-0.49321,-0.22926,-0.63081,0.81562,0.75903,-0.57537,-0.0055,0.09704,0.54631,-0.90428,-0.1911,-0.0219,-0.49469,-0.78908,-0.7232,0.40388,0.74617,-0.50082,1.38091,1.59996,0
peptide_nm_59,3.00277,-0.01719,0.67235,-0.65388,-0.42846,0.7026,-0.62828,-1.07829,-0.4973,-0.08121,0.22332,-0.96126,-0.49469,0.06444,0.35543,0.05112,-0.75343,-0.50082,0.84249,-0.07045,0
peptide_nm_60,0.16229,-0.31872,0.10222,1.13708,0.53638,-0.57537,-0.12227,-0.60081,1.19857,-0.4413,0.13914,-0.45244,0.62232,-0.30897,-0.11647,0.16577,-0.14422,-0.50082,-0.55741,1.10973,0
peptide_nm_61,0.53279,0.32741,-0.63081,0.93808,-0.42846,1.34159,2.74513,-0.44165,0.63328,-0.28697,-0.78683,-0.96126,-0.49469,-0.14894,0.08578,-0.17818,0.05885,-0.50082,-0.55741,0.40162,0
peptide_nm_62,1.20642,-0.7064,-0.63081,-0.65388,-0.42846,3.60709,0.84375,0.31074,-0.4973,-0.90428,0.34576,-0.96126,-0.49469,-0.78908,1.04184,0.63478,-0.75343,-0.50082,-0.55741,0.53037,0
peptide_nm_63,0.29879,-0.05347,0.60376,1.35702,-0.42846,0.63534,1.07618,-1.07829,-0.4973,-0.90428,0.15243,-0.53278,-0.49469,-0.78908,0.29866,0.87175,1.29865,0.44441,-0.55741,-1.01459,0
peptide_nm_64,-0.9492,-0.7064,2.07576,0.08087,-0.42846,-0.57537,-0.0055,0.09704,0.54631,0.23536,-0.50191,-0.0219,0.88009,0.39272,0.02355,1.03885,-0.00363,0.18992,1.38091,-1.01459,0
peptide_nm_65,-0.29054,-0.7064,1.97552,-0.65388,-0.42846,1.98057,-0.62828,-0.22944,2.51758,-0.08121,-0.67459,-0.0567,-0.49469,0.06444,-0.7232,0.9683,-0.75343,-0.50082,-0.55741,1.81783,0
peptide_nm_66,-0.43373,-0.16702,3.44866,1.0073,1.58512,-0.57537,-0.62828,-0.41397,-0.4973,1.02816,-1.12354,-0.25334,-0.49469,-0.12111,0.9651,0.56952,0.09417,-0.50082,-0.55741,-1.01459,0
peptide_nm_67,-0.38464,1.06584,-0.63081,1.1655,-0.42846,-0.57537,3.22705,0.37688,-0.4973,-0.19879,-1.12354,-0.18592,1.20742,-0.05749,0.20134,-0.86606,-0.75343,0.35439,0.6425,-1.01459,0
peptide_nm_68,-0.9492,-0.7064,-0.63081,1.73406,-0.42846,-0.57537,0.38374,-0.12334,1.19857,-0.90428,-1.12354,0.56519,1.73933,-0.78908,1.70372,-0.86606,0.46499,-0.50082,1.01748,2.17189,0
peptide_nm_69,2.32139,0.14917,-0.63081,-0.65388,-0.42846,0.21785,-0.62828,-0.02455,0.43835,1.13922,-0.84488,-0.68053,0.73787,0.27046,-0.0537,0.27251,-0.0812,0.11847,-0.55741,-0.42857,0
peptide_nm_70,0.03879,0.32741,1.32393,0.93808,-0.42846,-0.57537,0.72108,-1.07829,-0.4973,1.56494,-0.45011,-0.28284,-0.49469,-0.78908,-0.7232,-0.86606,2.49569,-0.50082,-0.55741,0.40162,0
peptide_nm_71,0.12861,-0.7064,-0.63081,-0.65388,-0.42846,3.60709,-0.62828,-1.07829,-0.4973,-0.90428,1.81507,-0.96126,-0.49469,0.60759,-0.7232,2.13561,1.01882,-0.50082,-0.55741,-1.01459,0
peptide_nm_72,-0.29054,-0.01719,-0.63081,0.40743,-0.42846,0.7026,0.27129,-0.22944,1.01014,1.56494,-0.22563,-0.50898,3.4769,-0.78908,-0.7232,0.9683,-0.75343,-0.50082,-0.55741,-0.07045,0
peptide_nm_73,-0.29054,1.36121,0.67235,0.40743,-0.42846,0.7026,0.27129,-0.22944,1.01014,0.74187,-0.22563,-0.50898,-0.49469,-0.78908,-0.7232,-0.86606,2.49569,-0.50082,-0.55741,-1.01459,0
peptide_nm_74,-0.9492,-0.7064,2.72018,0.71066,-0.42846,-0.57537,-0.62828,-1.07829,1.44084,1.2122,-0.54631,-0.37975,-0.49469,1.40568,2.05043,0.31317,-0.75343,-0.50082,1.24246,-1.01459,0
peptide_nm_75,-0.9492,-0.7064,1.50164,-0.65388,-0.42846,3.60709,-0.62828,-1.07829,1.96942,0.44257,-1.12354,-0.22116,-0.49469,0.60759,1.04184,-0.86606,1.01882,1.13186,-0.55741,0.53037,0
peptide_nm_76,-0.29054,-0.7064,-0.63081,1.46874,-0.42846,0.7026,0.27129,-0.22944,-0.4973,-0.08121,-1.12354,-0.50898,3.4769,1.77147,1.43407,0.9683,-0.75343,-0.50082,0.84249,-1.01459,0
peptide_nm_77,0.87478,0.24789,1.17357,0.08087,-0.42846,0.30938,-0.62828,0.09704,3.67716,-0.90428,0.43053,-0.96126,0.88009,-0.78908,-0.7232,-0.23109,-0.00363,0.18992,0.41175,-1.01459,0
peptide_nm_78,0.17993,-0.7064,-0.63081,0.25581,0.30666,-0.57537,0.91385,0.37688,2.08689,-0.90428,0.41573,-0.57359,1.20742,0.6741,0.20134,-0.07991,-0.75343,-0.50082,-0.55741,-0.20532,0
peptide_nm_79,2.11039,0.49415,-0.63081,-0.65388,0.06952,-0.57537,0.93872,-0.09253,-0.4973,-0.90428,-0.60218,0.35182,-0.49469,-0.29349,-0.7232,0.19905,0.5043,-0.50082,0.25543,-0.46638,0
peptide_nm_80,0.36812,-0.7064,1.97552,-0.65388,0.42918,-0.57537,-0.62828,3.16596,-0.4973,-0.08121,-0.67459,-0.50898,-0.49469,-0.78908,0.35543,-0.86606,-0.75343,-0.50082,0.84249,1.81783,0
peptide_nm_81,0.29879,0.16418,1.01529,0.35157,-0.42846,-0.57537,0.50802,-0.27412,0.45477,0.65523,-0.27289,-0.53278,-0.49469,-0.25001,-0.38258,0.00285,0.95664,-0.50082,0.76881,-0.41829,0
peptide_nm_82,-0.13155,0.14917,0.17805,0.00486,-0.42846,1.8043,-0.06993,0.50233,1.37401,-0.90428,-0.56622,-0.68053,-0.49469,0.27046,1.28529,-0.29678,0.59104,-0.50082,1.18039,-0.42857,0
peptide_nm_83,0.36812,0.21254,-0.63081,0.05366,-0.42846,-0.57537,0.57115,1.18531,0.50766,-0.90428,-0.82424,-0.65974,0.82917,-0.22006,-0.7232,0.35684,0.69063,-0.50082,0.37586,2.13255,0
peptide_nm_84,0.7445,-0.11565,-0.63081,0.25581,1.04177,0.52003,0.91385,-0.35071,-0.4973,-0.19879,-1.12354,0.20175,-0.49469,-0.05749,-0.7232,-0.07991,0.17489,0.35439,-0.55741,0.60394,0
peptide_nm_85,-0.9492,-0.7064,0.48619,0.25581,0.30666,1.61544,0.91385,-0.35071,-0.4973,0.50671,-0.73872,-0.18592,-0.49469,-0.78908,-0.7232,0.70624,1.10321,0.35439,1.84242,-0.20532,0
peptide_nm_86,0.68609,-0.27861,0.17805,0.66361,0.10387,0.21785,1.60515,-0.02455,-0.4973,0.62834,-0.56622,-0.68053,-0.49469,-0.78908,-0.0537,0.27251,0.59104,-0.50082,-0.55741,0.15745,0
peptide_nm_87,-0.9492,1.17325,1.50164,-0.07499,-0.42846,0.1217,0.35307,0.77374,-0.4973,-0.00638,-0.38889,-0.46786,-0.49469,0.60759,0.45349,-0.36578,-0.16268,-0.50082,0.20617,0.01538,0
peptide_nm_88,-0.9492,-0.7064,1.17357,0.81562,-0.42846,1.19413,0.61728,0.09704,1.58993,-0.90428,1.36298,-0.33502,-0.49469,-0.78908,-0.7232,-0.86606,-0.75343,-0.50082,-0.55741,1.59996,0
peptide_nm_89,0.03879,0.32741,1.32393,-0.65388,-0.42846,-0.57537,-0.62828,0.19498,-0.4973,0.33033,1.57019,-0.96126,-0.49469,-0.78908,0.89475,0.50971,0.87113,-0.50082,-0.55741,-1.01459,0
peptide_nm_90,2.69877,-0.7064,-0.63081,0.81562,-0.42846,2.96363,0.61728,-1.07829,-0.4973,-0.90428,-0.50191,0.29121,-0.49469,-0.78908,-0.7232,1.67382,-0.75343,-0.50082,-0.55741,-1.01459,0
peptide_nm_91,0.92278,-0.05347,-0.63081,1.35702,-0.42846,-0.57537,0.22395,-0.27412,-0.4973,-0.90428,0.15243,-0.96126,-0.49469,-0.78908,0.29866,0.87175,2.32469,-0.50082,-0.55741,0.77431,0
peptide_nm_92,-0.29054,1.36121,-0.63081,-0.65388,-0.42846,-0.57537,1.17087,0.61941,-0.4973,0.74187,-0.22563,-0.50898,1.49111,0.06444,-0.7232,0.05112,1.41265,-0.50082,-0.55741,-1.01459,0
peptide_nm_93,0.17993,-0.11565,0.48619,-0.65388,-0.42846,0.52003,-0.62828,-0.35071,-0.4973,0.50671,1.955,-0.96126,-0.49469,-0.05749,-0.7232,-0.86606,-0.75343,-0.50082,-0.55741,2.22247,0
peptide_nm_94,-0.9492,0.62278,0.20694,0.02839,-0.42846,-0.57537,3.99811,-0.5326,-0.4973,-0.90428,0.03091,-0.089,0.78189,0.3083,-0.7232,-0.27644,-0.75343,-0.50082,1.24246,-0.40764,0
peptide_nm_95,0.59722,-0.7064,1.40892,0.17671,-0.42846,0.42478,0.07573,0.25034,1.86217,0.38401,-0.42083,-0.6073,-0.49469,-0.12111,0.9651,-0.14827,-0.75343,-0.50082,-0.55741,0.4632,0
peptide_nm_96,0.87478,1.20217,-0.63081,-0.65388,-0.42846,1.19413,-0.62828,-1.07829,1.58993,-0.90428,-0.50191,-0.96126,-0.49469,-0.78908,0.77029,4.21369,-0.75343,-0.50082,-0.55741,0.29268,0
peptide_nm_97,0.53279,1.61967,-0.63081,1.73406,-0.42846,-0.57537,0.38374,-1.07829,1.19857,0.94764,-0.61847,-0.96126,-0.49469,0.17113,-0.7232,-0.86606,-0.75343,-0.50082,-0.55741,2.17189,0
peptide_nm_98,0.7445,-0.7064,-0.63081,1.1655,-0.42846,0.52003,0.14278,1.83205,0.79479,-0.19879,-0.73872,-0.96126,1.20742,-0.05749,-0.7232,-0.86606,-0.75343,-0.50082,-0.55741,3.03173,0
peptide_nm_99,-0.10235,-0.7064,-0.63081,0.71066,-0.42846,1.06774,0.52832,0.01309,-0.4973,1.2122,-1.12354,-0.37975,-0.49469,1.40568,-0.7232,0.31317,2.03153,-0.50082,-0.55741,0.19931,0
peptide_nm_100,-0.03721,-0.7064,-0.63081,0.81562,-0.42846,-0.57537,-0.62828,0.09704,-0.4973,-0.90428,0.11972,-0.96126,-0.49469,-0.78908,-0.7232,2.94375,-0.75343,2.26217,3.31923,0.29268,0
peptide_nm_101,-0.52578,-0.26334,0.20694,0.71066,-0.42846,1.88929,0.52832,-1.07829,-0.4973,0.15396,0.31953,0.78326,0.78189,-0.78908,1.35702,-0.86606,-0.05719,-0.50082,-0.55741,-1.01459,0
peptide_nm_102,-0.52578,-0.26334,1.04469,-0.65388,-0.42846,1.06774,1.10661,0.55878,-0.4973,0.68308,-0.2577,-0.37975,0.78189,-0.24039,0.66361,-0.27644,0.63905,-0.50082,0.34253,-1.01459,0
peptide_nm_103,-0.03721,-0.7064,1.17357,0.81562,-0.42846,1.19413,-0.62828,0.09704,1.58993,-0.90428,0.11972,-0.96126,-0.49469,-0.78908,-0.7232,-0.86606,0.74617,-0.50082,1.38091,2.90723,0
peptide_nm_104,-0.43373,-0.7064,-0.63081,-0.65388,0.24273,0.42478,0.07573,-0.41397,0.68243,1.6723,-0.42083,-0.6073,1.05941,1.21483,0.9651,0.56952,-0.75343,-0.50082,0.53816,-0.2757,0
peptide_nm_105,-0.03721,-0.7064,-0.63081,5.22414,0.75903,-0.57537,0.61728,0.09704,1.58993,-0.90428,-0.50191,0.29121,-0.49469,-0.78908,-0.7232,-0.86606,0.74617,-0.50082,-0.55741,-1.01459,0
peptide_nm_106,-0.9492,1.20217,-0.63081,0.08087,-0.42846,-0.57537,1.24007,-0.49063,0.54631,1.94483,-1.12354,-0.0219,0.88009,-0.19818,-0.7232,-0.86606,0.74617,-0.50082,0.41175,0.94632,0
peptide_nm_107,2.4382,0.17972,-0.63081,0.71066,-0.42846,2.71084,-0.62828,0.01309,-0.4973,-0.90428,-0.54631,-0.37975,-0.49469,-0.78908,-0.7232,1.4924,0.63905,-0.50082,-0.55741,-1.01459,0
peptide_nm_108,-0.38464,-0.7064,-0.63081,1.1655,1.04177,0.52003,0.14278,-1.07829,-0.4973,-0.90428,-0.73872,0.20175,-0.49469,-0.05749,0.20134,0.70624,1.10321,0.35439,3.04233,-1.01459,0
peptide_nm_109,-0.03721,0.24789,-0.63081,0.81562,-0.42846,-0.57537,0.61728,-1.07829,-0.4973,1.375,-0.50191,-0.96126,2.25487,0.39272,2.26378,1.67382,-0.75343,-0.50082,-0.55741,-1.01459,0
peptide_nm_110,-0.29054,0.67201,-0.63081,-0.65388,-0.42846,-0.57537,0.27129,-0.22944,-0.4973,2.38802,-0.67459,-0.96126,-0.49469,2.62499,1.43407,0.05112,0.32961,-0.50082,-0.55741,-1.01459,0
peptide_nm_111,-0.9492,0.32741,0.34656,0.1421,-0.42846,-0.57537,0.72108,-0.44165,-0.4973,0.33033,-0.78683,0.39559,0.99466,-0.14894,1.70372,-0.86606,0.87113,-0.50082,-0.55741,1.10973,0
peptide_nm_112,0.80723,0.21254,0.23796,-0.65388,-0.42846,1.98057,1.17087,0.05351,-0.4973,0.19315,-0.22563,-0.35822,-0.49469,-0.78908,-0.7232,0.35684,-0.0314,-0.50082,-0.55741,0.24427,0
peptide_nm_113,0.03879,-0.7064,2.30131,-0.65388,-0.42846,1.34159,1.39576,0.19498,-0.4973,-0.90428,-0.45011,-0.28284,0.99466,-0.14894,-0.7232,-0.17818,0.87113,-0.50082,-0.55741,1.10973,0
