,DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,y
Neg_1615,9.11,10.48,0.0,16.83,26.17,24.43,0.0,15.37,8.11,28.03,5.76,16.0,14.43,28.03,20.14,20.41,11.1,0.0,0.0,18.83,0
Neg_103,19.71,20.82,0.0,0.0,13.89,15.53,12.43,10.82,20.56,16.1,18.88,5.15,0.0,0.0,20.48,19.71,13.08,0.0,35.32,0.0,0
Neg_1048,14.59,12.98,29.02,19.86,0.0,15.93,27.3,27.2,30.3,21.75,17.36,22.39,34.36,14.23,24.36,12.17,26.89,39.29,19.4,25.96,0
Neg_628,8.71,7.04,5.39,11.84,0.0,0.0,12.8,13.52,11.6,15.44,12.96,15.44,0.0,15.46,11.52,23.04,12.24,13.52,0.0,12.71,0
Neg_2169,12.97,16.4,24.83,30.98,32.42,0.0,17.93,25.71,0.0,4.81,21.4,20.31,0.0,20.51,11.49,22.19,25.16,0.0,23.45,7.13,0
Neg_599,15.39,15.06,46.29,45.92,20.94,45.05,90.01,37.43,25.67,84.27,20.88,43.7,77.23,23.44,18.16,21.85,25.42,35.1,46.75,30.17,0
Neg_2490,8.19,11.19,0.0,0.0,14.11,12.75,8.07,10.46,0.0,0.0,10.59,10.15,0.0,0.0,10.89,13.25,0.0,27.03,0.0,19.18,0
Neg_62,11.91,18.49,37.24,26.91,43.06,19.07,11.66,32.81,37.01,37.09,16.74,23.32,40.4,54.94,41.64,10.6,40.72,39.73,19.53,14.36,0
Neg_1129,0.0,10.64,50.33,0.0,21.37,25.53,17.32,13.01,10.6,29.84,20.38,10.33,0.0,24.77,23.66,14.1,16.08,47.01,24.09,29.78,0
Neg_190,0.0,5.75,0.0,0.0,0.0,0.0,4.92,0.0,0.0,6.15,0.0,5.54,8.42,0.0,4.75,6.15,0.0,0.0,0.0,6.08,0
Neg_1522,11.14,10.96,0.0,26.71,54.03,20.93,14.81,11.56,33.56,0.0,10.74,34.9,0.0,0.0,34.76,40.14,0.0,0.0,0.0,24.44,0
Neg_165,26.79,8.84,32.22,15.63,23.2,17.66,18.92,40.4,33.48,20.34,14.79,17.58,32.28,37.08,34.0,0.0,27.8,42.62,24.1,22.13,0
Neg_1152,23.11,25.35,0.0,18.0,0.0,0.0,23.85,8.14,26.77,26.8,7.45,17.23,24.26,31.57,30.6,18.68,21.74,22.41,0.0,6.45,0
Neg_217,15.33,10.49,22.8,8.47,44.1,25.35,13.2,27.76,0.0,20.81,23.67,40.52,13.63,22.71,23.52,11.63,23.02,44.1,0.0,15.46,0
Neg_1140,44.02,24.36,17.42,22.54,19.75,21.91,16.84,21.2,29.56,22.53,9.69,30.02,25.15,0.0,13.02,11.88,28.43,25.93,28.8,16.8,0
Neg_2378,8.55,36.48,14.42,15.39,0.0,0.0,16.28,16.93,19.86,10.07,16.88,13.72,29.02,21.69,24.7,21.3,24.36,31.51,0.0,8.73,0
Neg_1569,25.49,30.79,33.91,12.12,42.25,37.36,16.63,31.44,33.24,78.06,13.87,28.65,0.0,28.72,28.84,11.19,22.22,0.0,33.68,8.96,0
Neg_662,22.04,11.54,20.21,7.39,0.0,0.0,13.3,6.15,9.23,11.04,8.78,10.23,0.0,12.71,0.0,0.0,12.04,11.21,0.0,0.0,0
Neg_688,18.3,20.34,12.33,20.08,51.09,24.2,14.06,0.0,27.09,0.0,17.17,6.94,0.0,16.59,11.53,27.42,48.24,20.87,38.68,33.39,0
Neg_541,0.0,0.0,0.0,7.07,6.67,5.79,0.0,8.93,0.0,7.79,11.33,7.73,6.53,6.67,0.0,0.0,7.07,0.0,9.87,13.07,0
Neg_624,12.35,13.7,17.26,0.0,12.04,11.27,10.88,8.42,23.19,19.93,13.58,0.0,0.0,8.46,8.96,12.81,17.26,0.0,12.52,10.5,0
Neg_2108,22.5,21.88,24.57,48.03,18.12,14.62,0.0,21.51,18.77,19.89,12.98,0.0,20.47,26.62,23.34,9.17,17.68,0.0,24.29,14.41,0
Neg_2808,18.79,23.55,0.0,27.99,20.28,50.93,46.49,26.59,43.42,29.62,6.92,48.5,0.0,23.49,24.08,15.07,33.07,46.43,46.28,20.7,0
Neg_2794,15.89,14.36,0.0,15.87,18.04,0.0,12.56,7.69,26.77,26.77,35.91,29.7,25.23,35.07,12.52,8.44,15.07,30.85,0.0,0.0,0
Neg_2286,32.82,48.43,81.01,14.17,44.22,18.2,23.7,22.06,0.0,29.66,8.79,10.54,0.0,0.0,16.68,20.4,28.0,50.14,42.92,26.35,0
Neg_373,20.22,33.27,38.79,36.59,25.53,25.24,24.99,44.36,0.0,13.58,23.28,63.59,43.95,15.22,0.0,26.58,15.01,53.56,45.7,11.89,0
Neg_2612,0.0,31.41,24.78,35.66,0.0,25.44,20.58,11.93,0.0,20.72,17.89,13.79,0.0,49.79,19.91,18.36,20.22,0.0,26.0,11.76,0
Neg_937,64.05,21.68,41.81,12.0,0.0,47.62,17.7,19.39,39.53,16.44,19.57,28.43,60.27,19.94,26.06,22.29,14.93,19.19,48.42,35.22,0
Neg_1345,37.9,20.34,33.48,19.84,38.98,21.6,21.46,34.27,41.34,21.25,9.09,17.93,20.58,17.39,26.2,25.88,11.16,0.0,11.6,17.81,0
Neg_2671,27.94,48.06,74.59,21.54,64.29,46.7,24.85,18.13,0.0,11.19,14.44,20.71,22.1,24.06,18.25,24.08,47.44,50.7,36.47,15.23,0
Neg_2855,9.24,9.62,15.14,10.59,0.0,14.0,9.52,11.86,11.14,0.0,4.12,0.0,13.86,0.0,12.77,11.14,0.0,0.0,0.0,20.05,0
Neg_279,21.39,59.49,20.82,23.89,0.0,30.85,15.74,36.11,41.25,0.0,12.41,34.49,30.85,45.92,12.6,18.61,49.38,53.74,59.35,15.76,0
Neg_706,26.85,27.93,55.57,18.28,43.98,30.0,17.31,44.62,51.78,32.15,15.45,8.31,55.75,24.21,16.31,16.69,41.86,0.0,39.2,21.67,0
Neg_2921,10.24,23.55,38.24,19.4,20.9,0.0,41.51,26.77,36.73,18.72,11.91,23.1,15.28,13.5,28.52,14.8,16.6,0.0,33.02,18.47,0
Neg_994,22.58,17.14,12.81,14.0,0.0,15.39,8.86,23.64,0.0,13.61,12.29,6.91,0.0,0.0,0.0,13.92,14.18,0.0,17.92,14.13,0
Neg_2453,10.61,0.0,14.78,0.0,0.0,19.22,0.0,7.86,0.0,6.48,5.9,13.65,5.43,13.65,0.0,10.05,0.0,12.7,21.04,7.71,0
Neg_2074,0.0,16.15,0.0,9.56,12.07,14.37,0.0,13.04,14.46,26.04,10.22,10.89,0.0,20.89,13.89,8.96,11.12,13.46,22.46,10.59,0
Neg_1803,17.04,11.21,0.0,0.0,0.0,9.13,11.41,11.54,7.57,0.0,4.74,11.04,0.0,0.0,15.71,5.43,0.0,0.0,20.21,13.54,0
Neg_653,33.03,17.94,20.74,0.0,12.97,10.97,22.23,14.13,0.0,18.5,12.34,0.0,17.03,15.44,16.74,6.76,24.74,0.0,0.0,11.79,0
Neg_1943,12.39,13.52,21.41,23.45,0.0,0.0,21.86,0.0,13.79,10.68,4.79,14.62,17.93,0.0,8.96,10.46,6.58,0.0,0.0,13.59,0
Neg_1283,19.8,17.1,30.0,23.1,30.41,23.02,24.09,17.52,24.16,39.84,10.07,16.63,18.52,24.53,38.24,23.28,35.31,0.0,12.37,16.04,0
Neg_1383,12.04,7.88,0.0,0.0,0.0,10.16,16.35,12.5,0.0,14.21,8.78,17.58,0.0,15.27,15.27,21.2,8.4,0.0,0.0,9.13,0
Neg_325,13.23,0.0,67.01,0.0,43.97,0.0,0.0,8.16,0.0,0.0,48.84,0.0,34.23,22.01,2.24,11.84,17.2,0.0,26.54,19.8,0
Neg_2702,13.07,14.78,0.0,65.6,67.13,12.45,11.92,31.27,0.0,57.41,10.42,21.78,67.13,0.0,33.77,31.94,40.73,72.0,79.15,0.0,0
Neg_2180,12.0,19.89,22.64,0.0,26.76,29.13,19.9,14.02,26.09,41.57,14.78,12.31,0.0,52.02,9.23,32.76,12.06,0.0,0.0,10.37,0
Neg_585,14.53,27.76,9.44,32.02,23.19,19.15,17.52,30.85,0.0,0.0,13.25,7.22,25.96,23.85,22.89,16.8,32.09,24.04,27.89,12.2,0
Neg_2047,10.31,15.89,8.17,0.0,22.28,17.43,0.0,26.77,22.63,10.34,10.55,0.0,22.68,33.4,23.8,18.89,26.49,0.0,38.54,34.81,0
Neg_2392,11.9,9.62,6.21,0.0,15.62,12.95,17.24,14.19,11.75,0.0,9.9,8.45,0.0,11.05,0.0,7.65,5.39,0.0,0.0,0.0,0
Neg_919,10.08,0.0,0.0,0.0,0.0,0.0,5.08,2.7,0.0,0.0,10.08,8.42,0.0,0.0,5.08,4.91,0.0,0.0,0.0,6.18,0
Neg_2566,24.83,44.31,15.4,13.94,27.75,41.64,19.16,28.88,0.0,26.48,16.27,18.62,44.07,32.03,50.5,65.1,58.76,43.53,24.94,22.22,0
Neg_404,24.43,0.0,0.0,10.89,0.0,0.0,14.17,9.31,0.0,0.0,3.62,7.92,0.0,10.75,9.31,25.17,22.83,18.83,16.03,0.0,0
Neg_953,21.05,33.73,30.08,55.21,29.92,24.82,40.98,20.95,0.0,27.57,9.71,20.41,35.25,44.92,23.84,10.41,15.16,0.0,38.0,17.57,0
Neg_1257,14.88,0.0,42.33,20.24,0.0,40.36,13.98,26.1,19.45,22.26,18.67,8.95,22.05,17.25,39.56,56.21,19.95,30.33,22.43,16.74,0
Neg_1680,20.07,20.02,39.02,19.71,19.95,8.86,13.03,13.9,29.07,9.97,26.24,8.71,0.0,27.73,22.63,14.92,0.0,33.61,19.95,15.44,0
Neg_1098,4.18,5.54,0.0,10.08,0.0,0.0,6.15,0.0,0.0,0.0,0.0,2.73,0.0,8.0,0.0,3.58,0.0,0.0,0.0,0.0,0
Neg_1404,0.0,9.45,0.0,0.0,0.0,0.0,11.05,0.0,11.9,9.9,13.58,9.05,15.62,10.38,19.05,9.05,7.72,14.19,19.05,0.0,0
Neg_79,14.2,16.93,38.85,14.41,0.0,40.52,30.6,18.81,9.2,11.87,7.86,24.04,0.0,18.43,0.0,20.76,14.76,26.13,25.35,21.24,0
Neg_2483,10.66,22.48,0.0,12.09,0.0,14.73,16.41,9.22,16.38,21.32,22.5,0.0,0.0,16.15,8.53,26.74,11.72,28.38,25.21,8.5,0
Neg_2866,0.0,0.0,0.0,6.08,0.0,0.0,0.0,11.08,9.38,0.0,6.15,0.0,0.0,8.0,4.92,0.0,2.3,0.0,0.0,11.08,0
Neg_133,28.45,15.59,32.76,14.6,43.15,18.35,41.06,19.84,33.36,50.2,15.25,22.85,44.28,28.05,15.71,80.28,19.82,48.44,31.76,17.11,0
Neg_1514,21.91,22.32,0.0,0.0,0.0,24.78,1.2,25.35,0.0,0.0,0.0,6.04,0.0,0.0,0.0,0.0,17.66,0.0,0.0,10.52,0
Neg_1790,14.97,9.35,18.48,12.71,0.0,23.79,19.7,19.32,17.21,0.0,6.15,0.0,17.79,20.42,14.55,16.38,0.0,0.0,22.5,17.79,0
Neg_2219,16.92,16.48,31.91,0.0,34.25,50.66,49.25,8.63,13.11,23.6,23.43,46.96,24.57,46.35,9.48,12.22,14.28,33.6,35.13,21.05,0
Neg_2758,31.47,15.36,0.0,32.17,0.0,43.52,40.29,25.69,18.44,45.24,12.0,18.56,0.0,40.32,19.32,7.88,12.05,0.0,0.0,29.91,0
Neg_621,9.27,12.32,16.74,16.74,0.0,7.47,14.61,12.85,0.0,10.74,7.86,9.03,0.0,0.0,0.0,0.0,26.74,17.03,0.0,22.21,0
Neg_904,5.08,5.42,0.0,8.42,0.0,0.0,3.09,10.08,0.0,0.0,4.1,5.42,7.08,0.0,7.08,0.0,0.0,0.0,0.0,0.0,0
Neg_736,0.0,7.38,0.0,0.0,19.63,22.32,6.61,14.83,12.48,8.07,23.81,8.18,14.52,0.0,11.77,12.1,16.84,0.0,17.68,29.03,0
Neg_431,0.0,27.67,61.19,31.77,0.0,25.57,28.5,32.51,23.8,0.0,10.28,9.29,17.08,0.0,15.27,15.24,16.05,0.0,14.41,13.21,0
Neg_2469,0.0,12.76,16.37,10.5,7.93,0.0,17.38,9.59,27.16,10.76,16.37,22.32,0.0,10.7,16.13,14.77,17.68,0.0,14.03,15.1,0
Neg_2895,16.44,13.32,42.92,18.99,0.0,49.2,25.49,25.04,62.19,40.06,11.64,40.72,21.46,23.83,25.58,13.64,30.28,65.18,0.0,15.83,0
Neg_202,12.78,47.3,45.85,17.7,32.06,16.31,26.2,16.46,19.72,19.44,10.88,37.75,24.44,55.4,13.58,11.41,12.95,0.0,0.0,0.0,0
Neg_478,9.55,9.84,12.36,18.5,20.26,12.41,24.24,11.58,0.0,0.0,15.33,14.78,19.32,15.66,26.74,0.0,21.58,19.32,15.58,17.21,0
Neg_1929,21.35,24.13,23.65,13.82,38.26,22.09,26.71,36.18,0.0,13.31,11.59,19.78,41.09,55.85,31.78,14.72,22.09,44.35,72.26,21.58,0
Neg_1179,0.0,0.0,9.41,9.39,0.0,7.81,6.47,8.06,11.39,0.0,6.0,0.0,0.0,0.0,11.39,10.24,16.06,8.12,0.0,0.0,0
Neg_116,20.19,21.77,44.31,15.61,83.15,32.67,16.16,46.22,22.55,25.91,9.53,0.0,23.88,39.01,17.49,25.63,33.12,0.0,79.46,38.3,0
Neg_2854,19.02,12.31,17.39,19.13,0.0,19.08,13.29,11.76,0.0,18.31,22.14,18.97,0.0,18.72,22.62,9.78,15.74,21.12,0.0,31.02,0
Neg_2229,15.92,10.18,33.14,14.46,0.0,0.0,17.57,20.17,0.0,11.14,9.39,28.11,0.0,34.03,11.69,13.32,0.0,0.0,17.58,11.6,0
Neg_301,11.63,0.0,9.04,0.0,22.46,8.42,18.52,13.04,8.67,26.04,6.56,13.18,0.0,17.04,12.07,13.89,0.0,0.0,15.19,12.27,0
Neg_2264,14.71,14.3,20.67,18.11,29.47,48.71,15.76,19.65,29.47,39.81,42.5,40.18,23.12,0.0,26.28,10.37,42.56,0.0,14.36,48.45,0
Neg_58,13.03,30.15,11.21,11.88,0.0,0.0,20.26,16.15,13.78,0.0,8.32,16.06,17.79,15.41,21.32,9.74,16.03,30.15,0.0,8.57,0
Neg_37,8.91,18.15,0.0,10.0,0.0,31.14,7.05,16.38,0.0,0.0,16.74,26.17,0.0,23.43,0.0,33.03,14.38,0.0,0.0,16.03,0
Neg_1299,0.0,7.45,0.0,0.0,0.0,5.27,0.0,0.0,9.09,6.18,4.44,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0
Neg_2238,43.02,14.43,21.11,16.79,19.73,20.6,12.39,20.98,27.76,23.85,9.31,12.23,0.0,25.75,35.33,22.28,22.02,38.54,0.0,16.98,0
Neg_1065,26.05,19.01,29.22,22.1,0.0,24.25,23.64,35.32,43.68,16.1,13.86,27.42,62.35,16.42,19.36,20.32,12.74,38.64,75.16,26.38,0
Neg_2393,26.02,12.83,33.4,26.05,32.89,21.75,25.3,33.49,34.07,50.0,9.79,21.96,33.81,26.33,12.05,30.51,0.0,28.87,44.89,10.67,0
Neg_1063,40.87,37.25,19.47,19.82,41.79,21.99,56.23,23.78,58.87,18.08,32.67,16.54,40.01,17.04,27.81,16.63,16.25,0.0,19.61,11.08,0
Neg_2681,13.81,0.0,17.09,31.35,20.16,21.19,7.34,14.58,0.0,33.14,14.92,12.67,0.0,0.0,8.85,17.74,19.46,0.0,0.0,14.14,0
Neg_1206,34.66,13.89,0.0,20.8,20.03,52.13,14.25,24.56,25.02,27.47,8.81,38.37,31.08,38.37,20.47,13.31,23.22,55.91,19.17,22.83,0
Neg_926,0.0,0.0,0.0,8.72,0.0,8.72,8.63,14.28,9.47,0.0,10.21,11.16,0.0,8.95,4.94,7.53,0.0,0.0,5.83,0.0,0
Neg_1834,4.73,0.0,0.0,5.27,0.0,0.0,0.0,8.42,0.0,7.45,3.09,0.0,5.08,0.0,0.0,0.0,4.91,0.0,0.0,0.0,0
Neg_219,16.73,25.91,0.0,23.73,18.53,22.02,7.66,18.06,26.82,26.82,10.46,0.0,0.0,45.1,23.59,7.07,16.27,0.0,9.84,0.0,0
Neg_1051,15.81,32.23,21.26,26.1,0.0,33.35,25.8,36.91,27.58,19.26,22.48,28.45,41.72,37.81,16.71,10.32,28.99,42.09,55.56,30.65,0
Neg_2732,9.39,5.56,0.0,0.0,0.0,8.28,0.0,0.0,8.28,0.0,8.72,0.0,0.0,0.0,2.79,9.73,0.0,0.0,0.0,15.06,0
Neg_22,14.65,9.58,9.05,0.0,0.0,0.0,5.17,0.0,11.05,7.68,11.16,9.65,14.65,9.25,0.0,16.25,0.0,0.0,17.05,10.84,0
Neg_2672,6.44,14.53,0.0,35.76,26.6,47.45,17.65,11.69,22.64,15.02,36.69,34.69,0.0,16.15,38.69,9.55,14.19,0.0,0.0,13.9,0
Neg_1925,30.1,17.45,33.61,70.74,0.0,0.0,26.96,11.57,40.74,31.19,14.46,44.45,76.16,26.29,36.14,15.01,16.83,18.63,45.41,17.25,0
Neg_1046,17.79,18.5,0.0,0.0,0.0,19.32,13.39,1.88,0.0,16.03,12.47,13.64,19.32,32.03,5.54,0.0,0.0,0.0,0.0,16.41,0
Neg_2602,22.98,0.0,20.66,0.0,27.02,12.21,0.0,21.06,40.2,31.14,28.43,47.1,14.34,26.43,4.05,23.42,18.4,0.0,11.88,7.42,0
Neg_2626,21.73,17.75,19.69,12.76,24.98,33.22,26.88,30.32,24.05,15.36,17.09,30.0,26.68,26.82,11.4,24.15,27.02,0.0,0.0,19.26,0
Neg_664,27.26,40.33,19.12,24.24,47.51,32.39,28.78,27.29,26.76,11.81,16.01,22.66,34.32,55.56,47.61,28.68,20.77,43.68,11.66,39.37,0
Neg_1033,11.49,63.64,38.75,32.78,26.82,48.34,40.08,18.87,49.13,57.13,8.82,66.57,0.0,27.98,20.65,8.51,19.09,76.48,0.0,18.99,0
Neg_1541,7.67,22.15,29.82,70.02,0.0,18.23,12.18,26.69,23.26,0.0,15.5,22.49,0.0,41.13,49.34,30.19,74.26,0.0,0.0,13.75,0
Neg_352,10.94,17.02,16.71,16.08,0.0,27.13,17.87,30.91,0.0,32.87,11.38,16.79,0.0,0.0,6.37,11.58,12.9,0.0,0.0,0.0,0
Neg_2763,32.1,8.12,20.6,28.53,33.18,15.09,5.96,0.0,0.0,20.66,8.77,10.41,0.0,55.4,0.0,48.79,32.34,0.0,0.0,21.08,0
Neg_2198,9.42,17.9,41.53,43.01,25.16,41.06,31.15,24.14,28.99,28.6,11.12,0.0,0.0,25.65,20.11,19.21,25.58,54.06,35.46,16.2,0
Neg_260,0.0,20.21,0.0,7.86,11.54,0.0,7.5,11.54,0.0,7.04,17.57,6.32,13.13,0.0,20.21,22.04,22.04,0.0,0.0,7.86,0
Neg_743,6.87,14.53,0.0,37.87,0.0,17.44,26.77,9.77,27.66,0.0,43.11,30.85,0.0,0.0,6.03,11.91,16.84,22.51,0.0,22.55,0
Neg_1798,19.53,6.55,0.0,16.91,0.0,24.78,4.24,30.03,30.03,11.48,26.41,8.21,10.9,6.07,0.0,0.0,24.78,23.28,0.0,0.0,0
Neg_805,8.35,40.32,53.4,56.44,48.78,13.86,18.18,13.04,0.0,0.0,22.23,38.78,52.47,33.59,11.62,11.1,23.2,0.0,49.06,15.3,0
Neg_2446,67.1,23.28,32.77,22.29,0.0,32.88,39.52,10.39,41.32,29.1,12.31,20.32,0.0,26.61,37.54,18.72,35.33,30.45,16.87,11.5,0
Neg_1456,0.0,8.63,17.05,11.16,13.68,12.32,0.0,0.0,9.47,0.0,8.72,6.71,15.26,10.21,4.94,8.63,5.61,0.0,0.0,0.0,0
Neg_853,6.36,6.36,0.0,0.0,0.0,10.36,12.07,0.0,0.0,0.0,4.77,0.0,0.0,0.0,6.93,6.93,5.42,0.0,0.0,4.75,0
Neg_1866,11.97,13.29,0.0,18.97,17.14,0.0,12.97,11.03,15.76,0.0,14.1,11.66,0.0,20.52,15.46,12.92,20.36,0.0,29.52,19.12,0
Neg_1972,15.85,16.33,0.0,44.66,26.49,48.62,30.56,18.54,43.84,60.8,10.96,47.81,86.01,25.22,21.74,16.35,26.76,0.0,0.0,29.2,0
Neg_1250,23.2,30.09,40.27,31.91,0.0,21.73,22.97,25.82,24.82,32.38,10.49,32.58,25.51,61.01,24.65,23.95,32.65,39.8,43.24,30.46,0
Neg_2893,17.3,14.99,29.24,35.74,0.0,7.64,11.23,32.11,41.01,0.0,12.08,10.85,63.64,40.16,0.0,40.4,33.44,50.4,65.41,19.65,0
Neg_415,0.0,12.29,9.38,20.23,17.14,0.0,16.74,17.54,17.03,9.03,11.62,0.0,19.37,16.17,9.82,14.34,24.51,0.0,23.14,17.97,0
Neg_2440,10.61,9.05,0.0,0.0,0.0,11.14,10.59,10.57,11.05,0.0,5.85,0.0,0.0,21.04,7.32,19.22,0.0,0.0,0.0,8.95,0
Neg_1947,12.77,14.16,0.0,17.7,14.34,10.0,8.43,17.59,0.0,0.0,8.54,0.0,9.63,0.0,19.39,22.85,16.48,17.03,15.58,24.24,0
Neg_2296,7.75,11.91,0.0,27.57,39.91,34.53,0.0,4.67,59.91,38.91,14.65,36.72,32.24,0.0,56.91,10.47,26.64,33.29,63.12,17.4,0
Neg_1491,21.01,23.98,48.15,24.35,25.78,20.78,15.8,56.61,36.72,25.32,24.66,20.16,27.44,27.67,21.1,32.38,28.66,32.21,48.07,22.76,0
Neg_1592,26.34,45.45,37.65,21.58,41.02,16.1,33.38,28.41,22.76,21.45,8.36,0.0,39.52,41.37,13.98,15.31,29.94,26.98,0.0,16.92,0
Neg_833,26.02,13.29,16.1,25.55,18.87,15.18,18.42,10.66,15.87,37.28,12.02,8.6,0.0,45.4,0.0,20.71,39.63,0.0,17.1,21.55,0
Neg_2254,10.81,5.69,0.0,0.0,0.0,7.07,3.5,9.56,0.0,7.81,0.0,12.31,0.0,0.0,0.0,6.21,0.0,0.0,0.0,0.0,0
Neg_2786,13.83,18.45,23.2,41.55,73.16,30.82,10.59,15.75,0.0,0.0,21.93,11.19,30.53,0.0,43.09,29.2,50.57,0.0,0.0,58.29,0
Neg_1307,29.82,22.93,17.04,34.55,36.01,44.66,15.19,30.77,34.07,25.8,8.44,18.61,48.27,14.54,23.86,17.04,73.01,47.17,44.21,17.89,0
Neg_1022,8.0,6.75,0.0,9.24,10.23,0.0,15.14,11.75,0.0,0.0,13.86,0.0,0.0,6.05,8.55,18.23,20.05,12.77,0.0,0.0,0
Neg_2289,18.38,16.36,0.0,16.31,0.0,18.0,9.68,31.35,0.0,11.09,14.69,10.72,28.11,0.0,18.38,0.0,10.8,17.57,17.51,20.97,0
