,formula_C,formula_H,formula_N,formula_O,formula_S,y
Neg_1426,257,423,79,81,2,0
Neg_12,520,811,133,127,4,0
Neg_506,351,540,100,99,3,0
Neg_136,360,579,101,132,2,0
Neg_378,140,207,35,55,0,0
Neg_2058,168,258,42,52,0,0
Neg_2336,254,405,61,76,2,0
Neg_2220,448,717,117,136,1,0
Neg_262,82,139,23,39,1,0
Neg_1888,290,454,70,93,2,0
Neg_2552,251,406,68,74,1,0
Neg_1340,503,783,139,137,6,0
Neg_1753,214,371,55,60,3,0
Neg_941,480,766,128,131,6,0
Neg_689,192,296,60,53,3,0
Neg_403,499,781,135,133,3,0
Neg_2524,377,594,116,98,4,0
Neg_1006,287,417,67,84,5,0
Neg_89,153,247,41,42,1,0
Neg_1956,303,484,70,85,6,0
Neg_2723,300,454,76,80,1,0
Neg_34,293,462,84,92,4,0
Neg_757,153,255,41,44,2,0
Neg_1170,100,158,26,28,0,0
Neg_1405,448,670,100,118,2,0
Neg_1634,297,480,96,85,2,0
Neg_835,474,750,130,138,8,0
Neg_1809,374,632,138,111,0,0
Neg_296,353,575,87,96,7,0
Neg_1989,447,699,125,125,8,0
Neg_636,388,639,121,134,3,0
Neg_1350,209,338,52,72,0,0
Neg_160,46,76,14,19,0,0
Neg_1524,190,318,58,57,1,0
Neg_836,520,765,129,180,5,0
Neg_1885,270,426,66,74,1,0
Neg_1723,510,784,136,151,4,0
Neg_1139,369,607,119,120,4,0
Neg_531,247,379,61,72,2,0
Neg_131,469,692,116,129,3,0
Neg_226,410,626,100,118,2,0
Neg_2031,311,478,98,98,1,0
Neg_1050,279,445,83,95,2,0
Neg_2215,126,204,42,40,1,0
Neg_1008,215,353,61,66,3,0
Neg_755,99,160,32,32,0,0
Neg_1309,109,185,29,29,0,0
Neg_1348,274,422,78,87,0,0
Neg_2829,70,111,19,29,0,0
Neg_1281,146,231,45,44,1,0
Neg_2879,77,122,24,23,0,0
Neg_2182,359,575,113,129,6,0
Neg_513,169,271,45,46,3,0
Neg_2222,91,152,24,39,3,0
Neg_2348,201,307,51,60,5,0
Neg_549,135,238,40,33,2,0
Neg_2669,174,236,44,48,1,0
Neg_1248,315,517,89,91,4,0
Neg_19,315,483,83,103,4,0
Neg_1763,165,267,47,51,0,0
Neg_2832,163,281,47,56,1,0
Neg_1992,360,556,106,127,5,0
Neg_2675,377,573,95,98,2,0
Neg_203,514,779,145,153,7,0
Neg_2314,426,671,105,128,1,0
Neg_460,317,509,103,112,11,0
Neg_248,389,643,117,128,2,0
Neg_418,351,544,94,108,2,0
Neg_1007,479,779,131,141,5,0
Neg_2178,250,369,57,62,3,0
Neg_537,337,527,89,87,3,0
Neg_97,372,602,122,119,2,0
Neg_1719,279,442,70,67,2,0
Neg_1777,310,492,84,98,5,0
Neg_771,449,700,134,119,10,0
Neg_2070,237,362,58,77,2,0
Neg_1418,308,524,104,109,2,0
Neg_1167,336,512,94,93,6,0
Neg_2477,432,692,126,150,2,0
Neg_715,452,696,128,135,1,0
Neg_616,429,666,96,127,5,0
Neg_558,341,550,84,90,2,0
Neg_64,228,366,80,61,5,0
Neg_1316,230,333,61,70,3,0
Neg_1507,63,110,20,18,0,0
Neg_1101,357,576,100,99,3,0
Neg_1796,330,542,108,114,2,0
Neg_1223,447,704,142,155,13,0
Neg_538,455,760,136,153,2,0
Neg_302,418,659,125,138,2,0
Neg_200,367,592,110,109,1,0
Neg_1730,329,537,89,105,1,0
Neg_876,424,658,88,109,3,0
Neg_326,290,511,95,73,1,0
Neg_1436,177,293,61,68,21,0
Neg_727,174,267,55,51,2,0
Neg_1831,451,692,128,126,2,0
Neg_900,72,101,19,21,0,0
Neg_1637,192,306,54,57,2,0
Neg_2635,155,269,59,40,1,0
Neg_2454,255,422,72,78,0,0
Neg_1216,304,483,87,89,0,0
Neg_2191,379,572,102,124,4,0
Neg_1275,161,261,47,47,1,0
Neg_2151,389,588,104,126,1,0
Neg_1402,49,83,13,19,0,0
Neg_717,94,161,25,25,0,0
Neg_1862,85,130,22,25,4,0
Neg_158,220,297,45,51,2,0
Neg_1740,388,603,101,140,1,0
Neg_1424,232,404,70,80,2,0
Neg_943,165,250,40,59,3,0
Neg_1688,86,111,25,27,2,0
Neg_148,355,561,97,109,3,0
Neg_2796,487,763,117,120,6,0
Neg_1887,325,515,87,105,5,0
Neg_2811,160,258,46,62,3,0
Neg_859,131,205,41,46,0,0
Neg_2155,216,309,49,57,1,0
Neg_2045,454,724,134,139,3,0
Neg_1104,270,403,67,79,2,0
Neg_2638,323,526,92,99,5,0
Neg_962,441,654,116,135,7,0
Neg_2828,402,608,114,135,3,0
Neg_1944,171,262,38,52,3,0
Neg_523,53,82,16,24,0,0
Neg_1319,275,460,78,84,1,0
Neg_562,260,421,77,91,1,0
Neg_2456,257,389,53,64,3,0
Neg_1500,291,460,74,76,5,0
Neg_1913,114,168,28,34,2,0
Neg_286,166,263,51,53,1,0
Neg_2871,183,320,74,55,1,0
Neg_456,314,529,103,92,5,0
Neg_984,442,707,107,125,6,0
Neg_1837,288,432,76,79,2,0
Neg_2617,333,491,91,102,3,0
Neg_139,91,143,17,22,1,0
Neg_1815,342,560,106,92,8,0
Neg_1157,435,669,111,125,5,0
Neg_1317,297,469,93,81,1,0
Neg_2405,422,675,111,115,6,0
Neg_45,283,433,67,70,4,0
Neg_1797,341,564,94,110,7,0
Neg_2769,204,328,56,67,4,0
Neg_1390,479,768,114,129,6,0
Neg_1018,415,679,123,108,2,0
Neg_602,85,125,15,18,2,0
Neg_182,462,723,137,143,8,0
Neg_1056,159,259,47,46,1,0
Neg_2567,329,550,116,111,1,0
Neg_849,186,306,52,59,0,0
Neg_2338,117,184,32,36,0,0
Neg_422,416,679,113,129,3,0
Neg_1421,401,633,119,126,0,0
Neg_2439,272,453,73,79,2,0
Neg_563,174,255,45,59,0,0
Neg_1622,236,381,71,66,4,0
Neg_1578,191,289,43,54,1,0
Neg_1939,321,503,79,96,2,0
Neg_163,306,493,93,129,0,0
Neg_287,186,295,47,54,3,0
Neg_787,102,165,31,43,0,0
Neg_1846,342,574,94,112,0,0
Neg_1280,378,603,109,95,6,0
Neg_1918,60,94,16,18,0,0
Neg_999,99,147,27,35,0,0
Neg_314,397,643,109,98,2,0
Neg_2192,375,611,103,103,2,0
Neg_605,207,342,62,78,3,0
Neg_413,71,112,18,20,0,0
Neg_1861,379,633,103,114,6,0
Neg_342,97,136,24,25,0,0
Neg_398,344,518,88,80,3,0
Neg_96,148,237,47,46,1,0
Neg_1924,98,158,28,27,1,0
Neg_592,469,753,141,145,1,0
Neg_1985,260,419,71,78,4,0
Neg_1045,368,587,95,111,4,0
Neg_2542,79,124,24,29,2,0
Neg_2165,389,634,122,123,2,0
Neg_1526,283,461,95,78,1,0
Neg_2709,451,735,117,121,2,0
Neg_2230,421,698,138,121,5,0
Neg_2137,154,256,42,48,2,0
Neg_2068,312,503,83,89,1,0
Neg_2163,164,239,45,50,1,0
Neg_2247,479,774,128,151,6,0
Neg_529,276,423,79,107,2,0
Neg_936,375,571,95,98,2,0
Neg_2418,199,330,54,62,1,0
Neg_2487,408,659,105,130,6,0
Neg_703,256,411,67,80,3,0
Neg_1742,323,538,114,122,0,0
Neg_305,180,296,56,57,1,0
Neg_1078,460,721,131,132,1,0
Neg_1672,314,512,92,97,3,0
Neg_2568,123,196,40,38,2,0
Neg_1911,491,796,148,150,6,0
Neg_2397,170,263,49,53,5,0
Neg_992,471,727,109,120,3,0
Neg_1161,69,109,15,20,0,0
Neg_2581,221,358,62,58,3,0
Neg_701,381,599,97,116,1,0
Neg_464,280,423,67,73,0,0
Neg_1692,174,271,51,49,0,0
Neg_774,180,296,64,63,2,0
Neg_2620,432,666,110,107,9,0
Neg_979,381,608,114,111,9,0
Neg_2827,152,230,46,44,0,0
Neg_2729,313,495,105,101,4,0
Neg_2277,349,568,108,101,3,0
Neg_1632,334,516,80,109,3,0
Neg_2756,67,106,20,20,0,0
Neg_1898,300,502,82,104,2,0
Neg_1391,168,269,63,54,1,0
Neg_1059,408,603,109,105,5,0
Neg_1746,244,395,73,65,1,0
Neg_1847,180,303,67,48,2,0
Neg_1490,401,668,124,130,1,0
Neg_450,58,92,20,19,1,0
Neg_1448,68,103,17,22,0,0
Neg_2410,445,723,127,155,5,0
Neg_1301,433,710,146,135,2,0
Neg_696,112,197,37,33,0,0
Neg_2757,141,226,40,35,0,0
Neg_815,127,186,36,37,3,0
Neg_890,72,131,19,20,0,0
Neg_2049,395,629,113,102,3,0
Neg_634,218,332,60,82,3,0
Neg_1241,239,379,71,100,3,0
Neg_1265,254,386,66,75,1,0
Neg_1145,472,735,119,144,7,0
Neg_364,429,701,113,132,3,0
Neg_2428,378,573,93,113,3,0
Neg_2873,407,641,105,123,1,0
Neg_2762,369,538,82,106,4,0
Neg_1932,212,333,67,62,3,0
Neg_218,100,155,25,31,0,0
Neg_1471,341,521,87,98,4,0
Neg_211,182,309,59,63,1,0
Neg_88,159,277,49,44,1,0
Neg_1800,368,583,99,115,3,0
Neg_1995,98,147,21,30,1,0
Neg_2231,357,593,109,94,5,0
Neg_1090,75,128,20,28,1,0
Neg_1457,272,444,70,63,3,0
Neg_795,109,168,32,32,3,0
Neg_1614,271,406,66,73,3,0
Neg_732,150,257,55,39,1,0
Neg_2025,310,487,87,93,1,0
Neg_2088,195,319,51,62,3,0
Neg_2527,414,640,112,120,4,0
Neg_2021,342,513,95,100,2,0
Neg_2570,265,444,78,89,0,0
Neg_215,342,550,94,100,4,0
Neg_2516,382,598,102,108,3,0
Neg_1712,404,618,104,121,3,0
Neg_2010,425,655,99,109,4,0
Neg_1285,178,282,52,55,2,0
Neg_2834,185,293,51,57,0,0
Neg_2013,135,224,34,37,1,0
Neg_945,438,683,109,120,4,0
Neg_1787,478,730,126,147,0,0
Neg_935,297,488,84,81,1,0
Neg_2099,148,233,43,38,2,0
Neg_2179,59,84,12,18,0,0
Neg_2726,47,81,17,21,0,0
Neg_1484,375,603,97,109,2,0
Neg_2381,448,717,111,112,5,0
Neg_1458,298,487,97,95,0,0
Neg_216,339,538,100,100,5,0
Neg_2725,150,234,44,46,1,0
Neg_406,135,213,41,52,1,0
Neg_1363,264,435,81,79,1,0
Neg_1311,106,166,34,31,1,0
Neg_1149,89,141,25,25,2,0
Neg_1218,101,156,28,35,0,0
Neg_1597,361,561,83,87,3,0
Neg_2745,322,513,91,97,1,0
Neg_1477,295,520,86,94,0,0
Neg_2803,260,446,90,75,2,0
Neg_104,448,717,119,142,2,0
Neg_1900,393,599,117,116,2,0
Neg_2586,323,548,80,88,7,0
Neg_2050,386,642,94,88,4,0
Neg_1069,93,162,34,31,0,0
Neg_336,162,275,53,41,2,0
Neg_2260,428,695,123,126,3,0
Neg_1733,304,483,97,89,1,0
Neg_1555,114,200,34,34,0,0
Neg_2329,254,392,68,71,2,0
Neg_1878,138,219,37,38,3,0
Neg_1893,454,689,119,124,6,0
Neg_1716,450,726,150,124,2,0
Neg_2322,169,254,46,48,1,0
Neg_101,197,318,62,60,3,0
Neg_16,298,489,97,81,1,0
Neg_31,566,832,124,145,3,0
Neg_240,181,280,42,55,3,0
Neg_1117,254,372,64,81,0,0
Neg_2262,171,246,44,48,1,0
Neg_2861,374,581,117,118,7,0
Neg_1225,316,514,82,90,1,0
Neg_261,462,742,124,132,10,0
Neg_609,199,323,57,64,5,0
Neg_1352,255,394,62,58,2,0
Neg_733,110,180,32,38,0,0
Neg_2593,156,230,38,48,2,0
Neg_2259,75,114,22,27,0,0
Neg_1785,473,747,145,127,5,0
Neg_847,282,438,64,69,3,0
Neg_684,272,446,80,105,2,0
Neg_1411,131,203,35,47,3,0
Neg_680,86,123,19,20,1,0
Neg_502,141,213,39,51,1,0
Neg_1097,385,612,110,114,3,0
Neg_1826,405,623,113,122,0,0
Neg_702,428,656,130,123,9,0
Neg_1626,239,359,59,67,0,0
Neg_2358,475,737,121,163,1,0
Neg_1026,266,427,79,77,6,0
Neg_82,475,751,123,143,5,0
Neg_509,149,232,38,51,0,0
Neg_1235,471,724,118,123,6,0
Neg_2118,405,640,110,115,10,0
Neg_1303,328,486,92,92,8,0
Neg_72,272,404,70,78,4,0
Neg_1147,465,713,129,119,3,0
Neg_2437,344,570,88,112,6,0
Neg_1770,337,546,92,103,2,0
Neg_177,415,612,108,109,4,0
Neg_978,256,403,77,84,3,0
Neg_724,116,203,35,30,1,0
Neg_1766,192,289,47,64,3,0
Neg_868,139,226,42,53,0,0
Neg_1825,322,537,95,108,5,0
Neg_2020,283,464,80,91,1,0
Neg_1628,84,124,20,24,0,0
Neg_892,358,563,87,129,4,0
Neg_2692,59,93,17,17,1,0
Neg_512,69,111,17,26,1,0
Neg_2128,293,440,66,78,3,0
Neg_1647,138,238,44,36,2,0
Neg_2419,78,126,22,25,1,0
Neg_2659,249,404,90,81,0,0
Neg_1214,180,294,48,54,1,0
Neg_411,367,617,99,124,1,0
Neg_2321,263,437,73,86,1,0
Neg_1384,98,168,26,39,2,0
Neg_1489,538,807,129,142,5,0
Neg_2666,317,476,90,95,5,0
Neg_1905,376,600,116,116,4,0
Neg_55,361,569,93,107,4,0
Neg_1178,336,525,93,98,1,0
Neg_2369,295,492,92,96,4,0
Neg_1,459,717,127,143,1,0
Neg_1999,97,148,28,25,1,0
Neg_1883,275,422,66,75,4,0
Neg_1643,346,550,100,112,1,0
Neg_2885,66,108,16,24,0,0
Neg_1786,317,507,91,96,3,0
Neg_1933,331,530,96,111,0,0
Neg_814,134,226,34,48,0,0
Neg_1593,293,456,84,88,2,0
Neg_1298,491,777,137,144,0,0
Neg_285,411,681,127,132,2,0
Neg_2792,204,315,53,68,0,0
Neg_2154,510,793,133,144,3,0
Neg_1689,372,577,99,143,3,0
Neg_603,184,307,49,60,2,0
Neg_1021,103,163,33,35,0,0
Neg_1820,378,562,104,108,2,0
Neg_222,418,660,118,130,5,0
Neg_256,129,186,30,28,1,0
Neg_704,213,310,58,67,2,0
Neg_144,404,606,100,123,3,0
Neg_2067,427,674,130,128,1,0
Neg_1406,167,249,41,69,1,0
Neg_2616,473,730,126,127,1,0
Neg_648,356,579,97,102,0,0
Neg_2774,378,586,122,132,14,0
Neg_292,398,676,110,122,2,0
Neg_2667,512,786,142,147,2,0
Neg_257,267,433,77,88,3,0
Neg_1768,103,157,35,37,0,0
Neg_2249,515,846,148,150,3,0
Neg_779,443,681,117,119,3,0
Neg_2513,160,254,48,53,3,0
Neg_2425,457,684,118,137,3,0
Neg_2272,95,152,30,29,0,0
Neg_361,381,631,109,123,2,0
Neg_1745,126,193,33,34,0,0
Neg_2902,417,666,110,112,4,0
Neg_808,170,257,43,49,0,0
Neg_407,473,731,131,142,4,0
Neg_191,216,326,50,70,1,0
Neg_1737,485,735,137,137,2,0
Neg_1001,166,259,47,41,1,0
Neg_2120,313,517,101,99,3,0
Neg_960,344,571,99,110,7,0
Neg_1356,391,622,120,121,7,0
Neg_1764,64,107,17,22,2,0
Neg_901,268,396,64,98,3,0
Neg_2556,212,331,43,51,0,0
Neg_303,313,475,97,92,2,0
Neg_654,498,720,126,145,4,0
Neg_251,374,582,92,107,1,0
Neg_1958,267,439,73,85,2,0
Neg_2857,123,213,31,39,2,0
Neg_1824,279,445,71,105,0,0
Neg_9,130,194,26,41,1,0
Neg_1397,309,496,84,84,3,0
Neg_1841,228,341,51,60,4,0
Neg_1197,491,781,133,146,6,0
Neg_1357,370,602,92,118,3,0
Neg_2898,223,366,86,80,0,0
Neg_2132,99,153,25,37,0,0
Neg_647,439,668,112,131,4,0
Neg_2646,121,204,32,30,2,0
Neg_476,142,234,42,50,0,0
Neg_231,122,174,44,49,1,0
Neg_451,334,497,87,92,3,0
Neg_1073,100,170,32,33,2,0
Neg_7,270,427,79,67,2,0
Neg_1877,128,199,31,35,0,0
Neg_2912,106,166,26,30,0,0
Neg_1968,272,412,78,85,4,0
Neg_2590,228,362,58,81,0,0
Neg_2781,357,571,107,107,6,0
Neg_940,98,144,22,26,1,0
Neg_459,240,392,74,65,4,0
Neg_1657,213,331,55,66,2,0
Neg_2544,305,472,78,88,0,0
Neg_2345,293,451,71,76,3,0
Neg_2406,260,416,70,89,1,0
Neg_2060,490,759,131,136,4,0
Neg_2697,177,284,48,51,2,0
Neg_1979,310,511,91,98,1,0
Neg_875,61,98,16,20,0,0
Neg_798,418,706,128,114,4,0
Neg_2520,351,554,98,109,3,0
Neg_2252,493,763,115,130,6,0
Neg_1502,206,352,66,70,3,0
Neg_2316,376,619,109,110,4,0
Neg_2282,172,256,46,49,0,0
Neg_2664,336,528,102,100,3,0
Neg_1274,82,129,17,25,0,0
Neg_1290,129,177,35,35,1,0
Neg_299,332,489,85,107,0,0
Neg_2528,302,480,78,99,4,0
Neg_1387,341,533,101,144,1,0
Neg_13,354,558,90,115,2,0
Neg_586,430,667,117,143,3,0
Neg_1691,446,713,129,175,2,0
Neg_629,212,341,57,63,1,0
Neg_1089,394,607,101,108,1,0
Neg_2884,139,216,40,47,0,0
Neg_2610,448,708,112,126,5,0
Neg_470,487,772,142,155,6,0
Neg_1649,63,111,15,16,0,0
Neg_1177,313,491,81,103,4,0
Neg_2447,141,235,37,40,1,0
Neg_10,153,268,44,43,2,0
Neg_2623,346,538,100,100,3,0
Neg_265,120,201,31,47,0,0
Neg_273,126,192,34,44,1,0
Neg_2305,360,577,97,135,2,0
Neg_915,369,573,95,97,3,0
Neg_1945,290,493,89,96,1,0
Neg_961,487,825,145,150,2,0
Neg_2662,375,589,105,120,5,0
Neg_1146,399,668,124,134,3,0
Neg_1137,216,336,62,70,1,0
Neg_41,392,639,111,107,5,0
Neg_1496,241,393,79,72,2,0
Neg_2270,236,359,63,81,2,0
Neg_1721,286,441,77,66,5,0
Neg_2196,367,603,101,117,3,0
Neg_1988,383,626,100,116,2,0
Neg_2464,297,454,76,86,5,0
Neg_521,416,627,91,113,3,0
Neg_1062,285,456,82,76,3,0
Neg_899,138,224,46,41,1,0
Neg_374,346,551,105,122,2,0
Neg_2106,357,585,109,99,2,0
Neg_3,472,748,118,127,5,0
Neg_405,92,138,26,29,1,0
Neg_1873,112,175,27,41,1,0
Neg_2506,267,412,66,76,0,0
Neg_2777,410,627,117,118,2,0
Neg_762,81,133,27,27,1,0
Neg_401,46,77,11,18,0,0
Neg_1801,73,134,32,23,0,0
Neg_2863,144,235,43,45,4,0
Neg_2412,359,593,107,118,4,0
Neg_1094,435,689,119,144,6,0
Neg_1795,111,169,25,30,1,0
Neg_1144,52,85,21,26,6,0
Neg_1201,322,471,85,99,2,0
Neg_2435,122,198,36,42,1,0
Neg_252,476,741,123,135,5,0
Neg_2676,468,728,120,128,1,0
Neg_322,197,330,58,61,4,0
Neg_1525,431,678,124,128,0,0
Neg_1228,503,832,140,163,3,0
Neg_2042,330,499,99,94,4,0
Neg_2308,247,388,66,70,1,0
Neg_2157,402,620,112,114,1,0
Neg_2159,186,290,50,43,0,0
Neg_2734,388,593,101,103,3,0
Neg_1207,268,415,67,74,5,0
Neg_120,246,411,71,82,1,0
Neg_2631,281,495,95,81,2,0
Neg_595,195,287,61,67,3,0
Neg_993,133,210,32,39,0,0
Neg_1596,98,155,31,34,1,0
Neg_2868,393,618,112,110,4,0
Neg_579,291,452,82,82,2,0
Neg_1663,134,213,43,39,0,0
Neg_1040,472,728,116,141,3,0
Neg_2240,445,678,106,118,4,0
Neg_2349,449,715,155,110,1,0
Neg_2207,347,523,99,114,12,0
Neg_1153,104,168,30,32,2,0
Neg_580,76,119,25,20,2,0
Neg_2390,202,300,60,59,1,0
Neg_1683,218,370,72,67,0,0
Neg_2601,355,562,114,108,6,0
Neg_2888,441,718,114,136,6,0
Neg_1121,158,256,40,55,1,0
Neg_2688,206,341,55,61,1,0
Neg_1493,49,78,16,26,0,0
Neg_1272,175,279,47,62,2,0
Neg_1242,379,601,109,105,2,0
Neg_1292,136,219,47,61,1,0
Neg_2398,372,605,113,110,1,0
Neg_1990,172,266,46,46,1,0
Neg_2241,87,145,29,29,0,0
Neg_508,454,686,122,128,4,0
Neg_307,504,797,137,154,3,0
Neg_2448,254,414,74,90,2,0
Neg_600,453,709,145,133,7,0
Neg_601,436,717,117,144,4,0
Neg_1217,438,673,123,138,2,0
Neg_839,99,161,27,31,1,0
Neg_682,97,149,21,23,1,0
Neg_2187,181,281,41,37,3,0
Neg_2821,416,655,121,126,3,0
Neg_2789,57,83,15,18,9,0
Neg_169,335,506,94,95,7,0
Neg_320,307,484,84,96,5,0
Neg_2889,456,683,111,134,2,0
Neg_17,117,196,38,45,3,0
Neg_1714,445,711,131,135,3,0
Neg_2605,410,674,120,130,4,0
Neg_1527,77,112,14,15,0,0
Neg_83,74,132,26,26,0,0
Neg_2246,450,713,125,144,4,0
Neg_114,101,167,31,33,0,0
Neg_1808,322,523,91,102,0,0
Neg_958,75,121,17,37,0,0
Neg_2093,278,432,80,88,1,0
Neg_1561,294,460,82,94,1,0
Neg_1870,93,160,22,27,0,0
Neg_1335,121,197,39,54,8,0
Neg_1574,459,757,137,136,7,0
Neg_2188,379,626,104,134,7,0
Neg_608,105,173,31,30,0,0
Neg_1240,169,270,50,53,1,0
Neg_2628,175,274,36,33,1,0
Neg_1855,204,294,54,64,2,0
Neg_1793,188,296,50,64,0,0
Neg_2263,156,260,56,56,0,0
Neg_2400,361,557,115,103,5,0
Neg_1583,141,203,35,39,0,0
Neg_410,61,90,14,21,1,0
Neg_2849,301,474,78,124,2,0
