,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,y
Neg_2831,0.1011235955056179,0.0337078651685393,0.0449438202247191,0.0337078651685393,0.0112359550561797,0.0786516853932584,0.0561797752808988,0.0561797752808988,0.0224719101123595,0.0,0.1123595505617977,0.0898876404494382,0.0112359550561797,0.0337078651685393,0.0898876404494382,0.0898876404494382,0.0674157303370786,0.0,0.0337078651685393,0.0337078651685393,0
Neg_358,0.109090909090909,0.0,0.0727272727272727,0.0545454545454545,0.0,0.0181818181818181,0.0545454545454545,0.0727272727272727,0.0181818181818181,0.0909090909090909,0.1272727272727272,0.0727272727272727,0.0,0.0181818181818181,0.0363636363636363,0.0545454545454545,0.109090909090909,0.0181818181818181,0.0,0.0727272727272727,0
Neg_2287,0.037037037037037,0.074074074074074,0.0185185185185185,0.0185185185185185,0.0,0.0555555555555555,0.037037037037037,0.1481481481481481,0.0,0.037037037037037,0.1481481481481481,0.0555555555555555,0.0555555555555555,0.074074074074074,0.0185185185185185,0.0925925925925925,0.037037037037037,0.0,0.037037037037037,0.0555555555555555,0
Neg_2597,0.0833333333333333,0.0277777777777777,0.0555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.1666666666666666,0.0277777777777777,0.0277777777777777,0.0555555555555555,0.0,0.0555555555555555,0.0277777777777777,0.0,0.0277777777777777,0.0277777777777777,0
Neg_2648,0.0707070707070707,0.0606060606060606,0.0,0.0808080808080808,0.0202020202020202,0.0909090909090909,0.0707070707070707,0.0909090909090909,0.0202020202020202,0.0303030303030303,0.1515151515151515,0.0303030303030303,0.0,0.0404040404040404,0.0606060606060606,0.0707070707070707,0.0404040404040404,0.0,0.0303030303030303,0.0404040404040404,0
Neg_152,0.044776119402985,0.0149253731343283,0.0746268656716417,0.044776119402985,0.0,0.044776119402985,0.0298507462686567,0.0597014925373134,0.044776119402985,0.0597014925373134,0.2238805970149253,0.044776119402985,0.0,0.1044776119402985,0.0149253731343283,0.1044776119402985,0.0597014925373134,0.0149253731343283,0.0149253731343283,0.0,0
Neg_2086,0.027027027027027,0.081081081081081,0.0,0.027027027027027,0.0,0.027027027027027,0.081081081081081,0.0,0.027027027027027,0.081081081081081,0.1351351351351351,0.1891891891891892,0.054054054054054,0.027027027027027,0.1351351351351351,0.027027027027027,0.027027027027027,0.0,0.027027027027027,0.027027027027027,0
Neg_966,0.0444444444444444,0.0222222222222222,0.0,0.0222222222222222,0.0222222222222222,0.0,0.0666666666666666,0.1555555555555555,0.0222222222222222,0.0444444444444444,0.1111111111111111,0.0,0.0,0.0444444444444444,0.1333333333333333,0.0888888888888888,0.1333333333333333,0.0,0.0,0.0888888888888888,0
Neg_2081,0.1341463414634146,0.1097560975609756,0.0121951219512195,0.0609756097560975,0.0609756097560975,0.0609756097560975,0.0365853658536585,0.0609756097560975,0.0,0.024390243902439,0.1097560975609756,0.0121951219512195,0.0,0.0365853658536585,0.1097560975609756,0.1219512195121951,0.0121951219512195,0.0,0.0121951219512195,0.024390243902439,0
Neg_2579,0.0851063829787234,0.0212765957446808,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.0851063829787234,0.0212765957446808,0.0851063829787234,0.0212765957446808,0.0638297872340425,0.1063829787234042,0.0638297872340425,0.0,0.0212765957446808,0.0,0.1063829787234042,0.0212765957446808,0.0425531914893617,0.0,0.1276595744680851,0
Neg_542,0.0813953488372093,0.1511627906976744,0.0116279069767441,0.0348837209302325,0.0,0.1046511627906976,0.1511627906976744,0.0232558139534883,0.0,0.0465116279069767,0.0930232558139534,0.0465116279069767,0.0,0.0,0.1046511627906976,0.0697674418604651,0.0232558139534883,0.0116279069767441,0.0,0.0465116279069767,0
Neg_270,0.054054054054054,0.1081081081081081,0.0,0.081081081081081,0.0405405405405405,0.054054054054054,0.0675675675675675,0.0135135135135135,0.081081081081081,0.0675675675675675,0.1081081081081081,0.027027027027027,0.0135135135135135,0.0675675675675675,0.0135135135135135,0.0945945945945946,0.027027027027027,0.0,0.0405405405405405,0.0405405405405405,0
Neg_447,0.0952380952380952,0.1904761904761904,0.0476190476190476,0.0476190476190476,0.0,0.0952380952380952,0.1904761904761904,0.0,0.0,0.0476190476190476,0.1428571428571428,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0952380952380952,0
Neg_2242,0.0615384615384615,0.0461538461538461,0.0153846153846153,0.0461538461538461,0.0153846153846153,0.0153846153846153,0.0923076923076923,0.0769230769230769,0.0153846153846153,0.1076923076923077,0.1384615384615384,0.0307692307692307,0.0153846153846153,0.0615384615384615,0.0461538461538461,0.0923076923076923,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.0769230769230769,0
Neg_1615,0.1,0.0666666666666666,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0,0.0333333333333333,0.1,0.0333333333333333,0.2,0.0666666666666666,0.0333333333333333,0.0333333333333333,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,0.0,0.0333333333333333,0
Neg_103,0.024390243902439,0.048780487804878,0.0,0.0,0.1219512195121951,0.048780487804878,0.1219512195121951,0.073170731707317,0.073170731707317,0.073170731707317,0.048780487804878,0.1951219512195122,0.0,0.0,0.048780487804878,0.024390243902439,0.073170731707317,0.0,0.024390243902439,0.0,0
Neg_1048,0.1111111111111111,0.0666666666666666,0.0222222222222222,0.0666666666666666,0.0,0.0888888888888888,0.0444444444444444,0.0444444444444444,0.0444444444444444,0.0444444444444444,0.0888888888888888,0.0444444444444444,0.0222222222222222,0.0666666666666666,0.0222222222222222,0.0888888888888888,0.0222222222222222,0.0222222222222222,0.0666666666666666,0.0222222222222222,0
Neg_628,0.08,0.12,0.12,0.04,0.0,0.0,0.04,0.04,0.04,0.04,0.12,0.04,0.0,0.08,0.04,0.04,0.04,0.04,0.0,0.08,0
Neg_2169,0.0930232558139534,0.0465116279069767,0.0465116279069767,0.0232558139534883,0.0232558139534883,0.0,0.0465116279069767,0.0697674418604651,0.0,0.1860465116279069,0.0465116279069767,0.0465116279069767,0.0,0.0232558139534883,0.1162790697674418,0.0232558139534883,0.0232558139534883,0.0,0.0465116279069767,0.1395348837209302,0
Neg_599,0.0869565217391304,0.0869565217391304,0.0217391304347826,0.0108695652173913,0.0543478260869565,0.0108695652173913,0.0108695652173913,0.0326086956521739,0.0543478260869565,0.0108695652173913,0.1956521739130435,0.0326086956521739,0.0108695652173913,0.0434782608695652,0.1195652173913043,0.0978260869565217,0.0434782608695652,0.0217391304347826,0.0217391304347826,0.0326086956521739,0
Neg_2490,0.1379310344827586,0.1034482758620689,0.0,0.0,0.0689655172413793,0.0689655172413793,0.1034482758620689,0.0689655172413793,0.0,0.0,0.1034482758620689,0.1034482758620689,0.0,0.0,0.0689655172413793,0.0689655172413793,0.0,0.0344827586206896,0.0,0.0689655172413793,0
Neg_62,0.0987654320987654,0.074074074074074,0.0246913580246913,0.037037037037037,0.0123456790123456,0.074074074074074,0.0987654320987654,0.0246913580246913,0.0246913580246913,0.037037037037037,0.0987654320987654,0.037037037037037,0.0123456790123456,0.0123456790123456,0.0246913580246913,0.1111111111111111,0.0123456790123456,0.0123456790123456,0.0617283950617283,0.1111111111111111,0
Neg_1129,0.0,0.1052631578947368,0.0131578947368421,0.0,0.0526315789473684,0.0526315789473684,0.0657894736842105,0.0657894736842105,0.131578947368421,0.0263157894736842,0.0526315789473684,0.0921052631578947,0.0,0.0263157894736842,0.0394736842105263,0.0921052631578947,0.0789473684210526,0.0131578947368421,0.0394736842105263,0.0526315789473684,0
Neg_190,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0769230769230769,0.0,0.0769230769230769,0.1538461538461538,0.0,0.1538461538461538,0.0769230769230769,0.0,0.0,0.0,0.1538461538461538,0
Neg_1522,0.136986301369863,0.0958904109589041,0.0,0.0273972602739726,0.0136986301369863,0.0410958904109589,0.0821917808219178,0.1643835616438356,0.0547945205479452,0.0,0.2328767123287671,0.0273972602739726,0.0,0.0,0.0547945205479452,0.0136986301369863,0.0,0.0,0.0,0.0547945205479452,0
Neg_165,0.0769230769230769,0.1692307692307692,0.0461538461538461,0.0615384615384615,0.0307692307692307,0.0615384615384615,0.0923076923076923,0.0153846153846153,0.0153846153846153,0.0615384615384615,0.0769230769230769,0.0923076923076923,0.0153846153846153,0.0307692307692307,0.0153846153846153,0.0,0.0307692307692307,0.0153846153846153,0.0461538461538461,0.0461538461538461,0
Neg_1152,0.0416666666666666,0.0208333333333333,0.0,0.0416666666666666,0.0,0.0,0.0208333333333333,0.125,0.0208333333333333,0.0625,0.1458333333333333,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0208333333333333,0.0416666666666666,0.0416666666666666,0.0625,0.0,0.2291666666666666,0
Neg_217,0.0833333333333333,0.0833333333333333,0.0625,0.125,0.0208333333333333,0.0208333333333333,0.0833333333333333,0.0625,0.0,0.0416666666666666,0.0625,0.0208333333333333,0.0625,0.0833333333333333,0.0208333333333333,0.0625,0.0208333333333333,0.0208333333333333,0.0,0.0625,0
Neg_1140,0.0217391304347826,0.0434782608695652,0.0434782608695652,0.0217391304347826,0.0652173913043478,0.0434782608695652,0.0652173913043478,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.108695652173913,0.0652173913043478,0.0217391304347826,0.0,0.0869565217391304,0.108695652173913,0.0652173913043478,0.0217391304347826,0.0217391304347826,0.0652173913043478,0
Neg_2378,0.0888888888888888,0.0444444444444444,0.0666666666666666,0.0444444444444444,0.0,0.0,0.0666666666666666,0.0444444444444444,0.0666666666666666,0.0888888888888888,0.1111111111111111,0.0666666666666666,0.0222222222222222,0.0222222222222222,0.0666666666666666,0.0444444444444444,0.0222222222222222,0.0222222222222222,0.0,0.1111111111111111,0
Neg_1569,0.0365853658536585,0.0365853658536585,0.0365853658536585,0.0853658536585365,0.024390243902439,0.024390243902439,0.048780487804878,0.048780487804878,0.0365853658536585,0.0121951219512195,0.073170731707317,0.0609756097560975,0.0,0.024390243902439,0.048780487804878,0.1707317073170731,0.0609756097560975,0.0,0.024390243902439,0.1463414634146341,0
Neg_662,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0833333333333333,0.0,0.0,0.0833333333333333,0.2083333333333333,0.125,0.0416666666666666,0.0833333333333333,0.125,0.0,0.0416666666666666,0.0,0.0,0.0416666666666666,0.0416666666666666,0.0,0.0,0
Neg_688,0.0545454545454545,0.0545454545454545,0.0727272727272727,0.0545454545454545,0.0181818181818181,0.0363636363636363,0.109090909090909,0.0,0.0181818181818181,0.0,0.0545454545454545,0.1454545454545454,0.0,0.0909090909090909,0.0909090909090909,0.0181818181818181,0.0363636363636363,0.0545454545454545,0.0545454545454545,0.0363636363636363,0
Neg_541,0.0,0.0,0.0,0.0666666666666666,0.0666666666666666,0.1333333333333333,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0
Neg_624,0.074074074074074,0.037037037037037,0.037037037037037,0.0,0.074074074074074,0.074074074074074,0.074074074074074,0.074074074074074,0.037037037037037,0.037037037037037,0.074074074074074,0.0,0.0,0.1481481481481481,0.074074074074074,0.037037037037037,0.037037037037037,0.0,0.037037037037037,0.074074074074074,0
Neg_2108,0.0338983050847457,0.0338983050847457,0.0338983050847457,0.0169491525423728,0.0677966101694915,0.0677966101694915,0.0,0.0508474576271186,0.0508474576271186,0.0847457627118644,0.135593220338983,0.0,0.0338983050847457,0.0677966101694915,0.0677966101694915,0.1016949152542373,0.0508474576271186,0.0,0.0338983050847457,0.0677966101694915,0
Neg_2808,0.0675675675675675,0.1081081081081081,0.0,0.0675675675675675,0.054054054054054,0.0135135135135135,0.0405405405405405,0.0675675675675675,0.027027027027027,0.027027027027027,0.1621621621621621,0.0135135135135135,0.0,0.0405405405405405,0.054054054054054,0.0945945945945946,0.027027027027027,0.0405405405405405,0.0135135135135135,0.081081081081081,0
Neg_2794,0.0425531914893617,0.0638297872340425,0.0,0.0638297872340425,0.0638297872340425,0.0,0.1063829787234042,0.1276595744680851,0.0212765957446808,0.0212765957446808,0.0638297872340425,0.0212765957446808,0.0212765957446808,0.0425531914893617,0.0851063829787234,0.1489361702127659,0.0851063829787234,0.0212765957446808,0.0,0.0,0
Neg_2286,0.0240963855421686,0.0240963855421686,0.0120481927710843,0.072289156626506,0.036144578313253,0.0602409638554216,0.0602409638554216,0.0481927710843373,0.0,0.0481927710843373,0.1325301204819277,0.144578313253012,0.0,0.0,0.144578313253012,0.072289156626506,0.0602409638554216,0.0120481927710843,0.0120481927710843,0.036144578313253,0
Neg_373,0.086021505376344,0.032258064516129,0.053763440860215,0.043010752688172,0.053763440860215,0.064516129032258,0.032258064516129,0.021505376344086,0.0,0.0967741935483871,0.1182795698924731,0.010752688172043,0.021505376344086,0.0967741935483871,0.0,0.064516129032258,0.086021505376344,0.032258064516129,0.010752688172043,0.075268817204301,0
Neg_2612,0.0,0.0384615384615384,0.0384615384615384,0.0641025641025641,0.0,0.0512820512820512,0.0641025641025641,0.1153846153846153,0.0,0.0641025641025641,0.0769230769230769,0.0897435897435897,0.0,0.0256410256410256,0.0641025641025641,0.0641025641025641,0.0769230769230769,0.0,0.0512820512820512,0.1153846153846153,0
Neg_937,0.037037037037037,0.0493827160493827,0.0246913580246913,0.1111111111111111,0.0,0.037037037037037,0.074074074074074,0.0864197530864197,0.0123456790123456,0.1111111111111111,0.074074074074074,0.037037037037037,0.0123456790123456,0.0493827160493827,0.0246913580246913,0.0617283950617283,0.074074074074074,0.0617283950617283,0.0123456790123456,0.0493827160493827,0
Neg_1345,0.0163934426229508,0.0983606557377049,0.0163934426229508,0.0655737704918032,0.0163934426229508,0.0655737704918032,0.0491803278688524,0.0491803278688524,0.0163934426229508,0.0491803278688524,0.1311475409836065,0.0491803278688524,0.0327868852459016,0.0491803278688524,0.0491803278688524,0.0327868852459016,0.081967213114754,0.0,0.0655737704918032,0.0655737704918032,0
Neg_2671,0.0659340659340659,0.0219780219780219,0.0109890109890109,0.0549450549450549,0.0109890109890109,0.0109890109890109,0.0439560439560439,0.0659340659340659,0.0,0.1208791208791208,0.0879120879120879,0.0769230769230769,0.0439560439560439,0.0659340659340659,0.0549450549450549,0.0659340659340659,0.0329670329670329,0.0219780219780219,0.0329670329670329,0.1098901098901098,0
Neg_2855,0.0909090909090909,0.0909090909090909,0.0454545454545454,0.0454545454545454,0.0,0.0909090909090909,0.0909090909090909,0.0454545454545454,0.0454545454545454,0.0,0.2727272727272727,0.0,0.0454545454545454,0.0,0.0454545454545454,0.0454545454545454,0.0,0.0,0.0,0.0454545454545454,0
Neg_279,0.1038961038961039,0.0259740259740259,0.0649350649350649,0.0649350649350649,0.0,0.0389610389610389,0.1168831168831168,0.0649350649350649,0.0129870129870129,0.0,0.1168831168831168,0.0259740259740259,0.0389610389610389,0.0129870129870129,0.1298701298701298,0.0519480519480519,0.0259740259740259,0.0129870129870129,0.0129870129870129,0.0779220779220779,0
Neg_706,0.0459770114942528,0.0344827586206896,0.0229885057471264,0.0689655172413793,0.0114942528735632,0.0344827586206896,0.0919540229885057,0.0229885057471264,0.0229885057471264,0.0804597701149425,0.1149425287356321,0.1264367816091954,0.0114942528735632,0.0344827586206896,0.057471264367816,0.0919540229885057,0.0344827586206896,0.0,0.0229885057471264,0.0689655172413793,0
Neg_2921,0.0816326530612244,0.0204081632653061,0.0204081632653061,0.0408163265306122,0.0408163265306122,0.0,0.0204081632653061,0.0408163265306122,0.0204081632653061,0.0816326530612244,0.1428571428571428,0.0408163265306122,0.0612244897959183,0.0816326530612244,0.0408163265306122,0.1224489795918367,0.0408163265306122,0.0,0.0408163265306122,0.0612244897959183,0
Neg_994,0.1025641025641025,0.0769230769230769,0.1025641025641025,0.0769230769230769,0.0,0.0512820512820512,0.1025641025641025,0.0256410256410256,0.0,0.0512820512820512,0.0512820512820512,0.1538461538461538,0.0,0.0,0.0,0.0512820512820512,0.0512820512820512,0.0,0.0512820512820512,0.0512820512820512,0
Neg_2453,0.0434782608695652,0.0,0.0434782608695652,0.0,0.0,0.0434782608695652,0.0,0.0869565217391304,0.0,0.1304347826086956,0.1304347826086956,0.0434782608695652,0.1304347826086956,0.0434782608695652,0.0,0.0869565217391304,0.0,0.0434782608695652,0.0434782608695652,0.1304347826086956,0
Neg_2074,0.0,0.0714285714285714,0.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0714285714285714,0.0714285714285714,0.0,0.0357142857142857,0.0357142857142857,0.1071428571428571,0.1428571428571428,0.0357142857142857,0.0357142857142857,0.0714285714285714,0
Neg_1803,0.0416666666666666,0.0416666666666666,0.0,0.0,0.0,0.0833333333333333,0.125,0.0416666666666666,0.0833333333333333,0.0,0.25,0.0416666666666666,0.0,0.0,0.0416666666666666,0.1666666666666666,0.0,0.0,0.0416666666666666,0.0416666666666666,0
Neg_653,0.0285714285714285,0.0285714285714285,0.0571428571428571,0.0,0.0571428571428571,0.0857142857142857,0.0285714285714285,0.1428571428571428,0.0,0.0571428571428571,0.1142857142857142,0.0,0.0285714285714285,0.0571428571428571,0.0285714285714285,0.2,0.0285714285714285,0.0,0.0,0.0571428571428571,0
Neg_1943,0.0689655172413793,0.0344827586206896,0.1034482758620689,0.0344827586206896,0.0,0.0,0.0344827586206896,0.0,0.0344827586206896,0.0689655172413793,0.2068965517241379,0.0344827586206896,0.0344827586206896,0.0,0.1034482758620689,0.0689655172413793,0.1379310344827586,0.0,0.0,0.0344827586206896,0
Neg_1283,0.0816326530612244,0.0408163265306122,0.0612244897959183,0.0408163265306122,0.0204081632653061,0.0408163265306122,0.0612244897959183,0.0408163265306122,0.0204081632653061,0.0204081632653061,0.1224489795918367,0.0816326530612244,0.0408163265306122,0.0204081632653061,0.0204081632653061,0.0816326530612244,0.0204081632653061,0.0,0.0816326530612244,0.1020408163265306,0
Neg_1383,0.0384615384615384,0.1153846153846153,0.0,0.0,0.0,0.0769230769230769,0.0384615384615384,0.0384615384615384,0.0,0.1153846153846153,0.1538461538461538,0.0384615384615384,0.0,0.0384615384615384,0.0384615384615384,0.0769230769230769,0.0769230769230769,0.0,0.0,0.1538461538461538,0
Neg_325,0.072463768115942,0.0,0.0144927536231884,0.0,0.0144927536231884,0.0,0.0,0.1304347826086956,0.0,0.0,0.0144927536231884,0.0,0.0144927536231884,0.0289855072463768,0.4202898550724637,0.1304347826086956,0.072463768115942,0.0,0.0289855072463768,0.0579710144927536,0
Neg_2702,0.1176470588235294,0.0941176470588235,0.0,0.0117647058823529,0.0117647058823529,0.1294117647058823,0.1529411764705882,0.0823529411764705,0.0,0.0117647058823529,0.1764705882352941,0.0588235294117647,0.0117647058823529,0.0,0.0235294117647058,0.0705882352941176,0.0235294117647058,0.0117647058823529,0.0117647058823529,0.0,0
Neg_2180,0.1111111111111111,0.037037037037037,0.037037037037037,0.0,0.0185185185185185,0.037037037037037,0.0925925925925925,0.0555555555555555,0.0185185185185185,0.0185185185185185,0.1111111111111111,0.074074074074074,0.0,0.0185185185185185,0.1481481481481481,0.0185185185185185,0.0925925925925925,0.0,0.0,0.1111111111111111,0
Neg_585,0.0638297872340425,0.0425531914893617,0.1063829787234042,0.0425531914893617,0.0212765957446808,0.0425531914893617,0.0851063829787234,0.0212765957446808,0.0,0.0,0.0851063829787234,0.1702127659574468,0.0212765957446808,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.0212765957446808,0.0212765957446808,0.0425531914893617,0.0851063829787234,0
Neg_2047,0.1276595744680851,0.0425531914893617,0.1276595744680851,0.0,0.0425531914893617,0.0851063829787234,0.0,0.0212765957446808,0.0425531914893617,0.0851063829787234,0.1276595744680851,0.0,0.0212765957446808,0.0212765957446808,0.0851063829787234,0.0425531914893617,0.0638297872340425,0.0,0.0425531914893617,0.0212765957446808,0
Neg_2392,0.0476190476190476,0.0476190476190476,0.1428571428571428,0.0,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0952380952380952,0.0,0.0476190476190476,0.0952380952380952,0.0,0.0476190476190476,0.0,0.0952380952380952,0.1904761904761904,0.0,0.0,0.0,0
Neg_919,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.25,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0833333333333333,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0
Neg_2566,0.0449438202247191,0.0224719101123595,0.0786516853932584,0.1348314606741573,0.0337078651685393,0.0449438202247191,0.1235955056179775,0.0224719101123595,0.0,0.0449438202247191,0.1348314606741573,0.0898876404494382,0.0112359550561797,0.0449438202247191,0.0449438202247191,0.0112359550561797,0.0224719101123595,0.0112359550561797,0.0337078651685393,0.0449438202247191,0
Neg_404,0.0333333333333333,0.0,0.0,0.1,0.0,0.0,0.0333333333333333,0.0666666666666666,0.0,0.0,0.2333333333333333,0.2,0.0,0.1,0.0666666666666666,0.0666666666666666,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0,0
Neg_953,0.064516129032258,0.064516129032258,0.0161290322580645,0.032258064516129,0.0483870967741935,0.0483870967741935,0.0483870967741935,0.032258064516129,0.0,0.032258064516129,0.1290322580645161,0.064516129032258,0.032258064516129,0.0161290322580645,0.032258064516129,0.1129032258064516,0.1129032258064516,0.0,0.032258064516129,0.0806451612903225,0
Neg_1257,0.064516129032258,0.0,0.032258064516129,0.064516129032258,0.0,0.032258064516129,0.0806451612903225,0.064516129032258,0.0483870967741935,0.032258064516129,0.0806451612903225,0.1290322580645161,0.0483870967741935,0.0483870967741935,0.064516129032258,0.0161290322580645,0.0483870967741935,0.032258064516129,0.032258064516129,0.0806451612903225,0
Neg_1680,0.048780487804878,0.048780487804878,0.024390243902439,0.024390243902439,0.024390243902439,0.1219512195121951,0.048780487804878,0.073170731707317,0.024390243902439,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.0,0.048780487804878,0.024390243902439,0.073170731707317,0.0,0.024390243902439,0.024390243902439,0.073170731707317,0
Neg_1098,0.2307692307692307,0.0769230769230769,0.0,0.1538461538461538,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.2307692307692307,0.0,0.0769230769230769,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0
Neg_1404,0.0,0.0952380952380952,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0476190476190476,0.0476190476190476,0.1428571428571428,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0952380952380952,0.1904761904761904,0.0476190476190476,0.0476190476190476,0.0,0
Neg_79,0.1041666666666666,0.0625,0.0208333333333333,0.0625,0.0,0.0208333333333333,0.0208333333333333,0.0416666666666666,0.1041666666666666,0.0833333333333333,0.125,0.0416666666666666,0.0,0.0416666666666666,0.0,0.0833333333333333,0.0625,0.0416666666666666,0.0208333333333333,0.0625,0
