,Shannon-Entropy,y
peptide_nm_128,2.855,0
peptide_nm_129,3.093,0
peptide_nm_130,2.914,0
peptide_nm_131,3.392,0
peptide_nm_132,3.086,0
peptide_nm_133,3.617,0
peptide_nm_134,2.595,0
peptide_nm_135,3.471,0
peptide_nm_136,3.182,0
peptide_nm_137,3.884,0
peptide_nm_138,3.181,0
peptide_nm_139,3.742,0
peptide_nm_140,3.102,0
peptide_nm_141,2.666,0
peptide_nm_142,3.085,0
peptide_nm_143,3.328,0
peptide_nm_144,2.626,0
peptide_nm_145,3.607,0
peptide_nm_146,2.896,0
peptide_nm_147,3.41,0
peptide_nm_148,3.453,0
peptide_nm_149,3.489,0
peptide_nm_150,3.461,0
peptide_nm_151,3.182,0
peptide_nm_152,3.328,0
peptide_nm_153,3.388,0
peptide_nm_154,3.239,0
peptide_nm_155,3.407,0
peptide_nm_156,3.128,0
peptide_nm_157,3.261,0
peptide_nm_158,3.396,0
peptide_nm_159,3.412,0
peptide_nm_160,3.821,0
peptide_nm_161,1.186,0
peptide_nm_162,3.003,0
peptide_nm_163,3.613,0
peptide_nm_164,3.41,0
peptide_nm_165,2.855,0
peptide_nm_166,3.504,0
peptide_nm_167,3.338,0
peptide_nm_168,3.869,0
peptide_nm_169,3.308,0
peptide_nm_170,3.278,0
peptide_nm_171,3.512,0
peptide_nm_172,3.178,0
peptide_nm_173,2.664,0
peptide_nm_174,3.825,0
peptide_nm_175,3.264,0
peptide_nm_176,3.556,0
peptide_nm_177,2.855,0
peptide_nm_178,3.189,0
peptide_nm_179,3.236,0
peptide_nm_180,3.968,0
peptide_nm_181,2.284,0
peptide_nm_182,3.031,0
peptide_nm_183,3.236,0
peptide_nm_184,3.626,0
peptide_nm_185,3.661,0
peptide_nm_186,2.781,0
peptide_nm_187,3.052,0
peptide_nm_188,3.35,0
peptide_nm_189,3.931,0
peptide_nm_190,3.093,0
peptide_nm_191,3.673,0
peptide_nm_192,2.89,0
peptide_nm_193,3.355,0
peptide_nm_194,3.291,0
peptide_nm_195,3.542,0
peptide_nm_196,2.725,0
peptide_nm_197,3.203,0
peptide_nm_198,3.039,0
peptide_nm_199,3.295,0
peptide_nm_200,2.689,0
peptide_nm_201,3.577,0
peptide_nm_202,2.689,0
peptide_nm_203,3.164,0
peptide_nm_204,3.093,0
peptide_nm_205,3.057,0
peptide_nm_206,3.393,0
peptide_nm_207,3.601,0
peptide_nm_208,3.039,0
peptide_nm_209,3.455,0
peptide_nm_210,3.594,0
peptide_nm_211,3.565,0
peptide_nm_212,3.604,0
peptide_nm_213,3.966,0
peptide_nm_214,2.522,0
peptide_nm_215,2.792,0
peptide_nm_216,3.116,0
peptide_nm_217,3.563,0
peptide_nm_218,3.181,0
peptide_nm_219,3.221,0
peptide_nm_220,3.621,0
peptide_nm_221,3.093,0
peptide_nm_222,2.607,0
peptide_nm_223,3.461,0
peptide_nm_224,2.768,0
peptide_nm_225,3.538,0
peptide_nm_226,3.027,0
peptide_nm_227,3.379,0
peptide_nm_228,3.461,0
peptide_nm_229,2.807,0
peptide_nm_230,3.085,0
peptide_nm_231,3.252,0
peptide_nm_232,3.552,0
peptide_nm_233,3.726,0
peptide_nm_234,3.499,0
peptide_nm_235,3.146,0
peptide_nm_236,3.553,0
peptide_nm_237,2.772,0
peptide_nm_238,3.022,0
peptide_nm_239,3.348,0
peptide_nm_240,3.797,0
peptide_nm_241,3.077,0
peptide_nm_242,3.366,0
peptide_nm_243,3.676,0
peptide_nm_244,2.914,0
peptide_nm_245,3.393,0
peptide_nm_246,3.156,0
peptide_nm_247,3.335,0
peptide_nm_248,3.239,0
peptide_nm_249,3.55,0
peptide_nm_250,3.459,0
peptide_nm_251,3.027,0
peptide_nm_252,2.752,0
peptide_nm_253,2.603,0
peptide_nm_254,3.816,0
peptide_nm_255,3.617,0
peptide_nm_256,2.914,0
peptide_nm_257,3.547,0
peptide_nm_258,3.41,0
peptide_nm_259,3.598,0
peptide_nm_260,3.197,0
peptide_nm_261,3.21,0
peptide_nm_262,3.046,0
peptide_nm_263,3.754,0
peptide_nm_264,3.407,0
peptide_nm_265,2.664,0
peptide_nm_266,3.278,0
peptide_nm_267,2.891,0
peptide_nm_268,2.602,0
peptide_nm_269,3.671,0
peptide_nm_270,3.379,0
peptide_nm_271,2.914,0
peptide_nm_272,2.346,0
peptide_nm_273,2.712,0
peptide_nm_274,3.538,0
peptide_nm_275,3.027,0
peptide_nm_276,1.278,0
peptide_nm_277,3.97,0
peptide_nm_278,2.985,0
peptide_nm_279,3.055,0
peptide_nm_280,3.503,0
peptide_nm_281,2.95,0
peptide_nm_282,3.252,0
peptide_nm_283,3.085,0
peptide_nm_284,3.499,0
peptide_nm_285,3.418,0
peptide_nm_286,3.704,0
peptide_nm_287,2.661,0
peptide_nm_288,3.379,0
peptide_nm_289,3.499,0
peptide_nm_290,3.022,0
peptide_nm_291,2.826,0
peptide_nm_292,3.027,0
peptide_nm_293,2.895,0
peptide_nm_294,3.22,0
peptide_nm_295,3.458,0
peptide_nm_296,3.441,0
peptide_nm_297,3.532,0
peptide_nm_298,3.634,0
peptide_nm_299,2.845,0
peptide_nm_300,3.577,0
peptide_nm_301,3.293,0
peptide_nm_302,3.125,0
peptide_nm_303,2.931,0
peptide_nm_304,3.913,0
peptide_nm_305,2.413,0
peptide_nm_306,3.366,0
peptide_nm_307,2.914,0
peptide_nm_308,2.845,0
peptide_nm_309,3.81,0
peptide_nm_310,3.431,0
peptide_nm_311,3.053,0
peptide_nm_312,3.69,0
peptide_nm_313,3.027,0
peptide_nm_314,3.239,0
peptide_nm_315,3.789,0
peptide_nm_316,3.25,0
peptide_nm_317,3.023,0
peptide_nm_318,3.203,0
peptide_nm_319,3.621,0
peptide_nm_320,3.393,0
peptide_nm_321,3.709,0
peptide_nm_322,2.603,0
peptide_nm_323,3.326,0
peptide_nm_324,3.499,0
peptide_nm_325,3.594,0
peptide_nm_326,3.499,0
peptide_nm_327,3.963,0
peptide_nm_328,3.182,0
peptide_nm_329,3.239,0
peptide_nm_330,3.903,0
peptide_nm_331,3.308,0
peptide_nm_332,3.803,0
peptide_nm_333,3.181,0
peptide_nm_334,3.414,0
peptide_nm_335,3.594,0
peptide_nm_336,3.698,0
peptide_nm_337,3.436,0
peptide_nm_338,3.764,0
peptide_nm_339,3.887,0
peptide_nm_340,3.379,0
peptide_nm_341,3.182,0
peptide_nm_342,3.35,0
peptide_nm_343,3.689,0
peptide_nm_344,3.366,0
peptide_nm_345,3.455,0
peptide_nm_346,2.914,0
peptide_nm_347,3.522,0
peptide_nm_348,3.051,0
peptide_nm_349,3.175,0
peptide_nm_350,3.653,0
peptide_nm_351,3.682,0
peptide_nm_352,3.499,0
peptide_nm_353,3.603,0
peptide_nm_354,2.971,0
peptide_nm_355,3.81,0
peptide_nm_356,2.953,0
peptide_nm_357,3.634,0
peptide_nm_358,3.264,0
peptide_nm_359,2.792,0
peptide_nm_360,3.096,0
peptide_nm_361,2.855,0
peptide_nm_362,3.344,0
peptide_nm_363,3.071,0
peptide_nm_364,3.039,0
peptide_nm_365,3.621,0
peptide_nm_366,3.049,0
peptide_nm_367,3.455,0
peptide_nm_368,2.664,0
peptide_nm_369,3.455,0
peptide_nm_370,3.258,0
peptide_nm_371,3.031,0
peptide_nm_372,2.864,0
peptide_nm_373,3.352,0
peptide_nm_374,3.485,0
peptide_nm_375,3.774,0
peptide_nm_376,2.931,0
peptide_nm_377,3.642,0
peptide_nm_378,3.574,0
peptide_nm_379,3.252,0
peptide_nm_380,3.673,0
peptide_nm_381,2.985,0
peptide_nm_382,2.975,0
peptide_nm_383,3.181,0
peptide_nm_384,3.379,0
peptide_nm_385,3.045,0
peptide_nm_386,1.896,0
peptide_nm_387,3.221,0
peptide_nm_388,3.625,0
peptide_nm_389,3.935,0
peptide_nm_390,3.379,0
peptide_nm_391,2.797,0
peptide_nm_392,2.701,0
peptide_nm_393,2.661,0
peptide_nm_394,3.574,0
peptide_nm_395,3.366,0
peptide_nm_396,3.027,0
peptide_nm_397,3.022,0
peptide_nm_398,3.047,0
peptide_nm_399,3.368,0
peptide_nm_400,3.497,0
peptide_nm_401,3.584,0
peptide_nm_402,3.588,0
peptide_nm_403,3.565,0
peptide_nm_404,3.447,0
peptide_nm_405,3.404,0
peptide_nm_406,3.22,0
peptide_nm_407,2.896,0
peptide_nm_408,2.669,0
peptide_nm_409,3.178,0
peptide_nm_410,3.906,0
peptide_nm_411,3.216,0
peptide_nm_412,2.761,0
peptide_nm_413,3.881,0
peptide_nm_414,3.233,0
peptide_nm_415,3.301,0
peptide_nm_416,2.807,0
peptide_nm_417,3.406,0
peptide_nm_418,3.379,0
peptide_nm_419,3.039,0
peptide_nm_420,3.295,0
peptide_nm_421,3.039,0
peptide_nm_422,3.614,0
peptide_nm_423,3.192,0
peptide_nm_424,3.889,0
peptide_nm_425,3.682,0
peptide_nm_426,3.153,0
peptide_nm_427,3.69,0
peptide_nm_428,3.352,0
peptide_nm_429,2.914,0
peptide_nm_430,3.5,0
peptide_nm_431,3.309,0
peptide_nm_432,3.326,0
peptide_nm_433,2.807,0
peptide_nm_434,3.914,0
peptide_nm_435,3.327,0
peptide_nm_436,3.328,0
peptide_nm_437,3.379,0
peptide_nm_438,2.252,0
peptide_nm_439,3.55,0
peptide_nm_440,3.116,0
peptide_nm_441,3.278,0
peptide_nm_442,3.181,0
peptide_pm_1,2.784,1
peptide_pm_2,2.781,1
peptide_pm_3,0.918,1
peptide_pm_4,1.0,1
peptide_pm_5,3.514,1
peptide_pm_6,2.486,1
peptide_pm_7,3.076,1
peptide_pm_8,3.217,1
peptide_pm_9,2.95,1
peptide_pm_10,3.189,1
peptide_pm_11,3.086,1
peptide_pm_12,2.95,1
peptide_pm_13,0.971,1
peptide_pm_14,3.298,1
peptide_pm_15,3.536,1
peptide_pm_16,3.165,1
peptide_pm_17,2.656,1
peptide_pm_18,2.582,1
peptide_pm_19,2.55,1
peptide_pm_20,2.116,1
peptide_pm_21,2.993,1
peptide_pm_22,2.379,1
peptide_pm_23,3.533,1
peptide_pm_24,1.349,1
peptide_pm_25,3.226,1
peptide_pm_26,2.182,1
peptide_pm_27,3.102,1
peptide_pm_28,2.095,1
peptide_pm_29,2.055,1
peptide_pm_30,2.37,1
peptide_pm_31,3.084,1
peptide_pm_32,2.55,1
peptide_pm_33,2.8,1
peptide_pm_34,3.2,1
peptide_pm_35,2.777,1
peptide_pm_36,2.669,1
peptide_pm_37,3.398,1
peptide_pm_38,2.873,1
peptide_pm_39,3.584,1
peptide_pm_40,3.171,1
peptide_pm_41,2.379,1
peptide_pm_42,3.113,1
peptide_pm_43,2.507,1
peptide_pm_44,2.525,1
peptide_pm_45,3.276,1
peptide_pm_46,2.449,1
peptide_pm_47,3.207,1
peptide_pm_48,3.448,1
peptide_pm_49,2.489,1
peptide_pm_50,2.288,1
peptide_pm_51,3.633,1
peptide_pm_52,3.19,1
peptide_pm_53,3.044,1
peptide_pm_54,2.747,1
peptide_pm_55,1.617,1
peptide_pm_56,3.126,1
peptide_pm_57,1.452,1
peptide_pm_58,3.359,1
peptide_pm_59,3.086,1
peptide_pm_60,2.656,1
peptide_pm_61,3.396,1
peptide_pm_62,2.684,1
peptide_pm_63,2.626,1
peptide_pm_64,1.349,1
peptide_pm_65,1.868,1
peptide_pm_66,1.571,1
peptide_pm_67,1.436,1
peptide_pm_68,2.354,1
peptide_pm_69,3.057,1
peptide_pm_70,3.617,1
peptide_pm_71,3.412,1
peptide_pm_72,3.185,1
peptide_pm_73,2.732,1
peptide_pm_74,2.9,1
peptide_pm_75,1.972,1
peptide_pm_76,2.426,1
peptide_pm_77,3.117,1
peptide_pm_78,3.461,1
peptide_pm_79,3.319,1
peptide_pm_80,2.489,1
peptide_pm_81,2.537,1
peptide_pm_82,2.654,1
peptide_pm_83,2.858,1
peptide_pm_84,2.095,1
peptide_pm_85,2.781,1
peptide_pm_86,3.171,1
peptide_pm_87,2.815,1
peptide_pm_88,3.153,1
peptide_pm_89,2.355,1
peptide_pm_90,2.418,1
peptide_pm_91,2.412,1
peptide_pm_92,3.248,1
peptide_pm_93,2.683,1
peptide_pm_94,2.753,1
peptide_pm_95,3.266,1
peptide_pm_96,3.448,1
peptide_pm_97,3.491,1
peptide_pm_98,2.664,1
peptide_pm_99,2.779,1
peptide_pm_100,2.661,1
peptide_pm_101,3.105,1
peptide_pm_102,1.349,1
peptide_pm_103,3.011,1
peptide_pm_104,1.617,1
peptide_pm_105,2.777,1
peptide_pm_106,2.764,1
peptide_pm_107,3.146,1
peptide_pm_108,2.804,1
peptide_pm_109,2.027,1
peptide_pm_110,2.837,1
peptide_pm_111,2.531,1
peptide_pm_112,1.264,1
peptide_pm_113,2.966,1
peptide_pm_114,3.308,1
peptide_pm_115,3.171,1
peptide_pm_116,2.816,1
peptide_pm_117,2.669,1
peptide_pm_118,2.873,1
peptide_pm_119,3.502,1
peptide_pm_120,2.449,1
peptide_pm_121,2.886,1
peptide_pm_122,0.902,1
peptide_pm_123,2.837,1
peptide_pm_124,3.378,1
peptide_pm_125,2.288,1
peptide_pm_126,2.705,1
peptide_pm_127,2.446,1
peptide_pm_128,3.579,1
peptide_pm_129,2.816,1
peptide_pm_130,2.55,1
peptide_pm_131,3.154,1
peptide_pm_132,1.823,1
peptide_pm_133,3.308,1
peptide_pm_134,3.407,1
peptide_pm_135,3.093,1
peptide_pm_136,2.557,1
peptide_pm_137,2.482,1
peptide_pm_138,3.146,1
peptide_pm_139,2.616,1
peptide_pm_140,1.349,1
peptide_pm_141,3.094,1
peptide_pm_142,2.661,1
peptide_pm_143,2.522,1
peptide_pm_144,2.873,1
peptide_pm_145,3.057,1
peptide_pm_146,2.507,1
peptide_pm_147,3.32,1
peptide_pm_148,2.855,1
peptide_pm_149,3.399,1
peptide_pm_150,2.187,1
peptide_pm_151,2.187,1
peptide_pm_152,2.931,1
peptide_pm_153,2.755,1
peptide_pm_154,3.25,1
peptide_pm_155,2.711,1
peptide_pm_156,3.535,1
peptide_pm_157,2.719,1
peptide_pm_158,2.258,1
peptide_pm_159,3.001,1
peptide_pm_160,3.631,1
peptide_pm_161,1.233,1
peptide_pm_162,2.646,1
peptide_pm_163,2.816,1
peptide_pm_164,1.493,1
peptide_pm_165,2.969,1
peptide_pm_166,1.252,1
peptide_pm_167,2.5,1
peptide_pm_168,3.029,1
peptide_pm_169,3.401,1
peptide_pm_170,2.425,1
peptide_pm_171,2.654,1
peptide_pm_172,1.322,1
peptide_pm_173,3.377,1
peptide_pm_174,2.264,1
peptide_pm_175,2.708,1
peptide_pm_176,3.112,1
peptide_pm_177,2.522,1
peptide_pm_178,2.522,1
peptide_pm_179,2.656,1
peptide_pm_180,2.98,1
peptide_pm_181,2.626,1
peptide_pm_182,3.266,1
peptide_pm_183,2.638,1
peptide_pm_184,2.524,1
peptide_pm_185,2.499,1
peptide_pm_186,3.039,1
peptide_pm_187,1.435,1
peptide_pm_188,3.032,1
peptide_pm_189,3.249,1
peptide_pm_190,3.104,1
peptide_pm_191,3.266,1
peptide_pm_192,3.006,1
peptide_pm_193,2.65,1
peptide_pm_194,1.281,1
peptide_pm_195,2.355,1
peptide_pm_196,2.325,1
peptide_pm_197,1.868,1
peptide_pm_198,2.865,1
peptide_pm_199,3.155,1
peptide_pm_200,3.537,1
peptide_pm_201,1.868,1
peptide_pm_202,3.027,1
peptide_pm_203,2.55,1
peptide_pm_204,3.101,1
peptide_pm_205,3.441,1
peptide_pm_206,2.3,1
peptide_pm_207,3.404,1
peptide_pm_208,2.927,1
peptide_pm_209,3.441,1
peptide_pm_210,2.461,1
peptide_pm_211,2.524,1
peptide_pm_212,3.345,1
peptide_pm_213,2.566,1
peptide_pm_214,3.295,1
peptide_pm_215,3.329,1
peptide_pm_216,2.669,1
peptide_pm_217,3.441,1
peptide_pm_218,3.027,1
peptide_pm_219,1.252,1
peptide_pm_220,2.993,1
peptide_pm_221,2.451,1
peptide_pm_222,3.25,1
peptide_pm_223,1.988,1
peptide_pm_224,3.431,1
peptide_pm_225,3.014,1
peptide_pm_226,3.419,1
peptide_pm_227,2.355,1
peptide_pm_228,3.87,1
peptide_pm_229,3.205,1
peptide_pm_230,3.784,1
peptide_pm_231,2.534,1
peptide_pm_232,2.581,1
peptide_pm_233,2.027,1
peptide_pm_234,1.747,1
peptide_pm_235,1.689,1
peptide_pm_236,2.964,1
peptide_pm_237,4.029,1
peptide_pm_238,3.175,1
peptide_pm_239,2.977,1
peptide_pm_240,2.815,1
peptide_pm_241,2.606,1
peptide_pm_242,3.204,1
peptide_pm_243,2.529,1
peptide_pm_244,2.316,1
peptide_pm_245,3.063,1
peptide_pm_246,2.524,1
peptide_pm_247,3.266,1
peptide_pm_248,3.113,1
peptide_pm_249,3.057,1
peptide_pm_250,1.197,1
peptide_pm_251,2.649,1
peptide_pm_252,1.241,1
peptide_pm_253,2.661,1
peptide_pm_254,2.649,1
peptide_pm_255,2.307,1
peptide_pm_256,2.522,1
peptide_pm_257,3.195,1
peptide_pm_258,3.388,1
peptide_pm_259,2.908,1
peptide_pm_260,3.102,1
peptide_pm_261,2.93,1
peptide_pm_262,2.449,1
peptide_pm_263,3.109,1
peptide_pm_264,0.852,1
peptide_pm_265,3.359,1
peptide_pm_266,1.391,1
peptide_pm_267,2.733,1
peptide_pm_268,3.027,1
peptide_pm_269,2.027,1
peptide_pm_270,2.608,1
peptide_pm_271,2.702,1
peptide_pm_272,3.273,1
peptide_pm_273,1.572,1
peptide_pm_274,3.175,1
peptide_pm_275,1.5,1
peptide_pm_276,0.971,1
peptide_pm_277,3.146,1
peptide_pm_278,1.918,1
peptide_pm_279,2.931,1
peptide_pm_280,2.873,1
peptide_pm_281,3.221,1
peptide_pm_282,0.918,1
peptide_pm_283,2.2,1
peptide_pm_284,1.222,1
peptide_pm_285,3.365,1
peptide_pm_286,2.511,1
peptide_pm_287,1.135,1
peptide_pm_288,2.772,1
peptide_pm_289,2.642,1
peptide_pm_290,3.271,1
peptide_pm_291,2.781,1
peptide_pm_292,1.349,1
peptide_pm_293,2.777,1
peptide_pm_294,2.873,1
peptide_pm_295,2.412,1
peptide_pm_296,3.165,1
peptide_pm_297,2.355,1
peptide_pm_298,1.936,1
peptide_pm_299,2.436,1
peptide_pm_300,3.027,1
peptide_pm_301,1.972,1
peptide_pm_302,2.683,1
peptide_pm_303,3.04,1
peptide_pm_304,2.649,1
peptide_pm_305,3.107,1
peptide_pm_306,3.414,1
peptide_pm_307,1.349,1
peptide_pm_308,3.54,1
peptide_pm_309,2.873,1
peptide_pm_310,2.661,1
peptide_pm_311,2.669,1
peptide_pm_312,2.005,1
peptide_pm_313,2.963,1
peptide_pm_314,2.602,1
peptide_pm_315,2.733,1
peptide_pm_316,2.55,1
peptide_pm_317,2.333,1
peptide_pm_318,3.329,1
peptide_pm_319,2.482,1
peptide_pm_320,1.314,1
peptide_pm_321,2.966,1
peptide_pm_322,3.195,1
peptide_pm_323,2.7,1
peptide_pm_324,2.487,1
peptide_pm_325,3.571,1
peptide_pm_326,2.856,1
peptide_pm_327,3.027,1
peptide_pm_328,2.777,1
peptide_pm_329,3.29,1
peptide_pm_330,1.503,1
peptide_pm_331,1.0,1
peptide_pm_332,2.2,1
peptide_pm_333,3.046,1
peptide_pm_334,2.346,1
peptide_pm_335,3.105,1
peptide_pm_336,2.507,1
peptide_pm_337,3.679,1
peptide_pm_338,2.774,1
peptide_pm_339,3.084,1
peptide_pm_340,3.257,1
peptide_pm_341,3.175,1
peptide_pm_342,2.857,1
peptide_pm_343,2.5,1
peptide_pm_344,3.509,1
peptide_pm_345,3.609,1
peptide_pm_346,2.507,1
peptide_pm_347,3.049,1
peptide_pm_348,3.521,1
peptide_pm_349,1.296,1
peptide_pm_350,3.181,1
peptide_pm_351,3.069,1
peptide_pm_352,3.604,1
peptide_pm_353,2.777,1
peptide_pm_354,2.664,1
peptide_pm_355,1.349,1
peptide_pm_356,2.708,1
peptide_pm_357,3.193,1
peptide_pm_358,2.87,1
peptide_pm_359,2.522,1
peptide_pm_360,3.082,1
peptide_pm_361,3.36,1
peptide_pm_362,2.524,1
peptide_pm_363,3.553,1
peptide_pm_364,2.661,1
peptide_pm_365,2.656,1
peptide_pm_366,1.902,1
peptide_pm_367,0.9,1
peptide_pm_368,2.005,1
peptide_pm_369,3.54,1
peptide_pm_370,3.101,1
peptide_pm_371,1.958,1
peptide_pm_372,2.473,1
peptide_pm_373,2.616,1
peptide_pm_374,3.14,1
peptide_pm_375,2.978,1
peptide_pm_376,1.953,1
peptide_pm_377,3.209,1
peptide_pm_378,2.971,1
peptide_pm_379,2.708,1
peptide_pm_380,3.157,1
peptide_pm_381,3.542,1
peptide_pm_382,2.656,1
peptide_pm_383,3.057,1
peptide_pm_384,2.649,1
peptide_pm_385,1.826,1
peptide_pm_386,3.239,1
peptide_pm_387,3.049,1
peptide_pm_388,2.534,1
peptide_pm_389,3.116,1
peptide_pm_390,2.969,1
peptide_pm_391,2.027,1
peptide_pm_392,3.176,1
peptide_pm_393,2.934,1
peptide_pm_394,2.656,1
peptide_pm_395,2.579,1
peptide_pm_396,2.412,1
peptide_pm_397,2.274,1
peptide_pm_398,2.125,1
peptide_pm_399,2.931,1
peptide_pm_400,3.559,1
peptide_pm_401,2.486,1
peptide_pm_402,2.412,1
peptide_pm_403,3.308,1
peptide_pm_404,2.5,1
peptide_pm_405,3.301,1
peptide_pm_406,3.027,1
peptide_pm_407,1.53,1
peptide_pm_408,2.549,1
peptide_pm_409,2.642,1
peptide_pm_410,3.084,1
peptide_pm_411,2.6,1
peptide_pm_412,1.972,1
peptide_pm_413,2.737,1
peptide_pm_414,3.31,1
peptide_pm_415,3.582,1
peptide_pm_416,1.792,1
peptide_pm_417,2.418,1
peptide_pm_418,2.719,1
peptide_pm_419,1.349,1
peptide_pm_420,2.369,1
peptide_pm_421,2.747,1
peptide_pm_422,2.585,1
peptide_pm_423,3.194,1
peptide_pm_424,2.412,1
peptide_pm_425,3.525,1
peptide_pm_426,3.308,1
peptide_pm_427,2.522,1
peptide_pm_428,1.891,1
peptide_pm_429,2.355,1
peptide_pm_430,0.918,1
peptide_pm_431,2.8,1
peptide_pm_432,3.54,1
peptide_pm_433,3.239,1
peptide_pm_434,2.684,1
peptide_pm_435,2.699,1
peptide_pm_436,0.971,1
peptide_pm_437,3.459,1
peptide_pm_438,3.132,1
peptide_pm_439,2.626,1
peptide_pm_440,2.931,1
peptide_pm_441,3.553,1
peptide_pm_442,3.175,1
