,SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y,y
peptide_nm_86,-0.394,-0.168,-0.266,-0.394,0.0,-0.266,0.0,-0.339,-0.168,-0.266,0.0,-0.168,-0.168,-0.168,-0.168,-0.266,-0.266,-0.266,0.0,0.0,0
peptide_nm_87,0.0,0.0,-0.153,-0.245,-0.314,-0.369,0.0,-0.245,-0.245,-0.314,0.0,-0.314,-0.245,-0.153,-0.412,-0.153,-0.153,-0.245,0.0,-0.153,0
peptide_nm_88,0.0,0.0,-0.285,-0.285,0.0,-0.285,-0.285,0.0,-0.285,-0.523,0.0,-0.285,0.0,-0.285,0.0,0.0,0.0,-0.415,0.0,0.0,0
peptide_nm_89,-0.299,0.0,0.0,0.0,0.0,-0.299,0.0,-0.299,0.0,-0.528,0.0,-0.299,-0.299,0.0,-0.299,-0.299,-0.299,0.0,0.0,0.0,0
peptide_nm_90,-0.523,0.0,-0.285,-0.285,0.0,0.0,0.0,0.0,-0.415,-0.285,0.0,0.0,0.0,-0.415,0.0,-0.415,0.0,0.0,0.0,0.0,0
peptide_nm_91,-0.42,0.0,-0.342,-0.224,0.0,-0.224,0.0,0.0,0.0,-0.42,0.0,0.0,-0.224,0.0,-0.224,-0.342,-0.42,-0.342,0.0,0.0,0
peptide_nm_92,-0.232,0.0,0.0,-0.352,-0.232,-0.352,0.0,-0.352,-0.232,-0.352,-0.232,0.0,0.0,0.0,-0.431,-0.232,-0.352,0.0,0.0,0.0,0
peptide_nm_93,-0.323,0.0,0.0,0.0,-0.209,-0.209,0.0,-0.323,0.0,-0.53,0.0,-0.209,0.0,-0.209,-0.209,0.0,0.0,-0.456,0.0,0.0,0
peptide_nm_94,0.0,0.0,-0.172,-0.516,-0.272,-0.172,0.0,0.0,-0.345,-0.401,-0.172,-0.172,0.0,0.0,-0.345,-0.172,0.0,-0.172,0.0,-0.272,0
peptide_nm_95,-0.383,0.0,-0.197,-0.197,-0.197,-0.306,-0.306,-0.306,-0.197,-0.306,0.0,-0.306,-0.306,-0.197,0.0,-0.197,0.0,-0.306,0.0,0.0,0
peptide_nm_96,-0.415,0.0,0.0,0.0,0.0,0.0,-0.285,0.0,0.0,-0.285,0.0,0.0,-0.285,-0.285,-0.415,-0.523,0.0,-0.285,0.0,0.0,0
peptide_nm_97,-0.375,0.0,-0.375,-0.25,-0.25,0.0,-0.25,-0.375,0.0,-0.25,0.0,0.0,0.0,0.0,-0.453,0.0,0.0,-0.453,0.0,0.0,0
peptide_nm_98,-0.401,0.0,-0.323,-0.209,-0.209,-0.456,-0.209,-0.209,0.0,-0.209,-0.209,0.0,0.0,-0.209,0.0,0.0,0.0,-0.493,0.0,0.0,0
peptide_nm_99,-0.272,0.0,-0.272,-0.272,-0.401,-0.272,0.0,-0.401,-0.272,0.0,0.0,0.0,0.0,-0.272,0.0,-0.272,-0.401,-0.272,0.0,0.0,0
peptide_nm_100,-0.285,0.0,-0.285,0.0,0.0,-0.285,0.0,0.0,0.0,-0.415,0.0,0.0,0.0,0.0,0.0,-0.488,0.0,-0.285,-0.415,-0.415,0
peptide_nm_101,-0.172,0.0,-0.272,-0.272,0.0,0.0,0.0,-0.272,-0.476,-0.444,-0.172,-0.172,-0.345,-0.345,-0.172,0.0,-0.172,0.0,0.0,0.0,0
peptide_nm_102,-0.172,0.0,0.0,-0.345,-0.172,-0.345,0.0,-0.345,-0.272,-0.345,-0.172,-0.272,-0.272,-0.272,-0.172,-0.172,-0.272,0.0,0.0,-0.172,0
peptide_nm_103,-0.285,0.0,-0.285,0.0,0.0,-0.285,-0.285,0.0,0.0,-0.415,0.0,-0.285,0.0,-0.285,0.0,0.0,-0.285,-0.488,0.0,-0.285,0
peptide_nm_104,-0.197,-0.197,0.0,-0.197,-0.383,-0.197,-0.197,-0.439,-0.197,-0.306,-0.197,0.0,-0.306,-0.197,0.0,-0.306,0.0,-0.197,0.0,-0.197,0
peptide_nm_105,-0.285,-0.285,-0.523,-0.285,0.0,-0.285,-0.285,0.0,-0.415,-0.285,0.0,0.0,0.0,0.0,0.0,0.0,-0.285,0.0,0.0,0.0,0
peptide_nm_106,0.0,0.0,-0.181,-0.359,-0.181,-0.181,-0.181,-0.457,-0.359,0.0,-0.181,0.0,0.0,0.0,-0.415,0.0,-0.285,-0.359,0.0,-0.181,0
peptide_nm_107,-0.516,0.0,-0.272,0.0,0.0,-0.272,0.0,0.0,-0.272,-0.272,0.0,0.0,0.0,-0.401,-0.272,-0.401,-0.272,0.0,0.0,0.0,0
peptide_nm_108,-0.209,-0.323,-0.323,-0.209,-0.209,0.0,0.0,0.0,-0.401,-0.209,0.0,0.0,-0.209,-0.209,0.0,-0.323,-0.323,0.0,-0.209,-0.401,0
peptide_nm_109,-0.285,0.0,-0.285,-0.285,-0.285,0.0,0.0,-0.415,0.0,-0.285,-0.285,0.0,-0.415,0.0,-0.285,-0.415,0.0,0.0,0.0,0.0,0
peptide_nm_110,-0.232,0.0,0.0,-0.232,-0.482,-0.232,0.0,-0.482,0.0,-0.232,0.0,0.0,-0.352,0.0,-0.352,-0.232,-0.232,0.0,0.0,0.0,0
peptide_nm_111,0.0,0.0,-0.191,-0.299,-0.191,-0.191,0.0,-0.299,-0.431,-0.191,-0.191,-0.191,-0.375,0.0,-0.299,0.0,-0.299,-0.375,0.0,0.0,0
peptide_nm_112,-0.408,0.0,0.0,-0.352,0.0,-0.278,0.0,-0.278,-0.278,-0.352,0.0,-0.176,0.0,-0.352,-0.278,-0.278,-0.176,-0.278,0.0,0.0,0
peptide_nm_113,-0.299,0.0,0.0,-0.375,-0.191,-0.299,0.0,0.0,-0.299,-0.299,-0.191,-0.375,0.0,-0.299,0.0,-0.191,-0.299,-0.375,0.0,0.0,0
peptide_nm_114,-0.172,-0.172,-0.172,-0.345,-0.345,-0.172,-0.172,-0.345,-0.476,-0.172,-0.272,-0.172,0.0,-0.172,0.0,-0.172,-0.172,-0.172,0.0,0.0,0
peptide_nm_115,-0.342,0.0,-0.224,0.0,-0.224,-0.342,0.0,-0.342,0.0,-0.342,0.0,-0.224,-0.342,0.0,-0.224,-0.342,0.0,-0.342,0.0,-0.224,0
peptide_nm_116,0.0,0.0,0.0,-0.285,-0.285,-0.285,-0.285,0.0,-0.285,-0.488,0.0,-0.285,-0.415,0.0,-0.285,0.0,0.0,-0.285,0.0,0.0,0
peptide_nm_117,-0.401,-0.272,0.0,-0.516,-0.272,0.0,0.0,-0.272,0.0,-0.272,-0.272,0.0,0.0,-0.272,-0.401,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_118,-0.447,0.0,-0.314,-0.314,0.0,0.0,0.0,-0.314,-0.447,0.0,0.0,0.0,-0.314,0.0,-0.314,0.0,0.0,-0.447,0.0,0.0,0
peptide_nm_119,0.0,0.0,-0.299,0.0,-0.431,-0.431,0.0,0.0,0.0,0.0,0.0,0.0,-0.431,-0.299,-0.431,-0.431,0.0,0.0,0.0,0.0,0
peptide_nm_120,-0.314,0.0,0.0,-0.314,-0.314,-0.203,0.0,-0.203,-0.447,-0.203,0.0,-0.392,0.0,-0.203,-0.314,-0.203,-0.314,0.0,0.0,0.0,0
peptide_nm_121,-0.352,0.0,0.0,-0.232,-0.232,0.0,0.0,-0.232,0.0,-0.232,0.0,-0.232,-0.232,-0.232,-0.232,-0.232,-0.352,-0.431,0.0,-0.352,0
peptide_nm_122,-0.457,-0.181,-0.285,-0.285,-0.181,0.0,-0.285,-0.181,0.0,-0.181,0.0,-0.415,-0.285,0.0,-0.285,0.0,-0.181,-0.181,0.0,-0.181,0
peptide_nm_123,-0.24,0.0,-0.24,-0.24,0.0,-0.363,-0.24,-0.24,0.0,0.0,0.0,-0.24,-0.24,-0.363,0.0,-0.24,-0.363,0.0,-0.24,-0.363,0
peptide_nm_124,0.0,0.0,0.0,0.0,0.0,0.0,-0.299,-0.5,-0.299,-0.431,0.0,0.0,-0.5,0.0,-0.299,-0.299,0.0,0.0,0.0,0.0,0
peptide_nm_125,-0.375,0.0,0.0,-0.25,0.0,-0.5,-0.25,0.0,-0.25,-0.25,0.0,0.0,-0.25,0.0,-0.25,0.0,-0.25,-0.375,0.0,-0.25,0
peptide_nm_126,-0.447,0.0,-0.203,-0.203,0.0,-0.392,-0.203,-0.203,0.0,-0.314,0.0,-0.203,-0.203,-0.203,-0.314,-0.203,0.0,-0.314,0.0,-0.203,0
peptide_nm_127,0.0,0.0,0.0,-0.447,-0.447,-0.314,0.0,0.0,-0.314,0.0,0.0,0.0,0.0,-0.314,-0.314,0.0,-0.447,-0.314,0.0,0.0,0
peptide_nm_128,-0.299,0.0,-0.5,0.0,0.0,-0.299,0.0,0.0,-0.299,-0.431,0.0,0.0,0.0,-0.299,-0.299,0.0,0.0,0.0,-0.431,0.0,0
peptide_nm_129,-0.272,-0.272,-0.401,0.0,0.0,-0.272,0.0,0.0,0.0,0.0,0.0,-0.272,-0.272,-0.272,0.0,-0.516,0.0,-0.272,0.0,-0.272,0
peptide_nm_130,-0.314,0.0,-0.447,-0.447,0.0,0.0,0.0,0.0,0.0,-0.314,-0.314,0.0,0.0,-0.314,0.0,-0.314,-0.447,0.0,0.0,0.0,0
peptide_nm_131,0.0,0.0,-0.232,-0.232,0.0,0.0,0.0,-0.482,-0.232,-0.232,-0.352,-0.232,-0.352,-0.232,-0.232,-0.352,0.0,-0.232,0.0,0.0,0
peptide_nm_132,-0.431,-0.232,0.0,-0.232,0.0,0.0,0.0,-0.352,0.0,-0.431,0.0,0.0,-0.232,-0.482,-0.232,-0.232,-0.232,0.0,0.0,0.0,0
peptide_nm_133,-0.24,0.0,-0.363,-0.24,-0.24,0.0,-0.24,0.0,0.0,-0.363,-0.363,0.0,-0.24,-0.363,-0.24,-0.24,-0.24,-0.24,0.0,0.0,0
peptide_nm_134,-0.314,0.0,0.0,0.0,-0.314,-0.314,0.0,0.0,0.0,-0.511,0.0,0.0,-0.314,0.0,0.0,0.0,0.0,-0.511,0.0,-0.314,0
peptide_nm_135,-0.342,0.0,-0.42,-0.342,-0.224,-0.224,0.0,0.0,0.0,-0.224,-0.342,-0.342,0.0,0.0,-0.224,0.0,-0.224,-0.224,-0.342,0.0,0
