,QSO3_SC_A,QSO3_SC_R,QSO3_SC_N,QSO3_SC_D,QSO3_SC_C,QSO3_SC_Q,QSO3_SC_E,QSO3_SC_G,QSO3_SC_H,QSO3_SC_I,QSO3_SC_L,QSO3_SC_K,QSO3_SC_M,QSO3_SC_F,QSO3_SC_P,QSO3_SC_S,QSO3_SC_T,QSO3_SC_W,QSO3_SC_Y,QSO3_SC_V,QSO3_G_A,QSO3_G_R,QSO3_G_N,QSO3_G_D,QSO3_G_C,QSO3_G_Q,QSO3_G_E,QSO3_G_G,QSO3_G_H,QSO3_G_I,QSO3_G_L,QSO3_G_K,QSO3_G_M,QSO3_G_F,QSO3_G_P,QSO3_G_S,QSO3_G_T,QSO3_G_W,QSO3_G_Y,QSO3_G_V,QSO3_SC1,QSO3_SC2,QSO3_SC3,QSO3_G1,QSO3_G2,QSO3_G3,y
peptide_nm_11,0.0,0.0,0.4335,0.0,0.0,0.4335,0.0,0.4335,0.0,0.0,0.867,0.867,0.0,0.0,0.0,0.4335,0.4335,0.0,1.7341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.2037,0.1835,0.1794,0.2037,0.1835,0.1794,0
peptide_nm_12,0.7503,0.5002,0.2501,0.5002,0.0,0.0,0.5002,0.5002,0.2501,0.0,0.5002,0.2501,0.2501,0.7503,0.0,0.7503,0.7503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2537,0.2666,0.2296,0.2537,0.2666,0.2296,0
peptide_nm_13,0.2512,0.5023,0.0,0.5023,0.0,0.5023,0.5023,1.0046,0.5023,0.0,0.2512,0.7535,0.0,0.2512,0.2512,0.7535,1.0046,0.0,0.0,0.2512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.2639,0.2366,0.2484,0.2639,0.2366,0.2484,0
peptide_nm_14,1.4427,0.0,0.7213,0.3607,0.0,0.0,0.3607,0.3607,0.0,0.0,1.082,0.7213,0.3607,0.0,0.3607,0.3607,0.3607,0.0,0.0,0.3607,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664,0.1509,0.222,0.2664,0.1509,0.222,0
peptide_nm_15,1.2365,0.0,0.4122,0.4122,0.0,0.0,0.0,2.473,0.8243,0.0,0.0,0.8243,0.0,0.4122,1.2365,0.0,0.8243,0.0,0.0,0.8243,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.1681,0.2043,0.2155,0.1681,0.2043,0.2155,0
peptide_nm_16,0.0,0.0,0.0,0.6905,0.0,0.3453,1.3811,0.3453,0.3453,0.3453,1.0358,0.0,0.0,0.0,0.6905,0.3453,0.3453,0.0,0.3453,0.3453,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277,0.2595,0.1182,0.277,0.2595,0.1182,0
peptide_nm_17,1.0507,0.0,0.6567,0.1313,0.0,0.1313,0.2627,0.5254,0.2627,0.2627,0.2627,1.1821,0.2627,0.2627,1.5761,1.4447,0.394,0.1313,0.1313,0.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.2445,0.3296,0.2945,0.2445,0.3296,0.2945,0
peptide_nm_18,0.0,0.0,0.4611,0.9221,0.4611,0.4611,0.4611,0.4611,0.0,0.0,1.3832,0.0,0.0,0.0,0.0,0.9221,0.0,0.0,0.4611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2154,0.1872,0.1363,0.2154,0.1872,0.1363,0
peptide_nm_19,1.5102,0.3775,0.3775,0.0,0.0,0.3775,0.3775,0.0,0.0,0.3775,0.3775,1.1326,0.7551,0.0,0.7551,0.0,0.0,0.0,0.0,0.7551,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.1997,0.2022,0.2206,0.1997,0.2022,0.2206,0
peptide_nm_20,0.6104,0.6104,0.6104,0.3052,0.0,0.0,0.9157,0.6104,0.0,0.0,0.3052,0.3052,0.0,0.0,0.3052,0.0,0.0,0.0,0.3052,0.9157,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2648,0.1497,0.2803,0.2648,0.1497,0.2803,0
peptide_nm_21,1.2313,0.0,1.2313,0.0,0.0,0.0,0.0,1.8469,0.0,0.0,2.4625,0.0,0.6156,0.0,0.0,1.2313,1.8469,0.0,0.0,0.6156,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.1696,0.0848,0.13,0.1696,0.0848,0.13,0
peptide_nm_22,0.3456,0.0,0.3456,0.6911,0.0,0.0,0.0,2.0733,0.0,0.6911,0.3456,0.3456,0.0,0.0,0.0,0.3456,0.3456,0.3456,0.0,0.6911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.2292,0.2192,0.206,0.2292,0.2192,0
peptide_nm_23,0.792,0.0,0.0,0.792,0.0,0.0,0.396,0.396,0.0,0.0,0.0,0.792,0.0,0.396,0.0,1.188,1.188,0.0,0.396,0.792,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.2486,0.1427,0.2127,0.2486,0.1427,0.2127,0
peptide_nm_24,0.7602,0.3801,0.0,0.0,0.0,0.7602,0.7602,0.0,0.0,0.7602,0.7602,0.0,0.0,0.3801,0.0,1.1402,0.3801,0.0,0.3801,0.3801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2213,0.1994,0.1992,0.2213,0.1994,0.1992,0
peptide_nm_25,0.0,0.6768,0.0,0.6768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6768,0.0,0.0,0.0,1.3535,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0,0.1368,0.1572,0.0292,0.1368,0.1572,0.0292,0
peptide_nm_26,0.0,0.0,0.3539,1.4155,0.0,0.0,0.7077,0.0,0.0,0.3539,0.3539,0.0,0.0,0.3539,0.0,0.3539,0.0,0.3539,0.3539,0.3539,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2771,0.158,0.211,0.2771,0.158,0.211,0
peptide_nm_27,0.0,0.0,0.0,0.7921,0.0,0.3961,0.0,0.3961,0.0,0.7921,0.0,0.7921,0.0,0.3961,0.3961,0.7921,0.7921,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.249,0.1746,0.1804,0.249,0.1746,0.1804,0
peptide_nm_28,0.3995,0.0,0.7989,0.3995,0.0,0.0,0.0,0.3995,0.0,0.3995,1.1984,0.7989,0.3995,0.0,0.3995,0.7989,0.0,0.0,0.0,1.1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2359,0.2331,0.1316,0.2359,0.2331,0.1316,0
peptide_nm_29,0.3098,0.6196,0.3098,0.6196,0.0,0.3098,0.6196,0.0,0.0,0.3098,0.3098,1.2392,0.0,0.0,0.0,0.3098,0.3098,0.0,0.3098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1925,0.2625,0.2353,0.1925,0.2625,0.2353,0
peptide_nm_30,0.7666,0.7666,0.7666,0.3833,0.3833,0.0,0.0,0.7666,0.0,0.0,0.3833,0.0,0.0,0.3833,0.3833,0.0,0.7666,0.0,0.3833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1628,0.2214,0.2324,0.1628,0.2214,0.2324,0
peptide_nm_31,0.2364,0.2364,0.0,0.7092,0.2364,0.0,0.0,0.9456,0.0,0.9456,0.4728,0.9456,0.0,0.4728,0.7092,0.7092,0.7092,0.0,0.2364,0.4728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2499,0.2216,0.2921,0.2499,0.2216,0.2921,0
peptide_nm_32,0.4854,0.0,0.9708,0.0,0.4854,0.0,0.4854,0.9708,0.0,0.0,0.4854,0.4854,0.0,0.0,0.4854,0.0,0.0,0.0,0.4854,0.4854,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1786,0.1982,0.1377,0.1786,0.1982,0.1377,0
peptide_nm_33,1.7007,0.4252,0.0,0.4252,0.0,0.4252,0.4252,0.0,0.0,0.4252,0.8504,0.4252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4252,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1704,0.2402,0.1642,0.1704,0.2402,0.1642,0
peptide_nm_34,0.0,0.0,0.0,0.747,0.0,0.0,0.0,0.0,0.0,0.0,0.747,0.0,0.0,0.0,0.0,0.0,2.241,0.0,0.0,1.494,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0002,0.1154,0.0735,0.0641,0.1154,0.0735,0.0641,0
peptide_nm_35,0.7171,0.3585,0.0,1.4342,0.3585,0.0,0.0,0.3585,0.0,0.0,0.3585,0.3585,0.0,0.0,0.3585,0.3585,0.7171,0.0,0.3585,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2456,0.1858,0.21,0.2456,0.1858,0.21,0
peptide_nm_36,0.0,0.4227,0.4227,0.4227,0.0,0.0,0.8453,0.0,0.0,0.8453,0.0,0.0,0.0,0.4227,0.0,1.268,0.4227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2335,0.1932,0.1506,0.2335,0.1932,0.1506,0
peptide_nm_37,1.0101,0.202,0.8081,0.6061,0.202,0.0,0.202,1.2122,0.0,0.8081,1.2122,0.4041,0.4041,0.202,0.4041,0.6061,0.4041,0.0,0.0,0.8081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2772,0.295,0.2258,0.2772,0.295,0.2258,0
peptide_nm_38,0.5561,0.278,0.0,0.278,1.1121,0.278,1.3902,0.278,0.0,0.278,0.5561,0.278,0.278,0.0,0.0,1.1121,0.5561,0.0,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2963,0.2107,0.215,0.2963,0.2107,0.215,0
peptide_nm_39,0.3361,0.0,1.0084,0.3361,0.0,0.0,0.6723,0.3361,0.3361,0.3361,0.6723,0.3361,0.3361,0.0,0.3361,0.0,0.0,0.0,0.3361,1.0084,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.1818,0.2419,0.2402,0.1818,0.2419,0.2402,0
peptide_nm_40,0.7792,0.0,0.0,0.7792,0.2597,0.2597,1.2986,0.7792,0.7792,0.2597,0.0,0.0,0.0,0.2597,0.5194,0.5194,0.2597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2282,0.2301,0.2819,0.2282,0.2301,0.2819,0
peptide_nm_41,0.2637,0.791,0.0,1.0547,0.0,0.2637,0.791,0.0,0.0,0.2637,0.791,1.0547,0.5273,0.5273,0.2637,0.5273,0.0,0.0,0.2637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1857,0.2503,0.3004,0.1857,0.2503,0.3004,0
peptide_nm_43,0.3773,0.7546,0.0,0.3773,0.0,0.0,0.0,0.3773,0.3773,0.0,0.0,0.0,0.0,0.7546,0.3773,0.0,0.0,0.3773,0.3773,0.3773,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.223,0.2375,0.1622,0.223,0.2375,0.1622,0
peptide_nm_44,1.5389,0.0,0.0,1.1542,0.0,0.7695,0.0,0.0,0.7695,0.0,0.7695,0.0,0.3847,0.7695,0.3847,0.0,0.0,0.0,0.0,0.3847,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2191,0.2339,0.1623,0.2191,0.2339,0.1623,0
peptide_nm_45,1.0213,0.2553,0.0,0.5107,0.0,0.5107,0.5107,0.2553,0.2553,1.0213,0.5107,0.2553,0.2553,0.2553,1.0213,0.2553,0.0,0.0,0.0,0.5107,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.2981,0.2483,0.1982,0.2981,0.2483,0.1982,0
peptide_nm_46,0.865,0.1236,0.1236,0.7414,0.0,0.4943,0.6178,0.4943,0.3707,0.4943,0.6178,0.865,0.1236,0.1236,0.1236,0.6178,0.1236,0.0,0.1236,0.3707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3011,0.2801,0.2952,0.3011,0.2801,0.2952,0
peptide_nm_47,0.2759,0.5518,0.5518,0.6897,0.0,0.1379,0.4138,0.2759,0.0,0.6897,0.9656,1.2415,0.1379,0.0,0.0,0.4138,0.1379,0.0,0.1379,0.2759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,0.3018,0.2682,0.292,0.3018,0.2682,0
peptide_nm_48,0.864,0.0,0.432,0.432,0.0,0.0,0.0,0.432,0.0,0.432,0.432,0.864,0.0,0.0,0.0,0.864,0.432,0.0,0.0,0.432,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2298,0.2013,0.1369,0.2298,0.2013,0.1369,0
peptide_nm_49,0.6915,0.6915,0.3458,0.6915,0.0,0.0,1.3831,0.3458,0.0,0.3458,0.3458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6915,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.1998,0.2182,0.2362,0.1998,0.2182,0.2362,0
peptide_nm_50,0.2887,0.5774,0.0,0.5774,0.2887,0.2887,0.2887,0.8661,0.0,0.0,0.8661,0.2887,0.0,0.2887,0.5774,0.2887,0.5774,0.0,0.2887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2764,0.2004,0.2345,0.2764,0.2004,0.2345,0
peptide_nm_51,0.4729,0.9458,0.4729,0.0,0.0,1.1823,0.4729,0.2365,0.2365,0.2365,0.9458,0.0,0.0,0.4729,0.0,0.0,0.7094,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2357,0.2532,0.2746,0.2357,0.2532,0.2746,0
peptide_nm_52,0.6266,0.3133,0.0,0.3133,0.0,0.0,0.3133,0.6266,0.0,1.2532,0.9399,0.6266,0.0,0.6266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.2244,0.1872,0.275,0.2244,0.1872,0
peptide_nm_53,0.3206,0.3206,0.0,0.0,0.3206,0.0,0.6411,0.3206,0.9617,0.3206,0.9617,0.0,0.3206,0.6411,0.3206,0.6411,0.6411,0.0,0.3206,0.6411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2278,0.2303,0.2214,0.2278,0.2303,0.2214,0
peptide_nm_54,1.9789,0.0,0.0,0.0,0.0,0.0,0.4947,0.0,0.0,0.4947,0.9895,0.9895,0.0,0.4947,0.0,0.4947,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1725,0.1717,0.1611,0.1725,0.1717,0.1611,0
peptide_nm_55,1.349,0.0,0.0,0.8993,0.0,0.0,0.0,0.4497,0.4497,0.0,1.349,0.0,0.0,0.4497,0.8993,0.4497,0.8993,0.0,0.0,0.4497,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.1771,0.1852,0.188,0.1771,0.1852,0
peptide_nm_56,0.4855,0.4855,0.0,0.4855,0.0,0.4855,0.4855,0.7283,0.0,0.7283,0.4855,0.0,0.0,0.4855,0.2428,0.4855,0.4855,0.2428,0.0,0.7283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2517,0.2744,0.2311,0.2517,0.2744,0.2311,0
peptide_nm_57,0.5488,0.0,1.6464,0.5488,0.0,0.0,0.0,1.0976,0.0,0.5488,1.0976,0.0,0.0,0.0,0.5488,0.5488,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1566,0.1401,0.1545,0.1566,0.1401,0.1545,0
peptide_nm_58,0.2904,0.2904,0.0,0.5808,0.5808,0.0,0.2904,0.5808,0.2904,0.0,0.8712,0.8712,0.0,0.0,0.0,0.5808,0.5808,0.0,0.5808,1.1617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2553,0.2148,0.2394,0.2553,0.2148,0.2394,0
peptide_nm_59,3.1235,0.5206,0.5206,0.0,0.0,0.5206,0.0,0.0,0.0,0.5206,1.5618,0.0,0.0,0.5206,0.5206,0.5206,0.0,0.0,0.5206,0.5206,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1744,0.1579,0.1472,0.1744,0.1579,0.1472,0
peptide_nm_60,0.711,0.237,0.237,0.711,0.474,0.0,0.237,0.237,0.474,0.237,1.185,0.474,0.237,0.237,0.237,0.474,0.237,0.0,0.0,0.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2992,0.227,0.2368,0.2992,0.227,0.2368,0
peptide_nm_61,0.8217,0.5478,0.0,0.5478,0.0,0.5478,1.3695,0.2739,0.2739,0.2739,0.2739,0.0,0.0,0.2739,0.2739,0.2739,0.2739,0.0,0.0,0.5478,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2586,0.2528,0.2147,0.2586,0.2528,0.2147,0
peptide_nm_62,1.342,0.0,0.0,0.0,0.0,1.342,0.671,0.671,0.0,0.0,1.342,0.0,0.0,0.0,0.671,0.671,0.0,0.0,0.0,0.671,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1193,0.0939,0.1158,0.1193,0.0939,0.1158,0
