,DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,y
peptide_nm_21,5.76,0.0,6.94,0.0,0.0,0.0,0.0,6.69,0.0,0.0,6.13,0.0,14.28,0.0,0.0,10.24,5.94,0.0,0.0,8.72,0
peptide_nm_22,15.26,0.0,12.32,7.83,0.0,0.0,0.0,3.36,0.0,9.94,17.05,8.95,0.0,0.0,0.0,13.68,8.53,8.95,0.0,6.06,0
peptide_nm_23,6.12,0.0,0.0,7.65,0.0,0.0,11.39,8.72,0.0,0.0,0.0,7.41,0.0,12.72,0.0,5.31,5.81,0.0,16.06,7.06,0
peptide_nm_24,5.29,16.06,0.0,0.0,0.0,11.76,5.53,0.0,0.0,5.29,11.65,0.0,0.0,8.72,0.0,3.69,12.72,0.0,8.06,8.28,0
peptide_nm_25,0.0,1.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,1.25,0.0,0
peptide_nm_26,0.0,0.0,6.93,2.18,0.0,0.0,4.77,0.0,0.0,12.07,6.07,0.0,0.0,6.36,0.0,6.93,0.0,8.93,8.93,12.07,0
peptide_nm_27,0.0,0.0,0.0,9.38,0.0,7.79,0.0,6.93,0.0,6.62,0.0,3.85,0.0,6.07,10.36,5.54,3.85,0.0,0.0,0.0,0
peptide_nm_28,8.72,0.0,6.94,9.39,0.0,0.0,0.0,9.39,0.0,8.06,5.06,8.94,16.06,0.0,8.28,11.65,0.0,0.0,0.0,5.19,0
peptide_nm_29,8.06,6.47,14.28,5.76,0.0,10.28,5.53,0.0,0.0,8.06,16.06,4.67,0.0,0.0,0.0,8.28,14.28,0.0,12.72,0.0,0
peptide_nm_30,8.67,6.53,7.73,9.56,12.31,0.0,0.0,7.73,0.0,0.0,14.06,0.0,0.0,10.81,7.31,0.0,5.73,0.0,10.81,0.0,0
peptide_nm_31,16.15,21.32,0.0,14.03,28.38,0.0,0.0,15.16,0.0,10.77,21.27,10.71,0.0,13.52,9.84,16.28,10.66,0.0,26.74,17.39,0
peptide_nm_32,8.42,0.0,3.27,0.0,5.08,0.0,7.08,3.45,0.0,0.0,10.08,6.08,0.0,0.0,5.08,0.0,0.0,0.0,10.08,8.42,0
peptide_nm_33,5.1,8.0,0.0,5.54,0.0,9.38,6.92,0.0,0.0,6.92,5.42,11.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.08,0
peptide_nm_34,0.0,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,2.83,0
peptide_nm_35,4.93,14.06,0.0,2.62,14.06,0.0,0.0,12.31,0.0,0.0,7.06,7.31,0.0,0.0,8.56,7.06,6.53,0.0,10.81,0.0,0
peptide_nm_36,0.0,10.08,7.08,6.08,0.0,0.0,4.73,0.0,0.0,3.09,0.0,0.0,0.0,7.08,0.0,3.5,8.42,0.0,0.0,0.0,0
peptide_nm_37,12.74,23.57,13.8,13.69,32.09,0.0,23.19,13.88,0.0,12.3,7.6,19.76,25.41,45.02,30.85,13.56,20.46,0.0,0.0,15.11,0
peptide_nm_38,9.27,17.26,0.0,14.37,4.88,15.19,6.09,13.19,0.0,15.19,14.35,19.93,18.52,0.0,0.0,10.21,11.88,0.0,16.15,0.0,0
peptide_nm_39,17.05,0.0,5.06,11.16,0.0,0.0,11.39,15.26,13.68,9.47,6.39,8.63,17.05,0.0,8.53,0.0,0.0,0.0,8.63,6.0,0
peptide_nm_40,9.04,0.0,0.0,13.54,12.96,22.19,7.86,7.62,6.54,18.96,0.0,0.0,0.0,17.58,12.56,13.76,12.19,0.0,0.0,0.0,0
peptide_nm_41,26.04,11.81,0.0,9.52,0.0,13.04,8.19,0.0,0.0,16.04,8.27,11.12,21.48,9.85,13.89,9.04,0.0,0.0,18.18,0.0,0
peptide_nm_43,8.42,5.27,0.0,6.08,0.0,0.0,0.0,8.42,5.42,0.0,0.0,0.0,0.0,4.0,5.42,0.0,0.0,5.08,5.08,10.08,0
peptide_nm_44,6.13,0.0,0.0,5.56,0.0,10.47,0.0,0.0,5.29,0.0,6.71,0.0,8.72,6.47,14.28,0.0,0.0,0.0,0.0,11.39,0
peptide_nm_45,6.88,16.9,0.0,12.11,0.0,12.75,11.46,27.03,16.9,5.96,17.75,23.45,16.0,14.62,9.65,13.79,0.0,0.0,0.0,10.68,0
peptide_nm_46,9.24,49.02,50.68,11.67,0.0,24.04,10.45,14.98,17.47,15.54,15.84,19.98,49.02,38.08,30.02,25.41,56.08,0.0,50.68,20.33,0
peptide_nm_47,20.24,11.19,28.55,18.93,0.0,44.26,25.6,17.14,0.0,10.5,8.43,5.55,42.5,0.0,0.0,29.56,25.22,0.0,24.82,29.67,0
peptide_nm_48,3.58,0.0,11.08,9.38,0.0,0.0,0.0,5.54,0.0,5.69,8.0,3.42,0.0,0.0,0.0,5.75,6.92,0.0,0.0,11.08,0
peptide_nm_49,5.73,8.4,10.81,7.73,0.0,0.0,3.08,9.56,0.0,7.31,7.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.73,0
peptide_nm_50,10.59,7.9,0.0,9.9,16.59,12.77,18.23,7.35,0.0,0.0,7.15,13.86,0.0,10.23,6.95,16.59,19.05,0.0,12.77,0.0,0
peptide_nm_51,13.42,5.62,14.65,0.0,0.0,5.57,13.04,17.26,25.04,19.93,5.38,0.0,0.0,9.65,0.0,0.0,14.0,0.0,0.0,0.0,0
peptide_nm_52,6.0,8.72,0.0,11.39,0.0,0.0,11.39,6.12,0.0,8.67,4.81,6.94,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_53,14.54,14.54,0.0,0.0,17.04,0.0,13.3,11.04,7.68,22.04,12.41,0.0,18.54,9.3,11.54,10.87,7.22,0.0,11.21,10.87,0
peptide_nm_54,2.44,0.0,0.0,0.0,0.0,0.0,10.08,0.0,0.0,6.08,4.91,4.91,0.0,8.42,0.0,5.08,0.0,0.0,0.0,0.0,0
peptide_nm_55,6.53,0.0,0.0,5.56,0.0,0.0,0.0,13.29,15.06,0.0,4.13,0.0,0.0,9.41,6.31,11.76,5.19,0.0,0.0,8.59,0
peptide_nm_56,10.04,14.11,0.0,8.89,0.0,10.68,20.75,8.81,0.0,8.15,17.75,0.0,0.0,9.61,27.03,11.46,22.39,17.93,0.0,10.15,0
peptide_nm_57,10.08,0.0,3.3,5.08,0.0,0.0,0.0,5.27,0.0,7.08,4.91,0.0,0.0,0.0,8.42,6.08,0.0,0.0,0.0,0.0,0
peptide_nm_58,13.58,14.35,0.0,14.96,9.2,0.0,16.35,12.24,18.96,0.0,12.88,14.21,0.0,0.0,0.0,21.2,9.84,0.0,10.8,6.17,0
peptide_nm_59,3.69,14.28,8.72,0.0,0.0,9.39,0.0,0.0,0.0,8.72,7.06,0.0,0.0,9.39,16.06,8.28,0.0,0.0,8.06,11.39,0
peptide_nm_60,13.97,15.03,15.16,9.3,15.68,0.0,20.66,30.03,16.65,17.66,8.39,15.94,24.78,15.03,15.78,22.13,18.53,0.0,0.0,8.55,0
peptide_nm_61,5.95,17.57,0.0,7.39,0.0,7.04,6.35,15.71,13.54,14.54,20.21,0.0,0.0,11.04,11.21,12.71,13.54,0.0,0.0,19.22,0
peptide_nm_62,4.5,0.0,0.0,0.0,0.0,5.3,9.09,7.45,0.0,0.0,3.3,0.0,0.0,0.0,6.18,4.55,0.0,0.0,0.0,7.45,0
peptide_nm_63,6.94,8.63,15.26,5.39,0.0,17.05,5.61,0.0,0.0,0.0,4.82,8.95,0.0,0.0,13.68,8.06,11.17,15.26,0.0,0.0,0
peptide_nm_64,0.0,0.0,12.21,12.19,0.0,0.0,12.96,9.68,14.35,10.64,13.52,8.21,24.04,9.36,12.5,9.38,16.35,18.96,8.24,0.0,0
peptide_nm_65,8.06,0.0,10.24,0.0,0.0,5.76,0.0,12.72,8.12,8.28,16.06,8.0,0.0,11.39,0.0,5.76,0.0,0.0,0.0,7.31,0
peptide_nm_66,10.87,12.7,7.45,12.41,8.0,0.0,0.0,21.04,0.0,8.67,0.0,8.41,0.0,17.57,6.77,8.59,16.09,0.0,0.0,0.0,0
peptide_nm_67,17.24,6.42,0.0,9.45,0.0,0.0,8.12,7.05,0.0,9.9,0.0,7.25,11.9,19.05,19.05,0.0,0.0,10.38,11.05,0.0,0
peptide_nm_68,0.0,0.0,0.0,7.73,0.0,0.0,12.31,12.31,9.56,0.0,0.0,3.5,7.06,0.0,6.27,0.0,8.56,0.0,7.06,5.21,0
peptide_nm_69,3.23,14.32,0.0,0.0,0.0,27.03,0.0,17.89,17.93,7.04,13.79,21.86,16.0,14.04,17.93,10.68,13.59,14.62,0.0,23.45,0
peptide_nm_70,5.42,7.08,10.08,8.42,0.0,0.0,8.42,0.0,0.0,4.73,6.08,7.08,0.0,0.0,0.0,0.0,5.27,0.0,0.0,5.08,0
peptide_nm_71,9.09,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,2.12,0.0,0.0,6.18,0.0,4.1,4.55,0.0,0.0,0.0,0
peptide_nm_72,12.72,10.28,0.0,8.06,0.0,8.72,8.06,8.72,12.72,5.56,10.47,8.28,6.71,0.0,0.0,5.76,0.0,0.0,0.0,14.28,0
peptide_nm_73,9.39,5.06,12.72,14.28,0.0,10.28,8.28,8.72,14.28,10.47,6.47,11.39,0.0,0.0,0.0,0.0,7.06,0.0,0.0,0.0,0
peptide_nm_74,0.0,0.0,7.85,6.36,0.0,0.0,0.0,0.0,7.79,4.31,12.07,6.07,0.0,6.92,5.54,8.93,0.0,0.0,10.36,0.0,0
peptide_nm_75,0.0,0.0,7.45,0.0,0.0,3.3,0.0,0.0,9.09,4.55,0.0,4.73,0.0,5.27,9.09,0.0,7.45,4.73,0.0,5.27,0
peptide_nm_76,8.72,0.0,0.0,10.47,0.0,11.39,10.28,14.28,0.0,8.28,0.0,12.72,7.65,5.69,5.06,8.94,0.0,0.0,8.28,0.0,0
peptide_nm_77,6.43,12.56,17.84,13.58,0.0,12.5,0.0,12.56,4.35,0.0,6.32,0.0,15.27,0.0,0.0,12.04,12.19,12.96,24.04,0.0,0
peptide_nm_78,8.45,0.0,0.0,9.52,17.24,0.0,9.35,7.45,10.45,0.0,4.17,12.95,17.24,9.05,11.9,19.05,0.0,0.0,0.0,10.38,0
peptide_nm_79,3.62,12.62,0.0,0.0,18.65,0.0,9.86,26.17,0.0,0.0,13.23,5.7,0.0,14.77,0.0,12.03,13.37,0.0,14.77,16.84,0
peptide_nm_80,11.76,0.0,7.41,0.0,12.72,0.0,0.0,2.79,0.0,10.28,9.39,8.72,0.0,0.0,14.28,0.0,0.0,0.0,12.72,6.19,0
peptide_nm_81,10.6,11.83,16.17,16.91,0.0,0.0,15.98,22.95,22.73,8.21,17.98,20.0,0.0,19.59,51.23,20.98,17.96,0.0,17.71,28.09,0
peptide_nm_82,9.61,13.18,20.41,13.52,0.0,7.93,21.86,7.56,9.32,0.0,18.18,23.45,0.0,10.68,8.44,16.0,16.46,0.0,12.75,13.59,0
peptide_nm_83,7.6,11.42,0.0,12.81,0.0,0.0,16.35,6.29,17.26,0.0,14.37,18.52,13.7,15.19,0.0,11.12,13.42,0.0,13.7,9.13,0
peptide_nm_84,6.11,19.05,0.0,9.9,6.95,17.24,10.25,10.38,0.0,15.62,0.0,4.53,0.0,11.9,0.0,15.62,9.52,14.19,0.0,7.65,0
peptide_nm_85,0.0,0.0,12.95,9.9,12.95,9.35,8.55,10.38,0.0,10.45,19.05,14.65,0.0,0.0,0.0,8.05,8.25,11.9,9.05,11.9,0
peptide_nm_86,6.35,16.0,19.1,8.75,19.1,25.17,8.96,10.68,0.0,11.63,11.75,14.14,0.0,0.0,17.93,17.89,8.89,0.0,0.0,12.18,0
peptide_nm_87,0.0,8.41,7.81,17.7,0.0,25.76,14.16,9.9,0.0,12.34,15.55,23.09,0.0,9.94,20.16,31.03,16.06,0.0,15.58,14.66,0
peptide_nm_88,0.0,0.0,6.92,11.08,0.0,8.0,6.15,6.15,5.69,0.0,2.5,5.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0
peptide_nm_89,7.08,10.08,8.42,0.0,0.0,0.0,0.0,7.08,0.0,6.08,3.78,0.0,0.0,0.0,6.08,5.42,5.42,0.0,0.0,0.0,0
peptide_nm_90,2.3,0.0,0.0,8.0,0.0,5.75,6.92,0.0,0.0,0.0,5.69,3.42,0.0,0.0,0.0,10.08,0.0,0.0,0.0,0.0,0
peptide_nm_91,5.76,15.26,0.0,8.72,0.0,0.0,17.05,15.26,0.0,0.0,5.06,0.0,0.0,0.0,11.16,6.94,5.53,0.0,0.0,5.61,0
peptide_nm_92,12.72,6.94,0.0,0.0,0.0,0.0,8.59,9.06,0.0,7.06,7.65,8.06,16.06,10.28,0.0,12.72,5.53,0.0,0.0,0.0,0
peptide_nm_93,9.65,15.62,11.9,0.0,0.0,17.24,0.0,10.38,0.0,10.65,2.64,0.0,0.0,15.62,0.0,0.0,0.0,0.0,0.0,6.5,0
peptide_nm_94,0.0,7.19,26.04,20.89,0.0,0.0,4.76,13.04,0.0,0.0,8.88,6.27,17.04,14.37,0.0,24.18,0.0,0.0,10.15,19.46,0
peptide_nm_95,9.24,0.0,20.05,21.04,0.0,12.7,16.09,13.59,14.95,9.5,8.59,13.65,0.0,17.57,9.95,10.61,0.0,0.0,0.0,15.14,0
peptide_nm_96,4.25,4.42,0.0,0.0,0.0,11.08,0.0,0.0,8.0,0.0,6.92,0.0,0.0,0.0,6.15,3.5,0.0,0.0,0.0,9.38,0
peptide_nm_97,6.53,4.36,0.0,8.4,0.0,0.0,9.56,0.0,14.06,5.73,7.81,0.0,0.0,10.81,0.0,0.0,0.0,0.0,0.0,6.93,0
peptide_nm_98,6.95,0.0,0.0,7.65,0.0,11.05,9.62,4.39,14.19,11.9,10.38,0.0,9.9,12.95,0.0,0.0,0.0,0.0,0.0,10.12,0
peptide_nm_99,6.07,0.0,0.0,6.07,0.0,8.93,12.07,6.36,0.0,6.62,0.0,6.93,0.0,3.85,0.0,10.36,8.0,0.0,0.0,6.36,0
peptide_nm_100,6.92,0.0,0.0,11.08,0.0,0.0,0.0,5.69,0.0,0.0,3.75,0.0,0.0,0.0,0.0,6.0,0.0,4.92,5.75,5.54,0
peptide_nm_101,14.46,14.46,19.46,15.56,0.0,13.27,13.26,0.0,0.0,10.3,8.79,6.7,26.04,0.0,7.73,0.0,18.18,0.0,0.0,0.0,0
peptide_nm_102,24.18,20.89,15.19,0.0,0.0,23.19,7.35,11.42,0.0,11.58,7.42,14.37,13.46,13.18,11.63,13.89,14.3,0.0,22.46,0.0,0
peptide_nm_103,9.38,0.0,6.15,11.08,0.0,6.92,0.0,5.54,8.0,0.0,10.08,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.69,3.45,0
peptide_nm_104,10.61,0.0,0.0,0.0,11.3,10.87,17.57,10.61,16.09,6.95,11.41,19.22,12.7,7.71,11.86,13.5,0.0,0.0,11.91,14.78,0
peptide_nm_105,11.08,0.0,0.0,2.9,6.15,0.0,6.15,8.0,5.69,0.0,8.0,5.08,0.0,0.0,0.0,0.0,11.08,0.0,0.0,0.0,0
peptide_nm_106,0.0,5.65,0.0,15.27,0.0,0.0,8.79,12.96,13.58,6.68,0.0,13.88,17.58,12.96,0.0,0.0,14.4,0.0,14.35,9.38,0
peptide_nm_107,7.45,6.93,0.0,6.07,0.0,5.69,0.0,6.36,0.0,0.0,7.79,6.07,0.0,0.0,0.0,6.62,12.07,0.0,0.0,0.0,0
peptide_nm_108,17.24,0.0,0.0,7.45,13.25,10.38,14.19,0.0,0.0,0.0,11.9,8.63,0.0,17.24,9.52,7.25,11.05,11.05,4.84,0.0,0
peptide_nm_109,9.38,11.08,0.0,5.54,0.0,0.0,5.69,0.0,0.0,3.75,9.38,0.0,6.15,6.15,4.08,6.08,0.0,0.0,0.0,0.0,0
peptide_nm_110,8.28,7.88,0.0,0.0,0.0,0.0,9.39,12.72,0.0,4.53,14.28,0.0,0.0,5.2,10.47,16.06,16.06,0.0,0.0,0.0,0
peptide_nm_111,0.0,7.22,11.04,11.21,0.0,0.0,10.7,11.04,0.0,13.13,13.54,6.0,22.04,11.54,9.23,0.0,14.52,0.0,0.0,6.23,0
peptide_nm_112,5.79,12.04,18.52,0.0,0.0,10.16,6.32,9.88,0.0,14.58,9.2,13.58,0.0,0.0,0.0,18.96,15.19,0.0,0.0,8.19,0
peptide_nm_113,7.83,0.0,6.86,0.0,0.0,12.0,12.14,7.39,0.0,0.0,8.43,21.04,12.71,14.54,0.0,18.54,10.26,0.0,0.0,8.59,0
peptide_nm_114,13.46,0.0,13.18,22.46,13.04,13.04,12.12,14.46,26.04,8.12,15.18,7.74,14.44,10.04,0.0,20.89,18.18,0.0,0.0,13.89,0
peptide_nm_115,11.17,17.05,10.21,8.95,0.0,0.0,0.0,6.39,0.0,8.72,6.06,0.0,0.0,9.47,7.83,11.17,0.0,0.0,10.21,7.17,0
peptide_nm_116,0.0,8.0,5.69,0.0,0.0,0.0,5.69,11.08,6.15,0.0,2.73,9.38,0.0,11.08,3.75,0.0,0.0,0.0,0.0,6.92,0
peptide_nm_117,4.31,7.85,0.0,0.0,10.36,6.36,3.09,0.0,0.0,6.36,8.93,0.0,6.07,12.07,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_118,4.1,9.09,0.0,6.18,0.0,0.0,6.18,0.0,0.0,4.55,0.0,5.1,0.0,0.0,4.73,0.0,0.0,0.0,0.0,5.1,0
peptide_nm_119,0.0,3.09,0.0,10.08,0.0,5.42,0.0,3.82,0.0,0.0,0.0,0.0,0.0,4.91,4.91,4.73,0.0,0.0,0.0,0.0,0
peptide_nm_120,7.52,7.24,6.75,0.0,0.0,16.59,15.62,11.86,0.0,10.23,20.05,5.79,0.0,10.19,0.0,11.14,7.24,0.0,0.0,0.0,0
peptide_nm_121,7.41,11.39,9.39,0.0,0.0,11.39,9.39,0.0,0.0,12.72,10.28,0.0,0.0,8.06,8.72,8.28,10.24,0.0,7.53,8.19,0
peptide_nm_122,8.77,11.12,13.3,21.2,15.27,0.0,11.6,0.0,9.2,17.58,13.58,0.0,0.0,13.58,12.24,0.0,17.58,0.0,12.19,18.96,0
peptide_nm_123,7.53,0.0,8.0,8.0,0.0,7.31,10.47,12.31,7.65,7.65,0.0,0.0,0.0,0.0,13.29,11.76,9.56,8.59,8.56,0.0,0
peptide_nm_124,0.0,6.08,0.0,0.0,0.0,0.0,0.0,0.0,8.42,2.9,3.45,5.42,0.0,0.0,3.3,7.08,0.0,0.0,0.0,0.0,0
peptide_nm_125,5.2,9.56,0.0,0.0,0.0,0.0,7.31,8.0,7.31,0.0,12.31,10.81,0.0,0.0,12.31,0.0,7.81,0.0,8.56,6.0,0
peptide_nm_126,12.11,9.24,11.14,20.05,0.0,10.05,10.23,13.05,18.23,10.23,6.57,0.0,0.0,0.0,11.86,12.77,0.0,0.0,13.86,8.29,0
peptide_nm_127,0.0,6.18,0.0,0.0,0.0,5.27,5.3,4.55,0.0,0.0,0.0,4.73,0.0,5.1,0.0,0.0,4.1,0.0,0.0,9.09,0
peptide_nm_128,5.08,8.42,0.0,3.3,0.0,5.08,0.0,7.08,0.0,0.0,3.82,5.42,0.0,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0
peptide_nm_129,6.93,0.0,12.07,5.54,6.93,10.36,0.0,8.93,0.0,0.0,0.0,0.0,0.0,0.0,7.79,4.91,0.0,0.0,6.36,7.79,0
peptide_nm_130,4.73,0.0,0.0,6.5,0.0,7.45,5.3,0.0,0.0,0.0,4.55,0.0,5.27,0.0,0.0,6.18,4.5,0.0,0.0,0.0,0
peptide_nm_131,0.0,11.39,12.72,12.72,0.0,8.72,16.06,0.0,0.0,3.73,8.06,8.72,7.65,0.0,6.24,7.06,0.0,0.0,0.0,16.06,0
peptide_nm_132,3.69,8.28,0.0,0.0,14.28,8.4,8.72,0.0,0.0,7.41,4.19,0.0,0.0,0.0,8.06,16.06,8.06,0.0,0.0,0.0,0
peptide_nm_133,8.0,9.41,0.0,7.31,0.0,6.31,8.59,0.0,15.06,0.0,5.56,0.0,6.19,10.47,7.53,15.06,11.76,0.0,0.0,8.59,0
peptide_nm_134,5.27,0.0,0.0,0.0,0.0,0.0,0.0,4.73,0.0,0.0,3.33,0.0,0.0,9.09,9.09,0.0,0.0,0.0,5.27,2.89,0
peptide_nm_135,8.72,13.68,5.94,6.24,0.0,0.0,16.06,11.16,0.0,0.0,9.47,0.0,14.28,10.21,0.0,0.0,17.05,6.39,0.0,8.63,0
peptide_nm_136,6.07,11.08,0.0,3.25,0.0,0.0,0.0,10.36,0.0,8.93,0.0,0.0,6.93,7.79,0.0,7.79,0.0,0.0,6.36,6.62,0
peptide_nm_137,11.12,18.52,19.52,25.04,0.0,15.19,9.35,12.81,17.26,8.19,9.84,11.88,8.5,15.88,13.7,23.19,8.04,0.0,0.0,0.0,0
peptide_nm_138,0.0,0.0,5.69,6.15,0.0,6.15,6.18,0.0,0.0,8.0,0.0,9.38,0.0,6.92,5.54,9.38,5.42,0.0,0.0,0.0,0
peptide_nm_139,6.98,26.09,25.66,23.7,0.0,12.35,14.55,19.74,26.09,18.44,12.5,16.08,0.0,13.6,34.57,16.86,40.09,0.0,30.91,23.89,0
peptide_nm_140,7.65,13.29,0.0,0.0,0.0,0.0,11.76,0.0,0.0,7.53,6.27,9.56,0.0,8.0,0.0,15.06,3.64,0.0,0.0,7.06,0
peptide_nm_141,6.63,9.5,0.0,12.7,0.0,0.0,11.91,4.42,0.0,0.0,10.87,0.0,0.0,0.0,8.59,0.0,0.0,0.0,0.0,4.72,0
peptide_nm_142,0.0,0.0,3.75,9.38,0.0,4.08,0.0,6.15,0.0,6.08,6.15,5.69,0.0,0.0,0.0,0.0,8.42,0.0,0.0,9.38,0
peptide_nm_143,8.4,14.06,0.0,4.07,0.0,7.81,0.0,7.31,6.27,7.06,9.56,13.07,0.0,0.0,0.0,0.0,0.0,0.0,7.31,7.06,0
peptide_nm_144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,10.08,7.08,10.08,3.3,5.42,0.0,0.0,4.18,0
peptide_nm_145,9.11,0.0,0.0,6.65,0.0,13.46,14.07,16.0,15.24,8.74,17.75,13.79,0.0,27.03,14.62,8.73,25.17,0.0,0.0,10.68,0
peptide_nm_146,4.15,0.0,0.0,11.08,0.0,5.54,3.58,10.36,0.0,6.36,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36,0
peptide_nm_147,0.0,7.65,7.65,0.0,0.0,8.4,0.0,7.31,8.59,15.06,10.47,0.0,0.0,0.0,10.47,9.41,0.0,8.0,11.76,4.13,0
peptide_nm_148,0.0,7.81,0.0,12.31,0.0,7.06,4.67,9.56,0.0,5.5,0.0,0.0,10.81,7.81,8.56,12.31,0.0,0.0,13.07,8.56,0
peptide_nm_149,6.52,10.17,0.0,12.72,0.0,10.8,24.04,13.52,0.0,0.0,11.46,15.27,12.19,22.19,22.19,12.96,0.0,0.0,0.0,11.54,0
peptide_nm_150,9.06,11.39,0.0,7.65,0.0,0.0,12.72,6.24,16.06,0.0,7.06,8.06,8.72,0.0,8.72,8.06,9.31,0.0,0.0,0.0,0
peptide_nm_151,0.0,0.0,12.07,6.36,12.07,0.0,0.0,6.93,0.0,0.0,5.08,0.0,8.93,0.0,6.07,6.92,8.42,0.0,0.0,6.36,0
peptide_nm_152,10.81,7.31,0.0,0.0,0.0,7.06,14.06,6.67,0.0,9.56,9.56,6.53,0.0,0.0,0.0,6.0,3.5,0.0,0.0,8.56,0
